Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118)
4.580455750067517e-16,0.904147409683162,1.4741987608497026e-16,1.6085125797913483e-26,1.6084548301658246e-26,9.6773216715204973e-42,3.5163957533295254e-35,0.0,0.0,3.6637170516383702e-17,1.1653206358378118e-29,154.0,0.0,0.99999999965947395,1.0,19.0,3.2524858282741191e-11,1.3001984874636338e-10,8.8963691997260631e-11,8.8963877590398641e-11,2.2184991369433729e-14,4.4991268052225238e-17,1.5366808277766513e-17,2.8088368407490926e-17,3.1416020694533112e-14
7.399200691007149e-16,0.904147409683162,2.3813989353311046e-16,4.1821062803750765e-26,4.1820129830436138e-26,4.1993354097914934e-41,1.5118135474779765e-34,0.0,0.0,5.9187431134363789e-17,3.0300319154309851e-29,154.0,0.0,0.99999999944992035,1.0,19.0,5.2540176551985118e-11,2.0997835939540001e-10,1.4371059216569327e-10,1.4371090596427131e-10,5.7670192336671482e-14,1.1697789638886633e-16,2.7483702067309381e-17,7.3022941024718547e-17,8.1666380923188483e-14
1.3036690572886416e-15,0.904147409683162,4.1957992625475828e-16,1.2962570629837635e-25,1.2962406190283954e-25,2.3744170721895983e-40,8.5132109791376023e-34,0.0,0.0,1.0429778496326699e-16,9.3928984682601866e-29,154.0,0.0,0.9999999990308156,1.0,19.0,9.2570813048669466e-11,3.6977210230709808e-10,2.5320429079648089e-10,2.5320489909622042e-10,1.7868057682393808e-13,3.6257856583254292e-16,5.1864490188498608e-17,2.262920474929962e-16,2.5302839231188467e-13
1.867418045476568e-15,0.904147409683162,6.0101995607689706e-16,2.6587402614926416e-25,2.6587166945786748e-25,6.7707622520275556e-40,2.4251015297898895e-33,0.0,0.0,1.4942124891469347e-16,1.926775797795899e-28,154.0,0.0,0.99999999861171396,1.0,19.0,1.3260144948961592e-10,5.2940158915256515e-10,3.6269785382026214e-10,3.6269880762369872e-10,3.6636421140207195e-13,7.4368135562621055e-16,7.625536452900727e-17,4.6406375987301006e-16,5.1880595565427141e-13
2.4311670336644945e-15,0.904147409683162,7.824599829995297e-16,4.5056598309404255e-25,4.5056291288444973e-25,1.4584257575010441e-39,5.2212223313540998e-33,0.0,0.0,1.9455782298222046e-16,3.2655635514252884e-28,154.0,0.0,0.99999999819261531,1.0,19.0,1.7263208587482473e-10,6.8886698076563104e-10,4.7219128123861675e-10,4.7219263163625314e-10,6.2065581191077397e-13,1.2602846869255408e-15,1.0060966503784393e-16,7.8629519199954374e-16,8.7890662249175888e-13
2.994916021852421e-15,0.904147409683162,9.6390000702265686e-16,6.8370156352915696e-25,6.8369777821856972e-25,2.6823472943832713e-39,9.6001467986661854e-33,0.0,0.0,2.3970750716651089e-16,4.9557592706717997e-28,154.0,0.0,0.99999999777352,1.0,19.0,2.1266272220429588e-10,8.4816844316152644e-10,5.8168457305310192e-10,5.8168637115265524e-10,9.4148799100400565e-13,1.9123870031157068e-15,1.2495288557459328e-16,1.1929420791273055e-15,1.3332349660586407e-12
4.122413998228274e-15,0.904147409683162,1.3267800463703966e-15,1.2953035846555241e-24,1.2952983630580165e-24,6.8320965781105801e-39,2.4442947327056465e-32,0.0,0.0,3.3004620589872547e-16,9.3907685470436234e-28,154.0,0.0,0.99999999693533859,1.0,18.999999999999996,2.9272399469602608e-10,1.1662801948410382e-09,8.0067074987612559e-10,8.0067359682974469e-10,1.7825246369403241e-12,3.6230829310942826e-15,1.7363728165161322e-16,2.2593182837932342e-15,2.5242214417468498e-12
5.249911974604127e-15,0.904147409683162,1.68966007412012e-15,2.1006800662412049e-24,2.1006733977980097e-24,1.393595262298909e-38,4.9844551489534643e-32,0.0,0.0,4.2043734513987807e-16,1.5232655759442776e-27,154.0,0.0,0.99999999609716994,1.0,18.999999999999993,3.7278526696480734e-10,1.4837381725946613e-09,1.0196563843015828e-09,1.0196604849993634e-09,2.8889349360920634e-12,5.8757568952725503e-15,2.2231864410238405e-16,3.6628378919805431e-15,4.0910018066620735e-12
6.37740995097998e-15,0.904147409683162,2.0525400902718288e-15,3.0998309941828753e-24,3.0998228652915239e-24,2.4846910152981818e-38,8.8848669505774926e-32,0.0,0.0,5.1088092492283388e-16,2.2482318151040206e-27,154.0,0.0,0.99999999525901395,1.0,18.999999999999989,4.5284653901064105e-10,1.8005437723530905e-09,1.2386414763423409e-09,1.2386470360181476e-09,4.2601522653586896e-12,8.6703960341925407e-15,2.7101316707341145e-16,5.4031280786699965e-15,6.0327736696576686e-12
7.504907927355834e-15,0.904147409683162,2.4154200948255265e-15,4.292756364316303e-24,4.2927467583562673e-24,4.0411569329655655e-38,1.4447337130878358e-31,0.0,0.0,6.0137694528283787e-16,3.1140645527166458e-27,154.0,0.0,0.99999999442087029,1.0,18.999999999999986,5.3290781083352792e-10,2.1166983748934664e-09,1.4576260260111307e-09,1.4576332502809993e-09,5.8956161526286625e-12,1.2006987622552931e-14,3.1969515715949552e-16,7.4798196414976581e-15,8.348743349960976e-12
