Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153)
1.1093772043497548e-11,0.8409530006646725,1.8815579770688518e-16,7.7884936890628855e-23,7.7882041389242828e-23,3.9527198177587044e-35,2.8954964929028244e-27,0.0,0.0,8.3654206736009678e-15,7.5816880859323322e-24,154.0,0.0,0.99999990171360476,1.0,18.999999999590024,1.972820108987421e-08,2.215977442645944e-10,3.8137446977272193e-08,3.8547358482807466e-08,1.2418285994575025e-09,4.0993251013027533e-10,2.9558171575089701e-14
1.145489925224551e-11,0.8409530006645431,1.9427967219831776e-16,8.3037836305338945e-23,8.3034648745870593e-23,4.4737391538284285e-35,3.1875544793146033e-27,0.0,0.0,8.8886791958515273e-15,8.3109297135240345e-24,154.0,0.0,0.99999989851448023,1.0,18.99999999956308,2.0370397257522766e-08,2.2164448892806708e-10,3.9365311698350672e-08,3.9802161493531863e-08,1.2891027943008553e-09,4.3687123261283925e-10,3.0520390626183863e-14
1.2177153669741433e-11,0.8409530006642721,2.0652722822360156e-16,9.3838705828189635e-23,9.3834876534554908e-23,5.6681767822800401e-35,3.8292884786455066e-27,0.0,0.0,9.9823552830181369e-15,9.9068994728821658e-24,154.0,0.0,0.99999989211623264,1.0,18.999999999506667,2.1654789383061419e-08,2.2171174564646207e-10,4.1818506213780257e-08,4.2311767490894487e-08,1.383676256279117e-09,4.9328353306029818e-10,3.2444828709532113e-14
1.277648100833496e-11,0.8409530006640346,2.1669006544150234e-16,1.033024022680278e-22,1.0329797931366924e-22,6.8283188236909276e-35,4.4229490911074259e-27,0.0,0.0,1.0937582531840217e-14,1.1376940017918445e-23,154.0,0.0,0.9999998868069625,1.0,18.999999999457291,2.2720578864313809e-08,2.2174870366951349e-10,4.3851608232623539e-08,4.4394240687698146e-08,1.462171414281253e-09,5.4265534253094312e-10,3.4041729072606408e-14
1.3375808346928488e-11,0.8409530006637863,2.2685272547762267e-16,1.1322060358161908e-22,1.1321552857976943e-22,8.1576884430303564e-35,5.0749964982406551e-27,0.0,0.0,1.1936023288719745e-14,1.2985907775342935e-23,154.0,0.0,0.99999988149769281,1.0,18.999999999405595,2.3786368152988567e-08,2.2177433423151993e-10,4.5882392782839503e-08,4.6476713862388428e-08,1.5406773984871513e-09,5.9434455530218114e-10,3.5638629417842905e-14
1.3975135685522016e-11,0.8409530006635269,2.3701520831762576e-16,1.2359330184461277e-22,1.2358751367037677e-22,9.6719354272075027e-35,5.7881688304822672e-27,0.0,0.0,1.2977636341361242e-14,1.4740157911564076e-23,154.0,0.0,0.99999987618842412,1.0,18.999999999351594,2.4852157249085728e-08,2.2179217772806277e-10,4.7910864752979469e-08,4.8559187014965307e-08,1.6191908250377115e-09,6.4834628286387734e-10,3.7235529748943538e-14
1.4574463024115545e-11,0.8409530006632562,2.4717751394721243e-16,1.3442048913201752e-22,1.3441392392243625e-22,1.1387393850282737e-34,6.5652041541735346e-27,0.0,0.0,1.4062380564403781e-14,1.6646057374300223e-23,154.0,0.0,0.99999987087915598,1.0,18.99999999929528,2.5917946152605327e-08,2.2180445997933102e-10,4.9937029021282542e-08,5.0641660145428783e-08,1.6977095665260574e-09,7.0465564701804789e-10,3.8832430056228902e-14
1.5173790362709074e-11,0.8409530006629746,2.5733964235212124e-16,1.4570215751820326e-22,1.4569474867231832e-22,1.3321081181298706e-34,7.4088404715559992e-27,0.0,0.0,1.5190214919237022e-14,1.8709984841978318e-23,154.0,0.0,0.99999986556988818,1.0,18.999999999236667,2.6983734863547406e-08,2.2181277547706586e-10,5.1960890455697389e-08,5.2724133253778809e-08,1.7762320989599497e-09,7.6326777985703789e-10,4.042933036297042e-14
1.5773117701302604e-11,0.8409530006626817,2.6750159351812772e-16,1.5743829907690288e-22,1.5742997725582056e-22,1.5490697394444059e-34,8.3218157207675867e-27,0.0,0.0,1.6361098453817647e-14,2.0938330673360817e-23,154.0,0.0,0.9999998602606206,1.0,18.999999999175753,2.8049523381911985e-08,2.218184980905097e-10,5.3982453913904023e-08,5.4806606340015399e-08,1.8547571092149556e-09,8.2417782374174824e-10,4.2026230611445263e-14
1.6372445039896133e-11,0.8409530006623783,2.7766336743104517e-16,1.696289058812136e-22,1.696195990081692e-22,1.7914624086544492e-34,9.3068677758387131e-27,0.0,0.0,1.757499030248717e-14,2.3337496857762566e-23,154.0,0.0,0.99999985495135346,1.0,18.99999999911255,2.9115311707699117e-08,2.2182260951160352e-10,5.6001724243335465e-08,5.6889079404138414e-08,1.9332836590040575e-09,8.8738093128002167e-10,4.3623130946213121e-14
