Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150)
2.4318361500710562e-19,0.6093546562984801,2.8773208041783704e-15,5.9792353125959241e-27,2.5647739859402519e-27,8.9057634868539505e-43,1.2854538048962478e-38,0.0,0.0,6.4865966585788708e-17,2.0756832765454957e-31,154.0,0.0,0.99999999975274845,1.0,19.0,8.9960983621799389e-13,2.3580975759768599e-10,5.2695650138064071e-12,5.2725071989071269e-12,3.6072137632263535e-17,3.451081061630384e-21,3.4354852370935259e-21,1.6856417059522436e-21,9.5813961293085364e-17,9.2112045517881536e-31,3.0939285991471863e-23
4.863674361636907e-19,0.6093546562984798,5.754644046487798e-15,1.7088028012600095e-26,1.0259102464734472e-26,7.1246179689974694e-42,1.0283638063560064e-37,0.0,0.0,1.2973199212738833e-16,8.3027389037530683e-31,154.0,0.0,0.99999999950549667,1.0,19.0,1.7992204347451232e-12,4.7161944770811134e-10,1.0539134484301682e-11,1.0545018853729551e-11,1.4428857214587744e-16,1.3804332582706533e-20,1.3672519573109799e-20,6.7425682602392046e-21,3.8325590259323738e-16,7.0386015903687218e-30,1.2375722248502682e-22
7.295512573202758e-19,0.60935465629848,8.6319672880426683e-15,3.2043986581006332e-26,2.1800596811829572e-26,2.1151215765649509e-41,2.9404852110199021e-37,0.0,0.0,1.945980206451415e-16,1.7643324297599215e-30,154.0,0.0,0.9999999992582449,1.0,19.0,2.6988310330470884e-12,7.0742893727929216e-10,1.5808703947011556e-11,1.5817530498373788e-11,3.0661317015726611e-16,2.9334211577075055e-20,2.8952728748018756e-20,1.4327956045800982e-20,8.144186717530542e-16,1.9610541994999985e-29,2.6298414671197548e-22
9.72735078476861e-19,0.6093546562984798,1.1509290528842976e-14,5.0847111016805762e-26,3.7189257026182951e-26,4.6087393534790841e-41,6.2023486105472242e-37,0.0,0.0,2.594640521390483e-16,3.009743986444424e-30,154.0,0.0,0.99999999901099312,1.0,19.0,3.5984416311238902e-12,9.432382263113989e-10,2.1078273401936027e-11,2.1090042132884452e-11,5.2304588565061682e-16,5.0040717756161498e-20,4.9231510989118165e-20,2.4441803192128626e-20,1.3893021465482568e-15,4.0416772921366518e-29,4.4862005856017368e-22
1.459102720790031e-18,0.60935465629848,1.7263937008672694e-14,9.7482422635279408e-26,7.6995640201343293e-26,1.3377751037790976e-40,1.6940609339660139e-36,0.0,0.0,3.8919612211171231e-16,6.2312937165520276e-30,154.0,0.0,0.99999999851648957,1.0,19.0,5.3976628267490478e-12,1.4148563337232125e-09,3.1617412293513113e-11,3.1635065378259698e-11,1.0828996128828206e-15,1.0360295628591615e-19,1.0138360668456609e-19,5.0603630998560218e-20,2.8763724138937399e-15,1.0629897796941807e-28,9.2881093447196679e-22
1.9454703631032012e-18,0.60935465629848,2.3018583485727631e-14,1.5826513525821552e-25,1.3094942438018982e-25,2.9255635835049744e-40,3.5445535394315395e-36,0.0,0.0,5.1892820302875469e-16,1.0597799917974821e-29,154.0,0.0,0.99999999802198603,1.0,19.0,7.1968840215461972e-12,1.8864737036827429e-09,4.2156551156460508e-11,4.2180088586734985e-11,1.841727803875142e-15,1.762014968587927e-19,1.7155241759472534e-19,8.6063490128959428e-20,4.8919539595217391e-15,2.1517294331932653e-28,1.5796642089916465e-21
2.4318380054163713e-18,0.60935465629848,2.8773229959809581e-14,2.3420577752204644e-25,2.0006113819887409e-25,5.4887558532396242e-40,6.4527389508093301e-36,0.0,0.0,6.4866029567191693e-16,1.6191045471982723e-29,154.0,0.0,0.99999999752748248,1.0,19.0,8.9961052154561963e-12,2.3580902835159673e-09,5.2695689988733228e-11,5.272511175596401e-11,2.8137426127485821e-15,2.6919607340915927e-19,2.6073547043897918e-19,1.3148551317561626e-19,7.4737967720596289e-15,3.7898375572022647e-28,2.4133700527034134e-21
3.4045732900427116e-18,0.6093546562984801,4.0282522898867817e-14,4.3251298397484189e-25,3.8471048775661064e-25,1.5018237828694624e-39,1.7037181364789851e-35,0.0,0.0,9.0812451687316859e-16,3.1134813118400799e-29,154.0,0.0,0.99999999653847549,1.0,19.0,1.2594547600559016e-11,3.301321023180078e-09,7.3773967559327862e-11,7.3815157976123839e-11,5.4107211440731897e-15,5.1765448185156541e-19,4.9543291202688681e-19,2.5284173153372335e-19,1.4371829903196444e-14,9.2065891852877324e-28,4.6408251784634882e-21
4.3773085746690515e-18,0.60935465629848,5.17918158258512e-14,6.9238457673937374e-25,6.3092422361838716e-25,3.1660275016498084e-39,3.5322390310085175e-35,0.0,0.0,1.16758878570041e-15,5.1061023588248954e-29,154.0,0.0,0.9999999955494685,1.0,19.0,1.6192989982058642e-11,4.2445485537396738e-09,9.485224500533645e-11,9.4905204041069927e-11,8.8735588825219954e-15,8.4895197385970146e-19,8.0317129395060395e-19,4.1465938906633561e-19,2.3569737841225111e-14,1.7754139071559711e-27,7.610941493862125e-21
6.322779143921732e-18,0.6093546562984801,7.4810401643598514e-14,1.3967949672729786e-24,1.3080189003122594e-24,9.6573673684950399e-39,1.0613370106802067e-34,0.0,0.0,1.6865174662127899e-15,1.0585868597772113e-28,154.0,0.0,0.99999999357145475,1.0,19.0,2.3389874734249851e-11,6.1309939889544713e-09,1.3700879952364809e-10,1.3708529571824353e-10,1.8396431768262656e-14,1.7600291913737918e-18,1.624883528919065e-18,8.5966134687989326e-19,4.8864168227010017e-14,4.590431868720306e-27,1.5778844575927779e-20
1.0213720282427093e-17,0.6093546562984802,1.208475731342165e-13,3.544278798751991e-24,3.400871303903376e-24,4.1904152373970632e-38,4.5630332023696933e-34,0.0,0.0,2.7243753986647148e-15,2.7523459599640223e-28,154.0,0.0,0.99999998961542769,1.0,19.0,3.7783644195400392e-11,9.9038463564288018e-09,2.2132190706546146e-10,2.2144547733603547e-10,4.7830788444397167e-14,4.5761041910172966e-18,4.0189424334444012e-18,2.2351240760821025e-18,1.2704701230106699e-13,1.5095323624959723e-26,4.102526275339327e-20
1.7995602559437815e-17,0.6093546562984806,2.1292191553595084e-13,1.0793874294532327e-23,1.0541203942495841e-23,2.3690779359037948e-37,2.5694998484628735e-33,0.0,0.0,4.8000935492586842e-15,8.5310748307701683e-28,154.0,0.0,0.99999998170337567,1.0,18.999999999999996,6.657118294477551e-11,1.744939708374947e-08,3.8994811616990342e-10,3.9016583412910875e-10,1.4825281383880829e-13,1.4183898762708571e-17,1.1305952561743076e-17,6.927836722391384e-18,3.9378562802390073e-13,5.6811997218601985e-26,1.2716025173985378e-19
3.355936711345926e-17,0.6093546562984813,3.9707059802141602e-13,3.7111565941312467e-23,3.664036986463938e-23,1.5752676586745542e-36,1.7062428042894491e-32,0.0,0.0,8.9515389932013534e-15,2.9653422303105045e-27,154.0,0.0,0.99999996587927997,1.0,18.999999999999993,1.2414625975182275e-10,3.2539882531744806e-08,7.2720051046211285e-10,7.2760652483051624e-10,5.1530367156194418e-13,4.9302012789987243e-17,3.2990512684085211e-17,2.4080148204119549e-17,1.3687374609651929e-12,2.2476791923539303e-25,4.4199870095021913e-19
6.468689622150214e-17,0.6093546562984826,7.6536795372034571e-13,1.3702092676422375e-22,1.3611267916033145e-22,1.1456107482522659e-35,1.2403742094182604e-31,0.0,0.0,1.7254466452106225e-14,1.1015810140500974e-26,154.0,0.0,0.99999993423112199,1.0,18.999999999999986,2.3929641059910926e-10,6.2718389588932242e-08,1.4017052033802281e-09,1.4024878276095027e-09,1.9141819339826642e-12,1.8314799429088319e-16,9.1888773777946075e-17,8.9450255624498625e-17,5.0844049177934369e-12,8.9985892894426349e-25,1.6419491076529805e-18
9.581442532954503e-17,0.6093546562984838,1.1336652970566196e-12,2.9996225384329213e-22,2.9861695456007634e-22,3.539514358518795e-35,3.8320089425976112e-31,0.0,0.0,2.5557442672393702e-14,2.4167667131155313e-26,154.0,0.0,0.99999990258300853,1.0,18.999999999999979,3.5444655775732221e-10,9.2893611771334701e-08,2.0762097687437284e-09,2.0773690348739217e-09,4.1993631743785941e-12,4.018065675573523e-16,1.6217806444549582e-16,1.9623833888747549e-16,1.1154249451390241e-11,2.0271750223121904e-24,3.6022640572869868e-18
1.2694195443758792e-16,0.6093546562984851,1.5019626280302543e-12,5.2593554171906178e-22,5.2415319053710794e-22,7.9613569905372081e-35,8.6190043593055842e-31,0.0,0.0,3.3860467654096097e-14,4.242099402789314e-26,154.0,0.0,0.99999987093493936,1.0,18.999999999999972,4.6959670122646669e-10,1.2306554941931424e-07,2.7507142065532511e-09,2.7522501541288877e-09,7.3707555311716885e-12,7.0527715556604686e-16,2.3635706287257673e-16,3.4444066782681009e-16,1.9578027064864311e-11,3.6066824759846588e-24,6.3229433648863671e-18
1.580694835456308e-16,0.6093546562984863,1.870259946641266e-12,8.1494078716120041e-22,8.1272138379150549e-22,1.5054313482905495e-34,1.6297626132394723e-30,0.0,0.0,4.216354139724868e-14,6.5775874587210505e-26,154.0,0.0,0.99999983928691483,1.0,18.999999999999964,5.8474684100654776e-10,1.5323420288459039e-07,3.4252185168094505e-09,3.4271311884793067e-09,1.1428264077448666e-11,1.093559165019357e-15,3.1132477692224678e-16,5.3405338821274357e-16,3.0355485619376865e-11,5.6383602387930401e-24,9.8039868729401737e-18
2.2032454176171659e-16,0.609354656298489,2.6068545467754785e-12,1.5820471423646188e-21,1.5789536334944021e-21,3.9638474948241984e-34,4.2911494865687158e-30,0.0,0.0,5.876983516803801e-14,1.2779060755577117e-25,154.0,0.0,0.9999997759909991,1.0,18.999999999999943,8.1504710949953861e-10,2.135616585708201e-07,4.7742267546642983e-09,4.7768930043070576e-09,2.2201277854368775e-11,2.1245552531807905e-15,4.6180031091873677e-16,1.0374957166445632e-15,5.8970510899357757e-11,1.1058209411033355e-23,1.9047165959330802e-17
2.8257959997780236e-16,0.6093546562984914,3.34344909745939e-12,2.6012813012204355e-21,2.5973136848775106e-21,8.2450767994772592e-34,8.9258143079056184e-30,0.0,0.0,7.5376323985050488e-14,2.102125384512377e-25,154.0,0.0,0.99999971269526122,1.0,18.999999999999925,1.045347363236335e-09,2.7387598165002621e-07,6.1232344823135078e-09,6.126654485642253e-09,3.6517643404102949e-11,3.4947900837844463e-15,6.103509749123377e-16,1.7065344228154015e-15,9.6997303703098831e-11,1.8286704265049358e-23,3.1331800167113735e-17
3.4483465819388814e-16,0.6093546562984941,4.0800435986931351e-12,3.8726432454641258e-21,3.8678015190886867e-21,1.4892245146908352e-33,1.6121701596556064e-29,0.0,0.0,9.1983007848590964e-14,3.1304237528080747e-25,154.0,0.0,0.99999964939970121,1.0,18.999999999999908,1.2756476022169794e-09,3.3417717509050591e-07,7.4722416997625826e-09,7.4764156313511415e-09,5.4376559601771247e-11,5.2042586591345858e-15,7.5814355528608019e-16,2.541136979844612e-15,1.4443373613357392e-10,2.7323802200486521e-23,4.6657888302081741e-17
4.070897164099739e-16,0.6093546562984967,4.8166380504768483e-12,5.3961329578633721e-21,5.3904171183129423e-21,2.444391264714495e-33,2.6461805441868664e-29,0.0,0.0,1.0858988675896233e-13,4.3628082017097693e-25,154.0,0.0,0.99999958610431872,1.0,18.99999999999989,1.5059478264415145e-09,3.944652418347623e-07,8.8212484070169845e-09,8.8261764401761647e-09,7.577723228416663e-11,7.2529560248784185e-15,9.0646836444196632e-16,3.5412711424985006e-15,2.0127769878491096e-10,3.816950379964826e-23,6.5025429190899035e-17
5.315998328421455e-16,0.6093546562985016,6.2898268056947017e-12,9.1994956215881805e-21,9.1920315440246581e-21,5.4327216006608281e-33,5.8811571591674529e-29,0.0,0.0,1.4180422972136046e-13,7.4398622826019068e-25,154.0,0.0,0.9999994595140872,1.0,18.999999999999847,1.9665482306224176e-09,5.1500200651946288e-07,1.1519260290962705e-08,1.1525697048506618e-08,1.2920080139047551e-10,1.236801811937805e-14,1.2035082692914814e-15,6.0380106123566127e-15,3.4318012492163269e-10,6.5286541410568342e-23,1.1088486472960061e-16
