Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535)
4.657297043540208e-20,0.3614713197287289,8.015107714356566e-19,1.2234233768167183e-31,6.4118590700761975e-32,1.218793215400365e-49,6.9509462145592285e-44,0.0,0.0,1.6730219796931452e-19,4.0559286900206371e-35,154.0,0.0,0.9999999999994631,1.0,19.0,1.4699457323383405e-14,2.8691558429154415e-13,1.1765750483532191e-13,1.1765847363598475e-13,7.2320357924273934e-21,2.1745365071993777e-23,2.1735919393631716e-23,1.2385623816685345e-23,1.2929447353370757e-20,4.0386605767836264e-34,5.7866524640304852e-26,7.7974231715488621e-26,2.2554888946294836e-35,2.2554888944080632e-35,1.90005711292328e-45,1.0867412512919681e-34,3.1414768910104854e-46,4.1812187009688682e-27,4.7006883219197009e-82,4.3695673426112873e-82,4.3695673426132518e-82,7.5630581824958761e-39,7.0287657309327276e-41,4.5849662361985649e-34,8.9221040342904682e-39,2.9808693475666687e-41,9.2913839942258606e-48,1.5044781617010366e-58,4.4794355219551712e-69,8.7044690509369832e-70,8.1035412540187273e-81,1.3742242374076983e-84,1.3775732961138736e-81,4.5368685582753495e-72,1.0990258494447034e-77,6.0786446718390094e-35,9.3234499901367272e-34,1.4773084811791119e-43
9.318640392070459e-20,0.36147131972872887,1.6037179033289522e-18,3.7313954018552239e-31,2.5664146068634463e-31,9.7602309614353668e-49,5.5649834476322739e-43,0.0,0.0,3.3474976624594161e-19,1.6234285614407092e-34,154.0,0.0,0.99999999999892575,1.0,19.0,2.9411685678311084e-14,5.7408040258085313e-13,2.3541723161186944e-13,2.3541917003031917e-13,2.8946988624577165e-20,8.7038130219956347e-23,8.6961822345451827e-23,4.957477115740747e-23,5.175148135356365e-20,3.2273457466670685e-33,2.3161690301884518e-25,3.1210013343413677e-25,1.8057625487534774e-34,1.8057625483989159e-34,3.0425662817421967e-44,8.7005373640975996e-34,5.0304557479624478e-45,1.6735771373121926e-26,6.0290998021381344e-80,5.6044042482676996e-80,5.6044042482727371e-80,6.0550452359099985e-38,5.6272863737175757e-40,3.651502385837635e-33,7.1430570275767282e-38,2.386507227101178e-40,1.4878315668536498e-46,4.8183796734898215e-57,2.8692890574368545e-67,5.575621679315906e-68,1.0381468702956302e-78,1.7605224150835569e-82,1.7648087582070139e-79,2.9060776187614265e-70,7.0461445130015393e-76,4.8666115349399676e-34,3.7318097557714739e-33,1.1827450499212749e-42
1.8641327089130962e-19,0.3614713197287289,3.2081321674162141e-18,1.2599468796285102e-30,1.0269001338362766e-30,7.8121412656430419e-48,4.4536780717611887e-42,0.0,0.0,6.6964495240999487e-19,6.4958294988816226e-34,154.0,0.0,0.99999999999785094,1.0,19.0,5.8836142388124922e-14,1.1484099159447705e-12,4.7093668503332289e-13,4.7094056261380704e-13,1.1582564549772551e-19,3.4826589229510798e-22,3.4765283821538523e-22,1.9836364294221827e-22,2.0707330945476425e-19,2.5732445747144393e-32,9.2676930660030146e-25,1.2488070618639258e-24,1.4451588458932373e-33,1.4451588453257085e-33,4.8700852981029949e-43,6.9630733646372048e-33,8.0520042352380224e-44,6.6964884834878415e-26,7.7250774115240784e-78,7.180915573705497e-78,7.1809155737184093e-78,4.8458764741831356e-37,4.5035393437810497e-39,2.8919514110982159e-32,5.7165345597718878e-37,1.9099298940881263e-39,2.381498009648228e-45,1.5425290807352747e-55,1.8371287168790642e-65,3.5699208074135767e-66,1.3293996244896115e-76,2.254438104235057e-80,2.2599163780086846e-77,1.8606834462303473e-68,4.5134977233956772e-74,3.8947678444210569e-33,1.4932099918606482e-32,9.4655549738495886e-42
3.728670048325197e-19,0.3614713197287289,6.4169606967934159e-18,4.5744133018486302e-30,4.1082692134170323e-30,6.2512967477509318e-47,3.5636191279900114e-41,0.0,0.0,1.3394355231812967e-18,2.5987552942445844e-33,154.0,0.0,0.99999999999570133,1.0,19.0,1.1768505580758651e-13,2.2970684498140144e-12,9.4197559134966229e-13,9.4198334696166777e-13,4.6337788950860034e-19,1.3932903383145149e-21,1.38838162419905e-21,7.9358361186268989e-22,8.2842787274268321e-19,2.0437681777016077e-31,3.707680698638065e-24,4.9960414127994846e-24,1.1563466449312395e-32,1.1563466440230098e-32,7.7937149525896541e-42,5.5715153496620893e-32,1.2885824986459036e-42,2.6790314417917276e-25,9.8931131447869192e-76,9.196232797871389e-76,9.1962327979044628e-76,3.8774374874865227e-36,3.6035157162673196e-38,2.2668525140845459e-31,4.5739649968037949e-36,1.5282321866661756e-38,3.8111675460270297e-44,4.9371250541265835e-54,1.1760121931774521e-63,2.2852347608778248e-64,1.7019959600494594e-74,2.8862988577945172e-78,2.8932854008649645e-75,1.1910904250595251e-66,2.8899080441394624e-72,3.1164053130090645e-32,5.9738122779733273e-32,7.5738820811414353e-41
7.457744727149399e-19,0.36147131972872887,1.2834617760358538e-17,1.7366753164369413e-29,1.6434414310228699e-29,5.0016721698356852e-46,2.8511660003965029e-40,0.0,0.0,2.6790174584966824e-18,1.0395871297172969e-32,154.0,0.0,0.9999999999914021,1.0,19.0,2.3538288264584527e-13,4.5943835461198324e-12,1.8840534018760737e-12,1.8840689123937334e-12,1.8536615020226377e-18,5.5736148758618142e-21,5.5344249017413051e-21,3.1745917866648885e-21,3.31397956111958e-18,1.6113334244196271e-30,1.4831929802907393e-23,1.9985792043822607e-23,9.2516515028647927e-32,9.2516514883316625e-32,1.2471189846815069e-40,4.457633456216567e-31,2.061940689023846e-41,1.0716997921580592e-24,2.2174188389877587e-73,2.0612217365391192e-73,2.0612217365539196e-73,3.1022446033419263e-35,2.8830862941364598e-37,1.7425100048105804e-30,3.6593095307413724e-35,1.2226987733907666e-37,6.0984736479879105e-43,1.5800423314458114e-52,7.5272641722323561e-62,1.4627030134724403e-62,2.1787842494866316e-72,3.6948517314612101e-76,3.7037259453040054e-73,7.6237749626536248e-65,2.4444792327010103e-70,2.4933598337963798e-31,2.3897193815046494e-31,6.0596809111937586e-40
1.4915894084797801e-18,0.361471319728729,2.5669931906731658e-17,6.7605061319684838e-29,6.5740332290665384e-29,4.001593580368327e-45,2.2810410866708401e-39,0.0,0.0,5.358184504218582e-18,4.1585210053836706e-32,154.0,0.0,0.99999999998280376,1.0,19.0,4.7077853631970516e-13,9.1890058530143211e-12,3.768209014503824e-12,3.7682400303044004e-12,7.4149404524998607e-18,2.2295366197466274e-20,2.198369820916533e-20,1.2698875769421846e-20,1.3256444652764135e-17,1.2525594555360148e-29,5.9330133138970917e-23,7.9946420645261477e-23,7.4016725211717289e-31,7.4016724979176152e-31,1.9954846105632915e-39,3.5662727935677905e-30,3.2992695322302226e-40,4.2869736021238619e-24,2.8480753631887507e-71,2.6474542130032755e-71,2.6474542130413585e-71,2.4819136281444142e-34,2.3065785222170598e-36,1.2923204462343527e-29,2.9272507847473971e-34,9.78200555814332e-37,9.7580068477507877e-42,5.0563770859556015e-51,4.8176835239176997e-60,9.3617549301376727e-61,2.7889808121265949e-70,4.7296428412140728e-74,4.7408244689714773e-71,4.8794534703196415e-63,1.5705523829371867e-68,1.9947807344322623e-30,9.5592664355829618e-31,4.8479747502500331e-39
2.9832192800094605e-18,0.3614713197287289,5.1340560276449387e-17,2.6669619421502458e-28,2.6296667968849405e-28,3.2013802778038689e-44,1.8248761872243961e-38,0.0,0.0,1.0716531296026868e-17,1.6634448652201659e-31,154.0,0.0,0.99999999996560707,1.0,19.0,9.4156984365679466e-13,1.8378218924042975e-11,7.5365202060590431e-12,7.5365822151015879e-12,2.9660307075221906e-17,8.9183275145677533e-20,8.672132827230491e-20,5.0796471761171707e-20,5.3026753437342827e-17,9.4813753476310385e-29,2.3732535911384605e-22,3.1979218418798681e-22,5.9214784886390524e-30,5.9214784514317637e-30,3.1928333434989142e-38,2.853080726445165e-29,5.2789546920402248e-39,1.7148243252697756e-23,3.6458058541546295e-69,3.3889918074526027e-69,3.3889918075501052e-69,1.98557823217024e-33,1.8453066018665506e-35,9.0144642445376139e-29,2.3413190726325606e-33,7.8257118011198671e-36,1.5613056645767663e-40,1.6180677484120965e-49,3.083370560524766e-58,5.9916264161819301e-59,3.5699578466336996e-68,6.0540495428800744e-72,6.0679068362848521e-69,3.1229040512525657e-61,1.0052579870049882e-66,1.5958595418932977e-29,3.8237843219195787e-30,3.8784716682567307e-38
5.966479023068822e-18,0.3614713197287289,1.0268181732377078e-16,1.059336549253444e-27,1.0518774225495875e-27,2.5611513044528503e-43,1.459918280669303e-37,0.0,0.0,2.1433275681101251e-17,6.6538681089183983e-31,154.0,0.0,0.99999999993121358,1.0,19.0,1.8831524582884522e-12,3.6756518895925187e-11,1.5073142454368369e-11,1.5073266386618465e-11,1.1864196976960135e-16,3.5673669685502911e-19,3.3753416454435802e-19,2.0318743593021781e-19,2.1210833934921972e-16,6.8448090664373298e-28,9.4931107890008848e-22,1.2791817124910467e-21,4.7372388849769369e-29,4.7372388254452973e-29,5.1085239685139466e-37,2.2824833035446703e-28,8.4464003173556016e-38,6.859367047078807e-23,4.6667437791513686e-67,4.3380138938788313e-67,4.3380138941284422e-67,1.5884817583628893e-32,1.4762627763682839e-34,5.7290196703271938e-28,1.8722186223199643e-32,6.260518309601451e-35,2.4980723902767899e-39,5.1777860128790277e-48,1.9733460928014743e-56,3.8346194880512789e-57,4.5695213252943578e-66,7.7491437333399726e-70,7.7657153140208956e-67,1.998647441486411e-59,6.4338009620927071e-65,1.2766981056823608e-28,1.5295292504446664e-29,3.1028138545479199e-37
8.949738766128183e-18,0.361471319728729,1.5402307467897811e-16,2.2464350164485031e-27,2.235246215793731e-27,7.6034631916494352e-43,4.1744668862269786e-37,0.0,0.0,3.2150070867633303e-17,1.4139543465693161e-30,154.0,0.0,0.99999999989682009,1.0,19.0,2.8247350728775886e-12,5.5134692698498472e-11,2.2609764567876602e-11,2.2609950365792502e-11,2.5211425647687806e-16,7.5806770100387921e-19,7.0395026088694541e-19,4.3177383246722012e-19,4.5073034754512597e-16,1.8488446519965136e-27,2.017292057413096e-21,2.7182692178699361e-21,1.3545583515539753e-28,1.3545583296424539e-28,1.8802682356056927e-36,6.526481847311672e-28,3.1088389088100278e-37,1.4576198539969932e-22,2.4078692262629894e-66,2.2382566209269777e-66,2.238256621080226e-66,4.5420803902754654e-32,4.221201701020384e-34,1.4505251938200793e-27,5.3519814062920115e-32,1.7901018078508703e-34,9.1945056288916991e-39,2.3639800751329736e-47,1.0842118422834769e-55,2.1068478088584859e-56,2.9479613262846271e-65,4.999250005787122e-69,5.0097133777950284e-66,1.0981131256503267e-58,3.1927759081488529e-64,3.6505620863980618e-28,3.2502593272764684e-29,8.8721349099483495e-37
1.4916258252246906e-17,0.3614713197287289,2.5670559062093647e-16,6.1984645827363362e-27,6.1798160223551388e-27,3.5616564520205375e-42,1.9184366931108281e-36,0.0,0.0,5.3583864446526863e-17,3.9092012680999807e-30,154.0,0.0,0.99999999982803323,1.0,19.0,4.707900301885775e-12,9.1890535633338575e-11,3.7683008255688866e-11,3.7683317596506152e-11,6.9701888248826435e-16,2.0958398684435082e-18,1.8574612827586805e-18,1.1937256376384188e-18,1.2461316846635144e-15,7.3018817973780356e-27,5.5772349804600728e-21,7.5152359437968323e-21,6.2250684347920128e-28,6.2250682662060536e-28,1.4466636638170612e-35,2.9993200004943718e-27,2.3919592565208214e-36,4.0299016440191196e-22,1.623178100021166e-64,1.5088398884875492e-64,1.5088398886620422e-64,2.0873798683769222e-31,1.9399142070449828e-33,5.0195779476380786e-27,2.4576246884071318e-31,8.2263855692130128e-34,7.0741219238190247e-38,3.0772803337539568e-46,2.417382904228747e-54,4.6974750425663016e-55,1.1402815787116012e-63,1.9337313614246963e-67,1.9372689651128668e-64,2.4483776353250907e-57,1.0098123525466122e-62,1.677657907130914e-27,8.986036329598386e-29,4.0773171688251862e-36
2.0286125789753754e-17,0.36147131972872887,3.4911985596348608e-16,1.1029795466537341e-26,1.1004432671471291e-26,8.2189212791957232e-42,4.3183867485594978e-36,0.0,0.0,7.2874442808305432e-17,6.9611629376203624e-30,154.0,0.0,0.99999999976612508,1.0,19.0,6.4027490078557559e-12,1.2497038662908439e-10,5.12489271391745e-11,5.1249347543967628e-11,1.2411796331599321e-15,3.7320732630249833e-18,3.2078586752607847e-18,2.125667458408871e-18,2.2189833103573763e-15,1.5157986010316699e-26,9.9314130645107518e-21,1.3382421825615634e-20,1.4012581660078021e-27,1.4012581195789951e-27,3.9841271825883675e-35,6.7514228278433343e-27,6.5875354313591933e-36,7.1760681439003822e-22,9.2825180202154817e-64,8.6286486116458502e-64,8.6286486127333826e-64,4.6986784614343216e-31,4.3667321533023898e-33,9.7760778731128224e-27,5.5296534479856398e-31,1.8517174433212358e-33,1.9482133334912254e-37,1.0060342430973769e-45,9.1253541281213909e-54,1.7732450943015081e-54,4.846785435359313e-63,8.2193732097317849e-67,8.2338909966324057e-64,9.242355958379641e-57,4.630614184850159e-62,3.7763819427612936e-27,1.6001484236324904e-28,9.1780092902244297e-36
2.5655993327260603e-17,0.36147131972872887,4.4153412235899742e-16,1.7210163197561711e-26,1.717808554724544e-26,1.5825094454549374e-41,8.1620382563421496e-36,0.0,0.0,9.2165194909732993e-17,1.0866522360146702e-29,154.0,0.0,0.99999999970421694,1.0,19.0,8.0975977136803145e-12,1.5804980614632147e-10,6.4814845561644358e-11,6.4815376928766995e-11,1.9374910792751757e-15,5.825822055458163e-18,4.8584775895925833e-18,3.3181889085477772e-18,3.4638502389445365e-15,2.6485656164284991e-26,1.5503085427981593e-20,2.0890161720495266e-20,2.6484709707549325e-27,2.6484708661844894e-27,8.9733384861381354e-35,1.2760590483752868e-26,1.4837058069889447e-35,1.1201950610348203e-21,2.8663232158440911e-63,2.6644166811469069e-63,2.6644166815467794e-63,8.8808179661669677e-31,8.253413779988558e-33,1.6208639601871696e-26,1.0446575450280153e-30,3.4997981461011429e-33,4.3878879478891963e-37,2.6640006531239743e-45,2.8087919040496756e-53,5.4580638422841992e-54,1.7175352603014088e-62,2.9126637114752849e-66,2.9175333252333496e-63,2.8448052245054872e-56,1.3404896270354212e-61,7.1375863585724235e-27,2.4978557706843205e-28,1.7347045713255591e-35
3.102586086476745e-17,0.3614713197287289,5.3394838974914275e-16,2.4664839345971848e-26,2.4626046136814594e-26,2.6906645286679441e-41,1.3642544331165472e-35,0.0,0.0,1.1145611112667272e-16,1.5578014738438644e-29,154.0,0.0,0.99999999964230879,1.0,19.0,9.7924464193675062e-12,1.911288180913128e-10,7.8380763548636058e-11,7.8381405804669585e-11,2.7775232423571314e-15,8.3517425120645845e-18,6.7700922322593351e-18,4.7568535025106485e-18,4.9656613388622954e-15,4.129177198189226e-26,2.222481013838874e-20,2.9947578625572572e-20,4.4268207387642474e-27,4.4268205377845693e-27,1.7246331744951939e-34,2.13287793749609e-26,2.8516361663533718e-35,1.6058818035847928e-21,8.8339083487723715e-63,8.2116394411625789e-63,8.2116394424614996e-63,1.4843963426960726e-30,1.3795274336691078e-32,2.4239524252322995e-26,1.7453533776205935e-30,5.8496722282128859e-33,8.4332802724882914e-37,5.8191344328213097e-45,6.9045553187053231e-53,1.3416979801821106e-53,4.7115434415640384e-62,7.9900266698515545e-66,8.0027209026275186e-63,6.9930831673583334e-56,3.5572704395209075e-61,1.1930169288896427e-26,3.5808594313930757e-28,2.8994939927448517e-35
