Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137),S(535),C7H9(1071)
4.179560304482574e-08,0.7122927801281966,1.0615249932383604e-06,1.5855563701552371e-08,5.8247807436564095e-07,4.5327463030240679e-11,1.1313803963994221e-07,0.0,0.0,0.00031118545710956787,1.7234121513959408e-05,154.0,0.0,0.90252877926402975,1.0,18.997948245442899,0.0054966080118440952,5.6126300736481496e-07,0.015587212458576713,0.0201848333561882,0.018748349664848184,0.0015699649127123402,4.5904141035969483e-09,2.9681579059215809e-05,0.030101517663537219,1.7720595212323497e-11,0.002204851033149977,1.8085688870623553e-05,0.0030840452621390835,0.0030704711380545291,6.6487494566785767e-07,2.8458338494807079e-06,4.0608825918359825e-07,0.00031835731962164899,9.1245129093194659e-07,2.5995426042345271e-06,2.7383228173817617e-06,0.00012187475985204197,1.4774193551062287e-08,2.3160640270446015e-13,2.4545423137355359e-13,7.287760706579824e-12,9.8519701591946525e-08,4.7595903019631202e-07,3.0089394507805601e-08,6.412378354893101e-08,8.8389131850259425e-09,1.0668475752111059e-09,3.5374546208375961e-14,3.6399434522486396e-09,2.5274546062781303e-09,1.7298860269790706e-06,3.7690033114297411e-10,3.7849187588895482e-11,1.947050417324614e-13
4.25670444076355e-08,0.7122930924975862,1.0887684415810924e-06,1.6593294486186889e-08,6.2088929172637423e-07,4.9017161041221226e-11,1.2322443629720836e-07,0.0,0.0,0.00032129934860720201,1.8425195088520412e-05,154.0,0.0,0.90083837527293353,1.0,18.997910071978716,0.0055874767381803416,5.6032749691740176e-07,0.015788260313847838,0.020506999341313292,0.019073638874523523,0.001590231311077994,4.6636693455760157e-09,3.0155258146183115e-05,0.03063166863537713,1.7949347230423795e-11,0.0022806602671281932,1.8320044590992256e-05,0.003188124056653936,0.0031734305963122085,6.8716801708497264e-07,2.8967944558388928e-06,4.1970441478080318e-07,0.0003322061286085197,9.8006040315678599e-07,2.8289197035186439e-06,2.9828934850129683e-06,0.00012791540856508114,1.5419323445845147e-08,2.3530253723871232e-13,2.5610768727520381e-13,7.649873712444474e-12,1.0367770617185092e-07,5.1064410091835272e-07,3.2287885857268954e-08,6.895875474299018e-08,9.5185777728458709e-09,1.1853052555367134e-09,3.8041808673394846e-14,3.9969376865083543e-09,2.8407264849546406e-09,1.7603977257307055e-06,4.0963518266844255e-10,4.1138050991764123e-11,2.1161578248625371e-13
4.333848577044526e-08,0.7122934105969556,1.1160471822292514e-06,1.73495516394419e-08,6.6096790442444889e-07,5.2922570846074368e-11,1.3398913089533298e-07,0.0,0.0,0.000331514541299764,1.9672319133879442e-05,154.0,0.0,0.89915188784969624,1.0,18.99787185072071,0.0056779835299073673,5.5939416466811947e-07,0.015986566574635121,0.020827343690297071,0.019398206979866561,0.001610221135645904,4.7365099062543918e-09,3.0626255856936631e-05,0.031160935735182232,1.8174977489382198e-11,0.0023575227455395697,1.8551207582335374e-05,0.0032935336710309586,0.0032776504161995124,7.0973388944902049e-07,2.9476700525125866e-06,4.3348719386425761e-07,0.00034639794824450101,1.0510904027639582e-06,3.073421265709142e-06,3.2439124527730588e-06,0.00013412278118272452,1.6080495746925834e-08,2.3897774890030051e-13,2.6702453499480046e-13,8.0220209485432109e-12,1.0898965831340362e-07,5.4708946424830435e-07,3.4598248164289501e-08,7.4048353719462863e-08,1.0234789641143781e-08,1.3141803158101229e-09,4.0849539261685797e-14,4.3811682188059499e-09,3.1855056406043383e-09,1.7908417811209272e-06,4.4481880109345512e-10,4.4673058055401837e-11,2.2979155465647084e-13
4.410992713325502e-08,0.7122937343358396,1.143353823989444e-06,1.8124351891634364e-08,7.0274529814260208e-07,5.7051118539380701e-11,1.4546266772684884e-07,0.0,0.0,0.00034182807716328994,2.097682703835277e-05,154.0,0.0,0.89746931364034344,1.0,18.997833580679952,0.0057681295129430373,5.5846300908903904e-07,0.01618215232251901,0.021145868380435459,0.019722055642697547,0.0016299365158323779,4.8089362364069201e-09,3.109457510605002e-05,0.031689321021958809,1.8397510024462406e-11,0.0024354275760931233,1.8779202375880971e-05,0.0034002559205493655,0.0033831094531643867,7.3256798148544949e-07,2.9984608372567398e-06,4.4743379826353624e-07,0.00036093466285840714,1.1256287842413397e-06,3.3337017133979875e-06,3.5221201925625757e-06,0.00014049729708119369,1.6757799328627246e-08,2.4263206043182171e-13,2.7820621914760722e-13,8.4042288520474107e-12,1.144562844432867e-07,5.8534465313150029e-07,3.7023638404582572e-08,7.9400078965903355e-08,1.0988652122899651e-08,1.4541496161139087e-09,4.3801874595081329e-14,4.7941290324350873e-09,3.5642248256238296e-09,1.8212183488714083e-06,4.8260432748607861e-10,4.8469611106996675e-11,2.4931147118747515e-13
4.488136849606478e-08,0.7122940636245048,1.1706812332961605e-06,1.891770695595251e-08,7.4625224066765617e-07,6.1410269791716256e-11,1.5767622572993134e-07,0.0,0.0,0.00035223701752066144,2.234004296459961e-05,154.0,0.0,0.89579064916151918,1.0,18.997795260923521,0.0058579158106866862,5.5753402856544176e-07,0.016375038600271015,0.021462575494187102,0.020045186523064636,0.0016493795770918262,4.8809488107918692e-09,3.1560218963206856e-05,0.032216826553197485,1.8616968826215513e-11,0.0025143639269540031,1.900405345800435e-05,0.0035082727606211722,0.0034897866489458466,7.556657306416893e-07,3.0491670076870494e-06,4.6154144124344746e-07,0.00037581809126451313,1.2037623183432685e-06,3.6104274255449044e-06,3.8182727848625784e-06,0.00014703931309274727,1.7451319993073346e-08,2.4626549578595593e-13,2.8965413400524637e-13,8.7965200959914737e-12,1.2007825329291719e-07,6.2545929903849547e-07,3.9567219930291038e-08,8.502144987203804e-08,1.1781272099951202e-08,1.6059180305068083e-09,4.690296282634881e-14,5.2373636498512896e-09,3.9794459383790813e-09,1.8515275845416154e-06,5.2315216079729624e-10,5.2543843051128159e-11,2.7025839448406093e-13
4.565280985887454e-08,0.7122943983739454,1.1980225264366923e-06,1.9729623697175141e-08,7.9151886528217198e-07,6.6007524605447733e-11,1.7066160805314738e-07,0.0,0.0,0.00036273844385938369,2.3763281121453206e-05,154.0,0.0,0.89411589080237841,1.0,18.997756890573296,0.0059473435440094711,5.5660722140923659e-07,0.016565246409918598,0.021777467217870331,0.020367601279197296,0.0016685524407221253,4.9525481278263621e-09,3.2023190651057158e-05,0.032743454384798525,1.8833377838271889e-11,0.0025943210268717207,1.922578526797204e-05,0.003617566286528282,0.0035976610324382585,7.790225932744809e-07,3.0997887612727054e-06,4.7580734761807299e-07,0.00039104998723233519,1.2855769887299778e-06,3.9042764546906694e-06,4.1331416994596382e-06,0.00015374912487259066,1.8161140492110864e-08,2.4987808010922619e-13,3.0136962385737736e-13,9.1989136711379455e-12,1.2585617704524915e-07,6.6748311127091057e-07,4.2232161146632936e-08,9.0920003452521787e-08,1.2613759508791336e-08,1.7702188588425938e-09,5.0156961831261253e-14,5.7124655767973461e-09,4.4338633695413674e-09,1.8817696435243916e-06,5.6663014483450521e-10,5.691263621778661e-11,2.9271903300423125e-13
4.64242512216843e-08,0.7122947384958799,1.2253710620181464e-06,2.0560104295367347e-08,8.3857465518691791e-07,7.0850412139364357e-11,1.8445123116804396e-07,0.0,0.0,0.00037332945861966995,2.5247845060627083e-05,154.0,0.0,0.89244503482647008,1.0,18.997718468804699,0.0060364138312449384,5.556825858570171e-07,0.016752796710841452,0.022090545840356624,0.020689301567460371,0.0016874572236731653,5.0237347092966935e-09,3.2483493543341782e-05,0.03326920657099839,1.9046760955182061e-11,0.0026752881652998503,1.9444422195722446e-05,0.003728118733146781,0.0037067117205771744,8.0263404484235223e-07,3.1503262953292471e-06,4.9022875386838653e-07,0.00040663203996406247,1.3711579303720797e-06,4.215938235552875e-06,4.4675135658791211e-06,0.00016062696825046958,1.8887340549590484e-08,2.5346983972718697e-13,3.1335398337921111e-13,9.6114249669285839e-12,1.3179061247014292e-07,7.1146585672736435e-07,4.5021634218018955e-08,9.7103291140939893e-08,1.3487226856990382e-08,1.9478142227932341e-09,5.3568037439974617e-14,6.2210787249023602e-09,4.9303072876824647e-09,1.9119446810416025e-06,6.1321375254633805e-10,6.1593640940618907e-11,3.1678403646305276e-13
4.719569258449406e-08,0.7122950839027476,1.2527204336682925e-06,2.1409146404714374e-08,8.8744842893370388e-07,7.5946485607051773e-11,1.990781135490832e-07,0.0,0.0,0.00038400718595306047,2.6795026998134749e-05,154.0,0.0,0.89077807737361581,1.0,18.99767999484552,0.0061251277881798436,5.5476012005923602e-07,0.016937710417899304,0.022401813751761,0.021010289042308901,0.0017060960383584501,5.0945091000867946e-09,3.2941131163193461e-05,0.033794085164297272,1.9257142020302141e-11,0.0027572546925073048,1.9659988579682903e-05,0.0038399124746586414,0.0038169179192454553,8.2649558010291408e-07,3.200779807011518e-06,5.0480290826316073e-07,0.00042256587457949592,1.4605893697132224e-06,4.5461132853950589e-06,4.8221899338715511e-06,0.00016767302056692665,1.9629996884000949e-08,2.5704080213074394e-13,3.2560845800479625e-13,1.0034065851521398e-11,1.3788206204825656e-07,7.5745734012489331e-07,4.7938813803342531e-08,1.0357887565436543e-07,1.4402788750142288e-08,2.1394954458866538e-09,5.7140361707327209e-14,6.7648978127703578e-09,5.4717468594253389e-09,1.9420528521398503e-06,6.6308626736875808e-10,6.6605293839347438e-11,3.4254808951820624e-13
4.796713394730382e-08,0.7122954345077062,1.280064462962292e-06,2.2276743307649691e-08,9.3816832684800942e-07,8.1303317253543254e-11,2.1457586394036397e-07,0.0,0.0,0.00039476877245182574,2.8406107160244839e-05,154.0,0.0,0.88911501446178542,1.0,18.997641467974724,0.0062134865280451734,5.5383982209686979e-07,0.017120008399591002,0.022711273442130354,0.021330565356243631,0.0017244709924699121,5.1648718678439136e-09,3.3396107180923164e-05,0.034318092215387674,1.9464544823689532e-11,0.0028402100196812529,1.9872508704623173e-05,0.0039529300242510555,0.0039282589241984934,8.5060271331323983e-07,3.2511494933067326e-06,5.1952707098088576e-07,0.00043885305260835496,1.5539545665838914e-06,4.8955128965558367e-06,5.1979870242948975e-06,0.00017488740199420356,2.0389183231449622e-08,2.605909959595152e-13,3.3813424430602266e-13,1.0466844750915443e-11,1.4413097508341633e-07,8.055073846712437e-07,5.0986875820129052e-08,1.1035432792777845e-07,1.5361561429232965e-08,2.3460834173920589e-09,6.08781112216755e-14,7.3456687455879604e-09,6.0612933995996261e-09,1.9720943116862508e-06,7.1643896138914673e-10,7.1966835781981473e-11,3.7011000381185594e-13
4.873857531011358e-08,0.7122957902246261,1.3073971925676581e-06,2.3162884064427523e-08,9.9076179842078185e-07,8.6928493414425106e-11,2.3097866922848283e-07,0.0,0.0,0.00040561138784941887,3.0082353153777415e-05,154.0,0.0,0.88745584198896288,1.0,18.997602887521264,0.0063014911615074136,5.5292168998193432e-07,0.017299711476244772,0.023018927500129186,0.021650132159767195,0.0017425841887959421,5.2348236026818521e-09,3.3848425412082506e-05,0.034841229773084237,1.9668993100048218e-11,0.0029241436190218188,2.0082006799545476e-05,0.0040671540338036005,0.0040407141220072601,8.74950978434574e-07,3.3014355510276346e-06,5.3439851423476993e-07,0.00045549507248979887,1.6513357578590834e-06,5.2648588215202364e-06,5.5957354707333744e-06,0.00018227017684177801,2.1164970368982277e-08,2.6412045098660417e-13,3.5093249037711786e-13,1.0909766727158031e-11,1.505377488034269e-07,8.5566581318335986e-07,5.416899623725318e-08,1.1743722411764728e-07,1.6364662318328451e-08,2.5684289399078941e-09,6.4785465451888528e-14,7.9651889732936943e-09,6.7022034470101223e-09,2.0020692143642807e-06,7.7347127009255323e-10,7.7698329503774395e-11,3.9957280824694576e-13
4.951001667292334e-08,0.7122961509680896,1.3347128796000781e-06,2.4067553658284421e-08,1.0452555906486852e-06,9.2829609661230945e-11,2.48321281940782e-07,0.0,0.0,0.00041653222569226073,3.1825019360532086e-05,154.0,0.0,0.88580055573500749,1.0,18.997564252862972,0.0063891427966600396,5.5200572164024718e-07,0.017476840418239773,0.023324778611722899,0.02196899110134103,0.0017604377250424166,5.3043649169223158e-09,3.4298089815872136e-05,0.035363499884254301,1.9870510526726628e-11,0.0030090450238286193,2.0288507035610647e-05,0.0041825672935634347,0.0041542629910180217,8.9953592934142513e-07,3.35163817680577e-06,5.4941452240105066e-07,0.00047249337007900774,1.7528141028523166e-06,5.65488295091115e-06,6.0162800521912291e-06,0.00018982135484652444,2.1957426138235032e-08,2.6762919810551106e-13,3.6400429622456232e-13,1.1362833555634594e-11,1.5710272944928544e-07,9.0798242964737503e-07,5.7488349895930029e-08,1.2483514267396795e-07,1.7413209582479569e-08,2.8074130605289542e-09,6.8866605132107759e-14,8.6253078273644019e-09,7.3978817615890533e-09,2.031977714669685e-06,8.3439096346386874e-10,8.3820676859264277e-11,4.3104383738073074e-13
5.02814580357331e-08,0.7122965166533864,1.3620059891829907e-06,2.4990733136330048e-08,1.1016757373020299e-06,9.9014266036633848e-11,2.6663900738812485e-07,0.0,0.0,0.00042752850398315565,3.3635346355623407e-05,154.0,0.0,0.88414915136350936,1.0,18.997525563425363,0.0064764425390152246,5.5109191493134746e-07,0.017651415944258744,0.023628829558860125,0.022287143827342985,0.0017780336936569032,5.3734964447511773e-09,3.4745104492863893e-05,0.035884904593749899,2.0069120721716623e-11,0.0030949038285792581,2.0492033524100471e-05,0.0042991527318087574,0.0042688851023275154,9.2435314003262734e-07,3.4017575670848449e-06,5.6457239214735523e-07,0.00048984931916066013,1.8584696304381208e-06,6.0663269847746992e-06,6.4604794171980808e-06,0.00019754089244749303,2.2766615469410844e-08,2.7111726931314854e-13,3.7735071416237581e-13,1.1826043801445379e-11,1.6382621335276522e-07,9.625070012153886e-07,6.0948109358663035e-08,1.3255566148005185e-07,1.8508321695739075e-08,3.0639473854898408e-09,7.3125710683875676e-14,9.3279268362868789e-09,8.1518842388686829e-09,2.0618199669064558e-06,8.9941431322737231e-10,9.0355635685193916e-11,4.6463481782301575e-13
5.1052899398542863e-08,0.7122968871965121,1.3892711882040656e-06,2.59323997463017e-08,1.1600475490995443e-06,1.0549006238263389e-10,2.859676904712139e-07,0.0,0.0,0.00043859746579665043,3.5514560349485365e-05,154.0,0.0,0.88250162442363567,1.0,18.997486818680564,0.0065633914914957773,5.5018026765361926e-07,0.017823458719571614,0.023931083218153237,0.022604591982025579,0.0017953741816560973,5.4422188419104411e-09,3.5189473682964168e-05,0.036405445944340566,2.0264847241700265e-11,0.0031817096889998693,2.0692610314416251e-05,0.0044168934145006923,0.0043845601207723774,9.4939820484583992e-07,3.4517939181142092e-06,5.7986943256351844e-07,0.00050756423196914491,1.9683811878948536e-06,6.4999420975292363e-06,6.9292057996603198e-06,0.00020542869404530681,2.3592600405572835e-08,2.7458469769399308e-13,3.9097274921251403e-13,1.229939289486307e-11,1.7070844800234017e-07,1.0192892406342738e-06,6.4551443785842294e-08,1.4060635505934609e-07,1.9651117019186123e-08,3.3389743782018663e-09,7.7566960675249305e-14,1.0075000019795285e-08,8.9679207378800951e-09,2.0915961251828734e-06,9.6876625601253909e-10,9.732583625402784e-11,5.004619525300472e-13
