Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270)
5.556611433712854e-19,1.145469702806794,2.3886160519799203e-19,3.5867674455336467e-32,3.5013450622693275e-32,2.9098146635394747e-50,1.1933075330088823e-43,0.0,0.0,4.32265623906963e-20,1.849929034688364e-35,154.0,0.0,0.99999999999956657,1.0,19.0,4.3973156842375841e-14,1.9737858930459188e-13,9.6070367402709723e-14,9.6070649452740922e-14,5.4532386324324474e-20,6.2051668290781215e-23,6.1850122173854038e-23,3.8488576622634878e-23,7.8530397205287983e-20,7.5651847411653185e-33,8.6485750832334963e-26,1.506617906605335e-25,2.6266442998378883e-34,2.6266442998378883e-34
1.1118050505508863e-18,1.145469702806794,4.7793073567919967e-19,1.4185423999909889e-31,1.401450501751179e-31,2.3302119906015151e-49,9.5537160853703324e-43,0.0,0.0,8.6490693060700746e-20,7.4045381635851303e-35,154.0,0.0,0.99999999999913269,1.0,19.0,8.7984517991219727e-14,3.949283915020246e-13,1.9222420155081132e-13,1.9222476582039796e-13,2.1827153215763711e-19,2.4836838278253139e-22,2.4675894705662448e-22,1.5405456272536293e-22,3.143260596923807e-19,6.0051975071580974e-32,3.461683913915314e-25,6.0303979721130669e-25,2.1029125475331583e-33,2.1029125475331583e-33
2.2240928649100883e-18,1.1454697028067942,9.5606899663061944e-19,5.6418186988235728e-31,5.6076274807068229e-31,1.8651145135743987e-48,7.6458764378013521e-42,0.0,0.0,1.7301899228099208e-19,2.9627805279517268e-34,154.0,0.0,0.99999999999826494,1.0,19.0,1.7600724028865286e-13,7.9002718090651558e-13,3.8453186947294247e-13,3.8453299795973145e-13,8.7336941101470799e-19,9.937970323704937e-22,9.8099129293907428e-22,6.1641853301847405e-22,1.2577121849398842e-18,4.7254784662291237e-31,1.3851244683159797e-24,2.4129446734423102e-24,1.6829691488449582e-32,1.6829691488449582e-32
4.448668493628492e-18,1.145469702806794,1.9123455184894759e-18,2.2502551247931082e-30,2.2434161389658942e-30,1.4924702409186008e-47,6.1178628260941188e-41,0.0,0.0,3.4607574224270535e-19,1.185305757369955e-33,154.0,0.0,0.99999999999652944,1.0,19.0,3.5205268488250058e-13,1.5802214997674475e-12,7.691472038209171e-13,7.6914945988701581e-13,3.4940381111313786e-18,3.9758351428412647e-21,3.874577783882508e-21,2.4660724533713297e-21,5.0316558509991725e-18,3.6583448215334647e-30,5.5413997926774673e-24,9.6533498200538853e-24,1.3466310093538837e-31,1.3466310093538837e-31
8.897819751065301e-18,1.145469702806794,3.8248985620312587e-18,8.9880736148819546e-30,8.974394900702432e-30,1.1941285741726324e-46,4.8947549805958774e-40,0.0,0.0,6.9218984825065712e-19,4.7416138789891551e-33,154.0,0.0,0.99999999999305844,1.0,19.0,7.0414357406612158e-13,3.1605970978047031e-12,1.5383778665317152e-12,1.5383823745849988e-12,1.397722403045767e-17,1.5904634041017251e-20,1.5113308697324811e-20,9.8650681137388665e-21,2.0128166561656853e-17,2.7479854526570115e-29,2.2167403024448216e-23,3.8616541222929224e-23,1.0774070806248367e-30,1.0774070806248367e-30
1.7796122265938917e-17,1.145469702806794,7.6500046484111017e-18,3.5926398513652239e-29,3.5899040340198187e-29,9.5536527313907065e-46,3.9159898818717626e-39,0.0,0.0,1.3844204846046872e-18,1.8967267079671854e-32,154.0,0.0,0.99999999998611655,1.0,19.0,1.4083253524170664e-12,6.3212961360014924e-12,3.0768391680127116e-12,3.0768481691795383e-12,5.5910643947054435e-17,6.3621118015947263e-20,5.7572215121577386e-20,3.9461681936555623e-20,8.0515183235606796e-17,1.957772083589458e-28,8.8673219067605525e-23,1.5447244473172043e-22,8.6196655370746537e-30,8.6196655370746537e-30
3.559272729568615e-17,1.1454697028067942,1.5300216818355903e-17,1.4365379996574908e-28,1.4359908285318639e-28,7.6431951682566567e-45,3.1328662657663568e-38,0.0,0.0,2.7688914546654621e-18,7.5870930171422624e-32,154.0,0.0,0.99999999997223277,1.0,19.0,2.816688909053768e-12,1.2642485587769625e-11,6.1537616752123427e-12,6.1537796315076749e-12,2.2364290819595532e-16,2.5448959457627474e-19,2.1007206990029696e-19,1.5784836963336411e-19,3.2206121163342306e-16,1.2828070077107426e-27,3.5470008398544301e-22,6.1790230467692446e-22,6.8958956351087012e-29,6.8958956351087012e-29
5.3389332325433383e-17,1.1454697028067942,2.2950428985485807e-17,3.0523195305258798e-28,3.0514987697007713e-28,2.2690992223631555e-44,8.9580941886311398e-38,0.0,0.0,4.1533721220791613e-18,1.6122716200416049e-31,154.0,0.0,0.99999999995834898,1.0,19.0,4.2250524656252793e-12,1.896346642179753e-11,9.2306840866496498e-12,9.2307109774132713e-12,4.7523782905584266e-16,5.4079354373475388e-19,4.1971659645202974e-19,3.3542748764288977e-19,6.8437524925208202e-16,3.296574106566611e-27,7.5374217669819225e-22,1.3130501876652151e-21,1.9718071006076161e-28,1.9718071006076161e-28
7.118593735518062e-17,1.145469702806794,3.0600641149800825e-17,5.20660857754355e-28,5.2055142266077657e-28,4.9442842261895116e-44,1.889527900072378e-37,0.0,0.0,5.5378624868459919e-18,2.750361746286695e-31,154.0,0.0,0.9999999999444652,1.0,19.0,5.6334160221316036e-12,2.5284238644970207e-11,1.2307606402324669e-11,1.2307642215722779e-11,8.1069263881334147e-16,9.2253292953932679e-19,6.7768037176503648e-19,5.7219800641435411e-19,1.167453310394054e-15,6.3531367316376918e-27,1.285799492550809e-21,2.2399160638120632e-21,4.15912612742369e-28,4.15912612742369e-28
1.0677914741467508e-16,1.1454697028067942,4.5901065471824502e-17,1.0779030841518676e-27,1.0777389309077604e-27,1.4351877685073873e-43,5.1609046329927456e-37,0.0,0.0,8.3068659754743789e-18,5.6943180259622273e-31,154.0,0.0,0.99999999991669763,1.0,19.0,8.4501431349912577e-12,3.792529351576707e-11,1.8461450808926588e-11,1.8461504462031492e-11,1.6784076980901747e-15,1.9099927165905704e-18,1.2848023077953647e-18,1.1846544444882383e-18,2.4170228388904859e-15,1.5129323837912859e-26,2.6620926959565584e-21,4.6374756665299776e-21,1.1359901906577462e-27,1.1359901906577462e-27
1.4237235747416954e-16,1.145469702806794,6.1201489783496833e-17,1.8331737303176179e-27,1.8329548586863749e-27,3.1386160696054351e-43,1.0798360805886741e-36,0.0,0.0,1.1075905124730584e-17,9.6846023572822297e-31,154.0,0.0,0.99999999988893007,1.0,19.0,1.1266870247611189e-11,5.0565581307237725e-11,2.4615294863376714e-11,2.4615366367842803e-11,2.8544824877237353e-15,3.2484023437199185e-18,2.0144481143277424e-18,2.0147702237838565e-18,4.1106516455518756e-15,2.8228600964619408e-26,4.527530281271833e-21,7.8871447256707356e-21,2.3768761463775135e-27,2.3768761463775135e-27
1.7796556753366402e-16,1.1454697028067942,7.6501914084078451e-17,2.8006176832454676e-27,2.8003440929048685e-27,5.8885075260199391e-43,1.9658031172355366e-36,0.0,0.0,1.3844982481803697e-17,1.4795966654144292e-30,154.0,0.0,0.9999999998611625,1.0,19.0,1.4083597359974275e-11,6.320504727401703e-11,3.0769138540521586e-11,3.0769227942663505e-11,4.3609242049492825e-15,4.9628294169160291e-18,2.8415483366104218e-18,3.0780855614732386e-18,6.2800316121575812e-15,4.6157733433408559e-26,6.9170511077612226e-21,1.2049788002654567e-20,4.3270180730016604e-27,4.3270180730016604e-27
2.491519876526529e-16,1.145469702806794,1.0710276265127288e-16,5.3853530025533802e-27,5.3849699733415017e-27,1.6112246956047018e-42,5.190310419209155e-36,0.0,0.0,1.9383254219403075e-17,2.8452450944223724e-30,154.0,0.0,0.99999999980562737,1.0,19.0,1.9717051583913781e-11,8.8481462423063972e-11,4.3076824739197072e-11,4.3076950217067313e-11,8.3855348060823388e-15,9.5433535084755924e-18,4.6557550422005778e-18,5.9189165485853213e-18,1.2075748440581268e-14,9.7219105938082647e-26,1.3301262198699648e-20,2.3171343590942778e-20,1.1424624981130501e-26,1.1424624981130501e-26
3.2033840777164187e-16,1.1454697028067942,1.3770361117342203e-16,8.8318365766224881e-27,8.8313441061933301e-27,3.396695568637957e-42,1.076082520645191e-35,0.0,0.0,2.4921681139219134e-17,4.6662449172722574e-30,154.0,0.0,0.99999999975009235,1.0,19.0,2.5350505806810097e-11,1.1375454040098811e-10,5.5384509405439545e-11,5.5384671395002397e-11,1.3751661404702604e-14,1.5651080132053715e-17,6.6180200216411248e-18,9.7067907409326087e-18,1.9803340824953286e-14,1.6848981382682189e-25,2.1814052793801469e-20,3.8000968365195755e-20,2.3686131557708651e-26,2.3686131557708651e-26
4.627112480096197e-16,1.145469702806794,1.9890530808260363e-16,1.830968519670097e-26,1.8308973833405943e-26,1.0361221623804662e-41,3.2333210947306643e-35,0.0,0.0,3.5999000460150043e-17,9.6741768011629444e-30,154.0,0.0,0.99999999963902253,1.0,19.0,3.661741424947362e-11,1.642906885225008e-10,7.9999874141283392e-11,8.0000110755273369e-11,2.850698365230068e-14,3.2447485322249494e-17,1.0693657289255189e-17,2.0122929919430601e-17,4.1052022483116355e-14,3.7183835064204897e-25,4.5224474238262417e-20,7.8782852399447823e-20,7.1170047836959491e-26,7.1170047836959491e-26
7.474569284855754e-16,1.145469702806794,3.2130870136050509e-16,4.7604827552407564e-26,4.7603678339847972e-26,4.4960398845202417e-41,1.3901104949752328e-34,0.0,0.0,5.815550101311015e-17,2.5154176714349672e-29,154.0,0.0,0.99999999941688344,1.0,19.0,5.9151231122284337e-11,2.6532296833323894e-10,1.2923058522662619e-10,1.2923097791719559e-10,7.4103912633358457e-14,8.4363884382166266e-17,1.9027853872254707e-17,5.2314501626532089e-17,1.0671474487476509e-13,1.0216989414316744e-24,1.1758447319383803e-19,2.0483674763555266e-19,3.0598310094367781e-25,3.0598310094367781e-25
1.3169482894374867e-15,1.145469702806794,5.6611548575448485e-16,1.4755255152547834e-25,1.4755052618396943e-25,2.5421083329386658e-40,7.8278859008245912e-34,0.0,0.0,1.0247594970560626e-16,7.7974177560274396e-29,154.0,0.0,0.99999999897260849,1.0,19.0,1.0421886481784094e-10,4.6722758142406713e-10,2.2769193385315353e-10,2.2769266667915669e-10,2.2959499167479089e-13,2.6148981860360627e-16,3.5773340034303668e-17,1.6211681910680153e-16,3.3063262238079199e-13,3.2940019312923063e-24,3.6446020929612796e-19,6.349030675840829e-19,1.7230265620242754e-24,1.7230265620242754e-24
1.8864396503893983e-15,1.1454697028067942,8.1092226726604284e-16,3.0264350946520272e-25,3.0264060719143612e-25,7.2487751185049624e-40,2.2298775569136154e-33,0.0,0.0,1.4680632851494475e-16,1.5994556945755677e-28,154.0,0.0,0.99999999852833765,1.0,19.0,1.4928649844664459e-10,6.6891908583297332e-10,3.261531844216355e-10,3.2615429481582328e-10,4.7075404972708745e-13,5.3633910277757848e-16,5.2520681050925633e-17,3.324550885537517e-16,6.7791829791567281e-13,6.8630453819934767e-24,7.475434947840781e-19,1.3022466827213791e-18,4.9082655115892929e-24,4.9082655115892929e-24
2.45593101134131e-15,1.145469702806794,1.0557290458951927e-15,5.1287765690016084e-25,5.1287387657020075e-25,1.5613546543990861e-39,4.8009068355617277e-33,0.0,0.0,1.9114663743971125e-16,2.7107494342733324e-28,154.0,0.0,0.9999999980840707,1.0,19.0,1.9435413200869552e-10,8.7039769581973349e-10,4.2461433693326877e-10,4.2461586238248499e-10,7.9749495603679743e-13,9.0891054151068492e-16,6.9246667336741451e-17,5.6329723063170957e-16,1.1484477372732706e-12,1.1728811379367256e-23,1.2668341414192328e-18,2.206866472273935e-18,1.0567442219302393e-23,1.0567442219302393e-23
3.0254223722932215e-15,1.145469702806794,1.3005358216419467e-15,7.7825497857370713e-25,7.7825031873217316e-25,2.8715894801201109e-39,8.8273219413332942e-33,0.0,0.0,2.3549687648397462e-16,4.1136912920244693e-28,154.0,0.0,0.99999999763980796,1.0,19.0,2.394217655039939e-10,1.0716636325444082e-09,5.2307539138923573e-10,5.2307736939684863e-10,1.2097288059900709e-12,1.3792029535284581e-15,8.5966704196042118e-17,8.5461013401746701e-16,1.7420929116977913e-12,1.7891285207569532e-23,1.9223320305314322e-18,3.3487614098291585e-18,1.9430104959934688e-23,1.9430104959934688e-23
4.164405094197045e-15,1.145469702806794,1.7901493644883115e-15,1.4744391338552496e-24,1.4744327093954849e-24,7.31377115528608e-39,2.247525692188284e-32,0.0,0.0,3.2422714495432364e-16,7.7947728471222791e-28,154.0,0.0,0.99999999675129458,1.0,19.0,3.2955703229433375e-10,1.4735583048497925e-09,7.1999720613847324e-10,7.2000020187422289e-10,2.2903462490316915e-12,2.6129463986581155e-15,1.1940601782141948e-16,1.6185255986577671e-15,3.298256556698407e-12,3.4106299891913889e-23,3.6419492095034634e-18,6.3443731202260643e-18,4.9470922071773308e-23,4.9470922071773308e-23
5.303387816100868e-15,1.145469702806794,2.279762895805231e-15,2.3911959506326312e-24,2.3911877518458673e-24,1.4917789487971263e-38,4.5831997614410342e-32,0.0,0.0,4.1299713397621595e-16,1.2643248670499534e-27,154.0,0.0,0.99999999586279742,1.0,18.999999999999993,4.196922988176656e-10,1.8746048723147463e-09,9.169186286786569e-10,9.169227925083614e-10,3.7118950273184349e-12,4.2375601372611816e-15,1.5284336753954786e-16,2.623936327760962e-15,5.3453848378066101e-12,5.5507965581567431e-23,5.9063943219403741e-18,1.0289074002141211e-17,1.0088191333410178e-22,1.0088191333410178e-22
6.442370538004691e-15,1.145469702806794,2.7693764155928052e-15,3.5285254147792689e-24,3.5285154291580618e-24,2.659626444481259e-38,8.1696231523842837e-32,0.0,0.0,5.018068436046608e-16,1.8659696110186777e-27,154.0,0.0,0.99999999497431646,1.0,18.999999999999989,5.0982756507399089e-10,2.27480519436668e-09,1.1138396590195663e-09,1.1138451415683581e-09,5.4736276655803914e-12,6.2530343985155024e-15,1.8628853023986838e-16,3.870563457074935e-15,7.8824013392477228e-12,8.2096154026055168e-23,8.7156666505779244e-18,1.5182855882395001e-17,1.7982320227681125e-22,1.7982320227681125e-22
7.581353259908514e-15,1.145469702806794,3.2589899238511311e-15,4.8864275234660263e-24,4.886415735727831e-24,4.3254778340000656e-38,1.3284306998021491e-31,0.0,0.0,5.9065627389621556e-16,2.5844687737045569e-27,154.0,0.0,0.9999999940858515,1.0,18.999999999999986,5.9996283106331147e-10,2.6741611101290207e-09,1.3107602971708785e-09,1.3107672493460041e-09,7.5748048505893718e-12,8.6593595139931236e-15,2.1972586154774498e-16,5.3581308468467171e-15,1.0908241399148247e-11,1.138707344349943e-22,1.206976551270276e-17,2.1025710704871222e-17,2.9240296018611373e-22,2.9240296018611373e-22
9.859318703716161e-15,1.145469702806794,4.2382169057804116e-15,8.2639496709675631e-24,8.263934222499883e-24,9.4991246614140808e-38,2.9163247151769163e-31,0.0,0.0,7.6847429668697664e-16,4.3722500702306333e-27,154.0,0.0,0.99999999230897008,1.0,18.999999999999975,7.80233362240943e-10,3.4703467472444826e-09,1.7046003969418252e-09,1.7046107420785992e-09,1.2792669083069808e-11,1.4644525225496291e-14,2.8660967853124359e-16,9.0550294271474695e-15,1.8422325760202668e-11,1.9297858621970611e-22,2.0412440242418229e-17,3.5558608298195407e-17,6.4191409948490387e-22,6.4191409948490387e-22
1.1909487603143042e-14,1.145469702806794,5.1195211500876817e-15,1.2058078017160894e-23,1.2058059194836319e-23,1.6738790276537991e-37,5.1374360196010892e-31,0.0,0.0,9.2864636241477411e-16,6.381451116618473e-27,154.0,0.0,0.99999999070983148,1.0,18.999999999999961,9.4247683938766882e-10,4.1840437127885939e-09,2.0590551455411745e-09,2.0590690630013458e-09,1.8642507197610187e-11,2.1367790448466571e-14,3.4680246900086189e-16,1.3203580712936513e-14,2.6846496100056393e-11,2.8191187293309167e-22,2.9784147626481889e-17,5.1883967392441489e-17,1.1308001025987485e-21,1.1308001025987485e-21
1.3959656502569923e-14,1.145469702806794,6.0008253570416574e-15,1.6566861669170141e-23,1.6566839381671457e-23,2.6958768829338739e-37,8.2717230276001423e-31,0.0,0.0,1.0889471239393361e-15,8.7701230544693421e-27,154.0,0.0,0.99999998911074472,1.0,18.99999999999995,1.1047203156693212e-09,4.8950323212889635e-09,2.4135086235920173e-09,2.413526606290346e-09,2.5581083086450625e-11,2.9357266777886481e-14,4.0699391426494283e-16,1.812863344182551e-14,3.6838523926500162e-11,3.8764714144474048e-22,4.0921082682397291e-17,7.1284201387930892e-17,1.8206806894464469e-21,1.8206806894464469e-21
1.6009825401996805e-14,1.145469702806794,6.8821295266428894e-15,2.1790300595465955e-23,2.1790274735770707e-23,4.0673555862478619e-37,1.2476238644503249e-30,0.0,0.0,1.2493765815778976e-15,1.1538589996628567e-26,154.0,0.0,0.99999998751170949,1.0,18.999999999999932,1.2669637910859079e-09,5.6033228450773424e-09,2.7679608311491348e-09,2.7679833734947654e-09,3.3604267352602344e-11,3.8612899477536571e-14,4.6718688600473641e-16,2.3828635612072267e-14,4.8392462623990196e-11,5.1018366616475941e-22,5.3823241534972379e-17,9.3759264628952534e-17,2.746122291015032e-21,2.746122291015032e-21
2.0110163200850567e-14,1.1454697028067935,8.6447377537893349e-15,3.4381144148472748e-23,3.4381110760471387e-23,8.0650254179958531e-37,2.4724414765906653e-30,0.0,0.0,1.5706215864670357e-15,1.8216206022030195e-26,154.0,0.0,0.99999998431379322,1.0,18.999999999999897,1.5914507393239195e-09,7.0118504808051487e-09,3.4768614350013957e-09,3.4768945858453976e-09,5.2888042737022584e-11,6.0922414978991948e-14,5.8757149173991992e-16,3.75472988032608e-14,7.6162429180479809e-11,8.0565757655645755e-22,8.4923215184592141e-17,1.4793369617536821e-16,5.4420052628636592e-21,5.4420052628636592e-21
2.421050099970433e-14,1.1454697028067933,1.0407345831531433e-14,4.9830608431752611e-23,4.9830566898804172e-23,1.4079840921563805e-36,4.3139024525289777e-30,0.0,0.0,1.8923813796225075e-15,2.6416893896355921e-26,154.0,0.0,0.99999998111608079,1.0,18.999999999999858,1.9159376841017694e-09,8.4097080690648647e-09,4.1857569575363852e-09,4.1858027124150994e-09,7.64610914528376e-11,8.829589890211646e-14,7.0795549080959621e-16,5.4347209518333775e-14,1.1010924518547957e-10,1.1683277912314074e-21,1.2308403773073576e-16,2.144068966541845e-16,9.4951104814283776e-21,9.4951104814283776e-21
2.831083879855809e-14,1.1454697028067928,1.2169953759873598e-14,6.813869320279145e-23,6.8138642782529304e-23,2.2525729256063538e-36,6.8977329277133343e-30,0.0,0.0,2.2146559635851724e-15,3.6143249121385799e-26,154.0,0.0,0.99999997791857076,1.0,18.999999999999801,2.2404246254195239e-09,9.7969764652637884e-09,4.8946473991925578e-09,4.8947077655183182e-09,1.0429091025895992e-10,1.2073291316672804e-13,8.2833890101237741e-16,7.4216053578135744e-14,1.5018610373735253e-10,1.5981884971126994e-21,1.6830567844948976e-16,2.9317850065302407e-16,1.5182135644474822e-20,1.5182135644474822e-20
3.2411176597411855e-14,1.1454697028067922,1.3932561538820236e-14,8.9305398219545881e-23,8.9305338043872092e-23,3.3817581190419449e-36,1.0349664752707147e-29,0.0,0.0,2.5374453408958639e-15,4.7397867714209707e-26,154.0,0.0,0.99999997472126156,1.0,18.999999999999741,2.5649115632772485e-09,1.1173735901959629e-08,5.6035327604083459e-09,5.6036097574196899e-09,1.3634524629496424e-10,1.5823301971225281e-13,9.4872179500273955e-16,9.7141566560669369e-14,1.963465584998278e-10,2.0952338813641697e-21,2.2058810674189269e-16,3.8424814276078422e-16,2.2779782657362587e-20,2.2779782657362587e-20
3.651151439626562e-14,1.1454697028067922,1.5695169168375763e-14,1.1333072323992792e-22,1.1333065231501319e-22,4.8371227563494464e-36,1.4795429748275483e-29,0.0,0.0,2.8607495140951827e-15,6.0183346086400565e-26,154.0,0.0,0.99999997152415165,1.0,18.999999999999673,2.8893984976750082e-09,1.254006599307917e-08,6.3124130416221442e-09,6.3125087003340517e-09,1.7259209538521633e-10,2.0079578051661813e-13,1.0691041730863402e-15,1.2311153391249074e-13,2.4854452125983012e-10,2.6594581316534453e-21,2.7993129213291724e-16,4.8761545758199287e-16,3.2564745030727421e-20,3.2564745030727421e-20
4.4712189993973143e-14,1.145469702806791,1.9220383979331083e-14,1.6995723232271453e-22,1.6995713641491039e-22,8.8931618089540711e-36,2.7171380933410983e-29,0.0,0.0,3.5089022583208384e-15,9.0357269552415302e-26,154.0,0.0,0.99999996513052392,1.0,18.99999999999951,3.5383723560908902e-09,1.5241753725435474e-08,7.7301583657971186e-09,7.7302974878281937e-09,2.575364692856092e-10,3.0110751301260979e-13,1.3098673850633209e-15,1.8413620639756494e-13,3.7087027869333798e-10,3.9894199836594293e-21,4.1979981288873584e-16,7.3124164387072759e-16,5.9803338513218096e-20,5.9803338513218096e-20
5.291286559168067e-14,1.1454697028067897,2.2745598192774761e-14,2.3801821851322502e-22,2.3801809213845671e-22,1.4755208432717954e-35,4.5031428376334808e-29,0.0,0.0,4.1591142165820021e-15,1.266857983574234e-25,154.0,0.0,0.99999995873767522,1.0,18.999999999999314,4.1873462006676796e-09,1.790266452044429e-08,9.1478833752237762e-09,9.1480742247404054e-09,3.588728438884354e-10,4.2166460728026141e-13,1.5506285463538805e-15,2.5719333358950178e-13,5.1680164794642375e-10,5.5880275651203942e-21,5.8791099934880996e-16,1.0240541366979294e-15,9.9111271711673191e-20,9.9111271711673191e-20
