Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125)
2.838671895994664e-15,0.8693272349592399,1.6378999899079274e-16,8.1984262417698519e-26,8.1983981227439281e-26,1.2995613841272318e-40,1.6090429649615231e-40,0.0,0.0,6.8583297884388002e-17,9.9596973304035732e-29,154.0,0.0,0.9999999991196461,1.0,19.0,1.0591641775683768e-10,2.1304587257041579e-10,2.8058793893229991e-10,2.8058817130559688e-10,2.1552231599576551e-13
5.361936754211309e-15,0.8693272349592399,3.0938115277607045e-16,2.9232112854323963e-25,2.9232059740599673e-25,8.953962030822554e-40,1.1086649178506958e-39,0.0,0.0,1.2965286465216564e-16,3.5536033424619018e-28,154.0,0.0,0.99999999833712605,1.0,19.0,2.0006437972676296e-10,4.0204220239484366e-10,5.2999953365267915e-10,5.29999972686697e-10,7.6789095439885099e-13
7.505182594039303e-15,0.8693272349592398,4.3304538588135859e-16,5.7264273832340948e-25,5.7264199488272638e-25,2.3355588157496606e-39,2.8919095626564601e-39,0.0,0.0,1.8160383094005663e-16,6.9645558965687208e-28,154.0,0.0,0.99999999767247094,1.0,19.0,2.8003308631093378e-10,5.622955172942397e-10,7.4184822645879591e-10,7.4184884110801327e-10,1.5034931085500652e-12
9.648428433867297e-15,0.8693272349592398,5.5670961132243064e-16,9.4634890192997107e-25,9.463479461858601e-25,4.8410890428297964e-39,5.994412296817448e-39,0.0,0.0,2.3362722416858046e-16,1.1515048348419398e-27,154.0,0.0,0.99999999700782716,1.0,19.0,3.6000179262591531e-10,7.2229300075961962e-10,9.5369691891088381e-10,9.5369770924772045e-10,2.4833776996691824e-12
1.179167427369529e-14,0.8693272349592399,6.8037382909927965e-16,1.4134397258232687e-24,1.4134385577757455e-24,8.6859581323478786e-39,1.0755506171563872e-38,0.0,0.0,2.857230444243167e-16,1.7206591291812161e-27,154.0,0.0,0.99999999634319503,1.0,19.0,4.3997049867170819e-10,8.8203502843983746e-10,1.1655456110089474e-09,1.1655465771058223e-09,3.7071860366654667e-12
1.3934920113523284e-14,0.8693272349592399,8.0403803921190045e-16,1.9739152874548409e-24,1.9739139071039241e-24,1.4167114759172317e-38,1.7543010987578685e-38,0.0,0.0,3.3789129177167566e-16,2.4040818937611716e-27,154.0,0.0,0.99999999567857445,1.0,19.0,5.1993920444831317e-10,1.0415220063213094e-09,1.3773943027529909e-09,1.3773954446823239e-09,5.1745304604021294e-12
1.8221411793179274e-14,0.8693272349592398,1.0513664364444615e-15,3.3750206388258514e-24,3.3750188338682171e-24,3.1087046705748597e-38,3.8496494823235995e-38,0.0,0.0,4.4244506776809381e-16,4.1143079358138944e-27,154.0,0.0,0.9999999943493677,1.0,19.0,6.7987661519396212e-10,1.3597322395824784e-09,1.8010916851790354e-09,1.801093178990543e-09,8.8384650873515178e-12
2.250790347283526e-14,0.8693272349592399,1.2986948030201182e-15,5.149665036464761e-24,5.1496628069005255e-24,5.7983541445587049e-38,7.180676316069551e-38,0.0,0.0,5.4728855225488339e-16,6.2834879883922765e-27,154.0,0.0,0.99999999302020681,1.0,19.0,8.3981402486286923e-10,1.6769269345691996e-09,2.2247890661890552e-09,2.2247909121724156e-09,1.347209354676949e-11
2.679439515249125e-14,0.8693272349592398,1.5460231389388831e-15,7.2978484907050903e-24,7.2978458365343962e-24,9.7379976486826607e-38,1.2060055148486096e-37,0.0,0.0,6.5242174527665169e-16,8.9129993601004814e-27,154.0,0.0,0.99999999169109166,1.0,19.0,9.9975143345504217e-10,1.9931094943048542e-09,2.6484864457830911e-09,2.6484886442279827e-09,1.9072166436575357e-11
3.108088683214724e-14,0.8693272349592399,1.7933514442007723e-15,9.819570940929034e-24,9.8195678621520598e-24,1.5175498395991289e-37,1.8794976955462262e-37,0.0,0.0,7.5784464682216827e-16,1.2004188977212226e-26,154.0,0.0,0.99999999036202214,1.0,19.0,1.1596888409704877e-09,2.3082832341524619e-09,3.0721838239611828e-09,3.0721863751572843e-09,2.5635518057834538e-11
