Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949)
1.6934283181509862e-19,0.42948974639467336,4.0165284256736322e-19,7.5821954114132593e-32,6.6775510408076219e-32,1.2082170538980762e-49,2.0037338559861034e-43,0.0,0.0,1.2097270908266168e-19,5.9474186666841191e-35,154.0,0.0,0.99999999999943201,1.0,19.0,2.5413619918330187e-14,2.253405234313274e-13,1.5861955097641815e-13,1.5862007355081807e-13,1.9732789811073653e-20,8.6184099010903117e-23,8.6077153390766957e-23,5.1395299363414641e-23,3.1391967457755425e-20,4.2261153563236598e-33,1.6152883550843095e-25,1.6009028276299655e-25,1.1655924978638214e-34,1.1655924975128995e-34,3.022338542210064e-44,4.5617340122141761e-34,4.8687808427415563e-45,1.1765619078424712e-26,3.8417356839919027e-80,3.5947031820324996e-80,3.5947031820348247e-80,6.0543511187082424e-38,3.4194495179352968e-40,5.0017712174783321e-33,5.8376429898332935e-38,9.2679477597786066e-41,7.4335201837550278e-47,3.6789691723333288e-57,3.2908760439345307e-67,4.1342245935076198e-68,1.1778244170926805e-78,2.0391771687548571e-82,1.9146523453067465e-79,3.3824821263393269e-70
3.3883279033029723e-19,0.4294897463946733,8.0365464516768627e-19,2.8537681128060097e-31,2.6727606367240486e-31,9.6755370884335594e-49,1.6042054412608243e-42,0.0,0.0,2.4205056725375931e-19,2.3805178368143929e-34,154.0,0.0,0.99999999999886358,1.0,19.0,5.0849319436903338e-14,4.5087672067665735e-13,3.1737691198909671e-13,3.1737795748999699e-13,7.8982568729172142e-20,3.4496099713155202e-22,3.4410464115074399e-22,2.0571511364775386e-22,1.2564965476320173e-19,3.3696859309490371e-32,6.4653629784731506e-25,6.4077833760255011e-25,9.3318272738719851e-34,9.3318272682526688e-34,4.8396760753566113e-43,3.6521602634397231e-33,7.7963914458915416e-44,4.709313838668424e-26,4.9274076969356269e-78,4.6105639702278454e-78,4.6105639702338092e-78,4.8471622311645713e-37,2.7376387836613346e-39,3.9580096920346359e-32,4.6735575592633603e-37,7.4199875418746083e-40,1.1903308184027634e-45,1.1782598391582615e-55,2.1079598488085514e-65,2.6481639962269559e-66,1.5089133594137196e-76,2.6123942236955504e-80,2.4528448229882158e-77,2.1666378262683424e-68
6.778127073606944e-19,0.4294897463946732,1.6076582507734668e-18,1.1056617575046824e-30,1.0694523981861661e-30,7.7443537540863722e-48,1.2838519042507848e-41,0.0,0.0,4.8420642412187328e-19,9.5251755412857068e-34,154.0,0.0,0.9999999999977266,1.0,19.0,1.0172071847394877e-13,9.0194880235537147e-13,6.348916334949214e-13,6.3489372454549723e-13,3.1603302923993137e-19,1.3802933117825623e-21,1.373451202867431e-21,8.23128220308678e-22,5.0276208607410876e-19,2.6749815527542865e-31,2.5869873400785698e-24,2.5639479967088668e-24,7.4682979352259873e-33,7.4682979262314356e-33,7.7466226267408339e-42,2.9228370949592179e-32,1.2479299019701849e-42,1.8843389507820831e-25,6.3134807906225344e-76,5.9075093541389523e-76,5.907509354154238e-76,3.8792029842524222e-36,2.1909430474296042e-38,3.0957154289685101e-31,3.7400961924037653e-36,5.9382355556598031e-39,1.9053015390669226e-44,3.772011517276354e-54,1.3496688163601389e-63,1.6955467029816743e-64,1.9322381557681397e-74,3.345300020507429e-78,3.1409369232627388e-75,1.3872387169138226e-66
1.3557725414214888e-18,0.42948974639467336,3.2156654636055663e-18,4.3509325947284714e-30,4.2785059807376003e-30,6.1970560675002023e-47,1.0272765859873955e-40,0.0,0.0,9.6851869996177527e-19,3.8106931999056806e-33,154.0,0.0,0.99999999999545264,1.0,19.0,2.0346351654763615e-13,1.8040917144667524e-12,1.2699210744284399e-12,1.269925255382819e-12,1.264336903253742e-18,5.5220719661676551e-21,5.4675590885893688e-21,3.2930473450041382e-21,2.0113741291827686e-18,2.1063249325272485e-30,1.0349633874730905e-23,1.0257461480396336e-23,5.9757730170516565e-32,5.9757730026574814e-32,1.2397083342352423e-40,2.3387120258209288e-31,1.9970926396964215e-41,7.5385828012191143e-25,8.0853532082704968e-74,7.5654462724740918e-74,7.5654462725132436e-74,3.1039518493383282e-35,1.7530873126944647e-37,2.3692626826457671e-30,2.9923727982035403e-35,4.7514753656662393e-38,3.0490932707090121e-43,1.2072937796725185e-52,8.6396996249268061e-62,1.0853784335891664e-62,2.4737899559283525e-72,4.2828933229812649e-76,4.0211193650768542e-73,8.8801976618705444e-65
2.7116922095430777e-18,0.4294897463946732,6.4316798957519196e-18,1.726027818596695e-29,1.7115416812604097e-29,4.9582790327390036e-46,8.2189930281788964e-40,0.0,0.0,1.9371455000562703e-18,1.524403530468316e-32,154.0,0.0,0.99999999999090472,1.0,19.0,4.0694911269339683e-13,3.608372533719208e-12,2.5399799479829571e-12,2.539988304102335e-12,5.0577512016174733e-18,2.2090084987135569e-20,2.1657855868991872e-20,1.3173249233348048e-20,8.0461385668649993e-18,1.633154452349434e-29,4.14019045863084e-23,4.1033184851798626e-23,4.7810722976295815e-31,4.7810722745966734e-31,1.9837239426584067e-39,1.8711445016343639e-30,3.1956685132946981e-40,3.0156785317501885e-24,1.8122317973721168e-71,1.6957010962449708e-71,1.6957010962624918e-71,2.4833973795036359e-34,1.4026030069651718e-36,1.7432804241677944e-29,2.3936897648829719e-34,3.8015167309874932e-37,4.8790151254250696e-42,3.8637225159770066e-51,5.5299647043814715e-60,6.9471216884262454e-61,3.1667728572220291e-70,5.4826608413934635e-74,5.1472139778148618e-71,5.6838989941580365e-63
5.4235315457862555e-18,0.4294897463946733,1.2863708785973242e-17,6.8754186137114582e-29,6.8464453244735442e-29,3.9668847152813126e-45,6.5755065858465364e-39,0.0,0.0,3.874408093903976e-18,6.0978797916713954e-32,154.0,0.0,0.99999999998180888,1.0,19.0,8.1392030497846245e-13,7.2169141524539615e-12,5.0800976618419112e-12,5.0801143507999014e-12,2.0231763906858431e-17,8.836393077722532e-20,8.4967789945289614e-20,5.2695043532332068e-20,3.2185761884600799e-17,1.2303431772050128e-28,1.6561435533704628e-22,1.6413941514773653e-22,3.8250393501168413e-30,3.8250393132626875e-30,3.1740839621545872e-38,1.4969822328048392e-29,5.1133143878605017e-39,1.2063204920559766e-23,2.3276489290285264e-69,2.1779757135922695e-69,2.1779757136373529e-69,1.9868124128652953e-33,1.1221356594537169e-35,1.2004397706574421e-28,1.9143458116461107e-33,3.0413185789801069e-36,7.8067239295769507e-41,1.2364410154570117e-49,3.5393232870410176e-58,4.4463411935901583e-59,4.053638283809573e-68,7.0180995429825393e-72,6.5878338775770999e-69,3.6378453479671087e-61
1.0847210218272611e-17,0.4294897463946732,2.5727766670130354e-17,2.7444287792614773e-28,2.7386338599334217e-28,3.1736248545562308e-44,5.2605301541649469e-38,0.0,0.0,7.7489692562338833e-18,2.4392155794810889e-31,154.0,0.0,0.99999999996361733,1.0,19.0,1.6278626895227701e-12,1.4433917311731369e-11,1.016033295655953e-11,1.0160366249298586e-11,8.0928189012483146e-17,3.5346287660192561e-19,3.2723612566285349e-19,2.1078368217569898e-19,1.2874485058759553e-16,8.8094974955883928e-28,6.6247088461139296e-22,6.5657099344834039e-22,3.0601040047901862e-29,3.0601039458232351e-29,5.0785489740373065e-37,1.1976071201525593e-28,8.1814621000975984e-38,4.8253800918552349e-23,2.9796106212557944e-67,2.7880147615398299e-67,2.7880147616552532e-67,1.5894879659963398e-32,8.9772981103985403e-35,7.4937460768531689e-28,1.5303990919035757e-32,2.4330499225888492e-35,1.2490764461262079e-39,3.9566181124718273e-48,2.2651721687267107e-56,2.8456650463306772e-57,5.1886707631475189e-66,8.9831938705701782e-70,8.4302112577339235e-67,2.3282265044232817e-59
2.1694567563245322e-17,0.4294897463946733,5.145588285330241e-17,1.0966238355475813e-27,1.0954646975139372e-27,2.5389666909983864e-43,4.2084741051251895e-37,0.0,0.0,1.5498235479428763e-17,9.7570738683195186e-31,154.0,0.0,0.9999999999272341,1.0,19.0,3.2557474585080913e-12,2.8867603324625851e-11,2.0320803013993791e-11,2.0320869323360855e-11,3.2371194415279497e-16,1.4138655878557721e-18,1.2177200738713362e-18,8.4313706573982061e-19,5.1497811074308122e-16,5.815772902917847e-27,2.6499103834924819e-21,2.626310488854044e-21,2.4481120828217377e-28,2.4481119884772361e-28,8.1254152328795819e-36,9.5808571888898515e-28,1.3090349060041113e-36,1.9301716326409186e-22,3.8139929230731288e-65,3.5687443552756548e-65,3.5687443555711446e-65,1.2716059574214721e-31,7.1819233266018654e-34,4.1473860552515194e-27,1.2225552730303888e-31,1.9463627378293336e-34,1.9984480572412091e-38,1.266072283138242e-46,1.4496588638453083e-54,1.8211612399702596e-55,6.6412656874091839e-64,1.1498091690270395e-67,1.0784566301641429e-64,1.4900122997915544e-57
3.2541924908218036e-17,0.4294897463946732,7.7183999451332263e-17,2.3296084377087754e-27,2.3278694615439189e-27,7.5376362033989084e-43,1.2033642713479809e-36,0.0,0.0,2.3247645601155826e-17,2.0734010858367032e-30,154.0,0.0,0.99999999989085087,1.0,19.0,4.8836322273901181e-12,4.3300969038967889e-11,3.0481272539427275e-11,3.0481371724202078e-11,6.8788391043043952e-16,3.004472921749943e-18,2.4644413206954256e-18,1.7916624635370233e-18,1.0943221682225666e-15,1.5001100022545716e-26,5.6310762567910728e-21,5.5809261910338545e-21,7.0000915359672534e-28,7.0000911887226142e-28,2.9906360126174877e-35,2.7395160631714157e-27,4.8181036612007687e-36,4.1016269347547224e-22,1.9678809307900288e-64,1.8413416357006371e-64,1.8413416358820523e-64,3.6360106295001145e-31,2.0535873957942258e-33,9.8675018010571739e-27,3.4928379853678748e-31,5.5652331755448989e-34,7.3554604150825084e-38,5.7803337476941992e-46,7.9647508273590506e-54,1.0005868343667099e-54,4.284479172095378e-63,7.4177644518639628e-67,6.9563306659416132e-64,8.1864618240111643e-57
4.338928225319075e-17,0.4294897463946733,1.0291211646421991e-16,3.9733967549060967e-27,3.9710776845692931e-27,1.6424256851468678e-42,2.5382481190997643e-36,0.0,0.0,3.099719962141222e-17,3.5370102162904704e-30,154.0,0.0,0.99999999985446786,1.0,19.0,6.5115169961688512e-12,5.7734014461865259e-11,4.0641741532860178e-11,4.0641873495449131e-11,1.1734413941134656e-15,5.1252846815947372e-18,4.0237770853754881e-18,3.0563557850406473e-18,1.8667727376956537e-15,2.8994092831699213e-26,9.6059684428591055e-21,9.5204179679574164e-21,1.4765244754643217e-27,1.4765243873969682e-27,7.584764297608517e-35,5.7784068734744553e-27,1.2219710715554164e-35,6.996903891019476e-22,1.0735526552872998e-63,1.0045207367524784e-63,1.0045207368534686e-63,7.6694154026918548e-31,4.3316177554944176e-33,1.7985117954725967e-26,7.3618459722960929e-31,1.1738393171473934e-33,1.8654666608978478e-37,1.7229248922854774e-45,2.7384068778399157e-53,3.4401753053764828e-54,1.6731822235846148e-62,2.8968000070802649e-66,2.7161954348385084e-63,2.8146346674086429e-56
6.508399694313617e-17,0.4294897463946733,1.543683514636409e-16,8.2251047759251892e-27,8.2216247177698952e-27,4.7675296101089902e-42,6.9327551810381287e-36,0.0,0.0,4.6496645382954478e-17,7.3230336734755526e-30,154.0,0.0,0.99999999978170151,1.0,19.0,9.7672865334838912e-12,8.6599353625296907e-11,6.0962678271153795e-11,6.0962875675259472e-11,2.4294323832313392e-15,1.0611264918026585e-17,7.7612132344974581e-18,6.3277565036942695e-18,3.8648697445459499e-15,6.9320909936477844e-26,1.988796745368267e-20,1.9710844961129487e-20,4.032852983604599e-27,4.032852675637398e-27,2.6523457868260776e-34,1.5782486305676561e-26,4.2732621251331219e-35,1.4486222835660739e-21,1.4909851037073743e-62,1.3951113140278952e-62,1.3951113141874314e-62,2.0947607302375315e-30,1.183101136129043e-32,3.9928668422714053e-26,2.0082208856094494e-30,3.205981396173315e-33,6.5234002203197708e-37,7.5413571482843926e-45,1.4727290489487888e-52,1.8501437029885138e-53,1.0882744488228627e-61,1.8841472954844021e-65,1.7662065751209593e-62,1.5137247904783573e-55
8.677871163308159e-17,0.4294897463946733,2.0582458798864169e-16,1.3987485158751187e-26,1.3982842639484527e-26,1.0426179521580193e-41,1.4505658121653117e-35,0.0,0.0,6.1996620310688173e-17,1.2454722740391733e-29,154.0,0.0,0.99999999970893516,1.0,19.0,1.3023056070419082e-11,1.154635150218947e-10,8.1283613053093209e-11,8.1283875829837255e-11,4.1317788366182681e-15,1.8046994298072562e-17,1.2358268679308066e-17,1.0761785478286894e-17,6.5730526715108975e-15,1.2973574724859549e-25,3.3824252074472319e-20,3.35230114472416e-20,8.4380854844974235e-27,8.4380847149893236e-27,6.6273157598266323e-34,3.3021972845102495e-26,1.0677652149153727e-34,2.463729195967209e-21,6.8538583948696599e-62,6.4131394556592199e-62,6.4131394564864906e-62,4.3829481310177718e-30,2.4754457191044795e-32,7.085221430089552e-26,4.1971838548758701e-30,6.7077261828054373e-33,1.6299725436345277e-36,2.1971382583446809e-44,4.9082137845254191e-52,6.1660364547793821e-53,4.0856408695652268e-61,7.0735441278275596e-65,6.6295403713449906e-62,5.0448417999709194e-55
1.0847342632302701e-16,0.4294897463946733,2.5728082614819219e-16,2.1368443543293001e-26,2.136263655653196e-26,1.9561171247757486e-41,2.640701579910952e-35,0.0,0.0,7.7497162202179859e-17,1.9028247063522609e-29,154.0,0.0,0.99999999963616903,1.0,19.0,1.6278825606947288e-11,1.4432641457296208e-10,1.0160454573894007e-10,1.016048740034298e-10,6.3123452834423209e-15,2.7571739305719846e-17,1.7687465323889097e-17,1.6441460267071372e-17,1.0042013299755691e-14,2.1267921251133955e-25,5.1675842365853502e-20,5.1215612221849592e-20,1.5361222153352479e-26,1.5361220520796552e-26,1.4060193876254239e-33,6.0114724608668632e-26,2.2653653445205046e-34,3.764023611769753e-21,2.5304595884727814e-61,2.3677451880760424e-61,2.3677451884079283e-61,7.9790016543705358e-30,4.5064573237144066e-32,1.1142631310524112e-25,7.6321483763674998e-30,1.2210675175250544e-32,3.4580610925260388e-36,5.334403188492874e-44,1.3437337331731657e-51,1.6880909659981412e-52,1.2461790947941528e-60,2.1575351512812581e-64,2.0217261545983553e-61,1.3811387549820565e-54
1.5186285570291786e-16,0.4294897463946733,3.6019330747361422e-16,4.1087767174443202e-26,4.1079622207936201e-26,5.3524527109785986e-41,6.9722382611117183e-35,0.0,0.0,1.0849998248968206e-16,3.6591711804040517e-29,154.0,0.0,0.99999999949063656,1.0,19.0,2.2790364678757204e-11,2.020483491986272e-10,1.4224640469070077e-10,1.4224686514334378e-10,1.213805515347464e-14,5.3019487138300246e-17,2.9728337572137751e-17,3.1615806490599242e-17,1.9309861202466391e-14,4.4975212003885658e-25,9.9370874698217977e-20,9.848585698621318e-20,4.055819100177538e-26,4.0558185021075989e-26,5.1507587758963789e-33,1.5871674080083121e-25,8.2994060536959955e-34,7.2380886701955125e-21,3.1021513039509065e-60,2.902675814598815e-60,2.9026758152809369e-60,2.1066977952854997e-29,1.1898386851110245e-31,2.2214725774562663e-25,2.0088935809051026e-29,3.2236264542117248e-32,1.2668010237293834e-35,2.7593768736441221e-43,1.0036234371694813e-50,1.2608210793338102e-51,1.3790468702271648e-59,2.3875818901962119e-63,2.2349363432573697e-60,1.0315610554649878e-53
1.952522850828087e-16,0.42948974639467336,4.6310579543780707e-16,6.738100107718367e-26,6.7370503523025392e-26,1.1283916760389659e-40,1.4455204219797054e-34,0.0,0.0,1.395051055172392e-16,6.0011996865280044e-29,154.0,0.0,0.9999999993451042,1.0,19.0,2.9301903748914145e-11,2.5976515951785257e-10,1.8288825512913854e-10,1.8288884984139734e-10,1.9905798126773582e-14,8.6951814879562467e-17,4.3139264765489599e-17,5.1848968516176834e-17,3.1667198253355029e-14,7.8152246493973174e-25,1.6296803432524496e-19,1.6151658881630846e-19,8.4087320596721099e-26,8.4087305067902155e-26,1.3373786020822114e-32,3.2905219739735046e-25,2.1550329291949745e-33,1.1870451105493804e-20,1.5464729514095129e-59,1.4470311734138e-59,1.4470311738218969e-59,4.3677215510545805e-29,2.4668346371203144e-31,3.7207907955361934e-25,4.1533344022908128e-29,6.6827232173384313e-32,3.2891838171155535e-35,8.8844713347151519e-43,3.9637212567890857e-50,4.979500709807994e-51,6.6017164437198669e-59,1.1429753193088668e-62,1.0692575511464156e-59,4.0740587020479063e-53
