Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016)
2.2115392835373034e-17,0.3865311837698936,6.920529505644804e-22,1.8675933059093686e-33,1.8675326301207899e-33,9.6792706928963361e-52,5.2615305522932388e-43,0.0,0.0,5.6991565639511148e-21,4.6931457231567828e-35,154.0,0.0,0.9999999999995145,1.0,19.0,4.9464751189644529e-14,4.8801998776399521e-15,2.1554011084759765e-13,2.1554010722768623e-13,4.3121270908153142e-20,1.3596493762245175e-20,1.3136733023371157e-20,1.0470543057564342e-20,3.6096097687289206e-20,1.4279548944124964e-29,3.9906127909974791e-24,2.1048594311819838e-25,2.5814332854036907e-33,2.5814331708281872e-33,1.0035052760616538e-40,1.0209427305276197e-33,1.422497563140517e-41,2.7456815976707368e-25,2.7343360507078185e-75,2.6556369497168347e-75,2.655636949717927e-75,1.5557117623941563e-34,1.5531767439499276e-38,2.0732308082515736e-29,4.1601524248553539e-35,3.2666858715906104e-40,4.6550724633733891e-45,1.1668863139898145e-53,1.3651875171162359e-61,5.3423574995704492e-64,2.2085923265630469e-72
4.424999973923901e-17,0.3865311837698935,1.3847071790069014e-21,7.475120889971744e-33,7.4749975207774889e-33,7.7519589841761239e-51,4.2124237143934811e-42,0.0,0.0,1.1404363803356237e-20,1.8786368754955052e-34,154.0,0.0,0.99999999999902867,1.0,19.0,9.8972477835939325e-14,9.7644771532995805e-15,4.3126745782299479e-13,4.3126743226933125e-13,1.7259499790835176e-19,5.4421404267446871e-20,5.0853494455721111e-20,4.1909288874504325e-20,1.4447639815874262e-19,1.1132978287505183e-28,1.5972849550299925e-23,8.4249225871733216e-25,2.0667161221632279e-32,2.0667159386990268e-32,1.606858663877919e-39,8.1736407373776691e-33,2.2778335209055355e-40,1.0989880890648413e-24,3.5070570508044972e-73,3.4061176521115473e-73,3.4061176521143479e-73,1.2455153963685198e-33,1.2434856693597504e-37,1.5325402289186957e-28,3.3260314049562943e-34,2.6152975331987912e-39,7.4540777439399688e-44,3.7371271724051115e-52,8.7445520048951832e-60,3.4219858042661835e-62,2.8293962740760833e-70
8.851921354697097e-17,0.3865311837698935,2.7700156825330275e-21,2.99099897931389e-32,2.9909727276854141e-32,6.2058171705036721e-50,3.3712192718687366e-41,0.0,0.0,2.2818077291681995e-20,7.5182390827303006e-34,154.0,0.0,0.999999999998057,1.0,19.0,1.9798793112700307e-13,1.9532543819301084e-14,8.6272207008479129e-13,8.6272195487536951e-13,6.9058509740382009e-19,2.1775647011775147e-19,1.9085817799636226e-19,1.6769038296738723e-19,5.7807728325932213e-19,8.4653654240933281e-28,6.391219273863262e-23,3.3710659840759172e-24,1.6540008098968778e-31,1.6540005162535105e-31,2.571837070873046e-38,6.5412224655905449e-32,3.6459659785678624e-39,4.3973831265967489e-24,4.4935859128507394e-71,4.3642524424622172e-71,4.364252442469394e-71,9.9679093017213827e-33,9.9516626517174569e-37,1.0624370656617748e-27,2.6544706731545125e-33,2.0929729305755054e-38,1.1931048117397424e-42,1.1963510111785455e-50,5.5987533687087578e-58,2.1909475273912404e-60,3.6230895111643522e-68
1.7705764116243485e-16,0.3865311837698935,5.5406328761503013e-21,1.196590405261718e-31,1.1965838962156869e-31,4.9676843989337892e-49,2.6974877176556945e-40,0.0,0.0,4.565870030072531e-20,3.0087809885533892e-33,154.0,0.0,0.99999999999611366,1.0,19.0,3.960188377030271e-13,3.906672580496073e-14,1.7256309678525696e-12,1.7256305409259053e-12,2.7626323815547705e-18,8.7116740245339986e-19,6.784118527370666e-19,6.7085984855583918e-19,2.3125535546266747e-18,6.1566405280545718e-27,2.5569030676497855e-22,1.3486455459827881e-23,1.3234516203206749e-30,1.3234511504559615e-30,4.1151902256708978e-37,5.2336929645296312e-31,5.834569085792369e-38,1.7592390540529955e-23,1.0074986098010665e-68,9.7850099104100704e-69,9.7850099104421994e-69,7.9758431275286985e-32,7.9628392575138635e-36,6.6919900723134149e-27,2.1122871310483236e-32,1.6746004294451738e-37,1.909250298531445e-41,3.8289191240000653e-49,3.5837734922913544e-56,1.4024300037187384e-58,4.6383028892228223e-66
3.5413449639336263e-16,0.3865311837698935,1.1081868009644144e-20,4.7867485759075885e-31,4.7867254910931948e-31,3.977488423986368e-48,2.1581952289988513e-39,0.0,0.0,9.1392730406841023e-20,1.2044070502278437e-32,154.0,0.0,0.99999999999222688,1.0,19.0,7.9208065083066116e-13,7.8127285950016397e-14,3.4514474563662841e-12,3.4514461490596552e-12,1.1050167481320787e-17,3.4849510437896145e-18,2.2110744777942506e-18,2.6835709977359334e-18,9.2499111567522344e-18,4.1617983797748345e-26,1.0228438977909257e-21,5.3950183698639067e-23,1.0588613021031052e-29,1.0588605504359048e-29,6.5830983007694633e-36,4.1869057983664376e-30,9.3357370239010376e-37,7.037525153403318e-23,1.2941630492921995e-66,1.2569147135717165e-66,1.2569147135799845e-66,6.3812823047798048e-31,6.3708721054509407e-35,3.7402670757916639e-26,1.6715753705758593e-31,1.3396541035570497e-36,3.0547725829193214e-40,1.2252491264739454e-47,2.2936114348646982e-54,8.9755380175897646e-57,5.9370259746956124e-64
7.082882068552183e-16,0.3865311837698935,2.216434126166381e-20,1.9147810652398409e-30,1.9147683950229603e-30,3.1867328352315746e-47,1.7266383902010269e-38,0.0,0.0,1.830719266698241e-19,4.8241981490588031e-32,154.0,0.0,0.99999999998445332,1.0,19.0,1.5842042769882735e-12,1.5621720340296994e-13,6.9030752053176757e-12,6.9030722125748987e-12,4.4192379978424586e-17,1.3940354060476577e-17,6.4039575616397029e-18,1.0734028396941411e-17,3.6992705250563669e-17,2.5343200516121611e-25,4.0915382411121673e-21,2.1580928682315241e-22,8.4712841600410133e-29,8.4712721389196466e-29,1.052749487794712e-34,3.3489700309450662e-29,1.4936264887571678e-35,2.8151220362285364e-22,1.6567248212199593e-64,1.6090413075280689e-64,1.6090413075492386e-64,5.105271332673016e-30,5.0969337377583312e-34,1.8573131318819611e-25,1.3087700993433558e-30,1.0715287232619951e-35,4.8868013108077797e-39,3.9201472247820441e-46,1.467671593903011e-52,5.7434063285435847e-55,7.5981619717424634e-62
1.4165956277789296e-15,0.3865311837698935,4.4329299705795309e-20,7.6593214634974364e-30,7.6592316965662283e-30,2.5567322532581131e-46,1.3813438849171628e-37,0.0,0.0,3.6727486115550744e-19,1.9348177841158604e-31,154.0,0.0,0.99999999996890621,1.0,19.0,3.1684515289128741e-12,3.1227232662377374e-13,1.380630979100696e-11,1.3806306716591414e-11,1.7669245782481147e-16,5.5762412256157587e-17,1.631558233444264e-17,4.2931461267100185e-17,1.4790631361112564e-16,1.3658228372732032e-24,1.6366459904411569e-20,8.6325287564612128e-22,6.7771747470162694e-28,6.7771555324309053e-28,1.6825257759686627e-33,2.6780985018467166e-28,2.3893276050482946e-34,1.126069959605611e-21,2.1206953094595358e-62,2.0596578941194698e-62,2.0596578941736661e-62,4.0843190489517556e-29,4.0776353338558632e-33,8.4134358757515374e-25,1.0040708713449811e-29,8.5685088008766688e-35,7.8156161834218701e-38,1.2539325479518458e-44,9.3892796257135682e-51,3.6742858706663774e-53,9.7217123983336041e-60
2.1249030487026407e-15,0.3865311837698936,6.6494270089985199e-20,1.6276219533467828e-29,1.6275968109793777e-29,7.6026273496722198e-46,3.949804882875741e-37,0.0,0.0,5.5232233541447983e-19,4.1190042422833443e-31,154.0,0.0,0.99999999995335909,1.0,19.0,4.7526987804468521e-12,4.6820283774341949e-13,2.0709523464573391e-11,2.0709524610868639e-11,3.753553144396724e-16,1.1849563191880473e-16,2.6743410178494796e-17,9.1221793055937376e-17,3.1420368212978105e-16,3.2141567628627446e-24,3.4778899776784501e-20,1.8344206430344898e-21,1.9378580094919251e-27,1.9378509406906877e-27,6.1894597898078042e-33,7.6558611001023242e-28,8.7934144770273004e-34,2.3929105562697752e-21,1.0942016113699332e-61,1.0627085264290314e-61,1.0627085264623048e-61,1.1678683093771503e-28,1.1659546359929966e-32,1.8576148693862431e-24,2.8036794285078044e-29,2.4494286280664533e-34,2.8760691311367392e-37,5.7240214388374105e-44,5.1580014127411679e-50,2.01846922337276e-52,6.2710541609297839e-59
3.541517890550063e-15,0.3865311837698935,1.1082425861833507e-19,4.4999683868266378e-29,4.4998545398811996e-29,3.5808702238564012e-45,1.8151971915903264e-36,0.0,0.0,9.2579542572226579e-19,1.144130378810878e-30,154.0,0.0,0.99999999992226485,1.0,19.0,7.9211932819523108e-12,7.795662069783494e-13,3.4515867163940062e-11,3.4515895633900676e-11,1.0369098250652421e-15,3.276059918453512e-16,4.8019375963161531e-17,2.5214511977834868e-16,8.679799447049224e-16,9.9422121144852198e-24,9.6153737193162211e-20,5.0716432600857874e-21,8.9057072585694774e-27,8.9056529655717571e-27,4.7529818901150658e-32,3.515775241066068e-27,6.763178819227693e-33,6.615715211494281e-21,7.3761462988406993e-60,7.1638475881329984e-60,7.1638475885118578e-60,5.3671450784154881e-28,5.3583142171099024e-32,5.3333568473943395e-24,1.2038408100406246e-28,1.1247806443269694e-33,2.2112074944425828e-36,7.4458722344985244e-43,1.1492233911218208e-48,4.4972306269474907e-51,2.4239353632370168e-57
4.814073882584247e-15,0.3865311837698935,1.5064626619712396e-19,8.0047419241208006e-29,8.0044869430529381e-29,8.2771967767209129e-45,4.0791583574704255e-36,0.0,0.0,1.2640073498493073e-18,2.0414952709912144e-30,154.0,0.0,0.99999999989433286,1.0,19.0,1.0767476225436666e-11,1.0588664476263669e-12,4.6918144435908324e-11,4.6918212927668846e-11,1.84349770166111e-15,5.8275423865861883e-16,6.7206741103432658e-17,4.4845588463302166e-16,1.5431612223857366e-15,1.8441178596674496e-23,1.710410440235203e-19,9.0215774709789291e-21,2.0013093611102449e-26,2.0012944559600398e-26,1.304728493365248e-31,7.897513336306791e-27,1.8578652721657568e-32,1.1768225331447324e-20,4.2025815807979026e-59,4.0816237518405112e-59,4.0816237520755892e-59,1.20612183425563e-27,1.2041318216828635e-31,9.6165190029924553e-24,2.60699596797272e-28,2.526526323881133e-33,6.0732141678389038e-36,2.4258980937428123e-42,4.3197194596583041e-48,1.6904263493782771e-50,1.0249184780566567e-56
6.0866298746184304e-15,0.3865311837698935,1.9046831449683978e-19,1.2489192051171094e-28,1.2488711253090848e-28,1.5974016394235212e-44,7.7048993534170742e-36,0.0,0.0,1.605099534643745e-18,3.1950697276656405e-30,154.0,0.0,0.99999999986640076,1.0,19.0,1.3613759167588799e-11,1.337743665525959e-12,5.9320350388864033e-11,5.9320475389873944e-11,2.8746894510378462e-15,9.0921821920026241e-16,8.6410273439491154e-17,6.9957987187609035e-16,2.4063546611670401e-15,2.9546010653753396e-23,2.6686007665406043e-19,1.4075549349009696e-20,3.7801552724119427e-26,3.7801217543102299e-26,2.9337293646313905e-31,1.4910769896502122e-26,4.1808080664091994e-32,1.8360911872228455e-20,1.2960867617053135e-58,1.2587830629710351e-58,1.2587830630573817e-58,2.2781821952928409e-27,2.2744138940150709e-31,1.5129231202156735e-23,4.7424161405368748e-28,4.7700131091538865e-33,1.366411436890619e-35,6.4178333980819336e-42,1.3286459664738891e-47,5.1993612756563396e-50,3.6304278676472362e-56
7.359185866652615e-15,0.3865311837698936,2.3029040121935355e-19,1.7898050945229242e-28,1.7897248460541545e-28,2.7230106436545271e-44,1.2872320309060106e-35,0.0,0.0,1.9489094304071686e-18,4.5922929872892269e-30,154.0,0.0,0.99999999983846866,1.0,19.0,1.646004210848389e-11,1.616222293072585e-12,7.1722489047960883e-11,7.1722686146091972e-11,4.1175126960250739e-15,1.3029729647695408e-15,1.0561817066131351e-16,1.0024034305099917e-15,3.4467013001760051e-15,4.3110490973705704e-23,3.8242954506992585e-19,2.0171249550786822e-20,6.3153668471844968e-26,6.3153025154453172e-26,5.6302351753430475e-31,2.4900959500898861e-26,8.0293874265589806e-32,2.6312497943405469e-20,3.9906270111398899e-58,3.8757696180871015e-58,3.8757696183673295e-58,3.8060928058030474e-27,3.7997803870246195e-31,2.1801649791387039e-23,7.6559255173620422e-28,7.9656752044482019e-33,2.6237824791847109e-35,1.4005984857038989e-41,3.2631147000787906e-47,1.2769475856649989e-49,9.9504002057226411e-56
9.904297850720983e-15,0.3865311837698935,3.0993466224968606e-19,3.0823032825892542e-28,3.0821322352576982e-28,6.0514922319829948e-44,2.7462471129302476e-35,0.0,0.0,2.6427242846292187e-18,7.9476247093235936e-30,154.0,0.0,0.99999999978260445,1.0,19.0,2.2152607987408604e-11,2.1722725656570708e-12,9.6526612969408991e-11,9.6526989861244145e-11,7.084721430012136e-15,2.2438721491446305e-15,1.4403497602474566e-16,1.725842145819153e-15,5.9305023121800921e-15,7.5846994114813572e-23,6.5858991755259642e-19,3.4737279031633099e-20,1.3473482458452319e-25,1.3473316466268092e-25,1.4525342659933661e-30,5.3090562775702487e-26,2.0738757623725803e-31,4.5313303466385314e-20,2.5142086679762507e-57,2.4418452400127145e-57,2.4418452402010636e-57,8.1201614133457987e-27,8.1066209300360693e-31,3.7788746504123208e-23,1.5472663058411833e-27,1.6982546335223715e-32,6.774977531617042e-35,4.305979117234786e-41,1.1785484228705243e-46,4.6119880979855357e-49,4.1762186497279949e-55
1.244940983478935e-14,0.3865311837698935,3.8957906532930659e-19,4.7165738289269636e-28,4.7162630676188726e-28,1.1394224479458845e-43,4.9918751664601789e-35,0.0,0.0,3.3465865381731514e-18,1.2219755473344971e-29,154.0,0.0,0.99999999972674025,1.0,19.0,2.7845173861685982e-11,2.7268539506792361e-12,1.2133048810670158e-10,1.2133110260540634e-10,1.0831835822437101e-14,3.4335440512440335e-15,1.8245200901169203e-16,2.6402440415363624e-15,9.0671493614404773e-15,1.1767816649649721e-22,1.0077678763631076e-18,5.3154568446043503e-20,2.4490776247332301e-25,2.4490425292244244e-25,3.070671967552145e-30,9.6444096315460294e-26,4.3887891291619118e-31,6.9337976251586475e-20,9.0193104024918674e-57,8.7597185021575656e-57,8.7597185029135801e-57,1.4760167295553749e-26,1.4735424232653393e-30,5.8059461798923182e-23,2.6756992911084013e-27,3.0849013081713903e-32,1.4333770587018795e-34,1.0437416074272987e-40,3.22841181867431e-46,1.2633674639656928e-48,1.2780737971006712e-54
1.4994521818857718e-14,0.3865311837698936,4.6922362007602749e-19,6.7157720518461598e-28,6.7152582818962814e-28,1.938469689721697e-43,8.2553642338836127e-35,0.0,0.0,4.0611764821435999e-18,1.7483920949160321e-29,154.0,0.0,0.99999999967087605,1.0,18.999999999999993,3.3537739731001306e-11,3.2798708478576676e-12,1.4613409761658123e-10,1.4613501158895494e-10,1.5409614830128741e-14,4.8888311539403649e-15,2.2086862993516044e-16,3.7583988677037055e-15,1.289913192532203e-14,1.6921981892474322e-22,1.4349073639080566e-18,7.5683864739868436e-20,4.050173583142316e-25,4.0501072866267025e-25,5.7998270206876991e-30,1.5939624076830224e-25,8.2982454055515153e-31,9.8726677123617126e-20,2.7458913085790803e-56,2.6668596421194326e-56,2.6668596423699476e-56,2.4409924429215636e-26,2.4368781981899199e-30,8.2900690829923268e-23,4.2127703323888977e-27,5.0982782258788775e-32,2.7095137775450185e-34,2.2269312971642833e-40,7.6878305997791905e-46,3.0084623280503912e-48,3.3645811732169022e-54
2.0084745786994453e-14,0.3865311837698935,6.2851319310054542e-19,1.1829569608917801e-27,1.1828385405448011e-27,4.6681310307275573e-43,1.9034576476177561e-34,0.0,0.0,5.5231428065008757e-18,3.1128551355188758e-29,154.0,0.0,0.99999999955914798,1.0,18.999999999999989,4.4922871454466497e-11,4.3811477973654004e-12,1.9574050482363004e-10,1.9574220771053851e-10,2.709081899347398e-14,8.6111807461407295e-15,2.9770078563839771e-16,6.6165303784499232e-15,2.2677273378605234e-14,3.019803650374697e-22,2.5274561237460589e-18,1.3330965716221171e-19,9.338497925283195e-25,9.3382978001866926e-25,1.750096307324997e-29,3.6695382552867262e-25,2.5115465770247424e-30,1.7389788138038647e-19,2.2717143733366324e-55,2.2063303741712667e-55,2.2063303744810962e-55,5.6283276847518867e-26,5.6187207935317155e-30,1.4653163706428804e-22,8.6978523399198584e-27,1.1735636185652472e-31,8.1946607961570489e-34,8.9276755990235885e-40,4.1384196821516546e-45,1.619479118155719e-47,2.4715508754340528e-53
2.5174969755131188e-14,0.3865311837698935,7.8780338225659737e-19,1.8426063132562786e-27,1.8423789192765496e-27,9.2228319219117831e-43,3.6556936053323954e-34,0.0,0.0,7.0286893249269683e-18,4.8996093574149328e-29,154.0,0.0,0.99999999944741991,1.0,18.999999999999975,5.6308003157773297e-11,5.4761252800587387e-12,2.4534583296675846e-10,2.4534857812203683e-10,4.2116724234398019e-14,1.3412544647394412e-14,3.7453161210947673e-16,1.0300340417083871e-14,3.5255208397532889e-14,4.7418797690635972e-22,3.9367167843644735e-18,2.0763985773299561e-19,1.7934952355339352e-24,1.7934483217091874e-24,4.1012585725499716e-29,7.0372955054572434e-25,5.901239022196581e-30,2.7085998384878105e-19,9.7907949757388798e-55,9.5089984168953824e-55,9.508998418494214e-55,1.0809643512649841e-25,1.0790979840038154e-29,2.2868391224347741e-22,1.5150117202494643e-26,2.2503697666871117e-31,1.9242265039685815e-33,2.5489553007097319e-39,1.4262840122213468e-44,5.5814478600079489e-47,1.0203179664830329e-52
