Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144)
2.1276269474274927e-19,0.3978591883052471,7.3594384421683992e-19,2.0022386043349619e-31,1.7858694673979658e-31,5.4617165921479722e-49,7.4011394911484291e-43,0.0,0.0,2.157895103518087e-19,1.5544495189541334e-34,154.0,0.0,0.99999999999908118,1.0,19.0,3.6781547246504923e-14,3.7903049329839829e-13,2.5153276078913399e-13,2.5153371241272347e-13,4.2055572053003504e-20,1.8673720887143796e-22,1.8643145694652706e-22,1.1039274641914627e-22,6.8400657868597784e-20,1.2197928060979064e-32,3.7392764809206511e-25,3.7625136912471801e-25,3.6895625031854047e-34,3.6895625016800472e-34,1.2956257011133621e-43,1.4381151168642725e-33,2.0973200474567216e-44,2.719257072815134e-26
4.256177745027555e-19,0.397859188305247,1.4722072475455071e-18,7.5786362986063559e-31,7.1458040736949132e-31,4.3715878560600398e-48,5.9231609520451584e-42,0.0,0.0,4.3167282811399445e-19,6.2198243031899941e-34,154.0,0.0,0.99999999999816191,1.0,19.0,7.3579065638072073e-14,7.5822534275930887e-13,5.0317474081275584e-13,5.0317664425485075e-13,1.682770253232871e-19,7.4719206852418729e-22,7.4474604830721516e-22,4.4171471186348047e-22,2.7369165783258913e-19,9.7072062051539882e-32,1.4961976541714386e-24,1.5054955641619939e-24,2.9527713314464993e-33,2.9527713290369488e-33,2.073843001522855e-42,1.1509288925467841e-32,3.3570771267347498e-43,1.0880570282852516e-25
8.513279340227679e-19,0.397859188305247,2.9447340552325779e-18,2.9453627775311351e-30,2.8587869374139973e-30,3.4981574393197883e-47,4.7394286988819446e-41,0.0,0.0,8.6343978801064807e-19,2.4883359025908997e-33,154.0,0.0,0.99999999999632339,1.0,19.0,1.4717410242098722e-13,1.516614366436226e-12,1.006458699734575e-12,1.0064625061659482e-12,6.7321733419105229e-19,2.9892547888336538e-21,2.9697313755213237e-21,1.7671459385304081e-21,1.0949442915480164e-18,7.6808903479465625e-31,5.9857648700113258e-24,6.0229625569580701e-24,2.3626656872118549e-32,2.3626656833557962e-32,3.3188179305776967e-41,9.2091754271420537e-32,5.3724137410838639e-42,4.3529366095142442e-25
1.7027482530627927e-18,0.397859188305247,5.8897876747256624e-18,1.1609239514135452e-29,1.1436078438517472e-29,2.79888262491758e-46,3.7919029745507439e-40,0.0,0.0,1.726975005293082e-18,9.9541630559005911e-33,154.0,0.0,0.99999999999264633,1.0,19.0,2.9436417598594083e-13,3.0333897128152528e-12,2.0130266130765142e-12,2.0130342229459502e-12,2.6930857627141166e-18,1.1957992089068339e-20,1.1802692787174258e-20,7.0691547592623433e-21,4.3801291689514818e-18,6.0114926669388374e-30,2.3945008053539574e-23,2.4093810850895811e-23,1.8903120091816246e-31,1.8903120030113223e-31,5.3106295181493604e-40,7.3680328782102521e-31,8.5967280460059059e-41,1.7413163508869324e-24
3.4055888911428425e-18,0.3978591883052471,1.1779894930187604e-17,4.6092506800384803e-29,4.5746175251774277e-29,2.2392516074376419e-45,3.0336663968527648e-39,0.0,0.0,3.4540506298144347e-18,3.9818347374134205e-32,154.0,0.0,0.9999999999852921,1.0,19.0,5.8874432311234148e-13,6.0669296017125559e-12,4.0261624217535989e-12,4.0261776287316007e-12,1.0772759474791564e-17,4.7833912973990671e-20,4.6606184433864418e-20,2.8277735346724018e-20,1.7521193962314841e-17,4.6083340599714137e-29,9.5783928932019003e-23,9.6379163851829621e-23,1.5123213812142467e-30,1.5123213713413259e-30,8.4973773899661082e-39,5.8946949274388968e-30,1.3755437543531737e-39,6.9655488095796542e-24
6.811270167302942e-18,0.39785918830524697,2.3560109507014575e-17,1.8368109700894611e-28,1.8298842449842328e-28,1.791464017830013e-44,2.4269907312534789e-38,0.0,0.0,6.908222638682941e-18,1.5927722946970198e-31,154.0,0.0,0.99999999997058364,1.0,19.0,1.1775046173511168e-12,1.213396616437197e-11,8.0524339670805996e-12,8.0524643322219854e-12,4.3091739214941037e-17,1.913395306658473e-19,1.8174712115521499e-19,1.1311296814942294e-19,7.0085916493928652e-17,3.4012433348268505e-28,3.8314350487454817e-22,3.8552448894333894e-22,1.2098857933174633e-29,1.2098857775205949e-29,1.3595951073170056e-37,4.7158499474976014e-29,2.2009173513415232e-38,2.7862761915581805e-23
1.3622632719623141e-17,0.3978591883052471,4.7120538924280843e-17,7.3334650304151569e-28,7.3196114847975021e-28,1.4332035507991496e-43,1.9416156393758951e-37,0.0,0.0,1.3816649695721999e-17,6.3712019480219596e-31,154.0,0.0,0.99999999994116673,1.0,19.0,2.3550252057725619e-12,2.4267866431612555e-11,1.6104976769625997e-11,1.6105037328977052e-11,1.7236730713929061e-16,7.6536579620550255e-19,6.920682986310584e-19,4.524542794939788e-19,2.8034423568333115e-16,2.3539772390860675e-27,1.5325895641980873e-21,1.5421135629841975e-21,9.6792007499636938e-29,9.6792004972172138e-29,2.1753163095754902e-36,3.7726960452659354e-28,3.521484931548507e-37,1.114521798808077e-22
2.043399527194334e-17,0.397859188305247,7.068096860515945e-17,1.5575001377607297e-27,1.5554221009565939e-27,4.2548584743911034e-43,5.5518243454261651e-37,0.0,0.0,2.0725159792061959e-17,1.3538916003940174e-30,154.0,0.0,0.99999999991174982,1.0,19.0,3.5325457941379026e-12,3.6401593843237371e-11,2.4157519284062873e-11,2.4157609935741754e-11,3.6627956270088095e-16,1.6264070185139169e-18,1.4221948759952239e-18,9.6146499624427983e-19,5.9572993136686997e-16,6.2188795779754821e-27,3.256762503092129e-21,3.2770010083821789e-21,2.7676548234236077e-28,2.7676547303970281e-28,8.0065188522129185e-36,1.078753851500759e-27,1.296139094387837e-36,2.3683658861363924e-22
2.724535782426354e-17,0.397859188305247,9.4241398549650357e-17,2.6561420042377842e-27,2.6533712849364411e-27,9.2711731509806565e-43,1.1710425590208296e-36,0.0,0.0,2.7633752927701691e-17,2.3095946853718933e-30,154.0,0.0,0.9999999998823329,1.0,19.0,4.710066382447138e-12,4.8535148401708857e-11,3.2210061510391293e-11,3.2210182171045835e-11,6.2482758510601963e-16,2.774463124312003e-18,2.353598547968092e-18,1.6401436784695023e-18,1.0162415059338416e-15,1.2252031595111215e-26,5.5556622950111937e-21,5.5901867726365722e-21,5.8377952839171788e-28,5.8377950479839293e-28,2.0306041191929729e-35,2.2753991214712862e-27,3.2872836218030517e-36,4.0401598713862088e-22
4.086808292890394e-17,0.397859188305247,1.4136225905731408e-16,5.4976328212525776e-27,5.4934767361611053e-27,2.6911650301472264e-42,3.198486141955955e-36,0.0,0.0,4.1451134087130197e-17,4.7817692261140716e-30,154.0,0.0,0.99999999982349919,1.0,19.0,7.0651075589339329e-12,7.2801851850522265e-11,4.8315145286875455e-11,4.8315325821326362e-11,1.2936169611180378e-15,5.7441814681031269e-18,4.6373276906174067e-18,3.3956969047547084e-18,2.1039840109629676e-15,3.0091909743080477e-26,1.1502310537830022e-20,1.1573788886622527e-20,1.5944856310328105e-27,1.5944855485272512e-27,7.1009815104508857e-35,6.214790410684455e-27,1.1495744492685509e-35,8.3646506337855675e-22
5.4490808033544337e-17,0.3978591883052471,1.8848312053437422e-16,9.3485147900888053e-27,9.342973337740842e-27,5.885324488171437e-42,6.6923099898381684e-36,0.0,0.0,5.5268820611671233e-17,8.1326082746113916e-30,154.0,0.0,0.99999999976466547,1.0,19.0,9.42014873521441e-12,9.7067919677096834e-11,6.442022800388268e-11,6.4420468237923324e-11,2.2000874556792884e-15,9.7693552966178836e-18,7.528926843666759e-18,5.7751677968339322e-18,3.5782994260376084e-15,5.7524623576617288e-26,1.9562434195739986e-20,1.9683999737028999e-20,3.3362005389709926e-27,3.3362003328151251e-27,1.7743123873311792e-34,1.3003357398522157e-26,2.8724628808266768e-35,1.4226092156128898e-21
6.811353313818473e-17,0.397859188305247,2.3560398305007325e-16,1.4280887299262084e-26,1.4273960477660675e-26,1.1041760162012058e-41,1.2183103639464436e-35,0.0,0.0,6.9086834313111133e-17,1.2424895295968021e-29,154.0,0.0,0.99999999970583175,1.0,19.0,1.1775189911273831e-11,1.2133330649630262e-10,8.0525309585736536e-11,8.0525609425068352e-11,3.3612101371054737e-15,1.4925373798840053e-17,1.0979473031376275e-17,8.8231122850208184e-18,5.4667900920848117e-15,9.6043396335789531e-26,2.9886995645378581e-20,3.00727195969631e-20,6.0734296479328691e-27,6.07342921055744e-27,3.7643324541138396e-34,2.3671991007464249e-26,6.0942183759363842e-35,2.173426657226245e-21
9.535898334746553e-17,0.3978591883052471,3.2984571126262893e-16,2.745803702828972e-26,2.744833945917919e-26,3.021286008534476e-41,3.2167020338197212e-35,0.0,0.0,9.6723863797989679e-17,2.389309632068274e-29,154.0,0.0,0.99999999958816432,1.0,19.0,1.6485272262715626e-11,1.6986199444721752e-10,1.1273546927268369e-10,1.1273588851015273e-10,6.4633661241583776e-15,2.8700974607373173e-17,1.911620428310371e-17,1.6966346535857119e-17,1.0512245425900986e-14,2.093765478129097e-25,5.7471669820893742e-20,5.7828806661388359e-20,1.6035659753672653e-26,1.6035658151347226e-26,1.3790554314584461e-33,6.2500083743361233e-26,2.2327000185545708e-34,4.1794251855911144e-21
1.4984988376602712e-16,0.397859188305247,5.1832918033454332e-16,6.6980919837938801e-26,6.6965680721560556e-26,1.1999463950387509e-40,1.2438489870334724e-34,0.0,0.0,1.5200190658004393e-16,5.8294296873705269e-29,154.0,0.0,0.99999999935282968,1.0,19.0,2.5905436962907577e-11,2.6691107926044678e-10,1.7715577482461184e-10,1.7715643522767146e-10,1.5768002617184368e-14,7.0021678272235546e-17,3.8678660397291671e-17,4.1391737607857822e-17,2.5645632663557426e-14,5.8312635464678476e-25,1.4021354416201569e-19,1.4108482757087532e-19,6.2007400822315118e-26,6.2007390662112736e-26,8.7443411682015557e-33,2.4166915299458957e-25,1.4158612149601687e-33,1.0196537591461463e-20
2.0434078418458871e-16,0.3978591883052471,7.0681266628335773e-16,1.2407701107385196e-25,1.2405623031811727e-25,3.0043304120267301e-40,3.0869244817007941e-34,0.0,0.0,2.0728526567842462e-16,1.0799617544182616e-28,154.0,0.0,0.99999999911749526,1.0,19.0,3.532560165950759e-11,3.6394910064825306e-10,2.4157606193143218e-10,2.4157696817593218e-10,2.9209636161925406e-14,1.2971747748333736e-16,6.1116644962087525e-17,7.6677851531810439e-17,4.7507577049580146e-14,1.1547134132214559e-24,2.5975038965963087e-19,2.6136443077626911e-19,1.5388694520269062e-25,1.5388691210601355e-25,2.8484254956948067e-32,5.9974493972837639e-25,4.6124220955132068e-33,1.8889435442863614e-20
3.133225850217119e-16,0.397859188305247,1.0837796887964117e-15,2.9097293906175087e-25,2.9094107458344077e-25,1.0983046296469988e-39,1.1211750458776923e-33,0.0,0.0,3.1786792801497235e-16,2.5329665901822062e-28,154.0,0.0,0.99999999864682698,1.0,19.0,5.4165931041935087e-11,5.5799196962833197e-10,3.7041658082661789e-10,3.7041799843876073e-10,6.8497731684506305e-14,3.0421755768359371e-16,1.0895874601017066e-16,1.7981864977915593e-16,1.114071140005918e-13,2.8932964505518889e-24,6.0917569154717589e-19,6.1296077306872554e-19,5.5891912349872016e-25,5.5891893405185113e-25,1.6304073031571228e-31,2.1781241090609368e-24,2.6406138565281519e-32,4.4300166008443835e-20
5.312861866959583e-16,0.39785918830524697,1.8377139362807395e-15,8.3557629858515287e-25,8.3552226380516045e-25,5.5068785551348738e-39,5.6027021177561682e-33,0.0,0.0,5.3909702816161199e-16,7.2753642846293662e-28,154.0,0.0,0.99999999770549275,1.0,19.0,9.1846589763700666e-11,9.4594505638296991e-10,6.280973973481141e-10,6.2809992474203257e-10,1.96676792050591e-13,8.7364671536840929e-16,2.0822163313268832e-16,5.1634799244409122e-16,3.1988203485857235e-13,8.750894020740026e-24,1.7494251334005882e-18,1.7602936718853355e-18,2.793010627866095e-24,2.7930089264098294e-24,1.4642082584738375e-30,1.0882739166541997e-23,2.3724800693154422e-31,1.27220814275119e-19
7.492497883702046e-16,0.3978591883052471,2.5916484537058541e-15,1.6612582010942926e-24,1.6611819907749003e-24,1.5074064951590765e-38,1.5322002353204035e-32,0.0,0.0,7.6041116118178843e-16,1.4466975258709604e-27,154.0,0.0,0.99999999676416185,1.0,19.0,1.2952724842801453e-10,1.333721332260827e-09,8.8577791884978732e-10,8.857816757025876e-10,3.9097154865001699e-13,1.7369758744936533e-15,3.0867001009490001e-16,1.0265066311856858e-15,6.3588984371770233e-13,1.778213850596503e-23,3.4781986910739331e-18,3.499804907006617e-18,7.6381857555177454e-24,7.6381795675247939e-24,5.3249485468612101e-30,2.9758102383293782e-23,8.6304440637425447e-31,2.5293982171585311e-19
1.1851769917186974e-15,0.397859188305247,4.0995182983715421e-15,4.1558518759502907e-24,4.1557312881025892e-24,6.0269796541656931e-38,6.1210395142068608e-32,0.0,0.0,1.2032945237706242e-15,3.6203242186024996e-27,154.0,0.0,0.99999999488150926,1.0,18.999999999999996,2.0488856558428902e-10,2.1087438696159834e-09,1.4011380768125599e-09,1.4011446563937139e-09,9.777517596266744e-13,4.345315338717224e-15,5.085706703861257e-16,2.5674662134602794e-15,1.5902497658345503e-12,4.5365056909386536e-23,8.7013029576235479e-18,8.7553403150064719e-18,3.051398773284807e-23,3.0513947758486409e-23,3.4395321893676273e-29,1.1884691529267594e-22,5.5790397549944272e-30,6.3277181272321827e-19
1.5775114747323409e-15,0.3978591883052471,5.4566020817596647e-15,7.3622687042363446e-24,7.3621081380238726e-24,1.3898272628971951e-37,1.4109965372850597e-31,0.0,0.0,1.6021803600486903e-15,6.4152645190890605e-27,154.0,0.0,0.99999999318713284,1.0,18.999999999999993,2.7271375082845384e-10,2.8056602620879208e-09,1.864961210042407e-09,1.8649707441092381e-09,1.7316697153990904e-12,7.6979277666730237e-15,6.8823984509727626e-16,4.5476722519510924e-15,2.8164483802100137e-12,8.1042904236338865e-23,1.5414830470981311e-17,1.5510540110792254e-17,7.0339472241934836e-23,7.033935582321199e-23,1.0016431224166429e-28,2.7390561639029786e-22,1.6254410597952041e-29,1.1209896325456607e-18
1.9698459577459844e-15,0.397859188305247,6.8136867397462253e-15,1.1479374235604189e-23,1.1479173641317551e-23,2.6671700815294072e-37,2.7069883441515187e-31,0.0,0.0,2.0013417000839691e-15,1.0005408591991906e-26,154.0,0.0,0.99999999149276675,1.0,18.999999999999982,3.4053893588647846e-10,3.502005054359069e-09,2.3287833874532754e-09,2.3287962683746805e-09,2.6993287358549559e-12,1.2002731016985407e-14,8.6783101034239764e-16,7.0896959254362755e-15,4.3902829614584651e-12,1.2700258146238811e-22,2.403515446747604e-17,2.4184355243216089e-17,1.3494565670535293e-22,1.3494538644175919e-22,2.3251387516832597e-28,5.2537920290098118e-22,3.7749718573108263e-29,1.7478725722925354e-18
2.3621804407596277e-15,0.397859188305247,8.1707722723301354e-15,1.6507168871650914e-23,1.6506928187987182e-23,4.5493260441246583e-37,4.6160160650914345e-31,0.0,0.0,2.4007785436419872e-15,1.4391346056605295e-26,154.0,0.0,0.99999998979841076,1.0,18.999999999999975,4.0836412075836355e-10,4.197778692956258e-09,2.7926046090586206e-09,2.7926212293761285e-09,3.8805618487995307e-12,1.725971164884217e-14,1.0474188645914945e-15,1.019327645762057e-14,6.311481940228221e-12,1.8324394461879385e-22,3.4562272406298447e-17,3.4776775827479156e-17,2.3011197446769127e-22,2.3011143547302146e-22,4.6367969095687772e-28,8.957097122522504e-22,7.5314978893953601e-29,2.5134204509342658e-18
2.754514923773271e-15,0.39785918830524697,9.5278586795103513e-15,2.2445653122831933e-23,2.2445372276404541e-23,7.1558402419543777e-37,7.2589172657754449e-31,0.0,0.0,2.8004908905062327e-15,1.9573691601456715e-26,154.0,0.0,0.99999998810406499,1.0,18.999999999999961,4.7618930544410995e-10,4.8929816428660754e-09,3.2564248748723678e-09,3.2564456273775955e-09,5.2751951792822684e-12,2.3468855749535834e-14,1.2270110215372972e-15,1.3858142229700826e-14,8.5797625202868626e-12,2.4976684368076569e-22,4.699618183261349e-17,4.7287791754601747e-17,3.6186213379858823e-22,3.6186116427509455e-22,8.3399719843792988e-28,1.4082698421457905e-21,1.355262953063597e-28,3.4176330938551513e-18
3.539183889800558e-15,0.39785918830524697,1.2242034117656158e-14,3.7054692517252171e-23,3.7054331081778076e-23,1.4971527025073613e-36,1.5179941775513081e-30,0.0,0.0,3.6007420934419427e-15,3.2329813205272434e-26,154.0,0.0,0.99999998471540408,1.0,18.999999999999936,6.1183967425718874e-10,6.2816771430749242e-09,4.1840625391748136e-09,4.1840927353695029e-09,8.7040393476941777e-12,3.8743584660309577e-14,1.5861932150584322e-15,2.287075564475256e-14,1.4156554979420216e-11,4.1365671264041414e-22,7.7584366794792948e-17,7.8065573816777704e-17,7.56728682780364e-22,7.5672615639950457e-22,2.172957504783599e-27,2.9438503843213516e-21,3.53423354655486e-28,5.6420520791061771e-18
4.3238528558278446e-15,0.3978591883052468,1.4956213054175758e-14,5.5306496960890732e-23,5.5306054502886345e-23,2.7071650840920249e-36,2.7435848272912724e-30,0.0,0.0,4.4020953073018341e-15,4.8278687925487373e-26,154.0,0.0,0.99999998132678369,1.0,18.999999999999904,7.4749004232572029e-10,7.6680952647530633e-09,5.111696380471431e-09,5.1117375945197527e-09,1.2984474027670983e-11,5.7826807039753092e-14,1.9453767308484273e-15,3.4125367754286713e-14,2.1118404126980903e-11,6.1867099286761698e-22,1.157996907202491e-16,1.1651762160983294e-16,1.3676888157069477e-21,1.3676833620572249e-21,4.6901671445219109e-27,5.3186078066585299e-21,7.6348257817251092e-28,8.4211282041721822e-18
5.108521821855131e-15,0.3978591883052469,1.7670395489060894e-14,7.7201071318650782e-23,7.7200547302674646e-23,4.446863813274837e-36,4.5046226927517884e-30,0.0,0.0,5.2045505304304866e-15,6.7425505202546801e-26,154.0,0.0,0.99999997793820405,1.0,18.999999999999865,8.8314040964971039e-10,9.0522399183776563e-09,6.0393263988791299e-09,6.039380207124715e-09,1.8115036953321001e-11,8.0718406087034006e-14,2.3045524013059244e-15,4.7619691438928508e-14,2.9462931683155433e-11,8.6480842299417068e-22,1.6164213410073802e-16,1.6264385101573719e-16,2.2455675613693341e-21,2.2455571399170065e-21,8.9614454141700512e-27,8.7291205635500708e-21,1.460006913778564e-27,1.175486008332471e-17
5.893190787882418e-15,0.3978591883052467,2.0384581422303514e-14,1.0273842043142578e-22,1.0273781422187898e-22,6.8159151619552064e-36,6.9012663323470912e-30,0.0,0.0,6.0081077612220388e-15,8.9775364249099027e-26,154.0,0.0,0.99999997454966516,1.0,18.999999999999819,1.0187907762291649e-09,1.0434114937883141e-08,6.9669525945126975e-09,6.9670205754153092e-09,2.4094294480788835e-11,1.0741826713274722e-13,2.6637334893768316e-15,6.3351482594901833e-14,3.918780591999994e-11,1.1520677651364159e-21,2.1511167792401385e-16,2.1644417953415425e-16,3.440291755256276e-21,3.4402735056029592e-21,1.56910445345016e-26,1.3368120982344497e-20,2.5586087819374427e-27,1.5643246366321849e-17
7.462528719936992e-15,0.3978591883052465,2.5812963783830474e-14,1.6474146153696497e-22,1.6474068864895565e-22,1.3826169452295596e-35,1.3985899405459052e-29,0.0,0.0,7.6185282396482531e-15,1.4410379390171755e-25,154.0,0.0,0.99999996777270872,1.0,18.999999999999716,1.2900915071544877e-09,1.3191070744089128e-08,8.8221935178980229e-09,8.8222945876777642e-09,3.8593407876069573e-11,1.7224233503996763e-13,3.3820861023393631e-15,1.0151886906828322e-13,6.2769672685551444e-11,1.8499474315761074e-21,3.4493199411559611e-16,3.4706681724877563e-16,6.9719508347315399e-21,6.9719041317266131e-21,4.0143990545265337e-26,2.7069023810686802e-20,6.5590143813165433e-27,2.5083976975163639e-17
