Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233)
5.4771281891153575e-19,0.3558500208577605,2.1136236479187896e-19,9.854199051907702e-32,9.6237343275566966e-32,2.3857543836547276e-49,1.0353057806188964e-42,0.0,0.0,1.2687515299327386e-19,1.6856308129347774e-34,154.0,0.0,0.99999999999919653,1.0,19.0,4.1627473754554621e-14,1.7897864500533805e-13,2.9146168073196791e-13,2.9146201860083567e-13,4.8610284898545616e-20,5.9589668692602222e-22,5.9401560141815267e-22,3.7053117199347168e-22,6.9565155549132175e-20,7.0391166232374691e-32
1.0956634636237278e-18,0.3558500208577605,4.2281650653705498e-19,3.8968502323725706e-31,3.8507472802876251e-31,1.909571246300463e-48,8.2855927505158641e-42,0.0,0.0,2.5380551619549875e-19,6.7447217226920112e-34,154.0,0.0,0.99999999999839262,1.0,19.0,8.327302283413172e-14,3.5803476436883088e-13,5.8304991766590153e-13,5.8305059282033044e-13,1.9450434516594914e-19,2.3843629205515057e-21,2.3693500263801287e-21,1.4826068757985874e-21,2.7835107435993063e-19,5.5874687952410348e-31
2.191564753048112e-18,0.3558500208577605,8.4572478997353246e-19,1.5497712487561407e-30,1.5405496575741664e-30,1.5280451247985586e-47,6.6297330711993992e-41,0.0,0.0,5.0766659954874105e-19,2.6983301474627221e-33,154.0,0.0,0.99999999999678491,1.0,19.0,1.6656412099298904e-13,7.1614627971229962e-13,1.166226387953828e-12,1.1662277355332631e-12,7.7814313609056741e-19,9.5390041378734942e-21,9.4195696116989699e-21,5.9313893073918793e-21,1.1135842633842101e-18,4.3989841925208506e-30
4.38336733189688e-18,0.3558500208577605,1.6915413566309891e-18,6.1811443395351618e-30,6.1627001560581209e-30,1.2225928698942628e-46,5.3042900583944346e-40,0.0,0.0,1.0153901940503871e-18,1.0794217182293459e-32,154.0,0.0,0.99999999999356937,1.0,19.0,3.3314631730951635e-13,1.4323664168768598e-12,2.3325793142099186e-12,2.3325819983585688e-12,3.1128186832219524e-18,3.8159120795290289e-20,3.7214561997248524e-20,2.3727459306297286e-20,4.4546892976795991e-18,3.4097740078333153e-29
8.766972489594418e-18,0.35585002085776046,3.3831744890839099e-18,2.46886930753475e-29,2.4651803704495387e-29,9.7813940780839613e-46,4.2436334969667736e-39,0.0,0.0,2.0308430942342563e-18,4.3178770881559372e-32,154.0,0.0,0.99999999998713829,1.0,19.0,6.663107099378215e-13,2.8647951172099863e-12,4.6652851094430549e-12,4.6652904359331431e-12,1.2451723908701396e-17,1.5264268479047038e-19,1.4525671278607005e-19,9.4913468201411247e-20,1.7819399996782769e-17,2.5673701504314037e-28
1.7534182804989493e-17,0.3558500208577605,6.7664407505417805e-18,9.8683000726303555e-29,9.8609220958421553e-29,7.8254141190655424e-45,3.3949873780945377e-38,0.0,0.0,4.0617717393237596e-18,1.7271975913356992e-31,154.0,0.0,0.99999999997427624,1.0,19.0,1.3326394951754339e-12,5.7296062226403959e-12,9.3306964707931959e-12,9.3307069758717646e-12,4.9807449050109293e-17,6.10583085936013e-19,5.5405726543558969e-19,3.7965974894816977e-19,7.1278391968219536e-17,1.8365877231648517e-27
3.5068603435779643e-17,0.35585002085776063,1.3532973259665634e-17,3.9458845644405471e-28,3.9444089570387353e-28,6.260512281749875e-44,2.716022132344487e-37,0.0,0.0,8.123720408385461e-18,6.9089535773877151e-31,154.0,0.0,0.99999999994855215,1.0,19.0,2.6652970655746666e-12,1.1459043258542676e-11,1.8661518277029357e-11,1.8661538831054809e-11,1.9922814349741892e-16,2.4423565855979666e-18,2.0263851530089737e-18,1.5186396684591674e-18,2.8511120272514247e-16,1.2107820240559454e-26
5.260302406656979e-17,0.3558500208577605,2.0299505754997601e-17,8.3841075227615898e-28,8.3818941029631889e-28,1.8586117667104579e-43,7.7661495338267652e-37,0.0,0.0,1.2185760456325504e-17,1.4681707671532856e-30,154.0,0.0,0.99999999992282806,1.0,19.0,3.9979546358979077e-12,1.7188295125471061e-11,2.7992339166801786e-11,2.799236956019423e-11,4.2335566758995739e-16,5.1900223882357207e-18,4.0547989330863365e-18,3.2270972583637654e-18,6.0585538492891948e-16,3.1209205217138556e-26
7.013744469735993e-17,0.3558500208577605,2.7066038236537681e-17,1.4301498879211298e-27,1.4298547643451513e-27,4.0498591360280347e-43,1.6381086358180222e-36,0.0,0.0,1.6247891883139528e-17,2.5045521761010952e-30,154.0,0.0,0.99999999989710397,1.0,19.0,5.3306122061451568e-12,2.2917361829409995e-11,3.7323159140110878e-11,3.7323199247079416e-11,7.2218760688649394e-16,8.8535801000251601e-18,6.5555189079418686e-18,5.5050228363157039e-18,1.0335074833240291e-15,6.0288577695056799e-26
1.0520628595894022e-16,0.35585002085776063,4.0599103167249132e-17,2.9607799251835967e-27,2.9603372373022499e-27,1.1755713558808676e-42,4.4741905309377239e-36,0.0,0.0,2.4372369197376653e-17,5.1854404029557836e-30,154.0,0.0,0.9999999998456558,1.0,19.0,7.9959273464613079e-12,3.4375060689651393e-11,5.5984796935846922e-11,5.598485638675487e-11,1.4951706848341547e-15,1.8330236539100766e-17,1.2453450626894911e-17,1.139735047687283e-17,2.1397072961265828e-15,1.4403528160215573e-25
1.402751272205205e-16,0.35585002085776046,5.4132168047242876e-17,5.035352935502217e-27,5.0347626812642704e-27,2.5708810549460285e-42,9.3615127836479851e-36,0.0,0.0,3.2497182544288087e-17,8.8192057990551878e-30,154.0,0.0,0.99999999979420762,1.0,19.0,1.066124248649801e-11,4.5832078689251518e-11,7.4646431361423654e-11,7.4646510221300137e-11,2.5428484854758817e-15,3.1174950920406819e-17,1.9560690675625823e-17,1.9383734642365369e-17,3.63901694470119e-15,2.6941194018933587e-25
1.753439684821008e-16,0.3558500208577605,6.7665232872896257e-17,7.6927219863658204e-27,7.6919841629778287e-27,4.8233953326035373e-42,1.704228846710916e-35,0.0,0.0,4.0622355926178603e-17,1.347395244838108e-29,154.0,0.0,0.99999999974275944,1.0,19.0,1.3326557626235304e-11,5.7288367235304066e-11,9.3308062176118092e-11,9.3308160840497131e-11,3.8848259236714719e-15,4.7628296184487877e-17,2.7637820219155906e-17,2.9613686164773641e-17,5.5594926100556189e-15,4.4144266592810335e-25
2.4548165100526137e-16,0.3558500208577605,9.4731362357768516e-17,1.4792456056358024e-26,1.479142308207712e-26,1.3198176321570551e-41,4.4996712906842765e-35,0.0,0.0,5.6873805410004335e-17,2.5910802002204106e-29,154.0,0.0,0.99999999963986308,1.0,19.0,1.8657187904792855e-11,8.019871041776392e-11,1.3063131274606307e-10,1.3063145358223017e-10,7.4700565578706068e-15,9.1587534789006505e-17,4.5411754932515069e-17,5.6944781435280484e-17,1.0690240707413329e-14,9.3281294816905911e-25
3.1561933352842195e-16,0.35585002085776046,1.2179749162193572e-16,2.4259233715368236e-26,2.4257905569856128e-26,2.7824265379990073e-41,9.3289504940521715e-35,0.0,0.0,7.3126717186269134e-17,4.2495022121504412e-29,154.0,0.0,0.99999999953696683,1.0,19.0,2.3987818182134343e-11,1.0310609150643417e-10,1.6795454865034063e-10,1.6795473569429611e-10,1.2250350443785365e-14,1.502032964582405e-16,6.4696333293000456e-17,9.3387218113268266e-17,1.7531218670235401e-14,1.6201163157584665e-24
4.558946985747432e-16,0.35585002085776063,1.7592974948824786e-16,5.0292921830204847e-26,5.0291003251797578e-26,8.4878811739429633e-41,2.803081717297002e-34,0.0,0.0,1.0563692699822031e-16,8.8105869187169549e-29,154.0,0.0,0.99999999933117456,1.0,19.0,3.464907873316967e-11,1.4891197062614103e-10,2.426009764682058e-10,2.4260127097883305e-10,2.53948273470499e-14,3.1139808060597139e-16,1.0485504650335929e-16,1.935990869817046e-16,3.6342002897220719e-14,3.5846557197891314e-24
7.364454286673856e-16,0.35585002085776063,2.8419426257280389e-16,1.3076060685852877e-25,1.307575068635429e-25,3.6835248126638737e-40,1.205135802783965e-33,0.0,0.0,1.7067489151357103e-16,2.2910993144616624e-28,154.0,0.0,0.99999999891959035,1.0,19.0,5.5971599820649764e-11,2.4048820959651671e-10,3.918936561433833e-10,3.9189423019672077e-10,6.6014108330487085e-14,8.0963848607707701e-16,1.8714483030619287e-16,5.0330948239890164e-16,9.4471400946578725e-14,9.8728892537207571e-24
1.2975468888526702e-15,0.3558500208577605,5.0072327814972978e-16,4.0529627066587179e-25,4.0529080410626616e-25,2.0831434862330035e-39,6.7862674373038381e-33,0.0,0.0,3.0082099945690683e-16,7.1035202679556443e-28,154.0,0.0,0.99999999809642515,1.0,18.999999999999996,9.861664193724839e-11,4.2349871409642409e-10,6.9047831166406291e-10,6.9047971038773629e-10,2.0453216707574217e-13,2.5095101145566582e-15,3.5262286291002069e-16,1.5597078882171247e-15,2.9270167926358338e-13,3.1885250300977626e-23
1.8586483490379548e-15,0.3558500208577605,7.1725227960374457e-16,8.3129893680170517e-25,8.3129109671332059e-25,5.9410446578126587e-39,1.9331583693236224e-32,0.0,0.0,4.3106067915603033e-16,1.4573774610054138e-27,154.0,0.0,0.9999999972732635,1.0,18.999999999999993,1.4126168397603172e-10,6.0632005398286839e-10,9.8906202875424577e-10,9.8906460761930301e-10,4.1936910487541858e-13,5.1472270982952759e-15,5.1814731820400278e-16,3.1985277489865381e-15,6.0015029904362603e-13,6.6478394751062244e-23
2.4197498092232394e-15,0.35585002085776046,9.3378126693485879e-16,1.4087684754064867e-24,1.4087582520455329e-24,1.2798870939308446e-38,4.1620726514076379e-32,0.0,0.0,5.6139393040056702e-16,2.4703790811017686e-27,154.0,0.0,0.99999999645010529,1.0,18.999999999999989,1.8390672593699996e-10,7.8895241550568379e-10,1.2876448074269265e-09,1.2876489224720761e-09,7.104497787585283e-13,8.7227764444634807e-15,6.8343862778330053e-16,5.4194679798075598e-15,1.0167097247782159e-12,1.1365212048444598e-22
2.980851269408524e-15,0.35585002085776046,1.150310240143075e-15,2.1377048366076308e-24,2.1376922173569123e-24,2.3543163897189149e-38,7.6527110761014016e-32,0.0,0.0,6.9182075302516732e-16,3.7495563989531245e-27,154.0,0.0,0.99999999562695085,1.0,18.999999999999979,2.2655176782015327e-10,9.7139599091450555e-10,1.5862266476950169e-09,1.5862326550921448e-09,1.0776966251186766e-12,1.3236145244466558e-14,8.4866147140328701e-16,8.2222178141866806e-15,1.5422689568389949e-12,1.7340626471075581e-22
4.103054189779093e-15,0.35585002085776046,1.583368144190813e-15,4.0499779676492074e-24,4.0499605081132513e-24,5.9983252908952122e-38,1.9484576818219166e-31,0.0,0.0,9.5295511187917485e-16,7.1071781743101939e-27,154.0,0.0,0.99999999398065276,1.0,18.999999999999961,3.1184185135301571e-10,1.3357174950366049e-09,2.1833875130645178e-09,2.1833983745913997e-09,2.0404017196981094e-12,2.5076294122617472e-14,1.179095455807265e-15,1.5571995375998535e-14,2.9199759549472282e-12,3.3065518393776311e-22
5.2252571101496625e-15,0.35585002085776035,2.0164259917469564e-15,6.5681181982549408e-24,6.5680958142650865e-24,1.2238725631305702e-37,3.9733339856488269e-31,0.0,0.0,1.2144637545576833e-15,1.1531843628823751e-26,154.0,0.0,0.99999999233436909,1.0,18.999999999999929,3.9713193457462034e-10,1.6992861046563136e-09,2.7805446249646337e-09,2.780561768546527e-09,3.3068637546672879e-12,4.0667571865375895e-14,1.5095084845001279e-15,2.52453717787514e-14,4.7323831173203084e-12,5.3822378157303094e-22
6.347460030520232e-15,0.3558500208577603,2.4494837828114993e-15,9.6921254223599406e-24,9.6920980054848409e-24,2.1827069426580715e-37,7.0825277801123085e-31,0.0,0.0,1.4763466798591925e-15,1.7025238375505435e-26,154.0,0.0,0.99999999068809986,1.0,18.999999999999901,4.8242201748496828e-10,2.0621034362616368e-09,3.3776979835024251e-09,3.377722839470444e-09,4.8764305538128054e-12,6.0009871430500826e-14,1.8400050487485012e-15,3.7239729632420453e-14,6.9785571284424354e-12,7.9611063703075013e-22
7.469662950890802e-15,0.3558500208577603,2.8825415173844337e-15,1.3421999565497515e-23,1.3421966983247526e-23,3.5510290670093836e-37,1.1516622891544985e-30,0.0,0.0,1.7386038866113306e-15,2.3589034115740639e-26,154.0,0.0,0.99999998904184506,1.0,18.999999999999861,5.6771210008406103e-10,2.4241710887713808e-09,3.9748475887838596e-09,3.9748815901214538e-09,6.748457029258949e-12,8.3103086871028235e-14,2.1704187621072838e-15,5.1552477038118334e-14,9.6575748167672123e-12,1.1043143018818917e-21
9.71406879163194e-15,0.35585002085776013,3.7486568170554444e-15,2.2699348343369982e-23,2.2699304940591306e-23,7.8039594359112104e-37,2.5282620381994112e-30,0.0,0.0,2.2642411399819446e-15,3.993424449719516e-26,154.0,0.0,0.99999998574937832,1.0,18.999999999999769,7.3829226434848546e-10,3.1460634640883529e-09,5.1691355399840902e-09,5.1691921401868171e-09,1.1397424888604722e-11,1.4054185901636267e-13,2.8313372346295155e-15,8.7123218907804179e-14,1.6310614874630444e-11,1.8716666857913541e-21
1.1734034048298965e-14,0.35585002085775985,4.5281603935579738e-15,3.3121026374385962e-23,3.3120972546516449e-23,1.3760380435437303e-36,4.4538193877580866e-30,0.0,0.0,2.7385946991929765e-15,5.832193474957984e-26,154.0,0.0,0.99999998278620716,1.0,18.999999999999659,8.9181441112198648e-10,3.7932181427842956e-09,6.2439818609560109e-09,6.2440637247523243e-09,1.6609677368720407e-11,2.0506385796846857e-13,3.4261327290717918e-15,1.2704068678609971e-13,2.3769759700101881e-11,2.7343535775049426e-21
1.375399930496599e-14,0.35585002085775963,5.3076637870275706e-15,4.5505712046756115e-23,4.5505647002135689e-23,2.2175740627287819e-36,7.1710397630518975e-30,0.0,0.0,3.2141609126122225e-15,8.0202914909052566e-26,154.0,0.0,0.99999997982308197,1.0,18.999999999999531,1.0453365568870394e-09,4.4379677895922666e-09,7.3188160229737083e-09,7.3189278302910689e-09,2.2792245233351428e-11,2.8173722826121185e-13,4.0209116862398438e-15,1.7443082772062843e-13,3.2617502453180281e-11,3.7600455715652284e-21
1.5773964561633016e-14,0.35585002085775924,6.087166997464196e-15,5.9853404896418021e-23,5.9853327707232729e-23,3.3478013502996111e-36,1.0816077555316189e-29,0.0,0.0,3.6909397735796362e-15,1.0558665281651783e-25,154.0,0.0,0.99999997686000286,1.0,18.999999999999389,1.1988587016436506e-09,5.0803213376274101e-09,8.3936380266370448e-09,8.3937844713433283e-09,2.9941524394381372e-11,3.7056137014339157e-13,4.6157037790059916e-15,2.2927907185891065e-13,4.2848685399973818e-11,4.9487346304782669e-21
1.9813895074967066e-14,0.35585002085775863,7.6461728692383458e-15,9.443781028085205e-23,9.4437705474265348e-23,6.6466155570093664e-36,2.1434437261282829e-29,0.0,0.0,4.6481354115168074e-15,1.6690030225087092e-25,154.0,0.0,0.99999997093398196,1.0,18.999999999999041,1.5059029881315783e-09,6.357875659734186e-09,1.0543245561300732e-08,1.0543475418160618e-08,4.71258850208183e-11,5.8465956898968024e-13,5.8052657847754915e-15,3.6129175950797521e-13,6.744086224831504e-11,7.8150717355932262e-21
2.3853825588301117e-14,0.35585002085775774,9.205178008880076e-15,1.3687423883507266e-22,1.3687410106521643e-22,1.1618055470027064e-35,3.7398685173275959e-29,0.0,0.0,5.6101815597170637e-15,2.4233870556071714e-25,154.0,0.0,0.99999996500814292,1.0,18.999999999998614,1.8129472705858253e-09,7.6259519533941159e-09,1.2692804469747626e-08,1.2693136681267471e-08,6.813417693853552e-11,8.4735365478808147e-13,6.9948105490056949e-15,5.2296269543269021e-13,9.7505386709576035e-11,1.1333300505012581e-20
2.7893756101635167e-14,0.35585002085775674,1.076418241638903e-14,1.8716268687121822e-22,1.8716250970226793e-22,1.8610144900263908e-35,5.9798781912997506e-29,0.0,0.0,6.5770781648929132e-15,3.3197773014460654e-25,154.0,0.0,0.99999995908248418,1.0,18.99999999999811,2.1199915490064476e-09,8.8846205574089877e-09,1.4842314756778552e-08,1.4842768376292537e-08,9.2938021778339144e-11,1.1586388275497117e-12,8.1843382438633338e-15,7.1417625159446257e-13,1.3300164710283812e-10,1.5503356549349659e-20
3.193368661496922e-14,0.3558500208577555,1.2323186091764857e-14,2.4530315070256056e-22,2.4530292660868614e-22,2.7973412304530258e-35,8.9724737144967927e-29,0.0,0.0,7.5488251737606121e-15,4.3589328089652964e-25,154.0,0.0,0.99999995315700463,1.0,18.999999999997527,2.4270358233935001e-09,1.0133951280005555e-08,1.6991776427194048e-08,1.6992370618408173e-08,1.2150925523288951e-10,1.51851028755961e-12,9.3738496761425695e-15,9.3481725560035594e-13,1.7388933808655194e-10,2.0325175482690022e-20
3.597361712830327e-14,0.3558500208577542,1.38821890350072e-14,3.1129562664222711e-22,3.1129534700759399e-22,4.0060862641834404e-35,1.2826655977444843e-28,0.0,0.0,8.5254225330416851e-15,5.5416129656774915e-25,154.0,0.0,0.99999994723170282,1.0,18.999999999996867,2.7340800937470375e-09,1.1374013402277682e-08,1.914118948579418e-08,1.9141943522330651e-08,1.5381992566795702e-10,1.9269632355847113e-12,1.0563344893242054e-14,1.1847709918987302e-12,2.2012845867113492e-10,2.5798692925503659e-20
4.405347815497137e-14,0.355850020857751,1.7000192725089996e-14,4.6683660009767741e-22,4.6683617917405509e-22,7.3831931621239512e-35,2.3555779194250532e-28,0.0,0.0,1.0493168089756531e-14,8.3405863315524411e-25,154.0,0.0,0.99999993538162746,1.0,18.99999999999531,3.3481686223537851e-09,1.3826606524982821e-08,2.3439869786746037e-08,2.344100177232726e-08,2.2954875748155027e-10,2.8895944012112749e-12,1.2942286882444766e-14,1.7721599330926585e-12,3.2850239649932123e-10,3.8700565854498332e-20
5.213333918163947e-14,0.35585002085774725,2.0118193486634526e-14,6.537855777390975e-22,6.5378496798326295e-22,1.2279629371251946e-34,3.9039242989491363e-28,0.0,0.0,1.2480314408918156e-14,1.172277911586654e-24,154.0,0.0,0.99999992353224765,1.0,18.999999999993442,3.9622571348271214e-09,1.6242943900435003e-08,2.7738355698024474e-08,2.7739944035042019e-08,3.1990504915238835e-10,4.0464939405407457e-12,1.5321164638037853e-14,2.4754343211202214e-12,4.5780938450229788e-10,5.4208460433967648e-20
6.021320020830756e-14,0.3558500208577428,2.3236191319637861e-14,8.7214253006715882e-22,8.7214167521601488e-22,1.8986608990430103e-34,6.0149038241359468e-28,0.0,0.0,1.4486861064492929e-14,1.5694278373581012e-24,154.0,0.0,0.99999991168355284,1.0,18.999999999991271,4.5763456311674691e-09,1.8623561400367785e-08,3.2036647258011967e-08,3.2038771212110023e-08,4.2467260186122136e-10,5.3976234774546724e-12,1.7699978723547808e-14,3.2936925262597457e-12,6.0774002514554162e-10,7.2321861865784034e-20
6.829306123497567e-14,0.3558500208577379,2.6354186224097059e-14,1.1219074275826018e-21,1.1219062626531904e-21,2.779922516626124e-34,8.7757154669109512e-28,0.0,0.0,1.6512807630531056e-14,2.0261176461706436e-24,154.0,0.0,0.99999989983553328,1.0,18.999999999988788,5.1904341113752487e-09,2.0968987009244382e-08,3.6334744505083363e-08,3.6337484198180138e-08,5.4363839892814267e-10,6.9429446433918198e-12,2.0078729616521786e-14,4.226039905027609e-12,7.7798947478650112e-10,9.3040255453193023e-20
7.637292226164377e-14,0.3558500208577321,2.9472178200009124e-14,1.4030802407863743e-21,1.4030786920758784e-21,3.9016446334891161e-34,1.2273558171824882e-27,0.0,0.0,1.855815368116617e-14,2.5429571039469112e-24,154.0,0.0,0.99999988798817896,1.0,18.999999999985995,5.804522575450869e-09,2.3279740951871592e-08,4.06326474776059e-08,4.0636083880978372e-08,6.7659255432644673e-10,8.6824190773011235e-12,2.2457417804233615e-14,5.2715887366847964e-12,9.6825736999387286e-10,1.1636312660018654e-19
8.445278328831187e-14,0.355850020857726,3.2590167247371051e-14,1.7156609401794588e-21,1.7156589252652105e-21,5.2941128875168667e-34,1.6595630819351445e-27,0.0,0.0,2.0622898790615645e-14,3.1205565082784531e-24,154.0,0.0,0.99999987614147956,1.0,18.999999999982901,6.4186110233947393e-09,2.5556335779127657e-08,4.4930356213939168e-08,4.4934571141337007e-08,8.2332827809550626e-10,1.0616008425680191e-11,2.4836043775841924e-14,6.4294581941198207e-12,1.1782477780507061e-09,1.422899608120185e-19
9.253264431497997e-14,0.355850020857719,3.5708153366179814e-14,2.0596494962627705e-21,2.05964692400226e-21,6.9880024767017903e-34,2.1829132187044843e-27,0.0,0.0,2.2707042533180873e-14,3.7595266891796716e-24,154.0,0.0,0.99999986429542576,1.0,18.999999999979504,7.0326994552072543e-09,2.7799276452464908e-08,4.9227870752435137e-08,4.923294685322776e-08,9.836418422479465e-10,1.2743674342605643e-11,2.7214608014776897e-14,7.698774310768864e-12,1.407669148164883e-09,1.7082024369561188e-19
1.0869236636831617e-13,0.3558500208577033,4.1944116818125492e-14,2.8418500605034506e-21,2.8418460652435841e-21,1.1404694299458931e-33,3.5379215660143818e-27,0.0,0.0,2.6933524215284311e-14,5.2240253624819435e-24,154.0,0.0,0.9999998406052174,1.0,18.999999999971788,8.2608762704397981e-09,3.2186178025392385e-08,5.7822317389284588e-08,5.7829367093564321e-08,1.3442025711627639e-09,1.7581082536297603e-11,3.1971553210463836e-14,1.0568284582943441e-11,1.9236600252839673e-09,2.3568909841412441e-19
1.2323611621631874e-13,0.3558500208576871,4.7556473909193665e-14,3.6532451422644261e-21,3.6532394671205555e-21,1.6726289355559536e-33,5.1566152867643065e-27,0.0,0.0,3.0803696785545792e-14,6.7581009717399193e-24,154.0,0.0,0.99999981928614334,1.0,18.999999999963805,9.3662353489837498e-09,3.6024206828233685e-08,6.5556655590435289e-08,6.5565772443313724e-08,1.7131606359562803e-09,2.2598107243984293e-11,3.6252597535897481e-14,1.3523362245359104e-11,2.4516681543519692e-09,3.0296970380931616e-19
