Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890),C7H10(181),C7H9(137)
2.8379245001960725e-18,0.46412961757116045,2.1933921764719101e-20,1.8542792090725613e-32,1.8517131419199845e-32,2.0330523909609963e-50,6.7312087617064241e-43,0.0,0.0,3.0402800966261129e-20,7.4689399627202314e-35,154.0,0.0,0.99999999999945,1.0,19.0,4.9903451393431191e-14,4.4973897652579796e-14,2.2758593859321982e-13,2.2758598978366826e-13,5.7869498032304612e-20,1.7102282035392993e-21,1.6938613329571105e-21,1.1627807137891679e-21,6.6135064445245243e-20,5.5813243929540605e-31,1.2122428375776827e-24,3.155844361419887e-25,1.346879548641245e-33,1.3468795423061864e-33,5.5069314406608392e-42,1.8871539081689334e-33,8.2812712021859037e-43,8.8000196661253244e-26,7.9549791630140732e-77,7.5861519695919052e-77,7.586151969597431e-77,5.9242993411549799e-36,5.0221433717530473e-39,7.3576955822935653e-31,3.0422771157374534e-36,3.7000871041959212e-40,1.8191929307288705e-45,9.2484299008633294e-55,1.21665746643059e-63,2.9353825068500233e-65,1.2968768319277432e-74,3.7175251615000347e-78,1.2350932257671383e-75,1.3158200079384184e-66,8.9947101423044119e-75,1.6512972398181792e-33,3.4090888464340654e-34
5.6783146168128195e-18,0.46412961757116045,4.3886900011656781e-20,7.4168128686883061e-32,7.4116782823556698e-32,1.6280993437409094e-49,5.3890598799677243e-42,0.0,0.0,6.0832368324881677e-20,2.9895374672806145e-34,154.0,0.0,0.99999999999889944,1.0,19.0,9.98502593908249e-14,8.9986615395221662e-14,4.5536960263988329e-13,4.5536970283543674e-13,2.3162824471903472e-19,6.8453696707666037e-21,6.7154949538698524e-21,4.6541484947872851e-21,2.6471197111960248e-19,4.4016919524634194e-30,4.8521304946170496e-24,1.263160167794194e-24,1.0783225885434832e-32,1.0783225783992025e-32,8.8182005960555925e-41,1.5108671887033599e-32,1.3260801589038015e-41,3.5223011869897718e-25,1.0203050896414545e-74,9.7299933878143469e-75,9.7299933878285184e-75,4.743041814938142e-35,4.0207683241095469e-38,5.6350155152720563e-30,2.4350405261437018e-35,2.9623048790386112e-39,2.9130650131282132e-44,2.9619738983886645e-53,7.7932290345291511e-62,1.8802422922869972e-63,1.661425200418535e-72,4.7625110527666793e-76,1.5820706331729642e-73,8.4284089880597334e-65,5.766745777185486e-73,1.3220388690061918e-32,1.3645239590981899e-33
1.1359094850046313e-17,0.46412961757116045,8.779285673830616e-20,2.9666640558738699e-31,2.965636737514582e-31,1.3031530436315304e-48,4.3128857612417229e-41,0.0,0.0,1.2169255992999714e-19,1.1962164123262636e-33,154.0,0.0,0.99999999999779843,1.0,19.0,1.9974387538500585e-13,1.8001128954784067e-13,9.1093692045504138e-13,9.109371123413551e-13,9.2681020981268658e-19,2.7390394176656284e-20,2.6369113395223489e-20,1.8622619050067794e-20,1.059187569248788e-18,3.42034248402876e-29,1.941484176372859e-23,5.0542859050539845e-24,8.6298577780277651e-32,8.6298576156553511e-32,1.4114656613701261e-39,1.2091474791915457e-31,2.1225848043977749e-40,1.4093792514689758e-24,1.3073154695796814e-72,1.2467026779350342e-72,1.2467026779386654e-72,3.795875142232741e-34,3.2178365711544069e-37,4.1482785869595127e-29,1.9477632513763429e-34,2.3707208145770155e-38,4.6627566143725878e-43,9.4822138449486437e-52,4.9897516130222021e-60,1.2038581203494388e-61,2.1275205632538025e-70,6.0985839421829442e-74,2.0253822470386837e-71,5.3964367590372325e-63,3.6939624600189715e-71,1.0580281164030435e-31,5.4598731035604868e-33
2.27206553165133e-17,0.46412961757116045,1.7560477112270091e-19,1.1866534411957949e-30,1.1864478126891271e-30,1.0428083650977838e-47,3.4509639062395587e-40,0.0,0.0,2.4341717069153609e-19,4.7857407553525425e-33,154.0,0.0,0.9999999999955963,1.0,19.0,3.9953110737094186e-13,3.6005759257392755e-13,1.8220715149726854e-12,1.8220718673973588e-12,3.7078085058757443e-18,1.0957940416330454e-19,1.0168331151872744e-19,7.4502304692704152e-20,4.2373990240927218e-18,2.5861116908496346e-28,7.7672006077126283e-23,2.0220433905925145e-23,6.9051971230117439e-31,6.9051968631698744e-31,2.2587382882713413e-38,9.6749296534211038e-31,3.3968041595144023e-39,5.638434548938081e-24,2.9311104537090426e-70,2.795211513587738e-70,2.7952115136039936e-70,3.0372771330867183e-33,2.5747580300553223e-36,2.8579534642799453e-28,1.556893882486709e-33,1.8968994114444465e-37,7.4617861220108351e-42,3.0348893731051725e-50,3.1940637014569762e-58,7.7061943358190665e-60,2.7237621459676605e-68,7.8077247110825447e-72,2.5916646943673322e-69,3.4543929926491144e-61,3.1254148829379963e-69,8.4657560579005377e-31,2.1843046836212383e-32
4.5443776249447276e-17,0.46412961757116045,3.512286036158738e-19,4.7465899754392287e-30,4.7461775557328441e-30,8.3438737827630763e-47,2.7610332948137543e-39,0.0,0.0,4.8688330241838531e-19,1.9145290499141247e-32,154.0,0.0,0.99999999999119205,1.0,19.0,7.9910557133311025e-13,7.2013801792154213e-13,3.6443405395573283e-12,3.6443411388433321e-12,1.4832154399829846e-17,4.3835322566359544e-19,3.7918381431724893e-19,2.9803109187897703e-19,1.6950647931106452e-17,1.862931679324831e-27,3.107132865421089e-22,8.0888311457315325e-23,5.5246817827696199e-30,5.5246813670022727e-30,3.6141367478840907e-37,7.7405389554930134e-30,5.435367295619022e-38,2.2555572344318588e-23,3.7651073044257353e-68,3.5905406692503777e-68,3.5905406692922109e-68,2.430052891393537e-32,2.0600018054120835e-35,1.7850584947684067e-27,1.2430605970486765e-32,1.5176037210926153e-36,1.1939616277962994e-40,9.7123016945376393e-49,2.0443428041348364e-56,4.9323071548313685e-58,3.4866613165962761e-66,9.9945954909817201e-70,3.3141528905480068e-67,2.2109651879642639e-59,2.0082266762630211e-67,6.7731256859321143e-30,8.7379292077096347e-32
9.089001811531523e-17,0.46412961757116034,7.0247628349974954e-19,1.8986317182406585e-29,1.8985483197221124e-29,6.6760826163763657e-46,2.2089315460540224e-38,0.0,0.0,9.7388320667618411e-19,7.6590434308480798e-32,154.0,0.0,0.99999999998238365,1.0,19.0,1.5982544992186327e-12,1.4402501490946758e-12,7.2888779309243749e-12,7.2888788351137318e-12,5.9328738203484215e-17,1.7534837370458868e-18,1.3336431403981368e-18,1.1921538471393789e-18,6.7802729554685826e-17,1.2410484740800137e-26,1.2429035465425328e-21,3.2356635631263512e-22,4.4199545401146199e-29,4.419953874923228e-29,5.7822340487226277e-36,6.1925016455101092e-29,8.6967987600456588e-37,9.022595001793694e-23,4.819921987064057e-66,4.5964495902392164e-66,4.5964495903463252e-66,1.9441353575049545e-31,1.6480793756374639e-34,9.884852823644357e-27,9.9040357420901604e-32,1.2140447833871087e-35,1.9102898328689539e-39,3.1078661659450742e-47,1.3083515823195865e-54,3.1566096015917057e-56,4.4628349700432696e-64,1.2792828489856008e-67,4.2333216003293022e-65,1.4149877192484113e-57,1.2854559715679458e-65,5.4185622196850785e-29,3.4953134555241535e-31
1.8178250184705114e-16,0.46412961757116045,1.4049717028575954e-18,7.5945222441221758e-29,7.594348145961958e-29,5.3419328455310305e-45,1.7671872607223889e-37,0.0,0.0,1.9481535783275559e-18,3.0641722006137192e-31,154.0,0.0,0.99999999996476674,1.0,19.0,3.1965523548344206e-12,2.8802795597181279e-12,1.457795008245217e-11,1.4577951402141961e-11,2.3730143397038162e-16,7.0140735419604469e-18,4.2795211619643358e-18,4.7685603689015899e-18,2.711954684638611e-16,7.4165828787800011e-26,4.9717141400551112e-21,1.2942913134652627e-21,3.5360464302107974e-28,3.5360453661020737e-28,9.2496380470010074e-35,4.953761340467889e-28,1.3914491898655415e-35,3.6091106720839498e-22,6.1697908175142674e-64,5.8837326791101786e-64,5.8837326793843891e-64,1.5553464119612961e-30,1.3184943401063542e-33,4.8695254599891262e-26,7.8587150662138082e-31,9.7110558473952201e-35,3.0560745540718188e-38,9.9439375286392043e-46,8.372423554723584e-53,2.0199826269171189e-54,5.7117333792321206e-62,1.6372849128030683e-65,5.395840939216935e-63,9.0548121606645059e-56,8.2272908744806973e-64,4.3346397897190682e-28,1.3981535199590837e-30
2.7267498557878704e-16,0.46412961757116045,2.1074671818055135e-18,1.6138361283584242e-28,1.6138086905925854e-28,1.5860520687146761e-44,5.0530820136196203e-37,0.0,0.0,2.9226945130387825e-18,6.5121295896294434e-31,154.0,0.0,0.99999999994714983,1.0,19.0,4.7948502102949506e-12,4.3201141449807616e-12,2.1867019602776354e-11,2.186702150775247e-11,5.0424161962238194e-16,1.4904989443075871e-17,7.89836332256877e-18,1.0133028286073228e-17,5.7626302532043053e-16,1.8246099126597744e-25,1.0564954177422897e-20,2.7503848464919562e-21,1.0110942537972312e-27,1.0110938621720733e-27,3.4041160665339747e-34,1.4164160398529e-27,5.1213551212769403e-35,7.6694050451372197e-22,3.1833892234846625e-63,3.0357935570776501e-63,3.0357935572460008e-63,4.4473483055408973e-30,3.7700920179524674e-33,1.1069019047940743e-25,2.2365839560608779e-30,2.7765202040504083e-34,1.1247621342556501e-37,4.5397925836710416e-45,4.5998464699971908e-52,1.1097874050444057e-53,3.6847059405056033e-61,1.0562320739663128e-64,3.4766194823612237e-62,4.9747539745718133e-55,4.0828032975329572e-63,1.2393922317396376e-27,2.9710936034936959e-30
3.635674693105229e-16,0.46412961757116045,2.8099627203434855e-18,2.7530152265716038e-28,2.7529764835395689e-28,3.4562911966296735e-44,1.0658449645571553e-36,0.0,0.0,3.8975060107370005e-18,1.1110101063165523e-30,154.0,0.0,0.99999999992953292,1.0,19.0,6.3931480656002254e-12,5.7597539312410089e-12,2.9156086491899613e-11,2.9156089388269956e-11,8.6013725851368864e-16,2.5426228757267365e-17,1.1953944465782117e-17,1.728545804674184e-17,9.829916442710891e-16,3.4035396254174914e-25,1.8022623089437514e-20,4.6918466638250439e-21,2.1326974508023142e-27,2.1326964576439348e-27,8.6327229688312773e-34,2.9875293675778385e-27,1.2988608247002224e-34,1.3083142232678137e-21,1.7366662013727089e-62,1.656146859550849e-62,1.6561468596445676e-62,9.3807837463063692e-30,7.9522414387738439e-33,1.960181750722645e-25,4.6976140856806969e-30,5.8560233799185293e-34,2.852460315948153e-37,1.3531124144520481e-44,1.581451331653922e-51,3.8155073763642771e-53,1.4389194497823676e-60,4.1247092735908296e-64,1.3561094257713655e-61,1.7103465575147971e-54,1.7271924437504937e-62,2.6141476692321313e-27,5.0683514548274829e-30
5.453524367739948e-16,0.46412961757116045,4.2149539372735776e-18,5.6997713712182395e-28,5.6997060292948316e-28,1.0034701394484908e-43,2.9111633294521467e-36,0.0,0.0,5.8477640006800116e-18,2.3006067827664029e-30,154.0,0.0,0.99999999989429922,1.0,19.0,9.589743775846394e-12,8.638576404180331e-12,4.3734214094886938e-11,4.3734220359085922e-11,1.780664207010924e-15,5.2641907077954423e-17,2.0658477000933274e-17,3.5786245892275359e-17,2.0349985068342901e-15,7.7685351333692201e-25,3.7313659710310278e-20,9.7138990408788964e-21,5.8250766640151538e-27,5.8250731914173571e-27,3.0183959694853575e-33,8.1593863513099405e-27,4.5420182730228985e-34,2.7087062903786889e-21,2.4119519182797173e-61,2.3001234164330593e-61,2.3001234165811081e-61,2.5621961760666273e-29,2.172010673088339e-32,4.2152886433917477e-25,1.2740539865845367e-29,1.5992480794151698e-33,9.9741096704751734e-37,5.9222931966505469e-44,8.5046627869077523e-51,2.0518876790272971e-52,9.3585978754158525e-60,2.6826810430807774e-63,8.8021066802695822e-61,9.1978307070571127e-54,1.5557636828062114e-61,7.1396254826091512e-27,1.0493408459102389e-29
7.271374042374666e-16,0.46412961757116045,5.6199453733374006e-18,9.6938238679413529e-28,9.6937245772730722e-28,2.1948709225938538e-43,6.0911400019921197e-36,0.0,0.0,7.7990169466427711e-18,3.9133751411965409e-30,154.0,0.0,0.99999999985906551,1.0,19.0,1.2786339485521629e-11,1.1516682750621748e-11,5.8312332022032284e-11,5.8312344121070742e-11,3.0282121177022544e-15,8.9530200439001228e-17,2.9996251526850098e-17,6.0861180668381016e-17,3.4607351086468444e-15,1.4048569409162846e-24,6.3460862004524473e-20,1.6520821287221975e-20,1.2188030500422506e-26,1.2188021824436891e-26,7.5410931176983596e-33,1.7071251609642422e-26,1.1348924970135844e-33,4.6068072546938765e-21,1.1087433413001317e-60,1.0573372146424738e-60,1.0573372147192446e-60,5.3609906033524281e-29,4.5445809729276312e-32,7.3301482093520492e-25,2.6491670124751386e-29,3.3457622226595785e-33,2.4920330188467435e-36,1.7253477307349612e-43,2.8342642014369567e-50,6.8381217769437744e-52,3.5133214261300411e-59,1.0071097300253289e-62,3.2997424824901561e-60,3.0652695037593209e-53,6.1367044006413559e-61,1.4937684982007709e-26,1.784656785482153e-29
9.089223717009385e-16,0.46412961757116045,7.0249370441872508e-18,1.4809981891082542e-27,1.4809838642376363e-27,4.1186313447658634e-43,1.108870366909255e-35,0.0,0.0,9.7513359164539625e-18,5.9797587655917878e-30,154.0,0.0,0.99999999982383181,1.0,19.0,1.5982935194585147e-11,1.4394021994776597e-11,7.2890439582221964e-11,7.289046054502813e-11,4.6260592123767159e-15,1.3678199199831369e-16,3.9627444147280552e-17,9.2979179544378602e-17,5.2868045264711039e-15,2.2405161262298419e-24,9.6953952852086579e-20,2.5240102158924264e-20,2.2187869545032247e-26,2.2187851140340402e-26,1.5996968711815252e-32,3.1075849044549816e-26,2.4077231355188693e-33,7.0381675219936717e-21,4.0935087990960969e-60,3.9037160646695252e-60,3.9037160649775156e-60,9.7595079049104509e-29,8.2732457162935601e-32,1.1366205840447368e-24,4.7922945259048787e-29,6.0900883817850653e-33,5.2866316182876388e-36,4.188741192864924e-43,7.7591172281124842e-50,1.8720128558640556e-51,1.0715763758412505e-58,3.0717286500375668e-62,1.0049870177478709e-59,8.3915206263658594e-53,1.9348695253640924e-60,2.7191986504405216e-26,2.7265550455648462e-29
1.2724923066278822e-15,0.46412961757116045,9.8349211049921993e-18,2.8479114197783069e-27,2.8478837911230758e-27,1.1274527782175279e-42,2.927750928427507e-35,0.0,0.0,1.3659238885981924e-17,1.1503335595765444e-29,154.0,0.0,0.99999999975336451,1.0,19.0,2.237612661083861e-11,2.0146352184256795e-11,1.0204662295066392e-10,1.020466716903204e-10,8.8941099545155381e-15,2.6302692303459237e-16,5.9020625916949329e-17,1.7878227054418576e-16,1.0164465824578613e-14,4.5505360599014035e-24,1.8643920515521046e-19,4.8535849825818308e-20,5.858259615387935e-26,5.8582528753152297e-26,5.8580495900472048e-32,8.2036912399707932e-26,8.8202311465625733e-33,1.353416070360589e-20,5.0183353384468762e-59,4.7856636663418273e-59,4.7856636669748378e-59,2.5768129438148865e-28,2.18438385238772e-31,2.2259235766185052e-24,1.2439590069264293e-28,1.6074239000133953e-32,1.9362692614668392e-35,2.1663246005952131e-42,5.7940948539368542e-49,1.3979195572829686e-50,1.1855955763092529e-57,3.3985979329698967e-61,1.1030517728928797e-58,6.2663413289245985e-52,1.594537194711684e-59,7.1783931280611276e-26,5.2430743201714982e-29
