Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200)
1.1949904205763103e-16,0.9205738807857717,7.3234983171011914e-17,2.4551385300608808e-27,2.4547490117130281e-27,5.3787284712398148e-43,1.5349031659421925e-36,0.0,0.0,1.4946142833941649e-17,1.4656216969238999e-30,154.0,0.0,0.9999999998737823,1.0,19.0,1.0800162913802771e-11,5.5835662998095173e-11,2.9787542904340813e-11,2.9787629990608111e-11,2.6672097370098518e-15,4.1347927787401586e-18,2.6943666291144188e-18,2.5437411276718218e-18,3.9209322085022632e-15,3.3577032407682768e-26,6.1258093364681392e-21,9.3547062086438381e-21,2.5258518751318601e-27,2.5258517269143004e-27,1.279506840029883e-34,1.6335947417901925e-26,2.026687578756506e-35,4.4923799837536738e-22,3.9455602843305153e-63,3.708466946529527e-63,3.7084669468784984e-63,4.8873226632125069e-31
1.493739038729754e-16,0.9205738807857717,9.1543791879184389e-17,3.7507930796265847e-27,3.7503061804859668e-27,1.0091333507093204e-42,2.7942365529273497e-36,0.0,0.0,1.8682939062028474e-17,2.2391613734685387e-30,154.0,0.0,0.99999999984222776,1.0,19.0,1.35002127971241e-11,6.9792760971582827e-11,3.7234452729350751e-11,3.723456157202039e-11,4.0748304240024782e-15,6.317035083751415e-18,3.8277844666754643e-18,3.886231204417999e-18,5.9902052815700273e-15,5.5124993300404801e-26,9.3588631223920181e-21,1.4291892837447477e-20,4.5982230791505164e-27,4.5982227646999711e-27,2.7145246894176941e-34,2.9738658808257526e-26,4.2998077142661909e-35,6.8633494167304802e-22,1.4567116696459283e-62,1.3691761600054562e-62,1.3691761601454569e-62,8.8971995655489447e-31
2.091236275036641e-16,0.9205738807857717,1.2816141035890527e-16,7.2123977159913671e-27,7.2117160532005049e-27,2.7612405262824028e-42,7.3776235130815065e-36,0.0,0.0,2.6156847858612291e-17,4.3059230967440955e-30,154.0,0.0,0.99999999977911891,1.0,19.0,1.8900312563036756e-11,9.7704576766320335e-11,5.2128270908551967e-11,5.2128423576937022e-11,7.8354616641399699e-15,1.2147445772579203e-17,6.349222913797453e-18,7.4729394011669541e-18,1.1518521989979612e-14,1.1684571490870558e-25,1.7996786473853759e-20,2.7482837318276786e-20,1.2140687625113409e-26,1.2140686473176678e-26,9.9440920827278868e-34,7.8516454591988706e-26,1.5752752148366889e-34,1.3197995891320487e-21,1.7858229829596905e-61,1.6785107935905138e-61,1.6785107938782568e-61,2.3491294520903477e-30
2.6887335113435285e-16,0.9205738807857715,1.6477903024874531e-16,1.1828082008500366e-26,1.1827205578724614e-26,5.8211532434007772e-42,1.5295678211451666e-35,0.0,0.0,3.3631176147202754e-17,7.0618505463435318e-30,154.0,0.0,0.99999999971601028,1.0,19.0,2.4300412327981373e-11,1.2561323652154857e-10,6.7022087137334911e-11,6.7022284140354486e-11,1.2849663042255065e-14,1.9921786827000918e-17,9.1143539687235625e-18,1.2255362788394753e-17,1.8889649731063303e-14,2.033547497771394e-25,2.9514706431052938e-20,4.5071812058009822e-20,2.5170710400182551e-26,2.5170707409236145e-26,2.5819099170888664e-33,1.6277970798484442e-25,4.090364901435444e-34,2.1644696536844817e-21,8.9026276661189829e-61,8.3676583798379134e-61,8.367658381559414e-61,4.8703419815650113e-30
3.883727983957303e-16,0.9205738807857717,2.3801427425818786e-16,2.452120326769646e-26,2.4519937289123626e-26,1.7757140826544503e-41,4.5959152146245374e-35,0.0,0.0,4.8581091023541663e-17,1.4641125964692167e-29,154.0,0.0,0.99999999958979269,1.0,19.0,3.5100611854966899e-11,1.8142109108433408e-10,9.6809713744482128e-11,9.681000139254468e-11,2.6637516756333497e-14,4.1301426582740398e-17,1.4926721127544448e-17,2.540647604343475e-17,3.9158486847725007e-14,4.5106179280601794e-25,6.1189320715863577e-20,9.3441987318354255e-20,7.563078404034796e-26,7.5630770785642752e-26,1.1441734859430104e-32,4.890729948827565e-25,1.8129703433704001e-33,4.4873369146599331e-21,1.3557384628404828e-59,1.2742705628023255e-59,1.2742705632341207e-59,1.4634007521511972e-29
6.273716929184852e-16,0.9205738807857717,3.8448477919598756e-16,6.375434983914633e-26,6.3752304672672401e-26,7.7057087228255593e-41,1.975934384055793e-34,0.0,0.0,7.8485953933419339e-17,3.8070668389556318e-29,154.0,0.0,0.99999999933735839,1.0,19.0,5.6701010897323218e-11,2.9299895253478993e-10,1.563849435573743e-10,1.5638542115031958e-10,6.9246215742626791e-14,1.0738426494514262e-16,2.6930423086973674e-17,6.6051247777483641e-17,1.0179541333666959e-13,1.2451707930016801e-24,1.5909336905341899e-19,2.4295075875338814e-19,3.2516126659578003e-25,3.2516116888447508e-25,8.4341622983453481e-32,2.1023639415402371e-24,1.3369681989858939e-32,1.1667159630653677e-20,4.7449672632444671e-58,4.4598367182885448e-58,4.459836721204361e-58,6.2916545496815701e-29
1.1053694819639948e-15,0.9205738807857718,6.7742585674666239e-16,1.9760781460791044e-25,1.9760421045382568e-25,4.3573024314358162e-40,1.1126734697623177e-33,0.0,0.0,1.3831581221492143e-16,1.1802455502660584e-28,154.0,0.0,0.99999999883249269,1.0,19.0,9.9901808935577419e-11,5.1600338147526312e-10,2.7553530957904624e-10,2.7553620300069992e-10,2.1455715505409529e-13,3.3284268364914888e-16,5.115238364364494e-17,2.0469103483522295e-16,3.1540978882175707e-13,4.0280805032479371e-24,4.9311954313593149e-19,7.5303967823059647e-19,1.8310212298422959e-24,1.8310201981586318e-24,8.9041344455702969e-31,1.1834877020456097e-23,1.4127021884787881e-31,3.616306982696333e-20,2.9601828610312767e-56,2.7823021329025945e-56,2.7823021365096503e-56,3.542926910136148e-28
1.5833672710095045e-15,0.9205738807857717,9.7036702453070879e-16,4.0531083301093767e-25,4.0530566872740195e-25,1.2425706404434208e-39,3.1695988338039915e-33,0.0,0.0,1.9817251376854357e-16,2.4211928567579506e-28,154.0,0.0,0.99999999832763076,1.0,19.0,1.4310260691188718e-10,7.3880620939142071e-10,3.9468555079621923e-10,3.9468690824863189e-10,4.399434618728293e-13,6.8269044168738775e-16,7.5401322377963081e-17,4.1977246720402769e-16,6.467389743931943e-13,8.4038566405954524e-24,1.0114363462700943e-18,1.5445562698713488e-18,5.2159027487929379e-24,5.2158988267206451e-24,3.3847765169607551e-30,3.3705462548773583e-23,5.3729577380962091e-31,7.4173989482135596e-20,2.4197163948186886e-55,2.2743129234877108e-55,2.2743129268868099e-55,1.0092542141129879e-27
2.0613650600550143e-15,0.9205738807857717,1.2633082825480096e-15,6.8686336797023835e-25,6.8685664195966424e-25,2.6766421227549109e-39,6.824119035854419e-33,0.0,0.0,2.5805605857087529e-16,4.1037502940477772e-28,154.0,0.0,0.9999999978227726,1.0,19.0,1.8630340482625261e-10,9.6140760991013447e-10,5.1383566721031126e-10,5.1383753700260368e-10,7.4533617204125083e-13,1.1569261224472528e-15,9.9604190460077674e-17,7.1126010644918277e-16,1.0956815892906547e-12,1.4372476369431103e-23,1.7140435189971606e-18,2.6174992778597466e-18,1.1229782580509827e-23,1.1229772146374758e-23,9.004140842517101e-30,7.2551844483805511e-23,1.4299942253849558e-30,1.2569989969993145e-19,1.2816100236646622e-54,1.2045966473715094e-54,1.204596649358825e-54,2.1729248323965101e-27
2.539362849100524e-15,0.9205738807857715,1.5562496307984941e-15,1.0422654222914849e-24,1.0422571324851625e-24,4.9231559396326531e-39,1.2547358731374573e-32,0.0,0.0,3.1796644661267063e-16,6.2281266112483463e-28,154.0,0.0,0.99999999731791844,1.0,19.0,2.2950420267867397e-10,1.1838077622581808e-09,6.3298565882271902e-10,6.3298808926903411e-10,1.1306640971339471e-12,1.7555483308265864e-15,1.2379114549196916e-16,1.0791173771411126e-15,1.6621329829688743e-12,2.1933923237124361e-23,2.6009408958386422e-18,3.9718675607775312e-18,2.0647935789318882e-23,2.0647912989859959e-23,1.9673525598243762e-29,1.3337090495147829e-22,3.1259333255692001e-30,1.9074078847722627e-19,5.0648384696073874e-54,4.7604867047796624e-54,4.7604867134263012e-54,3.9953266526245597e-27
