Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953)
1.4135829729788608e-18,0.558523973820081,6.8837537464623191e-20,3.4602931443698551e-32,3.4434027271712731e-32,4.3545405890329391e-50,5.5738110798184211e-43,0.0,0.0,4.7018881596652804e-20,6.8244330550186838e-35,154.0,0.0,0.9999999999994521,1.0,19.0,4.9499096843370098e-14,9.3139133433429293e-14,2.0265840380803324e-13,2.0265851924239733e-13,6.2271088239659619e-20,6.5384948037079404e-22,6.498280094551181e-22,4.2629682565732777e-22,7.9075317819401094e-20,1.4280699337671997e-31,6.2947036466718835e-25,3.1238234233555692e-25,9.2918209885992053e-34,9.2918209705551731e-34,1.5641480268451807e-42,2.2381188566198167e-33,2.4025520424563048e-43,4.5997609230446421e-26,1.5671159498370093e-77,1.4853672186385255e-77,1.4853672186398131e-77,1.3442175290914533e-36,2.6037987601122168e-39,1.8170406230494339e-31,8.5071042148437391e-37,2.9167094426747757e-40,9.8869174518211074e-46,2.9250853622952331e-55,1.6201222291959421e-64,8.1635057597764032e-66
2.828394080599754e-18,0.5585239738200809,1.3773488176664394e-19,1.3816380369263724e-31,1.3782584684817858e-31,3.4871702564654679e-49,4.46243798264676e-42,0.0,0.0,9.4078797565046007e-20,2.7315564040328496e-34,154.0,0.0,0.99999999999890365,1.0,19.0,9.9041198983586662e-14,1.8635889822430868e-13,4.054928778994481e-13,4.0549310803972617e-13,2.4924630498907343e-19,2.617101870535181e-21,2.5850880952915894e-21,1.7062972117276053e-21,3.1650692704244008e-19,1.1294201844057504e-30,2.5195218943832087e-24,1.2503434540301267e-24,7.4391065758988568e-33,7.4391065470050075e-33,2.5046640898953761e-41,1.7918537348552498e-32,3.8472096582123288e-42,1.8411030958513492e-25,2.0099818818324628e-75,1.9051310132811808e-75,1.9051310132844844e-75,1.0761913805651681e-35,2.0846222171670399e-38,1.4037633943864821e-30,6.809861160783483e-36,2.3351330959419942e-39,1.5831897515486204e-44,9.3681189578841309e-54,1.0377614282802365e-62,5.2290939933481112e-64
5.6580162958415396e-18,0.5585239738200811,2.755295707158743e-19,5.52158989122501e-31,5.5148291464347114e-31,2.7911593339872317e-48,3.5713066168478244e-41,0.0,0.0,1.8819918147108217e-19,1.0929821112869886e-33,154.0,0.0,0.99999999999780675,1.0,19.0,1.9812540326356844e-13,3.727975609504314e-13,8.1116182215102558e-13,8.1116227930922199e-13,9.9730722857801952e-19,1.0471816160299181e-20,1.0218498530669771e-20,6.8274029804535564e-21,1.2664366127646673e-18,8.8239276639201944e-30,1.0081369316482746e-23,5.003002406343127e-24,5.9535460931592669e-32,5.9535460469106427e-32,4.0090594820269877e-40,1.4340240114424115e-31,6.1580284341228525e-41,7.3668104862791443e-25,2.5753870065225293e-73,2.4410417337784178e-73,2.4410417337868822e-73,8.6128020570094659e-35,1.6683313137771381e-37,1.0496399861180249e-29,5.4483668215966354e-35,1.8688034588462977e-38,2.5341179661919388e-43,2.9990394858876315e-52,6.6444688740898333e-61,3.3480288915012542e-62
1.1317260726325111e-17,0.558523973820081,5.5111894999509066e-19,2.2076431769314667e-30,2.206290768855625e-30,2.2335085757160498e-47,2.8575879073327757e-40,0.0,0.0,3.7644215716012068e-19,4.3726701410495743e-33,154.0,0.0,0.99999999999561306,1.0,19.0,3.9629381182172664e-13,7.456714190123762e-13,1.6224996949291735e-12,1.622500597172508e-12,3.9898571206855427e-18,4.1894081441264076e-20,3.9911984750302375e-20,2.7313990293467203e-20,5.0665441827203764e-18,6.73935698124008e-29,4.0332041151237046e-23,2.0015266924444592e-23,4.7637413240519929e-31,4.763741250040274e-31,6.4156908964908327e-39,1.1474313947046498e-30,9.8548103609467043e-40,2.9472038569180062e-24,5.7742331392743073e-71,5.4730197985474734e-71,5.4730197985853675e-71,6.8915506269586491e-34,1.334918498346642e-36,7.4184265611278369e-29,4.3569761031659155e-34,1.4953063602339227e-37,4.0553603863740823e-42,9.5988198415219764e-51,4.2533139042718074e-59,2.1431687379951433e-60
2.2635749587292254e-17,0.5585239738200809,1.1022977140765446e-18,8.8285872461166058e-30,8.8258813841832016e-30,1.7870580818646745e-46,2.2862874035932478e-39,0.0,0.0,7.5293694004580198e-19,1.7492344018929878e-32,154.0,0.0,0.99999999999122557,1.0,19.0,7.9263062893082203e-13,1.4914052658330081e-12,3.245175377585451e-12,3.24517713879722e-12,1.5960557763242751e-17,1.675899481440599e-19,1.5240500680476503e-19,1.0926431450922038e-19,2.026761075455918e-17,4.9407053310326329e-28,1.6134128927361339e-22,8.0067579996789977e-23,3.8113547549426434e-30,3.8113546365154777e-30,1.0265799277938937e-37,9.180231667265123e-30,1.5769172613492161e-38,1.1789774615186053e-23,7.4171923152230473e-69,7.0302738777222541e-69,7.0302738778197663e-69,5.5137646256522853e-33,1.068036152393722e-35,4.8033863381412126e-28,3.4818460892091659e-33,1.1963261223243024e-36,6.4890658397793289e-41,3.0718656264732389e-49,2.7223416080796323e-57,1.3717392298920248e-58
4.527272730922654e-17,0.558523973820081,2.2046552643315359e-18,3.5310381564916719e-29,3.5304962501787347e-29,1.4297769599529885e-45,1.8291167729989863e-38,0.0,0.0,1.5059618318455832e-18,6.9974142780601369e-32,154.0,0.0,0.9999999999824507,1.0,19.0,1.5853042631201279e-12,2.9828174843247139e-12,6.4905264912980157e-12,6.4905298770117644e-12,6.3843471943839685e-17,6.7038694109171628e-19,5.5844551451512962e-19,4.3707073524248977e-19,8.1072018771068883e-17,3.3824716490982401e-27,6.4539137759471161e-22,3.2028332294397972e-22,3.0492282935434615e-29,3.0492281040619829e-29,1.6424992896624587e-36,7.3443882388642252e-29,2.5231549716463065e-37,4.7161015345931023e-23,9.4951601290363774e-67,8.9998443376715276e-67,8.9998443379212011e-67,4.4112221242929211e-32,8.5446940932341006e-35,2.7718173346785059e-27,2.7791255030230938e-32,9.5705425353824062e-36,1.0382486641498561e-39,9.8299770887386208e-48,1.7423019992508562e-55,8.7791483864497807e-57
9.054668275309512e-17,0.558523973820081,4.4093704532098374e-18,1.4123362217350687e-28,1.4122272635947896e-28,1.1439217675223121e-44,1.463328182410128e-37,0.0,0.0,3.0121529195437788e-18,2.7991762221150181e-31,154.0,0.0,0.99999999996490085,1.0,19.0,3.1706515313832002e-12,5.9654200372164639e-12,1.298122771232386e-11,1.298123415969874e-11,2.5536822811383162e-16,2.6816012877104265e-18,1.9083695707364055e-18,1.7482840790787238e-18,3.2428088812936645e-16,2.0948755283208859e-26,2.5816177444635401e-21,1.2811591213118648e-21,2.4394401179415434e-28,2.4394398148006577e-28,2.6277069089036932e-35,5.8754168607152483e-28,4.0370194864859525e-36,1.8864788380067096e-22,1.2154383323326182e-64,1.1520348953956564e-64,1.1520348954595755e-64,3.5290630956116795e-31,6.8359163631586504e-34,1.4166672279012793e-26,2.2130487204107519e-31,7.6557826122738961e-35,1.6610651572459105e-38,3.1453492474530739e-46,1.1149882783883766e-53,5.618227089188438e-55
1.3582063819696368e-16,0.558523973820081,6.6140857304564415e-18,3.0011654200234028e-28,3.0010009391434131e-28,3.3961562920554553e-44,4.184229595091947e-37,0.0,0.0,4.5184853113262773e-18,5.948511378468899e-31,154.0,0.0,0.99999999994735123,1.0,19.0,4.755998799530733e-12,8.947800722521896e-12,1.9471927926951092e-11,1.9471937387078129e-11,5.4264478884940752e-16,5.6984353191684826e-18,3.6577247107320133e-18,3.7150753538246012e-18,6.8908076531981092e-16,5.2393455994710809e-26,5.4859701441201688e-21,2.7224790774168392e-21,6.975315921263079e-28,6.9753148055628009e-28,9.6711263204206275e-35,1.6799739478559769e-27,1.4858764762657216e-35,4.0087913011018925e-22,6.2712230730206017e-64,5.9440842270644906e-64,5.9440842274569228e-64,1.0090979850292528e-30,1.9546565633159903e-33,3.2648474940428092e-26,6.3111362217229713e-31,2.1889518509764566e-34,6.113547901157065e-38,1.4360010322813318e-45,6.1258937946859829e-53,3.0867287165265949e-54
1.8109459364083226e-16,0.5585239738200809,8.8188010960713351e-18,5.1195916830065297e-28,5.1193706724106154e-28,7.4003318826840547e-44,8.8257819433379273e-37,0.0,0.0,6.0249590071792735e-18,1.0147848440399738e-30,154.0,0.0,0.99999999992980149,1.0,19.0,6.3413460675627286e-12,1.1929959556745125e-11,2.5962627135180387e-11,2.5962639661964654e-11,9.2566603143723144e-16,9.7208883604754681e-18,5.7037187734952433e-18,6.3374219993694166e-18,1.175462605522141e-15,9.8912324639019319e-26,9.3584484344611755e-21,4.6442430365225636e-21,1.4713009771272363e-27,1.4713006941756407e-27,2.4526695835240665e-34,3.5434902789969118e-27,3.7684637495395277e-35,6.8385474566407901e-22,3.4212039408236464e-63,3.242736567748852e-63,3.2427365679673119e-63,2.1284879900215073e-30,4.1229503505690043e-33,5.8301613810174798e-26,1.3279972428682629e-30,4.6168872077775655e-34,1.5504622677756035e-37,4.2801610816082041e-45,2.1061455551198027e-52,1.0612492383693491e-53
2.716425045285694e-16,0.5585239738200809,1.3228232034696049e-17,1.0599376940783139e-27,1.0599039726519744e-27,2.1482489198491792e-43,2.4106031537696604e-36,0.0,0.0,9.0382380308460762e-18,2.1011130240499208e-30,154.0,0.0,0.9999999998947019,1.0,19.0,9.5120406033555501e-12,1.7893756605476006e-11,3.8944023189686724e-11,3.8944042197134676e-11,1.9163933301293895e-15,2.012591859867295e-17,1.0271130824713589e-17,1.3120593659125569e-17,2.4335436545567251e-15,2.292125549542333e-25,1.9375536808964925e-20,9.615343134839665e-21,4.0185925526959375e-27,4.0185915632860094e-27,8.5762759431593714e-34,9.6780710018878227e-27,1.3178233440832198e-34,1.4158386548927887e-21,4.7515083475165839e-62,4.5036455420579611e-62,4.5036455424030676e-62,5.8135870087560406e-30,1.1261093394768706e-32,1.2650381456285894e-25,3.61266694210266e-30,1.2609003694967935e-33,5.4216421272526539e-37,1.8733935378269395e-44,1.132663472525855e-51,5.7072897725399126e-53
3.6219041541630655e-16,0.558523973820081,1.7637663298282379e-17,1.8026681753532785e-27,1.8026222541320215e-27,4.6982684356347149e-43,5.0437984470506823e-36,0.0,0.0,1.2052036679867406e-17,3.5736492055057231e-30,154.0,0.0,0.99999999985960231,1.0,19.0,1.2682735138723496e-11,2.385673796573633e-11,5.19254155433145e-11,5.1925441751061314e-11,3.2591488106272516e-15,3.4228962995734275e-17,1.5408164698320963e-17,2.2314288925509004e-17,4.1386498182159338e-15,4.1903468931648746e-25,3.2952768335065607e-20,1.6353205900474283e-20,8.4082557242227597e-27,8.408253252135293e-27,2.1428050897705293e-33,2.0249184140609065e-26,3.2928237767343816e-34,2.4079747748062945e-21,2.1842078993659684e-61,2.0702685239265587e-61,2.0702685241055132e-61,1.2164004899281366e-29,2.3562018946669487e-32,2.2120149436809158e-25,7.5321112295942292e-30,2.6380097166572643e-33,1.3546371448345131e-36,5.4579016727870555e-44,3.7747860583082857e-51,1.9020476121412361e-52
4.527383263040437e-16,0.558523973820081,2.2047094910041804e-17,2.7540616482274927e-27,2.7540027381251096e-27,8.8151398146041065e-43,9.1820554818513879e-36,0.0,0.0,1.5066392070254069e-17,5.4600476015851588e-30,154.0,0.0,0.99999999982450272,1.0,19.0,1.5853429673636214e-11,2.9818845484352563e-11,6.4906803931719745e-11,6.4906838369173107e-11,4.979029745582334e-15,5.2294160915100249e-17,2.0897283830941388e-17,3.4090537403692013e-17,6.3226510198877839e-15,6.7393896964967404e-25,5.0344438186985458e-20,2.4984027632525567e-20,1.5306927793782087e-26,1.530692254936629e-26,4.5458202212099054e-33,3.6861772551008221e-26,6.9859557763317352e-34,3.6788453549908839e-21,8.0641538481420665e-61,7.6434866360960286e-61,7.6434866368139622e-61,2.2144159137903881e-29,4.2893810371355434e-32,3.4429801978122732e-25,1.3662562097061252e-29,4.8019935808348967e-33,2.8738287974015356e-36,1.3250818249932527e-43,1.0334100308288017e-50,5.2071696598087159e-52
6.338341480795181e-16,0.558523973820081,3.0865959199949673e-17,5.295945799588932e-27,5.295857354530749e-27,2.412357535722474e-42,2.4243384074220034e-35,0.0,0.0,2.1096808045812927e-17,1.0500887483766464e-29,154.0,0.0,0.99999999975430376,1.0,19.0,2.2194818742067371e-11,4.1740384854247246e-11,9.0869568563820976e-11,9.0869623354040399e-11,9.5735343168228769e-15,1.0055986625480524e-16,3.2214415266392002e-17,6.5551894412850463e-17,1.2157010422787146e-14,1.3849403570913383e-24,9.6810688965767978e-20,4.8043445667687793e-20,4.0414869593785941e-26,4.0414850384552937e-26,1.6649956052847476e-32,9.731788780754006e-26,2.5592769386175024e-33,7.0742980432639648e-21,9.886060653637848e-60,9.3703535570088542e-60,9.3703535584844192e-60,5.8467364929818157e-29,1.132524984595517e-31,6.7746392834116128e-25,3.5722680112477999e-29,1.2675756214000756e-32,1.0526618999805872e-35,6.8536558684969693e-43,7.7176521266798489e-50,3.8887884538842506e-51
8.149299698549924e-16,0.5585239738200811,3.9684824903972047e-17,8.6853237068250292e-27,8.6851999817000687e-27,5.0862422434512057e-42,5.0262663887346539e-35,0.0,0.0,2.7129485241888441e-17,1.7223665890538133e-29,154.0,0.0,0.99999999968410502,1.0,19.0,2.8536207808649606e-11,5.3658376754390287e-11,1.1683231709111985e-10,1.1683239758781417e-10,1.5699026969401247e-14,1.6491790911367864e-16,4.3791017987638862e-17,1.0750009575536224e-16,1.9935504295412821e-14,2.362734308849486e-24,1.5876938517314065e-19,7.8791157775016354e-20,8.3790210108499888e-26,8.379016023866685e-26,4.3224606750126846e-32,2.0174910383182679e-25,6.6452262676027719e-33,1.1601838380102054e-20,4.9283652842542597e-59,4.6712767452863609e-59,4.671276746169157e-59,1.2121787354845172e-28,2.3480098016531062e-31,1.1259509651644003e-24,7.3413904196850491e-29,2.6274523082308252e-32,2.7329344483102861e-35,2.2065261705106952e-42,3.04781026344537e-49,1.5357378532811106e-50
1.177121613405941e-15,0.5585239738200811,5.7322560553761036e-17,1.8006212509656479e-26,1.8005992679234276e-26,1.5519413173329737e-41,1.5102498503253572e-34,0.0,0.0,3.9201622338263767e-17,3.5717682301798534e-29,154.0,0.0,0.99999999954370733,1.0,19.0,4.1218985936268109e-11,7.7483725084139156e-11,1.6875776583832234e-10,1.6875791452106251e-10,3.2539981962671098e-14,3.4190400089149833e-16,6.7015514318008642e-17,2.2284517509378989e-16,4.1321092795037995e-14,5.1188598690862629e-24,3.2915755015003679e-19,1.6334817197289072e-19,2.5176548772277824e-25,2.5176526678873251e-25,1.9148277921678892e-31,6.0608895843946661e-25,2.9451266513299503e-32,2.4052702400131376e-20,7.5051593570888893e-58,7.1136522022668169e-58,7.1136522044810847e-58,3.6422678139815751e-28,7.0550949852556057e-31,2.3687550572331292e-24,2.1613215811272753e-28,7.8908355105773208e-32,1.2108393048420633e-34,1.4744036198658113e-41,3.1468801824929647e-48,1.5856579509331888e-49
1.9015049005078384e-15,0.5585239738200811,9.2598048820164121e-17,4.681650047935922e-26,4.6815932854069559e-26,6.7383770374633309e-41,6.4930594680812861e-34,0.0,0.0,6.3373027110018629e-17,9.2920939566268334e-29,154.0,0.0,0.99999999926291294,1.0,19.0,6.6584542169321367e-11,1.2509191513338996e-10,2.7260847010608474e-10,2.7260882255704163e-10,8.4566548337683916e-14,8.8895327176966743e-16,1.1349172390359302e-16,5.79281308276495e-16,1.0738734260155232e-13,1.3832749354996509e-23,8.5581531148265056e-19,4.2470751179534325e-19,1.0824202976723694e-24,1.0824186701720813e-24,1.4103529201779807e-30,2.6047290144799947e-24,2.1714736767902231e-31,6.2537442773215555e-20,2.626732384080961e-56,2.4897087391588519e-56,2.489708740654093e-56,1.5659444556109566e-27,3.0332115450968796e-30,6.2371465859582731e-24,8.8928762047788603e-28,3.3888008767212925e-31,8.9211365874305482e-34,1.9344102411501113e-40,7.5981691598507673e-47,3.8285876907770973e-48
3.3502714747116327e-15,0.5585239738200809,1.6314909321955411e-16,1.4511124993375226e-25,1.4510893268140914e-25,3.814580913677095e-40,3.6563245758333164e-33,0.0,0.0,1.1182435786460411e-16,2.8836185397314675e-28,154.0,0.0,0.99999999870132761,1.0,18.999999999999996,1.1731565454669383e-10,2.2013855218680839e-10,4.8030910575296619e-10,4.8031013587461224e-10,2.6187600091445171e-13,2.7553422430756637e-15,2.0637519212356242e-16,1.7947476116425376e-15,3.3254482278222096e-13,4.4066545086723935e-23,2.6526487562945459e-18,1.3164017425744106e-18,6.0952217024799226e-24,6.0952045448277033e-24,1.4864061106636499e-29,1.4655188217344652e-23,2.2935911115140288e-30,1.9383840410238185e-19,1.6386954791060301e-54,1.5532128750327108e-54,1.5532128768824099e-54,8.8181894717205685e-27,1.7080339905681272e-29,1.9500775773361496e-23,4.5908407137024717e-27,1.9038770744209584e-30,9.4083778264445586e-33,3.9261448129797963e-39,3.0173985075312214e-45,1.5204180391679754e-46
