Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403)
1.055128695213272e-21,1.0660370653630036,4.9066874887527704e-18,2.0750588460318871e-30,9.0293303699535263e-33,4.24257369285335e-51,1.0520656450932983e-46,0.0,0.0,8.0013370762411024e-20,5.1099176612526998e-37,154.0,0.0,0.99999999999948341,1.0,19.0,2.7420909206999655e-15,4.9591212516654549e-13,8.9524348255538562e-15,8.9574215264078549e-15,3.2217237140723917e-22,1.4261906256547385e-26,1.4269566764638337e-26,7.1235603461751566e-27,8.0767299196815302e-22,1.4875893311124824e-38,1.0682341387019078e-28,1.612211769235492e-27,3.0364903972137127e-38,3.0364903972117802e-38,1.9321759862361014e-50
2.110715544440966e-21,1.066037065363004,9.8155055408926445e-18,4.1690852176185002e-30,3.6129082727258453e-32,3.3957784913594182e-50,8.4197226429712829e-46,0.0,0.0,1.6006148464379999e-19,2.0446326624089193e-36,154.0,0.0,0.9999999999989666,1.0,19.0,5.4853725018064684e-15,9.9203958113878141e-13,1.7908756943649592e-14,1.7918732510653048e-14,1.2891091320226846e-21,5.7066202013052092e-26,5.709571886645981e-26,2.8503520204429783e-26,3.2317440042621103e-21,1.1903211182202884e-37,4.2743279941960038e-28,6.4509470798852591e-27,2.4301151691442855e-37,2.430115169141193e-37,3.0927398771657531e-49
4.2218892428963536e-21,1.0660370653630036,1.9633141645161634e-17,8.4113492301046334e-30,1.4453985675477127e-31,2.7173107761466744e-49,6.7370573806026897e-45,0.0,0.0,3.2015771244858942e-19,8.1798620369452563e-36,154.0,0.0,0.99999999999793299,1.0,19.0,1.0971935664013683e-14,1.9842944862042163e-12,3.5821401179708692e-14,3.5841354478977968e-14,5.1572759251153721e-21,2.2830196728083896e-25,2.2841097168403677e-25,1.1403264081685524e-25,1.2929080351146167e-20,9.5211391565911247e-37,1.7100095251919349e-27,2.5807988922934668e-26,1.9444613546991298e-36,1.9444613546941806e-36,4.9493906348881815e-48
8.44423663980713e-21,1.066037065363004,3.9268413853656585e-17,1.7112722332328057e-29,5.7820648206091567e-31,2.1741238481094041e-48,5.3901576656288242e-44,0.0,0.0,6.4035016822621393e-19,3.2722111126894694e-35,154.0,0.0,0.99999999999586586,1.0,19.0,2.1945061988404947e-14,3.968804268818938e-12,7.1646689651297358e-14,7.1686598414965956e-14,2.0630782491467372e-20,9.1328219257022009e-25,9.1364558999989661e-25,4.5616768363749851e-25,5.1720530065153543e-20,7.612457896876516e-36,6.8405947953753375e-27,1.0324035749037146e-25,1.5557167871999719e-35,1.555716787192052e-35,7.9198303927503799e-47
1.6888931433628683e-20,1.0660370653630036,7.8538958270474363e-17,3.5382848845775712e-29,2.3129200416737372e-30,1.7394091766733202e-47,4.3123308478761671e-43,0.0,0.0,1.2807350804536464e-18,1.3089377077430576e-34,154.0,0.0,0.9999999999917315,1.0,19.0,4.3891314637094802e-14,7.937823723983796e-12,1.4329726659235672e-13,1.4337708628429504e-13,8.252648668659346e-20,3.6532774200418493e-24,3.6541499293020925e-24,1.8247449597589846e-24,2.0689053542256284e-19,6.0819886946603402e-35,2.7363492609854596e-26,4.1297823410530511e-25,1.244632514146275e-34,1.2446325141336026e-34,1.267237236654028e-45
3.377832102127179e-20,1.0660370653630036,1.5708004710342145e-16,7.5392623108643884e-29,9.2518683968699654e-30,1.3915713828991236e-46,3.4499465666061377e-42,0.0,0.0,2.5615049075972444e-18,5.235857367712168e-34,154.0,0.0,0.99999999998346289,1.0,19.0,8.7783819934103835e-14,1.5875862194055179e-11,2.8659842046600335e-13,2.8675806201236832e-13,3.3011265246057873e-19,1.461340696557847e-23,1.4612249931590778e-23,7.2991281466990406e-24,8.2757895264246059e-19,4.8525313484267445e-34,1.0945619733172356e-25,1.6519465448930772e-24,9.9572964546970203e-34,9.9572964544942563e-34,2.0276308861630987e-44
6.755710019655799e-20,1.0660370653630036,3.1416222476656176e-16,1.6929025657802828e-28,3.7007850050892418e-29,1.1132747247196715e-45,2.7599900089951092e-41,0.0,0.0,5.1230445726393755e-18,2.0943642622297181e-33,154.0,0.0,0.99999999996692568,1.0,19.0,1.755688305266393e-13,3.1751937373164833e-11,5.7320072817940827e-13,5.7352001342620022e-13,1.3204639586158464e-18,5.8454222283213143e-23,5.8412449663458836e-23,2.9196808041578818e-23,3.310349275402596e-18,3.8611556291937286e-33,4.3782924311880333e-25,6.6078533938015573e-24,7.9659316979031916e-33,7.965931697578765e-33,3.2442498464659552e-43
1.3511465854713039e-19,1.0660370653630036,6.2832658008182689e-16,4.1259786328944307e-28,1.4803215313143841e-28,8.9062682960145184e-45,2.2080051094888683e-40,0.0,0.0,1.0246123945743364e-17,8.3774997402560192e-33,154.0,0.0,0.99999999993385125,1.0,19.0,3.5113885170577951e-13,6.3504080687253257e-11,1.1464053434706645e-12,1.1470439160847994e-12,5.2818820299345873e-18,2.3381807673843299e-22,2.3335435658892953e-22,1.1678781377304408e-22,1.3241462772604662e-17,3.0559960577495851e-32,1.7513258798401513e-24,2.6431547977760798e-23,6.3727831662693881e-32,6.3727831657503044e-32,5.1908301197253522e-42
2.7022977524827523e-19,1.0660370653630036,1.256655290668295e-15,1.1212624357872856e-27,5.921301183663842e-28,7.1250428748108643e-44,1.7664093283996737e-39,0.0,0.0,2.0492282864030271e-17,3.351008483075048e-32,154.0,0.0,0.99999999986770238,1.0,19.0,7.0227889404033735e-13,1.2700833913891903e-10,2.2928145735109622e-12,2.2940917207272884e-12,2.1127576493238588e-17,9.3527467224139965e-22,9.3105516745750718e-22,4.6715234386471418e-22,5.2965972360943333e-17,2.393689711415272e-31,7.0053213320657178e-24,1.0572646050473264e-22,5.0982416467025803e-31,5.0982416458720465e-31,8.3053461551424235e-41
5.404600086505649e-19,1.0660370653630036,2.513312711664983e-15,3.4267890169584495e-27,2.3685234850024842e-27,5.7000456568120808e-43,1.4131295588450248e-38,0.0,0.0,4.0984601388919779e-17,1.3404051495754428e-31,154.0,0.0,0.99999999973540454,1.0,19.0,1.4045589786145624e-12,2.5401674333630621e-10,4.5856330314227003e-12,4.5881873273257137e-12,8.4510370579607106e-17,3.7411033401649163e-21,3.7054419201392135e-21,1.8686109574624883e-21,2.1186405141108021e-16,1.8379497549617377e-30,2.8021320937257559e-23,4.2290637751076388e-22,4.0785993475795451e-30,4.0785993462506895e-30,1.3288547966965781e-39
8.106902420528546e-19,1.0660370653630036,3.769970132485423e-15,6.6205130341805222e-27,5.0331142876755873e-27,1.6922020195566316e-42,4.0406746632589743e-38,0.0,0.0,6.1476920602124984e-17,2.8483620901140709e-31,154.0,0.0,0.9999999996031067,1.0,19.0,2.1068390630938969e-12,3.8102503482784907e-10,6.878451487165582e-12,6.88228293124976e-12,1.7958454170285558e-16,7.9498474155957185e-21,7.8466393862576692e-21,3.9707986033782761e-21,4.502111198324608e-16,5.1345880114224104e-30,5.9545329228160028e-23,8.9867638498475756e-22,1.1662249419441148e-29,1.1662249414550082e-29,4.8910650497875943e-39
1.0809204754551443e-18,1.066037065363004,5.0266275531296146e-15,1.0702434487328934e-26,8.5859025262564872e-27,3.6872203028644504e-42,8.5229658616844437e-38,0.0,0.0,8.1969240503645871e-17,4.8589717097360305e-31,154.0,0.0,0.99999999947080886,1.0,19.0,2.8091191474783411e-12,5.0803321361364768e-10,9.1712699407396051e-12,9.1763785325114947e-12,3.0635006174012838e-16,1.3561506829162543e-20,1.334258063056045e-20,6.7737147605197284e-21,7.6800710712293155e-16,1.0607343340534392e-29,1.0157734618979832e-22,1.5330364814425883e-21,2.4599066739789156e-29,2.4599066727384363e-29,1.2404791515136385e-38
1.6213809422597237e-18,1.0660370653630036,7.5399423940043538e-15,2.0950822395923601e-26,1.7776024005658232e-26,1.0702866668346588e-41,2.327892680960986e-37,0.0,0.0,1.229538819221225e-16,1.0059886154352772e-30,154.0,0.0,0.99999999920621319,1.0,19.0,4.213679316024526e-12,7.6204930667207341e-10,1.3756906842797479e-11,1.3764569728823701e-11,6.3425867019107268e-16,2.8077381847072363e-20,2.7476948366383857e-20,1.4024112372469769e-20,1.5900606113697928e-15,2.800384430530134e-29,2.1030303306731464e-22,3.1739578990022167e-21,6.718769464212797e-29,6.7187694598747872e-29,4.3380101464422369e-38
2.161841409064303e-18,1.066037065363004,1.0053257234230966e-14,3.4465429057171756e-26,3.0232364237606783e-26,2.3405966732568483e-41,4.8707401730160842e-37,0.0,0.0,1.639385258717815e-16,1.7109234142603082e-30,154.0,0.0,0.99999999894161751,1.0,19.0,5.6182394842217647e-12,1.0160649852721107e-09,1.8342543736879689e-11,1.8352760915444348e-11,1.0787074379198308e-15,4.7752276347040235e-20,4.6494487837329561e-20,2.3851334311184183e-20,2.7042755406401356e-15,5.6872033531830629e-29,3.5767041545329884e-22,5.3980716236838481e-21,1.4057914836639196e-28,1.4057914825799697e-28,1.0839494211208702e-37
3.2427623426734614e-18,1.066037065363004,1.5079886912555963e-14,7.2219763077815933e-26,6.5870165399109534e-26,7.7859352389193434e-41,1.5380334814292934e-36,0.0,0.0,2.4590782208261772e-16,3.7277541423869762e-30,154.0,0.0,0.99999999841242626,1.0,19.0,8.4273598194704257e-12,1.5240949815398479e-09,2.7513817498854834e-11,2.7529143257340041e-11,2.3502809566477614e-15,1.0404247916704183e-19,1.000861318631935e-19,5.1967147000028805e-20,5.8920584779027549e-15,1.6586180884716196e-28,7.7929100077282265e-22,1.176129869803606e-20,4.4390567164083273e-28,4.4390567113887076e-28,5.0196189879032899e-37
4.32368327628262e-18,1.0660370653630036,2.0106516588075529e-14,1.2411198288530696e-25,1.1564585234655016e-25,1.8113132670346815e-40,3.4983177329096465e-36,0.0,0.0,3.2787712924972217e-16,6.5446829935653372e-30,154.0,0.0,0.99999999788323501,1.0,19.0,1.1236480153208665e-11,2.0321231838267475e-09,3.6685091226307201e-11,3.6705525558385439e-11,4.1262979084582798e-15,1.826635826376495e-19,1.7371492544525133e-19,9.1236739216521954e-20,1.0344460523070223e-14,3.5300742987314486e-28,1.3681728490171559e-21,2.0648883873782938e-20,1.0096798428842991e-27,1.0096798414287465e-27,1.4555524600732475e-36
6.485525143500937e-18,1.066037065363004,3.0159775930659591e-14,2.7050547494368511e-25,2.5780627868056766e-25,6.1675031483271276e-40,1.1680172232591269e-35,0.0,0.0,4.9181577660415974e-16,1.4589894268315927e-29,154.0,0.0,0.99999999682485274,1.0,19.0,1.6854720816133008e-11,3.0481741816968062e-09,5.5027638577166484e-11,5.5058290040876445e-11,9.1986246368097861e-15,4.0720709699594547e-19,3.7784543489680677e-19,2.0339124410991928e-19,2.3060576704696785e-14,1.0218451907214313e-27,3.0500319931385213e-21,4.6032016375453973e-20,3.3711125919835616e-27,3.3711125845873525e-27,7.396210059773325e-36
1.080920887793757e-17,1.066037065363004,5.0266294581998839e-14,7.3377208970851054e-25,7.1260676196980184e-25,2.9333738481940634e-39,5.4923102058986035e-35,0.0,0.0,8.1969320342760766e-16,4.0328196860647019e-29,154.0,0.0,0.99999999470808831,1.0,19.0,2.8091202123768514e-11,5.0802545453241911e-09,9.1712732862597397e-11,9.1763818547792226e-11,2.5425939044381091e-14,1.1255677931620695e-18,9.9320232643901231e-19,5.6219468726910572e-19,6.3741791931256093e-14,3.7139414113579593e-27,8.4306457458064283e-21,1.2723787979565e-19,1.585180801314834e-26,1.5851807951939672e-26,6.1208664942034482e-35
1.945657634681084e-17,1.0660370653630045,9.0479331749325453e-14,2.3424071733908899e-24,2.3043095825140328e-24,1.7624984170135513e-38,3.2844128296088427e-34,0.0,0.0,1.475448585674937e-15,1.3040676579242543e-28,154.0,0.0,0.99999999047456067,1.0,19.0,5.0564164666167222e-11,9.1443287225790078e-09,1.6508291976786225e-10,1.6517487386760012e-10,8.2217270886084151e-14,3.6396722505522797e-18,2.9137974787006611e-18,1.8179150123011809e-18,2.0611534407466564e-13,1.5025862623049499e-26,2.726162385538671e-20,4.1144070958879045e-19,9.4794106852545501e-26,9.4794106156453401e-26,6.9609212347415298e-34
3.6751311284557374e-17,1.0660370653630047,1.7090540554255577e-13,8.2881640777188625e-24,8.2162019591839005e-24,1.2134886024141518e-37,2.2577732384851809e-33,0.0,0.0,2.7869614646333489e-15,4.6497679304878144e-28,154.0,0.0,0.99999998200751039,1.0,19.0,9.5510089459467134e-11,1.7272130880696815e-08,3.1182328691582078e-10,3.1199697852644282e-10,2.9314573156547694e-13,1.2977529316703778e-17,8.7191474403998584e-18,6.4818007761014087e-18,7.3490439037814974e-13,6.2166206086604633e-26,9.7203519500974644e-20,1.4670247439184704e-18,6.5163409083884968e-25,6.5163408146297836e-25,9.375871384819057e-33
7.134078116005045e-17,1.0660370653630056,3.317575509632917e-13,3.1093805291738969e-23,3.0954114107288609e-23,8.9903290769208817e-37,1.671934449222641e-32,0.0,0.0,5.4099956805494179e-15,1.7517829817390374e-27,154.0,0.0,0.99999996507342903,1.0,18.999999999999996,1.8540193788005891e-10,3.3526350497851931e-08,6.0530399456109567e-10,6.0564116748455423e-10,1.1043615172310686e-12,4.8892045920600713e-17,2.4623278849543915e-17,2.4418925458319478e-17,2.7685892733494746e-12,2.5513107517345493e-25,3.6620919362379578e-19,5.5269369331359585e-18,4.8255023664885084e-24,4.8255022288886971e-24,1.3759981097815873e-31
1.0593025103554353e-16,1.066037065363007,4.926096934963941e-13,6.8451633832161886e-23,6.8244213561042451e-23,2.7932695908190144e-36,5.1941883879952169e-32,0.0,0.0,8.0330411738170643e-15,3.8621507010051518e-27,154.0,0.0,0.99999994813937332,1.0,18.999999999999993,2.7529378474597283e-10,4.9778723990143782e-08,8.9878466667224722e-10,8.9928533186983752e-10,2.4346829206214119e-12,1.0779156192221793e-16,4.3679443508431294e-17,5.3834457863832944e-17,6.1036507659631627e-12,5.7969458975266079e-25,8.0737757292148812e-19,1.218517564435765e-17,1.4991354056055615e-23,1.4991353485155698e-23,5.7089991379187894e-31
1.4051972091103662e-16,1.0660370653630074,6.534618331418628e-13,1.2036167539318915e-22,1.2008652600539573e-22,6.3017838158598384e-36,1.1717990170681463e-31,0.0,0.0,1.0656097944464201e-14,6.7960893650806008e-27,154.0,0.0,0.99999993120534325,1.0,18.999999999999989,3.6518563005720841e-10,6.6029251553801946e-08,1.1922653032493642e-09,1.192929473756636e-09,4.2840547559516098e-12,1.896759808008806e-16,6.3814313525402926e-17,9.4727379465416948e-17,1.0739950521101123e-11,1.0358457218602048e-24,1.4207089457492027e-18,2.1441742547675321e-17,3.3820200506396187e-23,3.3820198910073295e-23,1.5963228851885802e-30
1.751091907865297e-16,1.0660370653630087,8.1431396989970074e-13,1.8682393836539374e-22,1.8648105982135705e-22,1.1939145189444529e-35,2.2200108181272515e-31,0.0,0.0,1.32791659925056e-14,1.0553607678341726e-26,154.0,0.0,0.99999991427133883,1.0,18.999999999999986,4.5507747381376698e-10,8.2277933393981532e-08,1.4857459042925828e-09,1.4865735940045164e-09,6.6524193274023515e-12,2.9454517406582441e-16,8.4169398108279026e-17,1.4709662306667126e-16,1.6677343899138394e-11,1.6235725366058408e-24,2.2062033958804617e-18,3.3296636124838455e-17,6.4073437556302659e-23,6.4073433949304802e-23,3.6069978534140577e-30
2.4428813053751583e-16,1.0660370653630107,1.136018234752501e-12,3.6340513256699877e-22,3.6292679555630334e-22,3.1508441363928922e-35,5.858698263891246e-31,0.0,0.0,1.8525335920804958e-14,2.0539413995347462e-26,154.0,0.0,0.99999988040340715,1.0,18.999999999999979,6.3486115666286102e-10,1.1476976066793481e-07,2.0727069997778969e-09,2.0738617700960666e-09,1.2945911810524086e-11,5.7323736452975538e-16,1.2503169806015048e-16,2.8626009836052529e-16,3.2454872863585914e-11,3.1937455086728673e-24,4.2936815195875938e-18,6.4801392834326532e-17,1.6909230169344609e-22,1.6909228909452216e-22,1.259892389810597e-29
3.13467070288502e-16,1.0660370653630127,1.4577224880548312e-12,5.9819522594287903e-22,5.9758143019507103e-22,6.5628400106863746e-35,1.2202875497404087e-30,0.0,0.0,2.3771550958788831e-14,3.3819636197075171e-26,154.0,0.0,0.99999984653557794,1.0,18.999999999999972,8.1464483329327175e-10,1.4725420746443712e-07,2.6596679531294244e-09,2.6611498610578365e-09,2.1314695656030302e-11,9.43867011460293e-16,1.6536171101477728e-16,4.7131628038451981e-16,5.343507265192513e-11,5.2902104893683587e-24,7.0698119353268821e-18,1.0669942327648195e-16,3.5219619679510252e-22,3.5219616432134613e-22,3.2473756341763265e-29
3.8264601003948815e-16,1.0660370653630145,1.7794267298067307e-12,8.9119422148850244e-22,8.9044496665236396e-22,1.1864425695481608e-34,2.2060462925141369e-30,0.0,0.0,2.9017811106529375e-14,5.0394343946452704e-26,154.0,0.0,0.99999981266785154,1.0,18.999999999999964,9.9442850370501805e-10,1.7973127552372164e-07,3.2466287643484813e-09,3.2484378665775272e-09,3.1758281458131241e-11,1.40643292269578e-15,2.0548092038291214e-16,7.0225610749436991e-16,7.9616716355963796e-11,7.9129510223118528e-24,1.0534594551624757e-17,1.5899070251488863e-16,6.3670297450623565e-22,6.3670290445382352e-22,7.0052411847910329e-29
5.210038895414605e-16,1.0660370653630187,2.4228351786593984e-12,1.6518188948506651e-21,1.6507987204698562e-21,2.9827703648415436e-34,5.546055257802646e-30,0.0,0.0,3.9510466731533486e-14,9.3427485211612786e-26,154.0,0.0,0.99999974493270605,1.0,18.999999999999954,1.3539958258725934e-09,2.4466328220536183e-07,4.4205499603943971e-09,4.4230136204044285e-09,5.8867953676319736e-11,2.6073688412337668e-15,2.8600895847854929e-16,1.3017514125313395e-15,1.4757955915987667e-10,1.4737261525983186e-23,1.9530115605081152e-17,2.9475290391077732e-16,1.6006852510394831e-21,1.6006850106762198e-21,2.4036326306482226e-28
6.593617690434328e-16,1.0660370653630225,3.0662435813108175e-12,2.6452791357060005e-21,2.643988039435636e-21,6.0406904157411571e-34,1.1231772492508952e-29,0.0,0.0,5.0003302796345075e-14,1.4963937519119372e-25,154.0,0.0,0.99999967719797067,1.0,18.999999999999943,1.7135631231657348e-09,3.0956579419087133e-07,5.5944705879259438e-09,5.5975890314880697e-09,9.4271138042639298e-11,4.1760358216526848e-15,3.6677568838950433e-16,2.084675819298248e-15,2.3633389893499442e-10,2.3666618272364163e-23,3.1280243495328366e-17,4.7208779667750576e-16,3.241675605689382e-21,3.241674991539176e-21,6.1415020653735966e-28
7.977196485454051e-16,1.0660370653630262,3.7096519377612978e-12,3.8715749263787191e-21,3.8700129052523186e-21,1.0694647758944518e-33,1.988501387109096e-29,0.0,0.0,6.0496319301487853e-14,2.1903054776060959e-25,154.0,0.0,0.99999960946364486,1.0,18.999999999999925,2.0731303955845905e-09,3.7443882486489166e-07,6.7683906469533509e-09,6.7721641001553449e-09,1.3796407039427289e-10,6.11242462468188e-15,4.4752490580368323e-16,3.0509596146635672e-15,3.4587029917216375e-10,3.4700970199240462e-23,4.5784977035459009e-17,6.9099518162128435e-16,5.7391379604528872e-21,5.7391366512699701e-21,1.3091829178133668e-27
9.360775280473774e-16,1.06603706536303,4.3530602480111539e-12,5.3307062495825511e-21,5.3288733000124796e-21,1.727885413881138e-33,3.2127149938687885e-29,0.0,0.0,7.0989516247485388e-14,3.0160153644303072e-25,154.0,0.0,0.99999954172972905,1.0,18.999999999999911,2.4326976431293061e-09,4.3928238759617575e-07,7.9423101374868432e-09,7.9467388265194661e-09,1.8994299103677619e-10,8.4165260184980462e-15,5.2821400087252841e-16,4.2005331629995733e-15,4.7617933456414813e-10,4.7840264707383944e-23,6.3044315044156646e-17,9.5147485975908007e-16,9.2724068723970463e-21,9.2724044006221345e-21,2.4717749112799718e-27
1.212793287051322e-15,1.0660370653630378,5.6398767299102291e-12,8.9474754265790441e-21,8.9451006068712377e-21,3.7576456644861323e-33,6.9866478182183445e-29,0.0,0.0,9.1976451464143345e-14,5.0628509890477651e-25,154.0,0.0,0.99999940626312533,1.0,18.999999999999883,3.15183206359691e-09,5.6888116272601039e-07,1.0290147413113018e-08,1.0295887252449902e-08,3.1874375266164665e-10,1.4127829613329599e-14,6.8958275754661049e-16,7.0492708346326702e-15,7.9907759515629333e-10,8.0433469595464456e-23,1.058267997640882e-16,1.5971502991610997e-15,2.0164531093129987e-20,2.0164524118428138e-20,6.9747018478562304e-27
