Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310),S(234),S(802),S(856),S(961),S(953),S(1016),S(990),S(1006),S(949),C5H8O(890)
1.8560278343379112e-18,0.8039525190889893,1.0808169902355167e-19,5.1266854106378775e-32,5.1065283290735437e-32,6.5117207078685215e-50,7.5958740258012788e-43,0.0,0.0,4.8764950302192003e-20,6.6858719036808205e-35,154.0,0.0,0.99999999999939171,1.0,19.0,6.9490911051352695e-14,1.4044073233204852e-13,1.9913772673804525e-13,1.9913788320800157e-13,1.237921065715556e-19,5.8815113262967584e-22,5.8329440677979135e-22,3.8190009018132781e-22,1.5882285333567804e-19,1.7273192369201319e-31,5.835023245895712e-25,4.3573621197233616e-25,1.7583654957191206e-33,1.7583654926051689e-33,2.698573714307741e-42,6.3108220931286706e-33,4.1537782348489998e-43,4.2680356297219797e-26,5.1190853084194282e-77,4.8491722840901235e-77,4.8491722840961295e-77,1.1426729351636942e-36,3.3918053654641732e-39,2.1695719343877816e-31,7.3773645400371681e-37,3.954747471860899e-40,1.816421788380433e-45,7.1640321043292013e-55,3.6254334245777616e-64,2.7746829529439911e-65,4.6284963513414131e-75,6.2129181283954919e-79,9.4536720123467646e-76,3.8499143421164221e-67,1.2226781048757136e-74
3.713668203718687e-18,0.8039525190889893,2.1625730064745686e-19,2.0479753240285099e-31,2.0439421326539633e-31,5.2146659416460258e-49,6.0813178411217487e-42,0.0,0.0,9.7572438587327072e-20,2.676095257652378e-34,154.0,0.0,0.99999999999878297,1.0,19.0,1.3904219648214599e-13,2.8100290350449978e-13,3.9844846509221895e-13,3.984487774333537e-13,4.9549016509627341e-19,2.3541372602724563e-21,2.3155497954721374e-21,1.5285943598668794e-21,6.3570419794798139e-19,1.3599614763877423e-30,2.3355299396786624e-24,1.7440803977517153e-24,1.4077615494263548e-32,1.4077615444400006e-32,4.3212093569721226e-41,5.052486615357435e-32,6.6514481200592421e-42,1.7083265303918908e-25,6.5657354277766044e-75,6.2195451617793179e-75,6.2195451617947246e-75,9.1483315137341257e-36,2.7155066391792406e-38,1.6554146771752059e-30,5.9052309760092425e-36,3.1661880443825259e-39,2.9086285144816622e-44,2.2944092066336865e-53,2.3222511290916532e-62,1.7773076720827535e-63,5.9295552653960451e-73,7.9593542848959654e-77,1.2110026966224994e-73,2.4660411363905461e-65,7.8389116780178919e-73
7.428948942480239e-18,0.8039525190889893,4.3260850440109067e-19,8.1864992236639627e-31,8.1784308992171388e-31,4.1738593107347761e-48,4.8669025155635416e-41,0.0,0.0,1.9518792693856649e-19,1.0707899678221496e-33,154.0,0.0,0.9999999999975655,1.0,19.0,2.7814476734291069e-13,5.621255128060248e-13,7.9706993826321631e-13,7.9707056025306411e-13,1.9825990821314441e-18,9.4196151563667831e-21,9.1154517560950868e-21,6.1163584343299572e-21,2.543635874415517e-18,1.0533738369263013e-29,9.3451618513730153e-24,6.9785932690700876e-24,1.1266370731739122e-31,1.1266370651925797e-31,6.9166704920588265e-40,4.0435115464867139e-31,1.0646619813781828e-40,6.8355312906103896e-25,8.4126677102295207e-73,7.9690946027094908e-73,7.969094602748976e-73,7.3214457220274245e-35,2.1732305835875294e-37,1.2106529783691043e-29,4.7241455796157572e-35,2.5338893539955739e-38,4.6556583352871381e-43,7.3451330254561208e-52,1.4868629449639684e-60,1.137953127696192e-61,7.5930342985073522e-71,1.0192274158344774e-74,1.550469146504896e-71,1.5789270887684623e-63,5.0213147775103584e-71
1.4859510420003343e-17,0.8039525190889893,8.6531091393165175e-19,3.2735189080551219e-30,3.2719049156726865e-30,3.3399539178324467e-47,3.8942614746718552e-40,0.0,0.0,3.9042095076490368e-19,4.2838834298226882e-33,154.0,0.0,0.99999999999513056,1.0,19.0,5.5634990906115271e-13,1.1243637993210338e-12,1.5943128704558128e-12,1.5943141041031786e-12,7.9316314383197773e-18,3.7684591989780827e-20,3.5322204311322932e-20,2.4469335746198212e-20,1.0176128119391577e-17,7.9177103545365202e-29,3.7386732017534804e-23,2.7918916528334959e-23,9.0148081195184214e-31,9.0148079917937273e-31,1.1068672928488393e-38,3.2354023047278235e-30,1.7037965403176743e-39,2.7346575961052898e-24,1.8861904745771643e-70,1.7867376736520498e-70,1.7867376736697249e-70,5.8582691956018019e-34,1.7389146156572068e-36,8.2538265131795386e-29,3.7771026888210557e-34,2.0274591025545724e-37,7.4504361915195264e-42,2.3508955089140812e-50,9.5177900532178846e-59,7.2843291505136554e-60,9.7210082189047879e-69,1.3048695187015579e-72,1.9843061187676499e-69,1.0107116343312728e-61,4.2484709855076027e-69
2.972063337504956e-17,0.8039525190889892,1.730715741085948e-18,1.3091914280712869e-29,1.3088684901810819e-29,2.6723347869210947e-46,3.1157050076743158e-39,0.0,0.0,7.8089518691286221e-19,1.7137138773341487e-32,154.0,0.0,0.99999999999026068,1.0,19.0,1.1127601924844867e-12,2.2488126446826188e-12,3.1887986782434244e-12,3.1888011099101199e-12,3.1728660823804122e-17,1.5075061768321501e-19,1.3289999235597452e-19,9.7884663395464913e-20,4.0707251731344585e-17,5.6465598701005949e-28,1.4955909483978735e-22,1.1168474925409518e-22,7.2125309165666351e-30,7.2125307121946866e-30,1.7710872792243566e-37,2.588533552962328e-29,2.726322181070631e-38,1.093952047183951e-23,2.4228736560174137e-68,2.2951232655855419e-68,2.2951232656310261e-68,4.6870607337780819e-33,1.3912637174447594e-35,5.0827186366791648e-28,3.0172886704499718e-33,1.6220615009524391e-36,1.1921485347969338e-40,7.5233922994304785e-49,6.091823922572368e-57,4.6623062098187783e-58,1.2443798330739899e-66,1.6703551526315973e-70,2.538339276677403e-67,6.4690200852948898e-60,2.7298433936254432e-67
5.944287928514197e-17,0.8039525190889893,3.4615254277672335e-18,5.2363339257017641e-29,5.2356870571694482e-29,2.1380565367114721e-45,2.492682361952066e-38,0.0,0.0,1.5618764131887625e-18,6.8553028003479172e-32,154.0,0.0,0.99999999998052091,1.0,19.0,2.2255807592785547e-12,4.4975994302016625e-12,6.3777700674284179e-12,6.3777748281028649e-12,1.2691623108004831e-16,6.0302686046944594e-19,4.7456406840286028e-19,3.9154942385816138e-19,1.6283104402246621e-16,3.7051926715090839e-27,5.9826068979742998e-22,4.4675712866028976e-22,5.7702980909058195e-29,5.7702977639207923e-29,2.8336260206592898e-36,2.0708706625705839e-28,4.3622425943516901e-37,4.3759861080060542e-23,3.1016551695119326e-66,2.938114800032931e-66,2.9381148001493875e-66,3.7498272020685103e-32,1.1130637097431168e-34,2.7716733994306261e-27,2.406490005215246e-32,1.2976151489560317e-35,1.907398592801667e-39,2.4074430189812466e-47,3.8987036912658484e-55,2.9838274306615071e-56,1.5927813745711427e-64,2.1380220875406269e-68,3.2445329144610019e-65,4.1401055508481034e-58,1.7473594321398578e-65
8.916512519523439e-17,0.8039525190889895,5.1923351468212112e-18,1.1126940309017802e-28,1.1125968229824826e-28,6.3475596108886073e-45,7.1276005991971493e-38,0.0,0.0,2.3428903934435205e-18,1.4567940951876467e-31,154.0,0.0,0.99999999997078115,1.0,19.0,3.3384013260200223e-12,6.7462753159859062e-12,9.5667412302232764e-12,9.5667482805715607e-12,2.6969496573016615e-16,1.2814471982117355e-18,9.3504294054985583e-19,8.3204490406569574e-19,3.4601337010852484e-16,9.5284013647943358e-27,1.2713191353691495e-21,9.4937019114691872e-22,1.6499646339742463e-28,1.6499645136254057e-28,1.0429287643936146e-35,5.9213784952580713e-28,1.6055964034102147e-36,9.2990815666817837e-23,1.600345330123775e-65,1.5159642333294483e-65,1.5159642334009466e-65,1.072229438053192e-31,3.182705181319571e-34,6.5539543929527616e-27,6.8689370394177051e-32,3.7102564452787041e-35,7.0203322879668638e-39,1.0991324128447542e-46,2.1420340756890322e-54,1.6393808424467632e-55,1.0275505835136653e-63,1.3793017319696586e-67,2.0922702916798268e-64,2.2746656476541124e-57,8.6713329688716069e-65
1.4860961701541925e-16,0.8039525190889893,8.6539547144199084e-18,3.0762012319082198e-28,3.0760381285053757e-28,2.9735298161018698e-44,3.275626488230972e-37,0.0,0.0,3.9050493698597923e-18,4.0278298064942728e-31,154.0,0.0,0.99999999995130162,1.0,19.0,5.5640424592925579e-12,1.1243183532365515e-11,1.5944682650253226e-11,1.5944694273748009e-11,7.4559831772655191e-16,3.5428634840554355e-18,2.1801516927217898e-18,2.300331675914423e-18,9.5658806965807493e-16,3.392958859488473e-26,3.5148633006509865e-21,2.6247588014481351e-21,7.5827296423034235e-28,7.5827287164445593e-28,8.0232558231585285e-35,2.7211595005874936e-27,1.2353328383413683e-35,2.5709517404419697e-22,1.078854153415725e-63,1.021969621822305e-63,1.0219696219037176e-63,4.9276394603090934e-31,1.4626733650063559e-33,2.0402784595680355e-26,3.1399353864716398e-31,1.7049018371745206e-34,5.4009267294188725e-38,1.4306744337277267e-45,4.7755747905977463e-53,3.6549308789869613e-54,3.9743090748522448e-62,5.3348005558985086e-66,8.0729527884357869e-63,5.071271834880316e-56,2.7426589105867365e-63
2.021096596535856e-16,0.8039525190889893,1.176941242985568e-17,5.4777583539782999e-28,5.4775350102536458e-28,6.8619675338234635e-44,7.3734350930174002e-37,0.0,0.0,5.3110982775436153e-18,7.1726098739786447e-31,154.0,0.0,0.99999999993377009,1.0,19.0,7.5671194790678867e-12,1.5290042674049065e-11,2.1684829196809192e-11,2.1684845008086846e-11,1.3276509283333829e-15,6.3088141767304307e-18,3.4856433669577283e-18,4.0961621951734454e-18,1.7033501934236152e-15,6.6955441562664327e-26,6.2589554408593994e-21,4.6739362978130687e-21,1.7068722293734029e-27,1.7068719744035042e-27,2.2094878194269166e-34,6.1251746159845219e-27,3.4021116691391539e-35,4.5781218939778467e-22,6.1697146115616979e-63,5.844405279694699e-63,5.8444052802021095e-63,1.1092119846649091e-30,3.2924773590838069e-33,3.7982802384311463e-26,7.0470958887416066e-31,3.8374614799223761e-34,1.487359481269299e-37,4.6770675998447523e-45,1.8026845940169246e-52,1.3796638190814004e-53,1.6892555262066014e-61,2.2675257575275638e-65,3.4294305571965459e-62,1.9143044133528502e-55,1.257686326090764e-62
2.5560970229175194e-16,0.8039525190889893,1.4884870256005162e-17,8.5508158917569594e-28,8.5505310218185961e-28,1.321270894403388e-43,1.3936312985987414e-36,0.0,0.0,6.7172592029544872e-18,1.1196902665574504e-30,154.0,0.0,0.99999999991623856,1.0,19.0,9.5701964986633256e-12,1.93365226502453e-11,2.742497496911874e-11,2.7424995107184499e-11,2.0724174270374001e-15,9.8481698296542841e-18,4.9240176783507133e-18,6.3940826919235156e-18,2.6588710555376237e-15,1.1214002411142285e-25,9.7703418343491717e-21,7.2960979198614809e-21,3.2261086814482645e-27,3.2261081072191016e-27,4.9760465436325973e-34,1.1576704565570495e-26,7.6624508949719678e-35,7.1465305771704789e-22,1.9051322118562661e-62,1.8046806807636249e-62,1.8046806809501938e-62,2.0964895459121902e-30,6.2230140609225965e-33,6.0989380172374219e-26,1.327830080556554e-30,7.2525328768745895e-34,3.3497795374114389e-37,1.2384517116885832e-44,5.5484964123449813e-52,4.2464777459254204e-53,5.9859672079401687e-61,8.035099102308251e-65,1.2141778124772583e-61,5.8920521416729529e-55,3.6408110304063508e-62
3.091097449299183e-16,0.8039525190889893,1.8000328186735471e-17,1.2258177008320373e-27,1.2257829154236272e-27,2.2465532330966986e-43,2.3294064236498037e-36,0.0,0.0,8.1235259409754761e-18,1.6052052107123341e-30,154.0,0.0,0.99999999989870703,1.0,19.0,1.1573273518088839e-11,2.3382644495622336e-11,3.3165120010071047e-11,3.3165144641529826e-11,2.9708710623281655e-15,1.4118087893686314e-17,6.4526326882526218e-18,9.1662611153251574e-18,3.8115695102317143e-15,1.6899218009315141e-25,1.4006518906074175e-20,1.0459503603241408e-20,5.3923283103745467e-27,5.3923272067908059e-27,9.5631567441159654e-34,1.9349580831483975e-26,1.4726806674846897e-34,1.0245088493037316e-21,5.8715701126666159e-62,5.5619809925224143e-62,5.561980993128454e-62,3.5042107319114963e-30,1.0401551370989593e-32,8.912408764537041e-26,2.2130329839860147e-30,1.2121515901672856e-33,6.4378355274490085e-37,2.7051318945433206e-44,1.3638878581201247e-51,1.0438358757512542e-52,1.6420278446977019e-60,2.2041321400451409e-64,3.3281293751312593e-61,1.4483380867755021e-54,9.6616840734245247e-62
4.1610983020625104e-16,0.8039525190889895,2.4231244286690715e-17,2.111941767288405e-27,2.1118939823036694e-27,4.9674270827830181e-43,4.9730283013980693e-36,0.0,0.0,1.0936300720716026e-17,2.7657289815838061e-30,154.0,0.0,0.99999999986364396,1.0,19.0,1.5579427556552353e-11,3.1474071565645432e-11,4.4645408424130436e-11,4.46454424930981e-11,5.1182203923169686e-15,2.4323956611663377e-17,9.6449256947600963e-18,1.5792098796468263e-17,6.5665767328033222e-15,3.0958092724746411e-25,2.4131744697048276e-20,1.8020611609594735e-20,1.1512030054090879e-26,1.1512027200544245e-26,2.4727252239379825e-33,4.1307581655746931e-26,3.8082141295454218e-34,1.7651199793427585e-21,3.7076880550080845e-61,3.5121935187469106e-61,3.5121935191553751e-61,7.4811125525121919e-30,2.2206172695197541e-32,1.5708967414287044e-25,4.7025994958010087e-30,2.5875200706993622e-33,1.6646589967988514e-36,8.329798597797426e-44,4.9348647927646527e-51,3.7768421531933395e-52,6.9056083857001067e-60,9.2695750242614321e-64,1.3980110549509698e-60,5.2404257515926409e-54,4.578260636026151e-61
5.231099154825837e-16,0.8039525190889893,3.0462160773219179e-17,3.2325304793238553e-27,3.2324689507539421e-27,9.3068792015432691e-43,9.0429255140705768e-36,0.0,0.0,1.37494666268878e-17,4.2334250927048237e-30,154.0,0.0,0.9999999998285809,1.0,19.0,1.9585581594387753e-11,3.9564175101140462e-11,5.6125694134800358e-11,5.6125738434213767e-11,7.8335471788089164e-15,3.7230276778246274e-17,1.2993845644386286e-17,2.4170824371282274e-17,1.0050287931525266e-14,4.9391910191450797e-25,3.6936091323902966e-20,2.7582376505982647e-20,2.0933404633337648e-26,2.0933398590781471e-26,5.2360881489393009e-33,7.5110615486802388e-26,8.0646803485996463e-34,2.7016958097265053e-21,1.331008103186395e-60,1.2608283023803698e-60,1.2608283025444315e-60,1.3603620903137428e-29,4.0379568386430567e-32,2.4401318568445149e-25,8.513689836729509e-30,4.7046316773922817e-33,3.5250575045800668e-36,2.0208652967568392e-43,1.3529850847760792e-50,1.0354916531556044e-51,2.1151620730859174e-59,2.839238849026151e-63,4.2779927247882021e-60,1.4367603831435796e-53,1.4252065610763229e-60
6.301100007589164e-16,0.8039525190889893,3.6693077672541178e-17,4.6034872229632198e-27,4.6034109878749667e-27,1.575181927984043e-42,1.4958780239919311e-35,0.0,0.0,1.6563050188666868e-17,6.02917234693486e-30,154.0,0.0,0.99999999979351784,1.0,19.0,2.3591735631552436e-11,4.7652865545564871e-11,6.7605976958719807e-11,6.7606032415982277e-11,1.1155283435580259e-14,5.3020210082717818e-17,1.6429462507015504e-17,3.4421198821062402e-17,1.4312010628962424e-14,7.2513926422445794e-25,5.260127702420389e-20,3.9280497077824313e-20,3.4627969519933119e-26,3.4627958089203007e-26,9.9050240909179622e-33,1.2424296483758444e-25,1.5257060252200218e-33,3.8475281502316704e-21,4.0538369239305539e-60,3.8400910687049856e-60,3.8400910692488398e-60,2.2503085551062527e-29,6.6795751007644926e-32,3.5117931573789481e-25,1.4020707645318583e-29,7.7815476054205536e-33,6.6684475837007485e-36,4.3147903128832033e-43,3.224048451510965e-50,2.4674886891738382e-51,5.5718474502867163e-59,7.4792484270268701e-63,1.1258539602681559e-59,3.423678036794448e-53,3.7819472814250199e-60
