Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438)
2.539606625784301e-15,0.35758547001274826,1.7969372754521969e-18,8.8170934475606238e-28,8.817085033713886e-28,2.4559643426683853e-43,2.302272716108866e-35,0.0,0.0,6.475412517540935e-18,9.357676622096413e-30,154.0,0.0,0.99999999977994347,1.0,19.0,1.8253443412365305e-11,6.2982387069004785e-12,9.7746235373430923e-11,9.7746324986833485e-11,5.4769705283354714e-15,6.4891496205273038e-16,1.019951295427773e-16,4.6556838632046617e-16,5.4643900981314997e-15,1.4715023591752294e-23,3.1176847135809778e-19,3.4098267293867136e-20,5.6910282836055647e-26,5.6910098844495059e-26,1.6044075413491669e-31,3.848627252965194e-26,2.3550806449246738e-32,2.2253235845012306e-20,1.0958547341405512e-58,1.0533621159274567e-58,1.0533621160132192e-58
3.174509358657807e-15,0.35758547001274826,2.2461730378732773e-18,1.3470534559744761e-27,1.347052391109668e-27,4.6126589000770646e-43,4.1912030089772157e-35,0.0,0.0,8.1066296419412417e-18,1.4310212705000051e-29,154.0,0.0,0.99999999972492948,1.0,19.0,2.2816811997799076e-11,7.8696949701860142e-12,1.2218265537473355e-10,1.2218281575647948e-10,8.3655138511443688e-15,9.9139434596568342e-16,1.3012743851974526e-16,7.112220859358514e-16,8.3462985271713399e-15,2.3035805070040509e-23,4.7631172337442823e-19,5.209441296183391e-20,1.0360297726433139e-25,1.0360258704990767e-25,3.4025315709357405e-31,7.0050626207372017e-26,4.996126660680829e-32,3.3997912422244476e-20,4.0459111738111257e-58,3.8890278279794944e-58,3.8890278283235578e-58
4.4443148244048184e-15,0.3575854700127482,3.144645433064349e-18,2.5903384474935842e-27,2.5903369046988796e-27,1.2655242492215784e-42,1.1066026991730024e-34,0.0,0.0,1.1384840926276458e-17,2.7579565662199941e-29,154.0,0.0,0.99999999961490138,1.0,19.0,3.1943549162937735e-11,1.1008651965609337e-11,1.7105526529226189e-10,1.7105563246654068e-10,1.6077394914424459e-14,1.9064100957976931e-15,1.8635376910787192e-16,1.3673810022508909e-15,1.604046564059834e-14,4.5657385821758461e-23,9.1592975361668265e-19,1.0017548992910929e-19,2.7354203091099633e-25,2.7354060300437506e-25,1.244916140746234e-30,1.8486651732856279e-25,1.8299048051113057e-31,6.537672358655321e-20,4.9599373007321128e-57,4.7676118975929026e-57,4.767611898300047e-57
5.71412029015183e-15,0.35758547001274826,4.0431189824020513e-18,4.2481514275754333e-27,4.2481493568327001e-27,2.6742931524899241e-42,2.2942664987526049e-34,0.0,0.0,1.4683973722355354e-17,4.5328525497358797e-29,154.0,0.0,0.99999999950487317,1.0,19.0,4.1070286320479461e-11,1.4142369202379264e-11,2.1992757010127363e-10,2.1992823064883293e-10,2.6352232863408007e-14,3.1264971063006399e-15,2.4256240820008896e-16,2.2420641603747721e-15,2.6291702607862583e-14,7.6208524648254722e-23,1.502120773542865e-18,1.6428715162343679e-19,5.6712020933970769e-25,5.671165052151765e-25,3.2290717395842753e-30,3.8311004610484697e-25,4.7505279161229275e-31,1.0721754045767797e-19,2.4725981766035335e-56,2.3767212745965928e-56,2.3767212750196587e-56
8.253731221645854e-15,0.35758547001274826,5.8400695430003061e-18,8.8071893478648314e-27,8.8071859988237704e-27,8.2016286031635082e-42,6.8936172203742942e-34,0.0,0.0,2.134499450052689e-17,9.4411428108635893e-29,154.0,0.0,0.99999999928481753,1.0,18.999999999999993,5.9323760612775302e-11,2.0394131665263575e-11,3.1767126454020581e-10,3.1767277213972841e-10,5.4567660234153947e-14,6.4817384674264247e-15,3.5496929151474868e-16,4.6462509138885218e-15,5.4442320023677778e-14,1.6109508100825052e-22,3.1141566138869052e-18,3.4059477555403618e-19,1.7040246584837859e-24,1.7040082822040949e-24,1.4271876640040047e-29,1.1499703988782507e-24,2.1044030507586404e-30,2.2228054052397614e-19,3.7653306224878365e-55,3.6193270446259865e-55,3.6193270456871208e-55
1.0793342153139878e-14,0.3575854700127482,7.6370247194641975e-18,1.5024112720701082e-26,1.5024107722012161e-26,1.8285808820808085e-41,1.5206463921341599e-33,0.0,0.0,2.8089688313064494e-17,1.6176071299905534e-28,154.0,0.0,0.99999999906476222,1.0,18.999999999999979,7.7577234874687674e-11,2.6625044555106099e-11,4.154137387587859e-10,4.1541644113616577e-10,9.2981373500666134e-14,1.1057051179974113e-14,4.6737361051208154e-16,7.9228498279555334e-15,9.2767798191432369e-14,2.7769344544418253e-22,5.3123940330324335e-18,5.8101408107528665e-19,3.7588478766614501e-24,3.7588018215251222e-24,4.0127933721632133e-29,2.5344792771766244e-24,5.927202606643913e-30,3.7918511414889384e-19,2.072449878643802e-54,1.9920890535917703e-54,1.9920890542849119e-54
1.5872564016127925e-14,0.3575854700127481,1.1230948919528533e-17,3.2431560196201201e-26,3.2431550203388549e-26,5.9580574489929562e-41,4.8780440736053134e-33,0.0,0.0,4.1830086877936439e-17,3.5244606573036286e-28,154.0,0.0,0.99999999862465327,1.0,18.999999999999961,1.1408418330736349e-10,3.9024681587385069e-11,6.1089502673517584e-10,6.1090116696465689e-10,2.002275824239295e-13,2.3867690387133527e-14,6.9218114079724879e-16,1.7087958568273956e-14,1.9976766592565365e-13,6.0602034727887117e-22,1.1467419103970104e-17,1.254179150751742e-18,1.2057771034248097e-23,1.2057548479471638e-23,1.9379730175585342e-28,8.1135346390045683e-24,2.8757474704909853e-29,8.1851509790712847e-19,3.7172902360942582e-53,3.5731495156057022e-53,3.5731495176820217e-53
2.0951785879115973e-14,0.3575854700127481,1.4824891582190542e-17,5.6470498022774914e-26,5.6470480177567222e-26,1.3700357678361525e-40,1.1093713571454355e-32,0.0,0.0,5.5905162327339032e-17,6.1900551755228217e-28,154.0,0.0,0.9999999981845461,1.0,18.999999999999932,1.5059113161850746e-10,5.1341768042645445e-11,8.0637143424468345e-10,8.063824153441194e-10,3.4785228653256137e-13,4.1558200499666559e-14,9.1698483502007915e-16,2.9730180736557227e-14,3.470532807055234e-13,1.0611836695103727e-21,1.996715001045444e-17,2.1837737460131605e-18,2.7421667761474279e-23,2.7421018852499301e-23,5.6480876694268858e-28,1.8419776247210655e-23,8.4100208040175196e-29,1.4252042185065512e-18,2.1563128571672405e-52,2.0727002185298351e-52,2.072700219955263e-52
2.603100774210402e-14,0.35758547001274804,1.841885270706489e-17,8.7140950300817969e-26,8.7140920882410042e-26,2.6226915455138478e-40,2.1030188976647517e-32,0.0,0.0,7.0314907934102693e-17,9.632047684830449e-28,154.0,0.0,0.99999999774444082,1.0,18.99999999999989,1.8709807980811972e-10,6.3576831902790815e-11,1.001842961506193e-09,1.0018601941001442e-09,5.355972306205025e-13,6.4128362644104846e-14,1.1417845455941327e-15,4.5841690893472654e-14,5.343669805298533e-13,1.6431777245501192e-21,3.0811543681778441e-17,3.3697892429605656e-18,5.1982352277232422e-23,5.1980867701858231e-23,1.2916403484143399e-27,3.4860568177118017e-23,1.9293502577807033e-28,2.1992494108346805e-18,8.7411618552163196e-52,8.402216825601447e-52,8.4022168320982551e-52
3.111022960509207e-14,0.35758547001274793,2.2012832293773182e-17,1.2444294777415953e-25,1.2444290217572953e-25,4.4778773803004352e-40,3.5573487152780459e-32,0.0,0.0,8.505931709656223e-17,1.3868581079299275e-27,154.0,0.0,0.99999999730433742,1.0,18.999999999999844,2.2360502787620049e-10,7.5730412161398304e-11,1.1973096087401309e-09,1.1973345112509085e-09,7.6319877327057609e-13,9.1577956405188712e-14,1.366580271960183e-15,6.54144708665983e-14,7.6144572955831176e-13,2.351996783379018e-21,4.4000558079748823e-17,4.8122170148511184e-18,8.7929601081618506e-23,8.7926669987623501e-23,2.5491506549717899e-27,5.887282627657844e-23,3.8194334004882383e-28,3.1406476837262221e-18,2.8448408301168002e-51,2.7345300302428919e-51,2.7345300325800045e-51
4.126867333106816e-14,0.3575854700127477,2.9200846851321564e-17,2.1894170098890409e-25,2.1894160593310943e-25,1.0477310015914289e-39,8.1757407402733059e-32,0.0,0.0,1.1555210216287175e-16,2.4792398560691704e-27,154.0,0.0,0.99999999642413606,1.0,18.999999999999723,2.9661892364776781e-10,9.9795096560798192e-11,1.5882282639338484e-09,1.5882727902887304e-09,1.3370057629213974e-12,1.6111463025939437e-13,1.8161598122539258e-15,1.1491428815910183e-13,1.3339347025168477e-12,4.150088897522619e-21,7.7412297257154904e-17,8.4662778277140688e-18,2.0208204783852823e-22,2.0207343480774019e-22,7.484731154388598e-27,1.3487639784716168e-22,1.1282996336186642e-27,5.5254926710244574e-18,1.9881815250436868e-50,1.9110883406666821e-50,1.9110883426687518e-50
5.142711705704426e-14,0.3575854700127474,3.6388935251875779e-17,3.399670227776624e-25,3.3996684947197962e-25,2.043175428563003e-39,1.5673385690458753e-31,0.0,0.0,1.4738346579450615e-16,3.9106743096998426e-27,154.0,0.0,0.99999999554394192,1.0,18.99999999999957,3.6963281893320992e-10,1.2354007413366199e-10,1.979127401575018e-09,1.9791973162851228e-09,2.0671930104931737e-12,2.5016647296539511e-13,2.2657235376874722e-15,1.7816580502303133e-13,2.0624447328529241e-12,6.4554145498494422e-21,1.2020203958777932e-16,1.31458879160864e-17,3.8739643478972917e-22,3.8737646336697208e-22,1.7342415062938021e-26,2.5776899005026859e-22,2.629007694098296e-27,8.5797158471203795e-18,8.3561837629049632e-50,8.0321667189343637e-50,8.0321667284376124e-50
6.158556078302035e-14,0.357585470012747,4.3577097492339756e-17,4.8751919449029954e-25,4.8751890668162378e-25,3.5520571252421004e-39,2.6796341898707206e-31,0.0,0.0,1.8055335376724254e-16,5.696454864164113e-27,154.0,0.0,0.99999999466375522,1.0,18.999999999999385,4.4264671373252734e-10,1.4696976745180309e-10,2.3700070235027854e-09,2.3701081561343541e-09,2.9515972748081455e-12,3.5873164546618365e-13,2.7152715200043543e-15,2.5510212714872938e-13,2.9448175482923088e-12,9.2679259399076919e-21,1.723694421713764e-16,1.8850975523040431e-17,6.6230872069401354e-22,6.6226872454487973e-22,3.4705919783215388e-26,4.393415287940344e-22,5.2902293505361288e-27,1.230329281591802e-17,2.756813465683369e-49,2.6499160564940111e-49,2.6499160599786095e-49
7.174400450899645e-14,0.3575854700127465,5.0765333569666969e-17,6.6159849721536958e-25,6.6159805125481988e-25,5.6990344844873764e-39,4.2284187149273131e-31,0.0,0.0,2.1506171257675959e-16,7.8517513815420531e-27,154.0,0.0,0.99999999378357551,1.0,18.999999999999169,5.1566060804572085e-10,1.7008849150375684e-10,2.7608671315384853e-09,2.7610053757804188e-09,3.9881079375937292e-12,4.8680832651498752e-13,3.1648038431448312e-15,3.4565731048742179e-13,3.9789473785926266e-12,1.2587575730537911e-20,2.339141677468525e-16,2.5581469607958685e-17,1.0450930518949733e-21,1.0450206480693453e-21,6.2780186006546464e-26,6.9109815387582537e-22,9.6236396213154729e-27,1.6696199583130999e-17,7.7780190799373099e-49,7.4764209004271833e-49,7.4764209113913341e-49
