Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314),S(310)
3.1928863096272083e-19,0.347809209564565,1.4282790227470225e-19,4.1645358517273043e-32,3.9929121054537817e-32,6.4242874491259634e-50,2.5799091070412942e-43,0.0,0.0,8.4188949382655063e-20,6.8729214107071478e-35,154.0,0.0,0.99999999999948774,1.0,19.0,2.5647079171083037e-14,1.1696277347629348e-13,1.8483698822388421e-13,1.8483721510116514e-13,1.8585430172848426e-20,2.2610787077535335e-22,2.2568297565990116e-22,1.4011871963801225e-22,2.6826246978151453e-20,1.5998536088541983e-32,3.1730621610845453e-25,1.6948672391483268e-25,1.7103665548439063e-34,1.7103665536426303e-34,1.0375926406548591e-43,3.9340758401317003e-34,1.6368319205056006e-44,2.3181227401620783e-26,1.9259310943192057e-79,1.8120909103954044e-79,1.8120909103964139e-79,2.6280179977101385e-37,6.7990654543481126e-40,1.9637638909017438e-32,2.122918299053663e-37
6.38854662994914e-19,0.34780920956456496,2.8577989491956177e-19,1.632545085679345e-31,1.5982054255710704e-31,5.1446427498919521e-49,2.0654959815409623e-42,0.0,0.0,1.6845113554151085e-19,2.7509610585470509e-34,154.0,0.0,0.99999999999897504,1.0,19.0,5.131644077407555e-14,2.3402707267714087e-13,3.6983456416847798e-13,3.6983501784255825e-13,7.4390130471094706e-20,9.0502073297540078e-22,9.016238426723172e-22,5.6083993709249919e-22,1.0737486268517845e-19,1.2744829293590407e-31,1.2700517861458352e-24,6.7838858941048658e-25,1.369333217327466e-33,1.3693332154038615e-33,1.6614981826382574e-42,3.1496517603043794e-33,2.621062938270427e-43,9.2785321522052555e-26,2.4701979677954029e-77,2.3241866220542217e-77,2.3241866220568116e-77,2.1040123684609507e-36,5.4433864757940583e-39,1.5495920663326414e-31,1.6995603343456586e-36
1.2779867270593005e-18,0.34780920956456496,5.7168388050595906e-19,6.463597696142755e-31,6.3949034649641386e-31,4.1178032947463163e-48,1.6530245325943119e-41,0.0,0.0,3.3697578577314715e-19,1.1007438404464316e-33,154.0,0.0,0.99999999999794953,1.0,19.0,1.0265516397994776e-13,4.681553929449739e-13,7.3982971469733424e-13,7.3983062114197787e-13,2.9765721745757053e-19,3.6212617420479428e-21,3.5941668548208883e-21,2.244089464952481e-21,4.2963902132394068e-19,1.0099194191707004e-30,5.0818614464759197e-24,2.7144379885064229e-24,1.0958827379633609e-32,1.0958827348843475e-32,2.659472970611347e-41,2.5206770537748787e-32,4.1954051950311526e-42,3.7126214371568012e-25,3.1650612892382231e-75,2.9779771510819199e-75,2.977977151088557e-75,1.6838493831443409e-35,4.3563635200380674e-38,1.2054218896846081e-30,1.3600605623701121e-35
2.5562508551880734e-18,0.34780920956456496,1.1434918528654673e-18,2.572118137478453e-30,2.5583778000597152e-30,3.2950832135231899e-47,1.3226707797675954e-40,0.0,0.0,6.7402619789211206e-19,4.4037008265950198e-33,154.0,0.0,0.99999999999589861,1.0,19.0,2.0533261039124087e-13,9.3641092094783562e-13,1.4798200103137221e-12,1.4798218190771619e-12,1.190821075838535e-18,1.4487404720705719e-20,1.4272091743412082e-20,8.9778126327019439e-21,1.7188335158316715e-18,7.9245126832558689e-30,2.0330754758859076e-23,1.0859519400331115e-23,8.7687268652462579e-32,8.7687268159722237e-32,4.2560028642507808e-40,2.0169220648148394e-31,6.7140063280713535e-41,1.4852903194772956e-24,4.053332717451671e-73,3.8137435949119745e-73,3.8137435949289743e-73,1.3473353996328294e-34,3.4857526730280415e-37,9.1324696618383285e-30,1.0880883181015471e-34
5.112779111445619e-18,0.3478092095645649,2.2871078023313384e-18,1.0261826272224173e-29,1.023434410550919e-29,2.636410420372673e-46,1.0582370977576325e-39,0.0,0.0,1.3481314687527598e-18,1.7616306567402902e-32,154.0,0.0,0.99999999999179678,1.0,19.0,4.1068750321202185e-13,1.8729175268434894e-12,2.9598005797811984e-12,2.9598041808370399e-12,4.7636590410574933e-18,5.795433309606297e-20,5.625519899727081e-20,3.5914121347091378e-20,6.8758749604771816e-18,6.1035546678246966e-29,8.1329636647344968e-23,4.3441612208226213e-23,7.0156474669523178e-31,7.0156473881064993e-31,6.8102341755867245e-39,1.6136867677508792e-30,1.0743477731523848e-39,5.9416447614001479e-24,9.0850431368596071e-71,8.5480338017715503e-71,8.5480338018476296e-71,1.0779707568756634e-33,2.7888668773841485e-36,6.6014401539437123e-29,8.7028656395417666e-34
1.0225835623960711e-17,0.34780920956456496,4.5743397202504974e-18,4.0994008265236122e-29,4.0939042434372558e-29,2.1092780086191643e-45,8.4662987270443621e-39,0.0,0.0,2.6963597969645272e-18,7.0468650728515303e-32,154.0,0.0,0.99999999998359312,1.0,19.0,8.2139728884636293e-13,3.745912938363683e-12,5.9197616316549673e-12,5.9197687720497703e-12,1.905530805256876e-17,2.3182674814644629e-19,2.1859578442400898e-19,1.4366191585781145e-19,2.7504469646893745e-17,4.5427764771007065e-28,3.2533177602425044e-22,1.737735139987151e-22,5.6127842480727953e-30,5.6127841219151697e-30,1.0896726770307683e-37,1.2910041531794136e-29,1.7190357894983228e-38,2.3767545732076595e-23,1.1668921241359739e-68,1.0979181026762588e-68,1.0979181026958338e-68,8.6241769300936039e-33,2.2311993523001892e-35,4.4210404262614172e-28,6.9583587320350273e-33
2.0451948648990896e-17,0.34780920956456496,9.1488036320384806e-18,1.638694361649506e-28,1.6375950296134043e-28,1.6875016764136929e-44,6.7731998083117894e-38,0.0,0.0,5.392887599346822e-18,2.8188479461640169e-31,154.0,0.0,0.9999999999671858,1.0,19.0,1.6428168600861608e-12,7.4918325616729283e-12,1.1839683387157857e-11,1.1839697455169663e-11,7.6221955108173059e-17,9.2732572070657628e-19,8.2685407770327162e-19,5.7465603521854337e-19,1.1001892201997715e-16,3.1873356926742928e-27,1.3013535160049446e-21,6.9510815218022028e-22,4.4903337037138934e-29,4.4903335018632855e-29,1.7434559366686755e-36,1.0328173618779436e-28,2.7505013507825211e-37,9.5072113909667695e-23,1.4937320898748849e-66,1.405438831253064e-66,1.4054388313031808e-66,6.8995076675297967e-32,1.7850017433612892e-34,2.6599015235544698e-27,5.5600081495213101e-32
4.090417469905126e-17,0.34780920956456496,1.8297731759413051e-17,6.5526455577600835e-28,6.5504468747130681e-28,1.3500640875991261e-43,5.4186242492024031e-37,0.0,0.0,1.0786227787922595e-17,1.1275863035010293e-30,154.0,0.0,0.99999999993437116,1.0,19.0,3.2856560024502213e-12,1.4983387020192933e-11,2.3679525505185789e-11,2.3679553021858393e-11,3.0488429918123328e-16,3.7093395121525108e-18,2.9800253465865896e-18,2.2986209882601061e-18,4.4007060549960519e-16,2.0425355407684075e-26,5.2054665440816552e-21,2.7804605261592902e-21,3.5923091538109734e-28,3.5923088308674208e-28,2.7893579934063902e-35,8.2624693473991964e-28,4.400775365216792e-36,3.8029229947147393e-22,1.9120225649295422e-64,1.7990045074856605e-64,1.7990045076139636e-64,5.5196754183989385e-31,1.4280181761418678e-33,1.4158257765570086e-26,4.43720012097297e-31
6.135640074911163e-17,0.34780920956456496,2.7446660190586177e-17,1.3923039473555599e-27,1.3919741434163688e-27,4.0080906206981578e-43,1.549392627452551e-36,0.0,0.0,1.6179852560286631e-17,2.3961807943683313e-30,154.0,0.0,0.99999999990155652,1.0,19.0,4.9284951446987472e-12,2.2474656701440125e-11,3.5519366230236566e-11,3.5519406952226007e-11,6.4787134721288083e-16,7.8823684279115976e-18,5.90663874813547e-18,4.8845452615851715e-18,9.3513879468362089e-16,5.1922002241212401e-26,1.1061648850361884e-20,5.9084957569684604e-21,1.0271789568909133e-27,1.0271788380297125e-27,1.0266352543289665e-34,2.3625294998859255e-27,1.6197675221056775e-35,8.0812351948576119e-22,9.8653373738788033e-64,9.2822055232135433e-64,9.282205524001255e-64,1.5782878088103958e-30,4.0832516509840865e-33,3.3151884161158346e-26,1.2669869185773037e-30
8.1808626799172e-17,0.34780920956456496,3.6595588925557825e-17,2.3749876190604698e-27,2.3745478787755911e-27,8.7336014321101671e-43,3.268123359141772e-36,0.0,0.0,2.1573761916416796e-17,4.0876920282428282e-30,154.0,0.0,0.99999999986874188,1.0,19.0,6.5713342868317371e-12,2.9965641616239764e-11,4.7359205562310936e-11,4.7359259381062596e-11,1.1051787533650564e-15,1.3446411746906878e-17,9.4719215870017474e-18,8.3324114715957691e-18,1.5952172167814075e-15,9.9228805590804737e-26,1.8869900187157039e-20,1.0079213603821861e-20,2.1666214247460767e-27,2.1666211232965725e-27,2.6036896069194133e-34,4.9832146779968209e-27,4.1080543635192113e-35,1.3785657599830382e-21,5.3819101250005025e-63,5.0637899138972494e-63,5.0637899143357541e-63,3.3290736666961656e-30,8.6127743370629819e-33,5.9796566016496972e-26,2.6690506378552146e-30
1.2271307889929273e-16,0.3478092095645649,5.4893447108497533e-17,4.916867073781705e-27,4.9162074585847695e-27,2.5351984766953785e-42,8.9262741980583875e-36,0.0,0.0,3.2362248529286505e-17,8.463349089400839e-30,154.0,0.0,0.9999999998031126,1.0,19.0,9.8570125708265657e-12,4.4946943150000108e-11,7.103888095723152e-11,7.1038961044179454e-11,2.2880829666529509e-15,2.7839121790444173e-17,1.777201412907906e-17,1.7251014952736005e-17,3.3026235174400763e-15,2.336535826974324e-25,3.9067788661788792e-20,2.0867760812746042e-20,5.9177246503881597e-27,5.9177235962543088e-27,9.1047492479583462e-34,1.3610488673434952e-26,1.4365892570942304e-34,2.8541495339890616e-21,7.4745717813712547e-62,7.0327560913125981e-62,7.032756092005312e-62,9.0927609641015762e-30,2.3524196236267068e-32,1.3118700845872396e-25,7.274611984516983e-30
1.6361753099941346e-16,0.347809209564565,7.319130640861244e-17,8.3620682250230679e-27,8.3611887308217475e-27,5.5443801272380893e-42,1.8676770859755855e-35,0.0,0.0,4.3151781657987646e-17,1.4394421596398767e-29,154.0,0.0,0.99999999973748332,1.0,19.0,1.3142690854396525e-11,5.992719758588935e-11,9.4718551229686983e-11,9.4718657996030642e-11,3.8913478110082897e-15,4.7347081926450423e-17,2.7610466809767926e-17,2.9339142058258089e-17,5.6167791913622412e-15,4.3224071652103273e-25,6.6444129364540099e-20,3.5490621880635326e-20,1.2381870772558644e-26,1.2381868138668781e-26,2.2749290404206327e-33,2.8477279076892397e-26,3.5896082318515751e-34,4.8541647862359527e-21,3.4359600671210372e-61,3.2328633412111182e-61,3.2328633415703227e-61,1.9025140549745171e-29,4.9220532930986831e-32,2.3099557421139867e-25,1.5192419118844427e-29
2.045219830995342e-16,0.347809209564565,9.1489166905700591e-17,1.2775114105629188e-26,1.2774014726850401e-26,1.0402365643162865e-41,3.4000372478172432e-35,0.0,0.0,5.3942436053514686e-17,2.1992169728624258e-29,154.0,0.0,0.99999999967185405,1.0,19.0,1.6428369137511278e-11,7.4906330203550994e-11,1.1839821601379172e-10,1.1839835037810769e-10,5.9449700012210778e-15,7.2335662349885082e-17,3.8619268023859251e-17,4.4823071292777661e-17,8.5809815565069284e-15,7.0180440681124818e-25,1.0151166755803927e-19,5.4221674759395252e-20,2.2540736315925934e-26,2.2540730728066046e-26,4.8262935892082161e-33,5.1841011553019144e-26,7.6156629310526133e-34,7.4160708263513953e-21,1.268563889476537e-60,1.1935801393709479e-60,1.1935801395150541e-60,3.463461013152809e-29,8.9604154996683447e-32,3.6129029130014295e-25,2.7604583698963265e-29
2.8633088729977566e-16,0.34780920956456496,1.2808489156598216e-16,2.4565534805598737e-26,2.4563995632541586e-26,2.8465187067842844e-41,8.9771104712377728e-35,0.0,0.0,7.5527179075626689e-17,4.2293460291327542e-29,154.0,0.0,0.99999999954059571,1.0,19.0,2.2999725702346545e-11,1.0486116000833724e-10,1.6575752877223555e-10,1.6575772297721165e-10,1.1431378438932871e-14,1.3909891217684368e-16,6.2390897417599806e-17,8.6190854835297449e-17,1.6500074437778743e-14,1.4623224710668542e-24,1.9520344486602798e-19,1.0426639777664123e-19,5.9514235176582046e-26,5.9514214707110181e-26,1.767943127423751e-32,1.3686975975379462e-25,2.7900406037644075e-33,1.4260849469268728e-20,1.5551623967457996e-59,1.4632380532570194e-59,1.4632380535531989e-59,9.1445957293276384e-29,2.3658157808213867e-31,7.1526107485261768e-25,7.250775331949499e-29
3.6813979150001713e-16,0.34780920956456496,1.6468062108780372e-16,4.028688676032986e-26,4.0284907752418254e-26,6.0012594068088067e-41,1.8611808920289806e-34,0.0,0.0,9.7116476154674486e-17,6.9366401910371122e-29,154.0,0.0,0.99999999940933726,1.0,19.0,2.957108226533296e-11,1.348114346066834e-10,2.1311681923965083e-10,2.1311708021270947e-10,1.8746488382114201e-14,2.2812179326988374e-16,8.7721013993494948e-17,1.4134904050614494e-16,2.7058718719356672e-14,2.5166965868327708e-24,3.2013323487982462e-19,1.7099664090218679e-19,1.2338795074770938e-25,1.2338789760124749e-25,4.5901893323503852e-32,2.8375431900186879e-25,7.244568542765113e-33,2.3387763297995015e-20,7.7527362368770766e-59,7.2944785187913792e-59,7.2944785205633492e-59,1.8959098548786626e-28,4.9049302569470146e-31,1.1930517574089045e-24,1.4962617173489542e-28
5.317575999005e-16,0.34780920956456496,2.3787209471400925e-16,8.3520729971120147e-26,8.3517871113080926e-26,1.8308803103648652e-40,5.5923145758810254e-34,0.0,0.0,1.403087305575525e-16,1.4383222987887141e-28,154.0,0.0,0.99999999914682081,1.0,19.0,4.2713795385759996e-11,1.9469832367666557e-10,3.0783533331103072e-10,3.0783575193699574e-10,3.8860607758526612e-14,4.7293682771968832e-16,1.3972414310866863e-16,2.9302508080798649e-16,5.6091478744219598e-14,5.5081571234074652e-24,6.6369363446298525e-19,3.5450657388657642e-19,3.7074514997389601e-25,3.7074491446682234e-25,2.0339768129865087e-31,8.525214674423428e-25,3.210939232655921e-32,4.8487030963183251e-20,1.1806240290389323e-57,1.1108383424126813e-57,1.1108383428571351e-57,5.6966984639533291e-28,1.4737900166928421e-30,2.5199811609080392e-24,4.4469960948158214e-28
8.589932167014659e-16,0.3478092095645649,3.842551002961656e-16,2.1715262264495878e-25,2.1714800298780898e-25,7.947172038908777e-40,2.4043179920220135e-33,0.0,0.0,2.2674787987659289e-16,3.7409344284629283e-28,154.0,0.0,0.99999999862178912,1.0,19.0,6.8999221604431113e-11,3.1441748467697729e-10,4.9727209400360326e-10,4.9727292838389464e-10,1.0101506363383241e-13,1.2296403739756088e-15,2.4515487492178943e-16,7.6177778600133066e-16,1.4580534432239767e-13,1.5021014808998527e-23,1.725614480436939e-18,9.2172215286133694e-19,1.5939517526891869e-24,1.5939500168658707e-24,1.499044988339853e-30,3.6645144703393245e-24,2.3677832810203394e-31,1.2606709071386498e-19,4.1320689584360666e-56,3.8878259167347725e-56,3.8878259197360595e-56,2.4492254616669478e-27,6.3362954501987057e-30,6.6588870358178825e-24,1.8668359930282275e-27
1.5134644503033976e-15,0.347809209564565,6.7702134477714389e-16,6.730718180200806e-25,6.7306366932021528e-25,4.4962140840396419e-39,1.3539014788797564e-32,0.0,0.0,3.9984473845029305e-16,1.1603389780718997e-27,154.0,0.0,0.99999999757172997,1.0,18.999999999999996,1.2157007395304241e-10,5.5363752521515474e-10,8.7614454560915929e-10,8.7614661893387737e-10,3.1295373347821599e-13,3.8113202324250804e-15,4.5635383283097065e-16,2.3605832225089425e-15,4.5171804310903509e-13,4.8165602527478641e-23,5.3486415599568685e-18,2.8569254338023351e-18,8.975714435336612e-24,8.9756961141439789e-24,1.5819530066760646e-29,2.0626431623044074e-23,2.5016625643955051e-30,3.9075222985563072e-19,2.5778095832802316e-54,2.4254375468775237e-54,2.425437550590295e-54,1.3792224818627163e-26,3.5680385263952253e-29,2.0874170769043525e-23,1.0014577185718986e-26
2.1679356839053295e-15,0.3478092095645649,9.69787900346398e-16,1.3805316602975032e-24,1.3805199686609971e-24,1.2827228740613523e-38,3.8567692106755757e-32,0.0,0.0,5.7323300976549768e-16,2.381412296509383e-27,154.0,0.0,0.99999999652167626,1.0,18.999999999999989,1.7414092618334601e-10,7.9256676482882784e-10,1.2550155708584567e-09,1.2550194272734458e-09,6.4163532029801187e-13,7.8173472584881587e-15,6.6747475151342956e-16,4.8407353901804242e-15,9.2613770114434946e-13,1.0013497372571273e-22,1.0970578665719745e-17,5.8598191579475371e-18,2.5568466539923696e-23,2.556839690419229e-23,6.0121661972190917e-29,5.8738942904786903e-23,9.5140694268875782e-30,8.0147045333084622e-19,2.1071531545517014e-53,1.9826012196932336e-53,1.9826012231919486e-53,3.928976216478751e-26,1.016401696240547e-28,4.3002612632895094e-23,2.7566123341778294e-26
2.8224069175072613e-15,0.3478092095645649,1.2625547670029686e-15,2.3395322038447896e-24,2.3395169498321711e-24,2.764276908212745e-38,8.3035918176763772e-32,0.0,0.0,7.469126930159489e-16,4.0380544739785725e-27,154.0,0.0,0.9999999954716281,1.0,18.999999999999979,2.2671177829534237e-10,1.0312055402079346e-09,1.6338851697750789e-09,1.6338913540198354e-09,1.0869246587628913e-12,1.3247697878677137e-14,8.7844083668636312e-16,8.201693852843148e-15,1.5688692205429022e-12,1.7092881042727205e-22,1.8591419775111444e-17,9.9303949664064201e-18,5.5048582998827564e-23,5.504839777840848e-23,1.5990041560149589e-28,1.2642758398032958e-22,2.5320003480276205e-29,1.3582213272383703e-18,1.1160573090380289e-52,1.0500881689244291e-52,1.0500881709699821e-52,8.4592169901148649e-26,2.188300828315686e-28,7.3039360355580435e-23,5.7498555610751786e-26
3.476878151109193e-15,0.34780920956456496,1.5553219447460367e-15,3.5500736449720506e-24,3.5500548034112139e-24,5.0864571885621398e-38,1.5267635017818612e-31,0.0,0.0,9.2088378753070877e-16,6.1310319355641764e-27,154.0,0.0,0.99999999442158549,1.0,18.999999999999964,2.7928263028903171e-10,1.2695541988603014e-09,2.0127533423826091e-09,2.0127623996092692e-09,1.6486822406641824e-12,2.0102348517979419e-14,1.0893737252892285e-15,1.2442900755142119e-14,2.3797112349007082e-12,2.6054680908458484e-22,2.821115977853837e-17,1.5068644813097763e-17,1.0121643864852868e-22,1.0121603400360145e-22,3.4929894203547937e-28,2.3239265730668782e-22,5.5345985196866666e-29,2.0610044849474467e-18,4.410573712286099e-52,4.1498687127298828e-52,4.1498687216298871e-52,1.5554084416150329e-25,4.0235751127609282e-28,1.109794052418156e-22,1.0251797580612308e-25
