Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533)
1.502084679314137e-16,0.6373761490644001,4.6571895254250654e-17,2.4816740818998383e-27,2.4814201110534059e-27,6.686143175166215e-43,2.7315007126301592e-36,0.0,0.0,1.6590124939687101e-17,2.5764540371509981e-30,154.0,0.0,0.99999999986654542,1.0,19.0,1.0517872433223818e-11,4.143540038097256e-11,4.0747684300249627e-11,4.0747745015483553e-11,2.449373366678752e-15,1.0129311474158453e-17,6.2562496655491366e-18,6.3298354738874926e-18,3.4610416256000285e-15,8.9889163969451833e-26,1.3348288564852885e-20,1.1941697775749585e-20,3.5754008995369189e-27,3.5754005183325828e-27,3.2945439661454221e-34,1.4043030878759188e-26,5.174993935640047e-35,9.7719290621841893e-22,1.435275333699569e-62,1.3520802075841601e-62,1.3520802077002227e-62,1.8933110730769406e-30,7.9296847172141335e-33
1.8776071224799487e-16,0.6373761490644,5.8214909459378305e-17,3.7913711216570909e-27,3.791053656325539e-27,1.254435580004282e-42,4.9725997687657495e-36,0.0,0.0,2.0738211221485693e-17,3.9363122886585711e-30,154.0,0.0,0.99999999983318166,1.0,19.0,1.3147349457063382e-11,5.1792611704882474e-11,5.0934637098809316e-11,5.0934713052072279e-11,3.7420177550262821e-15,1.547531342595744e-17,8.8199613181107468e-18,9.6704683432278113e-18,5.28758881356916e-15,1.4720565576751511e-25,2.0393191624420935e-20,1.8244235311495688e-20,6.5088894770839573e-27,6.5088886683456534e-27,6.9894611599950029e-34,2.5564472078691538e-26,1.0979218884125791e-34,1.4929316491857983e-21,5.2990756747464339e-62,4.9919170016865422e-62,4.9919170021521647e-62,3.4467071827754085e-30,1.4435707603473959e-32
2.628652008811572e-16,0.6373761490644,8.150093903358732e-17,7.2905166416080957e-27,7.2900721836319604e-27,3.4325236749751645e-42,1.3129156531398195e-35,0.0,0.0,2.903507426374138e-17,7.5697032906188053e-30,154.0,0.0,0.99999999976645415,1.0,19.0,1.8406303503967058e-11,7.2504898282929521e-11,7.1308539098111505e-11,7.1308646389208024e-11,7.1954402028413831e-15,2.9758504775290321e-17,1.4437220550074279e-17,1.8595542670048978e-17,1.0167383378743332e-14,3.1078980055727404e-25,3.9215436581754315e-20,3.508305949712012e-20,1.7185419102394007e-26,1.7185416139773112e-26,2.5603887387139536e-33,6.7495248400709162e-26,4.0223215848960042e-34,2.870858515359115e-21,6.496281969460077e-61,6.1197277565927065e-61,6.1197277575496997e-61,9.1003531127536241e-30,3.8114595946527779e-32
4.1307417814748186e-16,0.6373761490644001,1.2807300280934362e-16,1.7786291086953474e-26,1.7785592622362033e-26,1.3633502328018225e-41,5.0768470158945428e-35,0.0,0.0,4.5631545370354751e-17,1.8469401387501538e-29,154.0,0.0,0.99999999963299946,1.0,19.0,2.8924211594691572e-11,1.1392098098088356e-10,1.1205632879349625e-10,1.1205650314987523e-10,1.755294606830209e-14,7.2601750392094122e-17,2.6656321558463554e-17,4.5365183014200119e-17,2.4802865019160713e-14,8.3340941087020259e-25,9.5673901049348625e-20,8.5592113702834036e-20,6.6453395904804913e-26,6.6453377122076799e-26,1.6232086929515678e-32,2.6097062461336702e-25,2.5506411822929801e-33,7.0040337906650971e-21,1.8161904024190734e-59,1.7109157101557541e-59,1.7109157106684619e-59,3.518978002525524e-29,1.4738334254596437e-31
5.632831554138065e-16,0.6373761490643999,1.7464507276018774e-16,3.2949386611800734e-26,3.2948434103007106e-26,3.4136025534834823e-41,1.2599479763367756e-34,0.0,0.0,6.2231679652838791e-17,3.4217927557350019e-29,154.0,0.0,0.9999999994995451,1.0,19.0,3.94421196813021e-11,1.5532573545785933e-10,1.5280409940156576e-10,1.528043473803404e-10,3.251442610554544e-14,1.3449713878862555e-16,3.9491179434264536e-17,8.4036550850758234e-17,4.5943907007989357e-14,1.6172760986992033e-24,1.7723922757699601e-19,1.5856231837644542e-19,1.6492084754482099e-25,1.6492078636706507e-25,5.2868818631282741e-32,6.4761821557340671e-25,8.3089373290053622e-33,1.2975216358702271e-20,1.2131160955297742e-58,1.1427983473446408e-58,1.1427983477471927e-58,8.7332516009136205e-29,3.6576892446785846e-31
8.637011099464559e-16,0.6373761490644001,2.6778923118154768e-16,7.7273324378452881e-26,7.7271863600087913e-26,1.2480551330642621e-40,4.5761498297727385e-34,0.0,0.0,9.5442934430277165e-17,8.026289339564787e-29,154.0,0.0,0.99999999923263683,1.0,19.0,6.0477935842184943e-11,2.3810128590474427e-10,2.3429958337332458e-10,2.3429999995403813e-10,7.623867851935989e-14,3.1542681029958942e-16,6.5324208920844901e-17,1.970650639438033e-16,1.0772765125858739e-13,3.9687636362667943e-24,4.1566772938813173e-19,3.718657282992147e-19,5.9899445282248983e-25,5.9899410274365471e-25,3.0251387518707218e-31,2.351751467092782e-24,4.7564959953453485e-32,3.0429938906868198e-20,2.9800703646788175e-57,2.8073319065135147e-57,2.8073319082106304e-57,3.1719446302418886e-28,1.3284772105902676e-30
1.4645370190117546e-15,0.6373761490644,4.5407762210165681e-16,2.2191126956498529e-25,2.2190879108155629e-25,6.2590947835059276e-40,2.2867807121232117e-33,0.0,0.0,1.619093880779419e-16,2.3058098582435426e-28,154.0,0.0,0.99999999869882272,1.0,19.0,1.0254956811459867e-10,4.0351665756447022e-10,3.9729032234514736e-10,3.9729116220735895e-10,2.1884976259580761e-13,9.0583591427778984e-16,1.1704677144133177e-16,5.6580709862830366e-16,3.0924159969384474e-13,1.1806211719064877e-23,1.1937108403544518e-18,1.0679191105241251e-18,2.9932725178912429e-24,2.9932693759062546e-24,2.7147102201579419e-30,1.1747662581474202e-23,4.2727476769092029e-31,8.738842680071179e-20,1.4447389316639398e-55,1.3609953106055758e-55,1.360995312220055e-55,1.5850900939579269e-27,6.6386183429110003e-30
2.065372928077053e-15,0.6373761490643999,6.4036611179030257e-16,4.4120173033759726e-25,4.411982320112777e-25,1.7136146251102109e-39,6.2537798237966517e-33,0.0,0.0,2.284344330854432e-16,4.585851980198522e-28,154.0,0.0,0.99999999816501217,1.0,19.0,1.4462120032121071e-10,5.6875119459988589e-10,5.6028075602784367e-10,5.6028213414719659e-10,4.3495499375478768e-13,1.8009715744843858e-15,1.687087278421034e-16,1.1247198092374252e-15,6.1460509014414597e-13,2.3822814247579553e-23,2.373330062142203e-18,2.1232288375886032e-18,8.1858486278011792e-24,8.1858372055746805e-24,9.8680876480976352e-30,3.2117913559089559e-23,1.5541388487527506e-30,1.7374524592835002e-19,1.1151465541888115e-54,1.0505076099415884e-54,1.0505076113862676e-54,4.3348635196346294e-27,1.8154958218245025e-29
2.666208837142352e-15,0.6373761490644,8.2665470024682962e-16,7.3514432763053473e-25,7.351398065119889e-25,3.6110656908198672e-39,1.3170124666013127e-32,0.0,0.0,2.9501806908686226e-16,7.6434403464752198e-28,154.0,0.0,0.99999999763120506,1.0,19.0,1.8669283246202156e-10,7.338050862880112e-10,7.2327088442677949e-10,7.2327291585133262e-10,7.2447744667845282e-13,3.0008284297162386e-15,2.2033573960196024e-16,1.8736997551962296e-15,1.0237094247253713e-12,4.001848232693056e-23,3.9545227059371142e-18,3.5377911985901642e-18,1.7238934919525817e-23,1.7238905273050603e-23,2.5610670898568301e-29,6.7620722299155366e-23,4.0358043144734439e-30,2.8950019987148731e-19,5.6307215331148937e-54,5.304339444999276e-54,5.3043394530822552e-54,9.1290612533659189e-27,3.8233325100345628e-29
3.267044746207651e-15,0.6373761490644,1.0129433874709461e-15,1.1037389614748574e-24,1.1037334137761866e-24,6.5491100902930279e-39,2.387438050051011e-32,0.0,0.0,3.6166029593306787e-16,1.1479285916047917e-27,154.0,0.0,0.99999999709740139,1.0,18.999999999999993,2.2876446453703149e-10,8.9867852731650947e-10,8.8626070754630681e-10,8.8626350739630987e-10,1.0873379970735973e-12,4.5054021309674573e-15,2.7195735602230035e-16,2.81264084542011e-15,1.536442798332366e-12,6.0393160503588139e-23,5.9372875628449059e-18,5.3116037628836705e-18,3.1250148460171305e-23,3.1250084730477791e-23,5.5049830687306851e-29,1.2254871586018999e-22,8.6798628156071224e-30,4.3465320056689793e-19,2.1503388601134347e-53,2.0256955059680316e-53,2.0256955093693806e-53,1.6549000827108988e-26,6.9308072101966941e-29
