Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),N2,Ne,C7H10(1),C7H16(2),O2(3),C7H10(57),C7H10(54),C7H11(67),C7H9(41),C7H10(125),S(151),S(153),S(152),C7H10(118),S(233),C7H10(150),C7H11(132),C2H4(30),C5H7(270),S(403),C7H10(298),S(402),C7H8(144),S(450),S(449),S(438),S(200),C7H8(533),S(314)
3.554880621890319e-16,0.6538675984080936,2.0653783798737435e-17,1.831713413663337e-27,1.8316661034200048e-27,4.4185460045007432e-43,4.3282378919861795e-36,0.0,0.0,1.1468784895781442e-17,2.9512365781108325e-30,154.0,0.0,0.99999999986614785,1.0,19.0,1.3298321519468771e-11,2.6842923347534169e-11,4.6851253787401088e-11,4.6851283375030425e-11,3.6138512349504287e-15,2.598381131765244e-17,1.165960467013757e-17,1.6871019638563653e-17,4.6358906762769603e-15,3.1476650332110174e-25,2.5768552890479378e-20,1.5641699220147356e-20,8.1526957355083825e-27,8.1526937264278521e-27,1.7409892111177872e-33,2.3782952932288837e-26,2.6809132147348665e-34,1.8841063580997784e-21,1.7215701368300597e-61,1.6308096091939126e-61,1.6308096093443073e-61,8.0166959009780303e-30,1.9330802431003474e-32,1.6495251373884358e-25
4.443603790882759e-16,0.6538675984080938,2.5817248091275955e-17,2.7984343603081276e-27,2.7983752199947584e-27,8.2902198778291175e-43,7.8794029533846801e-36,0.0,0.0,1.4337035818494471e-17,4.5090405792099128e-30,154.0,0.0,0.99999999983268473,1.0,19.0,1.662291317135663e-11,3.3551338468779926e-11,5.8564099726328888e-11,5.8564138013486366e-11,5.5209138832207456e-15,3.9697422907737148e-17,1.5808078905865497e-17,2.577461070705655e-17,7.0822929699666955e-15,5.0565610090808628e-25,3.9368569047784812e-20,2.3897005459729627e-20,1.4841690143961516e-26,1.4841685881791559e-26,3.6933954858368617e-33,4.329468487814855e-26,5.6877447160073647e-34,2.8784919549886665e-21,6.3560830567043508e-61,6.0209927597296159e-61,6.0209927603329732e-61,1.4594121231384768e-29,3.5191032815191013e-32,2.5662811381542727e-25
6.221050128867639e-16,0.6538675984080938,3.6144177741286654e-17,5.3812669522868259e-27,5.3811841460111342e-27,2.2686453006663105e-42,2.0803990050834758e-35,0.0,0.0,2.0074871409233688e-17,8.6716858878187204e-30,154.0,0.0,0.99999999976575871,1.0,19.0,2.3272096473671719e-11,4.6965185208148201e-11,8.1989782383477994e-11,8.1989841055009564e-11,1.0615463202327158e-14,7.6336775140997658e-17,2.4357785106053688e-17,4.9561390818782431e-17,1.3617640485133115e-14,1.0374097745678261e-24,7.5704457893765237e-20,4.5953139959219642e-20,3.9186503983836067e-26,3.918648837235496e-26,1.3527798642666317e-32,1.143013535877661e-25,2.0836824683946788e-33,5.5352450609339027e-21,7.792092103529131e-60,7.381295973458582e-60,7.3812959746986563e-60,3.8532936763193626e-29,9.2914862341440463e-32,5.0466598964543976e-25
7.998496466852519e-16,0.6538675984080936,4.6471108803481987e-17,8.8252422356207407e-27,8.825135753979388e-27,4.7831208304523354e-42,4.3131930352698341e-35,0.0,0.0,2.5814475649781883e-17,1.4223066154029913e-29,154.0,0.0,0.99999999969883258,1.0,19.0,2.9921279774049904e-11,6.03750763342705e-11,1.0541545281327305e-10,1.0541553597056779e-10,1.7407635086142937e-14,1.2519210706899163e-16,3.3100718395857547e-17,8.1276886871196968e-17,2.2330718102666682e-14,1.7680265774505553e-24,1.2415520098199213e-19,7.5363062706137988e-20,8.1243500490806227e-26,8.124345996120253e-26,3.5119270415389332e-32,2.3695758367468918e-25,5.4103332945837336e-33,9.0777939882568388e-21,3.8844874433223551e-59,3.6796987489729043e-59,3.6796987497148124e-59,7.9888653528975538e-29,1.9263593732429507e-31,8.3847487418895606e-25
1.1553389142822278e-15,0.6538675984080935,6.7124975163828659e-17,1.8296258453190847e-26,1.8296104579006886e-26,1.4593707378650735e-41,1.2959916052302695e-34,0.0,0.0,3.7298989332299126e-17,2.949372622490422e-29,154.0,0.0,0.99999999956498076,1.0,19.0,4.3219646368996356e-11,8.7182999429201268e-11,1.5226675699612168e-10,1.5226690196067122e-10,3.6081549496757553e-14,2.5954539422450613e-16,5.0638358735395647e-17,1.6848505407099591e-16,4.6285834149153532e-14,3.8259253357230299e-24,2.5739612128663974e-19,1.5624112733234658e-19,2.4411337084647105e-25,2.4411319129125262e-25,1.5557692873825214e-31,7.1186243506001618e-25,2.3978289689351311e-32,1.8819904344497757e-20,5.9154916380474847e-58,5.6036292092979328e-58,5.6036292111588197e-58,2.4004351979639933e-28,5.7881568227550152e-31,1.7633066160819761e-24
1.8663174494761798e-15,0.6538675984080935,1.0843272482819797e-16,4.7570476720601525e-26,4.7570227806677053e-26,6.3357087578816394e-41,5.5718928222933557e-34,0.0,0.0,6.0289237321946985e-17,7.6721164128149025e-29,154.0,0.0,0.99999999929727812,1.0,19.0,6.9816379535649835e-11,1.4075144796961237e-10,2.4596921865706454e-10,2.4596953880181099e-10,9.3770932001265305e-14,6.7482025136210191e-16,8.5732649738026029e-17,4.3797318905206516e-16,1.2029044947440875e-13,1.0328032252343306e-23,6.6923442748369183e-19,4.0622915196423269e-19,1.0495215278476302e-24,1.0495202051558932e-24,1.145897237231732e-30,3.0593123303481155e-24,1.7679449992809459e-31,4.8932082227590995e-20,2.0703651517075369e-56,1.9612163282086572e-56,1.9612163294652699e-56,1.0320334549742455e-27,2.4885144315403623e-30,4.6414262820200328e-24
3.2882745198640833e-15,0.6538675984080936,1.9104829193095327e-16,1.4744734750711539e-25,1.4744690678847834e-25,3.5857892815392215e-40,3.13760368635885e-33,0.0,0.0,1.0635461497586188e-16,2.38038394758806e-28,154.0,0.0,0.99999999876187651,1.0,19.0,1.2300984577599995e-10,2.4769906763187354e-10,4.3337355517338816e-10,4.3337443235078889e-10,2.9038150520491367e-13,2.0916296481057597e-15,1.5586951468537983e-16,1.3569414557563611e-15,3.7250479477954574e-13,3.2877107325012643e-23,2.0743310123215953e-18,1.2591275116515062e-18,5.9099667903076155e-24,5.9099528459020768e-24,1.2077036812830533e-29,1.7212975807910286e-23,1.8673687239955061e-30,1.5166783672870141e-19,1.2916051817842451e-54,1.2235123054022785e-54,1.223512306956782e-54,5.8115966439895442e-27,1.4013094495759561e-29,1.4508296850418671e-23
4.710231590251987e-15,0.6538675984080936,2.7366394939886785e-16,3.0242882041794293e-25,3.0242818467473161e-25,1.0232786608132233e-39,8.9378844792081502e-33,0.0,0.0,1.5253316799750152e-16,4.8865954071775992e-28,154.0,0.0,0.99999999822648011,1.0,18.999999999999993,1.7620331189240789e-10,3.5439472234567384e-10,6.2077710929376627e-10,6.2077881937967329e-10,5.9512736740455792e-13,4.2901071537714276e-15,2.2599307733199958e-16,2.7821857572397961e-15,7.6343635491946397e-13,6.8152455549107526e-23,4.2546525472509103e-18,2.5825857246163243e-18,1.6835286498429843e-23,1.68352335346395e-23,4.5863216764137969e-29,4.9004050961785785e-23,7.1005735730995065e-30,3.110853342957621e-19,1.0557834557895966e-53,1.0001230088397306e-53,1.0001230103046103e-53,1.6555314387813828e-26,3.9918081923715864e-29,2.9851898819152163e-23
6.132188660639891e-15,0.6538675984080935,3.5627969723163657e-16,5.1251490900072299e-25,5.125140737279173e-25,2.2057880114029684e-39,1.9243191989016176e-32,0.0,0.0,1.9882489607109498e-16,8.287999695039692e-28,154.0,0.0,0.99999999769108883,1.0,18.999999999999989,2.2939677788487405e-10,4.6083897728158774e-10,8.0817988103449635e-10,8.0818270040721732e-10,1.0077659654203554e-12,7.2702364751961118e-15,2.9611541205501274e-16,4.7131752680997767e-15,1.2927739798473885e-12,1.1615381300875957e-22,7.210196421917683e-18,4.3765991202092517e-18,3.6246141117220639e-23,3.6246000331698899e-23,1.2189161012077355e-28,1.0544576413829126e-22,1.8893911609309006e-29,5.2718438534128411e-19,5.5919703227140485e-53,5.2971641011380487e-53,5.2971641097025834e-53,3.5643893783991732e-26,8.5943110188956716e-29,5.0666489893141229e-23
7.554145731027794e-15,0.6538675984080935,4.3889553542899484e-16,7.7770565795343626e-25,7.7770461731750072e-25,4.0599379003876814e-39,3.5382043587496376e-32,0.0,0.0,2.4522979893340733e-16,1.2586823873734884e-27,154.0,0.0,0.99999999715570265,1.0,18.999999999999986,2.825902437533986e-10,5.67032415304995e-10,9.9558187041198955e-10,9.9558607597994067e-10,1.5280471520265609e-12,1.1032001205275718e-14,3.6623791178606352e-16,7.1493620777093636e-15,1.9601967777859324e-12,1.7688091410896903e-22,1.0940960371735838e-17,6.6411631323809195e-18,6.6644832278736673e-23,6.6644524902819118e-23,2.6608293635790929e-28,1.9377265721377753e-22,4.1292981185375543e-29,7.9996482560231213e-19,2.2099018801106214e-52,2.0933968372237081e-52,2.0933968409500519e-52,6.5538477365326362e-26,1.5802139931002711e-28,7.6946142951251142e-23
