Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326)
3.279113111464416e-18,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999998823108,1.0,19.0,6.0186030061897363e-13,2.27035960280712e-12,2.2703596108029843e-12,1.4283262832517192e-20,1.3922654232471653e-20,6.6093296493978096e-12,1.1341581776797106e-17,1.6959925185845534e-14,1.8620103695928846e-17,8.4126031740863434e-21,1.358916444182155e-29,8.1802952040014283e-23,1.3822937521476311e-29,5.6130603949312612e-23,1.0021889568434046e-30,1.0021889602243577e-30,2.9708082794417367e-39,4.1014486711753342e-40
6.5583151769779184e-18,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999997646183,1.0,19.0,1.2037369281696952e-12,4.5407807513637926e-12,4.54078078197191e-12,5.713420980752859e-20,5.431583636643619e-20,1.321877758325299e-11,4.5367070633892652e-17,3.3920207686218044e-14,7.4481635472858418e-17,3.3651017446213752e-20,1.0027383316055678e-28,3.2721792031539487e-22,9.1290387904027664e-29,2.2452697853006904e-22,8.0177017580848862e-30,8.0177018121808139e-30,4.7533464575130756e-38,6.5624633124120023e-39
1.3116719308004925e-17,0.7257831932350439,154.0,0.0,0.0,0.0,0.99999999995292344,1.0,19.0,2.4074901832210387e-12,9.0816229259001307e-12,9.0816230380561897e-12,2.2853913273565106e-19,2.0698850581287045e-19,2.643749042153439e-11,1.8146869275114985e-16,6.7840464389878431e-14,2.9792721536608895e-16,1.3460480018326831e-19,6.9373304325348048e-28,1.3088806351397085e-21,5.3965454175618265e-28,8.981170079147287e-22,6.4142372047084992e-29,6.4142372912608502e-29,7.6052344880716451e-37,1.0500006164599584e-37
1.967512343903193e-17,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999992938504,1.0,19.0,3.6112434382222824e-12,1.362246498382565e-11,1.3622465207886917e-11,4.8564706415614932e-19,4.2558171927892184e-19,3.9656020232921057e-11,3.8562001703878087e-16,1.017604127992562e-13,6.3309376468368424e-16,2.8603511801873309e-19,1.8323975812883298e-27,2.7813732667985686e-21,1.3211519983010617e-27,1.9085042897402023e-21,1.8340764876237732e-28,1.8340765194804808e-28,2.7992009413992719e-36,3.8646983493062197e-37
2.6233527570058937e-17,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999990584665,1.0,19.0,4.8149966931734267e-12,1.8163306930611429e-11,1.8163307291464115e-11,8.2845798361517618e-19,7.0462480713785321e-19,5.287436701994719e-11,6.5782010127713966e-16,1.3568005291715337e-13,1.0799797365320561e-15,4.8794155194217997e-19,3.6095111908672012e-27,4.7446929540915952e-21,2.4558118777811773e-27,3.2556887962241656e-21,3.868604916413642e-28,3.8686049972083775e-28,7.0993035371784939e-36,9.801700167685683e-37
3.935033583211295e-17,0.7257831932350439,154.0,0.0,0.0,0.0,0.99999999985876975,1.0,19.0,7.2225032029581346e-12,2.724499057856817e-11,2.7244991256186812e-11,1.7152194249774226e-18,1.3893610958633339e-18,7.9310631054891865e-11,1.3619236203549247e-15,2.0351860962040961e-13,2.2359455265007625e-15,1.0102174743488843e-18,8.8632524608556942e-27,9.8232645029004988e-21,5.5812346861831617e-27,6.7405001890490378e-21,1.0566377611640498e-27,1.0566377894178754e-27,2.4826134056321396e-35,3.4276917156916271e-36
5.246714409416696e-17,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999981169307,1.0,19.0,9.6300097125586074e-12,3.6326673856984496e-11,3.632667490372468e-11,2.9171411503107164e-18,2.2572365813011166e-18,1.0574622206503723e-10,2.3162588729162982e-15,2.7135603264921367e-13,3.8027306287430748e-15,1.7181085984415173e-18,1.6940229860091077e-26,1.6706758426959023e-20,1.0062543391207935e-26,1.1463834867230468e-20,2.2108417870838103e-27,2.2108418576813969e-27,6.203274370249636e-35,8.5648432709461933e-36
6.558395235622097e-17,0.7257831932350439,154.0,0.0,0.0,0.0,0.99999999976461629,1.0,19.0,1.2037516221961691e-11,4.5408356766861467e-11,4.5408358211421798e-11,4.456734472139816e-18,3.2939386265863994e-18,1.3218109199412147e-10,3.5386932565561848e-15,3.391922410455475e-13,5.8096689406467017e-15,2.6248703535031642e-18,2.8279007670936468e-26,2.5524078632871964e-20,1.6011284803028738e-26,1.7514158594021937e-20,4.0247556690040824e-27,4.0247558187822959e-27,1.3160702502032789e-34,1.8171189382879414e-35
9.181756888032899e-17,0.7257831932350439,154.0,0.0,0.0,0.0,0.99999999967046271,1.0,19.0,1.6852529240163268e-11,6.357172159976939e-11,6.3571723785947881e-11,8.5701455495713372e-18,5.7425245352716625e-18,1.850486234297703e-10,6.8046571689753487e-15,4.7486093777157171e-13,1.1171582994207846e-14,5.0474786881265549e-18,6.1631732564726211e-26,4.9081540063256775e-20,3.2417803706664028e-26,3.3679125675032879e-20,1.0626551375552742e-26,1.0626551924265873e-26,4.8214032605093499e-34,6.6572804509054145e-35
1.18051185404437e-16,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999957630925,1.0,19.0,2.1667542257563135e-11,8.1735085215095878e-11,8.173508798020261e-11,1.4055017900539587e-17,8.59759458006186e-18,2.3791322642871907e-10,1.115941868949832e-14,6.1052470151405939e-13,1.8321036455182134e-14,8.2777638206129653e-18,1.0931964261054836e-25,8.0493006438572231e-20,5.4802181377336308e-26,5.5233695821732809e-20,2.2031511912313482e-26,2.2031513337075511e-26,1.2518968008580415e-33,1.7286522949979292e-34
1.7051841845265305e-16,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999938800233,1.0,19.0,3.129756828995804e-11,1.1806180931413598e-10,1.1806181222848658e-10,2.9138561534926647e-17,1.5006535892468153e-17,3.4363364918763523e-10,2.3134564508807036e-14,8.8183743305307767e-13,3.7981297372287758e-14,1.7160885818102912e-17,2.4836354977526701e-25,1.6687369897384132e-19,1.175004795459496e-25,1.145093640527001e-19,6.6198351083174492e-26,6.6198357397816177e-26,5.5484273331673594e-33,7.6621435778576864e-34
2.7545288454908513e-16,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999901138914,1.0,19.0,5.0557620345128665e-11,1.9071524641854393e-10,1.9071524416432518e-10,7.5760672859603168e-17,2.9187807333025676e-17,5.5503936739784754e-10,6.0145247207455883e-14,1.4244037187521029e-12,9.874378741501722e-14,4.4616373688120165e-17,7.0138053599669184e-25,4.3385932356728246e-19,3.1460455933737766e-25,2.9772624842002168e-19,2.8460805238350144e-25,2.8460809894511769e-25,4.0910768381238002e-32,5.6508478404280419e-33
4.853218167419493e-16,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999825816577,1.0,19.0,8.9077724416993556e-11,3.3602208011934392e-10,3.3602204179398097e-10,2.3482410009806373e-16,5.9144725495047083e-17,9.7771033917524447e-10,1.8639159912447513e-13,2.5092996306154412e-12,3.0600942378288183e-13,1.3827683419185793e-16,2.3073065002775355e-24,1.3446754182488869e-18,9.955859020643479e-25,9.2281960051099462e-19,1.6026611450381443e-24,1.6026616369083445e-24,4.3215112368781213e-31,5.9719076654128966e-32
6.951907489348135e-16,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999750494606,1.0,19.0,1.2759782843755672e-10,4.8132886132783521e-10,4.8132875110142546e-10,4.8164598386198125e-16,8.9718445724087872e-17,1.4001940813221168e-09,3.8225023719230168e-13,3.5938800590266347e-12,6.2756141039027495e-13,2.8359392738175559e-16,4.8463484688760475e-24,2.7578873837919722e-18,2.0588622732781385e-24,1.8927916648750981e-18,4.5653895842025667e-24,4.5653914546696835e-24,1.6433147271292317e-30,2.2715238968204907e-31
1.1149286133205418e-15,0.7257831932350436,154.0,0.0,0.0,0.0,0.99999999599851752,1.0,19.0,2.0463803632477883e-10,7.7194226857496881e-10,7.7194190475339754e-10,1.2385614121572205e-15,1.5047978539852478e-16,2.2446003035323565e-09,9.826456835258691e-13,5.7620949380072008e-12,1.6132639071264346e-12,7.2912744803135515e-16,1.2723692040034639e-23,7.0910162534821449e-18,5.3317779697548847e-24,4.8673661535632287e-18,1.8970182566825206e-23,1.8970195257955781e-23,1.1148798810007563e-29,1.542331764835956e-30
1.4926926912676972e-15,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999464274425,1.0,19.0,2.7397422324782838e-10,1.0334941579126488e-09,1.0334934409851458e-09,2.2199122974829024e-15,2.0507127233899124e-16,3.0039263995707897e-09,1.7607702107395661e-12,7.7124102848473893e-12,2.8907540913960872e-12,1.3066375382971247e-15,2.3004425722547849e-23,1.2708097859792365e-17,9.5838464814821425e-24,8.7239581356951626e-18,4.4388092775689382e-23,4.4388130336768763e-23,3.2994483025226583e-29,4.5665963566126343e-30
1.870456769214853e-15,0.7257831932350436,154.0,0.0,0.0,0.0,0.99999999328698275,1.0,19.0,3.4331041000466286e-10,1.2950458794293716e-09,1.2950446910637395e-09,3.485589793995132e-15,2.5962192765730189e-16,3.762647171445566e-09,2.7639552617613547e-12,9.6617049040278194e-12,4.5377386177501453e-12,2.0513002832835787e-15,3.6308284331941992e-23,1.9951473506585633e-17,1.507296107174133e-23,1.3697941586224991e-17,8.5948488263976557e-23,8.5948576383831368e-23,7.7401849641587335e-29,1.0718005150861795e-29
2.2482208471620085e-15,0.7257831932350438,154.0,0.0,0.0,0.0,0.99999999193123301,1.0,18.999999999999993,4.1264659659528305e-10,1.5565974331656133e-09,1.5565956549928972e-09,5.0355901898423124e-15,3.1416724419193831e-16,4.5207630786771733e-09,3.9920299857817422e-12,1.1609979304267223e-11,6.553936991059015e-12,2.963039719295289e-15,5.2635228682748196e-23,2.8820624142188748e-17,2.1798559555910594e-23,1.9789311422374087e-17,1.4748125724894671e-22,1.4748143426354945e-22,1.5547549905707185e-28,2.1539103700753338e-29
2.625984925109164e-15,0.7257831932350435,154.0,0.0,0.0,0.0,0.99999999057549505,1.0,18.999999999999989,4.8198278301968952e-10,1.8181488191932519e-09,1.8181463327764914e-09,6.8699096203823527e-15,3.6871448825222158e-16,5.2782745998467979e-09,5.444816445177719e-12,1.355723401551678e-11,8.939057081383291e-12,4.0417767089163313e-15,7.1985217840834691e-23,3.9315009059579732e-17,2.9760056261815893e-23,2.699806236261439e-17,2.3297818448769165e-22,2.3297850460114287e-22,2.8114631900708138e-28,3.8967132215995736e-29
3.381513081003475e-15,0.7257831932350435,154.0,0.0,0.0,0.0,0.99999998786405453,1.0,18.999999999999982,6.2065515536986495e-10,2.3412510884124002e-09,2.3412468299208716e-09,1.1391491727829221e-14,4.7780887327436793e-16,6.7914861993532768e-09,9.0238867977071406e-12,1.7448686271242542e-11,1.481501534722267e-11,6.6999595754551729e-15,1.1975418311413746e-22,6.51775429968691e-17,4.9388644217261008e-23,4.4767688641586508e-17,4.9018817178794515e-22,4.9018901206610401e-22,7.3791015564470133e-28,1.0236800317417952e-28
4.137041236897786e-15,0.7257831932350435,154.0,0.0,0.0,0.0,0.99999998515266109,1.0,18.999999999999972,7.5932752705519541e-10,2.8643526877194078e-09,2.8643461825278068e-09,1.7050305249801829e-14,5.8690440393950601e-16,8.3022857886439672e-09,1.3499746525433267e-11,2.1336065902149311e-11,2.2163282461849098e-11,1.0025217018183342e-14,1.7961485186652144e-22,9.7534758545278871e-17,7.3954048699163541e-23,6.7006778292918834e-17,8.894822394400902e-22,8.8948406211872749e-22,1.6004595410228863e-27,2.2221909642243483e-28
4.892569392792097e-15,0.7257831932350435,154.0,0.0,0.0,0.0,0.99999998244131427,1.0,18.999999999999957,8.9799989807568794e-10,3.3874536177849633e-09,3.3874443906299398e-09,2.3846317604146547e-14,6.9599692020878696e-16,9.8106773932112682e-09,1.887089894071079e-11,2.5219377370569409e-11,3.0981401231197931e-11,1.4016882559552245e-14,2.5156687766551698e-22,1.3638210285567404e-16,1.0345133730946776e-22,9.3715286852821726e-17,1.4645411698543933e-21,1.4645446650432401e-21,3.0687355609813161e-27,4.2645328578577655e-28
5.6480975486864086e-15,0.7257831932350435,154.0,0.0,0.0,0.0,0.99999997973001442,1.0,18.999999999999947,1.0366722684313492e-09,3.9105538792577855e-09,3.9105414542593338e-09,3.1779496787888183e-14,8.0509172129241362e-16,1.1316664960004516e-08,2.5135876558392319e-11,2.9098625054601471e-11,4.1266962404544454e-11,1.8674302231616263e-14,3.3560992026271954e-22,1.8171510902653713e-16,1.3787567022969911e-22,1.2489317065513132e-16,2.2484505270819131e-21,2.2484566641081368e-21,5.3876554229254746e-27,7.493708016152541e-28
6.40362570458072e-15,0.7257831932350434,154.0,0.0,0.0,0.0,0.99999997701876131,1.0,18.999999999999929,1.1753446381221852e-09,4.4336534727777166e-09,4.4336373734471471e-09,4.0849811701093913e-14,9.1418383410371428e-16,1.2820252317465422e-08,3.229325595474779e-11,3.2973813203687404e-11,5.3017629069205571e-11,2.3996841213859926e-14,4.3174364897723043e-22,2.3352944142368313e-16,1.7722234934602845e-22,1.6054038726769392e-16,3.2733636010046436e-21,3.2733736748530511e-21,8.8427800982613464e-27,1.2310683093453228e-27
7.914682016369343e-15,0.7257831932350431,154.0,0.0,0.0,0.0,0.9999999715963952,1.0,18.999999999999897,1.4526893755094093e-09,5.4798506584807342e-09,5.4798257786225519e-09,6.2401724433060665e-14,1.1323723045982054e-15,1.5820241674168302e-08,4.927954274368865e-11,4.0712027857185091e-11,8.0904958072848923e-11,3.6634743161523766e-14,6.602818433396655e-22,3.5658478071376972e-16,2.7066399319090837e-22,2.4524264934143302e-16,6.1746902470247014e-21,6.1747135964656178e-21,2.0491254011622217e-26,2.8581869044257514e-27
9.236058029068467e-15,0.7257831932350431,154.0,0.0,0.0,0.0,0.99999996685484205,1.0,18.999999999999861,1.6952195029966697e-09,6.3947183276544891e-09,6.3946842016556043e-09,8.4975890125416353e-14,1.3231698930591955e-15,1.8435815108221377e-08,6.7045676828883573e-11,4.7465609512032448e-11,1.1007260564785181e-10,4.9860695679790797e-14,8.997663271870268e-22,4.854000708931104e-16,3.6846862138580156e-22,3.339639935800005e-16,9.8076984427338335e-21,9.8077415943833397e-21,3.7861677523304882e-26,5.2899719829590191e-27
1.0557434041767592e-14,0.725783193235043,154.0,0.0,0.0,0.0,0.99999996211343067,1.0,18.999999999999819,1.9377496284504554e-09,7.3095839628493677e-09,7.3095391245180446e-09,1.1102788011658565e-13,1.5139646280432329e-15,2.1044101928574581e-08,8.7520985835507651e-11,5.4206835163564634e-11,1.4368805595248828e-10,6.5111955037156151e-14,1.1762290545946788e-21,6.3397790349471523e-16,4.8126193095357843e-22,4.3635553304317508e-16,1.4643200509725253e-20,1.464327397486418e-20,6.4445717716815753e-26,9.0194212135329161e-27
1.1878810054466717e-14,0.7257831932350428,154.0,0.0,0.0,0.0,0.99999995737216107,1.0,18.999999999999769,2.1802797518708002e-09,8.22444756744054e-09,8.224390547376778e-09,1.4055752781652388e-13,1.7047631557224378e-15,2.3645122450696517e-08,1.1069791642403527e-10,6.0935727435220673e-11,1.8173890825564461e-10,8.2385139672278346e-14,1.4896682543048725e-21,8.0229519618061369e-16,6.0901889598451846e-22,5.5241704042607339e-16,2.0853439011092616e-20,2.0853556460247749e-20,1.0300850115771296e-25,1.4440653982036026e-26
1.3200186067165842e-14,0.7257831932350426,154.0,0.0,0.0,0.0,0.9999999526310327,1.0,18.999999999999719,2.422809873257739e-09,9.1393091448129192e-09,9.1392384703989264e-09,1.7356466641235022e-13,1.8955614410336118e-15,2.623889696175472e-08,1.3656892577734334e-10,6.7652308940493831e-11,2.2421277910141178e-10,1.0167686896694137e-13,1.8400821526494007e-21,9.9032887675736345e-16,7.5171449754918454e-22,6.8214828812071734e-16,2.8610891748083618e-20,2.8611070419423151e-20,1.5667096131975675e-25,2.2000378219392261e-26
1.5842938092564093e-14,0.725783193235042,154.0,0.0,0.0,0.0,0.99999994314919805,1.0,18.999999999999595,2.9078701099315352e-09,1.0969026231373542e-08,1.0968923817600595e-08,2.5001075041912409e-13,2.2771528327524207e-15,3.1404788650347405e-08,1.9636317645008717e-10,8.1048629714834684e-11,3.2238031667213861e-10,1.4630249475938491e-13,2.6518269652885421e-21,1.4254535117594084e-15,1.0818219467606509e-21,9.8261909590395684e-16,4.9455951772003272e-20,4.9456320872494014e-20,3.2351776046998992e-25,4.5582730273217647e-26
1.8485690117962342e-14,0.7257831932350415,154.0,0.0,0.0,0.0,0.99999993366792372,1.0,18.999999999999456,3.3929303384721176e-09,1.2798735249418992e-08,1.2798595167457748e-08,3.4036479990890999e-13,2.6587418952584888e-15,3.6541937900385938e-08,2.668439126080289e-10,9.4395977277018421e-11,4.3809245028280668e-10,1.9896194360191155e-13,3.6114493275113026e-21,1.9391683710836012e-15,1.4713852826447801e-21,1.3377661386624017e-15,7.8555952879900187e-20,7.8556634142872649e-20,5.9688187832783201e-25,8.4381094131665504e-26
2.1128442143360592e-14,0.7257831932350408,154.0,0.0,0.0,0.0,0.99999992418720673,1.0,18.999999999999293,3.8779905588797553e-09,1.4628436225731478e-08,1.4628252521304121e-08,4.4462548361807124e-13,3.0403304683721056e-15,4.165050461878793e-08,3.4795168047901886e-10,1.0769453064534243e-10,5.7125157142004012e-10,2.5962843347769037e-13,4.7189350845496434e-21,2.5312908050654636e-15,1.9202062996215913e-21,1.747587600001667e-15,1.1728755076116201e-19,1.1728870866134129e-19,1.014063928948297e-24,1.4383625035426216e-25
2.377119416875884e-14,0.7257831932350401,154.0,0.0,0.0,0.0,0.99999991470704408,1.0,18.999999999999101,4.3630507711547202e-09,1.6458129187003714e-08,1.6457895880473137e-08,5.6279147057306539e-13,3.4219172896981131e-15,4.6730647803086635e-08,4.3962736440221648e-10,1.2094446816168878e-10,7.2176062666631366e-10,3.2827527494452058e-13,5.9742700847197456e-21,3.2016388541325748e-15,2.4280874772278108e-21,2.212081663941607e-15,1.6702718107241739e-19,1.6702902892333046e-19,1.6176407839532308e-24,2.3021012907916712e-25
2.641394619415709e-14,0.7257831932350391,154.0,0.0,0.0,0.0,0.99999990522743254,1.0,18.999999999998892,4.8481109752972772e-09,1.8287814159841488e-08,1.8287525246298251e-08,6.9486142976753093e-13,3.8035023459678534e-15,5.1782525586369118e-08,5.4181217011989266e-10,1.3414596753817366e-10,8.8952309026919007e-10,4.0487586422844177e-13,7.3774401759909007e-21,3.9500312012089402e-15,2.9948319290048077e-21,2.7312465144747017e-15,2.2915139320939323e-19,2.2915419913983219e-19,2.4553486298081209e-24,3.5058180910536886e-25
3.169945024495359e-14,0.7257831932350371,154.0,0.0,0.0,0.0,0.9999998862698517,1.0,18.999999999998408,5.8182313591862432e-09,2.1947160246201914e-08,2.1946742003250256e-08,1.0007079410884312e-12,4.5666675216039619e-15,6.1802113147157363e-08,7.7747558169951975e-10,1.6040435953326046e-10,1.2764247857017884e-09,5.8183230561013346e-13,1.0627229026253377e-20,5.6802267722738799e-15,4.3041263245315443e-21,3.9335813116999251e-15,3.9605991411001157e-19,3.9606568880614426e-19,5.0490068179069142e-24,7.256893147555422e-25
3.698495429575009e-14,0.7257831932350348,154.0,0.0,0.0,0.0,0.99999986731444057,1.0,18.999999999997836,6.7883517105487661e-09,2.5606474695911979e-08,2.5605902802826062e-08,1.3621543710038912e-12,5.3298261773102194e-15,7.1710514990644442e-08,1.0544780212986096e-09,1.8647111552410025e-10,1.7311950576681006e-09,7.9028667403256285e-13,1.4468188434761335e-20,7.7204400439304116e-15,5.8465273206003526e-21,5.3545774659596027e-15,6.2902558789282561e-19,6.2903620580897458e-19,9.2759322916208966e-24,1.3419838572675485e-24
