Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75)
4.15681022078975e-11,0.4391189215442486,154.0,0.0,0.0,0.0,0.99998276997075974,1.0,18.999999469161192,1.3274558573061821e-06,6.8164820321425894e-06,6.3365799183787811e-06,5.0537045267125755e-07,3.9887580128021751e-12,3.3590830260068025e-08,9.700046709365542e-07,3.3343026824869334e-11,1.2144762365509237e-06,2.5464358746655914e-08,8.5972168390407785e-15,5.675425303664288e-10
4.3730794856559315e-11,0.43911892141902437,154.0,0.0,0.0,0.0,0.99998187355495904,1.0,18.999999419256181,1.39651793858255e-06,7.171076837548705e-06,6.6440090396337633e-06,5.5390580263872561e-07,4.19625469424506e-12,3.3590802767862077e-08,1.0212313725069699e-06,3.334299699219041e-11,1.2786137861141008e-06,2.68338178919802e-08,9.4228876928400349e-15,6.280941552963739e-10
4.589348750522113e-11,0.43911892128946567,154.0,0.0,0.0,0.0,0.99998097713770684,1.0,18.999999367623701,1.465579783414229e-06,7.5256710071220204e-06,6.9497100643020958e-06,6.0416861088195731e-07,4.4037510022918843e-12,3.359077528095583e-08,1.0724580229745456e-06,3.3342967082099393e-11,1.34275128316987e-06,2.8203274588977798e-08,1.0277945681593122e-14,6.917141384732192e-10
4.805618015388294e-11,0.43911892115571094,154.0,0.0,0.0,0.0,0.9999800807190028,1.0,18.999999314319066,1.5346413918017169e-06,7.8802645408645024e-06,7.2537382851177024e-06,6.5610358466248737e-07,4.6112469369052979e-12,3.359074779211977e-08,1.123684622342357e-06,3.334293715647892e-11,1.4068887277220701e-06,2.9572728830201293e-08,1.1161450177563971e-14,7.5840246892476408e-10
5.0218872802544754e-11,0.43911892101789457,154.0,0.0,0.0,0.0,0.99997918429884702,1.0,18.999999259395793,1.6037027637455105e-06,8.2348574387872431e-06,7.5561472251820495e-06,7.096572008742276e-07,4.8187424980550338e-12,3.3590720299930267e-08,1.1749111706109528e-06,3.3342907278290024e-11,1.4710261197713783e-06,3.0942180599029864e-08,1.207249065760789e-14,8.2815913567858903e-10
5.238156545120657e-11,0.43911892087614673,154.0,0.0,0.0,0.0,0.99997828787723952,1.0,18.999999202905681,1.6727638992461072e-06,8.5894497008839515e-06,7.8569886946054941e-06,7.647776494021201e-07,5.0262376857024033e-12,3.3590692809765794e-08,1.2261376677779254e-06,3.3342877410828788e-11,1.5351634593147674e-06,3.2311629896163144e-08,1.3010185739601568e-14,9.0098412776224795e-10
5.454425809986838e-11,0.43911892073059317,154.0,0.0,0.0,0.0,0.9999773914541803,1.0,18.999999144898904,1.7418247983040047e-06,8.9440413271392708e-06,8.1563128453326214e-06,8.2141477829678871e-07,5.2337324998049611e-12,3.359066532137622e-08,1.2773641138433145e-06,3.3342847514229255e-11,1.5993007463522755e-06,3.3681076731322834e-08,1.3973682249766454e-14,9.7687743420318611e-10
5.6706950748530193e-11,0.4391189205813558,154.0,0.0,0.0,0.0,0.99997649502966968,1.0,18.99999908542399,1.8108854609196998e-06,9.2986323175462927e-06,8.4541682242096604e-06,8.7952004070714288e-07,5.4412269403267287e-12,3.3590637831060281e-08,1.3285905088086606e-06,3.3342817610201214e-11,1.6634379808858204e-06,3.5050521105728218e-08,1.4962154319898165e-14,1.0558390440286213e-09
5.886964339719201e-11,0.4391189204285523,154.0,0.0,0.0,0.0,0.99997559860370733,1.0,18.999999024527941,1.8799458870936898e-06,9.6532226721051577e-06,8.7506018243534842e-06,9.3904644351137237e-07,5.6487210072374284e-12,3.3590610339850233e-08,1.3798168526734452e-06,3.3342787723938725e-11,1.7275751629147419e-06,3.641996301349873e-08,1.5974802513488285e-14,1.1378689462655825e-09
6.319502869451564e-11,0.4391189201127002,154.0,0.0,0.0,0.0,0.99997380574742789,1.0,18.999998898652919,2.0180660301185444e-06,1.0362401473656682e-05,9.3393841850481966e-06,1.0621821736746202e-06,6.0637080200981571e-12,3.359055535551289e-08,1.4822693871007209e-06,3.3342727985481012e-11,1.8558493694579055e-06,3.9158839427675655e-08,1.8069556702680066e-14,1.3111335840816458e-09
6.708787546210691e-11,0.43911891981734513,154.0,0.0,0.0,0.0,0.99997219217181188,1.0,18.999998780946452,2.1423733502152706e-06,1.1000660220396055e-05,9.864867172741608e-06,1.1774232845817688e-06,6.4371950536128717e-12,3.3590505876318738e-08,1.5744764933164071e-06,3.3342674171495282e-11,1.971295975774637e-06,4.1623819762283325e-08,2.0030009728871333e-14,1.4775652080802214e-09
7.098072222969818e-11,0.43911891951210474,154.0,0.0,0.0,0.0,0.9999705785914933,1.0,18.99999865930041,2.2666799042486065e-06,1.1638916906892576e-05,1.0386408510352468e-05,1.296603977271882e-06,6.8106808761604156e-12,3.3590456397449073e-08,1.6666834339637979e-06,3.3342620333053816e-11,2.0867424119731092e-06,4.4088792108380299e-08,2.2057482041807197e-14,1.6539379288348035e-09
7.487356899728945e-11,0.43911891919754126,154.0,0.0,0.0,0.0,0.99996896500647181,1.0,18.999998533938875,2.3909856922214519e-06,1.2277171533112634e-05,1.0904232276529131e-05,1.4195001730652476e-06,7.1841654875893952e-12,3.3590406911299926e-08,1.7588902090457961e-06,3.3342566537405769e-11,2.2021886780568894e-06,4.6553756464420935e-08,2.414816166495959e-14,1.840251682346347e-09
7.876641576488072e-11,0.4391189188741849,154.0,0.0,0.0,0.0,0.99996735141674764,1.0,18.999998405073182,2.5152907141367072e-06,1.2915424099026717e-05,1.1418549804816451e-05,1.5459005383850018e-06,7.5576488877622804e-12,3.3590357427103866e-08,1.8510968185579834e-06,3.3342512750241888e-11,2.317634774020379e-06,4.9018712824299408e-08,2.629845343864805e-14,2.0365064046145521e-09
8.2659262532472e-11,0.4391189185425357,154.0,0.0,0.0,0.0,0.99996573782232123,1.0,18.999998272902634,2.6395949699972724e-06,1.3553674604599154e-05,1.1929560409454345e-05,1.6756057589585635e-06,7.9311310765483252e-12,3.3590307947266591e-08,1.9433032624989103e-06,3.3342458933445554e-11,2.4330806998616968e-06,5.148366118764401e-08,2.8504966672915998e-14,2.2427020316379304e-09
8.655210930006327e-11,0.4391189182030657,154.0,0.0,0.0,0.0,0.99996412422319236,1.0,18.999998137615218,2.7638984598060467e-06,1.4191923049790987e-05,1.2437452069362999e-05,1.8084278558324795e-06,8.3046120538240169e-12,3.3590258463092375e-08,2.0355095408719549e-06,3.3342405121969187e-11,2.5485264555850048e-06,5.3948601556936786e-08,3.0764503511727944e-14,2.4588384994138124e-09
9.044495606765454e-11,0.43911891785621954,154.0,0.0,0.0,0.0,0.99996251061936126,1.0,18.999997999388231,2.8882011835659314e-06,1.4830169434566731e-05,1.2942402073498745e-05,1.9441895400165444e-06,8.6780918194770028e-12,3.3590208977048731e-08,2.1277156536756395e-06,3.334235133132568e-11,2.6639720411883885e-06,5.6413533930783917e-08,3.3074047954319477e-14,2.6849157439383933e-09
