Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925)
1.846836726902362e-20,0.7083014679339021,154.0,0.0,0.0,0.0,0.99999999999957456,1.0,19.0,9.7728982618296172e-15,4.1973320553816389e-14,4.1973005129430509e-14,1.6145506982356497e-24,1.6142254817673115e-24,3.2972741004499965e-13,3.4018101914378776e-21,1.9876674127866771e-15,6.6004387762699851e-21,8.9056716878104845e-25,1.4850469576049718e-35,7.4460996156552085e-26,1.6352020152994981e-35,2.0231784666581993e-26,3.4738604576457957e-36,3.4738604577133331e-36,5.8984384864349715e-47,8.5523613059276443e-48,3.8700793162448533e-28,2.2566025557600187e-84,2.088071482753296e-84,2.0880714827540023e-84,1.5266572761872643e-40,3.1542525665975527e-19,2.0735327570699043e-35,2.0583932672255278e-40,3.6884259812253918e-35,1.9009834828552573e-35,9.6771522723586768e-53,4.3253188332612313e-42,4.885205599152627e-67,4.9936828377493639e-54,1.9482363271672658e-50,7.5942951892705779e-61,5.422022760887774e-72,3.2831719974151395e-83,1.9157333399095902e-83,4.3000533661391956e-63,3.5951280701341264e-95,2.7276537950509549e-99,1.3950783189681008e-95,5.8290976736080624e-89,3.2634244407532661e-86,3.7289009038625684e-34,1.2297304889494339e-44,2.9527136923361313e-44
3.695278003524014e-20,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999914879,1.0,19.0,1.9554287312759274e-14,8.3983107931897355e-14,8.3982476810822005e-14,6.4624104287400325e-24,6.459758671309027e-24,6.5974127012175071e-13,1.3616105778960328e-20,3.9770616491406959e-15,2.6418955646452431e-20,3.5645894946345263e-24,1.1876919563728822e-34,2.980380307498896e-25,1.3053416750065622e-34,8.0979864201939196e-26,2.7812006213979321e-35,2.7812006215060791e-35,9.445185730634106e-46,1.3694920651566167e-46,1.5490402983470689e-27,2.8943169802860756e-82,2.6781591349436807e-82,2.6781591349454931e-82,1.2222541051636819e-39,6.3112455940098546e-19,8.299534843300006e-35,1.647961048725023e-39,2.952983432911351e-34,1.521942628014983e-34,1.5496052045181545e-51,3.4628850454487517e-41,1.5645811939641593e-65,7.9963976942081955e-53,1.5601735202480482e-49,2.4322189786727381e-59,3.4730610494484798e-70,4.2060812205173555e-81,2.4542515690473992e-81,6.8873961621702295e-62,9.211489323982972e-93,6.988834301525262e-97,3.5744865480311161e-93,7.4676741042230178e-87,4.180782569147735e-84,1.4925321409455936e-33,9.8453211917016873e-44,2.3639661769797164e-43
7.392160556767318e-20,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999829714,1.0,19.0,3.9117065414598546e-14,1.680026826728777e-13,1.6800142016363814e-13,2.585805935630329e-23,2.5836651321624127e-23,1.319768929197053e-12,5.4482156033956594e-20,7.9558498780762689e-15,1.0571022927924238e-19,1.4263000547104792e-23,9.4852212024758599e-34,1.1925402968385611e-24,1.0386163663577472e-33,3.2402493783036921e-25,2.2258057598110451e-34,2.2258057599841505e-34,1.5118445277968878e-44,2.1920790705166144e-45,6.198178912389071e-27,3.7084844308566905e-80,3.4315216761493927e-80,3.4315216761540369e-80,9.7817475733895368e-39,1.2625231695330342e-18,3.3208950279659145e-34,1.3188614348726226e-38,2.3632841014821986e-33,1.2180165916486864e-33,2.4803775043664627e-50,2.7713604775277787e-40,5.0087655914205017e-64,1.2799440119214923e-51,1.2492529837134742e-48,7.7863719666744187e-58,2.2237083766083352e-68,5.3861015508244975e-79,3.1427943243021405e-79,1.1029787776743508e-60,2.3591603899322366e-90,1.7899148213905823e-94,9.1546229718373052e-91,9.5627378018639907e-85,5.3537053399997609e-82,5.9720726751597704e-33,7.8792491350977325e-43,1.8918911539160931e-42
1.4785925663253926e-19,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999999659395,1.0,19.0,7.8242621618196949e-14,3.3604183209416861e-13,3.3603930682940286e-13,1.0344907487782847e-22,1.0327713531094198e-22,2.6398240030349053e-12,2.1796407773366009e-19,1.5913425360857678e-14,4.2290970675806017e-19,5.7061285501884207e-23,7.5579267870976705e-33,4.7709374135209213e-24,8.2152439070368443e-33,1.2963107426079756e-24,1.7809827840398738e-33,1.7809827843168989e-33,2.4194424861108111e-43,3.5080398365779816e-44,2.4796751665868001e-26,4.7492671190558642e-78,4.394575026371987e-78,4.394575026383882e-78,7.8268842809625159e-38,2.5253204083954872e-18,1.3285742758233388e-33,1.0552763218137743e-37,1.8909861597598186e-32,9.7459823629038138e-33,3.9694115535125542e-49,2.2175094481101647e-39,1.603142003821457e-62,2.0483258958854765e-50,1.0006163849525125e-47,2.4921614511442753e-56,1.423476590241293e-66,6.8956906026051896e-77,4.0236406797533368e-77,1.7668754264159183e-59,6.0407527761553268e-88,4.5831699609444382e-92,2.3440799451584552e-88,1.2242933638286943e-82,6.8542145541080964e-80,2.3892179466700706e-32,6.3045964217244623e-42,1.513799975074556e-41
2.957345587622714e-19,0.7083014679339024,154.0,0.0,0.0,0.0,0.99999999999318756,1.0,19.0,1.5649373402507312e-13,6.7212013069452272e-13,6.72115080001462e-13,4.1382997498822524e-22,4.124533682315787e-22,5.2799331734599637e-12,8.7192708485119964e-19,3.1828572426062506e-14,1.6917761477170347e-18,2.2826368478609422e-22,5.9968146422621328e-32,1.9085300360083058e-23,6.4253478612274737e-32,5.1856649765652473e-24,1.4249215103286192e-32,1.4249215107719043e-32,3.8714986848566554e-42,5.6134336137281242e-43,9.9195079298368416e-26,6.0806028858521792e-76,5.6264819223213943e-76,5.626481922351854e-76,6.2621019961603101e-37,5.050914960513811e-18,5.3147297890239424e-33,8.4428008464046964e-37,1.5129322702476771e-31,7.7975246650532295e-32,6.3517046145743734e-48,1.77417600235703e-38,5.1305937154328488e-61,3.2776508748188695e-49,8.0220798000436037e-47,7.9757454899298866e-55,9.1112125518473576e-65,8.8274238776694995e-75,5.1508085143023759e-75,2.8328897576110083e-58,1.5465980467633561e-85,1.1734169654734551e-89,6.0014409701128059e-86,1.5672625075531926e-80,8.7743289000488959e-78,9.5576495868125533e-32,5.0441560102544111e-41,1.2111543420655668e-40
5.914851630217358e-19,0.7083014679339021,154.0,0.0,0.0,0.0,0.99999999998637468,1.0,19.0,3.1299595883754305e-13,1.3442767269299115e-12,1.3442666257076992e-12,1.6553872386971654e-21,1.6443956740352038e-21,1.0560147605310388e-11,3.4878487856338375e-18,6.365885095504783e-14,6.7673770948288319e-18,9.1309162467048713e-22,4.7194132734915222e-31,7.6344288107433521e-23,4.9193114946719693e-31,2.0743503896640608e-23,1.1399913214617516e-31,1.1399913221710424e-31,6.1947030080921031e-41,8.9819469747134041e-42,3.9679646325568677e-25,1.3626768071504643e-73,1.2609072762326502e-73,1.2609072762462801e-73,5.0099194685655909e-36,1.0102104362324141e-17,2.1259785563604466e-32,6.754223209457879e-36,1.2104027973086431e-30,6.2383134077706769e-31,1.0163244354558972e-46,1.419408182130422e-37,1.6418762882578097e-59,5.2444954283850515e-48,6.4441915806286731e-46,2.5523666111935251e-53,5.8314736548757153e-63,1.1299684121530011e-72,6.5933742587998106e-73,4.5507797953072668e-57,3.9594956494247596e-83,3.0041027587656276e-87,1.5364251236619551e-83,2.0061995859904056e-78,1.1231719097762361e-75,3.823215393522548e-31,4.0355163296059169e-40,9.6896846722773578e-40
1.1829863715406644e-18,0.7083014679339024,154.0,0.0,0.0,0.0,0.99999999997274891,1.0,19.0,6.2600040845735306e-13,2.6885899155678084e-12,2.688569714568649e-12,6.6216835178891733e-21,6.5342422951508958e-21,2.1120560833035604e-11,1.3951667186801044e-17,1.2731934560738237e-13,2.7070036219358009e-17,3.6524386604505339e-21,3.6561476671174217e-30,3.053832070308118e-22,3.6225387307875093e-30,8.2975703181855281e-23,9.1201469833875966e-31,9.1201469947365027e-31,9.9117449972708129e-40,1.4371468970321562e-40,1.5872181474361715e-24,1.7501523198813149e-71,1.619444745664733e-71,1.6194447456998019e-71,4.0080307746960007e-35,2.020448435623952e-17,8.5040883142210105e-32,5.4029659029578881e-35,9.6834445661081052e-30,4.990765239706156e-30,1.6261604671943539e-45,1.1355534970626035e-36,5.2541422382363688e-58,8.3913653839254146e-47,5.1974335427938436e-45,8.1677488027374002e-52,3.7322251213976787e-61,1.4463916624031286e-70,8.4397063784300484e-71,7.3387963332207831e-56,1.0136535006881808e-80,7.6906749201312665e-85,3.9332174038207135e-81,2.5679932816010757e-76,1.4376919579732428e-73,1.5293172643210194e-30,3.2284896135500341e-39,7.7519156581970859e-39
2.3659887885785216e-18,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999994549749,1.0,19.0,1.2520093076764538e-12,5.3772162777340814e-12,5.3771758820844537e-12,2.6487002266957096e-20,2.5795801637486109e-20,4.2241324744768753e-11,5.580714201502027e-17,2.5464008528999622e-13,1.0828106314623623e-16,1.4609886084617801e-20,2.7503793512151135e-29,1.2215439866908856e-21,2.497985005630144e-29,3.3190618462390631e-22,7.2962040775317342e-30,7.2962040956901128e-30,1.5858891624241904e-38,2.299460539039504e-39,6.3489371924485672e-24,2.2403069269379911e-69,2.0729928719191619e-69,2.0729928720089451e-69,3.2064627781591091e-34,4.0409249105249179e-17,3.40167078711026e-31,4.3215587872570707e-34,7.7468353404890006e-29,3.9926532618621978e-29,2.6018898811257287e-44,9.0845357594915614e-36,1.6813476358008474e-56,1.342622507841067e-45,4.2251296350627729e-44,2.6136890030786006e-50,2.3886333400057569e-59,1.8513887461300919e-68,1.0802867586891643e-68,1.1925788938669416e-54,2.5949635709708861e-78,1.9688209702801891e-82,1.006847020867979e-78,3.2870466929546665e-74,1.8402531096791489e-71,6.1173312286532348e-30,2.5828222140855393e-38,6.2015804018682713e-38
4.731993622654236e-18,0.7083014679339021,154.0,0.0,0.0,0.0,0.99999999989099464,1.0,19.0,2.5040271060325783e-12,1.0754468943325048e-11,1.0754388176291687e-11,1.0594853800949444e-19,1.0054995991899813e-19,8.4482602394847445e-11,2.232289479977505e-16,5.0928056617091866e-13,4.3312498976974936e-16,5.843970419896256e-20,1.9645596447641866e-28,4.8861906581220014e-21,1.5623893183599727e-28,1.3276314557254241e-21,5.8369977385664628e-29,5.8369977676197139e-29,2.5374061437974002e-37,3.6791483008303281e-38,2.5395878075905059e-23,2.8676275930040516e-67,2.6534630125625242e-67,2.6534630127923704e-67,2.5651856110304628e-33,8.0818797647984347e-17,1.3606759218458022e-30,3.4558839653960962e-33,6.1974854458673911e-28,3.1941314602057568e-28,4.1630504344271709e-43,7.2676716812385627e-35,5.3803479584289647e-55,2.1481679879307565e-44,3.4875379395579142e-43,8.3637000387475083e-49,1.5287065776354049e-57,2.3697487496578355e-66,1.3827502548698248e-66,1.9668796993780612e-53,6.6430264357230921e-76,5.040121476699496e-80,2.5771862288463724e-76,4.2073739851509433e-72,2.3554953848836414e-69,2.4469448916935191e-29,2.0662698255094938e-37,4.9612526027012593e-37
7.09799845672995e-18,0.7083014679339024,154.0,0.0,0.0,0.0,0.99999999983649179,1.0,19.0,3.756044904306626e-12,1.6131721551795073e-11,1.6131600429674549e-11,2.2514096548845145e-19,2.0991461090679332e-19,1.2672362987302022e-10,4.7436111453246145e-16,7.6392004857145077e-13,9.2038982722719374e-16,1.2418435545349963e-19,5.2765354747360272e-28,1.0383155786585011e-20,3.92576541509108e-28,2.8212210117767997e-21,1.669019058215915e-28,1.669019068909396e-28,9.3392950688253942e-37,1.3541706986227868e-37,5.3966321834390673e-23,1.4795903547713336e-66,1.3690893098061346e-66,1.3690893099472483e-66,7.3348487779756138e-33,1.2122836523543556e-16,2.8914417372855217e-30,9.8794116472401774e-33,1.7720929755730742e-27,9.1332169680328699e-28,1.5322812199764528e-42,2.0781030295967791e-34,2.4564781349589209e-54,7.9066297857819294e-44,1.0148631200172992e-42,3.8185451895373683e-48,8.3991396099040643e-57,1.5288087664336904e-65,8.9206112164164566e-66,7.3434039615074961e-53,4.9332130430613352e-75,3.7428723218236853e-79,1.9137966266951933e-75,2.7143269220679226e-71,1.5196134313891672e-68,5.1997656069641426e-29,5.9082489470587049e-37,1.4186035675423108e-36
9.464003290805664e-18,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999978198895,1.0,19.0,5.0080627024985971e-12,2.1508974104692309e-11,2.1508812642233049e-11,3.8406427820411194e-19,3.5234169174599833e-19,1.6896440718076866e-10,8.0920314584777821e-16,1.0185585324955078e-12,1.5700746135884405e-15,2.1184374973591643e-19,1.0538207624984763e-27,1.7712432717065925e-20,7.4370049759456649e-28,4.812674829510477e-21,3.520447489788928e-28,3.5204475169097965e-28,2.3686361460692707e-36,3.4344680777352693e-37,9.2060268544138751e-23,8.0716984817144862e-66,7.4688754683768971e-66,7.468875469162449e-66,1.5471352631823933e-32,1.6163795186760305e-16,4.9324650453382457e-30,2.0834213200210352e-32,3.7378543066718856e-27,1.9264584221238173e-27,3.8862002760979462e-42,4.3833248241154408e-34,7.3220699877472195e-54,2.0052791483619848e-43,2.174399954871324e-42,1.1381936768470116e-47,2.8877837760032786e-56,5.9703790856306997e-65,3.4837209325502905e-65,1.8862902386924644e-52,2.1604371706321039e-74,1.6391517759828649e-78,8.3809753042510224e-75,1.060013043466544e-70,5.9344690654866755e-68,8.8701952394223023e-29,1.2462218023128695e-36,2.992235365285709e-36
1.419601295895709e-17,0.7083014679339023,154.0,0.0,0.0,0.0,0.99999999967298314,1.0,19.0,7.5120982986899072e-12,3.2263479084594493e-11,3.2263236971537783e-11,7.9515683864518454e-19,7.1025798511375154e-19,2.5344537466619216e-10,1.6753475981331953e-15,1.5278331569926107e-12,3.2506308783854549e-15,4.3859481897535073e-19,2.6404813499794042e-27,3.6671289551118353e-20,1.731104732525516e-27,9.9640393334888221e-21,9.6154419982770651e-28,9.6154420931193289e-28,8.2831645005448024e-36,1.20104832860306e-36,1.9059924053648936e-22,1.121020583188024e-64,1.0372987985061227e-64,1.0372987986302174e-64,4.225720360551323e-32,2.424571698287217e-16,1.0212056598800949e-29,5.6884991720603013e-32,1.0209220159296073e-26,5.2617455212811676e-27,1.3590244059566047e-41,1.1972229794135822e-33,3.2050160658022022e-53,7.01247780576141e-43,6.0925303885613203e-42,4.9820475370931161e-47,1.5530911555777674e-55,3.8833237960066957e-64,2.2659225440688498e-64,6.737174745923807e-52,1.6762052687982619e-73,1.27179385998013e-77,6.5021445641640536e-74,6.894680491493559e-70,3.8599668435447113e-67,1.8364626363070717e-28,3.4038208887478155e-36,8.1726710111491516e-36
