Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58),S(664),C7H9(925),C7H9(1327),C7H9(1328),C7H9(1363),C7H9(68),C7H9(1368),C7H9(1429)
1.3299679475288268e-19,0.9836421736813817,154.0,0.0,0.0,0.0,0.99999999999948308,1.0,19.0,2.7218352126290585e-14,7.6618378589887789e-14,7.661809856197587e-14,1.4516150900451933e-23,1.4500401233424428e-23,3.3552755578316569e-13,2.3518513997373362e-20,9.397617100674056e-16,3.9276219906872918e-20,8.492558607223313e-24,6.3832023260143351e-34,1.5793352654211325e-25,7.4139897533060267e-34,8.7303098301099754e-26,6.6818891784678319e-35,6.6818891791427649e-35,5.9270149003480378e-45,8.2229715558914295e-46,2.2660185972957913e-27,4.3293485064700083e-81,4.0398501812736276e-81,4.0398501812766505e-81,4.1536540222637818e-39,2.8003630596804142e-19,5.5981664491396091e-35,4.3617397926789908e-39,6.1127467438631916e-34,3.6602992904699117e-34,5.0727844580246466e-51,7.0534270758471264e-41,7.1321444660612971e-65,2.4246604505756224e-52,7.8171306231570296e-50,1.7077175615844881e-58,7.0215298459147173e-69,2.1533720453690185e-79,7.9810212123458236e-80,7.8207016696763648e-62,7.7666090966409878e-91,5.4137601767377576e-95,3.1646756736367725e-91,2.0493155834164212e-85,2.1914806766966912e-82,7.2650165342217368e-34,1.1800602668510177e-43,1.5925630118032708e-43,6.7717812134007626e-44,2.5291945284498293e-47,1.6928050395951319e-40,1.5444638619359477e-30,1.0427774293624976e-39,7.9213163407461274e-40
2.6610913841519445e-19,0.9836421736813814,154.0,0.0,0.0,0.0,0.99999999999896572,1.0,19.0,5.4460351821728425e-14,1.5330332392656959e-13,1.5330276364418521e-13,5.8102433612796057e-23,5.7976256563531063e-23,6.7134649321857902e-13,9.4135331627468436e-20,1.8803396587399132e-15,1.5720721072853819e-19,3.3992363291372081e-23,5.0902259517845524e-33,6.321456384398522e-25,5.8693740907463144e-33,3.4943991131558629e-25,5.3495742122076445e-34,5.3495742132884147e-34,9.4909405601608607e-44,1.3167466430797459e-44,9.0699798053426262e-27,5.5528195907443504e-79,5.1815092264565168e-79,5.181509226464273e-79,3.325448829286058e-38,5.6031591927538344e-19,2.2407255478412559e-34,3.4919779125114411e-38,4.8939134599580177e-33,2.9304646038261353e-33,8.123064492837865e-50,5.6470304442350281e-40,2.2842066484586502e-63,3.8826131017369661e-51,6.277871908151812e-49,5.4692906667763542e-57,4.4976182477447429e-67,2.7586897058693874e-77,1.0224503993412657e-77,1.2560911245042174e-60,1.9899707758605087e-88,1.3871207511891977e-92,8.1085202298125329e-89,2.6253828340538333e-83,2.8075107606088996e-80,2.9078999295787839e-33,9.4476573762028683e-43,1.2750183453309316e-42,5.4215238538829037e-43,3.0808942607381595e-46,1.3552703024711821e-39,6.1818804271133223e-30,8.348559761895146e-39,6.3418695628411041e-39
5.323338257398179e-19,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999793099,1.0,19.0,1.0894435121250554e-13,3.0667321446203155e-13,3.0667209372053789e-13,2.3248541501516013e-22,2.3147681540793425e-22,1.3429839840635826e-12,3.7666382039059741e-19,3.7614948492390547e-15,6.2903340926555601e-19,1.3601370318925204e-22,4.0417369710232188e-32,2.5294055264257233e-24,4.5944954021992119e-32,1.3982148091906018e-24,4.2812852061852492e-33,4.2812852079151836e-33,1.5191667868631279e-42,2.1076515783605476e-43,3.6291733427230557e-26,7.1148202108738529e-77,6.6390607450222721e-77,6.6390607450421486e-77,2.6613697440002551e-37,1.1208751731170916e-18,8.9658212228981384e-34,2.7945379051812053e-37,3.9166169327701322e-32,2.3452615952570044e-32,1.3002193330425146e-48,4.5193405999070923e-39,7.3125355959338809e-62,6.2147007688106314e-50,5.0552801167079949e-48,1.7509067029753359e-55,2.8797019165130066e-65,3.5326390779076989e-75,1.3092984809479147e-75,2.0226003850056768e-59,5.0965213326328621e-86,3.552559995020517e-90,2.0766487324511693e-86,3.3619332496429885e-81,3.5951568680202771e-78,1.1635387416902883e-32,7.5609971885446722e-42,1.0204015231581042e-41,4.3388369443023659e-42,4.1558838452341754e-45,1.0846232910585997e-38,2.473557390366875e-29,6.6813847772268676e-38,5.0754230591650529e-38
1.064783200389065e-18,0.9836421736813817,154.0,0.0,0.0,0.0,0.99999999999586153,1.0,19.0,2.1791234999366538e-13,6.1341299498397093e-13,6.1341075352097994e-13,9.3009303458907756e-22,9.2205192087125077e-22,2.6862574296520553e-12,1.50689956561756e-18,7.5238024028559692e-15,2.5165415945671171e-18,5.4414316290123324e-22,3.1839590189007857e-31,1.0119265673841397e-23,3.5218440614422172e-31,5.5937696784894515e-24,3.4256786284270964e-32,3.4256786311955465e-32,2.4311557046198317e-41,3.3729268686657655e-42,1.4519056554622263e-25,9.1115878052362432e-75,8.502306894035375e-75,8.5023068940862842e-75,2.1295001602062139e-36,2.2419937897086037e-18,3.586912589499075e-33,2.2358857654472417e-36,3.1338867042581526e-31,1.8765644579095575e-31,2.0807742547486166e-47,3.6161591204509242e-38,2.3405034180489552e-60,9.9455165885831242e-49,4.0947209971413789e-47,5.6040640267078233e-54,1.8433979321648201e-63,4.5227393996423729e-73,1.6762583758704774e-73,3.2753439491113631e-58,1.3049879730414513e-83,9.0964951077549141e-88,5.3172157459698757e-84,4.3041900898366563e-79,4.6027792016221389e-76,4.6549126045251754e-32,6.0499464532900452e-41,8.1647520146239e-41,3.4716810074588215e-41,6.0301880367559241e-44,8.6785567130914409e-38,9.8958401837940137e-29,5.3461224295979398e-37,4.061109557982828e-37
2.129681949687559e-18,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999999172251,1.0,19.0,4.3584834755440777e-13,1.2268925538525679e-12,1.2268880717128098e-12,3.7206748437274271e-21,3.656842046521541e-21,5.3727981764369133e-12,6.028080956397716e-18,1.504840620058132e-14,1.0066972483322292e-17,2.1767480645272163e-21,2.470827009058713e-30,4.0480329172036655e-23,2.598557880242186e-30,2.2376899600599622e-23,2.7408030998084506e-31,2.7408031042384026e-31,3.8902264438922813e-40,5.3972260935056358e-41,5.8080952969081788e-25,2.0422495909383513e-72,1.9056868189237191e-72,1.9056868189465025e-72,1.7037619016727445e-35,4.4842314585240136e-18,1.4348820328844997e-32,1.7886078517074457e-35,2.5073443560121171e-30,1.5013922793415786e-30,3.3295775233160696e-46,2.8932019754659347e-37,7.4903983160336989e-59,1.5914355860734986e-47,3.3556615214158854e-46,1.7934790760118346e-52,1.179894216805204e-61,5.789698004614757e-71,2.1458299880018028e-71,5.3643754583991748e-57,3.3411120634698727e-81,2.3289417995482669e-85,1.3612753251556915e-81,5.5099278549813335e-77,5.8921594636299632e-74,1.8621165722836205e-31,4.8404165999024806e-40,6.5324049866651289e-40,2.7775320843949571e-40,9.1526652929811086e-43,6.9433805355333112e-37,3.9586581840699431e-28,4.2773031963623268e-36,3.2491960953604422e-36
4.259479448284547e-18,0.9836421736813814,154.0,0.0,0.0,0.0,0.99999999998344458,1.0,19.0,8.7172034266958311e-13,2.453851663048999e-12,2.4538427024602524e-12,1.4883304285931822e-20,1.4380627560910341e-20,1.0745855092550701e-11,2.4113241975639473e-17,3.0097568558134106e-14,4.0269423255692446e-17,8.7073326988254113e-21,1.8643467749084621e-29,1.6192768272460885e-22,1.79742140861383e-29,8.9511239293407419e-23,2.1927465384374574e-30,2.1927465455256815e-30,6.2246199940188373e-39,8.6359820538157174e-40,2.3233326606883542e-24,2.6230861560428687e-70,2.4476835430371183e-70,2.4476835430957413e-70,1.3630742506167178e-34,8.9687085386843818e-18,5.7397634836334818e-32,1.4305214180607036e-34,2.005965813287527e-29,1.2011679119015114e-29,5.327595077972701e-45,2.3146714474087449e-36,2.397053468869825e-57,2.54639779757435e-46,2.8119806033311937e-45,5.7393711240955003e-51,7.5516432996760083e-60,7.4111311605721837e-69,2.7467801715577802e-69,8.9779917862322598e-56,8.5536156559188929e-79,5.9623483863107961e-83,3.484648521305522e-79,7.0530139925394165e-75,7.5422875616174614e-72,7.4487692982963746e-31,3.8725169163470066e-39,5.2261451561443586e-39,2.2220088644712041e-39,1.4247336647708454e-41,5.5547696230652626e-36,1.5835276686318444e-27,3.4220036528852226e-35,2.5994802174085031e-35
8.519074445478523e-18,0.9836421736813817,154.0,0.0,0.0,0.0,0.99999999996688871,1.0,19.0,1.7434643328746968e-12,4.9077698484879188e-12,4.9077519414102781e-12,5.9534422826241247e-20,5.5635982291284248e-20,2.149187061585393e-11,9.6454426058888165e-17,6.0195712322735871e-14,1.6108012816294034e-16,3.482992853049072e-20,1.3385070824747346e-28,6.4772212602716351e-22,1.1289700197209478e-28,3.5805223098967471e-22,1.7542388140254967e-29,1.7542388253667489e-29,9.9594567447189442e-38,1.3817862081319226e-38,9.2935197556979891e-24,3.3577982878207551e-68,3.1332663617269248e-68,3.1332663618770128e-68,1.0904853193199119e-33,1.7937669669123373e-17,2.2959535443923896e-31,1.1437524193574545e-33,1.6048029052463673e-28,9.6095244581424655e-29,8.5243691279094582e-44,1.8517810886779133e-35,7.6707728398398897e-56,4.0742483904996846e-45,2.4533610311721072e-44,1.8366063409700153e-49,4.833074546969506e-58,9.4862952836884256e-67,3.5158962703008601e-67,1.5627758689534418e-54,2.189736918132592e-76,1.5263692356098455e-80,8.9188700799535914e-77,9.0279131971882516e-73,9.6541765996064767e-70,2.9795682727584725e-30,3.098086752883914e-38,4.180972281322884e-38,1.7774536476386422e-38,2.2477012791351438e-40,4.4436035919825178e-35,6.3342392328785293e-27,2.7376657405276672e-34,2.0796334399696605e-34
1.7038264439866476e-17,0.9836421736813814,154.0,0.0,0.0,0.0,0.99999999993377697,1.0,19.0,3.4869523131839753e-12,9.8156060961705736e-12,9.8155703291309167e-12,2.3814006950359966e-19,2.0875783082036898e-19,4.2983508433957844e-11,3.8581759520519679e-16,1.2039127605862706e-13,6.4432033057290059e-16,1.3932024455085621e-19,8.8723123782145276e-28,2.5909005976558732e-21,6.2909593548704861e-28,1.4322234069552537e-21,1.4034076187171911e-28,1.4034076368628015e-28,1.5934730145563852e-36,2.2108666503732945e-37,3.7174457419947916e-23,4.2980849673258449e-66,4.0106772103558016e-66,4.0106772107400347e-66,8.7239866574138414e-33,3.5875619810474932e-17,9.1839191177900931e-31,9.1390770757255695e-33,1.2838450219353271e-27,7.6876357188373469e-28,1.3639164734253383e-42,1.4814424145276668e-34,2.4546796646217649e-54,6.5185868915595458e-44,2.2886730599336175e-43,5.8769571545410201e-48,3.0930730504509946e-56,1.2142089108391642e-64,4.5002107316677153e-65,2.9045124434352962e-53,5.6055572231519335e-74,3.9073880833464529e-78,2.2822018033017903e-74,1.1555403918174238e-70,1.2356971391468719e-67,1.1918393811664678e-29,2.4784983134508281e-37,3.3447485913524949e-37,1.4216668728096375e-37,3.5704516530606665e-39,3.5544170265980725e-34,2.5337212196881782e-26,2.1901551265381315e-33,1.663726344969355e-33
2.555745443425443e-17,0.9836421736813815,154.0,0.0,0.0,0.0,0.99999999990066524,1.0,19.0,5.2304402933923042e-12,1.4723442228340796e-11,1.4723388626672167e-11,5.060490968128115e-19,4.2480863985673652e-19,6.4474753030753898e-11,8.1985891818050156e-16,1.8058611600990868e-13,1.3691749048046459e-15,2.9605510316154112e-19,2.2931283288627287e-27,5.5056592949544481e-21,1.5010411571688158e-27,3.0434837188261844e-21,4.0128807466243027e-28,4.0128808134112866e-28,5.8649487276314996e-36,8.1374461868593304e-37,7.8995958670012254e-23,2.217654741011979e-65,2.0693628449273494e-65,2.0693628451632497e-65,2.4945236711234959e-32,5.3813597832300512e-17,1.9515904165318419e-30,2.6114000622675097e-32,3.6709849529422038e-27,2.1981777053963513e-27,5.0201327498606653e-42,4.2360122512919087e-34,1.1207220584575067e-53,2.3992284543372754e-43,7.07961234449041e-43,2.6831681267937719e-47,1.6994068553953621e-55,7.8332373027608129e-64,2.9032251999932003e-64,1.1405699335066602e-52,4.1627474693076623e-73,2.9016690586459438e-77,1.6945986301878241e-73,7.4547537954057808e-70,7.9718646526457591e-67,2.5326661872763636e-29,7.0869768916019001e-37,9.5638064375620151e-37,4.0645772370657621e-37,1.3119916035593528e-38,1.0162607809607836e-33,5.3841733391623021e-26,6.2624882243484305e-33,4.7572317697183627e-33
3.4076644428642385e-17,0.9836421736813817,154.0,0.0,0.0,0.0,0.9999999998675535,1.0,19.0,6.9739282734996864e-12,1.9631278251845563e-11,1.9631206834034062e-11,8.6326147583091751e-19,6.9694201768079323e-19,8.5965604413436642e-11,1.3985757478824208e-15,2.4078023218528348e-13,2.3356394301653803e-15,5.0503392269217572e-19,4.4391750539276747e-27,9.3919888589516901e-21,2.7411322385030608e-27,5.1918331099347947e-21,8.4643416962705133e-28,8.4643418656545176e-28,1.4874559643466446e-35,2.0638280907985237e-36,1.3475802358945785e-22,1.2098136456396763e-64,1.1289148673471697e-64,1.1289148674784905e-64,5.2616840646970326e-32,7.1751603734600574e-17,3.3291916979777475e-30,5.5047436418351476e-32,7.7431441023494205e-27,4.6365776356241842e-27,1.2732165348974755e-41,8.9349916073607485e-34,3.3405597270058586e-53,6.0848557415125618e-43,1.5957397696656185e-42,7.9976463268726408e-47,5.8428388083237902e-55,3.0590539466775728e-63,1.1337742341874854e-63,3.0567316317260348e-52,1.8230110139929038e-72,1.2707434094084849e-76,7.4204594900697136e-73,2.9112513432871349e-69,3.1131910711628374e-66,4.3204372131439295e-29,1.4948510417107727e-36,2.0172655039356487e-36,8.5724020361986017e-37,3.3241960788041996e-38,2.1434323126661862e-33,9.1847801225618477e-26,1.3209412810267646e-32,1.0034396033242553e-32
