Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327)
4.7244836434929937e-14,0.8982260618340558,154.0,0.0,0.0,0.0,0.9999999959792738,1.0,18.999999999999883,6.420527270605155e-10,1.4697922297546805e-09,1.4697706002269237e-09,7.0258807787454614e-14,5.4743929392504834e-16,4.2460608187891145e-10,6.7879565104589626e-12,1.3872859308982523e-13,7.4589953779599335e-12,4.8100681433641688e-14,1.5131682040044317e-21,4.5323732066833052e-17,6.709124454688718e-22,1.8839079509647433e-17,7.752712231799496e-22,7.7528357343947858e-22,1.2350259529132928e-26
5.521636532774444e-14,0.8982260618340556,154.0,0.0,0.0,0.0,0.9999999953009262,1.0,18.99999999999984,7.50385025984691e-10,1.7177780110643112e-09,1.7177482640468472e-09,9.5964863170267754e-14,6.4016686414614423e-16,4.9345178697693e-10,9.2368754457764218e-12,1.6155952023106166e-13,1.0150007760874391e-11,6.560341332697265e-14,2.0682948681140917e-21,6.1905020495399929e-17,9.1525543585040107e-22,2.5732094720067571e-17,1.237325699032629e-21,1.2373485457127116e-21,2.2846680082706391e-26
6.318789422055894e-14,0.8982260618340553,154.0,0.0,0.0,0.0,0.99999999462259614,1.0,18.99999999999979,8.5871732416823989e-10,1.9657611136116313e-09,1.9657219275330726e-09,1.2566984315813947e-13,7.3289337802839614e-16,5.6151397742759217e-10,1.2050935245008374e-11,1.8422712831948783e-13,1.3242257838076451e-11,8.578457210995147e-14,2.7099788013748624e-21,8.1065020457755474e-17,1.1970182832147222e-21,3.3697521397995089e-17,1.8540516013002239e-21,1.8540904434625562e-21,3.8842162332443148e-26
7.115942311337344e-14,0.8982260618340551,154.0,0.0,0.0,0.0,0.99999999394428285,1.0,18.999999999999734,9.6704962161116404e-10,2.2137415493808097e-09,2.2136915909446856e-09,1.5937348869189832e-13,8.2561890035750771e-16,6.2880156796440985e-10,1.5225981379902631e-11,2.067325852450563e-13,1.6731180376066068e-11,1.086321735570983e-13,3.4382143962872396e-21,1.0280337448669345e-16,1.5160335579391611e-21,4.2735319657291543e-17,2.6477616199918366e-21,2.6478235630718117e-21,6.1943079975246873e-26
7.913095200618794e-14,0.898226061834055,154.0,0.0,0.0,0.0,0.99999999326598654,1.0,18.99999999999967,1.0753819183134657e-09,2.461719330305332e-09,2.461657254540872e-09,1.9707554061148973e-13,9.1834345453336552e-16,6.953233731348843e-10,1.8757906011837421e-11,2.2907705078255909e-13,2.0612261446582182e-11,1.3413428416796794e-13,4.2529960432605716e-21,1.2711972749998233e-16,1.8721345390720712e-21,5.2845449593820306e-17,3.6407741570774008e-21,3.6408681010899419e-21,9.3944012540957658e-26
9.507400979181695e-14,0.8982260618340541,154.0,0.0,0.0,0.0,0.99999999190944411,1.0,18.99999999999952,1.2920465094962082e-09,2.9576669751084993e-09,2.9575765833237652e-09,2.8447382690930227e-13,1.1037895804850223e-15,8.2610441965640832e-10,2.687617654030259e-11,2.7328760835577856e-13,2.953308206478442e-11,1.9305454490161024e-13,6.1421750541061184e-21,1.8348502155520203e-16,2.6949301738963875e-21,7.6282544878117097e-17,6.3139843359124102e-21,6.3141769834550733e-21,1.9264754266305546e-25
1.1101706757744595e-13,0.8982260618340532,154.0,0.0,0.0,0.0,0.99999999055296696,1.0,18.999999999999353,1.5087110977164819e-09,3.4536041424551213e-09,3.4534799159555012e-09,3.8786262850873125e-13,1.2892319012615569e-15,9.5392567948253961e-10,3.637379469151795e-11,3.168679178359993e-13,3.9969608853139943e-11,2.624509202410824e-13,8.3774709515426525e-21,2.5015810984658736e-16,3.6640858649913207e-21,1.040084879969648e-16,1.0052245972908556e-20,1.0052598708837227e-20,3.5273592867432115e-25
1.2696012536307495e-13,0.8982260618340522,154.0,0.0,0.0,0.0,0.99999998919655364,1.0,18.999999999999151,1.7253756829742998e-09,3.9495309259016885e-09,3.9493672545096985e-09,5.0723987199361135e-13,1.4746699274757557e-15,1.0788540898080443e-09,4.7219565762197382e-11,3.5982696029009017e-13,5.1887563285707644e-11,3.42229854250826e-13,1.0958838857358488e-20,3.2713623994517743e-16,4.778294557927994e-21,1.3602295974302373e-16,1.5034115762772787e-20,1.5034710455401266e-20,5.9469262848371793e-25
1.4791707156495632e-13,0.8982260618340506,154.0,0.0,0.0,0.0,0.99999998741366058,1.0,18.999999999998849,2.010178513542221e-09,4.6014047201240256e-09,4.6011805125750319e-09,6.8847758284426101e-13,1.7184204304862633e-15,1.2387801592729676e-09,6.3475801381126436e-11,4.1536587936329813e-13,6.9750846047100015e-11,4.6273627428174881e-13,1.4878377160417535e-20,4.4399429682601954e-16,6.4613839755202923e-21,1.8462867097821567e-16,2.3774505725177382e-20,2.3775581419301706e-20,1.0756941243317861e-24
1.688740177668377e-13,0.8982260618340487,154.0,0.0,0.0,0.0,0.99999998563087222,1.0,18.999999999998501,2.2949813389914382e-09,5.2532609408405881e-09,5.2529661431357756e-09,8.9733306137218712e-13,1.9621653407874186e-15,1.3939655142699724e-09,8.1941349313349613e-11,4.6986639736648234e-13,9.0041847720885299e-11,6.0081388075685511e-13,1.9395705813228644e-20,5.7864744003831104e-16,8.3899575190004535e-21,2.4064315516047021e-16,3.5377608154713487e-20,3.5379402977651996e-20,1.7948229385180524e-24
1.8983096396871907e-13,0.8982260618340467,154.0,0.0,0.0,0.0,0.99999998384818523,1.0,18.999999999998106,2.5797841593219827e-09,5.9050997940732188e-09,5.904724150898718e-09,1.1338016012373554e-12,2.2059023940332464e-15,1.5445507017596045e-09,1.0255071053777264e-10,5.2334792992340667e-13,1.1268859423271169e-10,7.5625665422842252e-13,2.4510722951702233e-20,7.3108971086527664e-16,1.0561136924899881e-20,3.0406568799166753e-16,5.0248804292720341e-20,5.0251619492366236e-20,2.8151996458919314e-24
2.1078791017060044e-13,0.8982260618340445,154.0,0.0,0.0,0.0,0.99999998206559715,1.0,18.999999999997673,2.8645869745338819e-09,6.5569214834347878e-09,6.5564545405704084e-09,1.3978784963368998e-12,2.4496315236234934e-15,1.6906720846108611e-09,1.2524033594313551e-10,5.7582952952374698e-13,1.3762125418079012e-10,9.2886098202795156e-13,3.0223326711901923e-20,9.0131525862799545e-16,1.2972077554462697e-20,3.7489554526923295e-16,6.8793463185751112e-20,6.8797668646100161e-20,4.2054603490656773e-24
