Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258)
1.1895732504280314e-17,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999999409070184,1.0,19.0,3.0015017700555975e-11,2.5206978284099327e-10,2.5206978615681174e-10,8.8059985091009426e-18,7.7176653524019515e-18,5.2620873560680083e-09,2.9074741102658497e-14,1.1295453761939818e-10,7.2538719574457204e-14,4.4041516504703572e-18,3.0156808180884711e-26,5.2902154717079172e-18,1.5489641243566339e-26
1.8747674659084308e-17,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999999068694867,1.0,19.0,4.7303668400544762e-11,3.9726197183519802e-10,3.9726197866892656e-10,2.1770243978203793e-17,1.7716072783216278e-17,8.2929574242774332e-09,7.1878185853893094e-14,1.7801503717951574e-10,1.7932925177853273e-13,1.0887899680270536e-17,8.8680904472673132e-26,1.3078437616147674e-17,4.1279370029244159e-26
3.24515589686923e-17,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999998387944788,1.0,19.0,8.1880969620331605e-11,6.8764632983728839e-10,6.8764634333535284e-10,6.509137078232067e-17,4.6035887040525309e-17,1.435449404101906e-08,2.1490676837008996e-13,3.081331354343997e-10,5.3617199046596136e-13,3.2553548313034176e-17,3.0532322364350945e-25,3.9103123676707933e-17,1.3058744869750771e-25
5.985932758790829e-17,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999997026446941,1.0,19.0,1.5103557133914042e-10,1.2684149789467787e-09,1.2684149912369093e-09,2.2130422005122663e-16,1.229185598718221e-16,2.6476753243054877e-08,7.3063736874305126e-13,5.6835772891359371e-10,1.8228708914628026e-12,1.1067579143261572e-16,1.1391575768345017e-24,1.3294393190424742e-16,4.6010332489065298e-25
8.726709620712427e-17,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999995664952146,1.0,19.0,2.2019017209692927e-10,1.8491835493220545e-09,1.8491835305635669e-09,4.702776993228233e-16,2.1633553959131687e-16,3.8597927134250182e-08,1.5525810368988673e-12,8.2856685228660865e-10,3.8735423353453135e-12,2.351836736531825e-16,2.5072849708742704e-24,2.825045164979011e-16,9.9080753501855293e-25
1.4208263344555624e-16,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999992941971727,1.0,19.0,3.5849937072945448e-10,3.0107204898780078e-09,3.0107202834943564e-09,1.2465045033910691e-15,4.1678216825342147e-16,6.2837019479599397e-08,4.114967758352693e-12,1.3489386933849331e-09,1.0266454021975231e-11,6.2333868832145805e-16,6.8463761131186222e-24,7.4876839628297047e-16,2.6557035940110908e-24
1.9141661696014502e-16,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999990491299806,1.0,19.0,4.8297764621205604e-10,4.0561035160341335e-09,4.056102989810406e-09,2.2623457798033138e-15,6.0483913102708481e-16,8.4648491784780445e-08,7.4680943218243636e-12,1.8172204516510502e-09,1.8632186575483478e-11,1.1312829279032562e-15,1.2578656995416799e-23,1.3589353549669743e-15,4.8420253202635305e-24
2.407506004747338e-16,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999988040637788,1.0,19.0,6.0745591858098191e-10,5.1014863403873267e-09,5.1014853443511337e-09,3.5787246388407522e-15,7.9322601196963678e-16,1.0645644920130296e-07,1.1812922733742863e-11,2.2854521011233291e-09,2.9472121133397019e-11,1.7894624473362952e-15,2.0041841407280345e-23,2.1495833276398133e-15,7.679961578515313e-24
2.900845839893226e-16,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999985589985652,1.0,18.999999999999993,7.3193418783624413e-10,6.1468689642322934e-09,6.1468673471192983e-09,5.1956385221797682e-15,9.8066755131123066e-16,1.2826089226835027e-07,1.7149300843596509e-11,2.7536336469050169e-09,4.2785878098261296e-11,2.5978579943535462e-15,2.9235916104102645e-23,3.1206941547943553e-15,1.1169428866248792e-23
3.3941856750391133e-16,0.41352141632615025,154.0,0.0,0.0,0.0,0.99999983139343429,1.0,18.999999999999989,8.5641245397785449e-10,7.1922513872856689e-09,7.1922489981177744e-09,7.1130847585081117e-15,1.1674673867222239e-15,1.5006182154787356e-07,2.3477070076101044e-11,3.2217650943153942e-09,5.857306184357691e-11,3.556449502980291e-15,4.0160868170652016e-23,4.2722489081519389e-15,1.5310340150986016e-23
4.380865345330889e-16,0.41352141632615014,154.0,0.0,0.0,0.0,0.99999978238088683,1.0,18.999999999999982,1.1053689769201637e-09,9.2830156298034708e-09,9.2830112448160018e-09,1.1849564693398944e-14,1.5404288596962977e-15,1.93653140760481e-07,3.9106212982495643e-11,4.1578777131084923e-09,9.7566290271350625e-11,5.9241484099964242e-15,6.7203347961685725e-23,7.1166222762566496e-15,2.5546182448345437e-23
5.367545015622664e-16,0.41352141632615014,154.0,0.0,0.0,0.0,0.99999973336873493,1.0,18.999999999999972,1.3543254874080082e-09,1.13737790668536e-08,1.1373772084468845e-08,1.7788143069161489e-14,1.9133595536245122e-15,2.3723041132928286e-07,5.8699084389003347e-11,5.0937900000113994e-09,1.4644864524272349e-10,8.8923988243079135e-15,1.0116915606151135e-22,1.0682552167337455e-14,3.8386793011792024e-23
6.35422468591444e-16,0.41352141632615014,154.0,0.0,0.0,0.0,0.99999968435697906,1.0,18.999999999999957,1.60328198544149e-09,1.3464541698433707e-08,1.3464531517100612e-08,2.4928797317380152e-14,2.2864328008425853e-15,2.8079363799321683e-07,8.2254347029104113e-11,6.0295019998928025e-09,2.0521679043655983e-10,1.2461031509174008e-14,1.420581630171864e-22,1.4969878919173136e-14,5.3831437811892687e-23
7.340904356206215e-16,0.4135214163261502,154.0,0.0,0.0,0.0,0.99999963534561864,1.0,18.999999999999947,1.8522384710207113e-09,1.5555303524845175e-08,1.5555289542735188e-08,3.3271505265388731e-14,2.65951512764416e-15,3.2434282540579907e-07,1.0977068774111173e-10,6.96501375681843e-09,2.7386744967042123e-10,1.6629880267691426e-14,1.8987024037414895e-22,1.9978445726787349e-14,7.1879396003790838e-23
8.32758402649799e-16,0.41352141632615014,154.0,0.0,0.0,0.0,0.99999958633465369,1.0,18.999999999999929,2.1011949441457704e-09,1.7646064546301121e-08,1.7646046161395788e-08,4.2816245364693131e-14,3.0325565423197492e-15,3.6787797808774034e-07,1.412468308394326e-10,7.900325313602038e-09,3.5239744026026878e-10,2.1398783635663676e-14,2.446052654553175e-22,2.5708100240266698e-14,9.2529967269815886e-23
9.314263696789765e-16,0.4135214163261501,154.0,0.0,0.0,0.0,0.99999953732408409,1.0,18.999999999999915,2.3501514048167639e-09,1.9736824762950227e-08,1.9736801373105314e-08,5.3562996343958461e-14,3.4055693547697374e-15,4.1139910050024803e-07,1.7668151742934476e-10,8.83543671249897e-09,4.408036214132948e-10,2.6767582264641145e-14,3.0626311431536415e-22,3.2158692096760947e-14,1.1578246046894215e-22
1.030094336708154e-15,0.41352141632614997,154.0,0.0,0.0,0.0,0.99999948831390995,1.0,18.999999999999893,2.5991078530337898e-09,2.1827584174923899e-08,2.1827555177886811e-08,6.5511736819969799e-14,3.7785839650391544e-15,4.5490619712702049e-07,2.1607348226964471e-10,9.7703479959813937e-09,5.3908283650297329e-10,3.2736115995803746e-14,3.7484366491998247e-22,3.9330070161882823e-14,1.416361809453644e-22
1.1287623037373315e-15,0.41352141632614997,154.0,0.0,0.0,0.0,0.99999943930413082,1.0,18.999999999999876,2.8480642887969469e-09,2.3918342782380371e-08,2.391830757576357e-08,7.8662445158000065e-14,4.151605819690475e-15,4.983992725034322e-07,2.5942144553667995e-10,1.0705059207014643e-08,6.4723189252130037e-10,3.9304222817665805e-14,4.5034679076214435e-22,4.7222081546353537e-14,1.700904260076723e-22
1.3260982377956867e-15,0.41352141632614986,154.0,0.0,0.0,0.0,0.99999934128575807,1.0,18.999999999999829,3.3459771229620478e-09,2.8099857584411756e-08,2.8099808150895762e-08,1.0856967920750303e-13,4.897653232226808e-15,5.8534337757015899e-07,3.5798026964752077e-10,1.2573881582896066e-08,8.9312680917929916e-10,5.423851037276254e-14,6.2212027820687558e-22,6.5167395203141803e-14,2.3479769077099768e-22
1.5037005784482063e-15,0.41352141632614964,154.0,0.0,0.0,0.0,0.9999992530705728,1.0,18.99999999999978,3.7940986311193965e-09,3.1863218156468263e-08,3.1863153857133926e-08,1.3959670326809555e-13,5.5690819288845402e-15,6.6354516484533477e-07,4.6019991711751553e-10,1.4255137903522555e-08,1.148155133590081e-09,6.9728287499708518e-14,8.0039038060225741e-22,8.3781212930711658e-14,3.0192098960051577e-22
1.681302919100726e-15,0.41352141632614964,154.0,0.0,0.0,0.0,0.9999991648566664,1.0,18.99999999999973,4.2422200989277389e-09,3.5626576124451761e-08,3.5626495005362347e-08,1.745177674833584e-13,6.2405093064076641e-15,7.4170159358065229e-07,5.7521715855420696e-10,1.5935746655719687e-08,1.4351122418311244e-09,8.7158169390845275e-14,1.0010876965017315e-21,1.0472751160737284e-13,3.7745909259111634e-22
1.8589052597532456e-15,0.41352141632614947,154.0,0.0,0.0,0.0,0.99999907664403809,1.0,18.99999999999967,4.690341526387652e-09,3.9389931489303026e-08,3.9389831595716392e-08,2.1333274617858805e-13,6.9119438582212592e-15,8.1981269007044365e-07,7.0302457403970093e-10,1.761570808875513e-08,1.7539796220885723e-09,1.0652721644971612e-13,1.2242115051704322e-21,1.2800540423068787e-13,4.6140792443705028e-22
2.0365076004057653e-15,0.4135214163261492,154.0,0.0,0.0,0.0,0.99999898843268753,1.0,18.999999999999602,5.1384629134997056e-09,4.3153284251978783e-08,4.3153163628331335e-08,2.5604151373103489e-13,7.5833773190303466e-15,8.9787848058368255e-07,8.4361475081169301e-10,1.9295022451704961e-08,2.104738780400914e-09,1.2783448989570134e-13,1.4697610809834634e-21,1.5361400447991465e-13,5.5376341337103388e-22
2.3917122817108046e-15,0.41352141632614886,154.0,0.0,0.0,0.0,0.99999881201381635,1.0,18.99999999999946,6.034705566682526e-09,5.0679981974596968e-08,5.0679814020885471e-08,3.5313991256911734e-13,8.926242006195544e-15,1.0538742487577889e-06,1.1631137367739665e-09,2.2651710963905763e-08,2.9018584543662721e-09,1.7625996033226771e-13,2.028134637024304e-21,2.1181978167068786e-13,7.6367807329033014e-22
