Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620)
3.1037480330704142e-18,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999999956191,1.0,19.0,4.5187497044622463e-14,1.7983433185250634e-13,1.7983423602583563e-13,1.304289982846146e-21,1.2915580199515717e-21,3.3273922533411519e-14,4.6286039039325765e-20,1.1335519084505407e-17,5.1397521210352436e-20,8.9700845944021764e-22,4.2998547406213462e-31,8.5721688475917196e-25,5.7398596377374808e-31,2.1887174499185162e-25,1.0494370835090648e-33,1.0494370882174597e-33,4.1889851159410906e-42,5.1940989215847936e-43,6.1581692797522172e-26,4.7079258380648472e-77,4.4971615380432954e-77,4.4971615380461143e-77,3.9948906420547839e-36,9.6710851473625285e-20,2.1034019947030181e-34
6.210192632633505e-18,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999999912337,1.0,19.0,9.0414253426205872e-14,3.5982490119122301e-13,3.5982471117422034e-13,5.2205589157909651e-21,5.1195444046633432e-21,6.6576553888345682e-14,1.8526430428925305e-19,2.2680843796614772e-17,2.0572350122978372e-19,3.5903678130547132e-21,3.3932266043588348e-30,3.431101435055019e-24,4.4029472789816695e-30,8.7605736648583878e-25,8.4018775701907409e-33,8.4018776455858805e-33,6.7077824560322107e-41,8.3173138235421075e-42,2.4648725562913077e-25,6.038382495933278e-75,5.7680563474396386e-75,5.7680563474468707e-75,3.1983416403417083e-35,1.9350597281667931e-19,8.4190992545329581e-34
1.2423081831759686e-17,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999999824629,1.0,19.0,1.8086776618884457e-13,7.1980602715917199e-13,7.1980565363273537e-13,2.0889035009278029e-20,2.0094968314166351e-20,1.3318121668551541e-13,7.4129471973752076e-19,4.5371364820890104e-17,8.2315773549916336e-19,1.4366118350184219e-20,2.6399399919199199e-29,1.3728874355757631e-23,3.2504280736378208e-29,3.5053705057958571e-24,6.724055358798313e-32,6.7240554794779463e-32,1.0736655243189329e-39,1.3313080757662861e-40,9.8627007057778659e-25,7.7369709564360688e-73,7.3906024449391738e-73,7.3906024449577055e-73,2.5596454528040812e-34,3.870969554457898e-19,3.3687440643287619e-33
2.484886023001205e-17,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999999649225,1.0,19.0,3.6177479171200945e-13,1.4397682301465146e-12,1.4397675071967508e-12,8.3569736192794046e-20,7.7434393451811742e-20,2.6638814267228759e-13,2.9656310537460808e-18,9.075189327547979e-17,3.2931330515783166e-18,5.7473591530660341e-20,2.000568129815263e-28,5.4924432386301304e-23,2.2495681416674849e-28,1.4023763961587896e-23,5.3802655869364086e-31,5.3802657800577061e-31,1.7181615511506104e-38,2.1305142003877933e-39,3.9457223744562538e-24,1.7346934962051294e-70,1.6570347837679641e-70,1.65703478377626e-70,2.0481054206947686e-33,7.7428188047589182e-19,1.3477231654221498e-32
4.970041702651677e-17,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999999298406,1.0,19.0,7.2358884274988854e-13,2.8796924536097552e-12,2.8796910889127551e-12,3.3430610332102931e-19,2.8838601889186787e-19,5.3279239656136523e-13,1.1863245446533162e-17,1.8151089585531487e-16,1.3173333085257435e-17,2.2991118559928949e-19,1.4467519909377855e-27,2.1971557322837377e-22,1.4138708897799283e-27,5.6099616316931879e-23,4.3046206500570516e-30,4.3046209590652624e-30,2.7491690519514547e-37,3.4091306034565977e-38,1.5784173050685048e-23,2.2282705632313631e-68,2.1285154062613738e-68,2.1285154062827226e-68,1.6386401675979766e-32,1.5486635696226354e-18,5.3913808598852258e-32
9.940353061952622e-17,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999998596767,1.0,19.0,1.4472169447918455e-12,5.7595402537757516e-12,5.7595377506969007e-12,1.337278447775233e-18,1.0121049831648525e-18,1.0655625147678732e-12,4.7452958922153636e-17,3.6302068406958905e-16,5.2693306952167386e-17,9.1966705028306139e-19,9.6955492033607049e-27,8.7889777169933849e-22,7.8837569669305272e-27,2.2440755668325462e-22,3.4438591880426423e-29,3.4438596824255772e-29,4.3983531684872754e-36,5.4547619048917433e-37,6.3139254131839663e-23,2.8525323113544807e-66,2.7248302224596193e-66,2.7248302225142791e-66,1.3109747764246507e-31,3.0974743042548657e-18,2.1566796568169608e-31
1.9880975780554512e-16,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999997193501,1.0,19.0,2.8944731487405538e-12,1.15192336964469e-11,1.1519229067675729e-11,5.3492195947942677e-18,3.237503882937106e-18,2.1309492150208651e-12,1.8980006843936298e-16,7.2600739569213109e-16,2.1076016107321814e-16,3.6786222840592508e-18,5.8383486365146206e-26,3.5156604747391401e-21,3.9069718856061744e-26,8.976481710835224e-22,2.7551514387960168e-28,2.7551522296517691e-28,7.0358132617674835e-35,8.7274426004134702e-36,2.5256210373946471e-22,3.6514133589428684e-64,3.4879469884181854e-64,3.4879469885581223e-64,1.0488053709728528e-30,6.195285198819895e-18,8.6272106175950733e-31
2.98215984991564e-16,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999995790234,1.0,19.0,4.3417293525540562e-12,1.7278925258178854e-11,1.727891837806706e-11,1.1367155221544625e-17,5.9642212305093827e-18,3.1961824012372126e-12,4.0330460580616247e-16,1.088961245483976e-15,4.4784253441156364e-16,7.8169418926377656e-18,1.4413141663804651e-25,7.470820185776965e-21,8.9004519084217529e-26,1.9075133101993105e-21,7.8780570233997488e-28,7.8780599339773004e-28,2.5893549374920602e-34,3.2122261493842161e-35,5.3669761250289253e-22,1.8839974115744942e-63,1.799654669117798e-63,1.7996546692037122e-63,2.9989475780007492e-30,9.2932855186342302e-18,1.8333400373032528e-30
3.976222121775829e-16,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999994386968,1.0,19.0,5.788985556232353e-12,2.3038615117319386e-11,2.3038605681872872e-11,1.9391083351932259e-17,9.0139883321902759e-18,4.2612620955371061e-12,6.8795631778379972e-16,1.4518822364201627e-15,7.6392904143807188e-16,1.3334546794010864e-17,2.6952567949600553e-25,1.2744375647317932e-20,1.578221133663188e-25,3.254002765078837e-21,1.6617155837698298e-27,1.6617163218859316e-27,6.5664843818773575e-34,8.1467663710472391e-35,9.1554575416480647e-22,1.0277959703169035e-62,9.8178362964009415e-63,9.8178362968792103e-63,6.3256740330689734e-30,1.239147526364865e-17,3.1275459900213655e-30
5.964346665496207e-16,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999991580424,1.0,19.0,8.6834979632716258e-12,3.4557991162972525e-11,3.4557975580157251e-11,4.014687507724752e-17,1.5548695836190112e-17,6.3910613166116886e-12,1.424206004425007e-15,2.1776471097977111e-15,1.5814846083214959e-15,2.7606609535191319e-17,6.1709699418049503e-25,2.6385676872978571e-20,3.3986136719120134e-25,6.7370176861158329e-21,4.5386744244614247e-27,4.5386770052745754e-27,2.2959253058130879e-33,2.8488784562313039e-34,1.8955267115590403e-21,1.4274443982665735e-61,1.3635406086087894e-61,1.3635406086843426e-61,1.7277462395745061e-29,1.8588299322876671e-17,6.4754632384331694e-30
7.952471209216585e-16,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999988773902,1.0,19.0,1.1578010369813698e-11,4.6077361674580478e-11,4.6077338099527404e-11,6.8279400287574258e-17,2.2545038345183128e-17,8.5202962768738248e-12,2.422004074037947e-15,2.9032911741536947e-15,2.6894719952649401e-15,4.6950139682069922e-17,1.1184034709704895e-24,4.4875179354171601e-20,5.9150030328832499e-25,1.1457918539856069e-20,9.4964408107513922e-27,9.4964472586399778e-27,5.7360496286750122e-33,7.1183895372626371e-34,3.2237995976904154e-21,6.5617786743463303e-61,6.2680211580201403e-61,6.2680211584119183e-61,3.6150351617532314e-29,2.4785819965731881e-17,1.1013502613734964e-29
9.940595752936964e-16,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999985967369,1.0,19.0,1.4472522775823055e-11,5.759672654148497e-11,5.7596692712931212e-11,1.043155553241251e-16,2.9751887237421357e-17,1.064892681976323e-11,3.6999640528016966e-15,3.6288058201518871e-15,4.1085602663432509e-15,7.1726856805976478e-17,1.786660647100513e-24,6.8559175151121911e-20,9.1771527328935044e-25,1.7505124353405932e-20,1.7287925595491987e-26,1.728793927353067e-26,1.2167834803799811e-32,1.5102038757529732e-33,4.925242250743e-21,2.4226254731194536e-60,2.3141694471955255e-60,2.3141694473526999e-60,6.5810516217940251e-29,3.0984086947877384e-17,1.6826814090185574e-29
1.391684484037772e-15,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999980354304,1.0,19.0,2.0261547586210167e-11,8.0635439546104074e-11,8.0635377725322373e-11,2.0059512556948816e-16,4.4254416630442246e-17,1.4904337688501222e-11,7.113503863523251e-15,5.0794388624507626e-15,7.8990657506884523e-15,1.3791755552525051e-16,3.6370924316973655e-24,1.3183688073640369e-19,1.7985128260796619e-24,3.3661752164403462e-20,4.564526703406983e-26,4.5645317123799308e-26,4.4557304133189184e-32,5.5324253440010251e-33,9.4710761798695941e-21,2.9699574122586827e-59,2.8369984524612884e-59,2.8369984527843267e-59,1.7376008230993537e-28,4.3382906808661817e-17,3.2360314414578638e-29
2.186934301525923e-15,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999969128184,1.0,19.0,3.1839597200497876e-11,1.2671279932384872e-10,1.2671265148534205e-10,4.8939057863363478e-16,7.3357031267612949e-17,2.3407809526905648e-11,1.7347437504327442e-14,7.9791304100630267e-15,1.9263158083942892e-14,3.3642059126739591e-16,9.3806509311027264e-24,3.2164161915440182e-19,4.4677047498307365e-24,8.2124438497264344e-20,1.7650295135963315e-25,1.7650326867116874e-25,2.8223417516560026e-31,3.5077360397203758e-32,2.3106571043421286e-20,8.3031932024808187e-58,7.9314761508319479e-58,7.9314761525626183e-58,6.7190837868556117e-28,6.8189634181149028e-17,7.8964696622087001e-29
2.9821841190140745e-15,0.5207024686751368,154.0,0.0,0.0,0.0,0.99999999957902086,1.0,19.0,4.3417646806129488e-11,1.7279007087253573e-10,1.7278979678268154e-10,9.0661074588810179e-16,1.0246200784941833e-16,3.1901480818184321e-11,3.2124159153430595e-14,1.0876721812562415e-14,3.5671709780575369e-14,6.2313390931947091e-16,1.7850078715297213e-23,5.9585088666124865e-19,8.3476831173286057e-24,1.5213813916790246e-19,4.3803587896512596e-25,4.3803691193045494e-25,9.1870871687068036e-31,1.1425661201974537e-31,4.2805702951495484e-20,5.5460707814266427e-57,5.2977844959331758e-57,5.2977844972920087e-57,1.6675195379820713e-27,9.3008488823455801e-17,1.4631080552007171e-28
4.5726837539903765e-15,0.5207024686751367,154.0,0.0,0.0,0.0,0.99999999935449957,1.0,19.0,6.6573745991432205e-11,2.6494434961765872e-10,2.6494370211065691e-10,2.1262039208278991e-15,1.6063148216535866e-16,4.8859488597002887e-11,7.5274985629524466e-14,1.6665613890622221e-14,8.358778912572248e-14,1.460904050359818e-15,4.2963591116663237e-23,1.3974035901289477e-18,1.9736054111873272e-23,3.5679854943656455e-19,1.5909455531374824e-24,1.5909514552767809e-24,5.2482447252375804e-30,6.5389457349119489e-31,1.0038933647495985e-19,1.3624046523471485e-55,1.3014125842805715e-55,1.3014125848534365e-55,6.0565299498521001e-27,1.4268256883355308e-16,3.4326498697909084e-28
6.163183388966679e-15,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999912997917,1.0,18.999999999999993,8.9729845142120968e-11,3.5709827606238281e-10,3.5709709375508364e-10,3.8593288273752315e-15,2.1879292871240374e-16,6.5778443336738252e-11,1.36527829808403e-13,2.2446126425387212e-14,1.5160493691966268e-13,2.6509169849882825e-15,7.8976514511094289e-23,2.536465296077412e-18,3.5959357002161714e-23,6.4763573438004371e-19,3.8305136715579669e-24,3.8305321119071526e-24,1.6394989144374385e-29,2.0453600411900441e-30,1.8222006810871941e-19,8.67613907942204e-55,8.2877261199442585e-55,8.2877261242363896e-55,1.4582494240721232e-26,1.9240514302007703e-16,6.232927462424913e-28
9.344182658919285e-15,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999868094092,1.0,18.999999999999982,1.3604204333966016e-10,5.4140507372977119e-10,5.4140233608673942e-10,8.8660804060998131e-15,3.3511646344387662e-16,9.9499662203037418e-11,3.1312240840507935e-13,3.3982076403060032e-14,3.4770129315452256e-13,6.0859673807490489e-15,1.8369859655081961e-22,5.8270568333054861e-18,8.2887371162232638e-23,1.4878273403931116e-18,1.3485592190274895e-23,1.3485692957543811e-23,8.9554753275381732e-29,1.1212515638448944e-29,4.186199124468886e-19,1.9671632215040526e-53,1.8790973900403978e-53,1.8790973916996003e-53,5.1340410816575465e-26,2.9199576808587401e-16,1.4330079678721285e-27
1.2207082001876628e-14,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999827680941,1.0,18.999999999999975,1.777230215990698e-10,7.0727998997930086e-10,7.0727529752617505e-10,1.5128296691495248e-14,4.3980699618383645e-16,1.2971609328698714e-10,5.3355134492438165e-13,4.4335894615401819e-14,5.9247274426814007e-13,1.037894005014902e-14,3.1522150625157214e-22,9.9427837616453548e-18,1.4161353660565755e-22,2.5387060632203872e-18,2.957201988550033e-23,2.9572296884759936e-23,2.4611743066724803e-28,3.0881828942242877e-29,7.1430117929348725e-19,1.0617974988113926e-52,1.0142630242378186e-52,1.0142630252330566e-52,1.1258517762930578e-25,3.8179317337150095e-16,2.4467131955019096e-27
1.5069981344833972e-14,0.5207024686751366,154.0,0.0,0.0,0.0,0.99999999787268068,1.0,18.999999999999961,2.1940399974633454e-10,8.7315376985294256e-10,8.7314659481846514e-10,2.3054168264911023e-14,5.444969794743677e-16,1.598074034670947e-10,8.1197681300045115e-13,5.4662754131820683e-14,9.016454278860703e-13,1.5808076517080704e-14,4.8205452175495813e-22,1.515192442488784e-17,2.1593483896487163e-22,3.8687739373924696e-18,5.4999675340958313e-23,5.5000294334447579e-23,5.4984662394579065e-28,6.9146865317845715e-29,1.0885387428369221e-18,4.0155721867792586e-52,3.8358033670820501e-52,3.8358033714498904e-52,2.0939746730439028e-25,4.7174769115396925e-16,3.7309261084621897e-27
1.7932880687791315e-14,0.5207024686751365,154.0,0.0,0.0,0.0,0.99999999746855472,1.0,18.999999999999943,2.6108497778145465e-10,1.0390264151350978e-09,1.0390162280097982e-09,3.2643648941697341e-14,6.4918627988648704e-16,1.8977408629117026e-10,1.1481700413935656e-12,6.4962721825638185e-14,1.2749653089977759e-12,2.237159251545146e-14,6.8419666276453663e-22,2.1454451333493203e-17,3.058267871637364e-22,5.478025993220635e-18,9.1825044435125353e-23,9.1826246423325732e-23,1.0674602460484747e-27,1.3452795429134558e-28,1.5413320324100818e-18,1.2608066674777425e-51,1.2043629805623039e-51,1.2043629820742404e-51,3.4960967652652029e-25,5.6185932027909174e-16,5.2861268341476503e-27
2.079578003074866e-14,0.5207024686751365,154.0,0.0,0.0,0.0,0.99999999706443132,1.0,18.999999999999922,3.0276595570443017e-10,1.2048979276819625e-09,1.2048841971475553e-09,4.3896691345345997e-14,7.5387485105995845e-16,2.1961665407414468e-10,1.5418935598537964e-12,7.5235867208932836e-14,1.712168692929416e-12,3.0067631896775388e-14,9.2164692365145601e-22,2.885033639578998e-17,4.1126390345875995e-22,7.3664571783092883e-18,1.4219132093150613e-22,1.4219343989332607e-22,1.8813614490412927e-27,2.3760037085797099e-28,2.0726804897579604e-18,3.3843371397878782e-51,3.2328274373089496e-51,3.2328274417438094e-51,5.4138520789450885e-25,6.5212805961615228e-16,7.1128159486575485e-27
2.652157871666335e-14,0.5207024686751365,154.0,0.0,0.0,0.0,0.99999999625619296,1.0,18.999999999999879,3.8612791121394818e-10,1.5366375612132035e-09,1.5366151434305753e-09,7.1393293115218796e-14,9.6324984930634696e-16,2.7893127192962042e-10,2.501084417327915e-12,9.5701939519283641e-14,2.7772853778283429e-12,4.8850637387225117e-14,1.5024682348012241e-21,4.6922081675373547e-17,6.6868245184741005e-22,1.1980839105398556e-17,2.9123634328029122e-22,2.9124170899109125e-22,4.7618472448970785e-27,6.0386355515810822e-28,3.3710409925800387e-18,1.7756890070831153e-50,1.6961951409135162e-50,1.6961951436666789e-50,1.1089211210659419e-24,8.3313686504036201e-16,1.1582456191900634e-26
3.2247377402578036e-14,0.5207024686751363,154.0,0.0,0.0,0.0,0.99999999544796514,1.0,18.999999999999822,4.6948986627488945e-10,1.8683726852278176e-09,1.8683394340423708e-09,1.0554359876272505e-13,1.1726220042116429e-15,3.3775531615119056e-10,3.6876678870914727e-12,1.1606152355118771e-13,4.094906205762018e-12,7.214231181816213e-14,2.2245105001184574e-21,6.9366939328158206e-17,9.8798759580206224e-22,1.7711879981102661e-17,5.1926230642983685e-22,5.1927366070510564e-22,1.0071999898948495e-26,1.2822753698397019e-27,4.9836159836795272e-18,6.4548503349038805e-50,6.1658803076222823e-50,6.1658803188912204e-50,1.9772588463873982e-24,1.0147740987635309e-15,1.7143849458207936e-26
3.797317608849272e-14,0.520702468675136,154.0,0.0,0.0,0.0,0.99999999463974809,1.0,18.999999999999755,5.5285182088725497e-10,2.2001033152825697e-09,2.2000570693780709e-09,1.4634721319364129e-13,1.3819913349477949e-15,3.9609303927109374e-10,5.0996728185241345e-12,1.363151997634352e-13,5.6628423470977753e-12,9.9927098417366377e-14,3.0877653339451073e-21,9.6184677495244722e-17,1.3689658009773581e-21,2.4559537954166691e-17,8.4434996785752559e-22,8.4437133485829074e-22,1.8945599787133615e-26,2.421400977840522e-27,6.9104009984324264e-18,1.9234565232659975e-49,1.8373474517690289e-49,1.837347455496914e-49,3.2152961807852224e-24,1.1970397517081115e-15,2.3801222587525264e-26
4.369897477440741e-14,0.5207024686751358,154.0,0.0,0.0,0.0,0.99999999383154181,1.0,18.999999999999677,6.3621377505104571e-10,2.5318294665995592e-09,2.53176804982529e-09,1.9380374882871744e-13,1.591357826597927e-15,4.5394857777068187e-10,6.7351818533731228e-12,1.564635348432108e-13,7.4789647049939961e-12,1.3218977511221211e-13,4.0922245101547128e-21,1.2737507001125343e-16,1.8114081271595047e-21,3.2523772002327513e-17,1.2842596234132608e-21,1.2842965737934219e-21,3.274821657567031e-26,4.2021635853647991e-27,9.1513916922178194e-18,5.0058257884758412e-49,4.7817256297577095e-49,4.7817256405234462e-49,4.8907257619442812e-24,1.3799338150223826e-15,3.1558729321299195e-26
4.9424773460322096e-14,0.5207024686751354,154.0,0.0,0.0,0.0,0.99999999302334586,1.0,18.999999999999581,7.1957572876626261e-10,2.863551153913459e-09,2.8634723757605774e-09,2.479128291529297e-13,1.8007215155512796e-15,5.1132591163228896e-10,8.5923501744316299e-12,1.7650707607083579e-13,9.5412247345411943e-12,1.6891560720462195e-13,5.237880037393809e-21,1.6293789840097268e-16,2.3151123239032824e-21,4.1604542283347662e-17,1.8562503062074442e-21,1.8563101886663538e-21,5.304773245764546e-26,6.8347264516750131e-27,1.170658386535181e-17,1.1709972189131176e-48,1.1185741808091003e-48,1.11857418360355e-48,7.0693457115413766e-24,1.563456280132549e-15,4.0420407924549037e-26
5.5150572146236783e-14,0.5207024686751351,154.0,0.0,0.0,0.0,0.99999999221516056,1.0,18.999999999999478,8.0293768203290619e-10,3.195268391716434e-09,3.1951700475557775e-09,3.0867408235486538e-13,2.010082380644219e-15,5.6822893328019217e-10,1.0669373549750593e-11,1.9644636055361045e-13,1.1847618958017495e-11,2.100901025612626e-13,6.5247240242287077e-21,2.0287294803636262e-16,2.8798794702396728e-21,5.1801809445386422e-17,2.5773592228249295e-21,2.5774513866459335e-21,8.1605632120487714e-26,1.0558188883203891e-26,1.4575973380864882e-17,2.5184825866704498e-48,2.4057355467584504e-48,2.4057355534497737e-48,9.8161236446361304e-24,1.7476071385772165e-15,5.0390246380830351e-26
6.087637083215147e-14,0.5207024686751347,154.0,0.0,0.0,0.0,0.99999999140698548,1.0,18.999999999999364,8.8629963485097758e-10,3.5269811945376571e-09,3.5268610655848254e-09,3.7608713453251094e-13,2.2194404588532735e-15,6.2466152889932937e-10,1.2964450639464446e-11,2.1628192591345704e-13,1.4396147109164409e-11,2.5569873198388852e-13,7.9527485347724394e-21,2.4718000390641244e-16,3.5055101364417633e-21,6.311553390812482e-17,3.464713467418384e-21,3.4648494491511501e-21,1.2034543821158518e-25,1.563629455326256e-26,1.775955608508751e-17,5.0252303494305538e-48,4.8002616790994544e-48,4.800261693835729e-48,1.3196381302603876e-23,1.9323863818492833e-15,6.1472254923198049e-26
