Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79)
1.7747748199982236e-15,0.8827513472339055,154.0,0.0,0.0,0.0,0.9999999998461413,1.0,19.0,2.423356967295813e-11,5.6479980730936949e-11,5.6479967311619082e-11,1.0533398877138889e-16,1.9215952768195851e-17,1.6638686463666755e-11,1.008831096862241e-14,5.3912710371462589e-15,1.1093604698158667e-14,7.2698718145004156e-17
2.2818543225271343e-15,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999980218157,1.0,19.0,3.1157460131577707e-11,7.261712295501862e-11,7.2617094775940916e-11,1.7274737248128842e-16,2.5353848389295131e-17,2.1384942563440816e-11,1.6540800795162679e-14,6.930079541267515e-15,1.8189081005141777e-14,1.1921444639963787e-16
3.296013327584955e-15,0.8827513472339057,154.0,0.0,0.0,0.0,0.99999999971426257,1.0,19.0,4.5005241039747929e-11,1.0489137255325442e-10,1.0489129913898219e-10,3.581354859315311e-16,3.7618730346225223e-17,3.0867090212866439e-11,3.4274179636854995e-14,1.0005588506576297e-14,3.768957969603081e-14,2.4710248336931713e-16
5.3243313377005975e-15,0.8827513472339057,154.0,0.0,0.0,0.0,0.99999999953842544,1.0,19.0,7.2700802819813098e-11,1.6943973242360897e-10,1.6943950560655363e-10,9.3115319861249974e-16,6.2142343018247565e-17,4.9790010907850403e-11,8.901558999231081e-14,1.6148184960219519e-14,9.7885936551022661e-14,6.4219380022739073e-16
7.35264934781624e-15,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999936258954,1.0,19.0,1.0039636455151146e-10,2.3398790666588097e-10,2.3398744240075515e-10,1.7738215810455424e-15,8.6664042435024226e-17,6.8657875642173209e-11,1.6940521011738157e-13,2.2279566875720846e-14,1.8628633086288148e-13,1.2228924129072901e-15
9.380967357931882e-15,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999918675486,1.0,19.0,1.2809192623484323e-10,2.9853589548013673e-10,2.9853510952655373e-10,2.8861356666526021e-15,1.1118620176758572e-16,8.7470837100652585e-11,2.7537191070177272e-13,2.83997537806529e-14,3.0281254533249905e-13,1.9889958819192723e-15
1.1409285368047525e-14,0.8827513472339055,154.0,0.0,0.0,0.0,0.9999999990109214,1.0,18.999999999999993,1.5578748786980845e-10,3.6308369907537916e-10,3.630825069885899e-10,4.2680908147373095e-15,1.3570844933963226e-16,1.0622905254305249e-10,4.0684243116388047e-13,3.4508765799677947e-14,4.4738401900967969e-13,2.940295576193874e-15
1.546592138827881e-14,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999865925804,1.0,18.999999999999989,2.1117861099463942e-10,4.9217875138101543e-10,4.9217649293784737e-10,7.8409078272337569e-15,1.8475272496304581e-16,1.4358182586294108e-10,7.4602450942704711e-13,4.6693339566306999e-14,8.2036537428944269e-13,5.3977119341533404e-15
1.9522557408510095e-14,0.8827513472339054,154.0,0.0,0.0,0.0,0.99999999830759945,1.0,18.999999999999975,2.6656973392600472e-10,6.2127306525079937e-10,6.212694002841786e-10,1.2492236968763693e-14,2.3379688922816768e-16,1.807174488386679e-10,1.1863676156001822e-12,5.8833448887230242e-14,1.3045883891904923e-12,8.5934734588529021e-15
2.357919342874138e-14,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999795594563,1.0,18.999999999999968,3.2196085666390449e-10,7.5036664243766413e-10,7.5036122906492565e-10,1.8222040898585221e-14,2.8284034802497595e-16,2.1763723392279717e-10,1.7272603343043027e-12,7.0929262394214482e-14,1.8993807211949768e-12,1.2525827811924339e-14
2.7635829448972664e-14,0.8827513472339055,154.0,0.0,0.0,0.0,0.99999999760429659,1.0,18.999999999999954,3.7735197920833917e-10,8.7945948467332545e-10,8.7945197931693496e-10,2.5030282771519481e-14,3.3188412029695296e-16,2.5434247350457567e-10,2.3681005967999257e-12,8.2980946566793288e-14,2.6040803058110001e-12,1.719304226058794e-14
3.5749101489435234e-14,0.8827513472339051,154.0,0.0,0.0,0.0,0.9999999969010126,1.0,18.999999999999929,4.881342237168141e-10,1.1376429709092518e-09,1.1376302443759889e-09,4.1881939102703201e-14,4.2996993555446506e-16,3.2711421291579063e-10,3.9473425650917341e-12,1.0695256065165937e-13,4.3406927259181516e-12,2.8725435904329684e-14
4.305104632585155e-14,0.882751347233905,154.0,0.0,0.0,0.0,0.99999999626807279,1.0,18.999999999999897,5.8783824311279338e-10,1.3700056117176856e-09,1.3699869947184987e-09,6.0736329933892768e-14,5.1824640541357103e-16,3.9188740619105323e-10,5.7047166889522453e-12,1.2837769301274083e-13,6.2731880571321313e-12,4.160108434126995e-14
5.035299116226786e-14,0.8827513472339047,154.0,0.0,0.0,0.0,0.99999999563514808,1.0,18.999999999999858,6.8754226188194934e-10,1.6023658971994035e-09,1.602340251183183e-09,8.3084304434901017e-14,6.0652209576685786e-16,4.5598458606896345e-10,7.7770164475010982e-12,1.4966232536656457e-13,8.5519911613128222e-12,5.6831766118480938e-14
5.765493599868417e-14,0.8827513472339047,154.0,0.0,0.0,0.0,0.99999999500223791,1.0,18.999999999999812,7.8724628002428408e-10,1.8347238370224335e-09,1.8346900139787731e-09,1.0892565388025503e-13,6.9479674605342372e-16,5.1941280628281791e-10,1.0160955808820506e-11,1.70807378703859e-13,1.1173488555631209e-11,7.4407813473935406e-14
6.495688083510049e-14,0.8827513472339044,154.0,0.0,0.0,0.0,0.9999999943693425,1.0,18.999999999999766,8.869502975397983e-10,2.0670794408157691e-09,2.0670362833140242e-09,1.3826016952271198e-13,7.8307052354686253e-16,5.8217904664690175e-10,1.2853283176691032e-11,1.918137680256893e-13,1.4134104624451246e-11,9.4319597254273875e-14
7.22588256715168e-14,0.882751347233904,154.0,0.0,0.0,0.0,0.99999999373646165,1.0,18.999999999999709,9.8665431442849408e-10,2.2994327181713319e-09,2.2993790593977326e-09,1.7108764257193061e-13,8.7134348422566472e-16,6.4429021521405509e-10,1.5850780385473529e-11,2.1268240252635568e-13,1.7430300514052423e-11,1.1655752548873871e-13
8.686271534434943e-14,0.8827513472339036,154.0,0.0,0.0,0.0,0.99999999247074245,1.0,18.999999999999581,1.1860623463254349e-09,2.7641323317560932e-09,2.7640541326457266e-09,2.4722062571370045e-13,1.0478867107741496e-15,7.6657463439337546e-10,2.2748567620796286e-11,2.5401001623899284e-13,2.5015447839364333e-11,1.6797362863666469e-13
1.0146660501718205e-13,0.8827513472339028,154.0,0.0,0.0,0.0,0.99999999120507943,1.0,18.999999999999428,1.3854703757151186e-09,3.228822753750607e-09,3.2287152353931941e-09,3.3732293292019635e-13,1.2244267480125052e-15,8.8631992388513897e-10,3.0829226420025588e-11,2.9479737746775877e-13,3.390133912577535e-11,2.2858014875831426e-13
1.1607049469001467e-13,0.8827513472339019,154.0,0.0,0.0,0.0,0.99999998993947126,1.0,18.999999999999257,1.5848784025975559e-09,3.6935040594824786e-09,3.6933623693104421e-09,4.4139289393461234e-13,1.4009622195268641e-15,1.0035787729934341e-09,4.0068211095413389e-11,3.3505154617291415e-13,4.4060982723957984e-11,2.9830175967765304e-13
1.3600855990657092e-13,0.8827513472339004,154.0,0.0,0.0,0.0,0.99999998821167713,1.0,18.999999999998984,1.8571216387926409e-09,4.3278989642309335e-09,4.3277026536341877e-09,6.0602419537303284e-13,1.6419742306025229e-15,1.1597459914657183e-09,5.4508551303831741e-11,3.8916055794996753e-13,5.9940293616199793e-11,4.0807162439682759e-13
1.5594662512312718e-13,0.8827513472338988,154.0,0.0,0.0,0.0,0.99999998648398059,1.0,18.999999999998668,2.1293648703144479e-09,4.9622772044083365e-09,4.9620169084376149e-09,7.9668282460545737e-13,1.8829824834686861e-15,1.31150290632037e-09,7.1003462703653294e-11,4.4230617861655094e-13,7.8078912412555783e-11,5.3450387139929219e-13
1.8236879470723434e-13,0.8827513472338965,154.0,0.0,0.0,0.0,0.99999998419456115,1.0,18.999999999998181,2.4901449465008678e-09,5.8029377039613687e-09,5.802577874751303e-09,1.0894390375349745e-12,2.202354113295797e-15,1.5060303211175036e-09,9.5929328176836479e-11,5.1128036437352968e-13,1.0548862448533069e-10,7.2740747335632173e-13
2.0879096429134147e-13,0.8827513472338936,154.0,0.0,0.0,0.0,0.99999998190530159,1.0,18.99999999999762,2.8509250144802398e-09,6.6435696919378138e-09,6.6430931456883643e-09,1.4278867770943688e-12,2.5217151439952898e-15,1.6933111996031373e-09,1.2423104391947968e-10,5.7863184356721336e-13,1.3661058816583832e-10,9.4881881249882659e-13
2.352131338754486e-13,0.8827513472338904,154.0,0.0,0.0,0.0,0.99999997961619636,1.0,18.999999999996984,3.2117050742526208e-09,7.4841735897489328e-09,7.4835627311322168e-09,1.812016160126136e-12,2.8410706767246133e-15,1.8736154839094038e-09,1.5578285546585137e-10,6.4439879244256296e-13,1.7130651763885793e-10,1.1983164727327275e-12
2.6163530345955573e-13,0.8827513472338867,154.0,0.0,0.0,0.0,0.99999997732723944,1.0,18.99999999999628,3.5724851258180655e-09,8.324749812585169e-09,8.3239866409641756e-09,2.2418173055734055e-12,3.1604119310384096e-15,2.0472030503014588e-09,1.9046369760607468e-10,7.0861848825797552e-13,2.0944328362627376e-10,1.4754852726503772e-12
2.8805747304366286e-13,0.8827513472338829,154.0,0.0,0.0,0.0,0.99999997503842541,1.0,18.999999999995499,3.9332651691766254e-09,9.165298769487839e-09,9.1643648850633737e-09,2.7172803345485098e-12,3.4797414673820012e-15,2.2143241004353281e-09,2.2815701211587309e-10,7.7132733147815653e-13,2.5089271295370995e-10,1.7799161686153682e-12
3.1447964262777e-13,0.8827513472338787,154.0,0.0,0.0,0.0,0.99999997274974917,1.0,18.999999999994643,4.2940452043283547e-09,1.0005820863450745e-08,1.0004697473306784e-08,3.238395370311307e-12,3.7990644886939207e-15,2.3752195224497971e-09,2.6875057953933978e-10,8.3256086660507184e-13,2.9553140357056404e-10,2.1112061618603124e-12
3.4090181221187713e-13,0.8827513472338739,154.0,0.0,0.0,0.0,0.99999997046120526,1.0,18.999999999993722,4.6548252312732975e-09,1.0846316491511324e-08,1.0844984415569232e-08,3.8051525382639801e-12,4.1183754152114286e-15,2.5301211917398012e-09,3.1213637907151207e-10,8.9235379965281396e-13,3.4324057046997254e-10,2.4689582207532699e-12
3.6732398179598426e-13,0.8827513472338688,154.0,0.0,0.0,0.0,0.99999996817278891,1.0,18.999999999992728,5.0156052500115044e-09,1.1686786044845819e-08,1.16852257217234e-08,4.417541965941485e-12,4.4376736024798264e-15,2.6792523933119161e-09,3.5821039180105388e-10,9.5074002294816967e-13,3.9390582932475615e-10,2.8527811699196438e-12
3.937461513800914e-13,0.8827513472338635,154.0,0.0,0.0,0.0,0.99999996588449569,1.0,18.999999999991662,5.3763852605430199e-09,1.252722990884002e-08,1.2525421401639836e-08,5.0755537830109355e-12,4.7569691419138119e-15,2.8228281059719848e-09,4.0687246831942791e-10,1.007752632102394e-12,4.4741705090393391e-10,3.2622896136791997e-12
4.201683209641985e-13,0.8827513472338577,154.0,0.0,0.0,0.0,0.99999996359632048,1.0,18.999999999990518,5.737165262867888e-09,1.3367648463204827e-08,1.3365571465186937e-08,5.7791781212722182e-12,5.0762538689178009e-15,2.9610553147142e-09,4.580261831922134e-10,1.0634239449852708e-12,5.0366820104220365e-10,3.6971038495105363e-12
