Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590)
4.446323858820197e-21,0.7404634204475071,154.0,0.0,0.0,0.0,0.99999999999966438,1.0,19.0,4.4162487637744606e-15,1.9210208403987942e-14,1.9209972806098062e-14,1.7612623388052288e-25,1.761174967522817e-25,2.8986415480941096e-13,7.4830438755987249e-22,2.9113494321522141e-15,1.6055455132202977e-21,9.3406175997166053e-26,5.1147388821156675e-37,3.7375920337219644e-26,5.4214559627722455e-37,4.6774970438335572e-27,2.6638628354848399e-37,2.6638628354967554e-37,1.0365415940286341e-48,1.5495237190421141e-49,5.6079494033293848e-29,3.0559143510296753e-87,2.8119728922991629e-87,2.8119728922996607e-87,5.5381969145813065e-42,2.3559797871243833e-19,5.1352963268333813e-36,8.7177103023811006e-42,4.0543481334106255e-36,1.8896297065041259e-36,2.6451787949981159e-54,2.8322559525496357e-43,6.034210484328417e-69,1.0933466698021982e-55,3.2998612473065601e-51
8.896510727074643e-21,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999999932843,1.0,19.0,8.8363344074457967e-15,3.843710682340866e-14,3.8436635423116702e-14,7.0496393355122951e-25,7.0488534071742507e-25,5.7998014163254829e-13,2.9951676665758084e-21,5.8252282411241218e-15,6.4263661798035928e-21,3.7386812551931525e-25,4.0933272406830596e-36,1.4960108512154624e-25,4.3359095604672621e-36,1.8722178083188361e-26,2.132710010892081e-36,2.1327100109111605e-36,1.6598170193403136e-47,2.4812568135206081e-48,2.2446412351741987e-28,3.9195137735117828e-85,3.6066346160682038e-85,3.6066346160694817e-85,4.4339250781030839e-41,4.7140064746571351e-19,2.0554568296176456e-35,6.979463065830157e-41,3.2459437025026361e-35,1.5128527309585821e-35,4.2357324875977593e-53,2.2675268948917603e-42,1.9325721406861543e-67,1.7507792341311138e-54,2.6419830009078273e-50
1.7796884463583534e-20,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999865663,1.0,19.0,1.7676505694782027e-14,7.6890903660579219e-14,7.6889960656015753e-14,2.8207739907864903e-24,2.8201104914973827e-24,1.1602121009189572e-12,1.1984571883371114e-20,1.1652985763337369e-14,2.5713835085156926e-20,1.4959594719434824e-24,3.2733895381135683e-35,5.9859919942700718e-25,3.4627820910276132e-35,7.4913099089069083e-26,1.7068161825975084e-35,1.7068161826280479e-35,2.6567880352062975e-46,3.9716267539726043e-47,8.9814887216992494e-28,5.0220676973859406e-83,4.6211760561264544e-83,4.6211760561297287e-83,3.548487657794738e-40,9.4300598564577244e-19,8.2245046912863443e-35,5.5856821829587136e-40,2.5977414362077916e-34,1.2107419555856036e-34,6.7799304891911474e-52,1.8147106635984e-41,6.1868318978587675e-66,2.8023869937689262e-53,2.1145294803596207e-49
3.5597631936601315e-20,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999999731304,1.0,19.0,3.5356848269428715e-14,1.5379849732823873e-13,1.5379661111726093e-13,1.1284932729137354e-23,1.1279486608154001e-23,2.3206759620523158e-12,4.7946090061922436e-20,2.3308500424841611e-14,1.0287208127485253e-19,5.9848118707102877e-24,2.6151910951207859e-34,2.3947865381192137e-24,2.7591986179152951e-34,2.9970117675721051e-25,1.3657122707690437e-34,1.365712270817917e-34,4.2517253635653308e-45,6.3558956698368911e-46,3.5931803284202463e-27,6.4315063074532627e-81,5.918104801512671e-81,5.9181048015210568e-81,2.8393292807143174e-39,1.8862166646999271e-18,3.2903374371479649e-34,4.4693792503589239e-39,2.0785877817454283e-33,9.6877749288147835e-34,1.0850096142920438e-50,1.4520442488303731e-40,1.9802024865473928e-64,4.4847315945747186e-52,1.6921691011314058e-48
7.119912688263688e-20,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999999462585,1.0,19.0,7.0717533418618995e-14,3.0761368463684608e-13,3.0760991202153947e-13,4.5143404639803945e-23,4.5099298499109288e-23,4.641603454561218e-12,1.9179995827812453e-19,4.6619528216161183e-14,4.1152179189213661e-19,2.394119482312178e-23,2.0859508657641943e-33,9.5799254249012163e-24,2.1893037246241966e-33,1.1989022743005765e-24,1.0926735571375011e-33,1.0926735572157064e-33,6.8034511479666936e-44,1.0170467041099474e-44,1.4373891078366799e-26,8.2344148917004208e-79,7.5770943820248384e-79,7.577094382046312e-79,2.2716791112450306e-38,3.7726380335843789e-18,1.3162421024453414e-33,3.5758186472239595e-38,1.6630280293967361e-32,7.7509554277942025e-33,1.7361919945627445e-49,1.1617456979711648e-39,6.3373140953428561e-63,7.1763005715680832e-51,1.3542226475358606e-47
1.42402116774708e-19,0.7404634204475071,154.0,0.0,0.0,0.0,0.99999999998925138,1.0,19.0,1.4143890371658719e-13,6.1524405914733089e-13,6.1523651375724962e-13,1.8058096570460685e-22,1.8022621474119964e-22,9.2834575205479418e-12,7.6723096518099017e-19,9.3241577672045476e-14,1.6461539638537969e-18,9.5768667997275939e-23,1.6586888098733335e-32,3.8321258188635539e-23,1.7229924742426403e-32,4.7958042348681504e-24,8.7418034343750514e-33,8.7418034356263973e-33,1.088607072176977e-42,1.6273573051663699e-43,5.7497903941333244e-26,1.0541386817070562e-76,9.6999099374074991e-77,9.6999099374624748e-77,1.8174295712208971e-37,7.5454808144578571e-18,5.2651827352326952e-33,2.8607519189946539e-37,1.3304854429263344e-31,6.2010580598219615e-32,2.7780484922367529e-48,9.2944068020566263e-39,2.0280471014758773e-61,1.14826649851216e-49,1.0840037012934775e-46
2.8480809655885025e-19,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999997850242,1.0,19.0,2.8288164431087404e-13,1.2305048077423128e-12,1.2304897169372815e-12,7.223385528699452e-22,7.1949687892956993e-22,1.8567161976398531e-11,3.0689856051412567e-18,1.8648565207680102e-13,6.5847483328900396e-18,3.8308240062430118e-22,1.3110240108515181e-31,1.5328812889743091e-22,1.3348675277518063e-31,1.9183607191146732e-23,6.9936087316781553e-32,6.9936087336803568e-32,1.7418140748708067e-41,2.6038372920308847e-42,2.2999629522543691e-25,2.3621621638285791e-74,2.1736001768973982e-74,2.1736001769219939e-74,1.4539781755059519e-36,1.50911665486231e-17,2.1061160100668831e-32,2.2885937715757207e-36,1.0644133938761425e-30,4.9609631507849587e-31,4.4449906407316757e-47,7.4357019322112949e-38,6.4899212868895669e-60,1.8372731304931532e-48,8.681422090820893e-46
5.696200561271348e-19,0.7404634204475071,154.0,0.0,0.0,0.0,0.99999999995700461,1.0,19.0,5.6576712549285008e-13,2.4610263032357346e-12,2.4609961221317923e-12,2.8893835558532428e-21,2.8666981727696238e-21,3.713455618361991e-11,1.2276061743864342e-17,3.7297370285831169e-13,2.6339249349056864e-17,1.5323446686450343e-21,1.0241697008226702e-30,6.1315857280558478e-22,1.0042502742058507e-30,7.6735209030038196e-23,5.5949533620368397e-31,5.5949533652403989e-31,2.7869330389250669e-40,4.1661906753414132e-41,9.1999454086635018e-25,3.0337676375542622e-72,2.7915940644274518e-72,2.791594064490736e-72,1.1631963555548373e-35,3.0182538706626754e-17,8.4245502739437973e-32,1.8307974140643409e-35,8.5154046080500833e-30,3.9688159428260355e-30,7.1120754975242291e-46,5.9486321405553532e-37,2.0768021092007279e-58,2.9396744141449261e-47,6.9599188931825953e-45
1.1392439752637038e-18,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999991400901,1.0,19.0,1.1315380878304103e-12,4.9220692874948619e-12,4.9220089278586034e-12,1.1557592624725551e-20,1.1377291998646863e-20,7.4269285780236639e-11,4.9104452290042167e-17,7.4594941230974334e-13,1.0535743791500802e-16,6.1294056774985507e-21,7.8246208699908772e-30,2.4526453247076663e-21,7.1742049509953169e-30,3.0694239469924292e-22,4.4759892119029492e-30,4.4759892170286601e-30,4.4591054733008243e-39,6.6659411649737188e-40,3.6799968910487844e-24,3.8833702359839175e-70,3.5733762775575957e-70,3.5733762777196138e-70,9.3056262264429315e-35,6.0365285781326747e-17,3.3698376771617476e-31,1.4644877150673792e-34,6.8123583456146085e-29,3.1750689079058818e-29,1.1379393265437305e-44,4.7589339465973125e-36,6.6458104704017264e-57,4.7035090463504535e-46,5.5914863670757528e-44
2.278491813536842e-18,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999982801768,1.0,19.0,2.263080012399965e-12,9.844155229557247e-12,9.8440345206633814e-12,4.6230485003395161e-20,4.4808270140940549e-20,1.485385097029113e-10,1.9641795312623528e-16,1.4918992627695459e-12,4.2143006055288777e-16,2.4517651686348446e-20,5.7408046950854183e-29,9.8105947178664278e-21,4.7201060573351564e-29,1.2277726802920164e-21,3.5808019327367499e-29,3.5808019409378615e-29,7.1345410722268242e-38,1.0665519620076871e-38,1.4720025078175537e-23,4.9707444698873772e-68,4.5739497688259091e-68,4.5739497692406771e-68,7.4445233281503728e-34,1.2073079096549758e-16,1.3479388410073593e-30,1.1713394755821066e-33,5.4498936219765538e-28,2.5400583632411872e-28,1.820708749149119e-43,3.8071584442273095e-35,2.1266663745584844e-55,7.5256386511198865e-45,4.5108316189381019e-43
3.41773965180998e-18,0.7404634204475071,154.0,0.0,0.0,0.0,0.99999999974202636,1.0,19.0,3.3946219368639533e-12,1.476624114560648e-11,1.4766060094819321e-11,9.8239849614774084e-20,9.4206338526208688e-20,2.2280749835577239e-10,4.1738794037591578e-16,2.2378475447895853e-12,8.9553842806983825e-16,5.2099999790458578e-20,1.5641734798777628e-28,2.0847512433410971e-20,1.2154436458984521e-28,2.6090188664289366e-21,1.0238863228415813e-28,1.023886325860128e-28,2.6259778410087516e-37,3.925618695686429e-38,3.1280076801698822e-23,2.5647207206135316e-67,2.3599892981624362e-67,2.3599892984170824e-67,2.1286762337591147e-33,1.8109630718443942e-16,2.8643727262238339e-30,3.3488839677338723e-33,1.5583286298411651e-27,7.2629778547717998e-28,6.7014220989760729e-43,1.0886101956726181e-34,9.7096063775706264e-55,2.7699426395842526e-44,1.2959978711709189e-42
4.5569874900831175e-18,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999965603503,1.0,19.0,4.5261638612223747e-12,1.9688327036073342e-11,1.9688085650326423e-11,1.6758568445274192e-19,1.5914073999013709e-19,2.9707625173956519e-10,7.1201418070947265e-16,2.9837942583731581e-12,1.5276820398405385e-15,8.887642809702573e-20,3.1620076665885533e-28,3.5563390904395415e-20,2.3461092868625977e-28,4.4506809393997866e-21,2.1596736818443118e-28,2.1596736894999811e-28,6.6600306633834326e-37,9.9562148815574078e-38,5.3360152109625991e-23,1.3991457673649004e-66,1.2874575431219641e-66,1.2874575432637197e-66,4.4900083952638721e-33,2.4146183443815231e-16,4.8862856919532432e-30,7.0629707058873013e-33,3.2869648867355158e-27,1.5319716729602508e-27,1.6996264709226487e-42,2.2961951485702962e-34,2.8941592288948885e-54,7.025191742361917e-44,2.7454621539349492e-42
6.8354831666293936e-18,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999948405249,1.0,19.0,6.7892477096914632e-12,2.9532498758257831e-11,2.9532136717572964e-11,3.46964982117576e-19,3.2418141811702113e-19,4.4561320634736351e-10,1.4741326540028483e-15,4.4756840045261781e-12,3.1628667530643257e-15,1.8400716013872723e-19,8.068984596263349e-28,7.3629420023989305e-20,5.5991028720438603e-28,9.2145729404869158e-21,5.898741085975037e-28,5.8987411127471711e-28,2.329033943970034e-36,3.4817332773913813e-37,1.1047546026068189e-22,1.943170680421084e-65,1.7880551187014286e-65,1.7880551189253622e-65,1.2263674482410988e-32,3.621929148435105e-16,1.011644105467305e-29,1.9287540593728572e-32,8.9777112139075141e-27,4.1842854246145183e-27,5.9436790592966455e-42,6.2716237864946838e-34,1.2668306026497921e-53,2.4567545405627706e-43,7.5525092158201444e-42
9.11397884317567e-18,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999931206995,1.0,19.0,9.0523315577723463e-12,3.9376670389779345e-11,3.9376187716241087e-11,5.9009664733665186e-19,5.4294238386155683e-19,5.9414929579307846e-10,2.5071095016197404e-15,5.9675679830063133e-12,5.3791992650583754e-15,3.1294762238159794e-19,1.5918220382435198e-27,1.2522423710922553e-19,1.0464281764668306e-27,1.5671578254102785e-20,1.2342142410579131e-27,1.2342142477475159e-27,5.8195982734937938e-36,8.6998957175307367e-37,1.8788986426350452e-22,8.9324844235309748e-65,8.2194398383764196e-65,8.2194398395376199e-65,2.5659818110551721e-32,4.8292403582765849e-16,1.720542579721577e-29,4.0349258844078128e-32,1.8784355134278258e-26,8.7549155371177023e-27,1.4851640079012918e-41,1.312233807961894e-33,3.6909364563508712e-53,6.1387820803138482e-43,1.590222578876287e-41
1.1392474519721946e-17,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999914008741,1.0,19.0,1.1315415405437293e-11,4.9220841926789527e-11,4.9220238641432347e-11,9.0153440727293611e-19,8.1663339185594373e-19,7.4268445828439957e-10,3.8302901907018008e-15,7.4594457818589736e-12,8.2181867866538147e-15,4.7811264925914173e-19,2.7352399071356849e-27,1.9131413357948017e-19,1.7134342872711526e-27,2.3942633453787539e-20,2.2468402266811647e-27,2.2468402408738326e-27,1.2346860842649213e-35,1.84577591000986e-36,2.8705329982275402e-22,3.2978896040349045e-64,3.0346322386963446e-64,3.034632239162196e-64,4.6712859927321397e-32,6.0365520028908203e-16,2.6286015272472932e-29,7.3441823927308955e-32,3.4196161391022233e-26,1.5937970854656709e-26,3.150938066566412e-41,2.3888719165582883e-33,8.9613903505008929e-53,1.3024133326875082e-42,2.9134277134945977e-41
1.59494658728145e-17,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999879612256,1.0,19.0,1.5841583099493271e-11,6.8909184727657413e-11,6.8908340266769026e-11,1.7336187126624941e-18,1.5159387401512352e-18,1.0397519442117315e-09,7.3654814427259898e-15,1.0443182452662961e-11,1.5803215750526861e-14,9.1939082224428825e-19,6.2963384945032849e-27,3.6788931855619423e-19,3.6167347862773925e-27,4.6040840961612155e-20,5.9323220691181875e-27,5.9323221211150645e-27,4.5234435804125796e-35,6.7623259968798964e-36,5.5199341511547769e-22,4.0429552966507721e-63,3.7202223214645815e-63,3.7202223224220384e-63,1.2333620169263468e-31,8.4511766237474974e-16,5.0547121643309829e-29,1.9381825932982148e-31,9.0287646512412276e-26,4.2080801466409509e-26,1.1544063267446372e-40,6.3073278852491554e-33,4.6359820384501934e-52,4.7716616993013344e-42,7.8256054138477798e-41
2.0506457225907052e-17,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999845215759,1.0,19.0,2.0367750791859916e-11,8.8597527179513131e-11,8.8596441593677455e-11,2.8431300713115016e-18,2.4034978347111187e-18,1.3368156653611572e-09,1.2079320767963516e-14,1.3426894025057131e-11,2.5917126219498106e-14,1.5077939442393833e-18,1.1628265368297604e-26,6.0333594020605472e-19,6.2770762750146742e-27,7.5506865172336409e-20,1.2299190320706785e-26,1.2299190455723629e-26,1.1745712877035726e-34,1.7559413737293663e-35,9.0526787884558613e-22,2.0154779554519082e-62,1.8545904020663101e-62,1.8545904026391329e-62,2.5570732963748984e-31,1.0865803010446877e-15,8.2897217575907307e-29,4.0166556001351042e-31,1.8718831171219054e-25,8.7243764624162096e-26,2.9976022375916749e-40,1.307667170468319e-32,1.4927696418379545e-51,1.2390416948600334e-41,1.6474206860004466e-40
2.9620439932092156e-17,0.7404634204475071,154.0,0.0,0.0,0.0,0.9999999977642281,1.0,19.0,2.942008617152596e-11,1.2797421113062154e-10,1.2797264335233606e-10,5.8943163349011053e-18,4.6490188639278991e-18,1.9309318151594668e-09,2.5042369718409334e-14,1.9394241886285546e-11,5.3730360283779294e-14,3.1259057882318922e-18,2.7972836354946275e-26,1.2508161767827106e-18,1.3876562587595887e-26,1.5653925313711279e-19,3.6955513760866018e-26,3.6955514359319766e-26,5.2061989466643904e-34,7.7832524995823208e-35,1.8767826219693624e-21,3.0692678295411794e-61,2.8242604562521764e-61,2.8242604576889564e-61,7.6832819298320329e-31,1.5695061080629616e-15,1.7186105676373163e-28,1.2056987726930775e-30,5.6244250612463718e-25,2.6214030754689429e-25,1.3287056055421622e-39,3.929162310203889e-32,9.9790804299838213e-51,5.4921420271396739e-41,5.1269475598604496e-40
4.7848405344462364e-17,0.740463420447507,154.0,0.0,0.0,0.0,0.99999999638837012,1.0,19.0,4.7524756910589169e-11,2.0672757566813192e-10,2.0672504328905261e-10,1.532531282515463e-17,1.0576028174471316e-17,3.1191189466874787e-09,6.510934346044069e-14,3.132863648384919e-11,1.396971820765897e-13,8.1272916939556579e-18,8.3908379309712158e-26,3.2521030565878842e-18,3.8188239166366906e-26,4.0700466792449849e-19,1.5888365254513435e-25,1.5888365695874818e-25,3.8395609925834514e-33,5.7404306014422726e-34,4.8796671335998583e-21,1.0742161006236342e-59,9.8846573948357257e-60,9.8846574045379694e-60,3.3032968096779196e-30,2.5353598407967344e-15,4.4684313642114861e-28,5.1723567111761388e-30,2.4180804317268298e-24,1.1270064773556384e-24,9.7998753117037085e-39,1.6892736030205994e-31,1.3106208227339826e-49,4.0507399690491314e-40,2.3731949858274461e-39
8.430433616920279e-17,0.7404634204475069,154.0,0.0,0.0,0.0,0.99999999363665804,1.0,18.999999999999996,8.3734098307640908e-11,3.6423429353443504e-10,3.6422982884023613e-10,4.7501657714049776e-17,2.5924247083343577e-17,5.4953125517367783e-09,2.0180232736763589e-13,5.5196221245877256e-11,4.3298265617463282e-13,2.5190279208863645e-17,2.8956961368897286e-25,1.0079829407786492e-17,1.2325802717338598e-25,1.2615349035081694e-18,8.9469275679061956e-25,8.9469280343453901e-25,4.0576640951984176e-32,6.0671748861991429e-33,1.5124821441479273e-20,6.7015836620528237e-58,6.1666232949818058e-58,6.1666233069841286e-58,1.8601303771474081e-29,4.467075780984552e-15,1.3850263073379536e-27,2.8992864517628028e-29,1.3616013294658057e-23,6.346081359360197e-24,1.0358105616548495e-37,9.5125030315321028e-31,2.6659136959886438e-48,4.2814884362748324e-39,1.5364282986318127e-38
