Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320)
3.521755716771286e-20,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999957889,1.0,19.0,1.1985347733099562e-14,7.7324452624950868e-14,7.7324037983993366e-14,8.680794867270848e-24,8.6778603537172938e-24,2.5338836012641251e-13,4.8520357094020926e-21,1.0691766778888628e-15,8.7782843471360045e-21,4.921314881400221e-24,1.2595972255829061e-34,7.703088902812323e-26,1.4243183486549279e-34,4.2332940854864553e-26,1.1085707409777822e-35,1.1085707410422632e-35,5.6462358748496341e-46,8.0183601777193653e-47,1.7049573251021768e-27,6.8696055144357412e-83,6.3814457256115715e-83,6.3814457256139533e-83,1.9061947129883838e-39,4.1464583694759839e-19,6.3440777783842273e-35,2.293531621948599e-39,6.0159632094694052e-35,3.3252133520012282e-35,6.8309689909455852e-52
7.046571169178342e-20,0.45182913330343716,154.0,0.0,0.0,0.0,0.99999999999915745,1.0,19.0,2.3981108452926238e-14,1.5471608545946057e-13,1.547152558270501e-13,3.4745802234872677e-23,3.4722129570445473e-23,5.0699683877435347e-13,1.9420786696425764e-20,2.13928218957627e-15,3.5136012609296435e-20,1.9698084235704452e-23,1.006944013697723e-33,3.0832429780724797e-25,1.1355611103287269e-33,1.6944208618565352e-25,8.8753065089873965e-35,8.8753065100199293e-35,9.0413323260447413e-45,1.2839822896881814e-45,6.8242725473789346e-27,8.8109515925277598e-81,8.1848381630100278e-81,8.1848381630161384e-81,1.526114828709011e-38,8.2965192905861638e-19,2.5392844546774584e-34,1.8362097672268796e-38,4.8164283196124431e-34,2.662192436965542e-34,1.0938450494952639e-50
1.4096202073992456e-19,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999999831457,1.0,19.0,4.7972629892553045e-14,3.0949935104661478e-13,3.0949769146048546e-13,1.3902846713442953e-22,1.388383905809101e-22,1.0142137127799333e-12,7.7708436240095331e-20,4.2794929809413721e-15,1.4058980402083427e-19,7.8817990031271974e-23,8.0347121559716449e-33,1.2336987494424964e-24,9.0126733628066488e-33,6.7798905278762325e-25,7.102942588377634e-34,7.102942590030358e-34,1.4472014805039216e-43,2.0552076786882011e-44,2.7305979215732627e-26,1.1289460347645234e-78,1.0487222058258023e-78,1.0487222058273681e-78,1.2213556878316454e-37,1.6596641337660397e-18,1.0160445621475822e-33,1.4695097163425669e-37,3.8546061286256305e-33,2.1305628573973284e-33,1.7508644454900489e-49
2.819546388362068e-19,0.45182913330343727,154.0,0.0,0.0,0.0,0.9999999999966287,1.0,19.0,9.5955672771700402e-14,6.1906588189396147e-13,6.1906256251664363e-13,5.5620439597192878e-22,5.5468246580746795e-22,2.0286471276299931e-12,3.1088428731182968e-19,8.559913635632926e-15,5.6245065711131184e-19,3.1532324447717195e-22,6.3910703170312627e-32,4.9355979118237618e-24,7.0939106092661748e-32,2.712397687164064e-24,5.6834332469882279e-33,5.6834332496331226e-33,2.3159919188042904e-42,3.2890008461847917e-43,1.0924169744541681e-25,1.4457836821682365e-76,1.3430451108312403e-76,1.3430451108352515e-76,9.7727012511495094e-37,3.3196886251224342e-18,4.0648400423818811e-33,1.1758051843772188e-36,3.0842700115090006e-32,1.7047736939639305e-32,2.8019531552124281e-48
5.639398750287713e-19,0.4518291333034373,154.0,0.0,0.0,0.0,0.99999999999325706,1.0,19.0,1.9192175852957015e-13,1.2381989422847838e-12,1.2381923037861096e-12,2.2249986368518847e-21,2.2128412559668522e-21,4.0575126246865887e-12,1.2436378910403312e-18,1.7120751232863044e-14,2.2499848901105126e-18,1.2613953208573227e-21,5.0536914872712991e-31,1.9743995055467284e-23,5.4961399030030404e-31,1.0850473739894425e-23,4.5471783033766445e-32,4.547178307608902e-32,3.7059588718617973e-41,5.2629349290953285e-42,4.3700235345839512e-25,1.8510722157294556e-74,1.7195335097709842e-74,1.7195335097812546e-74,7.818903463685002e-36,6.6397379356014149e-18,1.6260684963361089e-32,9.4069208798854237e-36,2.467649428555329e-31,1.3639479734222715e-31,4.4835811624382424e-47
1.1279103474139002e-18,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999998651379,1.0,19.0,3.8385393004360991e-13,2.476465057882449e-12,2.4764517829536419e-12,8.9003565478985995e-21,8.8035398737744414e-21,8.115238288232688e-12,4.9747502540203024e-18,3.4242411578724203e-14,9.0002990293768183e-18,5.0457841123274423e-21,3.950864066757677e-30,7.8979166878031262e-23,4.1347764030819829e-30,4.3403660815564904e-23,3.637915316885397e-31,3.6379153236573352e-31,5.9298192225905291e-40,8.4211184862084475e-41,1.7480805435444016e-24,4.1482945136429988e-72,3.8535133126369536e-72,3.8535133126829091e-72,6.255419906457984e-35,1.3279837867624147e-17,6.5045398431459536e-32,7.5252320215939125e-35,1.9742118769943771e-30,1.0912094147246913e-30,7.1740948485218415e-46
2.255851292184158e-18,0.45182913330343716,154.0,0.0,0.0,0.0,0.99999999997302713,1.0,19.0,7.6771827306489002e-13,4.9529972685891286e-12,4.9529707278031047e-12,3.5602149259692265e-20,3.4835206566552921e-20,1.6230668293112532e-11,1.9899375995586311e-17,6.8485672876153202e-14,3.6001874529033628e-17,2.0183527202885074e-20,3.0224985792924804e-29,3.1592287874621322e-22,2.9535827540577708e-29,1.7361817352214353e-22,2.910401297260474e-30,2.9104013080957965e-30,9.4878990018089579e-39,1.3474113949349622e-39,6.9924644345956721e-24,5.3278570115566033e-70,4.9492551365846351e-70,4.9492551367028771e-70,5.004454997923946e-34,2.6560042975928701e-17,2.6018698214500808e-31,6.0192696429866143e-34,1.5794047745092977e-29,8.7298702820165204e-30,1.1478843996363573e-44
4.511733181724674e-18,0.4518291333034373,154.0,0.0,0.0,0.0,0.99999999994605382,1.0,19.0,1.5354469590802525e-12,9.906061609952722e-12,9.9060085635596302e-12,1.4241003563359583e-19,1.3639487916562508e-19,3.2461443014470985e-11,7.959807469008038e-17,1.3697195789466209e-13,1.4400853063875575e-16,8.0734771069415074e-20,2.2227787900651898e-28,1.2637026400909458e-21,1.9429767385625981e-28,6.944797425514423e-22,2.3283486112524116e-29,2.3283486285889716e-29,1.518066169626345e-37,2.1558797919817827e-38,2.7970142247389358e-23,6.8199976384043015e-68,6.3353630354446899e-68,6.3353630357474058e-68,4.0036119729925387e-33,5.3120474169574188e-17,1.0407592748640148e-30,4.8137795118211211e-33,1.263535270190063e-28,6.9839595160583431e-29,1.8366384952763319e-43
9.023496960805706e-18,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999989210731,1.0,19.0,3.070904331002188e-12,1.981218998663064e-11,1.9812084019303143e-11,5.6964295944548e-19,5.2335064272478238e-19,6.4922651307168253e-11,3.1839200612920628e-16,2.739435776328766e-13,5.7603359313098653e-16,3.229394551273482e-19,1.5295033390664128e-27,5.0548224318476595e-21,1.1430080505463085e-27,2.7779329702361511e-21,1.8626898473724765e-28,1.8626898751105873e-28,2.4288669985837837e-36,3.4494108673669086e-37,1.1188113786433824e-22,8.7297022825041135e-66,8.1093625200203196e-66,8.1093625207952808e-66,3.2029093209799548e-32,1.06241420465011e-16,4.1630643469324598e-30,3.848339836687823e-32,1.0108285424125499e-27,5.5871694153106622e-28,2.9386406017421816e-42
1.3535260739886738e-17,0.4518291333034373,154.0,0.0,0.0,0.0,0.99999999983816079,1.0,19.0,4.606361702815335e-12,2.9718318070397904e-11,2.9718159259277164e-11,1.2104929816804981e-18,1.0810050337894907e-18,9.7383518453431091e-11,6.7658121683634633e-16,4.1091424707888083e-13,1.2240681357510139e-15,6.8624550134178383e-19,4.0287169040837229e-27,1.074149341213394e-20,2.7921797318096931e-27,5.9031162027149792e-21,5.3261367438345272e-28,5.3261368459283433e-28,8.9397600230738921e-36,1.2696107475539353e-36,2.3774777331846299e-22,4.5042052438550513e-65,4.1841327488791706e-65,4.1841327493549561e-65,9.1583411916134888e-32,1.5936245066859393e-16,8.846534397599062e-30,1.0999421124902422e-31,2.8903329517707279e-27,1.5975785396989956e-27,1.0816164882813048e-41
1.804702451896777e-17,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999978421428,1.0,19.0,6.14181907451969e-12,3.9624445873454261e-11,3.9624234283481752e-11,2.0649600497685886e-18,1.7971591479227395e-18,1.2984404445684474e-10,1.154164452042564e-15,5.4788396623926769e-13,2.0881098883777055e-15,1.1706520757400518e-18,7.9179191451623982e-27,1.8323706501200664e-20,5.182250029608603e-27,1.0070029355155959e-20,1.1234374112480279e-27,1.1234374371410233e-27,2.2672965305078191e-35,3.2200028051498429e-36,4.0557004843075341e-22,2.4572061888191821e-64,2.2825951149044152e-64,2.2825951151692744e-64,1.9317627097928449e-31,2.1248356478032319e-16,1.509117391883785e-29,2.3192489977937731e-31,6.0965366026731977e-27,3.3697488160154221e-27,2.7432161133782841e-41
2.7070552077129834e-17,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999967632125,1.0,19.0,9.2127338176730783e-12,5.9436700855234597e-11,5.9436383825493451e-11,4.2752401510861241e-18,3.5669801546685574e-18,1.947642958334126e-10,2.3895374958233142e-15,8.2182117431832987e-13,4.3231420486705784e-15,2.423678163476977e-18,1.9379482624998538e-26,3.7936825792086505e-20,1.1755387113382188e-26,2.0848731739675109e-20,3.0684585064605221e-27,3.0684585970083164e-27,7.9287227418529003e-35,1.1260470936033947e-35,8.3968191558906263e-22,3.4126380842214226e-63,3.1701332429476916e-63,3.170133243366094e-63,5.2762571242082137e-31,3.1872598993106459e-16,3.1244437715150719e-29,6.3307328535321554e-31,1.665146552951224e-26,9.2037922352032612e-27,9.5931706708878736e-41
3.6094079635291894e-17,0.45182913330343716,154.0,0.0,0.0,0.0,0.99999999956842822,1.0,19.0,1.2283648560426409e-11,7.9248954893932538e-11,7.9248532574044414e-11,7.2710658819589088e-18,5.8304763525009279e-18,2.5968329273583515e-10,4.0639545271029297e-15,1.0957548879130184e-12,7.3524909028659138e-15,4.1220271590371442e-18,3.6943286622021339e-26,6.4520454059091507e-20,2.1166312717762124e-26,3.5458245875444581e-20,6.4202445759052844e-27,6.4202448021569087e-27,1.9811461134715606e-34,2.8136772830466746e-35,1.4280796317582761e-21,1.5687426928295449e-62,1.4572665603923444e-62,1.4572665606093057e-62,1.1039716345264001e-30,4.2496872364198804e-16,5.3138719071939603e-29,1.3238857098879714e-30,3.484030285090128e-26,1.9257338535397978e-26,2.3970738691496505e-40
4.511760719345396e-17,0.45182913330343716,154.0,0.0,0.0,0.0,0.99999999946053542,1.0,19.0,1.5354563302751107e-11,9.9061207985859726e-11,9.9060680472459235e-11,1.1108547293951069e-17,8.5592411660864143e-18,3.2460094558277957e-10,6.2087674439227408e-15,1.3696848574613748e-12,1.1232878184354264e-14,6.2975022703533153e-18,6.1529250965862266e-26,9.8572424125230263e-20,3.3646137898008401e-26,5.4172200606242486e-20,1.1687813561345601e-26,1.1687814041357291e-26,4.2031612677777754e-34,5.9695053913634552e-35,2.1817836130586577e-21,5.7918286004512957e-62,5.380256548776605e-62,5.3802565496470142e-62,2.0097412224961246e-30,5.3121178795310768e-16,8.1184121047765337e-29,2.4087594586552959e-30,6.3425183654105001e-26,3.5057107235061795e-26,5.0856564997525338e-40
6.316466230977809e-17,0.4518291333034373,154.0,0.0,0.0,0.0,0.99999999924474969,1.0,19.0,2.149639278608768e-11,1.3868571161235674e-10,1.3868497366548221e-10,2.136134270607433e-17,1.5099414295533088e-17,4.5443213484687434e-10,1.1939071634500124e-14,1.9175333295384966e-12,2.1600122490913147e-14,1.210976338900714e-17,1.3356372483148129e-25,1.8955009636413594e-19,6.8032334481569795e-26,1.0417124511494953e-19,3.0859286681149196e-26,3.0859288439692545e-26,1.5398395985044811e-33,2.1870188828443057e-34,4.1954939362702786e-21,7.1003336106527195e-61,6.5957781516379246e-61,6.5957781534268634e-61,5.3063225640276055e-30,7.4369892914232373e-16,1.5611486822483184e-28,6.3503096654325913e-30,1.6745926400588545e-25,9.2560037441837563e-26,1.8632288120450598e-39
8.121171742610221e-17,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999902896386,1.0,19.0,2.7638222267683339e-11,1.7831021207834302e-10,1.78309263405657e-10,3.5032542654417443e-17,2.2844546804596749e-17,5.8425786555101738e-10,1.9579776238645743e-14,2.4653665957242308e-12,3.5423655879786231e-14,1.9859802498267124e-17,2.3624881414517457e-25,3.1085974737251297e-19,1.1491589359312066e-25,1.7084058979258093e-19,6.3979039585402212e-26,6.3979044151591317e-26,3.9982946023644287e-33,5.6788967908989667e-34,6.8806005867927717e-21,3.5396305636931818e-60,3.2881015537584506e-60,3.2881015548287297e-60,1.1001353543974629e-29,9.5618741307417313e-16,2.5602903014336526e-28,1.314796701875099e-29,3.4718131618436829e-25,1.9189810612215075e-25,4.8381766919602655e-39
1.1730582765875046e-16,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999859739286,1.0,19.0,3.9921881225652677e-11,2.5755920490608374e-10,2.5755783252893498e-10,7.262869777475389e-17,4.0573488982177467e-17,8.4389295476420824e-10,4.0591167080460782e-14,3.5609875190085454e-12,7.3437383396514205e-14,4.1172122878521555e-17,5.3478983410615249e-25,6.4445920303886175e-19,2.4616666086913913e-25,3.5418312397305257e-19,1.9223853286127236e-25,1.9223855309940974e-25,1.7720969315273512e-32,2.5171466227487871e-33,1.4264719701132066e-20,5.3903218896102797e-59,5.0072812913406933e-59,5.0072812940252166e-59,3.3055979420430867e-29,1.3811684085997222e-15,5.3079854937670411e-28,3.9380218726799531e-29,1.043153144738103e-24,5.7658377163501945e-25,2.1445537898306118e-38
1.8949404812404697e-16,0.4518291333034373,154.0,0.0,0.0,0.0,0.99999999773425208,1.0,19.0,6.4489199120703602e-11,4.1605716235166292e-10,4.1605492934763953e-10,1.8883559756607216e-16,8.0781005506105985e-17,1.3630976525250115e-09,1.0553103524366254e-13,5.7520469446366548e-12,1.9092634317442215e-13,1.0704378543094064e-16,1.5049367766947007e-24,1.6755566461323793e-18,6.5858367197597514e-25,9.2088182996919221e-19,8.264951861636435e-25,8.2649533539975261e-25,1.3067173919295182e-31,1.8564211543770211e-32,3.7088517333213454e-20,1.8865634072578577e-57,1.75250272581872e-57,1.7525027276315147e-57,1.4211899036233013e-28,2.2311465101723521e-15,1.3801095584359359e-27,1.681205328363627e-28,4.4845980479812952e-24,2.4787793294675334e-24,1.5817197170746199e-37
3.3387048905464e-16,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999600797562,1.0,18.999999999999996,1.1362383482725526e-10,7.3305297704234231e-10,7.3304895727590946e-10,5.8530550510126387e-16,1.6757047817568726e-16,2.4012451889941947e-09,3.2705685501547663e-13,1.0133436231169075e-11,5.9171000456205507e-13,3.3176016622202252e-16,4.9377099731494159e-24,5.1931781586530769e-18,2.0829803253078377e-24,2.854325743876163e-18,4.6540898701451132e-24,4.6540914468386041e-24,1.3804976673506297e-30,1.9619415128857764e-31,1.1495807638794147e-19,1.1769463225862206e-55,1.093311625566895e-55,1.0933116278094401e-55,8.002962623749291e-28,3.9311671548714299e-15,4.277886613062646e-27,9.3293313000223698e-28,2.5250302688489297e-23,1.3956641707317025e-23,1.6718248218964013e-36
4.78246929985233e-16,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999428170605,1.0,18.999999999999993,1.6275847042240694e-10,1.0500486637868876e-09,1.0500427642599048e-09,1.20051564998632e-15,2.5722330218564136e-16,3.4390436601242036e-09,6.707494315344825e-13,1.4513852912113796e-11,1.21351729262563e-12,6.8042202169073319e-16,1.0360308960037474e-23,1.0651165550305583e-17,4.3066738318225405e-24,5.8544960868129782e-18,1.325778190014181e-23,1.3257787896353557e-23,5.2499348890595933e-30,7.4627049979576423e-31,2.3579022883355904e-19,9.6206103339231911e-55,8.9369625671908489e-55,8.9369625883234163e-55,2.2797661224026065e-27,5.6312737216124757e-15,8.7746367833163315e-27,2.6298966830323287e-27,7.1922673249672761e-23,3.9753938443593698e-23,6.3596296161638606e-36
7.6699981184641905e-16,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999999082918745,1.0,18.999999999999986,2.6102774127851247e-10,1.6840396632268467e-09,1.6840297154046217e-09,3.0871471341701619e-15,4.3547019426573489e-16,5.5135940106834605e-09,1.7244233533052093e-12,2.3271769570039846e-11,3.1198201014010573e-12,1.7494417211559362e-15,2.7174811700717253e-23,2.7386705103840064e-17,1.1151045933869112e-23,1.5054998376929379e-17,5.5088951390737884e-23,5.5088992083437295e-23,3.5625379762690867e-29,5.0672764523061517e-30,6.0634209331281324e-19,3.3606468959148221e-53,3.1218369920307061e-53,3.1218370049916224e-53,9.4730985924659773e-27,9.0317446209324481e-15,2.2565808137693869e-26,1.0648053226416137e-26,2.9879018279976324e-22,1.6515079217180883e-22,4.3191818402683063e-35
1.0254824850034424e-15,0.45182913330343727,154.0,0.0,0.0,0.0,0.99999998773862242,1.0,18.999999999999979,3.4899536102039015e-10,2.2515684263896806e-09,2.2515545288719476e-09,5.5181681509713274e-15,5.9475200989940661e-16,7.3694842683713615e-09,3.0817480889340662e-12,3.1108288494536789e-11,5.5754867959604884e-12,3.1266741087986946e-15,4.8977844627773844e-23,4.894857723468724e-17,1.9988202451425898e-23,2.6910369505849055e-17,1.2836312866275618e-22,1.2836324841388043e-22,1.0483430097264553e-28,1.4916696091501984e-29,1.0838201984165482e-18,2.0220262766969687e-52,1.8783397078492888e-52,1.8783397163847593e-52,2.2073632649347447e-26,1.2076032813905292e-14,4.0337982125178806e-26,2.4380651157870187e-26,6.9611164272660504e-22,3.8476293860857526e-22,1.2716033357219133e-34
1.2839651581604656e-15,0.45182913330343716,154.0,0.0,0.0,0.0,0.9999999846480796,1.0,18.999999999999972,4.3696298040520186e-10,2.8190967892655231e-09,2.8190786341715823e-09,8.6502923208049465e-15,7.5381399935090669e-16,9.2242574812745001e-09,4.8300189366347354e-12,3.8941693262235756e-11,8.7384516946285944e-12,4.9007679586449631e-15,7.7158546045347302e-23,7.6725319289950893e-17,3.138463065511446e-23,4.2184883872489407e-17,2.4797420842196831e-22,2.4797448861133607e-22,2.4527607431176726e-28,3.4912995769324027e-29,1.6990063765018858e-18,8.147880431813571e-52,7.5688866619711115e-52,7.5688867020261923e-52,4.2642845317394147e-26,1.5120596413405293e-14,6.3237637552921545e-26,4.6280135514438566e-26,1.3445623520973117e-21,7.4318216764691355e-22,2.9766031867009099e-34
1.5424478313174889e-15,0.4518291333034371,154.0,0.0,0.0,0.0,0.99999998155755832,1.0,18.999999999999964,5.2493059943294954e-10,3.3866247518423747e-09,3.3866020313129222e-09,1.2483510272838394e-14,9.1281653728497066e-16,1.1077914288051577e-08,6.9690123757484221e-12,4.6771985048696523e-11,1.260831040504577e-11,7.0715749190099028e-15,1.1171683113304694e-22,1.1071531393626525e-16,4.5339373857142685e-23,6.0878526242471897e-17,4.2483877395978148e-22,4.2483933575045321e-22,4.9176611566572285e-28,7.0023958912092928e-29,2.4519005353836808e-18,2.7062032844559191e-51,2.5138987323088865e-51,2.5138987469340603e-51,7.3058363867128005e-26,1.8165435419409987e-14,9.1265576845558311e-26,7.7953095574290279e-26,2.3032222540500919e-21,1.2730638319960787e-21,5.9708114939950533e-34
