Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254)
4.8709345967702585e-21,0.8720290967521344,154.0,0.0,0.0,0.0,0.99999999999969735,1.0,19.0,4.4177698764539432e-15,1.6188277869859072e-14,1.6188093001063846e-14,1.3737783625347474e-25,1.3737036403101321e-25,2.6343845538605928e-13,7.4089442526914933e-22,2.4577231080972086e-15,1.5666447638431296e-21,7.3271751786837557e-26,4.2029476851250277e-37,3.24909187349257e-26,4.4802712022350519e-37,3.879551636054495e-27,2.3107536089576919e-37,2.3107536089673072e-37,8.3699125900526409e-49,1.2456290502562145e-49,4.1986474641666591e-29,2.1389891356465378e-87,1.9698255779027538e-87,1.9698255779030951e-87,3.8087182937881936e-42,1.84868864701856e-19,3.5542891983085461e-36,5.8662719838686103e-42
9.746101108915643e-21,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999939437,1.0,19.0,8.8393779543624435e-15,3.2390620272619471e-14,3.2390250374552054e-14,5.4986936184031508e-25,5.4980326223163147e-25,5.2710578397454316e-13,2.9655085050510453e-21,4.9175814809046683e-15,6.2706618016228751e-21,2.9327795717912878e-25,3.3635792180062658e-36,1.3004834807163005e-25,3.5830492792524008e-36,1.5528316946505416e-26,1.8500079241596228e-36,1.8500079241750199e-36,1.3402764943151794e-47,1.9946294003651319e-48,1.6805531848153328e-28,2.7434660842876092e-85,2.5264970143626377e-85,2.5264970143635149e-85,3.049290551234686e-41,3.6989834544027859e-19,1.4226419551125277e-35,4.6965802439299028e-41
1.9496434133206413e-20,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999878841,1.0,19.0,1.7682594110173557e-14,6.4795305076835575e-14,6.4794565120640321e-14,2.2001936841945775e-24,2.1996396287757658e-24,1.0544404270722578e-12,1.186589659287878e-20,9.8372981393576963e-15,2.5090814738936134e-20,1.1734938276278213e-24,2.6897520776332838e-35,5.2036278293477533e-25,2.8613185958358959e-35,6.2133494346999921e-26,1.480568594301524e-35,1.4805685943261701e-35,2.1453151146861141e-46,3.1927059866914434e-47,6.7244017614817392e-28,3.5151993836115897e-83,3.2371972077714997e-83,3.2371972077737466e-83,2.4403592039192135e-40,7.3995730742139019e-19,5.6924209077467474e-35,3.758684718897573e-40
3.899710018178795e-20,0.8720290967521344,154.0,0.0,0.0,0.0,0.99999999999757661,1.0,19.0,3.5369026421772242e-14,1.2960467468005053e-13,1.2960319460926415e-13,8.8022074074360075e-24,8.7976747345032506e-24,2.109109656950679e-12,4.7471311530858907e-20,1.9676731107616193e-14,1.0037959405023231e-19,4.6947393372378168e-24,2.1488038347291389e-34,2.0817899302706464e-24,2.2796142882965269e-34,2.4857443622165335e-25,1.184679825253854e-34,1.1846798252932953e-34,3.433202231212781e-45,5.1093688741286589e-46,2.6901985716002905e-27,4.5017368083658659e-81,4.1457135815377314e-81,4.1457135815434861e-81,1.9526581480364935e-39,1.4800752334006795e-18,2.2773390395582123e-34,3.0075078681378286e-39
7.799843227895102e-20,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999515299,1.0,19.0,7.0741891044875435e-14,2.5922341386562362e-13,2.5922045357230124e-13,3.5211695118538495e-23,3.5175046368880622e-23,4.2184478914395119e-12,1.899006888502697e-19,3.9355595649543059e-14,4.0155103033674185e-19,1.8780484871767857e-23,1.7137803587270214e-33,8.3278371181858098e-24,1.8082588819378427e-33,9.943786679079693e-25,9.4783384935382458e-34,9.4783384941693758e-34,5.4936811003852101e-44,8.1758213527015966e-45,1.0761670084348054e-26,5.7636837842518458e-79,5.3078585359764944e-79,5.30785853599123e-79,1.5622748490381243e-38,2.9603110934275226e-18,9.1100976135788188e-34,2.4062171746794049e-38
1.5600109647327717e-19,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999999030575,1.0,19.0,1.414876202907051e-13,5.1846089215343954e-13,5.1845497144153264e-13,1.4085251120317851e-22,1.4055798959186592e-22,8.4371234593453305e-12,7.5963357241612128e-19,7.8713319155037006e-14,1.6062692849033667e-18,7.5124989525903871e-23,1.3624865530427527e-32,3.3312701329430929e-23,1.4223160288404e-32,3.9776765201674444e-24,7.5830307644625628e-33,7.5830307654724146e-33,8.7903326852351052e-43,1.3081977894202742e-43,4.3048432008139689e-26,7.3784502065692171e-77,6.7949199470854938e-77,6.794919947123221e-77,1.2498792159287177e-37,5.9207828457542636e-18,3.6441873814848199e-33,1.9250370069056115e-37
3.1200642486192945e-19,0.872029096752134,154.0,0.0,0.0,0.0,0.99999999998061129,1.0,19.0,2.8297907878085754e-13,1.0369358483965236e-12,1.0369240069526256e-12,5.6342150285467422e-22,5.6106348030526819e-22,1.687447099087112e-11,3.0385953684819785e-18,1.5742874385259218e-13,6.4252062927149652e-18,3.0050601736756341e-22,1.0764981225456294e-31,1.3325349519311454e-22,1.1007508189665891e-31,1.5911029757344245e-23,6.0665685933528935e-32,6.0665685949686968e-32,1.4064876638924249e-41,2.0931691679673367e-42,1.7219723153590823e-25,1.6533968638131788e-74,1.5226367350337606e-74,1.5226367350506405e-74,9.999271101144411e-37,1.1841726479499977e-17,1.4577046520961217e-32,1.5400211713787565e-36
6.24017081639234e-19,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999996122224,1.0,19.0,5.6596199575513516e-13,2.0738857595586404e-12,2.0738620770653288e-12,2.2537088987588955e-21,2.2348925862237835e-21,3.3749151636791612e-11,1.215449918216189e-17,3.1485950399402235e-13,2.5701074068690032e-17,1.2020358607633495e-21,8.4034235135350022e-31,5.3301923348161426e-22,8.265096551041069e-31,6.3644766179212974e-23,4.8533124523002801e-31,4.8533124548855961e-31,2.2504046074349646e-40,3.349111568835561e-41,6.8879593400223689e-25,2.1234875290470787e-72,1.9555499286955383e-72,1.9555499287389676e-72,7.9995118646460936e-36,2.3683614263360306e-17,5.8308782620254084e-32,1.231959581805723e-35
1.2480383951938432e-18,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999992244426,1.0,19.0,1.1319278296795806e-12,4.1477855766350787e-12,4.1477382136528111e-12,9.0148811385347844e-21,8.8654147785835396e-21,6.7498455260206832e-11,4.8618196542260442e-17,6.2972066726256664e-13,1.0280471878726801e-16,4.808164407479514e-21,6.411386831906245e-30,2.1320864226753741e-21,5.8850465915771999e-30,2.5458035734808099e-22,3.882672967658495e-30,3.8826729717950118e-30,3.6006565998507471e-39,5.3586071841068134e-40,2.7551977580045568e-24,2.7181673907505885e-70,2.5031990900862702e-70,2.5031990901974561e-70,6.3996475383526432e-35,4.7367391896556611e-17,2.3323634388780137e-31,9.8545836950929285e-35
2.4960810223030616e-18,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999984488819,1.0,19.0,2.2638594974320337e-12,8.2955851901729706e-12,8.2954904722760701e-12,3.6059613792923725e-20,3.488174093678206e-20,1.3499683183412253e-10,1.9447290096663175e-16,1.2594415657456292e-12,4.112191178944988e-16,1.9232678618096999e-20,4.6925797380125914e-29,8.5283565345293526e-21,3.8530323123119718e-29,1.0183240012669007e-21,3.1061475358725412e-29,3.1061475424909445e-29,5.761025147778827e-38,8.5737814855273929e-39,1.1020819124240324e-23,3.4792756533713604e-68,3.2041145406679976e-68,3.2041145409526353e-68,5.1197333343547422e-34,9.4734955424851859e-17,9.3294796499956814e-31,7.8818486561950928e-34
3.74412364941228e-18,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999976733212,1.0,19.0,3.3957911650880473e-12,1.2443384783461294e-11,1.2443242716347628e-11,7.6626733007189676e-20,7.3287950903506335e-20,2.0249497773591174e-10,4.1325466586924811e-16,1.8891610361779039e-12,8.7384009967716912e-16,4.0869431626820389e-20,1.2768996734062285e-28,1.8122755262868304e-20,9.8977196288093819e-29,2.1639400950481535e-21,8.881647289374381e-29,8.8816473137344369e-29,2.1204335873094231e-37,3.1557201220818443e-38,2.3419258249339651e-23,1.7951778479832175e-67,1.6532048683732722e-67,1.6532048685480247e-67,1.4639286762799645e-33,1.421025272150499e-16,1.9825162540816798e-30,2.253415384078725e-33
4.9921662765214984e-18,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999968977604,1.0,19.0,4.5277228326476225e-12,1.6591184356854996e-11,1.6590994945867485e-11,1.3071623716811332e-19,1.2372911419433934e-19,2.6999289296636275e-10,7.0496324202503201e-16,2.5188790785626299e-12,1.490667137142444e-15,6.9718405117042433e-20,2.5784069495610376e-28,3.0915275490732003e-20,1.9069068185381085e-28,3.6914286269731906e-21,1.8733974143732891e-28,1.8733974205515106e-28,5.3778631459277021e-37,8.0035857724690573e-38,3.9950515172557922e-23,9.793329411892188e-67,9.0188166484484371e-67,9.0188166494212448e-67,3.0878580995145596e-33,1.8947010726715077e-16,3.3819413805278461e-30,4.7525291494361044e-33
7.488251530739936e-18,0.8720290967521344,154.0,0.0,0.0,0.0,0.99999999953466401,1.0,19.0,6.7915861675404379e-12,2.4886783458012405e-11,2.4886499370755249e-11,2.7063145005991356e-19,2.5179533324618665e-19,4.0498818205820209e-10,1.4595343823379475e-15,3.7783118118019603e-12,3.0862317488267604e-15,1.4434293519102154e-19,6.5685405789487735e-28,6.4006089225460826e-20,4.5392372372714635e-28,7.6426368868523801e-21,5.1168314859491814e-28,5.1168315075546235e-28,1.8806551454783811e-36,2.7988898098735554e-37,8.271249947839913e-23,1.3601235127124438e-65,1.2525571304351635e-65,1.2525571305888395e-65,8.433940814755193e-33,2.8420528676153296e-16,7.0018848248400378e-30,1.2978005662801706e-32
9.984336784958373e-18,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999937955197,1.0,19.0,9.0554495020786167e-12,3.3182382488813692e-11,3.3182003742131235e-11,4.6027328187137314e-19,4.2131502661665836e-19,5.399826228958089e-10,2.4822813471588594e-15,5.0377392936280297e-12,5.2488626481642254e-15,2.4548922012971e-19,1.293969696648592e-27,1.0885747722522754e-19,8.4667462374792839e-28,1.2998126201901994e-20,1.0706125586859629e-27,1.0706125640845533e-27,4.6992247356389134e-36,6.9936568066630628e-37,1.4067232913375375e-22,6.2522979628876173e-65,5.7578303185856332e-65,5.7578303193825138e-65,1.7646692504336364e-32,3.7894049663787922e-16,1.1908378222693468e-29,2.7149453989918156e-32
1.248042203917681e-17,0.872029096752134,154.0,0.0,0.0,0.0,0.99999999922443994,1.0,19.0,1.131931283623682e-11,4.1477981446386078e-11,4.1477508056173187e-11,7.0319362319769509e-19,6.3309663292547428e-19,6.749761548948637e-10,3.7923578866830027e-15,6.2971611489615374e-12,8.0190610475234726e-15,3.7505154859504117e-19,2.220456992628449e-27,1.6630943293853483e-19,1.3840702733611944e-27,1.9858202283448306e-20,1.9490095667835102e-27,1.9490095782371623e-27,9.9698728740409537e-36,1.4837789656817624e-36,2.1491556475425905e-22,2.3083598543451815e-64,2.1258014955423978e-64,2.1258014958620918e-64,3.2125216627072305e-32,4.7367573906633058e-16,1.8193319150342884e-29,4.9415515417540436e-32
1.7472592547613683e-17,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999891421609,1.0,19.0,1.5847039503389462e-11,5.806917915054115e-11,5.8068516508653672e-11,1.3522164079285544e-18,1.1728042097188313e-18,9.4496043532507059e-10,7.2925367745613884e-15,8.8159876268739919e-12,1.5420300334166426e-14,7.2120843742148666e-19,5.0974073430954878e-27,3.198062195571849e-19,2.9139920867787898e-27,3.8186623611800425e-20,5.1459611229284803e-27,5.145961164890537e-27,3.6525972077549816e-35,5.43608490750217e-36,4.1327508423303174e-22,2.8298690379467056e-63,2.6060667443717995e-63,2.6060667450288608e-63,8.4820338252404149e-32,6.6314632362428635e-16,3.4985137343856097e-29,1.3040646270192207e-31
2.2464763056050557e-17,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999860399214,1.0,19.0,2.0374766168998836e-11,7.4660376585598819e-11,7.4659524728270401e-11,2.2176312968491351e-18,1.8558376355787485e-18,1.2149410245597483e-09,1.1959688211055584e-14,1.1334791252944709e-11,2.5289140092261961e-14,1.182776092918277e-18,9.3942541235039175e-27,5.2447987220944661e-19,5.0488692086626624e-27,6.2625968091008444e-20,1.0668867004669522e-26,1.0668867113629526e-26,9.4844380667769138e-35,1.4115623002081722e-35,6.7777014898872067e-22,1.4107350287563229e-62,1.2991660036331417e-62,1.2991660040262454e-62,1.7585410650474888e-31,8.5261704039360232e-16,5.7375578685450177e-29,2.7024337980822271e-31
3.244910407292431e-17,0.872029096752134,154.0,0.0,0.0,0.0,0.99999999798354466,1.0,19.0,2.9430219495588474e-11,1.0784277072429436e-10,1.0784154046901134e-10,4.5975456332669224e-18,3.5760687463000529e-18,1.7548911312588793e-09,2.4794334484331039e-14,1.6372329960263764e-11,5.242840676285218e-14,2.4520890062850218e-18,2.2526258475573185e-26,1.0873338512330636e-18,1.1138683406186682e-26,1.2983484646076959e-19,3.2056863126362364e-26,3.2056863609319798e-26,4.2038962201913657e-34,6.2567805737263865e-35,1.4051390411872905e-21,2.1483358877103235e-61,1.9784331630941541e-61,1.9784331640801548e-61,5.2839171429565545e-31,1.2315588705106037e-15,1.1895002655148862e-28,8.111411459841097e-31
5.24177861066718e-17,0.872029096752134,154.0,0.0,0.0,0.0,0.99999999674265072,1.0,19.0,4.7541126130251396e-11,1.7420755642787781e-10,1.7420556915654844e-10,1.1953688865132078e-17,8.0813671165309843e-18,2.8347470595941634e-09,6.4464362653132004e-14,2.6447133204622572e-11,1.3631193969818786e-13,6.3753756075908025e-18,6.7324112056862528e-26,2.8270486130742701e-18,3.0596419726492967e-26,3.375727635032121e-19,1.3782277564120278e-25,1.3782277920301075e-25,3.1003482856487657e-33,4.6145965055366178e-34,3.6533857111384195e-21,7.518982081501104e-60,6.9243379416092563e-60,6.9243379482674897e-60,2.2717299484139105e-30,1.9894441170458373e-15,3.092730178778904e-28,3.4791514613445503e-30
9.235515017416679e-17,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999999426086639,1.0,19.0,8.3762939325512593e-11,3.0693711927442712e-10,3.0693361535596375e-10,3.7051120463296642e-17,1.9617059647860634e-17,4.9942817909889744e-09,1.9980262666114747e-13,4.6595643076790141e-11,4.2248899204705895e-13,1.9760232503027538e-17,2.3162358668377515e-25,8.7623630765490069e-18,9.8620765601779004e-26,1.0463266206892735e-18,7.7609644572264085e-25,7.7609648336412874e-25,3.2764242324507612e-32,4.8772456631306518e-33,1.1323888534273952e-20,4.6907774507684971e-58,4.3198040370987613e-58,4.3198040453354426e-58,1.2792408174454062e-29,3.5052209552699171e-15,9.5861607334704314e-28,1.9495034796092172e-29
1.7222987830915678e-16,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999998929731315,1.0,18.999999999999996,1.5620656541977746e-10,5.7239621666456078e-10,5.7238966305242401e-10,1.2878630777110309e-16,4.6851851144692307e-17,9.3126428610869531e-09,6.9443771024217216e-13,8.6888276801649214e-11,1.4684105670409066e-12,6.8680559747760159e-17,8.5929381675056983e-25,3.0455549851394117e-17,3.5108950473852835e-25,3.6369437787181732e-18,5.1535629314054131e-24,5.1535634183240904e-24,4.2381501304040739e-31,6.3103663819564845e-32,3.9360920557767173e-20,4.1123603843333962e-56,3.7871316927162982e-56,3.7871317071156683e-56,8.4946546135955683e-29,6.5368000123166991e-15,3.332112685272903e-27,1.2817175024174919e-28
2.5210460644414676e-16,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999998433378023,1.0,18.999999999999993,2.2865019111903335e-10,8.3785527958443067e-10,8.3784565114603839e-10,2.7590828843143405e-16,7.6374112458441472e-17,1.3630059548623069e-08,1.4876396144392158e-12,1.2717506308065465e-10,3.1456611558188194e-12,1.4713176255350978e-16,1.8857071919795951e-24,6.5244205447298464e-17,7.5876773196060867e-25,7.7917042318631585e-18,1.5485615549480827e-23,1.5485617504904492e-23,1.7019748764344987e-30,2.5344878715062813e-31,8.4325981041087103e-20,3.6065818669315353e-55,3.3213530497926551e-55,3.3213530642495491e-55,2.5525124605001259e-28,9.568412910158314e-15,7.1387197229785242e-27,3.8250021562722814e-28
3.3197933457913674e-16,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999997937026763,1.0,18.999999999999989,3.0109381642328184e-10,1.1033143100870175e-09,1.1033015796372289e-09,4.7841665180445474e-16,1.0613544121187273e-16,1.7946532050322315e-08,2.5793461430846559e-12,1.6745600272250201e-10,5.4541092429847709e-12,2.5510927367356544e-16,3.3108476504025595e-24,1.1312655258479903e-16,1.3216314465506005e-24,1.3510604761286712e-17,3.4314996495791439e-23,3.431500186237648e-23,4.670927563321235e-30,6.9565746992305619e-31,1.4621906520692716e-19,2.0374304099233503e-54,1.876298954818321e-54,1.8762989637818506e-54,5.6561982187702923e-28,1.2600059648799633e-14,1.2378479178155691e-26,8.4211572871501089e-28
4.118540627141267e-16,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999997440677535,1.0,18.999999999999986,3.7353744133252423e-10,1.3687733086126066e-09,1.3687574485264236e-09,7.3631098068519073e-16,1.3570027884159231e-16,2.2262060569400336e-08,3.9694930479372168e-12,2.0773109656236355e-10,8.3936189739804601e-12,3.9260837603836615e-16,5.1347077307401874e-24,1.7410075582909606e-16,2.0396558674130838e-24,2.0793642246109119e-17,6.4270465634133683e-23,6.4270477608822425e-23,1.0422268293228213e-29,1.5524204320298216e-30,2.250401701353242e-19,8.4271761426854796e-54,7.7607077648196064e-54,7.7607078055895289e-54,1.059383952851244e-27,1.563174022824994e-14,1.9051434653029728e-26,1.5671513634775346e-27
5.716035189841067e-16,0.8720290967521342,154.0,0.0,0.0,0.0,0.99999996447985184,1.0,18.999999999999979,5.1842468996599643e-10,1.8996912094069139e-09,1.8996690075004036e-09,1.4182559989165674e-15,1.9458388202158701e-16,3.0890286412795901e-08,7.6448698867012079e-12,2.8826374993115076e-10,1.6165319899813836e-11,7.5615387360693925e-16,9.9785749268015347e-24,3.3531792884568495e-16,3.9410949546751155e-24,4.0052116818197497e-17,1.6730702444062343e-22,1.6730706560456124e-22,3.5826168338811875e-29,5.3377694869665285e-30,4.3346643454168374e-19,8.122052230712968e-53,7.4797150471396149e-53,7.4797150963957212e-53,2.7577743528827671e-27,2.169520290961837e-14,3.6697095623023895e-26,4.027932956296315e-27
7.313529752540867e-16,0.872029096752134,154.0,0.0,0.0,0.0,0.99999995455300938,1.0,18.999999999999972,6.6331193701946199e-10,2.4306089818542459e-09,2.4305803280713909e-09,2.32174002020958e-15,2.5317592195858238e-16,3.9514738707604577e-08,1.2513255174303787e-11,3.6877302988119542e-10,2.6459675044711996e-11,1.2377304464845096e-15,1.641728686925046e-23,5.4888101299203392e-16,6.462886268869332e-24,6.5567103574666348e-17,3.4567959345594201e-22,3.4567969855131645e-22,9.1464762799349434e-29,1.3630611629648891e-29,7.0960475751092721e-19,3.9498443323904561e-52,3.6374687025873185e-52,3.6374687295870997e-52,5.6979791042897002e-27,2.7758800954351833e-14,6.0076052962396855e-26,8.2203636291988232e-27
8.911024315240666e-16,0.872029096752134,154.0,0.0,0.0,0.0,0.9999999446262483,1.0,18.999999999999964,8.0819918249293256e-10,2.9615266256483673e-09,2.9614914102429716e-09,3.4467595490405173e-15,3.1182251579865205e-16,4.8135419167914751e-08,1.8574106988080527e-11,4.492589434580562e-10,3.9275538499266483e-11,1.837298302364437e-15,2.4450814764146839e-23,8.1477452456444268e-16,9.6048206867964095e-24,9.7338576934981192e-17,6.2158584253627067e-22,6.2158606777336728e-22,1.9601846639779838e-28,2.9218630235053185e-29,1.0534551222765773e-18,1.447281381573271e-51,1.3328223625150902e-51,1.3328223735248086e-51,1.0245915588231042e-26,3.3822534362544947e-14,8.918867558139231e-26,1.4600309504501791e-26
1.2106013440640265e-15,0.872029096752134,154.0,0.0,0.0,0.0,0.9999999247729694,1.0,18.99999999999995,1.0979736686999373e-09,4.0233615275504449e-09,4.023312859401865e-09,6.3613915385465959e-15,4.2916101272778016e-16,6.5365471250171344e-08,3.4271102959780984e-11,6.1016069889679894e-10,7.2467334536074425e-11,3.3902530966976626e-15,4.5302231416654175e-23,1.5034926042689936e-15,1.774830534849025e-23,1.796508843106667e-16,1.5523989776436601e-21,1.5523997434207685e-21,6.6638390889978067e-28,9.9393199835976191e-29,1.9442919168004356e-18,1.4283940830635716e-50,1.315428977705396e-50,1.3154289956657235e-50,2.5589311544798699e-26,4.595040726968739e-14,1.6461635301458496e-25,3.5489871092593426e-26
