Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951)
5.5254072174068e-19,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999944877,1.0,19.0,3.9424549205674578e-14,1.7657336351017415e-13,1.7657306712915181e-13,2.3383537729473102e-22,2.3310716805753049e-22,1.5848047511677473e-13,4.3264039506783028e-20,1.9072320763483049e-16,6.1311707409238473e-20,1.4596383216403708e-22,2.7142575864040567e-32,3.6426997751911015e-25,3.3367357398024752e-32,2.4401885628138555e-25,4.5786260578333511e-34,4.5786260612634011e-34,3.0289066846236367e-43,4.0114221172233674e-44,2.2670731142464992e-26,1.5036466672341928e-78,1.4162524839051691e-78,1.4162524839063458e-78,2.7774086977545846e-37,2.9652605930496278e-19,2.4755621118921337e-34,2.168016085309841e-37,1.3821495933298381e-33,9.7530108255726488e-34,1.2847665137742358e-49,1.0221323762046617e-39,2.6163921550934998e-63,1.4185267670581645e-50,2.6050443124997175e-49,2.539685270551297e-56,3.4000389044289647e-66
1.105561496236999e-18,0.5524701563521266,154.0,0.0,0.0,0.0,0.9999999999988971,1.0,19.0,7.8883350843246936e-14,3.5330013492053742e-13,3.5329954218832896e-13,9.3595089523655442e-22,9.3013614460951251e-22,3.1709842616532667e-13,1.7316880745570389e-19,3.8161195092083521e-16,2.4540647096688931e-19,5.8423554577197684e-22,2.1559220692394956e-31,1.4580291427120909e-24,2.6109628427996159e-31,9.7671135364633638e-25,3.6656848337683868e-33,3.6656848392609267e-33,4.8501875939128117e-42,6.423499230012213e-43,9.0742006113222125e-26,1.9285762335033832e-76,1.8164845110933628e-76,1.816484511096381e-76,2.2236157627032842e-36,5.9330983409703662e-19,9.9087014790767811e-34,1.7356184508539054e-36,1.1065594845877482e-32,7.8083347014872316e-33,2.057300359596175e-48,8.1832739929368057e-39,8.3794998905016626e-62,2.2714869861607627e-49,2.1992006275572939e-48,8.1338170225938131e-55,2.1778816322789272e-64
2.2116030452296373e-18,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999779365,1.0,19.0,1.5780095411815353e-13,7.0675367548886959e-13,7.067524908994599e-13,3.7450226612647579e-21,3.6987492992059124e-21,6.3433368764444812e-13,6.9289999308229709e-19,7.6338893769418596e-16,9.8194440750440159e-19,2.3377017799112324e-21,1.6985861920298196e-30,5.8340150830532785e-24,1.9989001954631237e-30,3.9081176162569982e-24,2.9336619224117592e-32,2.9336619312033684e-32,7.7634284799787805e-41,1.0281773545520831e-41,3.6308622069400473e-25,2.4710820915869145e-74,2.327459121045205e-74,2.3274591210529402e-74,1.7795684443503165e-35,1.1868776560836e-18,3.9647724845292173e-33,1.388841953588593e-35,8.8558293940703276e-32,6.2490341396241758e-32,3.2930204164903341e-47,6.5491062277801784e-38,2.6825677838607652e-60,3.6358455205118004e-48,1.9418278500320876e-47,2.6039070443809564e-53,1.3944350873120682e-62
4.4236861432149145e-18,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999999558675,1.0,19.0,3.1563616066701412e-13,1.4136607477336872e-12,1.4136583826928307e-12,1.4982528840168079e-20,1.4616473724981504e-20,1.2688016481411117e-12,2.7720447642257395e-18,1.5269409120514882e-15,3.9284079676139855e-18,9.3523180977210844e-21,1.3181088215132402e-29,2.3339853945755093e-23,1.4712457788395739e-29,1.5635015088106779e-23,2.3473752300478346e-31,2.3473752441171716e-31,1.2423916016829275e-39,1.6454157904660213e-40,1.4525813047855312e-24,5.5403729891479445e-72,5.2183582622170372e-72,5.2183582622516646e-72,1.4239251845910344e-34,2.3740143896663848e-18,1.5861681442603786e-32,1.1109961549900448e-34,7.0859937540304621e-31,5.0001659822429833e-31,5.2699048798691657e-46,5.2402799715617401e-37,8.5860220106645822e-59,5.8184950915011624e-47,1.844690916739427e-46,8.3341961073965154e-52,8.9262291777085778e-61
8.847852339185469e-18,0.5524701563521266,154.0,0.0,0.0,0.0,0.99999999999117295,1.0,19.0,6.3130657376092535e-13,2.8274748575582932e-12,2.8274701437640085e-12,5.9934989599021615e-20,5.7071617196961439e-20,2.5377273193709107e-12,1.1089030314146984e-17,3.0540368640503688e-15,1.5714838231121613e-17,3.7412227123977169e-20,9.9439699220560705e-29,9.3366971956034126e-23,1.0135320282753087e-28,6.2545148819163585e-23,1.8780784394874008e-30,1.8780784620003109e-30,1.9879977140273902e-38,2.6329243808142046e-39,5.8107980639890286e-24,7.1167916852040416e-70,6.703153158341368e-70,6.7031531584304735e-70,1.1392483911984483e-33,4.7482922152705511e-18,6.3451967954839494e-32,8.8842014486783375e-34,5.6693088272957967e-30,4.0004953607611809e-30,8.4327059200646128e-45,4.1926219570961545e-36,2.7478159687250379e-57,9.3104065206258834e-46,1.9414308741314007e-45,2.6671856939474157e-50,5.7133173847981289e-59
1.7696184731126578e-17,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999998234546,1.0,19.0,1.2626473999335075e-12,5.6551029451853404e-12,5.6550935758441276e-12,2.3974968727547227e-19,2.1782319937545333e-19,5.0755376634387319e-12,4.4357516713454967e-17,6.1081967815202327e-15,6.2861330498645e-17,1.4965427889537366e-19,7.1367303936831612e-28,3.7348274825327358e-22,6.3302834680472235e-28,2.5019076343745608e-22,1.5025339928664248e-29,1.5025340288878906e-29,3.180858686312735e-37,4.2128654010045223e-38,2.3244137721554224e-23,9.1106016674788714e-68,8.5810799408883012e-68,8.5810799411164459e-68,9.1144210937264297e-33,9.4968653002329687e-18,2.5381882701799906e-31,7.100330543214179e-33,4.5356232770932657e-29,3.2005206328934294e-29,1.3493016755343628e-43,3.3542566733186839e-35,8.7934738616729798e-56,1.4896983435530398e-44,2.2981147727995902e-44,8.5352033269545018e-49,3.6566166181104835e-57
3.5392849515008795e-17,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999996469036,1.0,19.0,2.5253290522177096e-12,1.1310358637544538e-11,1.1310340079755559e-11,9.5901804818924928e-19,7.9750155694198651e-19,1.0150994363305729e-11,1.774304009308168e-16,1.2216388673028305e-14,2.5144579543299273e-16,5.9862354495433562e-19,4.7279385937465438e-27,1.4939586989080964e-21,3.5054337869934845e-27,1.0007833173527876e-21,1.2020555880275675e-28,1.202055645660107e-28,5.0891851235941574e-36,6.740666835418434e-37,9.2978439857554812e-23,1.1662127836453838e-65,1.0984307623322493e-65,1.0984307623906566e-65,7.2917120160938302e-32,1.8994081205171913e-17,1.0153009825379365e-30,5.6686454248321408e-32,3.6285221900517309e-28,2.5604331365105898e-28,2.1589379054389805e-42,2.6834688367292827e-34,2.8139859683437066e-54,2.3834420689080908e-43,3.0303983817003116e-43,2.7311835753545651e-47,2.3401668388412363e-55
5.308951429889101e-17,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999994703526,1.0,19.0,3.7880107044409503e-12,1.6965613885470988e-11,1.6965586223418319e-11,2.0379252359204635e-18,1.5968967245693396e-18,1.5226287080202376e-11,3.7703704685726557e-16,1.8324452623784583e-14,5.3431869430234139e-16,1.2720742029802121e-18,1.2216330239026259e-26,3.1746772878598697e-21,8.3420994010633047e-27,2.126677132002828e-21,3.4371484235055897e-28,3.4371486356270214e-28,1.8731123912150618e-35,2.4810113033825807e-36,1.9758036313707652e-22,6.0172371388393517e-65,5.6675063700551068e-65,5.6675063704136984e-65,2.0849872648661407e-31,2.8491366845122758e-17,2.1575350345376105e-30,1.61896196678253e-31,1.0375266130140238e-27,7.3212106209286413e-28,7.946370947573588e-42,7.6730901610935825e-34,1.2847722528935901e-53,8.7724597824397406e-43,1.0622832745515821e-42,1.2469389947624872e-46,1.285740022076934e-54
7.078617908277323e-17,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999992938016,1.0,19.0,5.0506923566032288e-12,2.2620868721698006e-11,2.2620832006832542e-11,3.4764711119490655e-18,2.5832791683772062e-18,2.0301415819426799e-11,6.4317530485259738e-16,2.4432388636468893e-14,9.114769807408192e-16,2.1700024838772122e-18,2.3643837826007151e-26,5.41563675814813e-21,1.520716726518548e-26,3.627872143443575e-21,7.2499655085731894e-28,7.2499660465475778e-28,4.750505216545562e-35,6.2923665213647769e-36,3.3704990592887805e-22,3.2826448121292354e-64,3.0918526152512864e-64,3.091852615450908e-64,4.3978583469307467e-31,3.7988722220083349e-17,3.6805244421127026e-30,3.411192418444326e-31,2.1884318355895601e-27,1.5442466915965205e-27,2.0153786803964077e-41,1.6184823404144565e-33,3.8295538643029465e-53,2.2248382942936619e-42,2.6152464774400934e-42,3.7167063062481388e-46,4.4205740275044594e-54
1.0617950865053765e-16,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999989407007,1.0,19.0,7.576055660784712e-12,3.393137751094768e-11,3.3931322728180179e-11,7.1976124176016159e-18,4.9118743985846269e-18,3.0451288468752703e-11,1.331590773005411e-15,3.664796040732821e-14,1.8870661361021578e-15,4.4926825957077913e-18,5.6634921316517708e-26,1.1212401305664325e-20,3.376732679178937e-26,7.511070899217985e-21,1.9801970699753158e-27,1.980197258100405e-27,1.661204431122468e-34,2.2004575730376515e-35,6.9782115485833854e-22,4.5590730090892129e-63,4.2940929091883683e-63,4.2940929095037174e-63,1.2011966237554954e-30,5.698359663379637e-17,7.6201240370842177e-30,9.300362027924812e-31,5.9772172671974323e-27,4.2177681012500968e-27,7.0479049791476733e-41,4.4205922144200699e-33,1.6762770390347062e-52,7.7800728254386165e-42,8.8470184619826921e-42,1.6268233234180384e-45,2.3774026875027189e-53
1.4157283821830209e-16,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999985875998,1.0,19.0,1.0101418964742017e-11,4.5241884993029012e-11,4.5241812124766621e-11,1.2241272298889955e-17,7.7213225129806812e-18,4.0600558157703599e-11,2.2646488514401761e-15,4.8863061726527525e-14,3.2093509840720414e-15,7.6408156941827798e-18,1.061467664716637e-25,1.9069356824369928e-20,5.992605404167844e-26,1.2774385478195417e-20,4.1432426552670766e-27,4.1432431253252671e-27,4.1507489872476551e-34,5.4983116853137175e-35,1.1868130635144602e-21,2.0957480623961395e-62,1.9739400706100544e-62,1.9739400707735781e-62,2.5133119976360884e-30,7.5978727487994325e-17,1.2959926689209786e-29,1.9428591551017354e-30,1.2506197203027112e-26,8.824882426585118e-27,1.7610837624854364e-40,9.2493757895673397e-33,4.8838766607496254e-52,1.9439659701769281e-41,2.1673415526371675e-41,4.7396615783611149e-45,7.9232372578293979e-53
1.7696616778606652e-16,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999982344989,1.0,19.0,1.2626782268459134e-11,5.6552391202711574e-11,5.6552300101966998e-11,1.8701915444717156e-17,1.0917856533551968e-17,5.0749181853090945e-11,3.4598096453386759e-15,6.1077659008287901e-14,4.9030751425047447e-15,1.1673337536060908e-17,1.7422093330743316e-25,2.9133648112994852e-20,9.4250980401368501e-26,1.9516395154623357e-20,7.5426248991129878e-27,7.5426258963594203e-27,8.805941558205366e-34,1.1665190442201657e-34,1.8131842402788488e-21,7.7375589127808253e-62,7.2878404923594644e-62,7.2878404930154919e-62,4.5753980465063863e-30,9.4974133099840971e-17,1.9799970138673345e-29,3.5311951345683346e-30,2.2766778927304478e-26,1.6065167050085427e-26,3.7363380622677597e-40,1.6838158015994255e-32,1.1857802129565117e-51,4.1241990015439981e-41,4.5311357360258351e-41,1.1507334229766596e-44,2.1691600645909767e-52
2.4775282692159537e-16,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999975282972,1.0,19.0,1.7677508875157708e-11,7.9173400259363794e-11,7.9173271709058217e-11,3.5963151928109144e-17,1.796225928149163e-17,7.1044450925560568e-11,6.6528057937219539e-15,8.5505309920164555e-14,9.4280350825808903e-15,2.2446929112866564e-17,3.6913506904670492e-25,5.6022810885736199e-20,1.8792485817572899e-25,3.7529379935692247e-20,1.9914789101532306e-26,1.9914792754726817e-26,3.2258270589756872e-33,4.2736608361949679e-34,3.4866936991149466e-21,9.4856849027919224e-61,8.9343628236786198e-61,8.9343628250269509e-61,1.2080442837078971e-29,1.3296578585506913e-16,3.8075172609905314e-29,9.2825241276722446e-30,6.0108915172321118e-26,4.241530020706852e-26,1.3688829055300631e-39,4.4457785221142907e-32,6.1343996237318175e-51,1.5108108563745231e-40,1.618546906026113e-40,5.9524402232537149e-44,1.6201101561095863e-51
3.893261451926531e-16,0.5524701563521266,154.0,0.0,0.0,0.0,0.99999999961158947,1.0,19.0,2.7778962085630204e-11,1.244154062522702e-10,1.2441519764039295e-10,8.7739215332511925e-17,3.3393254356572257e-17,1.1162712556413706e-10,1.6229304136727615e-14,1.3435447559419027e-13,2.2999386050514979e-14,5.476106863387292e-17,9.9384875925328294e-25,1.3667761273471973e-19,4.7473683129675706e-25,9.1560395869901016e-20,7.7007441645590219e-26,7.7007464806775641e-26,2.0451112602038362e-32,2.7100641354712091e-33,8.5064868230526528e-21,2.6519489740718267e-59,2.4978137788379214e-59,2.4978137795602878e-59,4.6713386772765118e-29,2.089524369035276e-16,9.2894516649311053e-29,3.5536968962714963e-29,2.3241247830523444e-25,1.639997161717099e-25,8.6810922376986552e-39,1.7191148997503718e-31,6.6315088844463547e-50,9.5785161136579521e-40,9.999256374543945e-40,6.4330389122539134e-43,3.0992496344628424e-50
5.308994634637108e-16,0.5524701563521266,154.0,0.0,0.0,0.0,0.99999999947034968,1.0,19.0,3.7880415292199835e-11,1.6965739699624892e-10,1.6965710050816641e-10,1.6253979671466596e-16,4.9691196768765322e-17,1.5219930837160318e-10,3.0062713970026489e-14,1.8319545364117072e-13,4.2603426401155591e-14,1.0144217283274792e-16,1.9326446616917814e-24,2.5319791562048536e-19,8.9426576906464702e-25,1.6961875849697892e-19,1.9111334775589487e-25,1.9111342319548617e-25,6.6611195413656581e-32,8.8283675773891709e-33,1.5758562704637058e-20,1.7713571475253479e-58,1.6684032544891353e-58,1.6684032550562999e-58,1.1593135698700339e-28,2.8494355250391118e-16,1.720946034875936e-28,8.7492507445451799e-29,5.7675129235223805e-25,4.0697921578256377e-25,2.8280995647668796e-38,4.266417066596942e-31,2.7682806090634388e-49,3.119872633588071e-39,3.2253804161124782e-39,2.6850087399547949e-42,1.6156488000211254e-49
8.140461000058263e-16,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999918787041,1.0,19.0,5.8083321693634021e-11,2.6014133507891318e-10,2.6014083707424497e-10,3.8119333371526279e-16,8.2569332563287612e-17,2.3331222191018354e-10,7.0490766997031679e-14,2.8085286130525241e-13,9.9896110736719398e-14,2.3788239007362848e-16,4.7526378260877395e-24,5.937980177080944e-19,2.1312599589588419e-24,3.9779563253610223e-19,6.9412571170010154e-25,6.9412614339984398e-25,3.8115959411493648e-31,5.0539986583477045e-32,3.6957540932330887e-20,4.3514119630893968e-57,4.0985015132927451e-57,4.0985015156838502e-57,4.2106666716567748e-28,4.3693917331907458e-16,4.0362406768695177e-28,3.1177983442896657e-28,2.0944262201326419e-24,1.4779124901025902e-24,1.6192102141874711e-37,1.5495679060770087e-30,2.5479089417168112e-48,1.785333760233363e-38,1.8251508841999051e-38,2.470020442522046e-41,2.4370922498910523e-48
1.3803393730900573e-15,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999862291444,1.0,19.0,9.848913444968298e-11,4.4110903868914057e-10,4.4110803353550539e-10,1.0947029361688756e-15,1.4845520156515777e-16,3.9541233253963894e-10,2.0235453651003299e-13,4.7606952998231435e-13,2.8676707673245091e-13,6.8300819887241175e-16,1.4161457118996529e-23,1.7051994879032113e-18,6.196379502718657e-24,1.1423840633708073e-18,3.4686565830430903e-24,3.4686604577861637e-24,3.4207114441874333e-30,4.5403017441559938e-31,1.0613433160828824e-19,2.1095649061390997e-55,1.9869539410825692e-55,1.9869539433572457e-55,2.1041653683886985e-27,7.4098397247789221e-16,1.1592539635123969e-27,1.4963139104877506e-27,1.0462466987691909e-23,7.3827430220151666e-24,1.455036489156936e-36,7.7434448866151795e-30,4.2434320852090329e-47,1.6024346526233505e-37,1.6252084557593316e-37,4.1089401216705463e-40,7.6992937103821582e-47
1.9466326461742882e-15,0.5524701563521266,154.0,0.0,0.0,0.0,0.9999999980579618,1.0,19.0,1.3889494714330686e-10,6.2207651255825658e-10,6.2207486110996879e-10,2.1764748541642247e-15,2.1426866874489666e-16,5.5734494189799863e-10,4.0217956818840966e-13,6.7115539811777759e-13,5.6994946140310257e-13,1.3577073519167494e-15,2.859519842857117e-23,3.3901564466820854e-18,1.238220224452847e-23,2.2712791429799365e-18,9.4859000297783953e-24,9.4859141162977171e-24,1.2434987671061063e-29,1.6515263574136823e-30,2.1101575553638079e-19,1.6283036638795786e-54,1.5336643095457111e-54,1.5336643115811522e-54,5.7544240968525027e-27,1.0451001807352855e-15,2.3050511848048922e-27,3.9723720288810331e-27,2.8604650951180858e-23,2.0184607194167566e-23,5.2935847378834743e-36,2.1176382306966539e-29,1.9832410931730074e-46,5.825607262086115e-37,5.8958472467194638e-37,1.9192386745000423e-39,4.4718259966143135e-46
2.5129259192585192e-15,0.5524701563521267,154.0,0.0,0.0,0.0,0.99999999749301249,1.0,18.999999999999993,1.7930075977450621e-10,8.0304375678842759e-10,8.0304131980400445e-10,3.626502723549084e-15,2.800260553121709e-16,7.1911021575254456e-10,6.698986042670848e-13,8.6611054990561411e-13,9.4934795030492412e-13,2.2618613639051078e-15,4.805374958918939e-23,5.6486114629653169e-18,2.0687633698360918e-23,3.7844767304366335e-18,1.9976760595988576e-23,1.9976797158754078e-23,3.2273884153443766e-29,4.2888675973370518e-30,3.5160157092871283e-19,8.2218094310429065e-54,7.7439460675942605e-54,7.7439460789825481e-54,1.2118617165247151e-26,1.3492877976335724e-15,3.8411215260067757e-27,8.1390422514428675e-27,6.0224807290159616e-23,4.2497077708079003e-23,1.3749180373987955e-35,4.4596275516964187e-29,6.2065166633818896e-46,1.5120869126438199e-36,1.52884094371681e-36,6.0029263053297375e-39,1.6507141451701607e-45
