Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128)
2.3682179357012787e-17,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999983513477,1.0,19.0,6.7483386933364842e-12,1.9746791428770207e-11,1.9746791677967743e-11,6.0176899210779385e-19,5.1125692474802135e-19,1.1818752472227589e-10,1.329012614861449e-15,4.3215128113746993e-13,2.3380232684474715e-15,3.4492160003813127e-19,2.5807788063514861e-27,1.2872063127599299e-20,1.6519821152999795e-27,5.2119955537578081e-21,6.6764228576161671e-28,6.6764228576161671e-28
2.8638922388728265e-17,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999980062804,1.0,19.0,8.1607839030613592e-12,2.3879847141650364e-11,2.3879847480340594e-11,8.6267993195928358e-19,7.1437279724027793e-19,1.4292365081582509e-10,1.9052293863936207e-15,5.2259967515010524e-13,3.3517143383890508e-15,4.944691449037886e-19,4.0482351035048468e-27,1.8453003548162337e-20,2.4833325850781772e-27,7.4717778559325926e-21,1.1159392591233039e-27,1.1159392591233039e-27
3.855240845215922e-17,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999973161458,1.0,19.0,1.0985674322345686e-11,3.2145958449425741e-11,3.2145958981754283e-11,1.4863036041658583e-18,1.1795922860958996e-18,1.9239527188578268e-10,3.2824809518922413e-15,7.034949419110955e-13,5.7746004499882983e-15,8.519129282669581e-19,7.8374175051350097e-27,3.1792394956116088e-20,4.5346156991824981e-27,1.2873061054249267e-20,2.3824042141943595e-27,2.3824042141943595e-27
4.8465894515590176e-17,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999966260111,1.0,19.0,1.3810564741361884e-11,4.0412069572908922e-11,4.0412070315678306e-11,2.2749366198190398e-18,1.7334767518019126e-18,2.4186586999647473e-10,5.024133456945843e-15,8.8438774289004987e-13,8.8385473508058527e-15,1.3039327803270072e-18,1.3057296597807917e-26,4.8661265877059299e-20,7.2177608870874207e-27,1.970351191046876e-20,4.3321447143573352e-27,4.3321447143573352e-27
5.837938057902113e-17,0.9787074812125337,154.0,0.0,0.0,0.0,0.99999999959358765,1.0,19.0,1.6635455160091757e-11,4.8678180511458261e-11,4.867818147075229e-11,3.2397711174130189e-18,2.3701829035645979e-18,2.9133537578398594e-10,7.1548958775012739e-15,1.065277910872086e-12,1.2587023522684933e-14,1.8569423376026957e-18,1.9867560811125496e-26,6.9298970594438588e-20,1.0577486509044015e-26,2.8060067428622232e-20,7.1662143976710323e-27,7.1662143976710323e-27
7.820635270588304e-17,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999999945556106,1.0,19.0,2.2285235996676428e-11,6.5210401883587654e-11,6.5210403234272588e-11,5.7079729156099746e-18,3.836482092546569e-18,3.9027104897330044e-10,1.2605628274848141e-14,1.4270501996932791e-12,2.2176051522199039e-14,3.271613275532588e-18,3.8521697243434182e-26,1.2209298065377603e-19,1.9366584397728759e-26,4.9437485966878894e-20,1.6530188296360696e-26,1.6530188296360696e-26
9.803332483274495e-17,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999931753447,1.0,19.0,2.793501683209795e-11,8.1742622627879582e-11,8.1742624271228461e-11,8.8919795848049972e-18,5.5158136810462331e-18,4.8920228498705232e-10,1.9636981717389892e-14,1.7888117926443123e-12,3.4545736937112368e-14,5.0965294353471982e-18,6.3918405837202312e-26,1.901969881201916e-19,3.0906409072985333e-26,7.7014592602778704e-20,3.175477612030391e-26,3.175477612030391e-26
1.3768726908646877e-16,0.9787074812125334,154.0,0.0,0.0,0.0,0.9999999990414814,1.0,19.0,3.9234578499449246e-11,1.1480706248129768e-10,1.1480706416400069e-10,1.7408832347530141e-17,9.2644603786800802e-18,6.8705143766273182e-10,3.8444339225256328e-14,2.5123028712287258e-12,6.7631983811993716e-14,9.9778553713742149e-18,1.3512723551945788e-25,3.723634808161816e-19,6.2243241832390777e-26,1.5078023104045136e-19,8.7342834397932612e-26,8.7342834397932612e-26
2.1699515759391644e-16,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999848937648,1.0,19.0,6.1833701820184298e-11,1.8093593639388069e-10,1.809359352246869e-10,4.3038191100767267e-17,1.7575483291739249e-17,1.0826964702440789e-09,9.5036004818815094e-14,3.9591566048802432e-12,1.6718907566886546e-13,2.4666274418592994e-17,3.5926776110071518e-25,9.2052392065665622e-19,1.5794377738538514e-25,3.7275989912812521e-19,3.4755370647992724e-25,3.4755370647992724e-25
3.756109346088118e-16,0.9787074812125337,154.0,0.0,0.0,0.0,0.99999999738517076,1.0,19.0,1.0703194840578231e-10,3.1319366323642929e-10,3.1319364244544353e-10,1.2868068493100002e-16,3.5260421815986311e-17,1.8737734894004168e-09,2.8411108199609789e-13,6.8523504429262501e-12,4.998134052614687e-13,7.3743803744734264e-17,1.1344899053031718e-24,2.7520762242058213e-18,4.8143621471583873e-25,1.1145239349854156e-18,1.856018063475194e-24,1.856018063475194e-24
5.342267116237071e-16,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999999628097069,1.0,19.0,1.5223019491688421e-10,4.4545136305958238e-10,4.4545130313220526e-10,2.6016805452059611e-16,5.3409175533776102e-17,2.6645665162274106e-09,5.743505699590425e-13,9.7448595512924074e-12,1.0104080143341409e-12,1.490848692084272e-16,2.3456131130852595e-24,5.5637993076320665e-18,9.8102329956651713e-25,2.2533609009742205e-18,5.1918631418173798e-24,5.1918631418173798e-24
6.928424886386024e-16,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999999517677607,1.0,19.0,1.9742844135348998e-10,5.7770903636892902e-10,5.7770891728511983e-10,4.3750015101291582e-16,7.1521775811445243e-17,3.4550756466963869e-09,9.6572028145701811e-13,1.2636684081650311e-11,1.698912760094471e-12,2.5068385073927346e-16,3.9926319557209032e-24,9.3555022120877733e-18,1.6566673534616743e-24,3.7892714326968185e-18,1.1067848850787992e-23,1.1067848850787992e-23
8.514582656534977e-16,0.9787074812125335,154.0,0.0,0.0,0.0,0.999999994072587,1.0,19.0,2.4262668771559976e-10,7.099666832093678e-10,7.0996648490446264e-10,6.6067669977870975e-16,8.9559202697081468e-17,4.2453009807328502e-09,1.4581846206684089e-12,1.5527824192559214e-11,2.5652650217676896e-12,3.7853487069877947e-16,6.0755434257915766e-24,1.4126984996235711e-17,2.5083289685193179e-24,5.7222551413489032e-18,2.0220779546891758e-23,2.0220779546891758e-23
1.1686898196832882e-15,0.9787074812125337,154.0,0.0,0.0,0.0,0.99999999186422539,1.0,19.0,3.3302318021633219e-10,9.7448189734458512e-10,9.7448148054363603e-10,1.2445619558509158e-15,1.2556936759012036e-16,5.8249006309462534e-09,2.7462648672514826e-12,2.130805174643785e-11,4.8312793220892617e-12,7.1297113637679669e-16,1.1549033129597244e-23,2.6608545248204831e-17,4.7395581150444265e-24,1.0779439088761018e-17,5.1089422568097983e-23,5.1089422568097983e-23
1.4859213737130788e-15,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999998965588588,1.0,19.0,4.2341967241908334e-10,1.2389970054079567e-09,1.2389962900523245e-09,2.0118212361036036e-15,1.6154429737139891e-16,7.4033662700957279e-09,4.4383051809155276e-12,2.7085543489750605e-11,7.8079475526593803e-12,1.1523463275565838e-15,1.8766057901405236e-23,4.3006869028567516e-17,7.6743933366443855e-24,1.7424906298707997e-17,1.0370721104805777e-22,1.0370721104805777e-22
1.8031529277428694e-15,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999998744756846,1.0,19.0,5.1381616432385519e-10,1.5035120073813792e-09,1.5035109134333102e-09,2.9624517707505932e-15,1.9755195187010257e-16,8.980698743567053e-09,6.5340044153110884e-12,3.2860300766866882e-11,1.1494739931697202e-11,1.6966105996132618e-15,2.7726591385584076e-23,6.3320259956465295e-17,1.1312500431377497e-23,2.5658649582863912e-17,1.8429558784286692e-22,1.8429558784286692e-22
2.437616035802451e-15,0.9787074812125335,154.0,0.0,0.0,0.0,0.99999998303099991,1.0,18.999999999999996,6.9460914723946977e-10,2.0325416933629185e-09,2.032539601823245e-09,5.4138155841887915e-15,2.6955489427395295e-16,1.2131967480266204e-08,1.1935208813860038e-11,4.4401617153327322e-11,2.0996637386835255e-11,3.0996124342124224e-15,5.0878079681838992e-23,1.1568564218929045e-16,2.0697229803037193e-23,4.6890934329467978e-17,4.5359957021460293e-22,4.5359957021460293e-22
3.072079143862032e-15,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999997861451961,1.0,18.999999999999993,8.7540212896319132e-10,2.5615709556913721e-09,2.561567545735266e-09,8.5986316734104945e-15,3.4156192774850846e-16,1.5278713379034868e-08,1.8947549076280063e-11,5.5932011311015767e-11,3.3332874494624772e-11,4.9215908294994987e-15,8.1003291401880946e-23,1.836915615642935e-16,3.2891159405398152e-23,7.4476235333812622e-17,9.0719660106367398e-22,9.0719660106367398e-22
4.341005359981194e-15,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999996978182359,1.0,18.999999999999979,1.2369880888350206e-09,3.6196282109437228e-09,3.6196212002122346e-09,1.7168534422293607e-14,4.8556275321937887e-16,2.1558662547306715e-08,3.7796416514211406e-11,7.8960074169431943e-11,6.6492146493643844e-11,9.8209484908703162e-15,1.6217406508833724e-22,3.6657298402917044e-16,6.56963687584162e-23,1.4870565551999199e-16,2.558535674027902e-21,2.558535674027902e-21
5.6099315761003566e-15,0.9787074812125334,154.0,0.0,0.0,0.0,0.99999996094947918,1.0,18.999999999999961,1.59857404393947e-09,4.6776837761906614e-09,4.6776718770377733e-09,2.8671987277818126e-14,6.2956472555715328e-16,2.7820598067002942e-08,6.3062147714645797e-11,1.0194457191117858e-10,1.1094008251650038e-10,1.6391621794918642e-14,2.7123727006329791e-22,6.1186033301493663e-16,1.097075994708528e-22,2.4834644915729537e-16,5.5216515605275806e-21,5.5216515605275806e-21
6.878857792219519e-15,0.9787074812125331,154.0,0.0,0.0,0.0,0.99999995211748549,1.0,18.99999999999994,1.9601599942766674e-09,5.735737654490493e-09,5.7357195763854245e-09,4.3108817512919314e-14,7.7356602317205397e-16,3.4064571601306525e-08,9.4726339033583952e-11,1.2488558693713736e-10,1.6664430655959546e-10,2.4630554998549193e-14,4.0819126402605668e-22,9.1944962634082101e-16,1.6490436305950005e-22,3.733981551237282e-16,1.0179806965006693e-20,1.0179806965006693e-20
8.147784008338681e-15,0.9787074812125327,154.0,0.0,0.0,0.0,0.99999994328584152,1.0,18.999999999999915,2.3217459398467386e-09,6.7937898488942046e-09,6.7937642984287411e-09,6.047885238566433e-14,9.1756680458815941e-16,4.0290634668200803e-08,1.327706385505468e-10,1.4778320149910526e-10,2.3357253361222691e-10,3.453469768955903e-14,5.7303440453110638e-22,1.2892370699480403e-15,2.3126620678437735e-22,5.2386031223996664e-16,1.6916306852723416e-20,1.6916306852723416e-20
9.416710224457843e-15,0.9787074812125327,154.0,0.0,0.0,0.0,0.99999993445454627,1.0,18.999999999999879,2.6833318806498101e-09,7.8518403624473073e-09,7.8518060433412854e-09,8.0781919147930087e-14,1.061567369180729e-15,4.6498838641036552e-08,1.7717674586660937e-10,1.7063749769978341e-10,3.1169256930128675e-10,4.6101004789074014e-14,7.6576504907541415e-22,1.7211190579297856e-15,3.0877271366497463e-22,6.9973245933031141e-16,2.6114493114214137e-20,2.6114493114214137e-20
1.195456265669617e-14,0.9787074812125326,154.0,0.0,0.0,0.0,0.99999991679299816,1.0,18.999999999999801,3.4065037479554578e-09,9.9679363591586818e-09,9.9678806024682394e-09,1.3018645739021516e-13,1.3495678281369541e-15,5.8861874100661052e-08,2.8500143068587517e-10,2.1621646269522131e-10,5.0137972606033108e-10,7.4207958163721904e-14,1.2348822806657958e-21,2.7707531681994074e-15,4.971382250797738e-22,1.1277048788980113e-15,5.3429294454576054e-20,5.3429294454576054e-20
1.4492415088934494e-14,0.9787074812125318,154.0,0.0,0.0,0.0,0.99999989913283394,1.0,18.999999999999705,4.1296755961946147e-09,1.2084025668880963e-08,1.2083943255154579e-08,1.9132105039414115e-13,1.6375674015346261e-15,7.1154086039668694e-08,4.1805503307939494e-10,2.6162313567213954e-10,7.3545005632714875e-10,1.0892716461051056e-13,1.8155298200974133e-21,4.0675269876841937e-15,7.2983829979790146e-22,1.6573117249811369e-15,9.5191017613635189e-20,9.5191017613635189e-20
1.703026752117282e-14,0.978707481212531,154.0,0.0,0.0,0.0,0.99999988147404562,1.0,18.999999999999591,4.852847425368276e-09,1.4200108315781226e-08,1.4199994002788397e-08,2.6418431648488031e-13,1.9255660426268056e-15,8.3375880162816441e-08,5.7619303144615987e-10,3.0685816788963455e-10,1.0136493152427029e-09,1.5023446289076025e-13,2.5076945302943889e-21,5.6106186885403256e-15,1.0067109388828422e-21,2.2885493092174427e-15,1.544663501625673e-19,1.544663501625673e-19
1.9568119953411143e-14,0.9787074812125303,154.0,0.0,0.0,0.0,0.99999986381662576,1.0,18.99999999999946,5.5760192354774391e-09,1.6316184323938166e-08,1.6316032846757574e-08,3.48774874166853e-13,2.2135637849524227e-15,9.5527659854493363e-08,7.5927173075491197e-10,3.519222081456559e-10,1.3357247120635225e-09,1.9810578004088865e-13,3.3113632758852208e-21,7.3992095486325939e-15,1.3275947352746839e-21,3.0214139437069974e-15,2.3432182359088346e-19,2.3432182359088346e-19
2.4643824817887795e-14,0.9787074812125286,154.0,0.0,0.0,0.0,0.99999982850586189,1.0,18.99999999999914,7.0223627985062034e-09,2.0548316519899838e-08,2.0548074829252565e-08,5.531323391261847e-13,2.7895565740005086e-15,1.1962277801703434e-07,1.1996805358050173e-09,4.4153989578258085e-10,2.1104999406173024e-09,3.1344461608383701e-13,5.2531603394069187e-21,1.1709629231041964e-14,2.1007531017006154e-21,4.7920096139630782e-15,4.6803876674143819e-19,4.6803876674143819e-19
2.9719529682364445e-14,0.9787074812125265,154.0,0.0,0.0,0.0,0.99999979320048249,1.0,18.999999999998746,8.4687062852887387e-09,2.4780422447645381e-08,2.4780069213738682e-08,8.0438239657488452e-13,3.3655457921261616e-15,1.4344262173079578e-07,1.7381482285282617e-09,5.3048134018831654e-10,3.0577821626118231e-09,4.5475283879132534e-13,7.6408159587569236e-21,1.6992297810912586e-14,3.048033874584348e-21,6.969069241182383e-15,8.2087179654095234e-19,8.2087179654095234e-19
3.544406487586524e-14,0.9787074812125235,154.0,0.0,0.0,0.0,0.99999975338838287,1.0,18.999999999998213,1.0099936616587473e-08,2.955348967502285e-08,2.9552984822131586e-08,1.1440032589009531e-12,4.0151597882885406e-15,1.6998099670970713e-07,2.4617100016621994e-09,6.2998716870346162e-10,4.3306852847965831e-09,6.4504871629111468e-13,1.0868548510901888e-20,2.4108816317196896e-14,4.3237496991687105e-21,9.912109477207061e-15,1.3924228718819447e-18,1.3924228718819447e-18
4.116860006936603e-14,0.9787074812125197,154.0,0.0,0.0,0.0,0.99999971358297413,1.0,18.999999999997595,1.1731166850921701e-08,3.4326523999899753e-08,3.4325839915797898e-08,1.5432416912912082e-12,4.6647693062892634e-15,1.9617767815444126e-07,3.30699060839668e-09,7.2864656605803303e-10,5.8177184151806237e-09,8.6786710366655113e-13,1.4663129733161262e-20,3.244468413697199e-14,5.8175260331040308e-21,1.3372092809960124e-14,2.1818753720411108e-18,2.1818753720411108e-18
4.6893135262866825e-14,0.978707481212516,154.0,0.0,0.0,0.0,0.99999967378417365,1.0,18.999999999996881,1.3362396988302273e-08,3.9099525689786902e-08,3.9098634510646366e-08,2.0020818551000246e-12,5.3143743824105716e-15,2.2203706548142077e-07,4.2724228728631424e-09,8.2646673223616197e-10,7.5161245513158095e-09,1.1229405530540439e-12,1.9024409030413573e-20,4.1990815563883434e-14,7.527569662472373e-21,1.7348976957705953e-14,3.2244120511128132e-18,3.2244120511128132e-18
5.261767045636762e-14,0.9787074812125117,154.0,0.0,0.0,0.0,0.99999963399190039,1.0,18.999999999996074,1.4993627028739903e-08,4.3872495009995339e-08,4.3871368622580725e-08,2.5205079158927137e-12,5.963975052566191e-15,2.4756350147864002e-07,5.3564597915745172e-09,9.2345480598619621e-10,9.4231821783506928e-09,1.4100038156006072e-12,2.3952235847575258e-20,5.2738202164911088e-14,9.4521021175245162e-21,2.1842719649629746e-14,4.5552127721600802e-18,4.5552127721600802e-18
5.83422056498684e-14,0.9787074812125064,154.0,0.0,0.0,0.0,0.99999959420607332,1.0,18.999999999995175,1.6624856972245168e-08,4.8645432223654426e-08,4.8644042267499757e-08,3.0985040434436006e-12,6.6135713526416022e-15,2.7276127303310107e-07,6.5575742742953946e-09,1.0196178653418185e-09,1.1536204813164904e-08,1.7287938233676149e-12,2.9446459669582417e-20,6.4677912122771501e-14,1.1589359551346243e-20,2.6853278625753093e-14,6.2094545090308286e-18,6.2094545090308286e-18
6.406674084336919e-14,0.9787074812125008,154.0,0.0,0.0,0.0,0.99999955442661348,1.0,18.999999999994184,1.8256086818828533e-08,5.3418337591729548e-08,5.3416655461297234e-08,3.7360544117313389e-12,7.2631633181549779e-15,2.976346118396709e-07,7.8742588915303039e-09,1.1149629281315165e-09,1.3852540560146216e-08,2.0790496716353652e-12,3.5506930021346238e-20,7.7801089593022733e-14,1.3937592621212052e-20,3.2380611636849239e-14,8.2223113568770641e-18,8.2223113568770641e-18
