Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371)
4.205551400510408e-20,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999961453,1.0,19.0,1.1960513857797697e-14,8.1817352408541277e-14,8.1817352415215179e-14,1.1725581913842681e-23,1.1721058874924835e-23,2.0904450012885659e-13,4.7278250043118224e-21,7.6315783943162676e-16,8.3147166763651279e-21,6.7217760308605439e-24,1.8813103840021226e-34,6.9948905424442025e-26,2.1507309156095881e-34,4.3339029684556214e-26,1.2378943585492798e-35,1.2378943586421289e-35,8.1386710650703225e-46,1.1462302062780114e-46,3.1133570719358706e-39,1.1041760281327107e-82
8.414756625000409e-20,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999922884,1.0,19.0,2.3931419126410399e-14,1.6370578849200885e-13,1.6370578851870383e-13,4.6932885347348621e-23,4.6896686569816661e-23,4.1827059359138134e-13,1.8923620054732156e-20,1.5269786538973863e-15,3.328053367093439e-20,2.6904620639176448e-23,1.5038240412126897e-33,2.7997790800183615e-25,1.714255490644788e-33,1.7346906343733326e-25,9.91068179147188e-35,9.910681792958677e-35,1.3032474997606551e-44,1.8354616703906198e-45,2.4932107001881784e-38,1.4162154598336605e-80
1.683316707398041e-19,0.4185735439748457,154.0,0.0,0.0,0.0,0.99999999999845735,1.0,19.0,4.7873229663610419e-14,3.2748266054805288e-13,3.2748266065472288e-13,1.8779267385230961e-22,1.8750318205107876e-22,8.367227007952823e-13,7.5719121132327758e-20,3.0546200909772479e-15,1.3316547008921951e-19,1.0765351994038411e-22,1.1997429953664622e-32,1.1202762736702476e-24,1.359857692319769e-32,6.9410220709311855e-25,7.9315574843749008e-34,7.9315574867547374e-34,2.0860438977030571e-43,2.9379337294183101e-44,1.9955790695573318e-37,1.8145949511029021e-78
3.366998797194041e-19,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999691436,1.0,19.0,9.5756850737908947e-14,6.5503640421733385e-13,6.5503640464292797e-13,7.5129297504467892e-22,7.4897992942284199e-22,1.6736265963186119e-12,3.0292572390369383e-19,6.1099021977305345e-15,5.3274847650782073e-19,4.3068411945525395e-22,9.5399292804023033e-32,4.481834203118893e-24,1.0692660129189553e-31,2.7768607959859036e-24,6.346451056678676e-33,6.3464510604871877e-33,3.3383467123600203e-42,4.7016495737836624e-43,1.5968675561197668e-36,2.3238593238101386e-76
6.734362976786041e-19,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999999382849,1.0,19.0,1.9152409288609996e-13,1.3101438897906912e-12,1.3101438914840061e-12,3.0054164552101394e-21,2.9869633746954243e-21,3.3474331118283526e-12,1.2118009855846299e-18,1.2220463341612898e-14,2.13116641459717e-18,1.7228762067512241e-21,7.538631836884346e-31,1.7928792902949338e-23,8.2683447651811847e-31,1.1108347155938643e-23,5.0776429104478456e-32,5.0776429165420751e-32,5.3418895507693605e-41,7.5234017318609015e-42,1.2776557816168612e-35,2.9752939371710085e-74
1.3469091335970041e-18,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999998765665,1.0,19.0,3.8305857718085792e-13,2.6203588539242806e-12,2.6203588606248362e-12,1.2022154775158869e-20,1.1875364801982042e-20,6.6950410407079396e-12,4.8473969628915801e-18,2.4441573350893136e-14,8.5250051191840618e-18,6.8917814116772837e-21,5.8859879471092889e-30,7.1718066054660953e-23,6.1983991666525398e-30,4.4435196411251321e-23,4.0623071421967487e-31,4.0623071519479836e-31,8.5474305570434271e-40,1.2038045805963269e-40,1.0221893188218741e-34,6.6677006878355606e-72
2.6938548054338044e-18,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999999997531308,1.0,19.0,7.6612754576387741e-13,5.2407887545123825e-12,5.2407887807411925e-12,4.8089595642765385e-20,4.6928494603137015e-20,1.339023648996974e-11,1.9389948568491443e-17,4.8883744255614312e-14,3.4100654861306292e-17,2.7567655765576648e-20,4.4921135139228624e-29,2.8687791047959034e-22,4.4013649626829713e-29,1.7774439951741382e-22,3.2499228053479052e-30,3.2499228209501872e-30,1.3676148803254944e-38,1.926133354337228e-39,8.1777732518926754e-34,8.5636532312683625e-70
5.387746149107405e-18,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999995062583,1.0,19.0,1.532265482903931e-12,1.0481648447835946e-11,1.0481648548312691e-11,1.9236032461991715e-19,1.8327655621472329e-19,2.6780545755001525e-11,7.756031306636126e-17,9.7767889610488995e-14,1.3640353183377108e-16,1.1027149888617323e-19,3.2895716635482293e-28,1.1475217928257174e-21,2.8699245447689829e-28,7.1098481174315527e-22,2.5999690237190408e-29,2.5999690486827183e-29,2.1881835081390575e-37,3.0818430872800687e-38,6.5423219577433608e-33,1.0962023607340219e-67
8.081637492781006e-18,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999992593858,1.0,19.0,2.2984034200179985e-12,1.5722508036051884e-11,1.5722508243222987e-11,4.0876689118457322e-19,3.8312156867459792e-19,4.0170773387039161e-11,1.6481576153470836e-16,1.4665183851158553e-13,2.8985767445278377e-16,2.3432727509909046e-19,8.9537915232485852e-28,2.4384888697757918e-21,7.3575072000916181e-28,1.5108472176144923e-21,7.4343089612083603e-29,7.4343090530910197e-29,8.0539414731598003e-37,1.1343244525369963e-37,1.9422605381016456e-32,5.6560044658577606e-67
1.3469420180128206e-17,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999987656418,1.0,19.0,3.8306792941421929e-12,2.6204226812265952e-11,2.620422734239885e-11,1.1301232975963082e-18,1.016587988068315e-18,6.6950902123119168e-11,4.5566557584106533e-16,2.4441895050498193e-13,8.0136852757404003e-16,6.4784526981855155e-19,3.6012697423636777e-27,6.7417078124442455e-21,2.60465552555326e-27,4.1770599049897346e-21,3.4165439812090145e-28,3.416544051903166e-28,6.1966576042839254e-36,8.7275755365929309e-37,9.0979990528883864e-32,3.8127914036471765e-65
1.8318424598740688e-17,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999983212717,1.0,19.0,5.2097275807700057e-12,3.5637773401071076e-11,3.563777429688709e-11,2.0124166355052055e-18,1.7620521414014225e-18,9.1052754233426425e-11,8.114028758374013e-16,3.3240871656162024e-13,1.4269955036231736e-15,1.1536186237184865e-18,7.5461431942046722e-27,1.2004977641439427e-20,5.1259768726932038e-27,7.4381134812149158e-21,7.6906144741890092e-28,7.6906146688819005e-28,1.7065683999569255e-35,2.4036052924264878e-36,2.0994587546410651e-31,2.1804326443272985e-64
2.3167429017353167e-17,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999978769016,1.0,19.0,6.5887758673089491e-12,4.5071319676967959e-11,4.5071321002876113e-11,3.1414124536843328e-18,2.6781203161710623e-18,1.1515432717092816e-10,1.2666068752314664e-15,4.2039781076718567e-13,2.2275522673659328e-15,1.800811299023177e-18,1.3296692486761801e-26,1.8739921654439634e-20,8.5670233726684725e-27,1.161100703292783e-20,1.453577193745107e-27,1.4535772375953555e-27,3.8436621070182899e-35,5.4136275436289502e-36,4.0423846196403141e-31,6.7328980222500229e-64
2.8016433435965646e-17,0.4185735439748457,154.0,0.0,0.0,0.0,0.99999999974325315,1.0,19.0,7.9678241537639451e-12,5.4504865668611255e-11,5.4504867474131343e-11,4.5034448577695642e-18,3.744021584685469e-18,1.3925563640296285e-10,1.8157667037738783e-15,5.0838627034270455e-13,3.1933469785337374e-15,2.5815885937011468e-18,2.0876925306259237e-26,2.6865012225630199e-20,1.2889356533922302e-26,1.6645230016997948e-20,2.4296002189032412e-27,2.4296003031815388e-27,7.3873466373689301e-35,1.0404831374807518e-35,6.873052110601747e-31,2.0750557394623404e-63
3.771444227319061e-17,0.4185735439748457,154.0,0.0,0.0,0.0,0.99999999965437925,1.0,19.0,1.0725920726482498e-11,7.3371957033773073e-11,7.3371959881335857e-11,7.7589451650216949e-18,6.1874080921398357e-18,1.8745765349975009e-10,3.1283479848030214e-15,6.8436174224456998e-13,5.5017533719266714e-15,4.4477778025007478e-18,4.0472959641477768e-26,4.6285380641972638e-20,2.3562416567993288e-26,2.8677921743410964e-20,5.1869218486797382e-27,5.186922066617904e-27,1.9103165926516274e-34,2.6906506503291384e-35,1.5196401156639746e-30,1.3103176576966255e-62
4.741245111041557e-17,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999999956550534,1.0,19.0,1.3484017298890751e-11,9.2239047432969412e-11,9.2239051420869196e-11,1.1875843094571271e-17,9.0998949365822929e-18,2.3565869585770572e-10,4.7882197340627484e-15,8.6033486833339331e-13,8.4209314933951547e-15,6.8077423989122225e-18,6.750530015579621e-26,7.0844248647099751e-20,3.7534614701390787e-26,4.3894437077461571e-20,9.4318569705772799e-27,9.4318574321111878e-27,4.0455265943537485e-34,5.6981244643086123e-35,2.8470268718810853e-30,4.7038480192246759e-62
5.711045994764052e-17,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999947663143,1.0,19.0,1.624211387096765e-11,1.111061368621338e-10,1.1110614203387956e-10,1.6912564908546197e-17,1.245185375650332e-17,2.8385869738215983e-10,6.8189308735896922e-15,1.0363054895291832e-12,1.1992296288425465e-14,9.6949676850943408e-18,1.0281624919188248e-25,1.0089010957751432e-19,5.50403211612525e-26,6.2510727041409171e-20,1.5602135392886511e-26,1.5602136266042865e-26,7.6535488224260048e-34,1.0780147202443757e-34,4.8183251891909934e-30,1.4326436932630181e-61
7.650647762209045e-17,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999929888383,1.0,19.0,2.1758307014108731e-11,1.488403130694691e-10,1.4884032042812504e-10,2.9797309061941963e-17,2.0185229103774408e-17,3.8025551940657772e-10,1.2013722880556254e-14,1.3882390762931091e-12,2.1128257051289132e-14,1.7080870223027577e-17,1.9968744103997486e-25,1.7775174482922695e-19,1.0086188427933609e-25,1.1013420215871581e-19,3.5989186690162846e-26,3.598918933645731e-26,2.3195687771993908e-33,3.2672568403001917e-34,1.1458580729592061e-29,1.1869591208269282e-60
9.590249529654037e-17,0.4185735439748457,154.0,0.0,0.0,0.0,0.99999999912113613,1.0,19.0,2.7274500155903728e-11,1.8657448598031039e-10,1.8657449505844289e-10,4.641876628473143e-17,2.9059829716017868e-17,4.7664811340750535e-10,1.8714920715757374e-14,1.7401624875655251e-12,3.2913498963844444e-14,2.6608638356523857e-17,3.3174128369048021e-25,2.7690331827184219e-19,1.6105101732819919e-25,1.7156901091959651e-19,6.9135844801896176e-26,6.9135851025780375e-26,5.4554308245021802e-33,7.6845339621435695e-34,2.2378176629929993e-29,5.1183808128889653e-60
1.3469453064544022e-16,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999876564116,1.0,19.0,3.8306886435452787e-11,2.6204282322141318e-10,2.6204283301980439e-10,9.0879257185697239e-17,4.8919813946647171e-17,6.694206098610082e-10,3.6639198169665409e-14,2.4439787648531672e-12,6.4436511879246282e-14,5.2093735181522286e-17,7.0245620884946831e-25,5.4211883384164413e-19,3.245582861544676e-25,3.3590016267433915e-19,1.9016100783605619e-25,1.9016103227116033e-25,2.1417943836403095e-32,3.0171602551979002e-33,6.2579150835279626e-29,6.2631806825825748e-59
2.122786013432399e-16,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999999805465234,1.0,19.0,6.0371658978386561e-11,4.1297946737111328e-10,4.1297946374388012e-10,2.2467208313760494e-16,9.3094134914948636e-17,1.0549148408546162e-09,9.0573755272901569e-14,3.8514891436528623e-12,1.5928997219964684e-13,1.287811313916285e-16,1.8706989410112325e-24,1.3401968922677733e-18,8.2407903972855354e-25,8.3041457391487223e-19,7.5668660680603518e-25,7.5668676917741066e-25,1.42319279831266e-31,2.0052095758426131e-32,2.5184292802656968e-28,1.8477189283025551e-57
3.6744674273883925e-16,0.4185735439748457,154.0,0.0,0.0,0.0,0.99999999663267869,1.0,19.0,1.0450120399959442e-10,7.1485264624355558e-10,7.1485254439135568e-10,6.7175114920421941e-16,1.8736916550062753e-16,1.8257002970166626e-09,2.7077197510025712e-13,6.6660212580290757e-12,4.7620042097621613e-13,3.8501266769085038e-16,5.9147543681528679e-24,4.0068831964774199e-18,2.5130634095019447e-24,2.4828764464712127e-18,4.0408821104121635e-24,4.0408837150219335e-24,1.4063837158763969e-30,1.9822605546450998e-31,1.3520950917529162e-27,1.0318175194508956e-55
5.226148841344387e-16,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999999521071037,1.0,19.0,1.4863074893458934e-10,1.0167256844985405e-09,1.0167253839721421e-09,1.3581538891100263e-15,2.8428159995774788e-16,2.5962151430469651e-09,5.4738609217536893e-13,9.4799019498027408e-12,9.626752822406651e-13,7.7836582457618184e-16,1.2235458454737989e-23,8.1008156284255202e-18,5.1218326736384175e-24,5.0199154703251488e-18,1.1303608707005041e-23,1.130361469442988e-23,5.2476219857602631e-30,7.3980285408852162e-31,3.7871793769207171e-27,8.2265317960144347e-55
8.329511669256374e-16,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999999236678927,1.0,18.999999999999996,2.3688983854594041e-10,1.6204713482408878e-09,1.6204703399394499e-09,3.448924581316319e-15,4.7708969261620699e-16,4.1364334889159815e-09,1.3896894999911771e-12,1.5105709830678492e-11,2.4440148388909032e-12,1.9762812417979004e-15,3.1706684520922106e-23,2.0569462044827025e-17,1.3097681158908294e-23,1.2747726128229457e-17,4.6145624639855864e-23,4.614566440194595e-23,3.4846300174535181e-29,4.9157899074053837e-30,1.547376122699034e-26,2.7409265132709209e-53
1.1122538214377163e-15,0.4185735439748455,154.0,0.0,0.0,0.0,0.99999998980727844,1.0,18.999999999999993,3.1632301890130899e-10,2.1638419742879386e-09,2.1638399758760143e-09,6.1490911135696221e-15,6.5034788324197899e-16,5.5217054492260346e-09,2.4771715604834804e-12,2.0166710539516128e-11,4.3565444318612892e-12,3.5230594480327203e-15,5.7016705972792497e-23,3.6670565766330671e-17,2.341958607842966e-23,2.2728001211788759e-17,1.0725303601516894e-22,1.0725315287076352e-22,1.024039888743569e-28,1.4451605716279611e-29,3.5972991001689446e-26,1.6466719702296376e-52
1.3915564759497952e-15,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999998724778472,1.0,18.999999999999989,3.9575619897734985e-10,2.7072121539603593e-09,2.7072088307810167e-09,9.6246418681049334e-15,8.2340416262166096e-16,6.9061021164682125e-09,3.8765124760307174e-12,2.5225602990498526e-11,6.817532993840686e-12,5.5136329069502202e-15,8.970275314917312e-23,5.7392989172912139e-17,3.6718382464291891e-23,3.5574284797985347e-17,2.0681412173792019e-22,2.0681439463275098e-22,2.3913417089941699e-28,3.3760659855414445e-29,6.9373862225938638e-26,6.6175727157400378e-52
1.670859130461874e-15,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999998468830809,1.0,18.999999999999979,4.7518937877406417e-10,3.2505818872787256e-09,3.2505769046645521e-09,1.3875566770935866e-14,9.9640823912502849e-16,8.2896240171798459e-09,5.5875246453953362e-12,3.0282388019657592e-11,9.8266505950988938e-12,7.9478313524496823e-15,1.29764730631522e-22,8.2735677070173276e-17,5.2992928204621341e-23,5.1286564095507536e-17,3.5388258098963706e-22,3.5388312747090047e-22,4.7885209519631452e-28,6.7629168172329371e-29,1.187140168838294e-25,2.1915119828213283e-51
1.9501617849739528e-15,0.41857354397484564,154.0,0.0,0.0,0.0,0.99999998212884833,1.0,18.999999999999972,5.546225582914534e-10,3.7939511743634544e-09,3.793944197537195e-09,1.8901855269610813e-14,1.1694171405761121e-15,9.6722716998934553e-09,7.6100126306183643e-12,3.5337066498173689e-11,1.3383553523654462e-11,1.0825477356852598e-14,1.7720253826291028e-22,1.1269752976798887e-16,7.2242033149232085e-23,6.9864825577652084e-17,5.57894828666843e-22,5.578958146703207e-22,8.6394205059702437e-28,1.2206142705308441e-28,1.8715951289272086e-25,6.123614118548531e-51
2.5087670939981104e-15,0.4185735439748456,154.0,0.0,0.0,0.0,0.99999997700998022,1.0,18.99999999999995,7.134889164882613e-10,4.8806884104788877e-09,4.8806764402878725e-09,3.1280485066429637e-14,1.5154389739106803e-15,1.2434946378023035e-08,1.2588715329689096e-11,4.5440106927848277e-11,2.2139483025294924e-11,1.7910475666653776e-14,2.9420528242700416e-22,1.8647478511017108e-16,1.1965965196806652e-22,1.1561924610296269e-16,1.1706112169463132e-21,1.17061379722473e-21,2.2606505517651202e-27,3.1962786490086371e-28,3.9272728832112459e-25,3.406246207883108e-50
3.067372403022268e-15,0.4185735439748454,154.0,0.0,0.0,0.0,0.99999997189118017,1.0,18.999999999999925,8.7235527356778414e-10,5.9674238637236833e-09,5.9674055591178332e-09,4.6760446655867921e-14,1.8614698362597338e-15,1.5194130529539629e-08,1.8811060481964935e-11,5.5534731237103431e-11,3.3082577804204299e-11,2.6767210785950668e-14,4.407101807036573e-22,2.7871597198124498e-16,1.7896173362487527e-22,1.7283743728554827e-16,2.1203824950309071e-21,2.1203880810366827e-21,4.893626086836104e-27,6.9237968840474625e-28,7.113816187358757e-25,1.2790340215903062e-49
3.625977712046426e-15,0.4185735439748453,154.0,0.0,0.0,0.0,0.9999999667724484,1.0,18.999999999999897,1.0312216295300333e-09,7.0541575356110456e-09,7.0541315541166178e-09,6.534165068428565e-14,2.2074915808202339e-15,1.7949828771727692e-08,2.6275402984175716e-11,6.5620946765597952e-11,4.6209944657303339e-11,3.739418780853968e-14,6.1671638309349717e-22,3.8941182472824217e-16,2.5013825058224033e-22,2.4151928381466964e-16,3.4868285714920012e-21,3.48683926865543e-21,9.3704535146989692e-27,1.3267099146442183e-27,1.1698365050362684e-24,3.9029819215473661e-49
4.184583021070584e-15,0.4185735439748453,154.0,0.0,0.0,0.0,0.99999996165378446,1.0,18.999999999999865,1.19008798437502e-09,8.1408894275939423e-09,8.1408544253722216e-09,8.7024009343338414e-14,2.5535185197655233e-15,2.0702045633600785e-08,3.4980129183299031e-11,7.5698760716375326e-11,6.1518745692297999e-11,4.9789939605738338e-14,8.2222305433882691e-22,5.185532500725134e-16,3.3317936162874972e-22,3.2166467228838163e-16,5.3481622373591444e-21,5.3481810013521456e-21,1.6435345559012054e-26,2.3286474441653412e-27,1.7943340397630497e-24,1.0347984452573552e-48
4.743188330094741e-15,0.41857354397484514,154.0,0.0,0.0,0.0,0.99999995653518836,1.0,18.999999999999822,1.3489543381027548e-09,9.2276195411103515e-09,9.2275741729701644e-09,1.118074372921195e-13,2.8995372548651244e-15,2.3450785509946571e-08,4.4923673249972882e-11,8.5768180082628882e-11,7.9006227123201722e-11,6.3953041744974601e-14,1.0572293825975871e-21,6.6613141963257874e-16,4.2807551195038129e-22,4.1327349247094637e-16,7.7803923814980548e-21,7.7804231597773581e-21,2.695618014037811e-26,3.8220991647587264e-27,2.6103770599194332e-24,2.4565528348690938e-48
5.860398948143057e-15,0.418573543974845,154.0,0.0,0.0,0.0,0.99999994629819955,1.0,18.99999999999973,1.6666870422065124e-09,1.1401074438395682e-08,1.1401004297534756e-08,1.7067716009956464e-13,3.591585455535458e-15,2.893785184162165e-08,6.8520967197626382e-11,1.0588186297944256e-10,1.2050624333944449e-10,9.7575610315953643e-14,1.6157377667523778e-21,1.0165627473473422e-15,6.5339478492551117e-22,6.3088098770751107e-16,1.4661284780895374e-20,1.4661356052366418e-20,6.2408956722867378e-26,8.8625143288181178e-27,4.9190134351239819e-24,1.101240662792019e-47
6.8331231514231275e-15,0.41857354397484475,154.0,0.0,0.0,0.0,0.99999993738535853,1.0,18.999999999999634,1.9433280644063988e-09,1.3293435369975094e-08,1.329333926565532e-08,2.3203426933558633e-13,4.1941264369405971e-15,3.3704003004146894e-08,9.3087157825129171e-11,1.2336700778461596e-10,1.6371023581964772e-10,1.3259353433466958e-13,2.1981024892442537e-21,1.381647747542727e-15,8.8810154583447214e-22,8.5768669001484177e-16,2.3229608623620413e-20,2.3229739952389893e-20,1.1497891178223265e-25,1.6349857698920259e-26,7.793822814283016e-24,3.2227241085226782e-47
7.805847354703198e-15,0.41857354397484453,154.0,0.0,0.0,0.0,0.99999992847272223,1.0,18.999999999999524,2.2199690832186195e-09,1.5185790929087666e-08,1.5185664763195343e-08,3.0279346742325566e-13,4.7966588971870533e-15,3.8459673695192312e-08,1.2138744365590127e-10,1.4082679778730965e-10,2.1348129539171107e-10,1.7295020365779905e-13,2.8699068115721439e-21,1.8025119684406628e-15,1.1586195625867277e-21,1.1192511509844457e-15,3.4617737248794436e-20,3.4617960361689124e-20,1.9530350213532733e-25,2.7809392544980223e-26,1.1614739486110622e-23,8.1498410070892653e-47
8.778571557983269e-15,0.4185735439748442,154.0,0.0,0.0,0.0,0.99999991956029022,1.0,18.9999999999994,2.4966100986432292e-09,1.7078141123211435e-08,1.7077980790606864e-08,3.8295430327664629e-13,5.3992011491586046e-15,4.3204886977791943e-08,1.5341360750664074e-10,1.5826126978083527e-10,2.6980497069536825e-10,2.1863812270381616e-13,3.631146442716217e-21,2.2791089614456384e-15,1.4648985562920668e-21,1.4155737881471144e-15,4.9227544223518957e-20,4.9227900357543426e-20,3.1169221062156357e-25,4.4441813840838024e-26,1.6516607059276854e-23,1.8457245673334701e-46
9.75129576126334e-15,0.4185735439748438,154.0,0.0,0.0,0.0,0.99999991064806204,1.0,18.999999999999254,2.773251110680286e-09,1.89704859598535e-08,1.8970287348342544e-08,4.7251632518259153e-13,6.0017427688778239e-15,4.793966589768391e-08,1.8915743835644536e-10,1.756704605583715e-10,3.3266682120801586e-10,2.6964979556627814e-13,4.4818170856197869e-21,2.8113922781298696e-15,1.8068882458811991e-21,1.7466540182276257e-15,6.746147464228916e-20,6.7462015778185672e-20,4.735283359259604e-25,6.7607560588605541e-26,2.2634462434645015e-23,3.8360205983217953e-46
