Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39),OO(620),S(254),C7H10(237),C7H10(199),C5H8(320),C7H8(448),C5H8(810),C7H11O(96),OH(D)(590),S(931),S(951),S(1011),S(997),H2O(999),S(1119),S(1065),S(1109),S(1002),S(993),C7H9(58)
2.8322541641285958e-18,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999946343,1.0,19.0,4.3875004367020687e-14,2.2911430462149613e-13,2.2911417722996332e-13,1.9823486151352523e-21,1.9642711169493082e-21,3.4526303480105911e-14,4.399414306054485e-20,1.2352654549203424e-17,4.931623455907108e-20,1.358208948423556e-21,6.1267006638236239e-31,1.3354906166211112e-24,8.1594082454003139e-31,2.7354089857909259e-25,1.2340086406734787e-33,1.2340086472552786e-33,5.8541153872604561e-42,7.2768355837286024e-43,9.6264940359394733e-26,7.7402107087104523e-77,7.3896333382366012e-77,7.3896333382411743e-77,7.4545256422905368e-36,1.2873158317286995e-19,3.4360433476610751e-34,3.681738157854767e-36,1.2372345450208019e-33,1.1037151165112088e-33,9.2664451334428449e-49,4.8301453506230948e-39,2.1001108790346651e-62,2.0074440061532647e-49,3.3608292770442348e-49,8.9770453493868048e-55,4.3566456875128185e-64,6.5705377396516421e-73,1.2335904644668214e-74,1.2798756285604365e-59,6.2926902950845732e-84,2.1709013407079411e-87,4.9793426978757102e-85,1.2634056892604777e-79,7.1277181191256732e-76,2.6609394303019757e-34
5.6669690182347144e-18,0.3996095156716603,154.0,0.0,0.0,0.0,0.9999999999989263,1.0,19.0,8.7788127764600618e-14,4.5842765940018949e-13,4.5842740711732888e-13,7.9345604632703493e-21,7.7910489547234897e-21,6.9082412829876297e-14,1.7609080715838147e-19,2.4715998227922769e-17,1.9739299246193295e-19,5.4363701649118267e-21,4.8380568405184108e-30,5.3454427512993126e-24,6.271104313223204e-30,1.0948764493360394e-24,9.8795722628868111e-33,9.87957236828068e-33,9.3741452398831049e-41,1.165240246096349e-41,3.8531063105339642e-25,9.9275889930493479e-75,9.4779386962889326e-75,9.4779386963006653e-75,5.9681533474499766e-35,2.575753949918662e-19,1.3753146539326516e-33,2.9468842321680709e-35,9.9053773703894892e-33,8.836412450878527e-33,1.4838385685077062e-47,3.8670531604340284e-38,6.7260096961593348e-61,3.2145116269091326e-48,4.2980656879199225e-48,2.8750591118168073e-53,2.7906251032911684e-62,8.4174997833857452e-71,1.5803497218869629e-72,3.2575133381754569e-58,1.6123155000972012e-81,5.5622919250344727e-85,1.2756462073691159e-82,1.6185468133859479e-77,9.1313022296334981e-74,1.06506922076497e-33
1.1336398726446952e-17,0.3996095156716602,154.0,0.0,0.0,0.0,0.99999999999785205,1.0,19.0,1.7561437455925642e-13,9.1705434962165948e-13,9.1705385497926117e-13,3.1748575922218249e-20,3.0619130296938279e-20,1.3819405852982226e-13,7.0458925943110516e-19,4.9442556599270734e-17,7.8982534420756728e-19,2.1752520069106063e-20,3.7687796266535107e-29,2.1388732940817701e-23,4.6456495408280307e-29,4.3809318348441493e-24,7.9066601525904179e-32,7.9066603212870614e-32,1.5004523640074734e-39,1.8651382926722025e-40,1.5417443824907167e-24,1.2720205673765658e-72,1.2144069388012996e-72,1.2144069388043057e-72,4.7763367817295139e-34,5.1526417531398664e-19,5.5030648998950432e-33,2.357211505941275e-34,7.927277280849888e-32,7.071784248555097e-32,2.3751081122347195e-46,3.0948177171255637e-37,2.1532284042324923e-59,5.1452662950773962e-47,6.0125100725840816e-47,9.2039781499326419e-52,1.7867478397755798e-60,1.0778947653230102e-68,2.0237015071923071e-70,9.0814598840829282e-57,4.1292770147974402e-79,1.4245503622048066e-82,3.2662044061045239e-80,2.0726166761077609e-75,1.1693000521459694e-71,4.2616641039934469e-33
2.2675258142871425e-17,0.39960951567166036,154.0,0.0,0.0,0.0,0.99999999999570366,1.0,19.0,3.5126686814655153e-13,1.8343076554255806e-12,1.8343067030519356e-12,1.2701496773377417e-19,1.1826896578571977e-19,2.7641505796933976e-13,2.8187891298994126e-18,9.889515740298655e-17,3.1597857403750171e-18,8.7023910441612569e-20,2.8627081553073252e-28,8.5568852776909704e-23,3.2333158049632565e-28,1.752657918978702e-23,6.3265290018510067e-31,6.3265292718135609e-31,2.4011439161403243e-38,2.9848126294707474e-39,6.1679812034457469e-24,2.8519762864539768e-70,2.7228017225521122e-70,2.7228017225655699e-70,3.8217955342475615e-33,1.0306463626944858e-18,2.2015961830582882e-32,1.8842233758799413e-33,6.3429701463545168e-31,5.6584517960090149e-31,3.8009464319394381e-45,2.4763242468090607e-36,6.8917799959058165e-58,8.2339548051431398e-46,8.9281060240861361e-46,2.9458407346958026e-50,1.1437430685948426e-58,1.3799785263318354e-66,2.5908509227586956e-68,2.6911227333883256e-55,1.057305194992886e-76,3.64757503156881e-80,8.3588792095085992e-78,2.6534805097413237e-73,1.4970004818258023e-69,1.7049430700357067e-32
4.5352976975720374e-17,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999999140676,1.0,19.0,7.0257185531307615e-13,3.6688139876458345e-12,3.6688122085925774e-12,5.0810114579376164e-19,4.4237659661433263e-19,5.5284788931090667e-13,1.127586049609555e-17,1.9779829529755914e-16,1.2639932099960383e-17,3.4812130051470491e-19,2.0786453969199559e-27,3.4230321782369902e-22,2.0481488121311397e-27,7.0112015818979288e-23,5.0617031026384085e-30,5.0617035346000527e-30,3.8420023142099244e-37,4.7761352475422884e-38,2.467393089387729e-23,3.6634567710191199e-68,3.4975278218007674e-68,3.4975278218353998e-68,3.0577274023322013e-32,2.0614292443985657e-18,8.8071965513560556e-32,1.5044840732682862e-32,5.0747681560505388e-30,4.5271111672983607e-30,6.0821335701061865e-44,1.9812472879156617e-35,2.2056016351808595e-56,1.3175199383961215e-44,1.373128572115573e-44,9.427351327653098e-49,7.3204832341603589e-57,1.7665015227659717e-64,3.3165314465459833e-66,8.2675777627198936e-54,2.7069003575880352e-74,9.3384822208058729e-78,2.1378487433947862e-75,3.3967179494287304e-71,1.9163006138333283e-67,6.8203267630942382e-32
9.070841464141827e-17,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999998281308,1.0,19.0,1.4051818296138631e-12,7.3378256564754372e-12,7.3378224572554182e-12,2.0324866878951065e-18,1.5638982547398774e-18,1.1056768842762425e-12,4.5103567896478866e-17,3.9559631657974512e-16,5.0559869543908587e-17,1.3925205140149881e-18,1.4017832936730971e-26,1.3692682067743364e-21,1.1521597159946515e-26,2.8045942142341508e-22,4.0495536495443057e-29,4.0495543406464595e-29,6.1468163203642211e-36,7.6420425079190373e-37,9.8699725608979604e-23,4.6897932491969699e-66,4.4773784435171418e-66,4.4773784436058133e-66,2.446299120256047e-31,4.1230690355643523e-18,3.5230980470771207e-31,1.1988120079128598e-31,4.059863611298327e-29,3.621732722111107e-29,9.7319105743357762e-43,1.5850727511027854e-34,7.0582974703983529e-55,2.10798919248974e-43,2.1527053521917261e-43,3.0166998011152958e-47,4.6850339819985651e-55,2.2610870793991437e-62,4.2450949295023763e-64,2.5905748657398105e-52,6.9295606660060774e-72,2.3906172308199513e-75,5.4616743393319716e-73,4.3477698976870336e-69,2.4528270821183413e-65,2.7282413118976968e-31
1.8141928997281406e-16,0.3996095156716602,154.0,0.0,0.0,0.0,0.99999999996562561,1.0,19.0,2.8104017780863878e-12,1.4675845655545692e-11,1.4675839904910439e-11,8.1301073935015497e-18,5.0564243025197887e-18,2.2111882227897393e-12,1.8040426789520763e-16,7.9115934387186682e-16,2.0222826431149702e-16,5.5700248397300702e-18,8.509864374620352e-26,5.4771814583892362e-21,5.7540416917120966e-26,1.121860079367504e-21,3.2397181035391385e-28,3.2397192091015559e-28,9.8329167425000439e-35,1.2227058717657076e-35,3.9480683532596046e-22,6.0032174915550879e-64,5.731313767075295e-64,5.7313137673023007e-64,1.9570874632557215e-30,8.2466447288186932e-18,1.4093287508947206e-30,9.5142954712825061e-31,3.2477381632556365e-28,2.8972499322861239e-28,1.5571458927671559e-41,1.2680878188311975e-33,2.258715361643345e-53,3.3723887928916402e-42,3.4088878883321283e-42,9.6523417357500529e-46,2.9980852458637235e-53,2.8938685679863851e-60,5.433115660275475e-62,8.2017578834987891e-51,1.7737703912029364e-69,6.1193089473765563e-73,1.3923668227766715e-70,5.5646217841471892e-67,3.1392687052188066e-63,1.091318450976586e-30
2.7213016530420983e-16,0.39960951567166036,154.0,0.0,0.0,0.0,0.99999999994843813,1.0,19.0,4.2156217264298628e-12,2.2013862740993482e-11,2.2013854302897894e-11,1.7276574604293584e-17,9.373578297081762e-18,3.3165529293374961e-12,3.833412808081133e-16,1.1866893586470942e-15,4.2971512127356002e-16,1.1836123358514428e-17,2.1086616950808835e-25,1.1639076340430481e-20,1.3145719718669282e-25,2.3839663014021507e-21,9.2636226100366096e-28,9.2636266788580679e-28,3.6187905823186762e-34,4.5003030201950091e-35,8.389694108206067e-22,3.0974433714668152e-63,2.9571508726736641e-63,2.9571508728130346e-63,5.5960847150705448e-30,1.2370516532894539e-17,2.994931567636074e-30,2.7080679495285095e-30,9.2861804557232939e-28,8.2840377938494779e-28,5.7313648293567546e-41,3.6259599570776104e-33,1.0312543166774567e-52,1.2411853094088458e-41,1.2517867388145626e-41,4.4066868169840448e-45,1.6471673363435625e-52,1.8668742682782603e-59,3.5049774352233325e-61,3.7368358116705453e-50,1.317190290916807e-68,4.544160614377787e-72,1.0328502288817178e-69,3.5898333913267471e-66,2.0251853209936136e-62,2.3190652210121129e-30
4.535519159670014e-16,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999991406319,1.0,19.0,7.0260616226006142e-12,3.6689886932255359e-11,3.6689870900227466e-11,4.7764870154489161e-17,1.9632434545317951e-17,5.5266959701402662e-12,1.0596887990587644e-15,1.9776173601691421e-15,1.1878822438353876e-15,3.2721804577087755e-17,7.0345873469927595e-25,3.2178780414236885e-20,3.9193875363213198e-25,6.5909987406516491e-21,4.2572427411937954e-27,4.2572458706907474e-27,2.7832619800415034e-33,3.4623453137891712e-34,2.3195160396174635e-21,2.0880505718638725e-61,1.9934765029870963e-61,1.9934765031457904e-61,2.5717759566423949e-29,2.0619444583573302e-17,8.2807922120328998e-30,1.2275969900737185e-29,4.2670894082114513e-27,3.8065951944090246e-27,4.409800099429723e-40,1.6663671913161599e-32,1.3424731449573778e-51,9.5475332280989076e-41,9.5999670734140839e-41,5.7351855123825214e-44,3.6718196434984239e-51,7.2196684380628915e-58,1.3554623572788159e-59,4.8472635174890712e-49,8.9476042368450942e-67,3.0868370838693847e-70,6.9664539490389591e-68,1.3883419272401641e-64,7.8318981354580772e-61,6.4115676095327275e-30
6.107269996575323e-16,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999988428245,1.0,19.0,9.4608916482404849e-12,4.9404481921199558e-11,4.9404457083779683e-11,8.3284929765227113e-17,2.9164438977059552e-17,7.4410199015617296e-12,1.847565582880949e-15,2.6627407865305911e-15,2.0710706314711836e-15,5.7053278819488254e-17,1.3160698444850799e-24,5.6108346874909775e-20,7.0184149732970427e-25,1.1492358029658445e-20,9.2676263432427693e-27,9.2676345606986435e-27,7.3082039027715971e-33,9.0925081271267009e-34,4.0444119961023743e-21,1.1083016585916879e-60,1.0581033548764687e-60,1.0581033549668846e-60,5.5985306223788298e-29,2.7766803757065971e-17,1.4439462830473668e-29,2.6536962537161025e-29,9.2884813932593495e-27,8.2860904089382397e-27,1.1580988929607553e-39,3.6275289343888367e-32,4.1185797781320067e-51,2.5071144162231114e-40,2.5190400176794173e-40,1.7593641199501148e-43,1.2769341969088427e-50,2.767805975092498e-57,5.1964393102361391e-59,1.485989879462027e-48,3.6839358696865711e-66,1.2709260301233392e-69,2.8660149019961922e-67,5.3226439754805289e-64,3.0025167077693903e-60,1.1179496492241916e-29
7.679020833480633e-16,0.39960951567166036,154.0,0.0,0.0,0.0,0.99999999985450172,1.0,19.0,1.1895721673463039e-11,6.2119069816926352e-11,6.2119033405526838e-11,1.2866413934398418e-16,3.9036450151557868e-17,9.3548700237055412e-12,2.8539943884235097e-15,3.3477575099292907e-15,3.199249875093264e-15,8.8136669209331121e-17,2.1326558844806163e-24,8.6679949189021163e-20,1.1029560047177059e-24,1.7754168740746688e-20,1.7287950628031283e-26,1.7287968879070729e-26,1.6231293896462769e-32,2.0197429738926174e-33,6.248081488668288e-21,3.3376260983503212e-60,3.1864550119882686e-60,3.1864550123139502e-60,1.0443590483591013e-28,3.4915120477254179e-17,2.2308191672723803e-29,4.9119780355671247e-29,1.7325646655518349e-26,1.5455903762161991e-26,2.5726123432501935e-39,6.7668410172763145e-32,1.077256229755976e-50,5.5686391008653049e-40,5.5922053887625126e-40,4.6012924271438662e-43,3.8965379939921905e-50,9.784783572886898e-57,1.837052045986666e-58,3.8841699657427683e-48,1.5011422060119114e-65,5.1788092982060765e-69,1.1649055579015068e-66,1.881674801377669e-63,1.0614536704240768e-59,1.7270843502973336e-29
9.250771670385942e-16,0.3996095156716603,154.0,0.0,0.0,0.0,0.99999999982472099,1.0,19.0,1.4330551698300295e-11,7.4833651297867412e-11,7.4833600621993123e-11,1.8314617837702306e-16,4.9088636202982817e-17,1.1268282779618607e-11,4.0621652840154593e-15,4.0326757293532728e-15,4.5535764997408568e-15,1.2545347523018383e-16,3.1383592788714071e-24,1.2338406318203415e-19,1.5882811459286576e-24,2.5272067907194727e-20,2.8616195539683853e-26,2.8616230203628975e-26,3.0827378187318458e-32,3.8365620482810875e-33,8.8937971184370304e-21,1.0087167487082713e-59,9.6302894504992446e-60,9.6302894515379482e-60,1.7286976073291326e-28,4.2064321289348349e-17,3.1756002175471065e-29,8.072969674472873e-29,2.8676752208276959e-26,2.558202478416571e-26,4.8869197155597142e-39,1.1200939172430191e-31,2.3228045017508816e-50,1.0576978896442003e-39,1.0618292680709734e-39,9.9204651765699488e-43,9.4494428706021775e-50,2.6487951954048275e-56,4.9730019861591219e-58,8.3713948871443979e-48,4.5075347727553103e-65,1.5550625832264108e-68,3.4908771237375206e-66,5.0938966452485526e-63,2.8734141291046858e-59,2.4584087447421742e-29
1.2394273344196561e-15,0.39960951567166036,154.0,0.0,0.0,0.0,0.99999999976515952,1.0,19.0,1.9200211747102913e-11,1.0026279996139265e-10,1.0026271445081624e-10,3.1270881863237623e-16,6.9384773799324338e-17,1.5094118860156008e-11,6.9348979030903874e-15,5.4022893046602208e-15,7.7738314203925933e-15,2.1419097400914116e-16,5.5787723262548785e-24,2.1066940606548657e-19,2.7494713557507005e-24,4.3150239065447414e-20,6.0267283559358339e-26,6.0267371527492523e-26,7.8229981078822457e-32,9.7381407079450167e-33,1.5185524928031207e-20,6.0845956196915076e-59,5.809006056359929e-59,5.8090060570219912e-59,3.6407459105764859e-28,5.6364723505737312e-17,5.4225485578883331e-29,1.6810910898590042e-28,6.038863406999484e-26,5.3871635153500989e-26,1.2404870535224245e-38,2.3589802146648621e-31,6.9845280894492785e-50,2.6843775518260747e-39,2.6939721376503474e-39,2.9825882732516781e-42,3.3203877874942237e-49,1.0761148996019108e-55,2.0203607427503054e-57,2.5159282597818817e-47,2.0986269925174329e-64,7.2401377536895987e-68,1.6205076275023158e-65,2.0696139848927575e-62,1.1673699858460838e-58,4.1975579488636783e-29
