Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),C7H16(2),O2(3),C7H10(22),C7H9(6),C7H11(35),S(81),C7H9O2(80),C7H10(19),C7H10(166),C7H10(20),C7H10(159),C7H9O2(79),S(95),C7H10(75),S(258),C7H11(73),C5H7(209),C2H4(128),S(327),S(326),C7H8(65),S(371),S(370),S(359),S(122),HO2(39)
7.948239583813304e-10,0.817142689951148,154.0,0.0,0.0,0.0,0.99991148081975689,1.0,18.999992931071198,1.2768630815255983e-05,3.2665814625319336e-05,2.576176896309742e-05,6.9816664502746899e-06,1.2734413414027769e-11,8.9475979804038623e-09,4.8040756156417143e-06,5.2330658918474542e-12,5.4155179107607161e-06,8.4466763786698868e-08,1.4407668305323594e-13,1.98511888887315e-08,1.1304367613320603e-15,3.6720054404305946e-09,3.2854988435389339e-09,3.2872164282628518e-09,1.0290451550520979e-12,6.8853931938292809e-13,1.448208452848644e-09,4.2816194379537161e-20,4.0961613191239924e-20,4.0963679417783148e-20,1.4767758426236162e-11,2.7662267212607251e-09
8.064256327806148e-10,0.8171426893940346,154.0,0.0,0.0,0.0,0.99991018863865844,1.0,18.99999281155662,1.2954937246045836e-05,3.3142555183363585e-05,2.6121352745170363e-05,7.0998642073837642e-06,1.2920265516196938e-11,8.9475879568535143e-09,4.8742548891918058e-06,5.2330591295155275e-12,5.4946303426975325e-06,8.5702137178083558e-08,1.465158633705618e-13,2.0434870935868928e-08,1.1469700282991535e-15,3.7481332904824576e-09,3.4075260165672681e-09,3.4093074446734061e-09,1.0672759875856485e-12,7.1415184596799959e-13,1.4909592497046454e-09,4.6779725587073464e-20,4.4755128992983766e-20,4.4757421669191688e-20,1.5429404823625365e-11,2.8467618387882988e-09
8.180273071798993e-10,0.817142688836899,154.0,0.0,0.0,0.0,0.99990889645437475,1.0,18.999992692033686,1.3141241625353396e-05,3.3619293879167113e-05,2.6480924784024177e-05,7.2180691575565822e-06,1.3106116890277236e-11,8.9475779137927764e-09,4.9444340577403591e-06,5.2330523673704451e-12,5.5737426862009676e-06,8.6937505730090584e-08,1.4895519212726362e-13,2.1027008785800571e-08,1.163503230496745e-15,3.8244974145102449e-09,3.5320610156284298e-09,3.5339076002989426e-09,1.1062927569725121e-12,7.4029161612136016e-13,1.5343367779396133e-09,5.1040467617488937e-20,4.8833287397021193e-20,4.8835827322634727e-20,1.6110354240890114e-11,2.9284494742511269e-09
8.296289815791837e-10,0.817142688279745,154.0,0.0,0.0,0.0,0.99990760426690639,1.0,18.999992572503206,1.3327543953198009e-05,3.4096030712425692e-05,2.6840485910330111e-05,7.3362804698078718e-06,1.329196753622905e-11,8.9475679587017239e-09,5.0146131212377417e-06,5.2330456039821247e-12,5.6528549412151977e-06,8.8172869441908622e-08,1.5139465217466849e-13,2.1627602383938312e-08,1.1800363679235469e-15,3.9010900590315213e-09,3.6591114837667449e-09,3.6610245421931368e-09,1.1460978600215065e-12,7.6696024228384916e-13,1.5783412447258434e-09,5.5615539682335096e-20,5.3212500219432974e-20,5.3215309742045951e-20,1.6810877835855728e-11,3.0112896151062239e-09
8.412306559784681e-10,0.817142687722577,154.0,0.0,0.0,0.0,0.99990631207625358,1.0,18.999992452965952,1.3513844229599014e-05,3.4572765682835088e-05,2.720003687179319e-05,7.4544973961115176e-06,1.3477817453855802e-11,8.9475579553674317e-09,5.0847920797463959e-06,5.2330388412106016e-12,5.7319671078107314e-06,8.9408228312772258e-08,1.5383422807626743e-13,2.2236651675688684e-08,1.1965694405601847e-15,3.9779037281366114e-09,3.7886848132681777e-09,3.7906656665197654e-09,1.1866936149042121e-12,7.9415928399176063e-13,1.622972857209879e-09,6.0522749244066541e-20,5.7909840327332883e-20,5.7912943430893235e-20,1.7531246714799701e-11,3.0952822493028207e-09
8.528323303777526e-10,0.8171426871653976,154.0,0.0,0.0,0.0,0.99990501988241631,1.0,18.99999233342259,1.3700142454575758e-05,3.5049498790091108e-05,2.7559578341435768e-05,7.5727192631176101e-06,1.3663666643019851e-11,8.9475478966215313e-09,5.1549709332694201e-06,5.2330320791915156e-12,5.8110791859911746e-06,9.0643582341905557e-08,1.5627390593651113e-13,2.285415660645287e-08,1.2131024483935446e-15,4.0549311745364047e-09,3.9207881539839304e-09,3.9228381268806695e-09,1.2280822637652798e-12,8.218902496332088e-13,1.6682318225142004e-09,6.5780607389892848e-20,6.294305647847208e-20,6.2946478875317017e-20,1.8271731936298039e-11,3.1804273652327638e-09
8.64434004777037e-10,0.8171426866082095,154.0,0.0,0.0,0.0,0.99990372768539526,1.0,18.999992213873714,1.3886438628147579e-05,3.5526230033889559e-05,2.7919110925776148e-05,7.6909454639744985e-06,1.3849515103709831e-11,8.9475379174215553e-09,5.225149681744538e-06,5.2330253161861637e-12,5.8901911756864362e-06,9.1878931528498068e-08,1.5871367323202081e-13,2.3480117121626692e-08,1.2296353914258168e-15,4.1321653901315318e-09,4.0554284221387957e-09,4.0575488431287347e-09,1.2702659754847821e-12,8.5015459830675119e-13,1.7141183477389468e-09,7.1408345720029509e-20,6.8330589626202072e-20,6.8334358853051329e-20,1.9032604515097615e-11,3.2667249516815622e-09
8.810551844254689e-10,0.8171426858099424,154.0,0.0,0.0,0.0,0.99990187640923878,1.0,18.999992042593099,1.4153332922007243e-05,3.6209217479867596e-05,2.8434182141421936e-05,7.8603291210070888e-06,1.4115770285035824e-11,8.9475236096226769e-09,5.3256913296847727e-06,5.2330156271317431e-12,6.0035310919628702e-06,9.3648750447180761e-08,1.622091480408971e-13,2.4391636035642456e-08,1.2533212574748381e-15,4.2431621081081864e-09,4.2527553534164179e-09,4.2549790240074902e-09,1.3320902431402305e-12,8.9157988079338242e-13,1.7809518225507435e-09,8.0155462047137629e-20,7.6704814885472132e-20,7.6709132842670188e-20,2.0158738070045299e-11,3.3923677370629639e-09
8.976763640739008e-10,0.8171426850116701,154.0,0.0,0.0,0.0,0.99990002512654874,1.0,18.999991871303713,1.4420223005462872e-05,3.6892201099587481e-05,2.8949237645064844e-05,8.0297191464977845e-06,1.4382023970305882e-11,8.9475091468813173e-09,5.4262327621599392e-06,5.2330059397961845e-12,6.1168708267881621e-06,9.5418559422675308e-08,1.6570475427237139e-13,2.5320509731030175e-08,1.2770069904346696e-15,4.3545502181796478e-09,4.4553219031820762e-09,4.4576515671020062e-09,1.3955565925759013e-12,9.3410680419531801e-13,1.849074395529271e-09,8.9764281389005225e-20,8.5904597557497159e-20,8.5909530761109441e-20,2.1328069430759189e-11,3.5203759106745066e-09
9.142975437223326e-10,0.8171426842133979,154.0,0.0,0.0,0.0,0.99989817383732571,1.0,18.99999170000677,1.4687108878571349e-05,3.7575180892154898e-05,2.9464278648953813e-05,8.1991143271670239e-06,1.4648276159475432e-11,8.947494837670607e-09,5.5267739790275658e-06,5.2329962508492005e-12,6.2302103800019889e-06,9.7188358452639688e-08,1.6920046688831812e-13,2.6266738047168024e-08,1.3006925903105013e-15,4.4663114913211004e-09,4.6631460790874451e-09,4.6655844895104078e-09,1.460670670858082e-12,9.7773916752628762e-13,1.9184866754477382e-09,1.0029945318981564e-19,9.5991945807916486e-20,9.5997567258405208e-20,2.2541395120145206e-11,3.6507494429121171e-09
9.309187233707645e-10,0.8171426834151312,154.0,0.0,0.0,0.0,0.99989632254157079,1.0,18.999991528703308,1.4953990541389542e-05,3.8258156856675528e-05,2.9979306195894566e-05,8.3685136191631529e-06,1.4914526852225992e-11,8.9474807235157903e-09,5.6273149802679597e-06,5.2329865596859662e-12,6.3435497515824106e-06,9.8958147534749617e-08,1.726962643473192e-13,2.7230320823411653e-08,1.3243780570751077e-15,4.5784285516181008e-09,4.876245050600575e-09,4.8787949697075435e-09,1.5274378622020433e-12,1.0224805929667899e-12,1.9891892710103669e-09,1.118289753965936e-19,1.0703208640373805e-19,1.0703847606820422e-19,2.379951153166523e-11,3.7834883051678828e-09
9.475399030191964e-10,0.8171426826168738,154.0,0.0,0.0,0.0,0.9998944712392851,1.0,18.999991357394233,1.5220867993974331e-05,3.8941128992255088e-05,3.0494321182560179e-05,8.5379161247537658e-06,1.5180776047700493e-11,8.9474663246686488e-09,5.727855766101182e-06,5.2329768713167622e-12,6.45688894177773e-06,1.0072792666673245e-07,1.7619212812391942e-13,2.8211257899094143e-08,1.3480633906366771e-15,4.6908848370447619e-09,5.0946351864152953e-09,5.0972993849739957e-09,1.5958632997037031e-12,1.068334533757184e-12,2.0611827908585745e-09,1.2442428278361556e-19,1.1909355009519177e-19,1.1910079541262069e-19,2.5103214942300747e-11,3.9185924696907534e-09
9.641610826676283e-10,0.81714268181863,154.0,0.0,0.0,0.0,0.99989261993046885,1.0,18.999991186080312,1.5487741236382585e-05,3.9624097297999348e-05,3.1009324381754152e-05,8.7073210700644491e-06,1.5447023745680377e-11,8.9474517284781285e-09,5.8283963364864589e-06,5.2329671851433164e-12,6.5702279505422232e-06,1.0249769584627534e-07,1.7968804224793383e-13,2.9209549113526069e-08,1.3717485909794356e-15,4.803664556559209e-09,5.3183320956078893e-09,5.3211133525743497e-09,1.6659518782462673e-12,1.1153042828812607e-12,2.1344678435761829e-09,1.3816035102182365e-19,1.3224827226368583e-19,1.3225646867827062e-19,2.6453301523888875e-11,4.0560619094536172e-09
