Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82)
1e-12,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4470764596454062e-20,2.4471934571626432e-20,1.1917647117920753e-24,1.5167154677790849e-37,2.2130931016463577e-35,1.237126987451661e-35,1.2424275185395362e-40,5.3458304987257018e-31,9.8451297919609631e-36,8.3823115281066657e-39,2.1788470257106869e-26,8.5273852880786023e-47,4.8370740670075679e-49,2.0618437932215133e-52,8.2046221898852304e-53,1.6490745411034755e-77,6.0291596644759434e-46,1.1442998038447313e-45,9.7681181214555041e-36,4.1040025371077793e-66,9.4781878137258652e-64,6.0118688734189059e-75,1.2067827946452126e-93
1.023e-12,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5033417256022205e-20,2.5034628297552649e-20,1.2333316778082725e-24,1.5698044735455561e-37,2.297849299961328e-35,1.2878427776843711e-35,1.2953507439077165e-40,5.5322864143615008e-31,1.0248014547010754e-35,8.7253343630210566e-39,2.2289040910704532e-26,8.9023468803681737e-47,5.0499433492910042e-49,2.1556985196047746e-52,8.5780949830251308e-53,1.7260134426919668e-77,6.2942607557442093e-46,1.1946134940709195e-45,1.0108868488878751e-35,4.2908421785801904e-66,9.9168398318464883e-64,6.2863789108926075e-75,1.2631960315838399e-93
2.047e-12,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.008184044526003e-20,5.0086731627632686e-20,4.9357072262804866e-24,6.315019779104345e-37,1.4413212174462177e-34,1.0371159798908364e-34,1.6074779952855241e-39,2.2140764306851437e-30,8.2031155691854357e-35,6.9842392019343348e-38,4.4520425531744281e-26,1.4255929936789967e-45,8.1324888978902958e-48,6.9447978224430732e-51,2.7635166584993841e-51,2.2237615302293437e-75,1.0077007914077028e-44,1.9114951614526337e-44,4.049156098394312e-35,1.3852750730858774e-64,6.4041776889991916e-62,2.1343329740317305e-73,2.4008985363477163e-91
4.095e-12,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.0017128096045177e-19,1.0019093850295546e-19,1.9746324929433231e-23,2.5330435959581555e-36,9.9411096531286132e-34,8.3240094490734659e-34,2.1994873198850777e-38,8.8586265261482876e-30,6.5639797367209894e-34,5.5886043674986936e-37,8.8764709162137323e-26,2.2816410905362315e-44,1.3042003210066899e-46,2.2277690996974174e-49,8.8648616192476893e-50,2.850481817184363e-73,1.6127113401695162e-43,3.0557404745006071e-43,1.622875805861712e-34,4.4484380325203174e-63,4.1134098293481546e-60,7.0350853170203524e-72,5.0395872767483888e-89
8.191e-12,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.0032054734402291e-19,2.003993531056954e-19,7.8982220435147072e-23,1.0144988442550778e-35,7.3159879411758375e-33,6.669288341320174e-33,3.22069900365116e-37,3.5439144896396633e-29,5.2511533654262866e-33,4.4707723381325658e-36,1.7638789039511058e-25,3.6502800741296759e-43,2.0851696640990761e-45,7.1242714969453646e-48,2.8349203175162835e-48,3.6377763192097637e-71,2.5803170080347237e-42,4.8783267340520809e-42,6.5146618924349788e-34,1.423335884764805e-61,2.6324305567599255e-58,2.281089816266199e-70,1.1350858573745387e-86
1e-11,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4452536687048597e-19,2.4465643929674041e-19,1.3128688120510905e-22,1.6869177599561729e-35,1.805900956376557e-32,1.6984634702703057e-32,1.3358769447020702e-36,5.8918761472323271e-29,1.3366029372373328e-32,1.1379384482757273e-35,2.1433712912773678e-25,1.5734426623895501e-42,8.9614964888282672e-45,5.5690852542095533e-47,2.2160612431109895e-47,1.0475298606734024e-69,1.1124914451930914e-41,2.0956746747287071e-41,1.0870236813960633e-33,1.1128901537552706e-60,3.911638980956999e-57,1.7943673772896236e-69,5.9344930181611138e-85
1.6383e-11,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.0050069193262744e-19,4.0081618565242869e-19,3.1584224311481994e-22,4.0595269025322307e-35,5.5965425825230605e-32,5.3382012162463619e-32,4.9130634366881247e-36,1.4176585522806661e-28,4.1999115913193067e-32,3.5756206660280473e-35,3.4823983273766096e-25,5.8372960303914956e-42,3.3224400923458674e-44,2.2705651689322508e-46,9.0350713459892643e-47,4.6153484556005243e-69,4.1274259661654168e-41,7.7688949591111751e-41,2.6238746888089009e-33,4.5374686812149243e-60,1.6784890053963439e-56,7.3208612078683663e-69,2.6473654782760453e-84
3.2767e-11,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.0038799099619284e-19,8.0164986359434719e-19,1.2625526145002539e-21,1.6232903539700267e-34,4.3724161224803917e-31,4.2696406060461911e-31,7.6649260777912527e-35,5.6708197697311797e-28,3.3579284710588205e-31,2.858575106710636e-34,6.788825990058483e-25,9.3279649141772953e-41,5.2651840278054446e-43,7.1977389880541465e-45,2.8640998078665595e-45,5.7962936055862964e-67,6.599614845587335e-40,1.2313660980498617e-39,1.063842109300232e-32,1.4385599534952408e-58,1.0643901258067953e-54,2.3288423604149255e-67,6.1782733716208363e-82
6.5535e-11,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5982751187912057e-18,1.6033172670424116e-18,5.0434445378011696e-21,6.4855189595127813e-34,3.4523154738384266e-30,3.4121031761086176e-30,1.2094599410886658e-33,2.2683650744626372e-27,2.6829937952664439e-30,2.2836607834688522e-33,1.2917532377444404e-24,1.4886070601566959e-39,8.260858512384367e-42,2.2593205606004288e-43,8.9899812399465571e-44,7.140511172626543e-65,1.0545108473307734e-38,1.9337152579479198e-38,4.3692777986779194e-32,4.5157250133923914e-57,6.6834289472112408e-53,7.3227317030087188e-66,1.3966361043892357e-79
9.999999999999999e-11,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4335318511691367e-18,2.4465017727371753e-18,1.2971781676457149e-20,1.6681917714315762e-33,1.6034320213130113e-29,1.593818878471571e-29,1.0658020946974447e-32,5.8471642444347006e-27,1.2531390980847859e-29,1.0663313931414023e-32,1.8484299236215367e-24,1.3166073432608408e-38,7.0797973220231104e-41,3.7677597500154214e-42,1.4991410968123751e-42,4.492910787363767e-63,9.3487206181200375e-38,1.6603719307151106e-37,1.173974333339147e-31,7.5305248094922556e-56,2.1980578333296863e-51,1.2221587544247948e-64,1.5700604041755301e-77
1.31071e-10,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1865352439361384e-18,3.2066522377434718e-18,2.0119362214254334e-20,2.5874208609730927e-33,2.7377290451184141e-29,2.7230746624409051e-29,1.9176118698719034e-32,9.0735350266834166e-27,2.1409950358570194e-29,1.8217766360249204e-32,2.3502869178733071e-24,2.3693581271240273e-38,1.2717663827427163e-40,6.9607998857730772e-42,2.7696049281773409e-42,8.4790011064623559e-63,1.6826143852943578e-37,2.9829069541092569e-37,1.838438963047793e-31,1.3912365145097142e-55,4.1194054825738098e-51,2.2579471975204272e-64,2.9729154169172429e-77
2.62143e-10,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.3332822836253161e-18,6.4133226736114952e-18,8.0044421636522531e-20,1.02944139571359e-32,2.1712135810617948e-28,2.1676241820452774e-28,3.0415284837492133e-31,3.6294292007739701e-26,1.704194688000305e-28,1.4492184534146646e-31,3.9592777101826527e-24,3.7515921214334716e-37,1.8903776661934889e-39,2.0717750482175004e-40,8.2424576892467748e-41,9.4045768567460791e-61,2.6775198506099136e-36,4.4502163920575018e-36,8.0738020807615148e-31,4.1404456833898789e-54,2.4533577276605898e-49,6.7226978555185572e-63,5.8903049841651255e-75
5.24287e-10,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.2509907681408921e-17,1.2826664735585255e-17,3.167632753996037e-19,4.073936239601144e-32,1.7147263828873896e-27,1.7168783786125227e-27,4.8053877443521513e-30,1.4517748397148227e-25,1.3497829138799907e-27,1.1464346989184428e-30,5.9325789098327179e-24,5.8791259951112519e-36,2.6429552554005648e-38,5.8056756461489435e-39,2.3092857783264917e-39,9.2598189931965541e-59,4.237755179717086e-35,6.2592568008778703e-35,3.7965831639007419e-30,1.160036504418391e-52,1.3761745015113402e-47,1.8839093841575435e-61,1.1056161047243071e-72
9.999999999999999e-10,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.3310025787838059e-17,2.4464965300271073e-17,1.1549481004329389e-18,1.4854094474113996e-31,1.231938591591495e-26,1.2378161060925382e-26,6.8649212640030828e-29,5.4035870135745454e-25,9.7313799968559698e-27,8.2454901946058209e-30,7.5195905615148768e-24,8.2459934764892572e-35,3.0686509112029689e-37,1.3477302666500657e-37,5.3585807081826751e-38,6.8636010760182696e-57,6.0608943077377433e-34,7.3255397913623035e-34,1.8121503741525709e-29,2.6918171003356213e-51,6.385426275905099e-46,4.3719946491211034e-60,1.8268076357287364e-70
1.0485750000000002e-09,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.4412824611960586e-17,2.5653350839303256e-17,1.2405350570138911e-18,1.5954855197998914e-31,1.3402226487471367e-26,1.3466783415776627e-26,7.5168298295263315e-29,5.8071061024899993e-25,1.0587223915995369e-26,8.9703739390126727e-30,7.6816401396858782e-24,9.0279592386172949e-35,3.3550033187650432e-37,1.4794186812139112e-37,5.8821646805184197e-38,7.5549874059937902e-57,6.6364998623744402e-34,8.0096366217099337e-34,1.958421974268216e-29,2.9548331169855582e-51,7.0233893202427585e-46,4.7991819453428039e-60,2.0122138110543093e-70
2.0971510000000003e-09,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999995,4.6544749543442679e-17,5.1306724664960013e-17,4.7619883551142794e-18,6.1245525480890218e-31,1.0256546852908511e-25,1.0367531915529778e-25,1.1521244136796288e-27,2.322843861004868e-24,8.1505891007122301e-26,6.8724226748188096e-29,8.6904594967722661e-24,1.317440875460109e-33,3.73319496069807e-36,3.3111108254429863e-36,1.3154096554688786e-36,4.62316739511025e-55,1.0183090073948744e-32,8.9801555862202926e-33,1.1144453801440712e-28,6.6078123973867507e-50,3.1499265138933929e-44,1.0732845447116129e-58,7.5495767765728614e-68
4.194303e-09,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999901,0.1052631579999999,8.4997677963051195e-17,1.0261347047441763e-16,1.7615819405311547e-17,2.2656352349954036e-30,7.5426525061840561e-25,7.7109161970550126e-25,1.6991969654479376e-26,9.2913780210672836e-24,6.061976971826889e-25,5.0622752501836006e-28,9.065631739318014e-24,1.7896854599630546e-32,3.5649159697833679e-35,6.3722804561212493e-35,2.5273313182826229e-35,2.1050700961741499e-53,1.5042483459710508e-31,8.5911164467359907e-32,6.8140220141276376e-28,1.2695777618533483e-48,1.2149194439924987e-42,2.0621862776494333e-57,1.1057486756812524e-65
8.388607e-09,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999797,0.10526315799999975,1.4408546152386787e-16,2.0522694874669375e-16,6.114156560639847e-17,7.863651296634566e-30,5.1706016293278134e-24,5.4041533116381958e-24,2.3416100811470315e-25,3.7165513489270717e-23,4.2484192925202603e-24,3.4808615895194201e-27,9.2254184338538566e-24,2.1297957463587496e-31,2.9074852513219411e-34,1.0491379449627173e-33,4.1472074906982883e-34,6.8908476989303891e-52,2.0790521487984554e-30,6.9299795571149941e-31,4.2415765893376705e-27,2.083306240158097e-47,4.0053448558358494e-41,3.3839767773381979e-56,1.274270357234722e-63
9.999999999999999e-09,0.0022915506178575974,0.84210526299999999,0.0,0.0,0.0,0.052631578999999755,0.10526315799999968,1.5827721237695073e-16,2.4464960284314859e-16,8.637250662929404e-17,1.1108702401798772e-29,1.0263517493359879e-23,1.1008088126165131e-23,7.4540667806670907e-25,5.8583214423178909e-23,8.6537059850764859e-24,6.9345613140787742e-27,9.2654609993225452e-24,5.6987470389448829e-31,6.2406915506745286e-34,3.687124709544995e-33,1.4500590634275152e-33,3.6435550485933079e-51,6.6471596433977824e-30,1.4570149248503552e-30,8.2696755631991436e-27,7.2842212350965186e-47,2.4889324361960532e-40,1.1832037885886674e-55,2.2406465710305622e-62
1.6777215e-08,0.0022915506178575974,0.84210526299999999,0.0,0.0,0.0,0.052631578999999588,0.1052631579999994,2.1796503946678919e-16,4.1045384965463752e-16,1.9248908524449436e-16,2.4756775234239691e-29,3.1683360937793421e-23,3.4577180882577883e-23,2.8956095293163966e-24,1.4866202451779699e-22,2.7181510842173729e-23,2.1460170882185097e-26,9.4338724764314013e-24,2.0709082962201443e-30,2.0259528501106156e-33,1.4781999436398407e-32,5.8044967171467746e-33,1.6069499737357425e-50,2.5859758080905604e-29,4.6703261800825649e-30,2.5211100024605281e-26,2.9158288652183266e-46,1.1272340280750485e-39,4.7362989345754896e-55,1.1128449318700594e-61
3.3554431e-08,0.002291550617857597,0.84210526299999999,0.0,0.0,0.0,0.052631578999999179,0.10526315799999864,2.8583971378855457e-16,8.2090742850003131e-16,5.3506874774375019e-16,6.8817308670784264e-29,1.6599158118187146e-22,1.9677326500581472e-22,3.0782679284056079e-23,5.9464777871149168e-22,1.5467536694889007e-22,1.1386562181106552e-25,9.8402988285330434e-24,1.5612852641425256e-29,1.2089755558465766e-32,1.7868210060693052e-31,6.9237934173115306e-32,2.6721272146543152e-49,2.7821608323436314e-28,2.5966026199308398e-29,1.3554158333988331e-25,3.4780964197517878e-45,2.7063727944754493e-38,5.6496310430694241e-54,7.0899575459276487e-60
5.0331647e-08,0.002291550617857596,0.84210526299999999,0.0,0.0,0.0,0.05263157899999877,0.10526315799999786,3.1769797950414243e-16,1.2313607843743596e-15,9.1366496285039883e-16,1.1751007709189535e-28,3.7924225450567746e-22,4.7374556656150161e-22,9.4496484105017388e-23,1.2636260368956028e-21,3.7237674661574674e-22,2.6241508536735777e-25,1.0246700248646125e-23,4.2809055523917414e-29,2.9541058256731755e-32,5.7916848046398805e-31,2.2285113823060699e-31,1.088840978901927e-48,8.5979730834676333e-28,6.0657179234668849e-29,3.1817462757895893e-25,1.1194698092218785e-44,1.1054365027209935e-37,1.8184074044978319e-53,3.0222219304693364e-59
8.388607900000001e-08,0.002291550617857594,0.84210526299999999,0.0,0.0,0.0,0.052631578999997951,0.10526315799999623,3.3948628919575941e-16,2.0522666043059562e-15,1.7127862512209163e-15,2.2028825452731824e-28,1.0611570895960117e-21,1.5122789779829716e-21,4.5105145596080541e-22,3.4935507434439684e-21,1.1885721911694907e-21,7.5240116808782254e-25,1.1060293387767115e-23,1.4569924160174509e-28,9.6145584558648757e-32,3.1860484889308797e-30,1.1983477057023667e-30,5.814818787665682e-48,4.1948372198149621e-27,1.7627936932796214e-28,9.6336879895654582e-25,6.0197768740091361e-44,1.0083445587566772e-36,9.778215815892536e-53,8.1067869099312529e-58
9.999999999999998e-08,0.0022915506178575904,0.84210526299999999,0.0,0.0,0.0,0.052631578999997555,0.10526315799999544,3.4309170158107625e-16,2.4464912120322152e-15,2.1034088223565186e-15,2.7052778247240771e-28,1.5403771753891077e-21,2.4848552740046238e-21,9.4432214722022486e-22,5.421132851959487e-21,1.9527730791458511e-21,1.1217431532149008e-24,1.1451564879274436e-23,2.4618590165344425e-28,1.5991678900034362e-31,7.8961261791788805e-30,2.8703187567224975e-30,1.4956255087636909e-47,9.0706690366638951e-27,2.6396541594280045e-28,1.5042361397661908e-24,1.4418752334570972e-43,3.9447756969166716e-36,2.3421090014731528e-52,4.635462202139608e-57
1.5099494300000001e-07,0.0022915506178575904,0.84210526299999999,0.0,0.0,0.0,0.052631578999996306,0.10526315799999296,3.5450157501167884e-16,3.6940746772979309e-15,3.3395930974050008e-15,4.2951837600372441e-28,3.0569417011475559e-21,5.5627202318119388e-21,2.5053519415418406e-21,1.1521258311899931e-20,4.3712025056587382e-21,2.2905817914992916e-24,1.2689802761099777e-23,5.6419115323664294e-28,3.6173042179310612e-31,2.2801880237410211e-29,8.16152432018665e-30,4.3885714469693261e-47,2.4500977127276868e-26,5.4146118801584418e-28,3.2158927387497331e-24,4.0998581965717262e-43,1.3237556672688763e-35,6.6596031242628014e-52,1.6739568777954093e-56
2.8521267100000005e-07,0.002291550617857583,0.84210526299999999,0.0,0.0,0.0,0.052631578999993024,0.10526315799998641,3.7389895797599336e-16,6.9776765578887913e-15,6.6038531627317768e-15,8.4934789218448647e-28,8.1389690599540104e-21,2.1584942348571863e-20,1.3444316257227121e-20,4.184798923689816e-20,1.695645712770227e-20,6.8232648606192098e-24,1.5954873879165425e-23,2.3057455917106006e-27,1.4466096407358155e-30,1.7969469106574139e-28,5.8513127183716683e-29,3.6681855162137457e-46,1.4547825086132418e-25,1.6206946413460804e-27,1.0530931907451183e-23,2.9393470886234274e-42,1.8858947032327476e-34,4.7745291322540273e-51,3.5149515592741492e-55
5.536481270000001e-07,0.002291550617857568,0.84210526299999999,0.0,0.0,0.0,0.05263157899998646,0.10526315799997331,4.1061819632795182e-16,1.35448232695881e-14,1.3134504750425532e-14,1.6892810598818496e-27,1.9492798487949337e-20,8.5336672545858996e-20,6.5841868208040076e-20,1.5958577968470456e-19,6.7005001449974877e-20,2.0052729320483149e-23,2.2502287853869582e-23,9.8785647273742156e-27,5.9706439463992413e-30,1.4747933615547681e-27,4.0616080936107935e-28,3.3156895092057399e-45,8.5655265632172176e-25,4.7743252258967103e-27,3.1582356801797995e-23,2.040307292788123e-41,2.6229517789487434e-33,3.3141744620729075e-50,6.9117346305791553e-54
9.999999999999997e-07,0.002291550617857538,0.84210526299999999,0.0,0.0,0.0,0.052631578999975538,0.10526315799995152,4.7150304312504725e-16,2.4464421483213346e-14,2.3993969840109455e-14,3.0859602104806793e-27,3.900636170806804e-20,2.9685881235729313e-19,2.5787474648986864e-19,5.4519135729820575e-19,2.3289499276254475e-19,5.4219759873692525e-23,3.3439690881726038e-23,3.920724037177017e-26,2.1904785094142751e-29,1.054085356799224e-26,2.2293289188536338e-27,2.7872493641124906e-44,4.462061803042104e-24,1.2922999525290942e-26,7.5119138963685951e-23,1.1198805897568587e-40,2.8525438678987213e-32,1.8190794206037252e-49,1.0623186331530425e-52
1.0905190390000001e-06,0.002291550617857538,0.84210526299999999,0.0,0.0,0.0,0.052631578999973325,0.10526315799994711,4.8385033716616649e-16,2.6678888580483661e-14,2.6196242090846133e-14,3.3692032349891549e-27,4.2963663328153099e-20,3.3975497115296767e-19,2.9681853198726966e-19,6.2339120013523631e-19,2.665370664305816e-19,6.1148747872271319e-23,3.5657768750612364e-23,4.5155022144545301e-26,2.5136188906318772e-29,1.237942781186657e-26,2.5990628332595753e-27,3.2852551853925468e-44,5.1932500041204951e-24,1.4575530210885642e-26,8.3948289059907147e-23,1.3056126416502698e-40,3.3778397977987582e-32,2.1207735333093047e-49,1.2637373600751918e-52
2.164260863e-06,0.002291550617857478,0.84210526299999999,0.0,0.0,0.0,0.052631578999947054,0.10526315799989472,6.303092439103359e-16,5.294610742000582e-14,5.2320636929705725e-14,6.7291659304036387e-27,9.0228802281415866e-20,1.3569050505975973e-18,1.2669754559240651e-18,2.4642616256191985e-18,1.0627123562825125e-18,2.0048958121562581e-22,6.2205498792450008e-23,2.2558427387508282e-25,1.0653672033763444e-28,1.0481539693705546e-25,1.4851929520749697e-26,3.6251818197229986e-43,3.3630876469973658e-23,4.781656459513762e-26,1.9893088339773545e-22,7.4607149633196502e-40,3.8984404291884419e-31,1.2118837031324539e-48,2.2744811520004672e-51
4.311744511e-06,0.0022915506178573584,0.84210526299999999,0.0,0.0,0.0,0.052631578999894499,0.10526315799978991,9.2324726493666893e-16,1.0547690328560097e-13,1.0457307196988814e-13,1.3449560165863934e-26,1.8507227425460633e-19,5.4296648842252342e-18,5.2468387314375594e-18,9.7985630248304809e-18,4.238492776305205e-18,7.0660257938732074e-22,1.1624318887217108e-22,1.2479387621621352e-24,4.4812615198181782e-28,8.8244352399026149e-25,7.5359402346498828e-26,4.4721566234754918e-42,2.3408119337865216e-22,1.6857431084493293e-25,4.3475656685500296e-22,3.7856025405663183e-39,4.0032323487943777e-30,6.1491868937041528e-48,3.9279342688002943e-50
