Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19)
1.7179869183e-05,0.0025151084869230855,0.84210526299999999,0.0,0.0,0.0,0.052631578999997645,0.10526315799999529,3.5442990016828393e-18,2.3558318597895003e-15,2.3524802848549962e-15,9.5677619033721163e-30,1.6944137171796859e-22,1.0937709916038888e-20,1.0779900944423651e-20,9.6440546735380652e-20,3.5225073787170244e-20,1.0849710919762032e-23
3.4359738367e-05,0.0025151084869230794,0.84210526299999999,0.0,0.0,0.0,0.052631578999995286,0.10526315799999059,4.5420603308819969e-18,4.71147087355386e-15,4.7077000542829455e-15,1.9146665557632155e-29,3.4135734796041405e-22,4.380646133463906e-20,4.3547052717324247e-20,3.857471036597243e-19,1.4096871077713469e-19,7.5687445686122119e-23
6.8719476735e-05,0.002515108486923068,0.84210526299999999,0.0,0.0,0.0,0.052631578999990575,0.10526315799998116,6.5378282858162754e-18,9.4221706351852913e-15,9.418718436519924e-15,3.8306827077471476e-29,6.8670689251713726e-22,1.7553812351229517e-19,1.753820877915582e-19,1.5428677847910846e-18,5.6373685173872198e-19,4.8058454711357028e-22
9.999999999999998e-05,0.0025151084869230443,0.84210526299999999,0.0,0.0,0.0,0.05263157899998628,0.10526315799997259,8.3551885483136601e-18,1.3709660026588534e-14,1.370860440794358e-14,5.5754202877216854e-29,1.0038647057627408e-21,4.1647877580329126e-19,4.1717934858381713e-19,3.6493298387806774e-18,1.3324369962584614e-18,1.4947844138238771e-21
0.000137438953471,0.0025151084869230443,0.84210526299999999,0.0,0.0,0.0,0.052631578999981145,0.10526315799996232,1.0530346097030709e-17,1.8841259471785735e-14,1.8843072265766546e-14,7.6636573840895786e-29,1.3834637461135855e-21,7.0485521356218823e-19,7.0658104175644072e-19,6.1705068075810904e-18,2.2524768785844365e-18,2.7086573819448155e-21
0.000274877906943,0.002515108486922997,0.84210526299999999,0.0,0.0,0.0,0.052631578999962271,0.1052631579999246,1.8519315018032325e-17,3.7670215173146611e-14,3.7701061645813354e-14,1.5333381701585004e-28,2.8011082338339625e-21,2.8436918248078336e-18,2.8576251409379527e-18,2.4674325112948084e-17,8.9874937324849834e-18,1.3530281453673286e-20
0.000549755813887,0.002515108486922902,0.84210526299999999,0.0,0.0,0.0,0.052631578999924468,0.10526315799984912,3.451303115015535e-17,7.5291408330913353e-14,7.5454273927595958e-14,3.0687973565484726e-28,5.7321263531099915e-21,1.1580096046967662e-17,1.1661323918929428e-17,9.863589085307788e-17,3.5766709759970094e-17,6.1341743364336027e-20
0.0009999999999999998,0.0025151084869227108,0.84210526299999999,0.0,0.0,0.0,0.052631578999862365,0.1052631579997253,6.0762377927023563e-17,1.3679493725652295e-13,1.3741589600873575e-13,5.5888356812382873e-28,1.0841580241666547e-20,4.1390481004849067e-17,4.1776327768162948e-17,3.4058149569538762e-16,1.2245444491656116e-16,2.2439635728293944e-19
0.001099511627775,0.0025151084869227108,0.84210526299999999,0.0,0.0,0.0,0.05263157899984864,0.10526315799969793,6.6563930298742671e-17,1.5038826386920281e-13,1.5111046900501232e-13,6.1458070391812201e-28,1.1970856508132227e-20,4.7979083419392287e-17,4.8432256141962109e-17,3.9405559200459051e-16,1.4161390971283832e-16,2.6043420196305301e-19
0.001649267441663,0.002515108486922521,0.84210526299999999,0.0,0.0,0.0,0.052631578999772589,0.10526315799954652,9.8678643033680013e-17,2.2534090952354917e-13,2.2691725441741239e-13,9.2289413745765174e-28,1.8580186421500478e-20,1.0437750438558315e-16,1.055050959284391e-16,8.3665549561199326e-16,2.9882157046192342e-16,5.6121759834011841e-19
0.002199023255551,0.002515108486922329,0.84210526299999999,0.0,0.0,0.0,0.052631578999696317,0.10526315799939487,1.3085750930950613e-16,3.0015064528067688e-13,3.0287543402842426e-13,1.231823305663875e-27,2.5554145855859003e-20,1.8183043465995158e-16,1.8399987737058737e-16,1.4261218568443803e-15,5.0648033916283294e-16,9.6189619783689924e-19
0.003298534883327,0.0025151084869219444,0.84210526299999999,0.0,0.0,0.0,0.052631578999543238,0.10526315799909104,1.9536683466298877e-16,4.4943866676814153e-13,4.5514953786146215e-13,1.8511366235819887e-27,4.0339788015555255e-20,3.893531758680673e-16,3.9466974198839802e-16,2.9487783583083375e-15,1.0374561096185716e-15,1.9922606599243444e-18
0.004398046511103,0.002515108486921558,0.84210526299999999,0.0,0.0,0.0,0.052631578999389327,0.10526315799878636,2.6011480402881364e-16,5.9821165876095368e-13,6.0798682414382071e-13,2.4727404583177514e-27,5.6418460466275845e-20,6.8280954777085207e-16,6.9316247893439235e-16,5.0089467263026098e-15,1.7466726055650535e-15,3.3755464947012709e-18
0.005497558138879,0.0025151084869211703,0.84210526299999999,0.0,0.0,0.0,0.052631578999234534,0.10526315799848078,3.2512059144385615e-16,7.4644107327904025e-13,7.6143255214621398e-13,3.096818883650211e-27,7.3845270014007584e-20,1.0749998201400539e-15,1.0928451244936159e-15,7.6429803660676003e-15,2.6411888973651738e-15,5.1257274919330776e-18
0.007696581394431,0.0025151084869203875,0.84210526299999999,0.0,0.0,0.0,0.052631578998922152,0.10526315799786665,4.559353654807495e-16,1.0412881396694296e-12,1.0702195931174565e-12,4.3526852594479352e-27,1.1259159555348613e-19,2.2045681225873358e-15,2.2478318409048883e-15,1.4655213668508305e-14,4.9617765539925021e-15,9.6785517354601629e-18
0.009895604649983,0.002515108486919597,0.84210526299999999,0.0,0.0,0.0,0.052631578998606064,0.10526315799724863,5.8782656399849252e-16,1.3340429484246134e-12,1.3815470935373676e-12,5.6188839265094299e-27,1.563034174109821e-19,3.8280156864374633e-15,3.9131417862788847e-15,2.3968565482093868e-14,7.9573417739792248e-15,1.5567790529996036e-17
0.009999999999999998,0.002515108486918799,0.84210526299999999,0.0,0.0,0.0,0.052631578998590965,0.10526315799721919,5.9411506834573115e-16,1.3478906581483389e-12,1.3963910192749976e-12,5.6792555896576804e-27,1.5849499989393675e-19,3.9186664183250212e-15,4.006285570081677e-15,2.4467478939866618e-14,8.1152646723222898e-15,1.587848323635229e-17
0.012094627905535001,0.002515108486918799,0.84210526299999999,0.0,0.0,0.0,0.052631578998286223,0.10526315799662657,7.2081037749303012e-16,1.6247711704613202e-12,1.6954533368252457e-12,6.8955705871648135e-27,2.0469794088965134e-19,5.9976419152877061e-15,6.1449692590255575e-15,3.5565412802984367e-14,1.1584870698239322e-14,2.2708249959952513e-17
0.014293651161087002,0.0025151084869179914,0.84210526299999999,0.0,0.0,0.0,0.052631578997962572,0.10526315799600039,8.5490245397139983e-16,1.9135367851573907e-12,2.0119753228383341e-12,8.182895723373716e-27,2.5750484195957793e-19,8.7643292447432237e-15,8.9981884106630603e-15,4.9428241406059473e-14,1.5803256852100568e-14,3.1018513877735901e-17
0.018691697672191004,0.0025151084869163547,0.84210526299999999,0.0,0.0,0.0,0.052631578997303696,0.10526315799473535,1.126463647341698e-15,2.485398302277318e-12,2.6529900687828992e-12,1.0789963894812733e-26,3.7546381249865632e-19,1.6261420111019716e-14,1.6755989843432667e-14,8.3889797597440779e-14,2.5877044993197553e-14,5.0879970586476489e-17
