Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66)
0.22270737608466482,0.0018235850886399293,0.84210526299999999,0.0,0.0,0.0,0.045727832876561091,0.094936562682716844,1.7956087094948122e-07,4.4259549507292395e-05,1.6895787239845168e-05,9.7673396158565472e-18,2.1914399496129169e-08,0.0014398120366782344,0.01083084896819572,0.0013794745534889857,5.4327748788810602e-05,1.3524434147283176e-08,9.1505386399540438e-11,3.0386645254421684e-07,2.8642147000473691e-10,0.0053918787224094405,3.0723690968401378e-08
0.22290444531331197,0.001823624109213706,0.84210526299999999,0.0,0.0,0.0,0.045673152790264411,0.09484954666277487,1.8013549030460297e-07,4.4428809777694934e-05,1.6933066450564261e-05,9.835120299069514e-18,2.2081913511882905e-08,0.0014400292101089448,0.010928801819848221,0.0013898089069813227,5.4682322570424652e-05,1.3609017653878557e-08,9.2164002842111886e-11,3.0550523521150319e-07,2.8868967980900357e-10,0.0054459456289855006,3.0937952136458331e-08
0.22310151454195912,0.001823663440408977,0.84210526299999999,0.0,0.0,0.0,0.045618127072691313,0.094761980349602079,1.8071142995426221e-07,4.4597990028103125e-05,1.6970263367770485e-05,9.903474528962565e-18,2.2250399250002197e-08,0.001440214879694083,0.011027442491390311,0.001400176481164216,5.5037832080023544e-05,1.3693816170413792e-08,9.2825865637619071e-11,3.0714895120588719e-07,2.9096793595140249e-10,0.0055003888054028331,3.1152647549184662e-08
0.22329858377060627,0.001823703083273037,0.84210526299999999,0.0,0.0,0.0,0.045562754815417154,0.094673862635136677,1.8128868216309745e-07,4.4767085027707463e-05,1.7007375833470256e-05,9.9724052251328135e-18,2.2419858788720968e-08,0.0014403692175527724,0.011126773010603618,0.0014105769300681457,5.5394261800589405e-05,1.3778826047385921e-08,9.3490972031598659e-11,3.0879754207947863e-07,2.9325623329011361e-10,0.0055552090057785402,3.1367768912441525e-08
0.22349565299925342,0.0018237430388016555,0.84210526299999999,0.0,0.0,0.0,0.045507035119708557,0.094585192426754686,1.8186723788704322e-07,4.4936089966480857e-05,1.7044401497264358e-05,1.0041915135384137e-17,2.2590294282493383e-08,0.0014404923959378054,0.011226795387929924,0.0014210099054286298,5.5751596309600489e-05,1.3864043681931578e-08,9.4159319582909462e-11,3.1045095262446185e-07,2.955545665967088e-10,0.0056104069744975149,3.158330790945919e-08
0.22369272222790057,0.001823783308027996,0.84210526299999999,0.0,0.0,0.0,0.045450967101125721,0.094495968654540533,1.8244709018742282e-07,4.5104999772916487e-05,1.7081338264636944e-05,1.0112007179830069e-17,2.2761707826086105e-08,0.0014405845868981141,0.011327511608618255,0.0014314750563543175,5.6109819777138853e-05,1.3949465363546389e-08,9.4830905846344742e-11,3.1210912599454703e-07,2.9786293210907695e-10,0.0056659834420076903,3.1799256274681702e-08
0.22388979145654772,0.0018238238919844238,0.84210526299999999,0.0,0.0,0.0,0.045394549896186853,0.094406190281972488,1.8302823042728368e-07,4.5273809328482384e-05,1.7118183854492826e-05,1.0182684169766816e-17,2.2934101500414004e-08,0.0014406459622935621,0.011428923620851413,0.0014419720277491165,5.6468916298539162e-05,1.4035087374459653e-08,9.5505728098266114e-11,3.1377200514844502e-07,3.0018132515123741e-10,0.0057219391182515619,3.201560560560305e-08
0.22408686068519487,0.0018238647916192271,0.84210526299999999,0.0,0.0,0.0,0.045337782650848708,0.09431585628733119,1.8361065128972182e-07,4.5442513867587353e-05,1.71549361447913e-05,1.0253948861669037e-17,2.3107477425325266e-08,0.0014406766938927238,0.011531033355928724,0.0014525004625250751,5.6828869806624952e-05,1.4120905969021331e-08,9.6183783230805651e-11,3.1543953228549369e-07,3.0250973985827729e-10,0.0057782747038282196,3.2232347404420012e-08
0.22428392991384202,0.0018239060079420927,0.84210526299999999,0.0,0.0,0.0,0.045280664526228039,0.094224965673107397,1.8419434312092569e-07,4.5611108230444424e-05,1.719159272272443e-05,1.032580395798178e-17,2.3281837766218163e-08,0.0014406769531702618,0.011633842718452287,0.0014630600008325998,5.7189664270854554e-05,1.4206917390899689e-08,9.6865068502789179e-11,3.1711164829755342e-07,3.0484817239396657e-10,0.0058349908847295353,3.2449473342443023e-08
0.22448099914248917,0.0018239475419510485,0.84210526299999999,0.0,0.0,0.0,0.045223194704668915,0.094133517475188125,1.8477929728334891e-07,4.5779587335717771e-05,1.7228151320017834e-05,1.0398252228481496e-17,2.3457184595803394e-08,0.0014406469111132071,0.011737353575497836,0.0014736502788262966,5.7551283313676527e-05,1.4293117797319619e-08,9.7549580852715683e-11,3.1878829139308931e-07,3.0719661872859674e-10,0.0058920883264147973,3.2666974935119228e-08
