Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12)
8.191e-12,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999477,0.10526315799999948,5.238906874302921e-16,5.2385814872928514e-16,2.3555273382476779e-19,6.9669286954776493e-30,2.0346646877655856e-26,8.1781786619747402e-27,1.7257430254730919e-30,2.2231013341346701e-24,5.4413358737220742e-28,5.2388133251696962e-29,2.6808698469493275e-19,2.2486077623347195e-36,6.1732489492817769e-37,2.1231897385689097e-39,6.6255505120739289e-40,6.8366545149235071e-59,1.6620250811693939e-34,2.8830229264026163e-33,1.2221211714969671e-26
1e-11,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999359,0.10526315799999936,6.3948511544071485e-16,6.3955093638988214e-16,3.9149767856050628e-19,1.1581548306123573e-29,4.1048169115629808e-26,2.0819671938558429e-26,5.56845659914216e-30,3.6959917966980509e-24,1.3848109293944599e-27,1.3316094111370232e-28,3.256693381348335e-19,9.6903686568601127e-36,2.6524763623023196e-36,1.6592644433902704e-38,5.1755103609859114e-39,1.8779543957974801e-57,7.1545837719016988e-34,1.2375215692807907e-32,2.0364056805684014e-26
1.6383e-11,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.05263157899999895,0.10526315799999895,1.0473564443464798e-15,1.0477693242492464e-15,9.4174454547494384e-19,2.786408947514121e-29,1.1409284376736427e-25,6.5424786136697541e-26,1.9127351425416155e-29,8.8930397914697748e-24,4.3511146740755179e-27,4.1816527089987156e-28,5.2884687379369827e-19,3.5948389546719462e-35,9.8334447516053222e-36,6.7647663405884758e-38,2.1099332219646091e-38,8.2630286084496332e-57,2.6534905564574056e-33,4.586812140202015e-32,4.909583138502597e-26
3.2767e-11,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999997902,0.1052631579999979,2.0928792157449686e-15,2.095612696355301e-15,3.7628835983624297e-18,1.1135553124254598e-28,7.1752872028087417e-25,5.2299434726565763e-25,2.3800442370698994e-28,3.5573730115906234e-23,3.4773718206218666e-26,3.3299874735708365e-27,1.0293321719962468e-18,5.740012299084212e-34,1.5582812308045966e-34,2.1443473358674251e-36,6.681543616610752e-37,9.4889437359527346e-55,4.2267679700777716e-32,7.2557543011749882e-31,1.9804917592159102e-25
6.5535e-11,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999995807,0.1052631579999958,4.1783118275931762e-15,4.1913769896120434e-15,1.5018143265604466e-17,4.4447453888998743e-28,4.9517843652066004e-24,4.175937264013232e-24,3.2590181721233404e-27,1.4230030150581077e-22,2.7761237169811757e-25,2.6395752366434485e-26,1.952700066558914e-18,9.1478880908200879e-33,2.445319939480634e-33,6.7321223203927855e-35,2.0934678063282875e-35,1.0024512830036525e-52,6.7028600627481999e-31,1.1348927830754654e-29,8.0543887209446527e-25
9.999999999999999e-11,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999993607,0.10526315799999357,6.3600302794610156e-15,6.3958170148699922e-15,3.8571627228316878e-17,1.1416021171247474e-27,2.1458910050751338e-23,1.9478264914267252e-23,2.6578013953990131e-26,3.6681878480968317e-22,1.2947132696542831e-24,1.2155289930062379e-25,2.7841757490273677e-18,8.0705504765889929e-32,2.0965883681091767e-32,1.1231573848434204e-33,3.4791546356074874e-34,4.9738577178862062e-51,5.8588647828849104e-30,9.6699130600591543e-29,2.1314506441617941e-24
1.31071e-10,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999991616,0.10526315799999156,8.3269002640246504e-15,8.3831710269050935e-15,5.9805641451599568e-17,1.7700788611645627e-27,3.6340468216297858e-23,3.3273669597889559e-23,4.7600631622302437e-26,5.6922742530684323e-22,2.2116534118389929e-24,2.073392829475757e-25,3.5337704372611513e-18,1.4521636238118358e-31,3.7662603136063475e-32,2.0750182691695681e-33,6.4269625526803921e-34,9.3675329469888244e-51,1.0536489363417398e-29,1.7364432573367156e-28,3.3268811321903445e-24
2.62143e-10,0.0029014561934744593,0.84210526299999999,0.0,0.0,0.0,0.052631578999983226,0.105263157999983,1.6536347839732645e-14,1.676755313949925e-14,2.371106159410418e-16,7.0179677857601454e-27,2.757366027987972e-22,2.6404714016034592e-22,7.2049266936906946e-25,2.2770560683889185e-21,1.7546817980203404e-23,1.6000779642083675e-24,5.9010145886413813e-18,2.2872940493649242e-30,5.6025604820817208e-31,6.1806652267438142e-32,1.8992209172887019e-32,7.4926548082205624e-49,1.6281547929349968e-28,2.5472002386917817e-27,1.4136831509098321e-23
3.93215e-10,0.002901456193474459,0.84210526299999999,0.0,0.0,0.0,0.052631578999974837,0.10526315799997435,2.4659422664485304e-14,2.5152528995343769e-14,5.007889384767792e-16,1.4822382705303523e-26,7.7516702776543583e-22,7.5151383554567146e-22,2.6121665190238829e-24,4.8389171775928734e-21,4.9934603335905273e-23,4.4820722739542386e-24,7.6736569261874411e-18,8.6662541863765496e-30,1.9924367047322944e-30,2.7423006187176454e-31,8.3989188737079873e-32,4.312409499386628e-48,5.8937329925221725e-28,8.9936422818646578e-27,3.1245012097644932e-23
6.55359e-10,0.0029014561934744562,0.84210526299999999,0.0,0.0,0.0,0.052631578999958066,0.10526315799995672,4.057060317047535e-14,4.1923898311634999e-14,1.3631164680197852e-15,4.0345865537158696e-26,3.4578869251405412e-21,3.4060095264224939e-21,1.9489030567810094e-23,1.3379038800014458e-20,2.2623801149898719e-22,1.9395105033312669e-23,9.797903432416787e-18,6.9054339655877065e-29,1.3689113183238055e-29,3.1931565100141795e-30,9.6488729990155803e-31,1.1579832002331643e-46,4.2810337535516273e-27,6.0160785330561514e-26,9.4760814688006069e-23
8.885846039391642e-10,0.002901456193474453,0.84210526299999999,0.0,0.0,0.0,0.05263157899994314,0.10526315799994077,5.4469385116003256e-14,5.6845835730114236e-14,2.3874751935715815e-15,7.0665255059359452e-26,7.6041583377747799e-21,7.5320272505678909e-21,5.2320151522774542e-23,2.3672169508689457e-20,5.0021406651631802e-22,4.1829479701909153e-23,1.098463243150432e-17,1.9538153099365314e-28,3.5357666726837669e-29,9.8426575376469445e-30,2.9590542595608828e-30,4.9642661509307454e-46,1.1327512791041434e-26,1.5336610694280223e-25,1.7713792879353476e-22
9.999999999999999e-10,0.0029014561934744506,0.84210526299999999,0.0,0.0,0.0,0.052631578999936007,0.10526315799993302,6.0982202044282124e-14,6.3974481901060969e-14,3.0036683483064218e-15,8.8903610635839099e-26,1.0726933172004365e-20,1.0653858599394989e-20,8.2776171158181732e-23,2.9961365236140722e-20,7.0746028189574652e-22,5.8205193114851867e-23,1.1339042557188533e-17,3.1189370388186711e-28,5.4358083320771665e-29,1.697120657158502e-29,5.0798604871490605e-30,9.2016532669121444e-46,1.7710318226765579e-26,2.334198489819123e-25,2.3123679573391264e-22
1.1218102078783284e-09,0.0029014561934744506,0.84210526299999999,0.0,0.0,0.0,0.052631578999928215,0.10526315799992456,6.8102650491765713e-14,7.1768215107375966e-14,3.6773509714016168e-15,1.0884356474161454e-25,1.4141056041585321e-20,1.4066949958457012e-20,1.1607367055323598e-22,3.6837329115764947e-20,9.3404211411919237e-22,7.6108724633039104e-23,1.1726518369420142e-17,4.392762066745663e-28,7.5131197063671219e-29,2.4764833578221741e-29,7.3985332791132125e-30,1.3834379296776193e-45,2.468862539490555e-26,3.2094242937912767e-25,2.9038296817484953e-22
1.3550358118174927e-09,0.0029014561934744454,0.84210526299999999,0.0,0.0,0.0,0.052631578999913289,0.10526315799990811,8.149338724812045e-14,8.6690862859911452e-14,5.2097554222828654e-15,1.5420037185625717e-25,2.3317581786697864e-20,2.327114962942422e-20,2.202661236624275e-22,5.2697132178662981e-20,1.5449500111189651e-21,1.2292620123006484e-22,1.219732407310782e-17,8.5272760056378413e-28,1.3717340548396631e-28,5.1712857831687523e-29,1.5362203012158339e-29,3.534728583628901e-45,4.6079850013972795e-26,5.7758855064345395e-25,4.3513504322688485e-22
1.8214870196958213e-09,0.002901456193474434,0.84210526299999999,0.0,0.0,0.0,0.052631578999883445,0.10526315799987467,1.0774153633817108e-13,1.1653650491911782e-13,8.8078877615797074e-15,2.6069958734583826e-25,4.8775716264719909e-20,4.8893566751625943e-20,5.5870747925194645e-22,9.0546489330944505e-20,3.2451834463387355e-21,2.4860045415077263e-22,1.2786231872437215e-17,2.3012661127151523e-27,3.278900591180384e-28,1.4857861840352942e-28,4.3748243104705618e-29,1.5527040188937086e-44,1.1381895735630549e-25,1.3483880861517966e-24,8.0338969178523992e-22
2.2879382275741498e-09,0.0029014561934744224,0.84210526299999999,0.0,0.0,0.0,0.052631578999853601,0.10526315799984036,1.3314565979243029e-13,1.4638250390834901e-13,1.3250042722920502e-14,3.9218064992592001e-25,8.7194765749301562e-20,8.7716204486776467e-20,1.1658899702987033e-21,1.3836741355083904e-19,5.8205987130296881e-21,4.3033419825652426e-22,1.300821138644008e-17,5.011341181766225e-27,6.4889395697607969e-28,3.4064722670937069e-28,9.9505150884878124e-29,4.2203959377121276e-44,2.3175219770823873e-25,2.6084540077492555e-24,1.3087960531247446e-21
2.7543894354524782e-09,0.0029014561934744064,0.84210526299999999,0.0,0.0,0.0,0.052631578999823757,0.10526315799980521,1.5769107698687155e-13,1.7622864877749814e-13,1.8550898228119278e-14,5.4907800482203307e-25,1.4192965010426593e-19,1.4323578529797346e-19,2.1759939633391642e-21,1.9682919539070255e-19,9.502583425732901e-21,6.780254778661827e-22,1.3073652148680202e-17,9.6342350908110462e-27,1.1498921628950809e-27,6.8886487921409811e-28,1.9959563344671086e-28,1.0348513264372348e-43,4.2192678410260812e-25,4.5135744724596503e-24,1.976619409283052e-21
3.687291851209135e-09,0.0029014561934743686,0.84210526299999999,0.0,0.0,0.0,0.052631578999764062,0.10526315799973253,2.0440348069747991e-13,2.3592096884305931e-13,3.1531008069245441e-14,9.3326987501950972e-25,3.155553693879881e-19,3.2060526346779977e-19,6.369030836506296e-21,3.4627129074726284e-19,2.125892175383533e-20,1.3979000746776534e-21,1.3141708010427662e-17,2.8725878609427565e-26,2.9658711621396386e-27,2.3693537348525323e-27,6.6986933997035904e-28,5.0414577387392575e-43,1.1558970049842613e-24,1.091877732630676e-23,3.901673653568134e-21
4.620194266965792e-09,0.002901456193474322,0.84210526299999999,0.0,0.0,0.0,0.052631578999704366,0.1052631579996569,2.4816704849569572e-13,2.9561328290889852e-13,4.7459899297640021e-14,1.4047414031271453e-24,5.865889929062544e-19,5.9945089962883004e-19,1.45590575127634e-20,5.3894620344641458e-19,3.9731246102353397e-20,2.4249628181196166e-21,1.3172634446738544e-17,6.5496786498392529e-26,6.1103254234773386e-27,6.0206462915501614e-27,1.6669981504514732e-27,1.5488098182643202e-42,2.4956267513199809e-24,2.1179087062157494e-23,6.6899595335713123e-21
5.553096682722449e-09,0.0029014561934742676,0.84210526299999999,0.0,0.0,0.0,0.052631578999644671,0.10526315799957864,2.892757310309624e-13,3.5530554481700819e-13,6.6043604601257826e-14,1.9547915825046422e-24,9.7162146403935077e-19,9.9825930046575225e-19,2.8539858551225343e-20,7.748778064744586e-19,6.6137581890789408e-20,3.7646103238038848e-21,1.3212679669749739e-17,1.2703865416331199e-25,1.0934611465654418e-26,1.27694133822299e-26,3.4670400587168363e-27,3.8367073361510919e-42,4.6422410636814483e-24,3.5737274316406721e-23,1.0451330908711736e-20
6.485999098479106e-09,0.002901456193474207,0.84210526299999999,0.0,0.0,0.0,0.052631578999584976,0.10526315799949799,3.2800484452713688e-13,4.1499775432386513e-13,8.7006792647212748e-14,2.5752710045015674e-24,1.4856844770107578e-18,1.5342574374940925e-18,5.0403458203938912e-20,1.0540734542486181e-18,1.0161143150773126e-19,5.411932255523117e-21,1.3262196997985876e-17,2.2109012533629545e-25,1.777973148327725e-26,2.4013524069632345e-26,6.3966806234515972e-27,8.2705781678178709e-42,7.8017238868488454e-24,5.482199368481127e-23,1.5286367140518526e-20
8.35180392999242e-09,0.0029014561934740672,0.84210526299999999,0.0,0.0,0.0,0.052631578999465592,0.10526315799933041,3.9919972284236455e-13,5.3438203690085916e-13,1.3519621291070237e-13,4.0016068842897711e-24,2.9462743120181421e-18,3.0724953898308329e-18,1.2672391994524127e-19,1.7422583427675148e-18,2.033516998947709e-19,9.5769065009188135e-21,1.336929304232094e-17,5.3678995082101578e-25,3.86696085495558e-26,6.642197843989249e-26,1.7039476028840675e-26,2.8736824534064235e-41,1.7884916141067301e-23,1.0647770064223324e-22,2.8487180840960329e-20
9.999999999999999e-09,0.0029014561934739246,0.84210526299999999,0.0,0.0,0.0,0.052631578999360128,0.10526315799917661,4.5632874826595279e-13,6.3984239130681502e-13,1.8352730143131176e-13,5.4321360746067501e-24,4.7756071472640576e-18,5.0224724762111017e-18,2.4439269649640466e-19,2.494143162881076e-18,3.3223413793393783e-19,1.4134017405723563e-20,1.3464965339762585e-17,1.00189727865978e-24,6.6682583311663616e-26,1.3652539019790557e-25,3.3911151875783843e-26,6.8060998261460513e-41,3.1984243400331071e-23,1.6650240073230082e-22,4.4475746364073279e-20
1.0031028278354404e-08,0.0029014561934739246,0.84210526299999999,0.0,0.0,0.0,0.052631578999358143,0.10526315799917367,4.5736089225110217e-13,6.4182774442881803e-13,1.8448050326194181e-13,5.4603494488372626e-24,4.8153213653435917e-18,5.0650307813434502e-18,2.4716104621328109e-19,2.5095929784622935e-18,3.3504616612179814e-19,1.4227078466907577e-20,1.3466719553709764e-17,1.0126491341460153e-24,6.7307231297419251e-26,1.3821440899851664e-25,3.4311497081756896e-26,6.905252325842604e-41,3.2303674913119998e-23,1.6775783931138495e-22,4.4818619670263681e-20
1.1879470078500773e-08,0.002901456193473752,0.84210526299999999,0.0,0.0,0.0,0.05263157899923987,0.10526315799899598,5.1621485279452322e-13,7.6010072669906955e-13,2.4389890252587135e-13,7.2190468532640083e-24,7.539683047673073e-18,8.0063558609296656e-18,4.581693613532047e-19,3.5163294610764433e-18,5.2932100384650744e-19,2.0188111635243661e-20,1.3573102449325532e-17,1.8074225095616976e-24,1.1145537823187957e-25,2.7149423272269107e-25,6.4978663225655494e-26,1.5395616495162188e-40,5.5259927664589987e-23,2.4953398671369288e-22,6.8100849062760851e-20
1.3727911878647142e-08,0.0029014561934735685,0.84210526299999999,0.0,0.0,0.0,0.052631578999121596,0.10526315799881396,5.7073312456649568e-13,8.7837354310620705e-13,3.0765241526642961e-13,9.1060573374227569e-24,1.1005962949045728e-17,1.1799102746697524e-17,7.7549859986609377e-19,4.6929098365675736e-18,7.7967145551408507e-19,2.6887223513699721e-20,1.3679401440085889e-17,2.9467762723231683e-24,1.7045160697724842e-25,4.8209825678559162e-25,1.1126814400362067e-25,3.0335058157523185e-40,8.6720839671323512e-23,3.440537326470502e-22,9.7271792277319493e-20
1.5576353678793513e-08,0.0029014561934733725,0.84210526299999999,0.0,0.0,0.0,0.052631578999003323,0.10526315799862844,6.21786933259577e-13,9.9664619376283566e-13,3.7486978763977295e-13,1.1095593049501049e-23,1.5242247955552047e-17,1.6497757868126089e-17,1.2251943209490383e-18,6.0393263052039328e-18,1.0896318385426009e-18,3.4196374271280173e-20,1.3786033058251917e-17,4.4899271467973605e-24,2.456867715264297e-25,7.9337655384844737e-25,1.7663357888728713e-25,5.4547713813956772e-40,1.276022472028302e-22,4.4912543103903213e-22,1.3256964507376481e-19
1.7424795478939884e-08,0.0029014561934731695,0.84210526299999999,0.0,0.0,0.0,0.052631578998885049,0.10526315799844019,6.7006211064568208e-13,1.1149186792490938e-12,4.4486517204727656e-13,1.3167353893993654e-23,2.0264384238556185e-17,2.21452293929878e-17,1.8340666041125949e-18,7.5555714564204094e-18,1.4619702070393728e-18,4.2012221928048992e-20,1.3892850323449458e-17,6.4928979650057308e-24,3.3832725096690375e-25,1.2306367624057092e-24,2.6437622513461851e-25,9.1400418084520035e-40,1.786541370068394e-22,5.6292650391819439e-22,1.7415540425691506e-19
1.9273237279086255e-08,0.00290145619347296,0.84210526299999999,0.0,0.0,0.0,0.052631578998766776,0.10526315799824966,7.1610622192670162e-13,1.2331910000567894e-12,5.1709099647781703e-13,1.5305132532500429e-23,2.6079262663116356e-17,2.8775787895963212e-17,2.6293220316073773e-18,9.2416381860130934e-18,1.8988830381375415e-18,5.0252661016978259e-20,1.3999720180769982e-17,9.0088722840904133e-24,4.4936079049985686e-25,1.8208226134266121e-24,3.775892305301502e-25,1.4480963589987918e-39,2.4049811495727424e-22,6.840099146927517e-22,2.2213276265316498e-19
2.1121679079232626e-08,0.0029014561934727454,0.84210526299999999,0.0,0.0,0.0,0.052631578998648489,0.10526315799805738,7.6037092981759011e-13,1.351463156511384e-12,5.9109559750108077e-13,1.7495560381694659e-23,3.2687722598726896e-17,3.6417712345093449e-17,3.6382813396264476e-18,1.1097519500232599e-17,2.4021703013133104e-18,5.8850254147304682e-20,1.4106624485010342e-17,1.2088810698001106e-23,5.7964355007592354e-25,2.5920999842814384e-24,5.1915837087189524e-25,2.1924630628105398e-39,3.136668761071293e-22,8.1119427133077769e-22,2.765659989688305e-19
2.2970120879378997e-08,0.0029014561934725264,0.84210526299999999,0.0,0.0,0.0,0.052631578998530208,0.10526315799786366,8.0320471044639442e-13,1.469735148842683e-12,6.665305046458306e-13,1.9728323220368684e-23,4.008427590464415e-17,4.5092835091118054e-17,4.8882036171826294e-18,1.3123208451993069e-17,2.9732053302005942e-18,6.7752859469395061e-20,1.4213585960669895e-17,1.5781224353587722e-23,7.2988303046851671e-25,3.5740126896666201e-24,6.9168948560151949e-25,3.1974375499370526e-39,3.9859826855344031e-22,9.4356850042197321e-22,3.3747740806680674e-19
2.6667004479671735e-08,0.002901456193472079,0.84210526299999999,0.0,0.0,0.0,0.052631578998293654,0.10526315799747303,8.856764875758594e-13,1.7062786420457211e-12,8.2059427910713974e-13,2.4288385492539133e-23,5.7202992793950763e-17,6.5611455816428036e-17,8.2183018452856929e-18,1.7683981377633996e-17,4.3227845199349639e-18,8.6307046791565311e-20,1.4427624209536404e-17,2.5189647820605169e-23,1.0925861850532626e-24,6.2922901529486565e-24,1.1388667602583676e-24,6.2200548006142921e-39,6.052297496049147e-22,1.2209604334253831e-21,4.7870667796631533e-19
2.99941997199352e-08,0.0029014561934716694,0.84210526299999999,0.0,0.0,0.0,0.052631578998080748,0.10526315799711884,9.5728227357583494e-13,1.9191672265866998e-12,9.6186849103963767e-13,2.8469895468748252e-23,7.5181504456825111e-17,8.7754495434222434e-17,1.2305884257262444e-17,2.2369349255711816e-17,5.7778327358507905e-18,1.0370329008123488e-19,1.4620383167756707e-17,3.6206305811495375e-23,1.4924125922575566e-24,9.7734845129490642e-24,1.6684541759188577e-24,1.0456902590996497e-38,8.3470154656761076e-22,1.4822602052018111e-21,6.2771038604941675e-19
3.389539882964035e-08,0.0029014561934711824,0.84210526299999999,0.0,0.0,0.0,0.052631578997831108,0.10526315799670141,1.0390956093509525e-12,2.1687824293919318e-12,1.1296586950469018e-12,3.343624004648067e-23,9.9224171649987227e-17,1.1821737268027597e-16,1.8619310193415042e-17,2.8563628272370571e-17,7.7776551078246318e-18,1.2478643550279943e-19,1.4846502589452206e-17,5.2543657339325074e-23,2.052455936065534e-24,1.537222098833925e-23,2.455402751466829e-24,1.7872692995672493e-38,1.1581418939467123e-21,1.7999160730999762e-21,8.2832086604742469e-19
