Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33)
1e-12,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2007801212729829e-21,1.2008457211349753e-21,6.5599861992329915e-26,9.1454004930242339e-40,5.9825099716404923e-38,5.9825402919386387e-38,3.0320298146275488e-43
1.023e-12,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2283893958183441e-21,1.2284572837032031e-21,6.7887884858929893e-26,9.4657890321845725e-40,6.2278661132085462e-38,6.2278977681475118e-38,3.165493896536261e-43
2.047e-12,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4575003881193248e-21,2.4577720693495187e-21,2.7168123019366834e-25,3.8127530018008057e-39,5.0227446728117704e-37,5.0227957606834127e-37,5.108787164161149e-42
4.095e-12,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.9153147340309602e-21,4.9164016406421506e-21,1.08690661118614e-24,1.5303139860421778e-38,4.0342336244724651e-36,4.0343157151013343e-36,8.2090628869296364e-41
8.191e-12,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.8293134122112903e-21,9.8336607832274128e-21,4.3473710160908362e-24,6.1308424737846124e-38,3.2333541065935103e-35,3.2334857143373761e-35,1.3160774386588712e-39
1e-11,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1998144010942382e-20,1.2005370204354547e-20,7.2261934120824749e-24,1.0195075143592526e-37,8.2349878713488825e-35,8.2355557458245058e-35,5.678744756246308e-39
1.6383e-11,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9650795040074809e-20,1.9668179068397937e-20,1.7384028322869992e-23,2.4535593181947366e-37,2.588309639563497e-34,2.5885203623647804e-34,2.1072280128363829e-38
3.2767e-11,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.9267729944514928e-20,3.9337215638738992e-20,6.948569422198623e-23,9.8111048506609837e-37,2.0700740029173679e-33,2.0704110868597733e-33,3.3708394240553573e-37
6.5535e-11,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.8397762117480061e-20,7.867528877942109e-20,2.775266619244914e-22,3.9193624112343855e-36,1.6538738829091016e-32,1.6544125427535786e-32,5.3865984447696184e-36
9.999999999999999e-11,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1933699695875628e-19,1.2005061503655026e-19,7.1361807771675212e-22,1.0078885768568592e-35,7.7212358694397536e-32,7.726010536840943e-32,4.7746674011915848e-35
1.31071e-10,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5624467041743302e-19,1.5735143506078531e-19,1.1067646432203453e-21,1.5631839496574721e-35,1.3191103975735822e-31,1.3199697502582671e-31,8.5935268468518231e-35
2.62143e-10,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1030323427643007e-19,3.1470372762351375e-19,4.4004933460348117e-21,6.2155308903935286e-35,1.0487573112705457e-30,1.0501240492186976e-30,1.3667379481519342e-33
5.24287e-10,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.1201543138608221e-19,6.2940831274897053e-19,1.7392881354601656e-20,2.4567412615237501e-34,8.2864676360267705e-30,8.3080741946451106e-30,2.1606558618341452e-32
9.999999999999999e-10,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1372343308044928e-18,1.2005030633585072e-18,6.3268732494554341e-20,8.9368072552079525e-34,5.9458884557479306e-29,5.9767199122142902e-29,3.083145646635894e-31
1.0485750000000002e-09,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1908643725297547e-18,1.2588174829998843e-18,6.7953110405444349e-20,9.5984860523886317e-34,6.4684094194297252e-29,6.5021684480653649e-29,3.3759028635639159e-31
2.0971510000000003e-09,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.2579602326450951e-18,2.5176358235017114e-18,2.596755903632956e-19,3.6679827188451051e-33,4.9331717618004338e-28,4.9847450467957936e-28,5.1573284995358969e-30
4.194303e-09,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.082393374411817e-18,5.0352725045053665e-18,9.5287912648952244e-19,1.3459698860804047e-32,3.6040131502057439e-27,3.6795933252615428e-27,7.5580175055798887e-29
8.388607e-09,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,6.8065650887115093e-18,1.0070545866512673e-17,3.2639807533591372e-18,4.6104764208360806e-32,2.4441981767852936e-26,2.547276041740388e-26,1.0307786495509443e-27
9.999999999999999e-09,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.10526315799999998,7.4302007841430416e-18,1.2005027546578077e-17,4.5748267143319756e-18,6.4620900918255436e-32,4.8102992232222494e-26,5.1350100650551751e-26,3.2471084183292613e-27
1.6777215e-08,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999997,1.0053094882363665e-17,2.0141092590527289e-17,1.0087997560546738e-17,1.4249627921042175e-31,1.4761673905517786e-25,1.6018531241341372e-25,1.2568573358235893e-26
3.3554431e-08,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999963,0.10526315799999994,1.2813881076594159e-17,4.0282186038556508e-17,2.746830419986687e-17,3.8799896729161994e-31,7.6209507641913293e-25,8.9379507886193619e-25,1.3170000244280348e-25
6.7108863e-08,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999921,0.10526315799999986,1.4321729814887087e-17,8.0564372934614853e-17,6.6242639843550416e-17,9.3569957161314919e-31,3.2761764278067765e-24,4.4321464770045918e-24,1.155970049197815e-24
9.999999999999998e-08,0.001792845885321664,0.84210526299999999,0.0,0.0,0.0,0.05263157899999988,0.10526315799999976,1.45777291575355e-17,1.2005027237877338e-16,1.0547253585019668e-16,1.4898351330170942e-30,7.37103971628665e-24,1.2091484053617083e-23,4.7204443373304326e-24
1.34217727e-07,0.001792845885321664,0.84210526299999999,0.0,0.0,0.0,0.052631578999999838,0.10526315799999968,1.4844053657625684e-17,1.6112874672673132e-16,1.4628468143804346e-16,2.06632050538692e-30,1.1631060101338306e-23,2.0059743776513501e-23,8.4286836751751956e-24
2.68435455e-07,0.0017928458853216638,0.84210526299999999,0.0,0.0,0.0,0.052631578999999679,0.10526315799999936,1.5049044256034348e-17,3.2225749431096317e-16,3.0720841572170484e-16,4.3394227374682682e-30,3.4333219660887739e-23,8.5697916438201645e-23,5.1364696777313894e-23
5.36870911e-07,0.0017928458853216631,0.84210526299999999,0.0,0.0,0.0,0.052631578999999359,0.10526315799999872,1.5311433733685155e-17,6.4451498947942278e-16,6.2920346914394936e-16,8.887711889175818e-30,8.6601779407793804e-23,3.5456924004167978e-22,2.67967460633886e-22
9.999999999999997e-07,0.0017928458853216618,0.84210526299999999,0.0,0.0,0.0,0.052631578999998804,0.10526315799999761,1.5752690900261968e-17,1.2005027207006917e-15,1.1847498490724564e-15,1.6734992604458062e-29,1.8072795641900066e-22,1.293242664952442e-21,1.1125147085334415e-21
1.0737418230000002e-06,0.0017928458853216618,0.84210526299999999,0.0,0.0,0.0,0.052631578999998714,0.10526315799999743,1.5822950161984112e-17,1.2890299798163259e-15,1.2732068339391077e-15,1.798447746576778e-29,1.957152160182938e-22,1.4427031311564418e-21,1.2469879151381482e-21
2.1474836470000003e-06,0.0017928458853216597,0.84210526299999999,0.0,0.0,0.0,0.052631578999997423,0.10526315799999485,1.684538053120101e-17,2.5780599604900664e-15,2.5612141643532178e-15,3.6178017105797316e-29,4.1560561117926283e-22,5.8205369159944109e-21,5.4049313048151485e-21
4.294967295e-06,0.001792845885321655,0.84210526299999999,0.0,0.0,0.0,0.052631578999994842,0.1052631579999897,1.8890227538284935e-17,5.1561199218372822e-15,5.1372288385957963e-15,7.2565096575338892e-29,8.557031280292201e-22,2.3382468541961963e-20,2.2526765413932745e-20
8.589934591e-06,0.0017928458853216458,0.84210526299999999,0.0,0.0,0.0,0.052631578999989687,0.10526315799997939,2.2979921398633216e-17,1.0312239844530624e-14,1.0289258187202801e-14,1.4533925551614316e-28,1.7359290482150726e-21,9.3731388019896642e-20,9.1995458971681553e-20
9.999999999999997e-06,0.0017928458853216271,0.84210526299999999,0.0,0.0,0.0,0.052631578999987993,0.105263157999976,2.4322594217293955e-17,1.2005027203916011e-14,1.1980702584785413e-14,1.6923148032703092e-28,2.0249131338890079e-21,1.3995661649368153e-19,1.3793170335979253e-19
1.7179869183e-05,0.0017928458853216271,0.84210526299999999,0.0,0.0,0.0,0.052631578999979375,0.10526315799995876,3.1159309118619502e-17,2.0624479689912781e-14,2.0593316884411455e-14,2.9088757339767617e-28,3.4963824131610905e-21,3.7532945187969108e-19,3.7183306946652999e-19
3.4359738367e-05,0.0017928458853215903,0.84210526299999999,0.0,0.0,0.0,0.052631578999958753,0.10526315799991753,4.7518084558586803e-17,4.124895938065747e-14,4.1201434278809115e-14,5.8198420916046438e-28,7.0172891809120062e-21,1.5021264792144427e-18,1.4951091900335307e-18
6.8719476735e-05,0.0017928458853215163,0.84210526299999999,0.0,0.0,0.0,0.052631578999917501,0.10526315799983507,8.0235635438481895e-17,8.2497918762056419e-14,8.2417669067514049e-14,1.1641774806847644e-27,1.4059102716876741e-20,6.0101241323396528e-18,5.9960650296227772e-18
9.999999999999998e-05,0.0017928458853213687,0.84210526299999999,0.0,0.0,0.0,0.052631578999879941,0.10526315799975997,1.1002113905633976e-16,1.2005027203554383e-13,1.1994023042663543e-13,1.6941963643996049e-27,2.0469850370995349e-20,1.4218870394198071e-17,1.4198400543827075e-17
0.000137438953471,0.0017928458853213687,0.84210526299999999,0.0,0.0,0.0,0.052631578999834984,0.10526315799967011,1.4567073719803773e-16,1.6499583752439696e-13,1.6485013864446681e-13,2.3285640237269073e-27,2.8142729788758159e-20,2.4043733832362897e-17,2.4015591102574138e-17
0.000274877906943,0.001792845885321073,0.84210526299999999,0.0,0.0,0.0,0.052631578999669915,0.10526315799934016,2.7654094071560613e-16,3.2999167504648438e-13,3.2971507779578012e-13,4.657337109774577e-27,5.6309983932186556e-20,9.6181410806933533e-17,9.6125100823001342e-17
0.000549755813887,0.0017928458853204818,0.84210526299999999,0.0,0.0,0.0,0.05263157899933963,0.10526315799868018,5.3828134773971865e-16,6.5998335007416807e-13,6.5944495608192673e-13,9.3148832816371328e-27,1.1264449221666187e-19,3.8473859504696012e-16,3.8462595055474354e-16
0.000824633720831,0.001792845885319891,0.84210526299999999,0.0,0.0,0.0,0.052631578999009214,0.10526315799802001,8.0002175474702573e-16,9.8997502507720603e-13,9.8917483434344453e-13,1.3972429453151794e-26,1.6897900049750817e-19,8.1757760956709522e-16,8.1740863056659762e-16
0.0009999999999999998,0.0017928458853192996,0.84210526299999999,0.0,0.0,0.0,0.05263157899879832,0.10526315799759875,9.6700658736335128e-16,1.200502720226115e-12,1.199535508719512e-12,1.6943845203350863e-26,2.0491922288562286e-19,1.185768477673465e-15,1.1855635584505794e-15
0.001099511627775,0.0017928458853192996,0.84210526299999999,0.0,0.0,0.0,0.052631578998678645,0.1052631579973597,1.0617621617310599e-15,1.3199667000474441e-12,1.3189047125721857e-12,1.8629975624203479e-26,2.253135087733343e-19,1.3946984543529962e-15,1.394473140844223e-15
0.001649267441663,0.0017928458853181172,0.84210526299999999,0.0,0.0,0.0,0.052631578998017174,0.10526315799603878,1.5852429756209629e-15,1.9799500498789896e-12,1.978364468920816e-12,2.794506796476927e-26,3.3798252530812975e-19,2.8875607659151534e-15,2.8872227833898453e-15
0.002199023255551,0.001792845885316935,0.84210526299999999,0.0,0.0,0.0,0.052631578997355162,0.1052631579947173,2.1087237893619186e-15,2.6399333995088995e-12,2.6378242250679586e-12,3.7260160302488987e-26,4.5065154181082439e-19,4.9109988262993294e-15,4.9105481747575196e-15
0.0027487790694390004,0.0017928458853157525,0.84210526299999999,0.0,0.0,0.0,0.052631578996692595,0.10526315799339526,2.632204602898163e-15,3.2999167488668555e-12,3.2972839809433522e-12,4.6575252636370153e-26,5.633205582694186e-19,7.5029109030913575e-15,7.5023475825330874e-15
0.0038482906972150004,0.001792845885313388,0.84210526299999999,0.0,0.0,0.0,0.052631578995365698,0.10526315799074945,3.679166229049257e-15,4.6198834463794828e-12,4.616203491491777e-12,6.5205437287148692e-26,7.8865859098818096e-19,1.4427865338069784e-14,1.44270766794788e-14
0.0049478023249910005,0.0017928458853110237,0.84210526299999999,0.0,0.0,0.0,0.052631578994036497,0.10526315798810133,4.7261278537145154e-15,5.9398501419632538e-12,5.935123000112831e-12,8.3835621910702494e-26,1.0139966233870097e-18,2.3661694056806699e-14,2.3660680060183316e-14
0.007146825580543001,0.001792845885306294,0.84210526299999999,0.0,0.0,0.0,0.052631578991371171,0.10526315798279817,6.8200510964522944e-15,8.57978352465186e-12,8.5729620088825996e-12,1.2109599103813541e-25,1.4646726867653632e-18,4.9055000973725434e-14,4.9053536301038659e-14
0.009999999999999998,0.0017928458852968356,0.84210526299999999,0.0,0.0,0.0,0.052631578987899226,0.10526315797590369,9.5368610135841342e-15,1.2005027128414765e-11,1.1995488217988072e-11,1.6944033255238815e-25,2.0494129357911156e-18,9.5765199631191256e-14,9.5763150218255448e-14
0.011544872091647,0.0017928458852968356,0.84210526299999999,0.0,0.0,0.0,0.052631578986012818,0.10526315797216414,1.1007897541838114e-14,1.3859650238814829e-11,1.3848639975247986e-11,1.9561672857014905e-25,2.3660248048926251e-18,1.275439961816372e-13,1.2754163015683229e-13
0.020340965113855,0.0017928458852779188,0.84210526299999999,0.0,0.0,0.0,0.052631578975185299,0.10526315795078525,1.9383590161349677e-14,2.441938332244469e-11,2.4399995563554007e-11,3.4465819876906009e-25,4.1687289827637826e-18,3.9533059553834124e-13,3.9532642680935838e-13
0.037933151158271006,0.0017928458852400847,0.84210526299999999,0.0,0.0,0.0,0.052631578953087024,0.10526315790758428,3.6134973430857639e-14,4.5538846995654683e-11,4.5502704248086266e-11,6.4274110396541134e-25,7.774136914636503e-18,1.3741377873261091e-12,1.3741300131891943e-12
