Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15)
1.34217727e-07,0.0027273417902873294,0.84210526299999999,0.0,0.0,0.0,0.052631578999999887,0.10526315799999979,1.6230449260522391e-17,1.178635758738762e-16,1.0163327138049477e-16,1.5436434045094989e-30,1.0102212798659281e-23,1.4884426879553714e-23,4.7822388902799389e-24,7.7434652830144933e-23,2.4764006933059274e-23
2.68435455e-07,0.0027273417902873294,0.84210526299999999,0.0,0.0,0.0,0.052631578999999769,0.10526315799999955,1.6648702274743628e-17,2.3572699750584308e-16,2.1907888149714424e-16,3.3274505408375461e-30,3.3211126429055328e-23,6.5575139561687366e-23,3.2364211607583188e-23,3.097383887684625e-22,1.0910081691190264e-22
5.36870911e-07,0.0027273417902873285,0.84210526299999999,0.0,0.0,0.0,0.052631578999999533,0.10526315799999908,1.698435431468257e-17,4.7145337616333237e-16,4.5447140823938898e-16,6.9026788447848544e-30,9.151596392661188e-23,2.758873324936119e-22,1.8437295636447147e-22,1.2389517672421753e-21,4.5900829353829427e-22
9.999999999999997e-07,0.002727341790287327,0.84210526299999999,0.0,0.0,0.0,0.052631578999999123,0.10526315799999826,1.7505336171877328e-17,8.7814820807509529e-16,8.6065156068650108e-16,1.3071892446110353e-29,2.0177229471444723e-22,1.0146665752056391e-21,8.12905456199647e-22,4.4452666197219241e-21,1.6881542690647639e-21
1.0737418230000002e-06,0.002727341790287327,0.84210526299999999,0.0,0.0,0.0,0.052631578999999061,0.10526315799999814,1.7588289613610865e-17,9.4290427505980632e-16,9.2532567772920785e-16,1.4054186731318037e-29,2.1932788131588841e-22,1.1322988497616964e-21,9.1298367079133149e-22,4.9557927515275524e-21,1.8838652859739952e-21
2.1474836470000003e-06,0.002727341790287324,0.84210526299999999,0.0,0.0,0.0,0.052631578999998117,0.10526315799999625,1.8791561650980351e-17,1.8857986392369256e-15,1.8670462430810833e-15,2.8357385165385485e-29,4.8082094519131122e-22,4.5882926713217564e-21,4.1075733443464923e-21,1.9823056437673039e-20,7.6337847107452602e-21
4.294967295e-06,0.0027273417902873194,0.84210526299999999,0.0,0.0,0.0,0.05263157899999623,0.10526315799999247,2.1197984875626696e-17,3.7715576335933558e-15,3.7505172274852666e-15,5.6964235462514373e-29,1.0054765908077797e-21,1.847307398385614e-20,1.7468410330005864e-20,7.9291309156059092e-20,3.0734631165703599e-20
8.589934591e-06,0.002727341790287309,0.84210526299999999,0.0,0.0,0.0,0.052631578999992455,0.10526315799998494,2.601098034329682e-17,7.542956690038911e-15,7.5175779833707708e-15,1.1417974023863158e-28,2.0551393246839249e-21,7.4134690809333844e-20,7.2086054839976782e-20,3.1715790394377981e-19,1.2334183353103925e-19
9.999999999999997e-06,0.0027273417902872886,0.84210526299999999,0.0,0.0,0.0,0.05263157899999122,0.10526315799998245,2.7591217365020813e-17,8.7810531883363077e-15,8.7544062705890117e-15,1.3296514333150073e-28,2.3998276885290496e-21,1.1072419470785669e-19,1.0833834283304385e-19,4.733357469595004e-19,1.8421777128298916e-19
1.7179869183e-05,0.0027273417902872886,0.84210526299999999,0.0,0.0,0.0,0.052631578999984913,0.10526315799996985,3.5637578208776409e-17,1.5085279103650368e-14,1.5052174620469107e-14,2.2861796616925644e-28,4.1549358881305241e-21,2.9703317710362516e-19,2.9293026581288331e-19,1.2685729572185798e-18,4.9419010778716949e-19
3.4359738367e-05,0.002727341790287247,0.84210526299999999,0.0,0.0,0.0,0.052631578999969821,0.1052631579999397,5.4893201613549124e-17,3.016802137204144e-14,3.0123268291625532e-14,4.5752328195916951e-28,8.3563434791420951e-21,1.1891874439086554e-18,1.1812472612886619e-18,5.0738226099332334e-18,1.9785167828886644e-18
6.8719476735e-05,0.0027273417902871654,0.84210526299999999,0.0,0.0,0.0,0.052631578999939622,0.10526315799987936,9.3414158052365695e-17,6.0325897579312672e-14,6.0273056387245606e-14,9.1544935657848026e-28,1.6766412012897337e-20,4.7593753740970791e-18,4.7459376743562834e-18,2.0291537486846416e-17,7.9184477450877065e-18
9.999999999999998e-05,0.0027273417902870007,0.84210526299999999,0.0,0.0,0.0,0.05263157899991211,0.10526315799982443,1.2850065878132884e-16,8.7767270721037157e-14,8.7734748456853659e-14,1.332547639725657e-27,2.4435995556405216e-20,1.1262921714003738e-17,1.1252416658845219e-17,4.798748435696004e-17,1.873881813541004e-17
0.000137438953471,0.0027273417902870007,0.84210526299999999,0.0,0.0,0.0,0.052631578999879178,0.10526315799975866,1.704949009211865e-16,1.2061123191470784e-13,1.2060302891747421e-13,1.8317631766042774e-27,3.3615547285599701e-20,1.9046869787810295e-17,1.9039874748872822e-17,8.1136139109985732e-17,3.1689475646805877e-17
0.000274877906943,0.002727341790286671,0.84210526299999999,0.0,0.0,0.0,0.052631578999758087,0.10526315799951703,3.2481163845798953e-16,2.4106035005802925e-13,2.4138450597248055e-13,3.6662366893323803e-27,6.7429689551528549e-20,7.623912792162794e-17,7.6384515382751302e-17,3.2430467415057806e-16,1.268446185541965e-16
0.000412316860415,0.002727341790286341,0.84210526299999999,0.0,0.0,0.0,0.052631578999636795,0.10526315799927521,4.7928355944769335e-16,3.6138803904692571e-13,3.6228746151970248e-13,5.5025552621245048e-27,1.0135958255269998e-19,1.6207743777835697e-16,1.6258436110252016e-16,6.8879541299957211e-16,2.6966142390143986e-16
0.000549755813887,0.0027273417902860106,0.84210526299999999,0.0,0.0,0.0,0.052631578999515316,0.1052631579990332,6.3391059558577653e-16,4.8159442013403139e-13,4.8331184208901582e-13,7.3407180828577331e-27,1.3540510542514569e-19,2.7659056910562912e-16,2.7773774772214507e-16,1.1744513941195615e-15,4.6018844593711289e-16
0.000824633720831,0.002727341790285348,0.84210526299999999,0.0,0.0,0.0,0.052631578999271879,0.10526315799854867,9.4352850117070966e-16,7.2172285479209267e-13,7.256454140134568e-13,1.1021369535403757e-26,2.0376715292232225e-19,5.7300407731538968e-16,5.763013481997761e-16,2.4296447068120574e-15,9.5336654762236197e-16
0.0009999999999999998,0.0027273417902846844,0.84210526299999999,0.0,0.0,0.0,0.052631578999116205,0.1052631579982392,1.1413559062777259e-15,8.7468714911961179e-13,8.8048217209884853e-13,1.3373087186587954e-26,2.4760233923714054e-19,8.1733051020667664e-16,8.2283629506850266e-16,3.4625598567323757e-15,1.3598858394081759e-15
0.001099511627775,0.0027273417902846844,0.84210526299999999,0.0,0.0,0.0,0.052631578999027727,0.10526315799806345,1.2537162522161482e-15,9.6140620063160578e-13,9.6842506420462226e-13,1.470879618890721e-26,2.7255341037194669e-19,9.7510394014044632e-16,9.8215284217916936e-16,4.1291047338797165e-15,1.6223962992941566e-15
0.0013743895347190001,0.0027273417902840182,0.84210526299999999,0.0,0.0,0.0,0.052631578998782784,0.10526315799757743,1.5645140961748633e-15,1.2006134731708713e-12,1.2116822985905239e-12,1.8403476567010243e-26,3.4179337331656316e-19,1.4906312004092663e-15,1.5036106442987946e-15,6.3035194173467946e-15,2.480162724362527e-15
0.0019241453486070002,0.002727341790282681,0.84210526299999999,0.0,0.0,0.0,0.052631578998290511,0.105263157996603,2.1879753033361852e-15,1.6775753506882106e-12,1.6996571063697404e-12,2.5815017489786024e-26,4.8165747597720823e-19,2.8703922163859001e-15,2.905030794102496e-15,1.2099986085991379e-14,4.7759541700662358e-15
0.0024739011624950002,0.0027273417902813368,0.84210526299999999,0.0,0.0,0.0,0.052631578997795067,0.10526315799562543,2.8139075625985824e-15,2.1526157775541045e-12,2.1895662676608087e-12,3.3255938086011169e-26,6.2335222128656227e-19,4.7137345627084523e-15,4.785827423888665e-15,1.9809794297377125e-14,7.8431873575125496e-15
0.0035734127902710003,0.002727341790278626,0.84210526299999999,0.0,0.0,0.0,0.052631578996794659,0.10526315799366075,4.0731618500740849e-15,3.096972515170896e-12,3.1751693427171405e-12,4.8225640229431963e-26,9.121935733410587e-19,9.8004030619431442e-15,1.0017298743216931e-14,4.091764292012274e-14,1.6307578966396838e-14
0.004672924418047,0.0027273417902758854,0.84210526299999999,0.0,0.0,0.0,0.052631578995781532,0.10526315799168334,5.3422461600739418e-15,4.0337375708051074e-12,4.1684674140776067e-12,6.3312216810937404e-26,1.208263738516258e-18,1.676344041404213e-14,1.7241394907351021e-14,6.9557486091140162e-14,2.7894950343966194e-14
0.0057724360458230005,0.0027273417902731155,0.84210526299999999,0.0,0.0,0.0,0.052631578994755693,0.10526315798969324,6.6211273296173268e-15,4.96296906989114e-12,5.1694345211192756e-12,7.8515273531420412e-26,1.5115047950169891e-18,2.5616805496634028e-14,2.6505097402928086e-14,1.0565424162022454e-13,4.2628863850632854e-14
0.006871947673599001,0.0027273417902703174,0.84210526299999999,0.0,0.0,0.0,0.052631578993717135,0.10526315798769045,7.9097715156136759e-15,5.8847262364504847e-12,6.1780441708176611e-12,9.3834408005463579e-26,1.8218577273488565e-18,3.6374808763386043e-14,3.7856323769611887e-14,1.4913142700635236e-13,6.0533475865757256e-14
0.009070970929151,0.002727341790264631,0.84210526299999999,0.0,0.0,0.0,0.052631578991601785,0.10526315798364666,1.0516224721745762e-14,7.7060340904398536e-12,8.2180938601260058e-12,1.248194333283545e-25,2.4636834815855858e-18,6.3657421817156103e-14,6.6996529556989308e-14,2.5794765762243762e-13,1.059437451266283e-13
0.009999999999999998,0.00272734179025883,0.84210526299999999,0.0,0.0,0.0,0.052631578990692783,0.10526315798192293,1.1629014375820352e-14,8.4666826278167337e-12,9.089066576510491e-12,1.3804808742703923e-25,2.7432086462338013e-18,7.7516144298308339e-14,8.1960293375204514e-14,3.1256096085363814e-13,1.2901243442398101e-13
0.011269994184703001,0.00272734179025883,0.84210526299999999,0.0,0.0,0.0,0.052631578989435393,0.10526315797955187,1.3161337918798109e-14,9.4981270585941036e-12,1.0288406796323806e-11,1.5626410799941327e-25,3.1332767771350467e-18,9.8724998661083315e-14,1.050388824337832e-13,3.9540508741323996e-13,1.6431773274040443e-13
0.013469017440255002,0.0027273417902529125,0.84210526299999999,0.0,0.0,0.0,0.052631578987217841,0.10526315797540597,1.5844831626404089e-14,1.1261488504720015e-11,1.2388764196873024e-11,1.8816510907206222e-25,3.8301560744013636e-18,1.4169648513448325e-13,1.5237410028549321e-13,5.6088073166075288e-13,2.3585625002709594e-13
0.017867063951359,0.0027273417902407312,0.84210526299999999,0.0,0.0,0.0,0.052631578982628893,0.10526315796696055,2.1325895788347439e-14,1.47038325160367e-11,1.667877885755377e-11,2.5332343042107025e-25,5.3039644006555785e-18,2.518069983378571e-13,2.7638829155034562e-13,9.7355217345814712e-13,4.1919651532695737e-13
0.022265110462463003,0.0027273417902280903,0.84210526299999999,0.0,0.0,0.0,0.052631578977834173,0.10526315795830959,2.6957307074705031e-14,1.8036653362407045e-11,2.1086485991025875e-11,3.2026930847664738e-25,6.8815361214396052e-18,3.948932485339503e-13,4.4193256978558553e-13,1.4913522058272343e-12,6.5749146651402074e-13
0.026663156973567005,0.0027273417902149936,0.84210526299999999,0.0,0.0,0.0,0.05263157897283291,0.1052631579494524,3.2737008072579227e-14,2.1263403412794745e-11,2.5610275017002015e-11,3.8897828117670766e-25,8.5594342310711238e-18,5.718413762575396e-13,6.517869229291672e-13,2.1098544797513756e-12,9.5223754054788225e-13
0.031061203484671007,0.002727341790201443,0.84210526299999999,0.0,0.0,0.0,0.052631578967624333,0.10526315794038821,3.8662982285796363e-14,2.4387420509747028e-11,3.0248567386242835e-11,4.5942637295825508e-25,1.0334336806721505e-17,7.8352441103671982e-13,9.0863428128985793e-13,2.8247898919694984e-12,1.304909160178964e-12
0.03545924999577501,0.002727341790187442,0.84210526299999999,0.0,0.0,0.0,0.052631578962207687,0.10526315793111631,4.4733249739691796e-14,2.7411937814293244e-11,3.4999813139864717e-11,5.3159004249890645e-25,1.2203027161497022e-17,1.0308039284362446e-12,1.2150686952642814e-12,3.6320334193142345e-12,1.7169614972496358e-12
0.044255343017983007,0.0027273417901580964,0.84210526299999999,0.0,0.0,0.0,0.052631578950747125,0.10526315791194632,5.7298911222835541e-14,3.3174936635893325e-11,4.483509550404278e-11,6.809719322460167e-25,1.6209375945660462e-17,1.6355455904122486e-12,1.9866771415803803e-12,5.5075892338303888e-12,2.7249395008887519e-12
