Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35)
1e-12,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4282784598775151e-19,1.4283180526280345e-19,4.9993770040723868e-24,2.7863855417910338e-36,2.6450795409880756e-34,2.6450809797819829e-34,1.1779244247861316e-39,5.0997803924474089e-30,7.3762973223349617e-35,2.9384660526620741e-43,1.0400917528494845e-24,1.3684376685668856e-45,3.1730883004309079e-47,9.4543895095421312e-51,3.5277649435188905e-51,3.9373247957069584e-75,2.213494410120427e-50
1.023e-12,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4611188871234723e-19,1.4611599845708757e-19,5.1737481167390132e-24,2.8838683447602674e-36,2.7534875911018654e-34,2.7534891250580656e-34,1.2297571123511474e-39,5.2776543867331493e-30,7.6781521613375309e-35,3.0676698902314921e-43,1.0639928213691162e-24,1.4286099194476912e-45,3.3127130514715825e-47,9.8847266842851544e-51,3.688338857940601e-51,4.1210208358289613e-75,2.3142086678265851e-50
2.047e-12,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9231541403850318e-19,2.9233399295306441e-19,2.0705212726428255e-23,1.1592913772534312e-35,2.2155587761772587e-33,2.2155699557691494e-33,1.9798222000520445e-38,2.1121701554676864e-29,6.1461109225693029e-34,4.9112906082208805e-42,2.1262559240450393e-24,2.2877809676569354e-44,5.3310732038059701e-46,3.1821190770845479e-49,1.1873572967408133e-49,5.3025417473925785e-73,7.4101922637999379e-49
4.095e-12,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.8469139547439439e-19,5.8476998930362907e-19,8.2837390054120963e-23,4.6484864295488571e-35,1.7774983561511537e-32,1.777523229243243e-32,3.177403589445841e-37,8.4508947061973561e-29,4.9181068481562967e-33,7.8599711582277169e-41,4.2433918193040137e-24,3.6617248042860152e-43,8.5488755711208791e-45,1.0206842601761945e-47,3.8085013616637771e-48,6.7888225870864566e-71,2.3718661188843786e-47
8.191e-12,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1693191085910935e-18,1.1696420112340008e-18,3.3135162649548275e-22,1.8614895653402706e-34,1.4238824213154801e-31,1.4239278047246343e-31,5.091129542633324e-36,3.3808004900849461e-28,3.9346286997414711e-32,1.2575866953322789e-39,8.4483075709302362e-24,5.85873046052107e-42,1.3675648055403455e-43,3.2658396611159557e-46,1.2185769389259148e-46,8.6493695616491283e-69,7.5899813858382076e-46
1e-11,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4274104644262875e-18,1.4279509936458848e-18,5.5081018092677366e-22,3.0952996043464901e-34,3.6260461204650546e-31,3.6262516673508259e-31,2.1964259982619801e-35,5.6206938161010591e-28,1.0015598011519903e-31,5.4220366955016096e-39,1.0279837554274751e-23,2.5257599066490559e-41,5.8843923460202224e-43,2.5561887363902363e-45,9.5376795323091833e-46,2.4835047170075853e-67,5.9534341034889049e-45
1.6383e-11,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.3380777525943597e-18,2.3393861703927352e-18,1.3251628359488461e-21,7.4487597917299595e-34,1.1396311953340523e-30,1.1397082632051196e-30,8.15005737462647e-35,1.3524087458976041e-27,3.1472108302886244e-31,2.0116168453976359e-38,1.6742333896833087e-23,9.370590106312025e-41,2.1821877249769819e-42,1.0423279531685183e-44,3.8891373204816291e-45,1.0941283240799374e-66,2.4281839169265107e-44
3.2767e-11,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.6736096444895995e-18,4.6788749373026284e-18,5.298183388911717e-21,2.9789508148056269e-33,9.1154828095166265e-30,9.1167510273905866e-30,1.3038415871804552e-33,5.4098124948809333e-27,2.5166935961410714e-30,3.2165234873675939e-37,3.2879765377147141e-23,1.4979517209777875e-39,3.4686861240945858e-41,3.314063682609728e-43,1.2364920694844521e-43,1.3664228837694511e-64,7.7653017031217254e-43
6.5535e-11,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,9.3367456821532685e-18,9.3578541700339031e-18,2.1171978688841167e-20,1.1905800734650769e-32,7.2858967236125153e-29,7.2879523567909604e-29,2.0843893542781965e-32,2.1639608313876788e-26,2.0115219471271711e-29,5.1395293881269707e-36,6.3447601860053057e-23,2.3922247974273074e-38,5.4750645910582553e-40,1.0464367844496931e-41,3.9039717410840258e-42,1.6656483522909663e-62,2.4816164241842594e-41
9.999999999999999e-11,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.10526315799999998,1.4224759143796643e-17,1.4279153136279952e-17,5.4486472547332733e-20,3.0641545089564414e-32,3.4044342151861484e-28,3.4062697672988889e-28,1.8492288238489256e-31,5.5780429134101414e-26,9.400832496861415e-29,4.5565039980791867e-35,9.2368843634067535e-23,2.1186803590139107e-37,4.7438785885260791e-39,1.764505933995294e-40,6.5818080431912973e-41,1.0284030688264282e-60,4.2827331977620782e-40
1.31071e-10,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.8631417094376111e-17,1.8715818744294785e-17,8.4520264471812397e-20,4.7532254877799496e-32,5.816770376222342e-28,5.8200754011871408e-28,3.3284391132187853e-31,8.6559174055186563e-26,1.6062468013785621e-28,8.2009579067537599e-35,1.1844201650975023e-22,3.8130553993979198e-37,8.5270057735896724e-39,3.2609104064225145e-40,1.2163509105523363e-40,1.9405161734823295e-60,7.9199933978515223e-40
2.62143e-10,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999963,0.10526315799999997,3.7095233718048572e-17,3.7431767837646933e-17,3.3674316361650069e-19,1.893832486095314e-31,4.6337710677279511e-27,4.6390554568229145e-27,5.303769569399194e-30,3.4623833735323762e-25,1.2802514262001284e-27,1.3050449718597368e-33,2.0835617539267635e-22,6.0547051891224915e-36,1.2948139148810314e-37,9.9115849102937859e-39,3.6958622129221877e-39,2.0854175003971117e-58,2.520886678095967e-38
5.24287e-10,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999928,0.10526315799999993,7.3527677210693147e-17,7.486372098417089e-17,1.3363792119481213e-18,7.5158843343848439e-31,3.6756744248341327e-26,3.6840745108623764e-26,8.4166121818085108e-29,1.3849575300626457e-24,1.0166812028668176e-26,2.0655899758299806e-32,3.327053125240036e-22,9.541932933546844e-35,1.8779432536676048e-36,2.8795947022728561e-37,1.0730232784012161e-37,1.9633873638737226e-56,7.9813599395510145e-37
9.999999999999999e-10,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999859,0.10526315799999986,1.3789326019302639e-16,1.4279163118439377e-16,4.898833125601967e-18,2.7551593829458696e-30,2.657540053978695e-25,2.6696256128629805e-25,1.2099144033460828e-27,5.1548945454676509e-24,7.3671835003451957e-26,2.9541797962855088e-31,4.5209019986158261e-22,1.3470016231564864e-33,2.3057023380181382e-35,7.0640736148376208e-36,2.6287233280703233e-36,1.369710763637916e-54,2.2763512942818436e-35
1.0485750000000002e-09,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999852,0.10526315799999984,1.444656225067888e-16,1.4972774232278152e-16,5.2625948871172856e-18,2.9597437833560369e-30,2.8913688953250197e-25,2.9046027360618549e-25,1.3248644315673484e-27,5.5398423827630362e-24,8.0156325633306809e-26,3.2347390416644988e-31,4.6428057704787549e-22,1.4748005479753508e-33,2.5219616828637518e-35,7.7559818548362115e-36,2.8861853379085723e-36,1.5075669604030047e-54,2.5006395069838391e-35
2.0971510000000003e-09,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999699,0.10526315799999968,2.7904150831195113e-16,2.9945594464075677e-16,2.0415037890510409e-17,1.1481701930829088e-29,2.2376728077403868e-24,2.2581873471804499e-24,2.0528756918785222e-26,2.2159405300101182e-23,6.2317067411480054e-25,4.9615559830516409e-30,5.594805550755965e-22,2.2144932300530256e-32,3.0214635681013089e-34,1.8669888740476235e-34,6.928626795569786e-35,9.0981932675132339e-53,7.6763560551910992e-34
4.194303e-09,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999401,0.10526315799999932,5.219275508358805e-16,5.9891246275354419e-16,7.698567556736985e-17,4.3297911946622201e-29,1.6790355964193591e-23,1.7098929939118208e-23,3.0872119474359061e-25,8.8637704441283568e-23,4.718578733928438e-24,7.3151936399754783e-29,6.0316447598304392e-22,3.1370150799395587e-31,3.1322621515006755e-33,3.8967955190567919e-33,1.4382967046197969e-33,4.1724030360124337e-51,2.2665897051960018e-32
8.388607e-09,0.0034963099562058514,0.84210526299999999,0.0,0.0,0.0,0.052631578999998804,0.10526315799999852,9.2182400534555453e-16,1.1978254379609376e-15,2.7600264119839224e-16,1.5522824235944038e-28,1.1911459342041499e-22,1.2351072305081504e-22,4.3977262321050226e-24,3.5455088530797627e-22,3.408308450725448e-23,1.003563832286613e-27,6.1859380614485198e-22,4.0050885505940984e-30,2.7730811101864241e-32,6.9589884976920356e-32,2.5408058223565624e-32,1.4415050819405437e-49,6.2350510070064868e-31
9.999999999999999e-09,0.0034963099562058514,0.84210526299999999,0.0,0.0,0.0,0.052631578999998575,0.10526315799999819,1.0484916765752238e-15,1.4279193881903253e-15,3.7942915266001525e-16,2.1339698414678553e-28,1.9567455911647351e-22,2.0426844525935503e-22,8.5968405874869e-24,5.077910281094455e-22,5.6367991808834303e-23,1.9373992395755124e-27,6.2113367521859009e-22,7.8240564470945384e-30,4.765163888938998e-32,1.420198297011334e-31,5.1664954005945869e-32,3.5392538628137374e-49,1.4134318566091299e-30
1.2582911e-08,0.0034963099562058514,0.84210526299999999,0.0,0.0,0.0,0.052631578999998208,0.10526315799999765,1.2515280068580893e-15,1.7967382890301204e-15,5.4521209583145314e-16,3.0663599103008073e-28,3.1839296335179823e-22,3.3371545727155972e-22,1.5327624858470934e-23,7.5342052413151253e-22,9.2088596405745755e-23,3.4342493225012681e-27,6.2520484579530122e-22,1.3945501798115591e-29,7.958284699412047e-32,2.5811819984272032e-31,9.3752281518330315e-32,6.9017473087663832e-49,2.6796099441584334e-30
2.0971519e-08,0.003496309956205849,0.84210526299999999,0.0,0.0,0.0,0.052631578999997007,0.10526315799999572,1.7168817360168783e-15,2.9945634616484843e-15,1.2776853078789756e-15,7.1859084194820919e-28,1.2198816046674386e-21,1.3189334626901002e-21,9.9080620746456704e-23,2.0829846217378184e-21,3.6394723986718206e-22,2.0949115199885857e-26,6.3612403899620538e-22,7.7561230713774284e-29,3.395160916320268e-31,1.8667160081100922e-30,6.6554674558139963e-31,7.5807533552470084e-48,2.7764283058303269e-29
2.9360127e-08,0.003496309956205846,0.84210526299999999,0.0,0.0,0.0,0.052631578999995807,0.10526315799999365,2.0481147128925983e-15,4.1923881025987072e-15,2.1442792366612519e-15,1.2059774051030219e-27,2.6887782025662579e-21,2.9723839849025935e-21,2.8368315010800553e-22,3.9443725266954744e-21,8.2018198608215752e-22,5.7948410468001026e-26,6.4689315704303914e-22,2.0794923939518392e-28,7.8919316874551165e-31,5.6058448235994404e-30,1.9763241957056354e-30,2.7625165530856679e-47,9.7152244646097219e-29
3.7748735e-08,0.003496309956205842,0.84210526299999999,0.0,0.0,0.0,0.052631578999994606,0.10526315799999149,2.2866500438728422e-15,5.390212211746318e-15,3.1035707453586824e-15,1.7454986223473057e-27,4.7555286276417742e-21,5.3655514177297075e-21,6.1018185955009731e-22,6.3375832263383704e-21,1.4805055928466045e-21,1.2096836427204711e-25,6.5765285956699133e-22,4.1778562720341581e-28,1.4525906110161212e-30,1.2488093208229279e-29,4.3581633223722779e-30,6.7753716208162451e-47,2.420007709637501e-28
5.4525951e-08,0.003496309956205835,0.84210526299999999,0.0,0.0,0.0,0.052631578999992212,0.10526315799998706,2.6277570948740269e-15,7.7858591819360619e-15,5.158117206674986e-15,2.9010091493594054e-27,1.030438799709959e-20,1.2028772960944131e-20,1.7248081209897067e-21,1.2372157023539911e-20,3.3189482712145751e-21,3.2613451852180505e-25,6.7917192230113733e-22,1.0519991573953514e-27,3.3310515745701001e-30,3.7074773642371778e-29,1.2720764801377202e-29,2.3659241019645181e-46,8.3292989078177028e-28
7.130316700000001e-08,0.003496309956205827,0.84210526299999999,0.0,0.0,0.0,0.052631578999989818,0.10526315799998244,2.8157612700946085e-15,1.0181504196530444e-14,7.3657663184985859e-15,4.1426271425177462e-27,1.8034534744000952e-20,2.1736291540337352e-20,3.7026247401469355e-21,2.0362424504204636e-20,5.9972028496662819e-21,6.726954721442457e-25,7.0069395935239495e-22,2.0457974839493331e-27,6.1135186234732605e-30,8.2662499596961859e-29,2.7947857145254895e-29,5.4586519593848392e-46,2.057982510554005e-27
9.999999999999998e-08,0.003496309956205811,0.84210526299999999,0.0,0.0,0.0,0.052631578999985718,0.10526315799997445,3.0154581242684055e-15,1.4279165076104317e-14,1.1263749594964221e-14,6.3349167592426153e-27,3.6080230624409988e-20,4.652516329999614e-20,1.0447186154598343e-20,3.8991547514469702e-20,1.2835550310403275e-20,1.738873248264715e-24,7.375130296386548e-22,4.7862450880799602e-27,1.338005539714076e-29,2.5395115843515615e-28,8.2509836834377436e-29,1.8651377800705597e-45,7.6093759258916123e-27
1.0485759900000001e-07,0.003496309956205811,0.84210526299999999,0.0,0.0,0.0,0.052631578999985024,0.10526315799997307,3.0340384912725945e-15,1.4972787804695879e-14,1.1938795852410663e-14,6.7145738298825996e-27,3.9737357568415442e-20,5.1743521825115518e-20,1.2008730301929981e-20,4.276473200749567e-20,1.4275040643519096e-20,1.9784772812542604e-24,7.4374630213242337e-22,5.3801021132633084e-27,1.4923244651039405e-29,2.9460074014322407e-28,9.5307521881269663e-29,2.1871626546526461e-45,8.9807408347746627e-27
1.3841203100000002e-07,0.0034963099562057946,0.84210526299999999,0.0,0.0,0.0,0.052631578999980229,0.10526315799996358,3.1363835556895536e-15,1.9764059225468766e-14,1.6627759954488693e-14,9.3517240383518143e-27,7.1223329925850704e-20,1.0217464312967179e-19,3.0957396051735995e-20,7.7356845082054264e-20,2.8184332840586601e-20,4.5999949566008461e-24,7.8681973036823158e-22,1.1300101004475385e-26,3.0158674008508434e-29,8.4288453860665172e-28,2.5842801192053058e-28,6.4419563869139599e-45,2.9930721472313757e-26
1.71966463e-07,0.0034963099562057786,0.84210526299999999,0.0,0.0,0.0,0.052631578999975434,0.10526315799995413,3.2530698163066699e-15,2.4555323435176041e-14,2.1302385999430346e-14,1.1980810286037538e-26,1.067878161678108e-19,1.6483613889253969e-19,5.8059209853767274e-20,1.1916242220322202e-19,4.5464515537588204e-20,8.0903875278722669e-24,8.2990697267969083e-22,1.8856118185933516e-26,4.9384911070318305e-29,1.6911975451451618e-27,5.0009734887486152e-28,1.3193754894175018e-44,6.4565655216611092e-26
2.3907532700000004e-07,0.0034963099562057456,0.84210526299999999,0.0,0.0,0.0,0.052631578999965851,0.10526315799993521,3.4981690226845974e-15,3.4137814234009159e-14,3.063993603135702e-14,1.7232401350215087e-26,1.9096371074800946e-19,3.538820435256453e-19,1.6294665348652719e-19,2.4041539349931414e-19,9.7576033911376053e-20,1.9707790329952431e-23,9.1615498403639675e-22,4.3444046602276854e-26,1.095148119945462e-28,5.8421710250869586e-27,1.5270895970049057e-27,5.0438139830853021e-44,2.5335053765288201e-25
3.7329305500000005e-07,0.00349630995620568,0.84210526299999999,0.0,0.0,0.0,0.052631578999946686,0.10526315799989737,3.9948027702480814e-15,5.3302659833190015e-14,4.9308715371809258e-14,2.7732028599035046e-26,3.8103212279038486e-19,9.6244650113068767e-19,5.815129365241725e-19,6.1905760203277324e-19,2.6519551670273175e-19,5.9817825503363803e-23,1.088918796609372e-21,1.3306928439106623e-25,3.1216603972722475e-28,2.9506421159775177e-26,6.1520948466960934e-27,2.9153739201671484e-43,1.3993633007954319e-24
6.417285110000001e-07,0.0034963099562055496,0.84210526299999999,0.0,0.0,0.0,0.052631578999908356,0.10526315799982171,4.9897692556847225e-15,9.1631807539773145e-14,8.6645093583715641e-14,4.8730619181277546e-26,7.8850238159198199e-19,3.1019313184882361e-18,2.3138629998843106e-18,1.9208539116080686e-18,8.5351529748325773e-19,2.0751927247535494e-22,1.4355172603075059e-21,5.2008488532796635e-25,1.0623657976531399e-27,1.9057512672534345e-25,2.7990039847280789e-26,2.3550037259455004e-42,9.3508241389230757e-24
9.999999999999997e-07,0.003496309956205288,0.84210526299999999,0.0,0.0,0.0,0.052631578999857181,0.10526315799972071,6.3179080722739346e-15,1.4278694295805958e-13,1.364779163958595e-13,7.6757414866987638e-26,1.3464171564270166e-18,8.4221921565489526e-18,7.0774626609737531e-18,5.11162153798392e-18,2.3116561106504543e-18,5.8412086634382427e-22,1.9009581302198719e-21,1.8233965591731606e-24,3.0123944420763019e-27,9.9684820569213105e-25,9.488365809987245e-26,1.6930675467037617e-41,4.8823629127999504e-23
1.1785994230000002e-06,0.003496309956205288,0.84210526299999999,0.0,0.0,0.0,0.052631578999831674,0.10526315799967036,6.979989297237769e-15,1.6828793298853574e-13,1.6131972958493567e-13,9.0728857450873311e-26,1.6245393624301641e-18,1.1074358307250225e-17,9.4521315280059627e-18,6.7022288692801283e-18,3.0385437248764726e-18,7.7185790216971768e-22,2.1329818143790289e-21,2.4731013782410174e-24,3.9844896308381686e-27,1.3987777789490813e-24,1.2823032951835972e-25,2.4196692001209742e-41,6.8500942036481031e-23
2.2523412470000002e-06,0.003496309956204766,0.84210526299999999,0.0,0.0,0.0,0.052631578999678297,0.10526315799936764,1.096067476937995e-14,3.2159153580546334e-13,3.106775292831211e-13,1.7473013010595629e-25,3.3088658795037657e-18,4.1825168361218267e-17,3.8530618288766477e-17,2.4973988488965312e-17,1.1410953501624087e-17,2.9679904403612762e-21,3.5448496045975787e-21,1.359729088242594e-23,1.5593408949066606e-26,1.085544590709876e-23,5.6537365383714337e-25,2.9498380328184475e-40,5.2339537677068996e-22
4.399824895e-06,0.0034963099562037216,0.84210526299999999,0.0,0.0,0.0,0.052631578999371431,0.1052631579987621,1.8922967691479288e-14,6.2816439947039563e-13,6.0942760131825275e-13,3.4275206339330886e-25,6.6952594668444865e-18,1.6280386285953193e-16,1.5620720045035624e-16,9.6336624133329671e-17,4.3919445157780836e-17,1.1564666536295125e-20,6.4352994577931292e-21,8.1065193505683739e-23,6.2027211983034157e-26,8.6088611477517323e-23,2.3992486956765899e-24,4.0395267628155699e-39,4.068353994035144e-21
6.547308543e-06,0.003496309956202677,0.84210526299999999,0.0,0.0,0.0,0.052631578999064454,0.10526315799815644,2.6886188711159111e-14,9.3470316769192741e-13,9.082124089229874e-13,5.1079353253445321e-25,1.0097507788404646e-17,3.4350916077896547e-16,3.3368205572191793e-16,2.0250149167120308e-16,9.1949704308056018e-17,2.4301395532900729e-20,9.3914398625769733e-21,2.1431800043903794e-22,1.3178103622991918e-25,2.4592659549675444e-22,5.1977415391288801e-24,1.4725207332529322e-38,1.1517547919049865e-20
9.999999999999997e-06,0.003496309956200587,0.84210526299999999,0.0,0.0,0.0,0.052631578998570544,0.10526315799718231,3.9692361527896129e-14,1.427443425962046e-12,1.3887073897704213e-12,7.8103177906502952e-25,1.5616939594097643e-17,8.2765771016436187e-16,8.1304364515849924e-16,4.8499256284741814e-16,2.1757506785323306e-16,5.769009653266523e-20,1.4349117836711152e-20,6.9220143362353582e-22,3.1952891384852693e-25,9.5835265024907092e-22,1.2824529046796662e-23,9.9526345465090676e-38,4.3963764300563465e-20
1.0842275839e-05,0.003496309956200587,0.84210526299999999,0.0,0.0,0.0,0.052631578998450057,0.10526315799694468,4.2816396816866982e-14,1.5476462357445774e-12,1.505922993356445e-12,8.4695575421924228e-25,1.6963391807636217e-17,9.4576459307377184e-16,9.2998276061536916e-16,5.5390558532516222e-16,2.4822107540921442e-16,6.5835190439240993e-20,1.5558531544006021e-20,8.0877995639122328e-22,3.6532956041979184e-25,1.1321472856704919e-21,1.4685065653353807e-23,1.2021338068335468e-37,5.1878941334326143e-20
1.47077464054e-05,0.0034963099561987044,0.84210526299999999,0.0,0.0,0.0,0.052631578997896736,0.10526315799585372,5.7156663826036153e-14,2.0991877168483863e-12,2.0439778076882903e-12,1.149566593788828e-24,2.3191104262098026e-17,1.683694868930171e-15,1.6631195649561054e-15,9.8241118356240169e-16,4.361902083657852e-16,1.1583946428492701e-19,2.1309188055280656e-20,1.6878799750554029e-21,6.5201590690192817e-25,2.552298101209363e-21,2.6388105342474046e-23,3.6235811395500407e-37,1.1565433571923701e-19
1.85732169718e-05,0.003496309956196823,0.84210526299999999,0.0,0.0,0.0,0.052631578997343033,0.10526315799476239,7.1500234963289758e-14,2.650617214118302e-12,2.5821563230502637e-12,1.4522470048454689e-24,2.9468702884587953e-17,2.6305755376791525e-15,2.6059952064988474e-15,1.5296063896979257e-15,6.7271430629964573e-16,1.7879607614510439e-19,2.7265312632406638e-20,2.967018358145246e-21,1.0202909587482552e-24,4.8327388288076408e-21,4.1466458370501872e-23,7.9045736599217292e-37,2.1656051900414145e-19
2.2438687538200002e-05,0.0034963099561949396,0.84210526299999999,0.0,0.0,0.0,0.052631578996788962,0.10526315799367068,8.5846962526463465e-14,3.2019421792455401e-12,3.1204530190000198e-12,1.7549938826018629e-24,3.5792342073319202e-17,3.7761009134239969e-15,3.7484152695333189e-15,2.18882168649627e-15,9.5388197979992305e-16,2.5366206906407989e-19,3.3410346378625473e-20,4.6706199261204368e-21,1.4661317820826492e-24,8.0919909484345459e-21,5.9753730209961945e-23,1.6027174085161767e-36,3.5896101118739338e-19
3.0169628671000002e-05,0.003496309956191172,0.84210526299999999,0.0,0.0,0.0,0.052631578995679981,0.10526315799148642,1.1454771505599914e-13,4.3043572236559669e-12,4.1973196606610038e-12,2.360641318259444e-24,4.854158518551372e-17,6.5237169113100629e-15,6.4923187622968608e-15,3.7624392098805308e-15,1.6146057810085275e-15,4.2964251299866353e-19,4.6116732203919492e-20,9.2474193227370447e-21,2.5360939668622665e-24,1.7326046054186859e-20,1.0370388876163852e-22,4.920959174736426e-36,7.5637416380722423e-19
