Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11)
1.6383e-11,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.7773337802009913e-19,4.7818531434591269e-19,4.5193632573751014e-22,7.612026366325639e-32,0.0
3.2767e-11,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.5458514278466674e-19,9.563914768260015e-19,1.8063340407263821e-21,6.0852296246415787e-31,0.0
6.5535e-11,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9055900839929672e-18,1.9128038017861793e-18,7.2137177883513884e-21,4.8608945617152888e-30,0.0
9.999999999999999e-11,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9002014795449375e-18,2.9187471239221811e-18,1.8545644354550343e-20,2.2693459798747272e-29,0.0
1.31071e-10,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.796866811655638e-18,3.8256284517065346e-18,2.8761640012126663e-20,3.8769932582145529e-29,0.0
2.62143e-10,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,7.5369717160610626e-18,7.6512777515472443e-18,1.1430603517788499e-19,3.0829583726251658e-28,0.0
5.24287e-10,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.4851173513199057e-17,1.5302576351228664e-17,4.5140283559256345e-19,2.4370459997306994e-27,0.0
9.999999999999999e-10,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999997,2.7548037860654514e-17,2.9187396185938757e-17,1.6393583077797683e-18,1.7504476803321511e-26,0.0
1.0485750000000002e-09,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999997,2.8844513226426846e-17,3.0605173550591493e-17,1.7606603051216403e-18,1.9043010438695e-26,0.0
2.0971510000000003e-09,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999942,0.10526315799999994,5.4503308038495455e-17,6.1210367949317122e-17,6.7070597652622456e-18,1.4555944131281005e-25,0.0
4.194303e-09,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.05263157899999988,0.10526315799999984,9.7946168696664886e-17,1.2242075674676828e-16,2.447458698122339e-17,1.0688800142972663e-24,0.0
8.388607e-09,0.00190990972321122,0.84210526299999999,0.0,0.0,0.0,0.052631578999999755,0.10526315799999966,1.6175435043607972e-16,2.4484153434167006e-16,8.3087176567892149e-17,7.3376982062172595e-24,0.0
9.999999999999999e-09,0.0019099097232112199,0.84210526299999999,0.0,0.0,0.0,0.052631578999999713,0.10526315799999958,1.7601778362659529e-16,2.918738868061026e-16,1.1585608848921088e-16,1.4690296552445374e-23,0.0
1.6777215e-08,0.0019099097232112199,0.84210526299999999,0.0,0.0,0.0,0.052631578999999512,0.10526315799999925,2.3600709310619463e-16,4.8968308953147139e-16,2.5367595081133861e-16,4.5613938271772942e-23,0.0
2.5165823e-08,0.0019099097232112196,0.84210526299999999,0.0,0.0,0.0,0.052631578999999269,0.1052631579999988,2.7941083626398043e-16,7.345246447212704e-16,4.5511369417680958e-16,1.1428048050697703e-22,0.0
4.1943039e-08,0.0019099097232112186,0.84210526299999999,0.0,0.0,0.0,0.052631578999998777,0.10526315799999786,3.1605054066666825e-16,1.2242077551008593e-15,9.0815682615091821e-16,3.8828327306680535e-22,0.0
