Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176)
1e-12,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.2047192518289737e-20,5.204923354266195e-20,2.1591044326005485e-24,5.2403556598310054e-37,1.0516603044492818e-34,4.5653371130006656e-35,5.362410113056285e-40,1.3863583154225512e-30,2.2586335225461846e-35,4.0528902007315474e-38,1.180772876675484e-25,2.6898077688716921e-46,2.8669601242182303e-48,1.0286474220971178e-51,3.9808935111481613e-52,1.6381426900280907e-76,2.9629391045451088e-45,8.7578488108193015e-45,5.9553435310523333e-35,3.7073050314045938e-65,8.692628888077382e-63,7.4941324752275696e-74
1.023e-12,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.3243910358325941e-20,5.3246023975933271e-20,2.2344108365088348e-24,5.4237410223758341e-37,1.0911310033530887e-34,4.752471626925494e-35,5.5887616486593656e-40,1.4347127683417992e-30,2.3510619025499592e-35,4.218743515287751e-38,1.207903597507412e-25,2.8080825962413409e-46,2.993122405039864e-48,1.0754700442782044e-51,4.1620983288743418e-52,1.7145710111075429e-76,3.0932190276741232e-45,9.1429238331412369e-45,6.1630829398904582e-35,3.8760798529893879e-65,9.0949195262780705e-63,7.8362807107794426e-74
2.047e-12,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.0652051501964838e-19,1.0652921568939728e-19,8.9420105670506726e-24,2.1811589081033157e-36,6.2905794929498376e-34,3.825783871694614e-34,6.3687850912570669e-39,5.7418641982566557e-30,1.8819393793939312e-34,3.3769238014311054e-37,2.4132933457172604e-25,4.4968262854847089e-45,4.8186933331355495e-47,3.4636297698217621e-50,1.3404323315911882e-50,2.2078744413805993e-74,4.9522050434877435e-44,1.4631055831402002e-43,2.4682121822079313e-34,1.2509319257837991e-63,5.8712841816458295e-61,2.6543972291134688e-72
4.095e-12,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.1306030674910738e-19,2.13095600110366e-19,3.5774811829256353e-23,8.747594770681827e-36,4.0561887046522387e-33,3.0700614270683617e-33,8.1293796336079897e-38,2.2973475502351445e-29,1.5059098320946672e-33,2.7021393717584209e-36,4.8140462581619071e-25,7.1972779331345286e-44,7.7277092919956492e-46,1.111062215591826e-48,4.2998235631206235e-49,2.8289791309077184e-72,7.9254843026489928e-43,2.3394208736223972e-42,9.8889153207624933e-34,4.0169288522984202e-62,3.7710162700392268e-59,8.7398512623019048e-71
8.191e-12,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.2608623350253216e-19,4.26228372895205e-19,1.4309715430005801e-22,3.5032581438276149e-35,2.8540124199182349e-32,2.4595857704693447e-32,1.1356673880280926e-36,9.1905932516367971e-29,1.2047482724377015e-32,2.1616798783021368e-35,9.5757783606982128e-25,1.1515104941462844e-42,1.2358976006335966e-44,3.554176241189723e-47,1.3754628589621542e-47,3.608595072686948e-70,1.2680796622038064e-41,3.7362947203750674e-41,3.9668665920779713e-33,1.2856414408715059e-60,2.4139987672083248e-57,2.8331233883352412e-69
1e-11,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.201218463888447e-19,5.2035854867559363e-19,2.3786701678333612e-22,5.825271426182307e-35,6.9192840241872177e-32,6.2637992983387845e-32,4.6050434381287012e-36,1.5279668185519257e-28,3.0666041296277569e-32,5.5021669014730815e-35,1.1644244973379114e-24,4.9639414574674443e-42,5.3149032086921169e-44,2.7802099992811127e-46,1.0759281751197275e-46,1.0383236689462868e-68,5.4673540116927545e-41,1.6061439453179496e-40,6.6140898836507334e-33,1.0059044309365308e-59,3.5895760812662911e-56,2.2295524103226371e-68
1.6383e-11,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.5192356946973625e-19,8.5249393397477558e-19,5.7225951663450439e-22,1.4018422770167932e-34,2.1263467910339184e-31,1.9686847915470129e-31,1.6846628472839688e-35,3.6764778911318996e-28,9.6361043708903971e-32,1.7288971030218311e-34,1.8942764812374242e-24,1.8415985038937288e-41,1.9707547098265103e-43,1.1336014162166647e-45,4.3869793630211506e-46,4.5746881550681965e-68,2.0284362399082437e-40,5.9550327695020623e-40,1.5954734587967438e-32,4.1015722313564261e-59,1.5403511246337407e-55,9.0967997161905187e-68
3.2767e-11,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7027410446143422e-18,1.7050251161475466e-18,2.2877815815794223e-21,5.6060013532448119e-34,1.6375920126434843e-30,1.5747134602006976e-30,2.5884049788235397e-34,1.470639310835246e-27,7.7049926544972628e-31,1.382245077222793e-33,3.7071086101548922e-24,2.9434260491851783e-40,3.1281160169068067e-42,3.5991901878055679e-44,1.3928380209950957e-44,5.7367477870122612e-66,3.2435292956100415e-39,9.453952425675738e-39,6.4510301305606549e-32,1.3023936888355328e-57,9.7830442062202347e-54,2.897898283295091e-66
6.5535e-11,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.4009541804859944e-18,3.4100877053563976e-18,9.1406423267996298e-21,2.2401732807688916e-33,1.2835052788511324e-29,1.2586527795676482e-29,4.0522201240486551e-33,5.8826538747644732e-27,6.1574261170494492e-30,1.1043389597812919e-32,7.1057034322027766e-24,4.6990715873944529e-39,4.9234126332228398e-41,1.1332772707001639e-42,4.3854403078561478e-43,7.0474374998472022e-64,5.1830393058376332e-38,1.4893273225254195e-37,2.6355033596563361e-31,4.1009391382849324e-56,6.1617388583876681e-52,9.1395969651088588e-65
9.999999999999999e-11,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.1799461061601162e-18,5.2034530553868747e-18,2.3517238513241881e-20,5.7639240140188681e-33,5.9426977031498576e-29,5.8811405919740459e-29,3.5582392127313025e-32,1.5163716782247246e-26,2.87686760539481e-29,5.1573440589277581e-32,1.02590172322952e-23,4.1591175294175309e-38,4.2436994980653845e-40,1.9008760390595764e-41,7.355196660083421e-42,4.4118498682024113e-62,4.5956820964432222e-37,1.2861240991641859e-36,7.0243514087227263e-31,6.8782543677153491e-55,2.0382432344436158e-50,1.5341359132959008e-63
1.31071e-10,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.7837487500777329e-18,6.8202136760396239e-18,3.6478074727051469e-20,8.9406673487877654e-33,1.0143068160581622e-28,1.0048420987136653e-28,6.400757635227829e-32,2.3530811098173468e-26,4.9153244363519504e-29,8.8112225279711333e-32,1.310180304638694e-23,7.4850265799713921e-38,7.6256362951552711e-40,3.5123924644716655e-41,1.3590720056134841e-41,8.3257009620465913e-62,8.2715334526428243e-37,2.3113285953577649e-36,1.0981000117051231e-30,1.2709451624721547e-54,3.8202174592139037e-50,2.8347995659576733e-63
2.62143e-10,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.3495251931460988e-17,1.3640468109994068e-17,1.4523893210049282e-19,3.5598987029861764e-32,8.0347693729184487e-28,8.0044799041122535e-28,1.0138729471423558e-30,9.4123650535151227e-26,3.9153235092338047e-28,7.0115416611382698e-31,2.2566116242287502e-23,1.1869600065930344e-36,1.1461237167921644e-38,1.0568743883858416e-39,4.0887218626363939e-40,9.1542936708661163e-60,1.3166438222166736e-35,3.486773245547243e-35,4.7411637323997555e-30,3.8236578762151657e-53,2.2997632848533033e-48,8.5319946787110256e-62
5.24287e-10,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.6705384698198328e-17,2.7280983423137722e-17,5.756343799235494e-19,1.4109434258760501e-31,6.3491303397195226e-27,6.3489841054203219e-27,1.6025676682690415e-29,3.7649549374667577e-25,3.1054754070887031e-27,5.5500756869292784e-30,3.4908315648145456e-23,1.8656715587411685e-35,1.6328703424459805e-37,3.0170416062454653e-38,1.1667958150893289e-38,8.8975906324793626e-58,2.0851282481408089e-34,4.9979473517199161e-34,2.1717200323405639e-29,1.0911636170865719e-51,1.313768554946625e-46,2.4352830182145318e-60
9.999999999999999e-10,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999995,4.9929617421540251e-17,5.2034452331482218e-17,2.104883426811473e-18,5.1593496473632745e-31,4.572991738894797e-26,4.5899302078904864e-26,2.2949048603755896e-28,1.4013375640326302e-24,2.245035236266707e-26,3.9964185003932406e-29,4.575984457753395e-23,2.632079016517721e-34,1.9500176351583692e-36,7.2013918212731455e-37,2.7831036949898614e-37,6.4973510637775443e-56,2.9855596458338514e-33,6.0178752643785171e-33,1.0028420158077029e-28,2.6027123455272643e-50,6.2651155913797085e-45,5.8093769505215507e-59
1.0485750000000002e-09,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999995,5.2301041167656799e-17,5.4562026209477656e-17,2.2610348720160006e-18,5.5420989777552189e-31,4.9751085048684588e-26,4.9937780521919931e-26,2.5128735329662651e-28,1.50598407056943e-24,2.4425655535204348e-26,4.3478205768707468e-29,4.6867892954906546e-23,2.8817899527981335e-34,2.1324604923840222e-36,7.9059181388554021e-37,3.0553719561312155e-37,7.1517095178733322e-56,3.2691235789847983e-33,6.5813258358495702e-33,1.0830666908970218e-28,2.8573331461234006e-50,6.8914309518924928e-45,6.3777051192085726e-59
2.0971510000000003e-09,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999894,0.1052631579999999,1.0039583398003794e-16,1.0912412572872623e-16,8.7283579952921654e-18,2.139447521327896e-30,3.8286097084636216e-25,3.8647708744058009e-25,3.8722139651770588e-27,6.0239412138228435e-24,1.8903154355041809e-25,3.3380090536628271e-28,5.4581406269894302e-23,4.2596667917570104e-33,2.4607959539651143e-35,1.8340665128301872e-35,7.078183724304926e-36,4.3485437016664018e-54,5.0264378666039071e-32,7.6514663856617189e-32,5.9592875644792802e-28,6.6194134733298079e-49,3.2010372281813353e-43,1.4775596872170996e-57
4.194303e-09,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999783,0.10526315799999976,1.8562830920662235e-16,2.1824832800408338e-16,3.2620121878552583e-17,7.9956854655285656e-30,2.8452862700316068e-24,2.9019919671424153e-24,5.769108586951515e-26,2.4095774531531888e-23,1.4193762391879938e-24,2.4670664039859465e-27,5.7735333955619688e-23,5.9143024028846085e-32,2.4448751082961073e-34,3.670712238409167e-34,1.4126810129802676e-34,1.9909884383092796e-52,7.4493248201382373e-31,7.5973926897821404e-31,3.5592255509414207e-27,1.3211198830443788e-47,1.2822449680374376e-41,2.9490266882867185e-56
8.388607e-09,0.0027993449165132525,0.84210526299999999,0.0,0.0,0.0,0.052631578999999568,0.10526315799999945,3.2133167363006132e-16,4.3649670154385463e-16,1.1516525972053446e-16,2.8228781349729766e-29,1.9859027113630749e-23,2.066460878778853e-23,8.0896201957517268e-25,9.6383102594066792e-23,1.0106769702428825e-23,1.7031373506025688e-26,5.8909869858062216e-23,7.2990275794742978e-31,2.0738801039666109e-33,6.2833273541074252e-33,2.4046665739336834e-33,6.6909744771822128e-51,1.0336204570680637e-29,6.3184052213530526e-30,2.2001048211846758e-26,2.2488122956242402e-46,4.3845269980894769e-40,5.0199007033962725e-55
9.999999999999999e-09,0.0027993449165132516,0.84210526299999999,0.0,0.0,0.0,0.052631578999999484,0.10526315799999932,3.5591391715314652e-16,5.2034465005137125e-16,1.6443105580433239e-16,4.0304598132723112e-29,4.0064840930215241e-23,4.2687171231339299e-23,2.6263697035155875e-24,1.5192663986617148e-22,2.0876828986489782e-23,3.3947200163760386e-26,5.9143595230446388e-23,2.0270764591930455e-30,4.5613460032948395e-33,2.2748494193492126e-32,8.6309317028549531e-33,3.68679322060849e-50,3.3073441574039165e-29,1.3433769127024633e-29,4.3134879635747712e-26,8.0715344602420534e-46,2.8060944406471435e-39,1.8017731851917282e-54
1.6777215e-08,0.0027993449165132516,0.84210526299999999,0.0,0.0,0.0,0.05263157899999913,0.10526315799999876,5.0136031014250789e-16,8.729933051866301e-16,3.7163370109698131e-16,9.1093205653640971e-29,1.250466824083425e-22,1.3530991474013524e-22,1.0270043603499176e-23,3.8553228042286227e-22,6.6173666772695441e-23,1.050919762439591e-25,6.0126600058941125e-23,7.4827443600014262e-30,1.50231583637282e-32,9.1997880085934722e-32,3.4817428371080676e-32,1.6378652411673948e-49,1.2870197147190809e-28,4.3359647539042116e-29,1.3201978811774635e-25,3.2560805541151777e-45,1.2763948992972215e-38,7.2684157874137726e-54
2.5165823e-08,0.002799344916513251,0.84210526299999999,0.0,0.0,0.0,0.052631578999998693,0.10526315799999801,6.213373462226238e-16,1.3094897643313508e-15,6.8815380403490486e-16,1.6867724125204977e-28,3.1361251884055535e-22,3.4760740404750907e-22,3.3998091156182023e-23,8.192558556368926e-22,1.6999149508858759e-22,2.6044239577489505e-25,6.1281344858503201e-23,2.3671747637386686e-29,3.9756489315545828e-32,3.188283252804312e-31,1.1998575969239634e-31,7.3291035438258347e-49,4.220399226291706e-28,1.1082597634927635e-28,3.2944229831580424e-25,1.1220912629211734e-44,5.5239346858195271e-38,2.5048021723610937e-53
4.1943039e-08,0.0027993449165132486,0.84210526299999999,0.0,0.0,0.0,0.052631578999997819,0.10526315799999639,7.4373446522090496e-16,2.1824821044587498e-15,1.4387511883923225e-15,3.5266043474743405e-28,1.0434391058272357e-21,1.2354054364104056e-21,1.9189212429575076e-22,2.2649996006449175e-21,6.0409125754650263e-22,8.4206910804745402e-25,6.3585800210653581e-23,1.0118708775418493e-28,1.4650845145377058e-31,1.9906347568951779e-30,7.3493587713376935e-31,5.4669398220999973e-48,2.3188957197618732e-27,3.7055404641676371e-28,1.1195654797781555e-24,6.8730255335841055e-44,5.7557936504320504e-37,1.5342425946794197e-52
5.8720255000000004e-08,0.0027993449165132464,0.84210526299999999,0.0,0.0,0.0,0.052631578999996945,0.10526315799999471,8.0859925356530488e-16,3.055473866484172e-15,2.2468811442432218e-15,5.5074577075038385e-28,2.1104602838764412e-21,2.6219650669118228e-21,5.1124864844858421e-22,4.2890389456143792e-21,1.2820027598009926e-21,1.6711232026548277e-24,6.5891938141703739e-23,2.3658847118462847e-28,3.1588145441578567e-31,5.5951547820588406e-30,2.0409098447364184e-30,1.7812992725290257e-47,6.0832896248554846e-27,7.4513782384913318e-28,2.3175567577558815e-24,1.9086326135050057e-43,2.0205586161268269e-36,4.2605797464832732e-52
9.2274687e-08,0.0027993449165132417,0.84210526299999999,0.0,0.0,0.0,0.052631578999995196,0.10526315799999128,8.6377231515189458e-16,4.8014550785398759e-15,3.9376987772699617e-15,9.6519171854989717e-28,5.35073485401579e-21,7.4825295438081093e-21,2.1306035329699673e-21,1.065029207660169e-20,3.6579639429090448e-21,4.0906035447179795e-24,7.0510007238529752e-23,7.2870374622085294e-28,9.2260471059319277e-31,2.6650820495674797e-29,9.3722318100230316e-30,8.6542799818130537e-47,2.45123835663884e-26,1.8492344883785397e-27,6.2829140226333072e-24,8.7647908249755895e-43,1.529177780473744e-35,1.9565379133929677e-51
9.999999999999998e-08,0.0027993449165132373,0.84210526299999999,0.0,0.0,0.0,0.052631578999994794,0.10526315799999048,8.709137871523273e-16,5.2034357616519583e-15,4.3325410354492056e-15,1.0619737556552829e-27,6.2975803168358888e-21,9.0891189234082497e-21,2.7899860945813823e-21,1.264742338335724e-20,4.443187812403685e-21,4.7808943798012633e-24,7.1574251553844182e-23,8.9850534352412685e-28,1.1260863003527346e-30,3.6142366832119718e-29,1.2577789708882782e-29,1.2084574310814535e-46,3.1865272082537225e-26,2.1655935372835638e-27,7.5325659366757821e-24,1.1762587465450879e-42,2.2886358305777573e-35,2.625727386804134e-51
1.25829119e-07,0.0027993449165132373,0.84210526299999999,0.0,0.0,0.0,0.052631578999993447,0.10526315799998781,8.9479086891384832e-16,6.5474339789155553e-15,5.6526723586383645e-15,1.385558671044138e-27,9.4633011276030887e-21,1.4460653807474215e-20,4.9945919986251504e-21,1.9324711692687182e-20,7.0685365544957616e-21,7.0888402357135761e-24,7.513248836124992e-23,1.4662267631140312e-27,1.8064147473953832e-30,6.7876780676329017e-29,2.3295379589194238e-29,2.3553556917578099e-46,5.6449212238404263e-26,3.2233209744624434e-27,1.1710701890051506e-23,2.1785540084281529e-42,4.8278381064783627e-35,4.863122110135649e-51
1.92937983e-07,0.0027993449165132273,0.84210526299999999,0.0,0.0,0.0,0.052631578999989957,0.10526315799998087,9.3815192366019343e-16,1.0039382534624788e-14,9.1013026246601588e-15,2.2308720999115732e-27,1.9891842622294157e-20,3.6934891885116441e-20,1.7034789613113398e-20,4.5926153203062222e-20,1.8049837319685546e-20,1.4619857343984513e-23,8.4389130766019487e-23,3.9301006095748563e-27,4.725625089919927e-30,2.8357301773127817e-28,9.0914453516965067e-29,1.0081295060666482e-45,1.8818074203868131e-25,6.6858890182329108e-27,2.7549391644742806e-23,8.5022031655995102e-42,3.0575081606059397e-34,1.8979225560182449e-50
3.27155711e-07,0.0027993449165132083,0.84210526299999999,0.0,0.0,0.0,0.05263157899998297,0.10526315799996698,1.0168821782689856e-15,1.7023242674835987e-14,1.6006588034402945e-14,3.9234659819912146e-27,4.4759627970020467e-20,1.1600368174503336e-19,7.1219288871715322e-20,1.3613893609092148e-19,5.6665707834620051e-20,3.3757592692638485e-23,1.029333469433196e-22,1.3285874699758899e-26,1.5413729881338467e-29,1.6906603220172295e-27,4.7112670707460541e-28,6.5366927246296299e-45,7.9652311886022347e-25,1.5500009520691841e-26,7.3864865187650531e-23,4.4059166285935989e-41,2.9742405255100068e-33,9.8352051706254278e-50
5.95591167e-07,0.0027993449165131697,0.84210526299999999,0.0,0.0,0.0,0.052631578999969002,0.1052631579999392,1.1725380693929107e-15,3.0990815128478892e-14,2.9819106993724866e-14,7.3091312659991131e-27,9.921454563602384e-20,4.1069821374157605e-19,3.1143086873816069e-19,4.646000280536595e-19,2.0046616851187915e-19,8.518448620117672e-23,1.401213712144522e-22,5.3156833483660264e-26,5.7461480078978978e-29,1.2181738046647445e-26,2.6691438956683569e-27,5.4416156854202048e-44,3.8667262251567837e-24,3.9202953220639674e-26,2.0038774506251687e-22,2.4961492044994738e-40,3.3210620497971751e-32,5.572086468858372e-49
9.999999999999997e-07,0.0027993449165130916,0.84210526299999999,0.0,0.0,0.0,0.052631578999947956,0.10526315799989734,1.4068869748869935e-15,5.2033080871862554e-14,5.0628821071917955e-14,1.2409918945091253e-26,1.8375996453072724e-19,1.2664591642549009e-18,1.0827106499866163e-18,1.405458335132066e-18,6.1736658334374115e-19,2.002590584869861e-22,1.9643117552494678e-22,1.9730327435829395e-25,1.8693891855765162e-28,7.5265872426050162e-26,1.1690529554873169e-26,4.2232624443105478e-43,1.6787102693676717e-23,9.2262759530679736e-26,4.3257913975124957e-22,1.0932833628974334e-39,2.8315360895050569e-31,2.4405090444528716e-48
1.132462079e-06,0.0027993449165130916,0.84210526299999999,0.0,0.0,0.0,0.052631578999941066,0.10526315799988363,1.4836467800644457e-15,5.8925369169727414e-14,5.7444938241626341e-14,1.4080656291498647e-26,2.1145239121102755e-19,1.5467593589640786e-18,1.3353394626585587e-18,1.7136317409291307e-18,7.5392021713786499e-19,2.3795115579341196e-22,2.148751686784081e-22,2.4451771598426257e-25,2.29348602236543e-28,9.5928763317483967e-26,1.4645439048353637e-26,5.428333429629557e-43,2.1019107014123476e-23,1.0964223218716654e-25,5.0863226311707663e-22,1.3696227174171355e-39,3.6502117755995713e-31,3.0573746163363033e-48
2.206203903e-06,0.002799344916512937,0.84210526299999999,0.0,0.0,0.0,0.05263157899988518,0.1052631579997725,2.105878522421002e-15,1.1479211728598298e-13,1.1269896314084841e-13,2.7624285404689362e-26,4.3754876955180108e-19,6.0090616859902905e-18,5.5727939822045691e-18,6.5798728420330451e-18,2.9208620709824238e-18,7.4136380009180557e-22,3.6588023235447391e-22,1.2788712503967445e-24,9.3825042584544536e-28,7.8113618432148224e-25,7.382209920159193e-26,6.2768784908193985e-42,1.2789947922898136e-22,3.4182656082292503e-25,1.1815748890071023e-21,6.903748256225416e-39,3.7100833258189855e-30,1.5411119842083298e-47
4.353687551000001e-06,0.0027993449165126284,0.84210526299999999,0.0,0.0,0.0,0.052631578999773394,0.1052631579995502,3.3504481411081703e-15,2.265162014537458e-13,2.2321644795989748e-13,5.4713856302841129e-26,8.915687728242023e-19,2.3722138357403162e-17,2.2841644399739949e-17,2.5782984861201938e-17,1.1468023789610599e-17,2.5344471593366473e-21,6.7384032824004999e-22,7.4397551600523808e-24,3.8425799849109676e-27,6.39363418902365e-24,3.412664591906381e-25,8.1762553363793699e-41,8.5866797089004744e-22,1.1689893706322209e-24,2.5606376395054811e-21,3.1914802617950019e-38,3.46373403010991e-29,7.1243895847453888e-47
