Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21)
2.0971510000000003e-09,0.003552184154497357,0.84210526299999999,0.0,0.0,0.0,0.05263157899999376,0.10526315799999328,5.7673153123306336e-15,6.240308216000361e-15,4.7310647155689308e-16,2.0675126974920757e-27,4.9957207338265478e-22,5.057768972710679e-22,6.2169931894963802e-24,1.6416547612708811e-21,5.8928349249554544e-23,3.8415283036166485e-27,1.1078413130713562e-19,1.0441301439429684e-29
3.1457270000000003e-09,0.0035521841544973558,0.84210526299999999,0.0,0.0,0.0,0.052631578999990637,0.10526315799998966,8.3808438275665211e-15,9.3605117447195513e-15,9.7979029123696253e-16,4.2817655507165459e-27,1.3951965935491883e-21,1.417609482982333e-21,2.2450254576540881e-23,3.488530982154387e-21,1.6516270887594427e-22,1.3552853664883429e-26,1.1679216174375841e-19,3.8666114627907438e-29
4.194303e-09,0.003552184154497353,0.84210526299999999,0.0,0.0,0.0,0.052631578999987515,0.10526315799998588,1.0848121461580169e-14,1.2480718417338487e-14,1.6327250174156563e-15,7.1351488622785846e-27,2.881201632877897e-21,2.937091652785033e-21,5.5973343316532938e-23,5.9510368477368096e-21,3.4218736311012762e-22,3.3096344481741897e-26,1.190406590597206e-19,9.990877831722624e-29
6.291455e-09,0.003552184154497347,0.84210526299999999,0.0,0.0,0.0,0.052631578999981277,0.10526315799997801,1.5468368780447924e-14,1.8721132756794731e-14,3.2529021168259602e-15,1.4215469983828222e-26,7.600254808118196e-21,7.790251095823559e-21,1.9024217750320858e-22,1.2320889690393406e-20,9.0757610882887014e-22,1.0870419059310671e-25,1.2109858646284786e-19,3.6900999185641002e-28
8.388607e-09,0.00355218415449734,0.84210526299999999,0.0,0.0,0.0,0.052631578999975039,0.10526315799996971,1.962588683757908e-14,2.4961546302957586e-14,5.3358076400958607e-15,2.3317958603055314e-26,1.5421251673243453e-20,1.5885073319713708e-20,4.6436664307015884e-22,2.0954621190148362e-20,1.8505780337280712e-21,2.5795895015554246e-25,1.2168591981072532e-19,9.3730967277720447e-28
9.999999999999999e-09,0.0035521841544973206,0.84210526299999999,0.0,0.0,0.0,0.052631578999970244,0.10526315799996304,2.254517508620405e-14,2.9756504028269521e-14,7.2114850770057215e-15,3.1514842473162587e-26,2.4543550312555755e-20,2.5439112526909995e-20,8.9651303157159163e-22,2.9271990141856161e-20,2.9634863747354313e-21,4.762546877075762e-25,1.2213312001060265e-19,1.7958979000556456e-27
1.2582911e-08,0.0035521841544973206,0.84210526299999999,0.0,0.0,0.0,0.052631578999962556,0.10526315799995184,2.6725560834429611e-14,3.7442365979695439e-14,1.0716974493260502e-14,4.6834157032059425e-26,4.4808920497702156e-20,4.6797782079167303e-20,1.9907819457511679e-21,4.5655809300959153e-20,5.4513651371416639e-21,1.0139972383160451e-24,1.2284252454960093e-19,3.9370206070810358e-27
1.6777215e-08,0.003552184154497296,0.84210526299999999,0.0,0.0,0.0,0.052631578999950072,0.10526315799993262,3.2469201332473246e-14,4.9923175769393276e-14,1.7454163865913067e-14,7.627630364933493e-26,9.4977185009272348e-20,1.0041896507443847e-19,5.4464395589263512e-21,8.015609349779408e-20,1.1696645840882211e-20,2.5979508047710858e-24,1.2408736691520001e-19,1.0312919792484564e-26
2.0971519e-08,0.003552184154497268,0.84210526299999999,0.0,0.0,0.0,0.052631578999937589,0.10526315799991234,3.7159130398000693e-14,6.2403975628620336e-14,2.5245050543420237e-14,1.1032320833291289e-25,1.6910917447012722e-19,1.8094519442721959e-19,1.1845267583391315e-20,1.2448924115973067e-19,2.1074575589239686e-20,5.3275821155710217e-24,1.254304780455561e-19,2.132102605372374e-26
2.5165823e-08,0.003552184154497238,0.84210526299999999,0.0,0.0,0.0,0.052631578999925106,0.10526315799989126,4.1044914118870484e-14,7.4884765628633611e-14,3.3840066206007603e-14,1.4788423364045361e-25,2.6944915183581346e-19,2.9177138723316869e-19,2.2338396022211397e-20,1.7866644465758207e-19,3.3979757573421548e-20,9.5064302406062565e-24,1.2678991630459337e-19,3.812668339592328e-26
2.9360127000000004e-08,0.0035521841544972057,0.84210526299999999,0.0,0.0,0.0,0.052631578999912623,0.10526315799986953,4.4291799718985939e-14,8.73655457845461e-14,4.3073962415740495e-14,1.882372280830875e-25,3.9721525328422455e-19,4.3512762229335082e-19,3.7938136958183372e-20,2.4269078647307144e-19,5.0671159434252549e-20,1.5361311092700736e-23,1.2814799749884219e-19,6.1592344528032457e-26
3.3554431000000006e-08,0.003552184154497171,0.84210526299999999,0.0,0.0,0.0,0.05263157899990014,0.10526315799984737,4.707496037202186e-14,9.9846316097050003e-14,5.2771565038723662e-14,2.3061666393065846e-25,5.5337074198406551e-19,6.1337135806822306e-19,6.0039139033311695e-20,3.1656387878201982e-19,7.1422218205025367e-20,2.3155765296793329e-23,1.2950320577856642e-19,9.2692989774734493e-26
4.1943039e-08,0.003552184154497099,0.84210526299999999,0.0,0.0,0.0,0.052631578999875181,0.10526315799980204,5.168239718246256e-14,1.2480782718228086e-13,7.3125598835845483e-14,3.1956570815908343e-25,9.5119991765338872e-19,1.0803298750968673e-18,1.2920490739667612e-19,4.9385755828582699e-19,1.2577491877208523e-19,4.5315092370274452e-23,1.3221692456691013e-19,1.8077921764272556e-25
4.94927862e-08,0.0035521841544970314,0.84210526299999999,0.0,0.0,0.0,0.052631578999852713,0.10526315799976063,5.5189696936880374e-14,1.4727315349069197e-13,9.2083560101580672e-14,4.0241378495907341e-25,1.4054957987117787e-18,1.6326263168031847e-18,2.2725249576524787e-19,6.8710685222540232e-19,1.9004510265460281e-19,7.3565965414028257e-23,1.3466046247906472e-19,2.9308062170839903e-25
5.70425334e-08,0.0035521841544969637,0.84210526299999999,0.0,0.0,0.0,0.052631578999830245,0.10526315799971889,5.838872889609841e-14,1.697384479112743e-13,1.1134973380745662e-13,4.8660877962001722e-25,1.9471035885423713e-18,2.3140047074169615e-18,3.6708529048030614e-19,9.1226790122636839e-19,2.6931744567763985e-19,1.1029147783297056e-22,1.3710338186537936e-19,4.4010073781465918e-25
6.45922806e-08,0.0035521841544968943,0.84210526299999999,0.0,0.0,0.0,0.052631578999807777,0.10526315799967698,6.1383624587124727e-14,1.9220371045043188e-13,1.3081999414670713e-13,5.7169565240098163e-25,2.570310899284098e-18,3.1258662247093223e-18,5.558181390858325e-19,1.1693396177705728e-18,3.6374695504067914e-19,1.5575677732930509e-22,1.3954701385153047e-19,6.2449643545635979e-25
7.214202779999999e-08,0.0035521841544968245,0.84210526299999999,0.0,0.0,0.0,0.052631578999785308,0.10526315799963486,6.4215357320066643e-14,2.1466894111692127e-13,1.5045337382034945e-13,6.5749537228463193e-25,3.26911460788245e-18,4.0687655313730816e-18,8.0000995176696898e-19,1.4583209913029496e-18,4.7338990307375411e-19,2.1007219232524339e-22,1.4199049009633906e-19,8.4845141342458853e-25
7.969177499999999e-08,0.003552184154496754,0.84210526299999999,0.0,0.0,0.0,0.05263157899976284,0.10526315799959264,6.6931951527896486e-14,2.3713413991662491e-13,1.7020185381233673e-13,7.4379809157517476e-25,4.0381061949038194e-18,5.1433535649378783e-18,1.1057212926826544e-18,1.7792113994469668e-18,5.9831376508718076e-19,2.733273921138773e-22,1.4443545839661546e-19,1.1141117499838903e-24
9.47912694e-08,0.003552184154496613,0.84210526299999999,0.0,0.0,0.0,0.052631578999717911,0.10526315799950804,7.2204275723617051e-14,2.820644419489266e-13,2.0985958233361131e-13,9.1710610405075388e-25,5.7677500695959514e-18,7.6901028412476104e-18,1.9231169484637359e-18,2.516717810902776e-18,8.9426274581417424e-19,4.2699756781853728e-22,1.4932587156470742e-19,1.7805475160725609e-24
9.999999999999998e-08,0.0035521841544964078,0.84210526299999999,0.0,0.0,0.0,0.052631578999702402,0.10526315799947887,7.4014925177313788e-14,2.9756359621290382e-13,2.2354801252685079e-13,9.7692583451985354e-25,6.4122709409169025e-18,8.6921799157168294e-18,2.2807946424891356e-18,2.8007355202227502e-18,1.0106587802543405e-18,4.8849064313791993e-22,1.5101340984612522e-19,2.0582423180129568e-24
1.1675341145929321e-07,0.0035521841544964078,0.84210526299999999,0.0,0.0,0.0,0.052631578999652547,0.10526315799938496,7.9810559515683836e-14,3.4741512307874162e-13,2.676037046630999e-13,1.1694533626999321e-24,8.651794810947655e-18,1.2345017507044151e-17,3.6945734420085848e-18,3.8172367265362377e-18,1.4347950347207817e-18,7.1578418414692555e-22,1.5644309716255237e-19,3.1176905159920115e-24
1.6067769557787964e-07,0.0035521841544959975,0.84210526299999999,0.0,0.0,0.0,0.052631578999521832,0.1052631579991386,9.4875802799247067e-14,4.781151402925246e-13,3.8323918189701344e-13,1.674791300442049e-24,1.5868423433312902e-17,2.729332321889193e-17,1.1428658319466747e-17,7.7681540967799497e-18,3.1665626088832571e-18,1.6796972325839614e-21,1.7069989822009563e-19,8.3091199695135064e-24
2.0460197969646606e-07,0.0035521841544955864,0.84210526299999999,0.0,0.0,0.0,0.05263157899939111,0.10526315799889223,1.0993754187689608e-13,6.0881408337677732e-13,4.9887857984378547e-13,2.1801463720742911e-24,2.3756134551850735e-17,4.6755846875259316e-17,2.300712178536083e-17,1.2798835540858231e-17,5.4171772204597783e-18,2.9518327937557639e-21,1.8497453358298137e-19,1.6035043101102935e-23
2.924505479336389e-07,0.003552184154494765,0.84210526299999999,0.0,0.0,0.0,0.052631578999129645,0.10526315799839948,1.4005945283239369e-13,8.7020768489803428e-13,7.3016194034048228e-13,3.1908764630885321e-24,4.089783166213792e-17,1.0374992644112724e-16,6.2873376011086222e-17,2.7178381253993199e-17,1.1982044181139301e-17,6.722043182662436e-21,2.1359476978634019e-19,4.4002024437019811e-23
4.681476844079846e-07,0.0035521841544931218,0.84210526299999999,0.0,0.0,0.0,0.052631578998606605,0.10526315799741388,2.0030473247542869e-13,1.3929778432557739e-12,1.1927428742175349e-12,5.2123987567626756e-24,7.7070821319211747e-17,2.9010980767599421e-16,2.131270609229688e-16,7.3203221918093115e-17,3.3273315625585807e-17,1.9111186038690447e-20,2.7111590839147322e-19,1.6698485807179588e-22
6.438448208823303e-07,0.003552184154491478,0.84210526299999999,0.0,0.0,0.0,0.052631578998083475,0.10526315799642819,2.6055203428622217e-13,1.9157310497702067e-12,1.6553387734961089e-12,7.2339864506558625e-24,1.1392086931850748e-16,5.4893607510673546e-16,4.3522188371499401e-16,1.3648683612828774e-16,6.2634187409506085e-17,3.6294718146698958e-20,3.2891455748536752e-19,3.796361837755223e-22
8.19541957356676e-07,0.0035521841544898353,0.84210526299999999,0.0,0.0,0.0,0.052631578997560248,0.10526315799544239,3.2080139405813851e-13,2.4384673962448855e-12,2.1179501171785529e-12,9.2556416380535176e-24,1.5103655518929236e-16,8.8032243268201302e-16,7.2967571961236779e-16,2.1702225381950475e-16,9.9973770139028956e-17,5.8218904079702247e-20,3.8698759606872681e-19,7.0215990719204584e-22
9.999999999999997e-07,0.0035521841544865485,0.84210526299999999,0.0,0.0,0.0,0.052631578997022761,0.1052631579944298,3.8268502878863974e-13,2.9753548177058573e-12,2.5931097521473313e-12,1.1332134041441934e-23,1.8924988291629357e-16,1.2798807536532447e-15,1.0912751294707017e-15,3.1378229679222352e-16,1.4472657411321889e-16,8.4541012795902711e-20,4.4685440835639234e-19,1.1500429652610172e-21
1.1709362303053675e-06,0.0035521841544865485,0.84210526299999999,0.0,0.0,0.0,0.052631578996513557,0.10526315799347057,4.4130496669603101e-13,3.4839008004418027e-12,3.0432097035557883e-12,1.3299113265019746e-23,2.2553279245906308e-16,1.713676047579362e-15,1.4890904583404828e-15,4.1856041849555594e-16,1.9310060729098555e-16,1.1302920849206872e-19,5.03768117981727e-19,1.6832833780831946e-21
1.5223305032540589e-06,0.0035521841544832607,0.84210526299999999,0.0,0.0,0.0,0.052631578995466506,0.10526315799149838,5.6181617667934652e-13,4.5292729520238216e-12,3.9685275545385002e-12,1.734283951381771e-23,3.0031009444357087e-16,2.8146231055629475e-15,2.5161607637717981e-15,6.8348180191681415e-16,3.1482790650728004e-16,1.8483523612634842e-19,6.2153226620427966e-19,3.2501783869472072e-21
2.225119049151442e-06,0.003552184154476685,0.84210526299999999,0.0,0.0,0.0,0.05263157899337121,0.10526315798755286,8.0286412503355709e-13,6.6198197177435126e-12,5.8193584941395606e-12,2.5431145218328517e-23,4.5049376469417821e-16,5.8988788167799963e-15,5.4536868960449191e-15,1.4211655145013161e-15,6.4864008763631576e-16,3.8214853230533827e-19,8.6016808402692744e-19,8.7583715426806423e-21
2.9279075950488248e-06,0.0035521841544701076,0.84210526299999999,0.0,0.0,0.0,0.052631578991274339,0.10526315798360576,1.043946184063983e-12,8.7101095911404224e-12,7.6704503506131647e-12,3.3520591154223297e-23,6.014799771981948e-16,1.0149855240049088e-14,9.5598418979081136e-15,2.4325355623551295e-15,1.0980986799381414e-15,6.4819781201398557e-19,1.1027809962965138e-18,1.7715282676938138e-20
4.33348468684359e-06,0.0035521841544569497,0.84210526299999999,0.0,0.0,0.0,0.052631578987075801,0.1052631579757068,1.5262165230638783e-12,1.2889941026855895e-11,1.1373446855090125e-11,4.9703035001773813e-23,9.0572415374082505e-16,2.2194716853931884e-14,2.1325109690829138e-14,5.2778548939396647e-15,2.3199404681213458e-15,1.3722595766175099e-18,1.5991105427075245e-18,4.7559286455786987e-20
5.739061778638356e-06,0.0035521841544437866,0.84210526299999999,0.0,0.0,0.0,0.052631578982870859,0.10526315796780145,2.008631813815268e-12,1.7068799655895816e-11,1.5077552769426539e-11,6.5890327075191347e-23,1.2128675283420108e-15,3.898916650745066e-14,3.7857799290510247e-14,9.2176053614068541e-15,3.9477203702241605e-15,2.3376529195976068e-18,2.109395942190483e-18,9.4074207621359811e-20
8.550215962227887e-06,0.0035521841544174436,0.84210526299999999,0.0,0.0,0.0,0.052631578974441519,0.10526315795197119,2.973920948694024e-12,2.5423770485138104e-11,2.2489276085553368e-11,9.8280256753755401e-23,1.8348597424289158e-15,8.7013879403649803e-14,8.5446794404289574e-14,2.0364032288862941e-14,8.2506378644521636e-15,4.8912190786091778e-18,3.1659555257320874e-18,2.3992515612902894e-19
9.999999999999997e-06,0.003552184154393717,0.84210526299999999,0.0,0.0,0.0,0.052631578970084088,0.1052631579437968,3.4719916176972902e-12,2.9731264858411679e-11,2.6313578589686766e-11,1.1499281925735876e-22,2.1593426421801978e-15,1.1936047878491277e-13,1.1762657905654059e-13,2.7808632644987696e-14,1.0962723402156811e-14,6.5013189126299179e-18,3.7277820656410333e-18,3.4292559461029764e-19
1.1080254727458465e-05,0.003552184154393717,0.84210526299999999,0.0,0.0,0.0,0.052631578966832786,0.1052631579377014,3.8432201786455812e-12,3.2940230771298354e-11,2.9163955884536872e-11,1.2744923677347977e-22,2.4027589501741219e-15,1.4681558161756001e-13,1.4498300082891337e-13,3.4106117699421299e-14,1.3201637820998778e-14,7.8307303013566789e-18,4.1538981452656197e-18,4.319640093251782e-19
1.3610293492689045e-05,0.0035521841543699724,0.84210526299999999,0.0,0.0,0.0,0.052631578959202688,0.10526315792340989,4.7130534048888021e-12,4.0454001668873697e-11,3.5842727778809494e-11,1.5663609963585272e-22,2.9773842399806038e-15,2.2249900308507474e-13,2.2056208221811059e-13,5.1341723275820587e-14,1.901154860336111e-14,1.1281150221655816e-17,5.1713174238653349e-18,6.8212182755039213e-19
1.6140332257919624e-05,0.0035521841543462115,0.84210526299999999,0.0,0.0,0.0,0.052631578951551045,0.10526315790909638,5.5834388401963649e-12,4.7965208671480454e-11,4.2525732556489653e-11,1.8584146059817793e-22,3.5580139245807477e-15,3.1419773042481834e-13,3.1235360481170198e-13,7.2051949634830792e-14,2.5557330709408168e-14,1.5169396168757816e-17,6.2139687227560512e-18,9.9057458086319096e-19
1.8670371023150204e-05,0.003552184154322433,0.84210526299999999,0.0,0.0,0.0,0.05263157894387771,0.10526315789476062,6.4543933539223045e-12,5.5473964336597644e-11,4.9213100591904807e-11,2.1506588940851589e-22,4.1440020426936286e-15,4.2203297139672524e-13,4.2051598095807124e-13,9.6217227576859453e-14,3.2728966109687196e-14,1.9430119008101094e-17,7.2780566039476517e-18,1.3574060818136444e-18
2.373044855361136e-05,0.003552184154274824,0.84210526299999999,0.0,0.0,0.0,0.052631578928465469,0.1052631578660216,8.1980607598005085e-12,7.0484444567876194e-11,6.2601321550605139e-11,2.7357367726144819e-22,5.3302071538955947e-15,6.8646823607443166e-13,6.8644055268775656e-13,1.5484342921451406e-13,4.8635893632700717e-14,2.8882543154740159e-17,9.4597132743763789e-18,2.26658833430673e-18
2.82845183310264e-05,0.0035521841542319166,0.84210526299999999,0.0,0.0,0.0,0.052631578914518987,0.10526315784007846,9.769440486763728e-12,8.3986316495909297e-11,7.4666668706510808e-11,3.2630038187429367e-22,6.4114159438614705e-15,9.8055955859506326e-13,9.8303246471989337e-13,2.1923438041971973e-13,6.429373992522085e-14,3.8189121943578817e-17,1.1468960891049881e-17,3.2855901902294138e-18
3.283858810844144e-05,0.003552184154188952,0.84210526299999999,0.0,0.0,0.0,0.052631578900500312,0.10526315781406038,1.1342858855183925e-11,9.7481414360056364e-11,8.6747657501492757e-11,3.7909544192525421e-22,7.5033301016045316e-15,1.3282465939635008e-12,1.3345468429044691e-12,2.9452084153484402e-13,8.0849833924777514e-14,4.8031620892697506e-17,1.3508698661465037e-17,4.4955658008584168e-18
3.7392657885856487e-05,0.003552184154145932,0.84210526299999999,0.0,0.0,0.0,0.052631578886408958,0.10526315778796667,1.2918366848427e-11,1.1096998261574674e-10,9.8844681206837532e-11,4.31960576046851e-22,8.604582582108623e-15,1.7298338872929927e-12,1.7415007596205542e-12,3.8059080491085932e-13,9.8074321363837193e-14,5.8273517320292411e-17,1.5570998442467363e-17,5.8972951564486145e-18
