Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18)
1.31071e-10,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.05263157899999988,0.10526315799999987,1.234594272946471e-16,1.2438569633414054e-16,9.276825255754425e-19,1.3868567456476856e-30,1.9151821343476623e-26,1.8818418349387556e-26,1.9820690524981291e-29,1.6451026815504761e-24,5.3712859224696486e-27,3.5048502480617933e-29,1.4102143584503984e-21,4.3109031012567215e-35,1.1603459732860685e-36,7.1831592426926993e-38,2.5717298170632508e-38,5.0521226349712189e-57,7.6449070736683755e-34,3.3123712722175765e-33,3.8806527990469131e-28,1.3826012968938682e-50,4.3366830147415892e-46,7.5149251679604368e-59,2.0559317332008871e-69,1.1364494085717739e-36
2.62143e-10,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999755,0.10526315799999975,2.4508860891620447e-16,2.4877256194826563e-16,3.6862917621943528e-18,5.5110665522494263e-30,1.5072939781088079e-25,1.4962850603707994e-25,3.1185881900728574e-28,6.5804489352924814e-24,4.2706094696280934e-26,2.7766667434098906e-28,2.3257174224661108e-21,6.7977733538313046e-34,1.7125000653959707e-35,2.1230030505385419e-36,7.5951519165746079e-37,4.9804588759169105e-55,1.2116965690305441e-32,4.9168372114683114e-32,1.6905053148768871e-27,4.0833339690864829e-49,2.5632002789610246e-44,2.2202338440854855e-57,2.7111303218274107e-67,4.5190310630789196e-36
5.24287e-10,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999505,0.1052631579999995,4.8299735359902094e-16,4.9754705530572019e-16,1.4553137897822156e-17,2.1757523219989923e-29,1.1832550761228919e-24,1.1825121797232008e-24,4.896970986464909e-27,2.6321908604948806e-23,3.3749389749750615e-25,2.178717773028758e-27,3.3847214822910278e-21,1.0586184700444593e-32,2.3656780453831508e-34,5.8793497654578307e-35,2.1002296209858429e-35,4.1315681522021512e-53,1.902718809638257e-31,6.8487347472754491e-31,7.846413954899711e-27,1.1291421606773251e-47,1.419223713132642e-42,6.1405956463419173e-56,3.1300414701017543e-65,1.7847072647568248e-35
9.999999999999999e-10,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999054,0.105263157999999,8.9618066444207988e-16,9.4899949825045337e-16,5.2823190909828361e-17,7.8973390979678234e-29,8.4407700812109234e-24,8.4894578616490671e-24,6.9463304914893128e-26,9.7971817063900576e-23,2.4228260408035475e-24,1.5424155452667007e-26,4.1695725511116859e-21,1.4672533944716613e-31,2.6980784620620986e-33,1.3409573505141565e-33,4.7759558483958833e-34,2.467207191602966e-51,2.679743181117638e-30,7.8715569454593916e-30,3.6776266130778566e-26,2.5676974116309646e-46,6.4542238227938314e-41,1.3965116639799582e-54,3.1223988826760549e-63,6.4790981859090756e-35
1.0485750000000002e-09,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999006,0.10526315799999894,9.3837076503676975e-16,9.9509725554537824e-16,5.6730941644111879e-17,8.4815696690110527e-29,9.1818341079921e-24,9.2355692491864096e-24,7.6056165884791831e-26,1.0528798101862455e-22,2.6357590673575658e-24,1.6776645578622012e-26,4.2497136039480889e-21,1.6062649296162138e-31,2.9494230336614004e-33,1.4718789548273757e-33,5.2421827329920433e-34,2.7149146961323413e-51,2.9339428107366991e-30,8.6053883723718413e-30,3.9730290026369658e-26,2.8183550428592156e-46,7.0987722017653346e-41,1.532839155014713e-54,3.4380305935645286e-63,6.9584419057463984e-35
2.0971510000000003e-09,0.0022505015677711016,0.84210526299999999,0.0,0.0,0.0,0.052631578999998013,0.10526315799999779,1.7743244521191892e-15,1.9901987737476854e-15,2.1587979853292486e-16,3.2275275674389125e-28,6.9460877721222292e-23,7.0528290656294098e-23,1.1526994764562536e-24,4.2115282054731375e-22,2.0126841231813763e-23,1.2460774906509835e-25,4.704014121069609e-21,2.3194920748306715e-30,3.2059220772076537e-32,3.2191391296266881e-32,1.1396884257982437e-32,1.3612985464405274e-49,4.3690925096671767e-29,9.3293050531027979e-29,2.2080094042796032e-25,6.127319610726855e-45,3.0959325388897226e-39,3.3326590422306447e-53,4.0768032207390659e-61,2.6482115820345466e-34
3.1457270000000003e-09,0.002250501567771101,0.84210526299999999,0.0,0.0,0.0,0.052631578999997021,0.10526315799999657,2.5418718608913009e-15,2.9853004586845359e-15,4.4343502885232923e-16,6.6296174000289078e-28,1.9247078065674778e-22,1.9643363998510884e-22,4.135995761686484e-24,8.9495028627590601e-22,5.6054657994869159e-23,3.4151053219645888e-25,4.8336255094541329e-21,8.4948843428618601e-30,9.9719010681866615e-32,1.2774328886412658e-31,4.5102577664097268e-32,7.0261353099258739e-49,1.5539296658068529e-28,2.8853191907673229e-28,5.5459733558795821e-25,2.4248559348497736e-44,1.5066999592327127e-38,1.3188957143476189e-52,1.9596629249167116e-60,5.4399006960198044e-34
5.2428790000000005e-09,0.0022505015677711,0.84210526299999999,0.0,0.0,0.0,0.05263157899999503,0.10526315799999389,3.8463966256028508e-15,4.9755033861827627e-15,1.1291158031388007e-15,1.6880971389500022e-27,8.0886145566971098e-22,8.3767769291942452e-22,2.9210694037773313e-23,2.4742748221926863e-21,2.3901600434138054e-22,1.3904915704021191e-24,4.9034754810701164e-21,5.7433828950165797e-29,4.9625983473140709e-31,1.0787869980046485e-30,3.7699909658463334e-31,1.1110058104403788e-47,1.0650034166923101e-27,1.3916360397716536e-27,2.0680933864402674e-24,2.0268665625067294e-43,2.1519233635499567e-37,1.1024422887253278e-51,1.377369432375326e-58,1.3852500434569628e-33
7.340031000000001e-09,0.002250501567771098,0.84210526299999999,0.0,0.0,0.0,0.052631578999993038,0.10526315799999102,4.9566316644416221e-15,6.9657057096194852e-15,2.0090864680591347e-15,3.0037084070005167e-27,1.8915025176899691e-21,1.9787532809639573e-21,8.7847256068369323e-23,4.6853280111183166e-21,5.6456129013949776e-22,3.181806948206606e-24,4.9457233648351653e-21,1.6970761295329938e-28,1.2466635456279083e-30,3.4679215591904439e-30,1.2047128319355482e-30,4.4527127024181844e-47,3.1464292951099981e-27,3.409841173028743e-27,4.6217664868535326e-24,6.4769190606283315e-43,8.5469946137743506e-37,3.5229065563153866e-51,5.8232875616162394e-58,2.4649455117383884e-33
9.437183000000001e-09,0.002250501567771096,0.84210526299999999,0.0,0.0,0.0,0.052631578999991047,0.10526315799998798,5.9031485782304145e-15,8.9559074054987381e-15,3.0527753464899633e-15,4.5640889227065642e-27,3.5165574621855931e-21,3.7127105191445179e-21,1.9686050761689669e-22,7.5281088941451341e-21,1.0592134756187896e-21,5.8014540537447739e-24,4.9839597114711769e-21,3.7300614418221547e-28,2.4302396298921034e-30,8.125288426221332e-30,2.8074759061554735e-30,1.2418516053351673e-46,6.9415362175357644e-27,6.4861178958590176e-27,8.3756147249904635e-24,1.5093884506130937e-42,2.3450140068551936e-36,8.2098429108388547e-51,2.8892649094395504e-57,3.7455788597129337e-33
