Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18),C1OO1(327),CH2O2(169)
2.0971510000000003e-09,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999963,0.10526315799999995,3.496507722404685e-17,3.9759286157980161e-17,4.7942151840649434e-18,4.2040905844593683e-31,6.762037095911436e-26,6.85840903577053e-26,9.8135845005023856e-28,1.9411212330817204e-24,8.6733496645580101e-26,3.8812168750993653e-29,2.4355134985614688e-24,1.3632697644230193e-33,1.8924637294177007e-36,2.2609031098338017e-36,9.136043568693372e-37,3.2825135743612474e-55,6.9198159302345638e-33,3.2275547514597322e-33,5.6430146696563907e-29,3.1747973951161131e-50,1.5020824967923737e-44,4.2692417271236584e-59,4.7571807508285876e-68,3.8359998926675324e-38,1.2937238009861266e-33,1.1281698433056052e-35
4.194303e-09,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999921,0.10526315799999991,6.217744459132411e-17,7.9518584346516752e-17,1.7341157298701725e-17,1.5206657599265088e-30,4.8545560764970612e-25,4.9952625343827396e-25,1.4140784352601611e-26,7.76448670850327e-24,6.3171001374833148e-25,2.8081213886074712e-28,2.5001334099314835e-24,1.7664095316779091e-32,1.6895295680613851e-35,4.070868621491596e-35,1.6429900255637798e-35,1.4019811507225433e-53,1.0046068162184389e-31,2.8872356800848992e-32,3.521245668155468e-28,5.7094362966463101e-49,5.4245449962124993e-43,7.6778503476155161e-58,6.4485914155399084e-66,1.3875558777807248e-37,9.4227940090112509e-33,8.2169875450619373e-35
8.388607e-09,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999845,0.10526315799999977,1.0097924914767769e-16,1.5903716916342537e-16,5.805798147515909e-17,5.0911769708370363e-30,3.197897959892273e-24,3.385139787592699e-24,1.8751400564820757e-25,3.1057947514367716e-23,4.2808502795343465e-24,1.8780715510718529e-27,2.5427538306526507e-24,1.9492110585487882e-31,1.2888798726616039e-34,6.2731663589963933e-34,2.5256544391490278e-34,4.2097789552362529e-52,1.3516633032560509e-30,2.1856993824068622e-31,2.1754235390021276e-27,8.7767243548146048e-48,1.675820588859233e-41,1.1802789756535547e-56,6.7146556596707005e-64,4.6456500256423456e-37,6.3855009661115281e-32,5.5683677943933973e-34
9.999999999999999e-09,0.0016784093191612721,0.84210526299999999,0.0,0.0,0.0,0.052631578999999817,0.10526315799999972,1.0925538696283884e-16,1.8958708958384261e-16,8.0331796951197751e-17,7.0443975971691702e-30,6.1356887252352852e-24,6.7079447184775561e-24,5.7266472747368494e-25,4.8955987567794342e-23,8.4827465966084954e-24,3.6653921103883565e-27,2.5567641567733914e-24,4.8608765623095442e-31,2.6552837853537682e-34,2.096466153376501e-33,8.4093549074231861e-34,2.0299908021794798e-51,4.2138435136560876e-30,4.4390567251308097e-31,4.1606867997048874e-27,2.9222764282975734e-47,9.8539697572271776e-41,3.929847393947911e-56,1.0512024269535205e-62,6.4280217782361631e-37,1.2653132315971471e-31,1.1033949438132462e-33
1.6777215e-08,0.0016784093191612721,0.84210526299999999,0.0,0.0,0.0,0.052631578999999686,0.1052631579999995,1.4406326148071092e-16,3.1807429222283774e-16,1.7401126332063187e-16,1.5259275114377921e-29,1.8491482527085096e-23,2.0683035475150108e-23,2.1925360122666917e-24,1.2423176791478849e-22,2.6155129900073091e-23,1.1182525239555615e-26,2.6156889456612518e-24,1.7106792441967701e-30,8.4021208965712289e-34,8.2754318973551402e-33,3.3155089231138558e-33,8.7971955785324091e-51,1.625163358387875e-29,1.3916252656519927e-30,1.2510329592855704e-26,1.1521495147240298e-46,4.4249722510342548e-40,1.5494013508602015e-55,5.1899557946423821e-62,1.3924341159824099e-36,3.9013607506530883e-31,3.402115485585062e-33
3.3554431e-08,0.0016784093191612715,0.84210526299999999,0.0,0.0,0.0,0.052631578999999366,0.10526315799999889,1.7754272248693383e-16,6.3614835199950019e-16,4.5860653594614005e-16,4.0215819171339186e-29,9.0129170815868148e-23,1.1186403371975498e-22,2.1737855935577638e-23,4.9692683879320482e-22,1.4145320335327378e-22,5.7577262414900249e-26,2.7607335641040775e-24,1.1555053120031882e-29,4.7082160333049812e-33,9.3989454206356012e-32,3.7289212518179825e-32,1.3025299588454912e-49,1.6968737185202453e-28,7.4167439155584652e-30,6.4105343823093528e-26,1.2958117305077786e-45,1.0018990695494701e-38,1.7426028507408034e-54,2.8924101995813661e-60,3.6698551145562652e-36,2.1098257180024241e-30,1.8398377469422657e-32
6.7108863e-08,0.0016784093191612704,0.84210526299999999,0.0,0.0,0.0,0.052631578999998728,0.10526315799999764,1.9481074378712522e-16,1.2722957262096257e-15,1.0774885989108e-15,9.4486427097216595e-29,3.6173195810026582e-22,5.4035281836054017e-22,1.7862750184167267e-22,1.9877053802734079e-21,6.8322332832649143e-22,2.5454848112113933e-25,3.0510398740646846e-24,6.2291879964740192e-29,2.3248158011960385e-32,9.4046426351329105e-31,3.6593214863329266e-31,1.4718147009735432e-48,1.5263629938107944e-27,3.3356953552791699e-29,2.8821159910805647e-25,1.2716256750734383e-44,1.9797399507488407e-37,1.7100802989735577e-53,1.1654963845919092e-58,8.6224719390452221e-36,1.0189021070118769e-29,8.8851630932748395e-32
9.999999999999998e-08,0.0016784093191612682,0.84210526299999999,0.0,0.0,0.0,0.052631578999998103,0.1052631579999964,1.9871827657513885e-16,1.8958664488498637e-15,1.6971572273803151e-15,1.4882601085593873e-28,7.6827934439478071e-22,1.4533360225061503e-21,6.8506959910704324e-22,4.9103169582748295e-21,1.8373817795101742e-21,6.1016253389627521e-25,3.3359967890946426e-24,1.7471323112915337e-28,6.3503968952675815e-32,4.7016668095603344e-30,1.7681565044212332e-30,7.7273814612932904e-48,6.6468765966225071e-27,8.0485128266294213e-29,7.050501612261668e-25,6.1443993889338581e-44,1.8226723675894386e-36,8.2629849720344317e-53,1.7854268278626306e-57,1.3581606935141523e-35,2.7394206163857527e-29,2.3888653097587086e-31
1.34217727e-07,0.0016784093191612682,0.84210526299999999,0.0,0.0,0.0,0.052631578999997458,0.10526315799999511,2.0278341090551484e-16,2.5445874934430137e-15,2.3418187956147704e-15,2.0535725945186263e-28,1.1912239047117217e-21,2.4031423498167505e-21,1.2119378987810229e-21,7.9508054978802553e-21,3.0380906147610241e-21,9.8011947929537204e-25,3.6324468000887079e-24,2.9166884452479325e-28,1.0538340744496678e-31,8.6145689969290123e-30,3.2269364243462482e-30,1.4235252430755243e-47,1.197391459353936e-26,1.2951411186010959e-28,1.138700968786576e-24,1.1213705465937283e-43,3.5128992930997182e-36,1.5080186309884853e-52,3.521614423430831e-57,1.8740757482371604e-35,4.5293323683632631e-29,3.9497275110708312e-31
2.68435455e-07,0.001678409319161264,0.84210526299999999,0.0,0.0,0.0,0.052631578999994912,0.10526315799999002,2.1112038975012535e-16,5.0891591042553408e-15,4.8780990488454038e-15,4.2776712049799399e-28,3.2738177591379024e-21,1.01651249089884e-20,6.8915921011893193e-21,3.1803093363028544e-20,1.2847775112014734e-20,3.3920272281695488e-24,4.7975613818468687e-24,1.2848954802139613e-27,4.5669898783539438e-31,7.5128946341294056e-29,2.6181628597437589e-29,1.3016372522372362e-46,8.4288320964084219e-26,4.5001774146724046e-28,3.9431559721210546e-24,9.0981983390548555e-43,5.7303946208312413e-35,1.2235258147558026e-51,8.4477709975319518e-56,3.9040271390850431e-35,1.9141917736354317e-28,1.6692384877272344e-30
