Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532)
2.6125271317735233e-20,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999971641818,9.5,3.0967981785453301e-13,4.0973441486773414e-12,4.0973441487156397e-12,3.2353835048518068e-22,3.2329023000562344e-22,2.7507737716082849e-10,4.8546350411827526e-18,1.4661541453644495e-22,1.596549175582493e-32,7.1598409887273209e-37,2.2470245518340505e-34,1.5649501663826582e-17,1.0667753066082822e-23,1.4236347655040744e-32,1.8356402281616142e-36,7.4224922178817824e-47,0.0,2.7693359578479714e-30,1.1144176012896244e-22,1.3501712824503151e-31,1.350171282495563e-31,3.8650587014063573e-42,6.5973157611531072e-43,5.4683366720499487e-32,3.3725772350811286e-24,2.0688180672149417e-34,1.7656453869433562e-35,2.0705324340822142e-74
5.2250564782156143e-20,0.2897755294893791,76.950000000000003,0.0,0.0,0.0,0.99999999943283613,9.5,6.1935989811078475e-13,8.1946917666753734e-12,8.1946917668275746e-12,1.294154215421917e-21,1.2921706699991552e-21,5.5015494591485381e-10,1.9418551252279554e-17,5.8646199416553999e-22,1.2637258508428645e-31,5.7278813000092416e-36,1.7976214135923218e-33,6.2598042397584806e-17,4.2671039367136846e-23,1.1092887264297526e-31,1.4685013625220636e-35,1.1876000091631493e-45,0.0,2.2154702748644308e-29,4.4576732331202775e-22,1.080137825721607e-30,1.0801378257940038e-30,6.1840972087201554e-41,1.0555712658046151e-41,4.374671972637031e-31,1.3490317634188527e-23,1.6550552443824597e-33,1.4125172386721522e-34,2.6503545920301165e-72
1.0450115171099796e-19,0.289775529489379,76.950000000000003,0.0,0.0,0.0,0.99999999886567215,9.5,1.238720058271274e-12,1.63893869905456e-11,1.6389386991146491e-11,5.1766184327462476e-21,5.1607727345480281e-21,1.1003099586439362e-09,7.7674219633605398e-17,2.3458484276778882e-21,9.9000936480642693e-31,4.5823135561064317e-35,1.4380978328627331e-32,2.5039221673596391e-16,1.7068421151394644e-22,8.4345258841629751e-31,1.1747824713382382e-34,1.9001610082003913e-44,0.0,1.7723766616481928e-28,1.7830698551501642e-21,8.6411057876928513e-30,8.6411057888511982e-30,9.8945542554287079e-40,1.6889143928097586e-40,3.4997379002269057e-30,5.3961288626205137e-23,1.3240439873251295e-32,1.1300140202501039e-33,3.3924570842133703e-70
1.567517386398398e-19,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999829850816,9.5,1.8580802180797487e-12,2.458408220229515e-11,2.4584082203560452e-11,1.100031508861907e-20,1.0955043470550322e-20,1.6504648465940782e-09,1.6505771736727551e-16,4.9849279420759739e-21,2.7971593854486977e-30,1.3102567083012576e-34,4.2693534760145055e-32,5.3208346264862576e-16,3.6270398305014376e-22,2.3435101230057991e-30,3.3591126510590442e-34,7.1886959085466457e-44,0.0,5.0678896455334398e-28,3.7890237894391233e-21,2.470816417854956e-29,2.4708164182813044e-29,3.6418524270504145e-39,6.216326524249249e-40,1.0007062408753154e-29,1.1466775063864025e-22,3.7859374928941673e-32,3.2311338390913423e-33,1.7503823249011596e-69
2.090023255686816e-19,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999773134418,9.5,2.4774403775362091e-12,3.2778777401929186e-11,3.2778777404069445e-11,1.8765244134149716e-20,1.8669824221490116e-20,2.2006196097653077e-09,2.8156903784650344e-16,8.5037003440132275e-21,5.8368109190175532e-30,2.7637140460281158e-34,9.3026969601423531e-32,9.0767175883899563e-16,6.1873035382045555e-22,4.8182420641641846e-30,7.0852819304079991e-34,1.8712135651231583e-43,0.0,1.0689646897893403e-27,6.463629123157719e-21,5.2116676846991678e-29,5.2116676857804792e-29,9.2365245926857472e-39,1.5765949506739367e-39,2.1107790886157189e-29,1.9560970449812232e-22,7.9856368828462343e-32,6.8153968335991028e-33,9.5489433575255468e-69
3.1350349942636526e-19,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999659701622,9.5,3.7161606956229736e-12,4.9168167772778842e-11,4.9168167777147234e-11,3.8851055641158185e-20,3.8590756902659817e-20,3.3009288432593876e-09,5.8295287495818131e-16,1.760582989650139e-20,1.5661460668826622e-29,7.5485790518852576e-34,2.7002859097718834e-31,1.8792189133596939e-15,1.2810026644611523e-21,1.2623697217404436e-29,1.9351831029646481e-33,6.8670898537579475e-43,0.0,2.9196739465072597e-27,1.338212367852273e-20,1.4234681533828175e-28,1.4234681537609576e-28,3.2300562942347877e-38,5.5134284425512506e-39,5.7651912452669581e-29,4.0498507593292392e-22,2.1811242270889371e-31,1.8614960854607113e-32,1.3261807574978476e-67
4.180046732840489e-19,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999546268825,9.5,4.9548810124152554e-12,6.5557558099118109e-11,6.5557558106446244e-11,6.6075470592979193e-20,6.5531436455687125e-20,4.4012376178971391e-09,9.9145005006247538e-16,2.9942902339177932e-20,3.2259507762053087e-29,1.5794187853301903e-33,5.9052205141417589e-31,3.1960588338743644e-15,2.1786500674959926e-21,2.5468571868819536e-29,4.0489999326582637e-33,1.780687783719745e-42,0.0,6.1089341329762153e-27,2.2759487885015901e-20,2.9783716080776399e-28,2.9783716090225093e-28,8.0710288430789402e-38,1.3776555353956996e-38,1.2062706303678355e-28,6.8877357627024112e-22,4.5636397682547196e-31,3.8948721094694412e-32,6.0962657520485584e-67
6.270070209994161e-19,0.289775529489379,76.950000000000003,0.0,0.0,0.0,0.99999999319403221,9.5,7.4323216417491914e-12,9.8336338605850732e-11,9.8336338621290071e-11,1.4396497694645537e-19,1.4225247443495537e-19,6.6018536604500165e-09,2.1601668881516941e-15,6.5239460927553239e-20,9.7554530382422405e-29,4.987346263325598e-33,1.9643558271569982e-30,6.9635585425682678e-15,4.746834397092651e-21,7.3094983363271828e-29,1.2785035863243154e-32,8.8006431759724972e-42,0.0,1.9290125854308369e-26,4.9588284629363408e-20,9.4047794640437883e-28,9.4047794684193569e-28,3.7375924754185381e-37,6.3797550913683272e-38,3.8090284966143687e-28,1.5006973161384595e-21,1.4410551141970455e-30,1.2298801223082718e-31,1.1442153542003007e-65
8.3600936871478335e-19,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999092537639,9.5,9.9097622654799368e-12,1.3111511892040844e-10,1.3111511894663671e-10,2.5275405020670332e-19,2.4886944872209399e-19,8.8024677168378654e-09,3.7925250720348985e-15,1.1453850854483865e-19,2.1389046044970299e-28,1.1343958590201509e-32,4.5698592917882677e-30,1.2225662058136271e-14,8.3338439736210157e-21,1.5358974437136203e-28,2.9079134733543985e-32,2.6236035058451394e-41,0.0,4.387609099977435e-26,8.7060341976876329e-20,2.1391516910985272e-27,2.1391516923673254e-27,1.0838023387541918e-36,1.849960214207757e-37,8.6637708883975691e-28,2.6347196844542589e-21,3.2777296296667141e-30,2.7974067391745241e-31,6.6564241347711402e-65
1.2540140641455178e-18,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999998638806464,9.5,1.4864643496054419e-11,1.9667267897197515e-10,1.9667267902621938e-10,5.6345793432088877e-19,5.505724966730041e-19,1.3203689843677579e-08,8.4545711467149815e-15,2.5533753135416236e-19,6.5713959662191825e-28,3.787555882279126e-32,1.5560316766332646e-29,2.725432995873421e-14,1.8578419669236767e-20,4.3417659279228808e-28,9.7081951672356091e-32,1.3718717951196058e-40,0.0,1.4649312198275429e-25,1.9408133453610636e-19,7.1421855267020212e-27,7.1421855331493092e-27,5.5072438695143071e-36,9.4004204470074327e-37,2.8926504050759887e-27,5.8735121985638634e-21,1.0943635764999027e-29,9.3399562577956585e-31,1.3149443400228507e-63
