Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448)
1.5581376663832083e-18,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999949962,9.5,2.1690467150157049e-14,2.3173425180565333e-13,2.317342525831043e-13,1.1355447432238537e-21,1.1300455596150428e-21,1.522352928363283e-14,1.0601971362913038e-20,7.8308314529338408e-22,1.8577974098380541e-31,4.6033516873624827e-36,2.1894089035195443e-36,1.1692752629862137e-20,1.4529519519838701e-24,2.5246748228013115e-31,2.1914932178929163e-36,5.0691710018732846e-50,1.1625220097908387e-49,1.450208985596535e-34,1.343819270588243e-25,3.1639936562036927e-34,3.1639936658189587e-34,8.5562444044284643e-43,1.0590215744742867e-43,9.2975603681672616e-42,1.3746980747483286e-27,7.9652781086960812e-36,4.9293836438461523e-37,5.7964276757243756e-78,5.4326619836063035e-45,2.4880279814312266e-41,5.5391326362260384e-78,1.1970792250025783e-22,1.0307736648589158e-53,1.0304632104597467e-53,1.0108163024446157e-31,3.0913882517360417e-32,1.6929616464894973e-25,1.0108015891177972e-31,1.76397210289939e-40,5.5391326362243902e-78,2.4442995408823334e-49,1.1625247283043422e-49,2.7185135025044702e-55,7.0861783812825408e-65,1.704987972468677e-41
3.1176290579326922e-18,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.9999999999989988,9.5,4.3399779189187164e-14,4.6366983277613055e-13,4.6366983586614127e-13,4.5451382429293726e-21,4.5013095690621763e-21,3.0460239053471048e-14,4.2435460218992518e-20,3.1343717516450651e-21,1.4768676716296404e-30,3.6854805324648858e-35,1.7535412488154905e-35,4.6801422310077468e-20,5.8155942690363069e-24,1.9783006850168881e-30,1.7542877436130917e-35,8.1205518930516518e-49,1.8615455895817807e-48,1.1610475787309903e-33,5.3787791409949518e-25,2.533118745278959e-33,2.5331187606758586e-33,1.3701086640641603e-41,1.6958131222812459e-42,7.4436814506731854e-41,5.5023747943250595e-27,6.3770404124657176e-35,3.9465012357010703e-36,7.4344942846459441e-76,8.6993310725107514e-44,1.9919351758034484e-40,7.1044878380851336e-76,4.7914303946655669e-22,3.3008849074398073e-52,3.2988973306631291e-52,8.0926564459543818e-31,2.4749841161737818e-31,6.7762404893201239e-25,8.0925386503621965e-31,2.8246468378615078e-39,7.1044878380809094e-76,3.9140638563753671e-48,1.8615542961252185e-48,8.7065434329134787e-54,4.5390215689388394e-63,1.3650268458761971e-40
6.23661184103166e-18,0.19299079326874174,76.950000000000003,0.0,0.0,0.0,0.99999999999799716,9.5,8.6818403267098047e-14,9.2754098341653513e-13,9.2754099560833099e-13,1.8186472928662205e-20,1.7838842125333674e-20,6.093352094159086e-14,1.6979667734211761e-19,1.2541556887744554e-20,1.1654767790931989e-29,2.9495047551326436e-34,1.4039252604742589e-34,1.8726616754305742e-19,2.3269951913234846e-23,1.5185409720863132e-29,1.4035804007728648e-34,1.3003355697919951e-47,2.9796715639504604e-47,9.291886899733321e-33,2.1522122464581898e-24,2.0272648254605518e-32,2.0272648501054471e-32,2.1930493748326838e-40,2.7144015446435952e-41,5.9571751814682734e-40,2.2016665784680422e-26,5.1035299410054028e-34,3.1583956803243295e-35,9.5258071917863858e-74,1.3924574831620401e-42,1.5941534715549836e-39,9.1029703908372575e-74,1.9171913219122368e-21,1.0564929791953191e-50,1.0552217039400424e-50,6.4765523970452662e-30,1.9807295968469906e-30,2.7113643716808264e-24,6.4764581255484366e-30,4.5212526700160738e-38,9.1029703908264323e-74,6.265050879873307e-47,2.9796994364814202e-47,2.7872530930582018e-52,2.9062022652307963e-61,1.0924359557467674e-39
1.2474577407229595e-17,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999599387,9.5,1.7365565142232253e-13,1.8552832403641399e-12,1.8552832877971752e-12,7.275773115779993e-20,7.0024996833987034e-20,1.2187953411657835e-13,6.792937675353719e-19,5.0174291517355436e-20,9.07246433278699e-29,2.360052315352453e-33,1.1240347826344936e-33,7.491827429928515e-19,9.3094957573408341e-23,1.1229387746932587e-28,1.1224652083781816e-33,2.0821952672483529e-46,4.7684007352926292e-46,7.4348854505613494e-32,8.6102501953060812e-24,1.6221198131454075e-31,1.622119852584715e-31,3.5095393321704538e-39,4.3439139012770982e-40,4.7665936138573152e-39,8.8080995026243639e-26,4.0835345454401496e-33,2.5271888457270418e-34,1.2199215366062899e-71,2.2283788228943769e-41,1.2755648912085903e-38,1.165770984436909e-71,7.6699740921879874e-21,3.3799885365166709e-49,3.3718674610895096e-49,5.1821742699849249e-29,1.5848687858563755e-29,1.084710724166355e-23,5.1820988397083814e-29,7.2354064502256845e-37,1.1657709844341362e-71,1.0026120137409307e-45,4.7684899453379976e-46,8.9210045182719004e-51,1.8603501308928832e-59,8.7411413527367193e-39
2.4950508539625466e-17,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.9999999999919873,9.5,3.4733014773038218e-13,3.7107675834351579e-12,3.7107677629927366e-12,2.9105458796781356e-19,2.6993357745842761e-19,2.4376935810133796e-13,2.7173681584677126e-18,2.0071267984789634e-19,6.8840118474886663e-28,1.8882217301959983e-32,9.0031648201879041e-33,2.9969439261437986e-18,3.7241011752198906e-22,7.7945931700830426e-28,8.9707909899088064e-33,3.3354596393926046e-45,7.6300769663422532e-45,5.9484157876588816e-31,3.444380203769279e-23,1.2978189732210722e-30,1.2978190363286267e-30,5.6156624580441606e-38,6.9509299394358324e-39,3.8135543460142132e-38,3.5235261946530275e-25,3.267034126947987e-32,2.0219309359134123e-33,2.7343026530014835e-69,3.5657480547224715e-40,1.0205486579599253e-37,2.6129309142121454e-69,3.0682076548690041e-20,1.0807512856781012e-47,1.0755746695153138e-47,4.1460503941153828e-28,1.2679900813988288e-28,4.3391033958643763e-23,4.1459900461550129e-28,1.1577604622488919e-35,2.6129309141997367e-69,1.6043421037313788e-44,7.6303624633282416e-45,2.854969847954638e-49,1.1907298736766043e-57,6.9935673422616483e-38
4.9902370804417205e-17,0.19299079326874174,76.950000000000003,0.0,0.0,0.0,0.99999999998397426,9.5,6.9467914033694458e-13,7.4217356321065281e-12,7.4217362766554777e-12,1.1642655426526092e-18,1.0060740326679255e-18,4.8754019692833172e-13,1.0869690481901239e-17,8.02876830314044e-19,4.9899627590853367e-27,1.5106500663442228e-31,7.2185365222612635e-32,1.1988015965849971e-17,1.4897009359599125e-21,4.9194484567102784e-27,7.1613687288760355e-32,5.34824836378664e-44,1.2208294902926577e-43,4.7588668066341269e-30,1.3778079996658514e-22,1.0383043157852009e-29,1.0383044167568025e-29,8.9849674321041368e-37,1.1121927587372926e-37,3.0508561180395444e-37,1.409467554004741e-24,2.6135854822418941e-31,1.6176021733582649e-32,3.5119652339162592e-67,5.7054206052566958e-39,8.1647745261507832e-37,3.3560741790700008e-67,1.2273076594090291e-19,3.4524656531818223e-46,3.4196050300410528e-46,3.3168655121964917e-27,1.0143996847202503e-27,1.7356378820587827e-22,3.3168172347212529e-27,1.8524394644038054e-34,3.3560741790380731e-67,2.5670769323142834e-43,1.2209208508217445e-43,9.1360528324668484e-48,7.6208043782799368e-56,5.5951039477002566e-37
9.980609533400069e-17,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999996794808,9.5,1.3893771255118413e-12,1.4843669467678162e-11,1.4843671557068364e-11,4.6571554567836785e-18,3.5355709042388761e-18,9.7504664055871847e-13,4.3477850975289665e-17,3.2115202585207065e-18,3.3563047194601707e-26,1.2085502910613864e-30,5.799734578621248e-31,4.7951059187993813e-17,5.9589238859678095e-21,2.7560260542433198e-26,5.7044192927519191e-31,8.5929514732191561e-43,1.9532331293293835e-42,3.8070370352007316e-29,5.5113429652374484e-22,8.3066292484018143e-29,8.3066308638086776e-29,1.4374555297875543e-35,1.7795133484772913e-36,2.4405313324347247e-36,5.6379828226665572e-24,2.0906526567195203e-30,1.2940814918168189e-31,4.4956451984886898e-65,9.12869257089217e-38,6.5319710429177866e-36,4.2960900154423909e-65,4.9091277812698682e-19,1.1009214358621754e-44,1.0802305985705797e-44,2.6533437818655399e-26,8.1147415457137422e-27,6.9420999955665087e-22,2.6533051640642439e-26,2.9637497415890462e-33,4.2960900153606467e-65,4.1074244136906986e-42,1.9535254695344703e-42,2.9234020020961589e-46,4.8770945906177598e-54,4.4761646243363191e-36
1.9961354439316767e-16,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999993589583,9.5,2.7787730957087223e-12,2.968752958369972e-11,2.9687535130251396e-11,1.8628799656004871e-17,1.1331740204425825e-17,1.9499186120941631e-12,1.7389881015251198e-16,1.2845793198417267e-17,2.0306451921305129e-25,9.6685419264413351e-30,4.6789249504089089e-30,1.9179034729868419e-16,2.3835930488682381e-20,1.3714397109827115e-25,4.5243840977419499e-30,1.3861050166898793e-41,3.1247529058536931e-41,3.0454309545969444e-28,2.2045586822196898e-21,6.6453783578376513e-28,6.6453809419461682e-28,2.2993956646881685e-34,2.8471285400443726e-35,1.9521099054894373e-35,2.2552145066453855e-23,1.6721176303183779e-29,1.0352279894690074e-30,5.7545579522423393e-63,1.4605414435322886e-36,5.2256333043762853e-35,5.4991214594720622e-63,1.9635089153672853e-18,3.4983147781926326e-43,3.3700792366873249e-43,2.1223616927685787e-25,6.4908327575721595e-26,2.7763941002789621e-21,2.1223308063124172e-25,4.7413279080877416e-32,5.4991214592627927e-63,6.5719528930817621e-41,3.1256882713377886e-41,9.3536545288665768e-45,3.120933731508307e-52,3.5809347183623258e-35
2.9942099345233464e-16,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999990384358,9.5,4.1681690657526909e-12,4.4531383110384749e-11,4.4531391715799297e-11,3.9586300593109602e-17,2.0899573979162655e-17,2.9246496882704063e-12,3.6951498368673518e-16,2.7296778130087662e-17,5.0239371761340851e-25,2.7646120219822495e-29,1.3945552636797397e-29,4.0753244367359857e-16,5.06514938257204e-20,3.129015423383093e-25,1.2873168492010265e-29,5.261282454793643e-41,1.1500387032748711e-40,8.7076700021099747e-28,4.6846998503163174e-21,1.9001680241849403e-27,1.9001689752093698e-27,8.4623317887154065e-34,1.0479125079188075e-34,5.5812756183964671e-35,4.7923429753056337e-23,4.7805291762877844e-29,2.9600328144487583e-30,2.9691412861140383e-62,5.375657486487208e-36,1.4942082414587801e-34,2.837345405853246e-62,4.1722307601179023e-18,1.5926595255171459e-42,1.5229826191503436e-42,6.0680904830640054e-25,1.8558077498938713e-25,5.89915881537357e-21,6.0680021802217539e-25,1.744998934734739e-31,2.8373454057247657e-62,2.4189203138265419e-40,1.1504657337937066e-40,4.2703050168923066e-44,1.7146544914315407e-51,1.0239201736126729e-34
4.990358915706686e-16,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999983973897,9.5,6.9469610052289773e-12,7.4219067504431424e-11,7.4219076936415538e-11,1.0944466844272212e-16,4.3426066761295004e-17,4.8735484220680251e-12,1.0214528193044544e-15,7.5463405887145407e-17,1.6718023056165606e-24,1.2705245745208693e-28,6.6162394294020688e-29,1.1265447462934567e-15,1.400368201447001e-19,9.314566931570354e-25,5.8293523445445902e-29,4.2031564262067183e-40,8.8463042023001899e-40,4.0012001835859981e-27,1.2951844434407567e-20,8.732487940132428e-27,8.7324952546282989e-27,6.5082827586845585e-33,8.0621311098221967e-34,2.5641845624106369e-34,1.3249441844041496e-22,2.1959945304859348e-28,1.3602131534090326e-29,2.0015345182816365e-60,4.1357623893062222e-35,6.8668390051838233e-34,1.9126893036138159e-60,1.1533326282817802e-17,2.0487253491428786e-41,1.9014676476803626e-41,2.7879069010334304e-24,8.5262673455657281e-25,1.6304523309514992e-20,2.7878663387694043e-24,1.3422663754159737e-30,1.9126893034675247e-60,1.8611405357325093e-39,8.8518618238183251e-40,5.5576211359148897e-43,3.8222132455717682e-50,4.7054836367122364e-34
6.754339862921645e-16,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999978309029,9.5,9.4025572972727992e-12,1.0045382128319362e-10,1.0045382603894631e-10,1.929160173709473e-16,6.4681334516473604e-17,6.5953365095105887e-12,1.8003259683935094e-15,1.330130334698812e-16,3.1632181836957401e-24,2.8140421650658395e-28,1.5114271118877133e-28,1.9855520715016745e-15,2.4684032735131402e-19,1.6860743885770814e-24,1.2809970982278892e-28,1.158315904791717e-39,2.3807492276384741e-39,8.8614563922668996e-27,2.2829972999745089e-20,1.93412099427196e-26,1.9341229626624553e-26,1.7514032476245386e-32,2.1698724757162091e-33,5.6783917977494274e-34,2.3354537431643727e-22,4.8626721992881762e-28,3.0125455755607677e-29,1.1042281229366291e-59,1.1131138163332873e-34,1.520906173443083e-33,1.0552130382238063e-59,2.032766116866699e-17,6.4688836215462616e-41,5.9422077589602209e-41,6.1739044295729872e-24,1.8881671793017647e-24,2.8734060299555924e-20,6.1738146119114512e-24,3.6123322114490611e-30,1.0552130381364796e-59,5.0093089974584123e-39,2.382511183129152e-39,1.7619553519741553e-42,1.3870420758448348e-49,1.0421872093992552e-33
8.518320810136605e-16,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.9999999997264416,9.5,1.1858153588807554e-11,1.266885583432005e-10,1.266885518786762e-10,2.9964424660849665e-16,8.6621830897534069e-17,8.3166559258881911e-12,2.7960629709863031e-15,2.0659299154820811e-16,5.1509576192828767e-24,5.2853712848819026e-28,2.9083193391170815e-28,3.0837352354862795e-15,3.8340164850524359e-19,2.663260117469567e-24,2.3857737888394811e-28,2.6480438320537333e-39,5.3261050895575076e-39,1.6642361857915598e-26,3.5460361335903275e-20,3.6326769447269095e-26,3.6326813480283732e-26,3.9178246244460692e-32,4.8547683933179173e-33,1.0663342635012144e-33,3.6275126967113523e-22,9.1307848471611184e-28,5.6579129728310259e-29,3.3688212230862843e-59,2.4904249801463397e-34,2.8565737417686398e-33,3.2192841379594474e-59,3.1570627588025715e-17,1.6937791715256883e-40,1.5357573587338416e-40,1.1594016599850627e-23,3.5458006189370134e-24,4.4621870512414299e-20,1.1593847948311306e-23,8.0812894040255431e-30,3.2192841376415298e-59,1.1208017833857358e-38,5.3307427192666044e-39,4.6376292839942601e-42,4.2510271581536917e-49,1.9574215966907333e-33
1.0282301757351566e-15,0.19299079326874174,76.950000000000003,0.0,0.0,0.0,0.99999999966979292,9.5,1.43137498798666e-11,1.5292328007028198e-10,1.529232559803506e-10,4.2810499878605975e-16,1.0891406701341908e-16,1.003753749788882e-11,3.9943996771227881e-15,2.9515114857048066e-16,7.6043493911052789e-24,8.7933319461769089e-28,4.9477176857630821e-28,4.4053625246587969e-15,5.4777036296714476e-19,3.8484131398341945e-24,3.9384593949928328e-28,5.1580600042734932e-39,1.0178482598621366e-38,2.7686001081418434e-26,5.0662615890068133e-20,6.0436999397916833e-26,6.0437083542360129e-26,7.4865974053781743e-32,9.278469234663108e-33,1.7737803980907682e-33,5.182667121099774e-22,1.5187359395988677e-27,9.4126818967176196e-29,1.0285674897183531e-58,4.759714557041279e-34,4.7524928510877824e-33,9.8291087180949431e-59,4.5101167592689962e-17,3.659789976964804e-40,3.2808451389382614e-40,1.9286169127780818e-23,5.8982914337915671e-24,6.3739629523616605e-20,1.9285888610105395e-23,1.544368912152033e-29,9.8291087170712888e-59,2.1421592558885008e-38,1.0188549683679539e-38,1.0067084019929743e-41,1.0382426103751126e-48,3.2565392947239707e-33
