Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109)
4.855072996245961e-16,0.19920122442977944,76.950000000000003,0.0,0.0,0.0,0.99999989094988639,9.4999999999999698,7.6378365316546547e-10,1.2835828173831325e-08,1.2835834591258953e-08,2.4872823936477078e-15,1.8362359830230435e-14,8.1367784937556114e-08,1.7690512402829311e-11,1.1882837198249766e-09,9.4576499235053683e-15,4.0875930985581036e-11,1.1471074138637487e-22,1.8571980350825273e-15,1.0891561411634098e-24,1.8617287963773474e-25
6.269601095301714e-16,0.19920122442977936,76.950000000000003,0.0,0.0,0.0,0.99999985917862044,9.499999999999952,9.8631241041129081e-10,1.6575546102566452e-08,1.6575557684790622e-08,3.2686310679527583e-15,3.062054925898322e-14,1.0505198580032545e-07,2.9496340512791785e-11,1.5342740298756287e-09,1.5769694209625422e-14,6.8154632979312547e-11,1.9210250754173363e-22,3.0967806156156169e-15,2.3094996426674599e-24,3.9478118987071159e-25
7.684129194357468e-16,0.19920122442977936,76.950000000000003,0.0,0.0,0.0,0.99999982740759885,9.4999999999999272,1.2088411603325549e-09,2.0315260676499652e-08,2.0315278936462669e-08,4.0503163114023018e-15,4.599590944630494e-14,1.2872611064795711e-07,4.4301402071171395e-11,1.880166568022336e-09,2.3685630403428666e-14,1.023634033376762e-10,2.8933749987245193e-22,4.6514069036315758e-15,4.2120135150117248e-24,7.2001578751494148e-25
9.098657293413222e-16,0.19920122442977928,76.950000000000003,0.0,0.0,0.0,0.99999979563682218,9.499999999999897,1.4313699029293143e-09,2.4054971895695946e-08,2.4054998346954948e-08,4.8322265512426948e-15,6.448837729977249e-14,1.5239016396762748e-07,6.2104361318762063e-11,2.2259613631847532e-09,3.3204892141717956e-14,1.4349915565473264e-10,4.0641531803279719e-22,6.5209944127677724e-15,6.9600201908270695e-24,1.1898089423778012e-24
1.0513185392468975e-15,0.1992012244297792,76.950000000000003,0.0,0.0,0.0,0.99999976386628964,9.499999999999865,1.6538986382016256e-09,2.7794679760219199e-08,2.7794715917087006e-08,5.6141002773430244e-15,8.6097890844352242e-14,1.7604415016505043e-07,8.2903906746465193e-11,2.5716584437622882e-09,4.4326923285599717e-14,1.9155885955685417e-10,5.4333556577896747e-22,8.7054621405629482e-15,1.071396045128391e-23,1.831604669883817e-24
1.1927713491524729e-15,0.1992012244297791,76.950000000000003,0.0,0.0,0.0,0.99999973209600157,9.4999999999998259,1.8764273661495429e-09,3.1534384270131459e-08,3.1534431647462222e-08,6.395876182716463e-15,1.1082438985235618e-13,1.9968807351966544e-07,1.0669876443494584e-10,2.9172578373451066e-09,5.7051183578812517e-14,2.4653957152534096e-10,7.0009786320311481e-22,1.12047313927243e-14,1.5629758838027531e-23,2.6720790766711413e-24
1.4756769689636236e-15,0.19920122442977892,76.950000000000003,0.0,0.0,0.0,0.99999966855615829,9.4999999999997353,2.3214848000724126e-09,3.9013783226371046e-08,3.9013857590948608e-08,7.9592935114580715e-15,1.6962810357879055e-13,2.4694574879318659e-07,1.6326932837192759e-10,3.6081636737448821e-09,8.7304233519345169e-14,3.7725226281220243e-10,1.0731470658033655e-21,1.7147360099027297e-14,2.9570046477224726e-23,5.0556878879491953e-24
1.7189951289711043e-15,0.19920122442977872,76.950000000000003,0.0,0.0,0.0,0.99999961390833336,9.499999999999643,2.7042645743389042e-09,4.5446566558336303e-08,4.5446668984719691e-08,9.3040181713517333e-15,2.3017577577252345e-13,2.8755842075149854e-07,2.2149581903242647e-10,4.202077591504004e-09,1.1844537557749094e-13,5.1179116051972383e-10,1.4574773717913116e-21,2.3264929194104993e-14,4.6719613213285461e-23,7.9883045585197238e-24
1.962313288978585e-15,0.1992012244297785,76.950000000000003,0.0,0.0,0.0,0.9999995592612303,9.4999999999995364,3.0870443269342211e-09,5.1879339965307132e-08,5.1879474942112465e-08,1.0648765919914597e-14,2.9994536485844036e-13,3.281413775391101e-07,2.8856734514068675e-10,4.7957028497306145e-09,1.5431979538350228e-13,6.6676751416620717e-10,1.90051238530283e-21,3.0312860991405356e-14,6.9476623864644801e-23,1.1880132741535638e-23
2.2056314489860653e-15,0.19920122442977825,76.950000000000003,0.0,0.0,0.0,0.99999950461484866,9.4999999999994156,3.469824057858641e-09,5.831210344759976e-08,5.8312275465979815e-08,1.1993440928672467e-14,3.7893656393594206e-13,3.6869464090987257e-07,3.6447743093014133e-10,5.3890395887939482e-09,1.9492474519286669e-13,8.421663608419428e-10,2.4022501477011325e-21,3.8290755121495759e-14,9.8635764983128259e-23,1.6867248595631262e-23
2.4489496089935458e-15,0.19920122442977786,76.950000000000003,0.0,0.0,0.0,0.99999944996918777,9.4999999999992806,3.8526037671124396e-09,6.4744857005530926e-08,6.474507055900579e-08,1.3338119060183267e-14,4.6714906562076004e-13,4.0921823263678608e-07,4.4921959493388741e-10,5.9820879492211302e-09,2.4025747442768137e-13,1.0379727244660238e-09,2.962688704713017e-21,4.7198210764586719e-14,1.3499302037539861e-22,2.3085984334901883e-23
2.935585929008507e-15,0.1992012244297772,76.950000000000003,0.0,0.0,0.0,0.99999934068002727,9.4999999999989679,4.6181631206092747e-09,7.7610334349572945e-08,7.7610644463527172e-08,1.6027499295840741e-14,6.7123674993452835e-13,4.901764879855488e-07,6.4517431075725699e-10,7.167320094737056e-09,3.4509530028897944e-13,1.4907482808668725e-09,4.2596603978659906e-21,6.7800207698816717e-14,2.3247915534195644e-22,3.9762678152553031e-23
3.373558617021972e-15,0.1992012244297764,76.950000000000003,0.0,0.0,0.0,0.99999924232224369,9.4999999999986411,5.3071664646456696e-09,8.9189230021065742e-08,8.9189642431695363e-08,1.844797958929884e-14,8.8644944289815927e-13,5.6293765847658326e-07,8.5167445701798921e-10,8.2330441765498127e-09,4.555908387219611e-13,1.9678902500298352e-09,5.6276720475460531e-21,8.9517095653551096e-14,3.5280534727849782e-22,6.0349802290199774e-23
3.8115313050354376e-15,0.19920122442977556,76.950000000000003,0.0,0.0,0.0,0.99999914396678891,9.4999999999982681,5.9961697384735392e-09,1.0076809354254252e-07,1.0076862284673695e-07,2.0868434042698679e-14,1.1315343858257691e-12,6.3560303005177868e-07,1.0866901547095679e-09,9.2978360895854692e-09,5.8136176367220032e-13,2.5109206314405242e-09,7.1858439039685882e-21,1.1423955067830163e-13,5.0880888042568242e-22,8.7045126596212061e-23
4.249503993048903e-15,0.19920122442977467,76.950000000000003,0.0,0.0,0.0,0.99999904561366015,9.4999999999978506,6.6851729420944857e-09,1.1234692491584549e-07,1.1234758572465123e-07,2.3288863868459953e-14,1.4064897905849165e-12,7.0817272882042448e-07,1.3501838631541185e-09,1.0361696649024306e-08,7.2239212872987636e-13,3.1197526835884746e-09,8.9341645878982382e-21,1.4196524766750691e-13,7.0512184246504974e-22,1.2064325058035692e-22
4.687476681062368e-15,0.19920122442977356,76.950000000000003,0.0,0.0,0.0,0.9999989472628551,9.4999999999973852,7.3741760755101139e-09,1.2392572414281674e-07,1.2392653108138379e-07,2.5709306807126292e-14,1.711313869202292e-12,7.8064688072213127e-07,1.6421180921846838e-09,1.142462666930996e-08,8.7866600459366599e-13,3.7942997816737692e-09,1.0872622714890938e-20,1.7269186361667225e-13,9.463763844838072e-22,1.6193914269457275e-22
5.563422057089298e-15,0.19920122442977112,76.950000000000003,0.0,0.0,0.0,0.99999875056820453,9.4999999999963229,8.7521821317318027e-09,1.4708322616513211e-07,1.4708436929522209e-07,3.0550171932502133e-14,2.4105608957483303e-12,9.2530904691903323e-07,2.3111583788068262e-09,1.3547698347050685e-08,1.2368806465123071e-12,5.3401931420508949e-09,1.5319905767784076e-20,2.4313856934867014e-13,1.5822421478958303e-21,2.7080646597143246e-22
6.439367433116228e-15,0.19920122442976831,76.950000000000003,0.0,0.0,0.0,0.99999855388281622,9.4999999999950795,1.0130187907151394e-08,1.7024059962422323e-07,1.7024213761580144e-07,3.5391027391784082e-14,3.229261162227485e-12,1.0695905329599325e-06,3.0935120456596649e-09,1.5667057624848339e-08,1.6558785730323867e-12,7.1479099148331954e-09,2.0527602013950475e-20,3.255611223669775e-13,2.4534714634677374e-21,4.2001538818453113e-22
7.315312809143159e-15,0.19920122442976512,76.950000000000003,0.0,0.0,0.0,0.99999835720666919,9.4999999999936602,1.150819340178163e-08,1.9339784453482231e-07,1.9339983617041632e-07,4.0231863562492329e-14,4.1674003667308705e-12,1.2134923405462885e-06,3.9888809025641915e-09,1.778271099354883e-08,2.1355329296105847e-12,9.2167611016328469e-09,2.6495620410322582e-20,4.1994100909405561e-13,3.5971337945920885e-21,6.1594064260577813e-22
8.191258185170089e-15,0.19920122442976143,76.950000000000003,0.0,0.0,0.0,0.99999816053974266,9.4999999999920561,1.2886198615635235e-08,2.1655496091165871e-07,2.1655746508608059e-07,4.5072685443642619e-14,5.2249642090794329e-12,1.3570154687421841e-06,4.9969675444454321e-09,1.9894664932639466e-08,2.6757171265932417e-12,1.154605951812382e-08,3.3223869924910525e-20,5.2625974834939651e-13,5.0503017336412261e-21,8.6496322465402042e-22
9.943148937223949e-15,0.1992012244297529,76.950000000000003,0.0,0.0,0.0,0.99999776723346701,9.4999999999883116,1.5642208201063303e-08,2.6286880812294809e-07,2.6287251450730464e-07,5.4754286161078296e-14,7.6983086156856573e-12,1.6429296700586107e-06,7.3501084804508769e-09,2.4107500383111532e-08,3.9371700069432364e-12,1.6983258354913694e-08,4.896069823945363e-20,7.7464002181038503e-13,9.0334593057050942e-21,1.5478554585734084e-21
1.1695039689277809e-14,0.19920122442974275,76.950000000000003,0.0,0.0,0.0,0.99999737396382282,9.4999999999838494,1.8398216663536808e-08,3.0918214137587299e-07,3.0918728689032335e-07,6.4435830331490858e-14,1.0649180015796751e-11,1.9273410769013583e-06,1.0150571247580771e-08,2.8305615585492214e-08,5.4392297784899622e-12,2.345404507568925e-08,6.7737358927083313e-20,1.0705547398170202e-12,1.4699585964480432e-20,2.5198649890314727e-21
1.3446930441331669e-14,0.1992012244297309,76.950000000000003,0.0,0.0,0.0,0.99999698073064436,9.4999999999786713,2.1154224003156476e-08,3.5549496078817216e-07,3.5550178324177204e-07,7.4117315928271346e-14,1.4077464070608374e-11,2.2102575875143246e-06,1.3396004667514842e-08,3.2489061968618469e-08,7.1808932072659851e-12,3.0952987046560394e-08,8.9553124131985856e-20,1.4138572139471501e-12,2.2345374136135275e-20,3.8322649365490338e-21
1.519882119338553e-14,0.19920122442971755,76.950000000000003,0.0,0.0,0.0,0.99999658753376663,9.4999999999727738,2.3910230220022616e-08,4.0180726647754172e-07,4.0181600456408635e-07,8.3798744013552345e-14,1.7983046468553049e-11,2.4916870586364649e-06,1.7084069917278539e-08,3.6657890781686328e-08,9.161161240845927e-12,3.9474680181905505e-08,1.1440726617173007e-19,1.804401268150891e-12,3.2267567416420201e-20,5.5364286958301787e-21
