Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56)
1.5723321082058734e-12,0.2097477790259467,76.950000000000003,0.0,0.0,0.0,0.99999998662149203,9.4999999999685123,8.9670618058414858e-10,6.2173247027019743e-09,6.2129446243372282e-09,1.793333129364007e-11,1.3844544200556715e-14,1.0523604388590655e-11,5.6542444965153196e-12,1.3539409382055259e-11,9.8292014854251678e-19,8.1190857593835892e-21,8.9711739699557284e-22,3.8621357116202255e-12,6.0361202406736414e-15
1.7313288966914767e-12,0.20974777902593109,76.950000000000003,0.0,0.0,0.0,0.99999998526865186,9.4999999999619966,9.8738255866392938e-10,6.8446898432447938e-09,6.8392159876326608e-09,2.1738504915408107e-11,1.5242081673439717e-14,1.0949713262659653e-11,6.5950529012506663e-12,1.624940843252583e-11,1.1916397519239945e-18,1.0842765921881533e-20,1.200037182815304e-21,4.5047555595118922e-12,7.317587813182034e-15
1.89032568517708e-12,0.20974777902591402,76.950000000000003,0.0,0.0,0.0,0.99999998391581302,9.4999999999548983,1.0780589341483892e-09,7.4718390496117907e-09,7.4651225404218932e-09,2.5908487318005018e-11,1.6639138066139259e-14,1.1315896937166037e-11,7.5705211824008405e-12,1.9175340435527986e-11,1.4203835966725631e-18,1.4116974026311364e-20,1.5649783592257795e-21,5.1710498605904275e-12,8.7221308789819571e-15
2.0493224736626834e-12,0.20974777902589564,76.950000000000003,0.0,0.0,0.0,0.9999999825629754,9.4999999999472298,1.1687353070375288e-09,8.0987792071121148e-09,8.0906645382237217e-09,3.0443022982595726e-11,1.8035728726056073e-14,1.1630577207505654e-11,8.5757782940035095e-12,2.2310320066606582e-11,1.6691376574478803e-18,1.7992666415327916e-20,1.9979013300172692e-21,5.8576914434600838e-12,1.0249707738558058e-14
2.2083192621482867e-12,0.2097477790258759,76.950000000000003,0.0,0.0,0.0,0.999999981210139,9.4999999999389928,1.2594116773313478e-09,8.7255169845730962e-09,8.7158422364264015e-09,3.5341856520889884e-11,1.9431868495837184e-14,1.19010326474937e-11,9.6066144131019836e-12,2.5647678483620057e-11,1.9378879160467227e-18,2.2520874007287585e-20,2.5048126540271831e-21,6.5618047855675967e-12,1.1900278004994052e-14
2.36731605063389e-12,0.20974777902585476,76.950000000000003,0.0,0.0,0.0,0.99999997985730338,9.4999999999301963,1.3500880450298467e-09,9.3520588348869632e-09,9.3406558901627763e-09,4.0604732800001699e-11,2.0827571768153732e-14,1.2133501264559099e-11,1.0659421565449499e-11,2.9180962779990278e-11,2.2266203683229731e-18,2.7752675959347784e-20,3.0917624227284734e-21,7.2809254575474439e-12,1.3673802596955748e-14
2.5263128391194932e-12,0.2097477790258323,76.950000000000003,0.0,0.0,0.0,0.99999997850446853,9.4999999999208438,1.4407644101330248e-09,9.978411002007174e-09,9.9651057543258056e-09,4.6231396926939534e-11,2.2222852427387395e-14,1.2333311931444828e-11,1.1731117607294237e-11,3.2903928988411947e-11,2.5353210232477167e-18,3.3739202733370583e-20,3.7648447150056982e-21,8.0129481989262136e-12,1.5570243696711987e-14
2.6853096276050965e-12,0.2097477790258086,76.950000000000003,0.0,0.0,0.0,0.99999997715163436,9.4999999999109459,1.5314407726408832e-09,1.0604579531215974e-08,1.0589192083643883e-08,5.2221594173265249e-11,2.361772397545567e-14,1.2505039078418245e-11,1.2819056753618106e-11,3.6810531813178322e-11,2.863975898895126e-18,4.0531651696648047e-20,4.5301993766238903e-21,8.7560658043727379e-12,1.7589564690145288e-14
2.8443064160906997e-12,0.20974777902578357,76.950000000000003,0.0,0.0,0.0,0.99999997579880073,9.499999999900508,1.6221171325534214e-09,1.1230570276963543e-08,1.1212915132707013e-08,5.8575069948940548e-11,2.5012199424015104e-14,1.2652629368219151e-11,1.392095631115919e-11,4.0894916791131637e-11,3.2125710208607491e-18,4.8181292429882796e-20,5.394012715246754e-21,9.5087190786371578e-12,1.973173012006249e-14
3.003303204576303e-12,0.20974777902575725,76.950000000000003,0.0,0.0,0.0,0.99999997444596733,9.4999999998895301,1.71279348987064e-09,1.185638890754338e-08,1.1836275155934162e-08,6.5291569834954103e-11,2.6406291448909628e-14,1.2779482862603608e-11,1.5034849732844069e-11,4.515141561613398e-11,3.581092424216588e-18,5.6739459725662412e-20,6.3625168936176254e-21,1.0269564770347662e-11,2.1996705656937567e-14
3.1622999930619063e-12,0.2097477790257297,76.950000000000003,0.0,0.0,0.0,0.99999997309313438,9.4999999998780282,1.8034698445925387e-09,1.2482040909592711e-08,1.2459272407544999e-08,7.2370839611603856e-11,2.7800012191191314e-14,1.2888514843823555e-11,1.615905086112856e-11,4.957454163885756e-11,3.9695261548298292e-18,6.6257547493522761e-20,7.4419894073747223e-21,1.1037451148399034e-11,2.4384458070815243e-14
3.3212967815475095e-12,0.2097477790257008,76.950000000000003,0.0,0.0,0.0,0.99999997174030164,9.4999999998660005,1.8941461967191181e-09,1.3107531594308442e-08,1.3081907141571124e-08,7.9812625247245826e-11,2.9193373602190665e-14,1.2982224223538232e-11,1.7292114361262074e-11,5.4158983650480679e-11,4.3778582691113268e-18,7.6787010945041771e-20,8.6387534261632861e-21,1.1811390975865856e-11,2.6894955193973239e-14
3.639290358518716e-12,0.20974777902563937,76.950000000000003,0.0,0.0,0.0,0.99999996903463717,9.4999999998403961,2.0754988931863183e-09,1.4358049417088917e-08,1.4326090072150818e-08,9.5782728813771242e-11,3.1979063580685048e-14,1.3131965105939875e-11,1.9580033701624972e-11,6.379141024560438e-11,5.2541619198410056e-18,1.0108621125830591e-19,1.1409679656747182e-20,1.3374155904276769e-11,3.2284059982533367e-14
3.9572839354899226e-12,0.2097477790255731,76.950000000000003,0.0,0.0,0.0,0.99999996632897326,9.499999999812756,2.25685157927224e-09,1.5607981579301096e-08,1.5568825976470165e-08,1.1319985173729209e-10,3.4763448794148803e-14,1.3242538782953025e-11,2.1890606786665208e-11,7.4009491898108941e-11,6.2098920164316665e-18,1.3004998602925982e-19,1.4726804439825808e-20,1.4952394489219546e-11,3.8163782586004471e-14
4.275277512461129e-12,0.20974777902550198,76.950000000000003,0.0,0.0,0.0,0.99999996362330945,9.4999999997831246,2.4382042549768862e-09,1.6857364827214901e-08,1.6810116880524637e-08,1.3206196802201154e-10,3.7546611075533564e-14,1.3324210579032201e-11,2.4217896299589155e-11,8.4776482256501084e-11,7.2449373525530853e-18,1.6409227435671428e-19,1.864237723751673e-20,1.6542051242251652e-11,4.453390045040154e-14
4.593271089432336e-12,0.20974777902542627,76.950000000000003,0.0,0.0,0.0,0.99999996091764598,9.4999999997515374,2.6195569203002561e-09,1.8106233600668622e-08,1.8049964807444511e-08,1.523670545373159e-10,4.0328627158935421e-14,1.3384563757446396e-11,2.6557516189419382e-11,9.6057941406076013e-11,8.3591868792015304e-18,2.036280105356388e-19,2.3209388869166011e-20,1.8140130268145416e-11,5.1394204989608016e-14
4.911264666403542e-12,0.2097477790253458,76.950000000000003,0.0,0.0,0.0,0.99999995821198229,9.4999999997180247,2.8009095752423493e-09,1.9354620176984833e-08,1.9288371777496045e-08,1.7411309101662919e-10,4.3109568954120816e-14,1.3429169002322748e-11,2.8906244452159179e-11,1.0782159195259976e-10,9.5525297045665957e-18,2.4907311916229257e-19,2.8481573387745582e-20,1.9744430774788055e-11,5.8744500713642193e-14
