Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787)
2.71873601148852e-22,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999969502,9.5,1.0200897043953957e-15,1.6288153501438179e-14,1.6288153501444973e-14,1.6258282725254848e-26,1.6258189593008595e-26,2.7139861354540079e-13,4.6474597891988753e-23,7.9296171328094652e-27,5.1239485002618918e-39,2.3178218578367916e-43,1.3214059094283968e-41,1.2373237775649692e-22,2.9347322145563036e-28,4.9977356130014123e-39,4.8295020324439093e-43,1.4388571111850442e-56,0.0,7.2171645994027817e-38,1.1694545246213933e-27,8.0715823073968573e-39,8.0715823074005049e-39,3.1446362223113805e-51,5.0336220639606162e-52,1.6122504834749676e-40,2.9442725962667016e-29,2.4577395211502604e-41,1.9670529443920492e-42,5.6770588021520479e-91,2.5230013988231498e-52
5.439834087278942e-22,0.2237592425334239,76.950000000000003,0.0,0.0,0.0,0.99999999999938971,9.5,2.0410656726517053e-15,3.25904583090713e-14,3.2590458309098481e-14,6.5075501206248073e-26,6.5074755585981423e-26,5.4303302050175961e-13,1.8601950776408233e-22,3.173913369478085e-26,4.1020473785279274e-38,1.8556668241175985e-42,1.0581964369046111e-40,4.9525196663854965e-22,1.1746576991081255e-27,4.0006464700977471e-38,3.8665379107826507e-42,2.3046719746558228e-55,0.0,5.7781200216214917e-37,4.6808657848961634e-27,6.4621737134603794e-38,6.4621737134662208e-38,5.0355151051720657e-50,8.0603536255763528e-51,1.2907807025716609e-39,1.1784763381052614e-28,1.9676860233062163e-40,1.5748384066489175e-41,7.2813919548387203e-89,4.0400894646199034e-51
1.0882030238859784e-21,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.9999999999987792,9.5,4.0830176091630638e-15,6.5195067924152255e-14,6.5195067924260979e-14,2.6038676957173215e-25,2.6038080240732695e-25,1.0863018333778864e-12,7.4432033187432823e-22,1.2699787679438627e-25,3.2825213163718372e-37,1.4850974390158316e-41,8.4698604519077913e-40,1.9816529599537032e-21,4.700160858923936e-27,3.2008037208401038e-37,3.0944050336130266e-41,3.6894767877818037e-54,0.0,4.6242521012088534e-36,1.8729560249321466e-26,5.1717029572016012e-37,5.1717029572109508e-37,8.0601034966973832e-49,1.2901815064445767e-49,1.0330168542243974e-38,4.7154403890621502e-28,1.5747468314574017e-39,1.2603493488343403e-40,9.3296376664709925e-87,6.4667742289024395e-50
2.176642254202147e-21,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999755818,9.5,8.1669214821807384e-15,1.3040428715357291e-13,1.3040428715400791e-13,1.0417166318172467e-24,1.04166888645708e-24,2.1728394549837765e-12,2.9777659932969721e-21,5.0807420226142625e-25,2.6259346073705409e-36,1.1883035969449727e-40,6.7776044019041438e-39,7.9279021974411453e-21,1.8803703996509512e-26,2.5596433274492285e-36,2.4759935113711537e-40,5.9047646520110392e-53,0.0,3.7001042589856416e-35,7.4930436952110871e-26,4.138148128130984e-36,4.1381481281459475e-36,1.2898789626440211e-47,2.0647104519607857e-48,8.265704308539075e-38,1.8864832067631356e-27,1.2600367128425312e-38,1.0084709669569316e-39,1.1947991771007575e-84,1.0348944134370858e-48
4.3535207148344844e-21,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999511613,9.5,1.6334729228195913e-14,2.6082272560944975e-13,2.6082272561118964e-13,4.167205657570918e-24,4.1668236747627368e-24,4.3459146816101048e-12,1.1912033334854217e-20,2.0324622051882689e-24,2.1000177830663945e-35,9.5073315450155911e-40,5.4227700833734982e-38,3.1714189585068091e-20,7.5220937542781936e-26,2.0455353294518749e-35,1.9809818262279308e-39,9.4489051632141932e-52,0.0,2.9603644593516631e-34,2.997461414409312e-25,3.3108328408749515e-35,3.3108328408988957e-35,2.0640162616740666e-46,3.3038727850725597e-47,6.6131912569475691e-37,7.5465469736644353e-27,1.0081250658556452e-37,8.068533730123322e-39,1.529730622026045e-82,1.6559995038985736e-47
8.707277636099158e-21,0.22375924253342397,76.950000000000003,0.0,0.0,0.0,0.99999999999023192,9.5,3.2670344720145594e-14,5.2165960250934608e-13,5.2165960251630442e-13,1.6669500907764552e-23,1.6666445161663169e-23,8.6920650685209496e-12,4.7650071820043301e-20,8.1301795783848138e-24,1.6786088256316504e-34,7.6062265072436826e-39,4.338490807227174e-37,1.2686191928471841e-19,3.0089599371401596e-25,1.6327204991359325e-34,1.5848589970512388e-38,1.5119274043631564e-50,0.0,2.3684039798418267e-33,1.1990333546514277e-24,2.6487920145134873e-34,2.648792014551799e-34,3.3025938790640309e-45,5.2864652799552181e-46,5.2908040680545238e-36,3.0187416236419244e-26,8.0653831102046007e-37,6.4551333359775536e-38,1.9583033464064233e-80,2.6497339428102107e-46
1.7414791478628506e-20,0.2237592425334239,76.950000000000003,0.0,0.0,0.0,0.99999999998046363,9.5,6.534157570372223e-14,1.0433333562617173e-12,1.0433333562895389e-12,6.6679360151984298e-23,6.6654917784972268e-23,1.7384365576975397e-11,1.9060416181653401e-19,3.252137946912768e-23,1.3405487160036368e-33,6.0851259488071001e-38,3.47090270378742e-36,5.0745799257191054e-19,1.2036084623255203e-24,1.3001910372619422e-33,1.2679145731968936e-37,2.4191660192125644e-49,0.0,1.894768126803271e-32,4.796230997202963e-24,2.1190839092789168e-33,2.1190839093402178e-33,5.2842842198419459e-44,8.458559377818841e-45,4.2327435621821522e-35,1.2075212171135721e-25,6.4524591745317821e-36,5.1642291131676088e-37,2.5067871109535425e-78,4.2396820187307735e-45
3.48298191636872e-20,0.22375924253342397,76.950000000000003,0.0,0.0,0.0,0.99999999996092703,9.5,1.3068403766958461e-13,2.0866808635768375e-12,2.0866808636880271e-12,2.667201532084751e-22,2.66524678832209e-22,3.4768965532415438e-11,7.624243764564804e-19,1.300868372279004e-22,1.0686786730198053e-32,4.8681590260826601e-37,2.776766440407595e-35,2.0298525482203111e-18,4.8144828242590128e-24,1.030666505508265e-32,1.014339345484129e-36,3.8707317111681542e-48,0.0,1.5158324417101702e-31,1.9185119140421146e-23,1.6952872461183284e-32,1.6952872462164119e-32,8.4549610707956112e-43,1.3533866516279352e-43,3.3862347814690773e-34,4.8301340072791417e-25,5.1620278532861502e-35,4.1314321095202753e-36,3.208789153405682e-76,6.7835771358761774e-44
6.96598745338046e-20,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999992185373,9.5,2.6136896159614578e-13,4.1733758774491039e-12,4.1733758778930809e-12,1.0668860343357986e-21,1.0653232990785569e-21,6.9538161197420539e-11,3.0497128046643679e-18,5.2034996385464345e-22,8.489723910683051e-32,3.894551118333555e-36,2.2214312690118501e-34,8.1194509239928187e-18,1.9258029244044468e-23,8.0973633231194103e-32,8.1146932973652337e-36,6.1932246953781725e-47,0.0,1.2126730700919001e-30,7.6740866808061515e-23,1.3562378434013719e-31,1.3562378435583064e-31,1.3528019910630144e-41,2.16543222450985e-42,2.7090034909181736e-33,1.9320634331796688e-24,4.1296455895304555e-34,3.3051649602656583e-35,7.1899760293711519e-74,1.0853791299068402e-42
1.393199852740394e-19,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999984370713,9.5,5.2273880942861374e-13,8.3467659021658218e-12,8.3467659039355069e-12,4.2675549505906091e-21,4.2550701021061326e-21,1.3907653554393502e-10,1.219888053951347e-17,2.0814048951595262e-21,6.6981042829623049e-31,3.1156513984858213e-35,1.7771529108483933e-33,3.2477881758878527e-17,7.7032312843929692e-23,6.253024962706589e-31,6.4916625105507297e-35,9.9092061753140866e-46,0.0,9.7014120768258144e-30,3.0696424725810715e-22,1.0849934916943767e-30,1.0849934919454726e-30,2.164488846780599e-40,3.4647019795233578e-41,2.1672085677673651e-32,7.7282734129759012e-24,3.3037243564581276e-33,2.6441392691780178e-34,9.2340509043503998e-72,1.7366117684555648e-41
2.78640206754509e-19,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999968741404,9.5,1.0454785050109324e-12,1.6693545939520539e-11,1.6693545946549609e-11,1.7070241190729764e-20,1.6970634305763941e-20,2.7815321630301411e-10,4.879557058472016e-17,8.3256281390927539e-21,5.214433047371e-30,2.4925268320156648e-34,1.4217265251658433e-32,1.2991165596552721e-16,3.0812964289853132e-22,4.6766758303478108e-30,5.1931595000714689e-34,1.5854778398803155e-44,0.0,7.7611391464759444e-29,1.2278585453368463e-21,8.679960775227207e-30,8.6799607792447451e-30,3.4631837565752542e-39,5.5435300786712993e-40,1.7337683781746398e-31,3.0913133169929619e-23,2.6429803383795017e-32,2.1153136827445319e-33,1.1819928666024773e-69,2.778582094184887e-40
5.572806497154481e-19,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999937482786,9.5,2.0909578958451011e-12,3.3387105966172666e-11,3.3387105993894861e-11,6.8281005635809037e-20,6.7488468538035988e-20,5.5630630608563867e-10,1.9518229747143873e-16,3.3302517507753686e-20,3.9581893124547777e-29,1.9940261696467001e-33,1.1373845596528454e-31,5.1964666415463593e-16,1.2325193529427824e-21,3.3080281821753059e-29,4.1542455698042294e-33,2.5367720049494421e-43,0.0,6.2089126768885989e-28,4.9114372639656284e-21,6.9439737148671018e-29,6.9439737212951516e-29,5.541085925067608e-38,8.8696490955796424e-39,1.3870140544361314e-30,1.2365261297631782e-22,2.1143809308531404e-31,1.6922508083855143e-32,1.5129534133178396e-67,4.4457311981752755e-39
8.359210926763872e-19,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999906224168,9.5,3.1364372863488016e-12,5.0080665945022468e-11,5.0080666003357158e-11,1.450971603811035e-19,1.4283804980675361e-19,8.3445912413299474e-10,4.147622996488034e-16,7.0767839114751753e-20,1.0987522544994972e-28,5.7016758309230008e-33,3.3766143506439627e-31,1.1042489417480439e-15,2.6191041113936256e-21,8.8392480859525688e-29,1.1878079906320968e-32,9.5971333864367825e-43,0.0,1.7753607736229508e-27,1.0436806079214353e-20,1.9855428531999075e-28,1.9855428555658557e-28,2.0394857343487546e-37,3.2646193702870334e-38,3.9659913129721707e-30,2.6276185460302198e-22,6.0458010702031613e-31,4.8387782939600622e-32,7.8062799909352377e-67,1.6363239443456921e-38
1.1145615356373264e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999874965551,9.5,4.1819166765220326e-12,6.6774225876322322e-11,6.6774225974936495e-11,2.4751870376305031e-19,2.4276701049561499e-19,1.1126116704453476e-09,7.0753550561122508e-16,1.2072158231926811e-19,2.2571938288805259e-28,1.2026501283769509e-32,7.3574711225378973e-31,1.8837182983744252e-15,4.4678839167295946e-21,1.7578039054233298e-28,2.5053417350179233e-32,2.49813021159668e-42,0.0,3.7447494218403708e-27,1.7803964965231652e-20,4.188085349411015e-28,4.1880853554115661e-28,5.1725728457607072e-37,8.2797799163210273e-38,8.365419911309946e-30,4.4824085957857225e-22,1.2752331364468972e-30,1.0206381529576171e-31,4.2585974521532351e-66,4.1500707316819462e-38
1.6718424215592048e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999812448304,9.5,6.2728754560929046e-12,1.0016134562809805e-10,1.0016134582918618e-10,5.124560648234218e-19,4.9953840456394222e-19,1.6689161253254615e-09,1.4648616637900564e-15,2.499385966171608e-19,5.9061974889484236e-28,3.2848196227729535e-32,2.135648931778735e-30,3.8999975249411888e-15,9.2501869999250711e-21,4.3765086297904834e-28,6.8424585082986228e-32,9.1677937556218051e-42,0.0,1.0228068533246631e-26,3.6860851191790432e-20,1.1438961139700174e-27,1.1438961160684361e-27,1.8088709742491378e-36,2.8954779853575962e-37,2.2848534725756907e-29,9.2802587127334992e-22,3.4830505691787211e-30,2.7876776567247123e-31,5.9144460467714898e-65,1.4512991078800045e-37
2.229123307481083e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999749931057,9.5,8.363834234448527e-12,1.3354846520707524e-10,1.335484655441267e-10,8.7155355843388184e-19,8.4463747507469594e-19,2.2252195809412576e-09,2.491344743148597e-15,4.2507990283448755e-19,1.1902681047451449e-27,6.872958506010741e-32,4.6704268416515597e-30,6.6328709203801086e-15,1.5732146102719097e-20,8.4591749232617893e-28,1.4315956594101603e-31,2.3772790581695331e-41,0.0,2.1400533348568411e-26,6.2690656183595258e-20,2.3934134344476773e-27,2.3934134396910479e-27,4.5198701430398217e-36,7.2350085318708119e-37,4.7806735891437548e-29,1.5783290563706862e-21,7.2876943209486852e-30,5.8327508182251246e-31,2.7187874902797932e-64,3.6263997155866922e-37
2.7864041934029613e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.9999999968741381,9.5,1.045479301150209e-11,1.6693558460254124e-10,1.6693558510980747e-10,1.3315368972468649e-18,1.2827432372704304e-18,2.7815219659184874e-09,3.8062097601036382e-15,6.4942573643552704e-19,2.0873924579070607e-27,1.2511990062210337e-31,8.7623630606754341e-30,1.013352250999965e-14,2.4035165216459442e-20,1.4263789615974569e-27,2.6060252814668469e-31,5.1978685845334755e-41,0.0,3.8958838903289704e-26,9.5777159679925841e-20,4.3571178572824392e-27,4.3571178684068086e-27,9.5893843272838465e-36,1.5349853444844227e-36,8.7030257189528211e-29,2.4113302949249508e-21,1.3266945541372899e-29,1.0618293636527163e-30,1.0037810577690753e-63,7.6937987263791688e-37
3.900965965246718e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999562379338,9.5,1.4636710561621267e-11,2.3370982284210267e-10,2.3370982378401411e-10,2.5604980978180368e-18,2.4331274906687968e-18,3.8941234567179751e-09,7.3191968450721943e-15,1.2488212464668282e-18,5.0209163634355481e-27,3.3035549063990234e-31,2.3975478690958602e-29,1.9486379012398571e-14,4.6218771816443972e-20,3.1652526199044884e-27,6.8796663835652644e-31,1.999336143203222e-40,0.0,1.0286271526540257e-25,1.8417608464230656e-19,1.1504076596919365e-26,1.1504076637675436e-26,3.5132368710192986e-35,5.6237021033260754e-36,2.2978496488571188e-28,4.6369030319920114e-21,3.502847747069042e-29,2.8035379331100034e-30,1.2305566591707753e-62,2.8187643768985358e-36
5.0155277370904746e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999437344889,9.5,1.8818628106452111e-11,3.0048406035975984e-10,3.0048406185199791e-10,4.1992100208467253e-18,3.9378305212480691e-18,5.0067205991135544e-09,1.2003448614216757e-14,2.0480613489142339e-18,9.6035247235561745e-27,6.8491341605507943e-31,5.0543336189296511e-29,3.1957570496862728e-14,7.5798668187372245e-20,5.6872046978932643e-27,1.4261380607034699e-30,5.3107600344468096e-40,0.0,2.1325995583082353e-25,3.0204830588377584e-19,2.385083167685965e-26,2.3850831782688984e-26,9.1226502431453685e-35,1.4602829830088469e-35,4.7640067006721067e-28,7.6045095545018654e-21,7.2622481900360399e-29,5.8124271141932662e-30,6.1345209965172899e-62,7.319364784704256e-36
7.244651280777988e-18,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999187275956,9.5,2.7182463180251015e-11,4.3403253330096246e-10,4.3403253616955286e-10,8.7057127494695444e-18,7.9387503442053915e-18,7.2319018406137533e-09,2.488522882694928e-14,4.2459875719896616e-18,2.4470843798034164e-26,2.0579918887430622e-30,1.5417368695349933e-28,6.6253580963186614e-14,1.5714421173035836e-19,1.3145834330241695e-26,4.28379387664454e-30,2.4100861058046021e-39,0.0,6.4078300246884893e-25,6.2620020365901657e-19,7.166485296014368e-26,7.166485342923439e-26,4.0436296913365259e-34,6.4727722755981167e-35,1.4314384347911844e-27,1.5765511645961477e-20,2.1820726580066117e-28,1.7464598442569142e-29,9.3419448611522805e-61,3.2443405548948757e-35
1.1702898368153016e-17,0.22375924253342397,76.950000000000003,0.0,0.0,0.0,0.99999998687138181,9.5,4.3910133264398214e-11,7.0112947121277205e-10,7.0112947753107318e-10,2.2634991840270403e-17,1.9500850911994016e-17,1.1682212151420658e-08,6.4701634536435867e-14,1.1039582816558351e-17,7.8861370295044208e-26,8.8481948575438617e-30,6.6898113340781964e-28,1.7225941591213548e-13,4.085776062445604e-19,3.7768975617761105e-26,1.8404638014948239e-29,1.804265274189059e-38,0.0,2.7549180488649271e-24,1.6281310044243881e-18,3.0811027226948163e-25,3.0811027572918972e-25,2.9823120067686679e-33,4.7739610016738925e-34,6.1541398271183203e-27,4.0990605776986043e-20,9.3812136791070595e-28,7.5085315254574525e-29,3.1920143428891653e-59,2.3928439106469329e-34
2.061939254290307e-17,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999997686862929,9.5,7.7365473178892339e-11,1.2353233178392609e-09,1.2353233311600255e-09,7.0158454113338755e-17,5.4181173371462196e-17,2.0582624090531297e-08,2.005441376163674e-13,3.4217483188791239e-17,2.9070983215364013e-25,4.9827799579107824e-29,3.7822268361324491e-27,5.3392184392091424e-13,1.2664106777550521e-18,1.2588509876566575e-25,1.0348781600032142e-28,1.9190101456885645e-37,0.0,1.551310332123901e-23,5.0464885254551573e-18,1.7350058179486982e-24,1.7350058545149211e-24,3.152040054298323e-32,5.0458221287592193e-33,3.4653812320252021e-26,1.2705288697733682e-19,5.2824142807567296e-27,4.2280710924548831e-28,2.0388162891998972e-57,2.5291009485369482e-33
3.845238089240318e-17,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999995686313536,9.5,1.4427615199268089e-10,2.3037109090522167e-09,2.3037109220419268e-09,2.4386469867673452e-16,1.550193374733082e-16,3.8382613275776973e-08,6.9705793109678375e-13,1.1893463618927509e-16,1.1320113251913871e-24,3.3090868038785321e-28,2.5150455575764378e-26,1.8558231641434749e-12,4.4019405298905906e-18,4.5758132430279197e-25,6.8517112604994494e-28,2.4882100635235625e-36,0.0,1.0301040042481743e-22,1.7541178664826661e-17,1.1521074463486857e-23,1.1521074936594083e-23,4.0781874147592847e-31,6.5288483412269876e-32,2.3010207508510615e-25,4.4162590847235275e-19,3.507366993062066e-26,2.8074959235489217e-27,1.7882268556941371e-55,3.2724138876367016e-32
7.41183575914034e-17,0.2237592425334239,76.950000000000003,0.0,0.0,0.0,0.99999991685219314,9.5,2.7809750555946552e-10,4.4404857451481478e-09,4.4404856383039007e-09,9.0591249847792474e-16,4.2078753680018298e-16,7.3979253166394403e-08,2.5893219823815995e-12,4.4180265307374807e-16,4.4876830311414766e-24,2.4060705865295221e-27,1.8292576935098569e-25,6.8937221762305894e-12,1.6352451101948631e-17,1.7427639598827438e-24,4.951611132314524e-27,3.5792192749164943e-35,0.0,7.4881284105420185e-22,6.5162419561549559e-17,8.3753811791659099e-23,8.3753818591433313e-23,5.8613008871518243e-30,9.3847333870564141e-31,1.6725799851773571e-24,1.6405672285214584e-18,2.5492116657143588e-25,2.0407989924878621e-26,1.8854958290568092e-53,4.7037953258033683e-31
1.0978433429040361e-16,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999987684131142,9.4999999999999964,4.1191885371186609e-10,6.5772601611403346e-09,6.5772597338993455e-09,1.9874716676582234e-15,7.3035736145484369e-16,1.0957144212967742e-07,5.6804658228849104e-12,9.6923377724458645e-16,1.0073890256516551e-23,7.4344972101229499e-27,5.6521053047188236e-25,1.5123477691863593e-11,3.5875561236186159e-17,3.8569354600676994e-24,1.5236336759071738e-26,1.4774310973581563e-34,0.0,2.3133092723383262e-21,1.4295943656464194e-16,2.5874869880274337e-22,2.5874872686400553e-22,2.4188126424682923e-29,3.8731357057192134e-30,5.1668962908824093e-24,3.5992378245768667e-18,7.8744536335985394e-25,6.304535544279641e-26,1.7118082646484448e-52,1.9412716669566298e-30
