Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83)
1.2834191057354868e-10,0.5299519990448525,76.950000000000003,0.0,0.0,0.0,5.0179831825541324e-05,9.4999949473150771,0.00039170810567943178,0.001498725055427515,0.0014942928147738564,4.7459259975268824e-06,5.8166776266696256e-11,4.0304262120551941e-05,0.18777442708961287,3.063886960564068e-07,1.7477420851942482e-14,3.1205361023111951e-10,3.9264711440677538e-09,0.80874348351634273,1.822707981917396e-06,9.1788290093195604e-16,2.0852726078171133e-17,4.8312423201630412e-12,0.0
1.2891641174536054e-10,0.5299519990448439,76.950000000000003,0.0,0.0,0.0,4.9050306127209458e-05,9.4999949473136667,0.00039170038005781533,0.0014987250005671765,0.0014942927948397332,4.7459259343418379e-06,5.8166774137512835e-11,4.0269200489444928e-05,0.18768759347829148,3.0638868484225316e-07,1.7477420619256251e-14,3.1353806930161102e-10,3.9453640458880059e-09,0.80883148948815664,1.8227149033866094e-06,9.1788286733646116e-16,2.0950254156705446e-17,4.8599226977251496e-12,0.0
1.294909129171724e-10,0.5299519990448356,76.950000000000003,0.0,0.0,0.0,4.7972749987355349e-05,9.4999949473122562,0.00039169263389296759,0.0014987249456913363,0.0014942927748901604,4.7459258710990428e-06,5.816677200772775e-11,4.0234983612825556e-05,0.1876007901107305,3.0638867362485471e-07,1.7477420386357353e-14,3.1502252782949034e-10,3.9642569417556132e-09,0.808919412422615,1.8227216809762218e-06,9.1788283373124554e-16,2.1047807474275907e-17,4.8886074405484189e-12,0.0
1.3006541408898426e-10,0.5299519990448268,76.950000000000003,0.0,0.0,0.0,4.6944749056018651e-05,9.4999949473108458,0.00039168486813817419,0.0014987248908010324,0.0014942927549261727,4.7459258078024442e-06,5.8166769877381358e-11,4.0201572613772103e-05,0.18751401747988347,3.0638866240442954e-07,1.7477420153260315e-14,3.1650698583706856e-10,3.9831498317864952e-09,0.80900725427902975,1.822728321304616e-06,9.1788280011696236e-16,2.1145384857518028e-17,4.9172964424219238e-12,0.0
1.3063991526079612e-10,0.5299519990448183,76.950000000000003,0.0,0.0,0.0,4.5964001157874593e-05,9.4999949473094354,0.00039167708370243392,0.0014987248358972252,0.0014942927349487277,4.7459257444556859e-06,5.8166767746510869e-11,4.0168930421473623e-05,0.18742727605490045,3.0638865118117903e-07,1.7477419919978561e-14,3.1799144334562092e-10,4.0020427160935429e-09,0.80909501692657948,1.8227348306827042e-06,9.178827664942147e-16,2.1242985187595949e-17,4.9459895997178746e-12,0.0
1.3121441643260798e-10,0.5299519990448096,76.950000000000003,0.0,0.0,0.0,4.5028311080407015e-05,9.499994947308025,0.00039166928145251698,0.0014987247809808055,0.0014942927149587111,4.7459256810621392e-06,5.8166765615150897e-11,4.0137021687314981e-05,0.18734056628223492,3.0638863995528986e-07,1.74774196865245e-14,3.1947590037543469e-10,4.0209355947867035e-09,0.80918270214849708,1.8227412151282148e-06,9.1788273286356246e-16,2.1340607397668751e-17,4.974686811328788e-12,0.0
1.3178891760441985e-10,0.5299519990448012,76.950000000000003,0.0,0.0,0.0,4.4135585604232529e-05,9.4999949473066145,0.00039166146221492607,0.0014987247260525977,0.0014942926949569454,4.7459256176249221e-06,5.816676348333339e-11,4.0105812704860952e-05,0.18725388858669842,3.0638862872693482e-07,1.7477419452909613e-14,3.2096035694585562e-10,4.039828467973059e-09,0.80927031164606322,1.8227474803793141e-06,9.1788269922552254e-16,2.1438250470474333e-17,5.0033879786061769e-12,0.0
1.323634187762317e-10,0.5299519990447926,76.950000000000003,0.0,0.0,0.0,4.3283828764324588e-05,9.4999949473052041,0.00039165362677776803,0.0014987246711133659,0.0014942926749441923,4.7459255541469195e-06,5.816676135108805e-11,4.007527133355761e-05,0.18716724337246635,3.0638861749627432e-07,1.7477419219144536e-14,3.224448130753308e-10,4.0587213357569109e-09,0.80935784704241265,1.8227536319075939e-06,9.1788266558057633e-16,2.1535913436025653e-17,5.0320930053007526e-12,0.0
1.3293791994804357e-10,0.5299519990447842,76.950000000000003,0.0,0.0,0.0,4.2471137331409767e-05,9.4999949473037937,0.00039164577589253743,0.0014987246161638189,0.0014942926549211583,4.745925490630808e-06,5.8166759218442335e-11,4.0045366925978927e-05,0.18708063102403763,3.0638860626345684e-07,1.7477418985239115e-14,3.2392926878145123e-10,4.0776141982398453e-09,0.80944530988616548,1.8227596749304606e-06,9.1788263192916818e-16,2.1633595369413889e-17,5.0608017975040502e-12,0.0
1.3351242111985543e-10,0.5299519990447755,76.950000000000003,0.0,0.0,0.0,4.1695696503306385e-05,9.4999949473023833,0.00039163791027581769,0.0014987245612046157,0.0014942926348884983,4.7459254270790677e-06,5.8166757085421895e-11,4.0016070258453594e-05,0.18699405190714891,3.0638859502862047e-07,1.747741875120249e-14,3.2541372408099067e-10,4.0965070555208187e-09,0.80953270165488755,1.8227656144229396e-06,9.1788259827171162e-16,2.1731295388713891e-17,5.0895142635915083e-12,0.0
