Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157)
3.730706746622423e-15,0.20021579939992334,76.950000000000003,0.0,0.0,0.0,0.9999999808269846,9.4999999999999289,5.3208822499553894e-10,7.0858529285188474e-09,7.0857877371085398e-09,6.8015483307788934e-14,2.8240730019572566e-15,4.4627780919380806e-09,6.4375852886866576e-12
4.479505880446048e-15,0.20021579939992332,76.950000000000003,0.0,0.0,0.0,0.99999997697879661,9.4999999999998987,6.38884931972787e-10,8.5080714859253734e-09,8.5079768335302029e-09,9.8055584209655702e-14,3.403189039950623e-15,5.3568896369876673e-09,9.2790797667921052e-12
5.2283050142696734e-15,0.20021579939992315,76.950000000000003,0.0,0.0,0.0,0.99999997313063338,9.4999999999998632,7.4568163834445448e-10,9.9302900323881097e-09,9.930160439923965e-09,1.3357476711584076e-13,3.9823029706446969e-15,6.2504591618354777e-09,1.2637887240446438e-11
6.725903281916924e-15,0.20021579939992296,76.950000000000003,0.0,0.0,0.0,0.99999996543438074,9.4999999999997744,9.592750492710569e-10,1.2774727092482147e-08,1.27745111831171e-08,2.2104988987093295e-13,5.1405248273961572e-15,8.0359733207672772e-09,2.0906324651350432e-11
8.223501549564174e-15,0.2002157993999227,76.950000000000003,0.0,0.0,0.0,0.99999995773822714,9.4999999999996643,1.1728684577753675e-09,1.5619164108791372e-08,1.5618839967777753e-08,3.3043976232436333e-13,6.298748706908919e-15,9.8193231733305511e-09,3.1240411635359146e-11
9.721099817211425e-15,0.2002157993999224,76.950000000000003,0.0,0.0,0.0,0.99999995004217201,9.4999999999995328,1.3864618638574079e-09,1.8463601081322738e-08,1.8463146795056668e-08,4.61743234316256e-13,7.4569682503210574e-15,1.1600511466182265e-08,4.3637526721276954e-11
1.1218698084858676e-14,0.20021579939992204,76.950000000000003,0.0,0.0,0.0,0.99999994234621536,9.4999999999993765,1.6000552675172e-09,2.1308038010065362e-08,2.130743166608446e-08,6.1495917581412057e-13,8.615194915980436e-15,1.3379540893634834e-08,5.8095098396723841e-11
1.2716296352505927e-14,0.2002157993999217,76.950000000000003,0.0,0.0,0.0,0.9999999346503573,9.4999999999992006,1.8136486687547649e-09,2.4152474895035789e-08,2.4151694581959891e-08,7.9008648861879663e-13,9.7734127205607459e-15,1.5156414070311212e-08,7.4610631206732504e-11
1.4213894620153177e-14,0.20021579939992123,76.950000000000003,0.0,0.0,0.0,0.99999992695459738,9.4999999999990035,2.0272420675701235e-09,2.699691173621941e-08,2.6995935543767506e-08,9.8712408871881254e-13,1.0931636828767691e-14,1.6931133573826537e-08,9.3181665017432489e-11
1.5711492887800427e-14,0.20021579939992074,76.950000000000003,0.0,0.0,0.0,0.99999991925893561,9.4999999999987814,2.2408354639632956e-09,2.9841348533627793e-08,2.9840154552597542e-08,1.2060708864523691e-12,1.2089856211451948e-14,1.8703701992862762e-08,1.1380572913252147e-10
1.7209091155447676e-14,0.20021579939992015,76.950000000000003,0.0,0.0,0.0,0.99999991156337187,9.4999999999985398,2.454428857934303e-09,3.2685785287244933e-08,3.2684351609552999e-08,1.4469257793722224e-12,1.3248087436581041e-14,2.0474121944104892e-08,1.3648032612898501e-10
2.0204287690742177e-14,0.20021579939991888,76.950000000000003,0.0,0.0,0.0,0.99999989617253804,9.4999999999979909,2.8816156386099083e-09,3.8374658663165177e-08,3.8372679872235422e-08,1.9943554577481957e-12,1.5564527984137643e-14,2.4008526852877317e-08,1.8797118354233331e-10
2.2899964572507228e-14,0.20021579939991757,76.950000000000003,0.0,0.0,0.0,0.99999988232112147,9.4999999999974207,3.2660837329343598e-09,4.3494644551769973e-08,4.3492100244284509e-08,2.5619568134379799e-12,1.7649327971136971e-14,2.7182169649691121e-08,2.4130083023427746e-10
2.5595641454272278e-14,0.20021579939991613,76.950000000000003,0.0,0.0,0.0,0.99999986847002087,9.4999999999967795,3.6505518194113218e-09,4.8614630298528262e-08,4.8611449509374418e-08,3.2005232917274423e-12,1.9734137891509352e-14,3.0348891867130152e-08,3.0123559107992253e-10
2.829131833603733e-14,0.20021579939991455,76.950000000000003,0.0,0.0,0.0,0.99999985461923513,9.4999999999960671,4.035019898040917e-09,5.373461590346944e-08,5.3730727673911194e-08,3.910048489817627e-12,2.1818931551746481e-14,3.3508708590197105e-08,3.6776106861332284e-10
3.098699521780238e-14,0.20021579939991271,76.950000000000003,0.0,0.0,0.0,0.99999984076876391,9.4999999999952838,4.4194879688232664e-09,5.8854601366579298e-08,5.8849934744297796e-08,4.6905260079283076e-12,2.3903726426882287e-14,3.6661634865080913e-08,4.4086290241329686e-10
3.6378348981332483e-14,0.20021579939990866,76.950000000000003,0.0,0.0,0.0,0.99999981306876162,9.4999999999935056,5.1884240868467077e-09,6.9094571867308127e-08,6.908813562824843e-08,6.4643123892347259e-12,2.8073329512025598e-14,4.2946876136673015e-08,6.0673831011441752e-10
4.1769702744862584e-14,0.20021579939990394,76.950000000000003,0.0,0.0,0.0,0.99999978537000878,9.4999999999914433,5.9573601734826086e-09,7.9334541800755307e-08,7.9326052212469925e-08,8.521831217640031e-12,3.224293221680829e-14,4.9204735472256081e-08,7.9874748357880199e-10
4.7161056508392685e-14,0.20021579939989856,76.950000000000003,0.0,0.0,0.0,0.99999975767249982,9.4999999999890967,6.7262962287319294e-09,8.9574511166948996e-08,8.9563684548207346e-08,1.0863031273613711e-11,3.6412531959628009e-14,5.5435332166284757e-08,1.0167765654952365e-09
5.2552410271922786e-14,0.20021579939989254,76.950000000000003,0.0,0.0,0.0,0.99999972997622932,9.4999999999864695,7.4952322525956273e-09,9.9814479965911441e-08,9.9801032686697914e-08,1.3487861345433515e-11,4.0582131876589196e-14,6.1638784996966551e-08,1.2607121912704474e-09
6.333511779898299e-14,0.2002157993998785,76.950000000000003,0.0,0.0,0.0,0.99999967458738248,9.4999999999803606,9.0331042061699376e-09,1.20294415862245e-07,1.2027487657682558e-07,1.9588206750419669e-11,4.8921331016789202e-14,7.3964731566122932e-08,1.8258521118356105e-09
7.411782532604319e-14,0.20021579939986195,76.950000000000003,0.0,0.0,0.0,0.99999961920342517,9.4999999999731166,1.0570976034213105e-08,1.4077434948995732e-07,1.4074758429254034e-07,2.6822457946441772e-11,5.7260529429190403e-14,8.6183515042989397e-08,2.4932702186316817e-09
8.490053285310339e-14,0.2002157993998428,76.950000000000003,0.0,0.0,0.0,0.99999956382431499,9.4999999999647429,1.210884773673261e-08,1.6125428084924824e-07,1.6121915624337413e-07,3.5190205600946501e-11,6.5599726764766536e-14,9.8296067102365997e-08,3.2620773002704342e-09
1.0032248467186793e-13,0.20021579939981085,76.950000000000003,0.0,0.0,0.0,0.99999948462676314,9.4999999999507931,1.430838629308078e-08,1.9054566906291404e-07,1.9049661930109733e-07,4.9127288666797679e-11,7.7526850033236349e-14,1.1543723801731766e-07,4.5361193811944004e-09
1.1574443649063246e-13,0.2002157993997736,76.950000000000003,0.0,0.0,0.0,0.99999940543891874,9.499999999934527,1.6507924592693054e-08,2.1983705263724792e-07,2.19771761060407e-07,6.5381030812725138e-11,8.9453971785994612e-14,1.3236566234492336e-07,6.013210200438877e-09
1.31166388309397e-13,0.20021579939973105,76.950000000000003,0.0,0.0,0.0,0.99999932626066113,9.4999999999159463,1.8707462635590662e-08,2.4912843157281581e-07,2.4904458271789818e-07,8.3950236008984227e-11,1.0138109135399935e-13,1.4908398055505997e-07,7.6908296341530975e-09
1.4658834012816155e-13,0.20021579939968326,76.950000000000003,0.0,0.0,0.0,0.99999924709187205,9.4999999998950528,2.0907000421794581e-08,2.7841980587017623e-07,2.7831508546953909e-07,1.0483370884557691e-10,1.1330820845738478e-13,1.6559480033658234e-07,9.5664888454310652e-09
1.620102919469261e-13,0.20021579939963008,76.950000000000003,0.0,0.0,0.0,0.9999991679324336,9.499999999871843,2.3106537951325501e-08,3.0771117552987911e-07,3.0758327051067681e-07,1.2803025452666285e-10,1.2523532432421723e-13,1.8190069700635594e-07,1.1637729893921802e-08
1.7743224376569065e-13,0.20021579939957168,76.950000000000003,0.0,0.0,0.0,0.99999908878223009,9.4999999998463238,2.5306075224203873e-08,3.370025405524691e-07,3.3684913903603194e-07,1.5353867887612359e-10,1.3716243897598674e-13,1.9800421392889451e-07,1.3902125335317568e-08
2.0827614740321972e-13,0.20021579939943898,76.950000000000003,0.0,0.0,0.0,0.99999893050907107,9.4999999997883524,2.970514900008352e-08,3.9558525668845838e-07,3.9537393131517661e-07,2.114863899421312e-10,1.6101666029590127e-13,2.2961412437348844e-07,1.9000820052644562e-08
2.3603566067699586e-13,0.20021579939930145,76.950000000000003,0.0,0.0,0.0,0.99999878809367782,9.4999999997282814,3.3664314520823516e-08,4.4830968535724874e-07,4.4803833385512806e-07,2.7153398757447678e-10,1.8248545390939874e-13,2.5739577946446369e-07,2.4226492609854841e-08
2.63795173950772e-13,0.20021579939914677,76.950000000000003,0.0,0.0,0.0,0.99999864570646702,9.4999999996607407,3.7623479210315908e-08,5.0103409900996214e-07,5.0069524943578389e-07,3.3905352841630755e-10,2.0395423821521444e-13,2.8455985935526851e-07,3.0041588325560944e-08
2.915546872245482e-13,0.20021579939897508,76.950000000000003,0.0,0.0,0.0,0.99999850334681362,9.4999999995857358,4.1582643068671083e-08,5.5375849764952499e-07,5.5334468500227604e-07,4.1403807027501929e-10,2.2542302612200163e-13,3.1112009246853438e-07,3.6433004484367149e-08
3.1931420049832435e-13,0.20021579939878623,76.950000000000003,0.0,0.0,0.0,0.99999836101410566,9.4999999995032702,4.5541806095996986e-08,6.0648288127883677e-07,6.059866474932321e-07,4.9648067739649509e-10,2.4689179176940705e-13,3.3708990181068181e-07,4.3387929866980565e-08
3.470737137721005e-13,0.20021579939858036,76.950000000000003,0.0,0.0,0.0,0.99999821870774497,9.4999999994133546,4.9500968292399172e-08,6.5920724990066476e-07,6.5862114384075502e-07,5.8637442048776603e-10,2.6836057837161474e-13,3.6248241210511802e-07,5.0893837942126137e-08
3.748332270458767e-13,0.20021579939835746,76.950000000000003,0.0,0.0,0.0,0.99999807642714655,9.4999999993159943,5.346012965798086e-08,7.119316035178339e-07,7.1124818097043509e-07,6.8371237670658283e-10,2.8982930804866364e-13,3.8731045653440786e-07,5.8938480431667414e-08
4.0259274031965284e-13,0.2002157993981176,76.950000000000003,0.0,0.0,0.0,0.99999793417173866,9.4999999992111999,5.7419290192842932e-08,7.646559421328872e-07,7.6386776580138154e-07,7.8848762963037199e-10,3.1129812486786408e-13,4.1158658297828921e-07,6.7509881356904299e-08
4.30352253593429e-13,0.20021579939786063,76.950000000000003,0.0,0.0,0.0,0.99999779194096161,9.4999999990989732,6.1378449897084081e-08,8.1738026574871348e-07,8.1647990524623416e-07,9.0069326924613986e-10,3.3276676690790301e-13,4.3532306019883452e-07,7.6596331135315448e-08
4.858712801409813e-13,0.20021579939729575,76.950000000000003,0.0,0.0,0.0,0.99999750755112671,9.4999999988522568,6.9296766814087495e-08,9.2282886799210712e-07,9.2168187559578741e-07,1.147368100642572e-09,3.7570432293330335e-13,4.8122478457683034e-07,9.6268834494163025e-08
5.413903066885336e-13,0.20021579939666306,76.950000000000003,0.0,0.0,0.0,0.99999722325341178,9.4999999985758983,7.7215080409737503e-08,1.0282774102680865e-06,1.0268541471907623e-06,1.42368171910146e-09,4.1864177718943983e-13,5.2510843313989729e-07,1.1786741678729325e-07
5.913574305813307e-13,0.20021579939603565,76.950000000000003,0.0,0.0,0.0,0.99999696746088496,9.4999999983018828,8.4341559806656002e-08,1.123181047060006e-06,1.1214838447071931e-06,1.6976596382562873e-09,4.5728544355671192e-13,5.6295167429133008e-07,1.3888287202134647e-07
6.413245544741279e-13,0.20021579939535356,76.950000000000003,0.0,0.0,0.0,0.99999671173687343,9.4999999980039398,9.1468036514355378e-08,1.2180846353067061e-06,1.2160895709125219e-06,1.995560323499777e-09,4.9592931650595775e-13,5.9929416383814601e-07,1.6133066374982625e-07
6.91291678366925e-13,0.20021579939461676,76.950000000000003,0.0,0.0,0.0,0.99999645607866394,9.4999999976821208,9.8594510533314601e-08,1.3129881750214951e-06,1.3106713658127059e-06,2.3173437816225157e-09,5.3457283375495324e-13,6.3419541687593582e-07,1.8515398942664491e-07
7.412588022597222e-13,0.20021579939382536,76.950000000000003,0.0,0.0,0.0,0.99999620048365179,9.4999999973364542,1.0572098186399355e-07,1.4078916662163277e-06,1.405229269346376e-06,2.6629700862352162e-09,5.7321628419121882e-13,6.6771258804431063e-07,2.1029829937800232e-07
7.912259261525193e-13,0.20021579939297943,76.950000000000003,0.0,0.0,0.0,0.99999594494933519,9.4999999969669862,1.1284745050683393e-07,1.502795108902466e-06,1.4997633213849564e-06,3.0323993776725889e-09,6.1186016340704905e-13,6.9990056538560836e-07,2.3671120722152637e-07
8.411930500453164e-13,0.20021579939207917,76.950000000000003,0.0,0.0,0.0,0.99999568947331208,9.499999996573754,1.1997391646226005e-07,1.5976985030919922e-06,1.5942735617327793e-06,3.4255918628944741e-09,6.5050368210760899e-13,7.3081206032883119e-07,2.643424039835776e-07
8.911601739381136e-13,0.20021579939112455,76.950000000000003,0.0,0.0,0.0,0.99999543405327462,9.4999999961568022,1.2710037973067925e-07,1.6926018487955929e-06,1.6887600301272164e-06,3.842507815375373e-09,6.891469998236586e-13,7.6049769400603719e-07,2.9314357571694366e-07
9.411272978309106e-13,0.2002157993901157,76.950000000000003,0.0,0.0,0.0,0.9999951786870076,9.4999999957161609,1.3422684031248311e-07,1.7875051460228998e-06,1.783222766238813e-06,4.2831075749864733e-09,7.2779090038214491e-13,7.8900608007481918e-07,3.230683244532027e-07
9.910944217237077e-13,0.2002157993890527,76.950000000000003,0.0,0.0,0.0,0.99999492337238272,9.4999999952518799,1.4135329820804736e-07,1.8824083947848914e-06,1.8776618096714213e-06,4.7473515478801253e-09,7.6643441034293613e-13,8.1638390430055628e-07,3.5407209224763142e-07
1e-12,0.20021579938793574,76.950000000000003,0.0,0.0,0.0,0.99999487787324015,9.4999999951666521,1.4262343764345092e-07,1.8993228775577649e-06,1.8944910781464643e-06,4.8325727330109936e-09,7.7332171133019027e-13,8.2114816030695528e-07,3.5970785992100957e-07
1.0410615456165049e-12,0.20021579938793574,76.950000000000003,0.0,0.0,0.0,0.99999466810735693,9.4999999947639928,1.4847975341773309e-07,1.9773115950911809e-06,1.9720771999623257e-06,5.2352002063794166e-09,8.050775250888246e-13,8.4267600102510836e-07,3.8611208819576399e-07
1.091028669509302e-12,0.2002157993867648,76.950000000000003,0.0,0.0,0.0,0.99999441288996771,9.4999999942525406,1.5560620594188703e-07,2.0722147469498019e-06,2.0664689765823696e-06,5.7466140888700561e-09,8.43721438362473e-13,8.6792542661464786e-07,4.1914721833312748e-07
1.1409957934020991e-12,0.20021579938553993,76.950000000000003,0.0,0.0,0.0,0.99999415771833045,9.4999999937175623,1.6273265578084219e-07,2.1671178503707799e-06,2.1608371789360774e-06,6.2815537996911577e-09,8.8236498950644657e-13,8.9217352997544242e-07,4.5313801833339413e-07
1.1909629172948963e-12,0.20021579938426132,76.950000000000003,0.0,0.0,0.0,0.99999390259063503,9.499999993159097,1.698591029349185e-07,2.2620209053629456e-06,2.2551818463617784e-06,6.8399800090244236e-09,9.210078587579259e-13,9.1546002025753665e-07,4.8804658889046323e-07
1.2409300411876934e-12,0.2002157993829291,76.950000000000003,0.0,0.0,0.0,0.99999364750514363,9.4999999925771839,1.7698554740442328e-07,2.3569239119327483e-06,2.349503018131738e-06,7.4218534527830498e-09,9.5965177376280303e-13,9.3782303187287767e-07,5.2383653366370011e-07
1.2908971650804906e-12,0.20021579938154319,76.950000000000003,0.0,0.0,0.0,0.99999339246018726,9.4999999919718654,1.8411198918965146e-07,2.4518268700893406e-06,2.4438007334522714e-06,8.0271349325014463e-09,9.9829543397414374e-13,9.5929918694316894e-07,5.6047289967629919e-07
1.3408642889732877e-12,0.20021579938010384,76.950000000000003,0.0,0.0,0.0,0.99999313745416263,9.4999999913431754,1.9123842829088665e-07,2.5467297798410989e-06,2.5380750314638772e-06,8.6557853152257672e-09,1.0369380052900103e-12,9.7992365527629863e-07,5.9792212007243213e-07
1.3908314128660848e-12,0.20021579937861103,76.950000000000003,0.0,0.0,0.0,0.99999288248553042,9.4999999906911583,1.98364864708401e-07,2.6416326411928651e-06,2.6323259512413485e-06,9.307765533404719e-09,1.0755818894740625e-12,9.9973021196332225e-07,6.3615195914539114e-07
1.440798536758882e-12,0.20021579937706488,76.950000000000003,0.0,0.0,0.0,0.99999262755281226,9.4999999900158478,2.0549129844245607e-07,2.7365354541529293e-06,2.7265535317939015e-06,9.9830365847802052e-09,1.1142257538477758e-12,1.0187512926881069e-06,6.7513145954882164e-07
1.490765660651679e-12,0.20021579937546558,76.950000000000003,0.0,0.0,0.0,0.99999237265458862,9.4999999893172848,2.1261772949330304e-07,2.8314382187295978e-06,2.8207578120652936e-06,1.0681559532278049e-08,1.1528679738705777e-12,1.0370180468421367e-06,7.1483089160275368e-07
1.5407327845444762e-12,0.20021579937381306,76.950000000000003,0.0,0.0,0.0,0.99999211778949582,9.499999988595512,2.1974415786118311e-07,2.9263409349260771e-06,2.9149388309339409e-06,1.1403295503898834e-08,1.1915117637352043e-12,1.054560388533737e-06,7.5522170460925602e-07
1.5906999084372734e-12,0.20021579937210754,76.950000000000003,0.0,0.0,0.0,0.99999186295622478,9.499999987850563,2.2687058354632811e-07,3.0212436027496927e-06,3.0090966272130426e-06,1.2148205692609097e-08,1.2301559596448324e-12,1.0714070455756439e-06,7.9627648009759262e-07
1.6406670323300705e-12,0.20021579937034895,76.950000000000003,0.0,0.0,0.0,0.99999160815351773,9.4999999870824787,2.3399700654896049e-07,3.116146222209148e-06,3.1032312396506959e-06,1.2916251356232738e-08,1.2687977812759079e-12,1.0875856065302329e-06,8.379688869232015e-07
1.6906341562228676e-12,0.20021579936853762,76.950000000000003,0.0,0.0,0.0,0.99999135338016765,9.4999999862912983,2.4112342686929421e-07,3.2110487933059899e-06,3.1973427069300138e-06,1.3707393817342606e-08,1.3074413676463453e-12,1.1031225658886749e-06,8.8027363814769136e-07
