Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63)
1.0176426027196035e-16,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999946515563642,9.5,8.4675541687194718e-10,7.3128653618421914e-09,7.3128647560411115e-09,1.1012182247276674e-15,3.6558582779131209e-16,5.1926608225025688e-07,2.6200302153090029e-11,5.1043929536404372e-16,4.8895479717898273e-24,3.1008315650801356e-27,1.2207269058735794e-24,7.9593208873398641e-11,3.007634614970275e-17,1.8040700866697636e-24,7.3759501969317439e-27,5.9434863049065853e-34,0.0,2.3817818966585196e-20,3.8060797781632652e-16
1.2241979909902363e-16,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.9999993565962787,9.5,1.018625027053356e-09,8.7971886600835359e-09,8.7971877148075764e-09,1.5936194756706605e-15,4.6047754274395562e-16,6.2463762225900776e-07,3.7914624868294302e-11,7.3866122736222261e-16,7.1134901609621869e-24,5.3288307498650438e-27,2.0978073632714291e-24,1.151798418933994e-10,4.3524857255060368e-17,2.6160984658631695e-24,1.2641883617277552e-26,1.1951999402514837e-33,0.0,4.0930317889679884e-20,5.5079525386792155e-16
1.430753379260869e-16,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999924803703932,9.5,1.1904946185094788e-09,1.0281511594052019e-08,1.0281510229219869e-08,2.1767547743134331e-15,5.5533810872966338e-16,7.300003303172883e-07,5.1787013820858714e-11,1.0089279384798025e-15,9.7531688471325845e-24,8.4277972371078496e-27,3.3177262705398104e-24,1.5732240766647936e-10,5.9451562741167326e-17,3.5785633545734687e-24,1.9940775374166468e-26,2.1636072166079398e-33,0.0,6.4731651528500547e-20,7.5234342479671783e-16
1.8438641558021346e-16,0.43514100478192397,76.950000000000003,0.0,0.0,0.0,0.99999903091891673,9.4999999999999964,1.534233745245939e-09,1.3250156369290149e-08,1.325015392498585e-08,3.6152250061339878e-15,7.4485909762640067e-16,9.4069925319473604e-07,8.600535129296228e-11,1.6755840217055531e-15,1.6279723430050332e-23,1.7757208256358222e-26,6.9901421317977266e-24,2.6127339590156286e-10,9.8739552796752201e-17,5.9547608818350108e-24,4.1797799118945966e-26,5.6857331840397886e-33,0.0,1.3638183396734254e-19,1.249522415556764e-15
2.2569749323434e-16,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999881380126854,9.4999999999999947,1.8779727970814904e-09,1.6218799688002379e-08,1.621879584334785e-08,5.4166232792259715e-15,9.3373231743860125e-16,1.1513628567563537e-06,1.2885387745144761e-10,2.5103812906210723e-15,2.446918457584087e-23,3.2255157742637198e-26,1.2696816637651381e-23,3.9144180795724221e-10,1.479403071842559e-16,8.9325687297287832e-24,7.5536871543412309e-26,1.235172527862902e-32,0.0,2.4771964019987307e-19,1.8721448696915286e-15
2.6700857088846656e-16,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999859668409441,9.4999999999999893,2.2217117740163035e-09,1.9187441549795054e-08,1.9187435984315152e-08,7.5809436392547077e-15,1.1223823774200076e-15,1.3619911472018331e-06,1.8033107543157788e-10,3.5132920336956165e-15,3.4321525387999486e-23,5.3152684312049658e-26,2.0922082682104933e-23,5.4782303596041258e-10,2.0705381627951292e-16,1.2511887746162585e-23,1.2383577548785386e-25,2.3727390267039873e-32,0.0,4.0819312849396024e-19,2.620210702508307e-15
3.083196485425931e-16,0.4351410047819239,76.950000000000003,0.0,0.0,0.0,0.99999837956739457,9.4999999999999858,2.5654506760505449e-09,2.215608195435839e-08,2.2156074347896827e-08,1.0108180252304294e-14,1.3111493856619227e-15,1.5725841306048491e-06,2.4043545920107912e-10,4.6842891023458171e-15,4.5836718512827911e-23,8.1656097798706442e-26,3.2140460794235789e-23,7.3041256569963517e-10,2.7608007066516498e-16,1.6692620793680333e-23,1.8924951078490086e-25,4.1731651712018511e-32,0.0,6.2705837188777369e-19,3.4937198311862093e-15
3.4963072619671964e-16,0.43514100478192386,76.950000000000003,0.0,0.0,0.0,0.99999816245116879,9.4999999999999822,2.9091895031843788e-09,2.5124720901733235e-08,2.5124710934101736e-08,1.2998327448025941e-14,1.5000219621394719e-15,1.7831418128678221e-06,3.0916558462800344e-10,6.0233461131316479e-15,5.9014739039248989e-23,1.189379769696393e-25,4.6813116775727309e-23,9.3920601024666331e-10,3.5501906119007124e-16,2.1474673471756301e-23,2.741957705440462e-25,6.8606502431283621e-32,0.0,9.1331046363217304e-19,4.492672175262522e-15
4.107796212788744e-16,0.43514100478192386,76.950000000000003,0.0,0.0,0.0,0.99999784107535128,9.4999999999999734,3.4179935574455354e-09,2.951891469542617e-08,2.9518900644846609e-08,1.7942489326270141e-14,1.7796389491688093e-15,2.0947457203595768e-06,4.2673073012300122e-10,8.3138622320198627e-15,8.1573162644057955e-23,1.9271975023019116e-25,7.58487615075475e-23,1.2963540822061841e-09,4.900608823026664e-16,2.9656682305616814e-23,4.4077965637267918e-25,1.3018337827557035e-31,0.0,1.4797622471383523e-18,6.2015915157415596e-15
4.719285163610291e-16,0.43514100478192386,76.950000000000003,0.0,0.0,0.0,0.99999751970057205,9.4999999999999662,3.9267974476000977e-09,3.3913105296905494e-08,3.3913086461390594e-08,2.3681760916984088e-14,2.0591469609628277e-15,2.4062723146519048e-06,5.6318714437521497e-10,1.0972456531900012e-14,1.0777471302885306e-22,2.9207856664588503e-25,1.1494681185256617e-22,1.710891445934577e-09,6.468215488853669e-16,3.9155677407384456e-23,6.6273795321784946e-25,2.2633530284144934e-31,0.0,2.2425030032301022e-18,8.1853576459889474e-15
