Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57)
4.039884089464294e-13,0.21827346390623098,76.950000000000003,0.0,0.0,0.0,0.9999999968251706,9.499999999998094,2.2166246659639076e-10,1.4733304943156441e-09,1.4731408214431021e-09,1.047392660527584e-12,3.1891645488198336e-15,4.2952176168265284e-12,4.9512843311218675e-13,8.545306234362144e-13
4.976756471960609e-13,0.21827346390622854,76.950000000000003,0.0,0.0,0.0,0.99999999608891521,9.499999999997117,2.7306726670493943e-10,1.8147681611790157e-09,1.814471700126632e-09,1.5892480477345345e-12,3.929368336185742e-15,5.1566559840296595e-12,7.3869137276066703e-13,1.2888576270143567e-12
5.913628854456923e-13,0.21827346390622557,76.950000000000003,0.0,0.0,0.0,0.99999999535266193,9.4999999999959428,3.2447206596444499e-10,2.1561203956841842e-09,2.155690105186944e-09,2.2435765547485968e-12,4.6693868923335228e-15,5.9729172019773974e-12,1.0254493564632202e-12,1.8086166706157393e-12
6.850501236953237e-13,0.21827346390622218,76.950000000000003,0.0,0.0,0.0,0.99999999461641054,9.4999999999945732,3.758768643749071e-10,2.4973887977621131e-09,2.4967960813311981e-09,3.0103334744104062e-12,5.4092236847418761e-15,6.7463820035586123e-12,1.3531261037199777e-12,2.4122078198103208e-12
7.787373619449551e-13,0.2182734639062183,76.950000000000003,0.0,0.0,0.0,0.99999999388016092,9.4999999999930065,4.2728166193632616e-10,2.8385749272120695e-09,2.8377896730058506e-09,3.8894743602646814e-12,6.148882095844677e-15,7.4792934092071896e-12,1.7195770044832015e-12,3.0980712719498122e-12
8.724246001945865e-13,0.21827346390621385,76.950000000000003,0.0,0.0,0.0,0.99999999314391297,9.4999999999912479,4.7868645864870222e-10,3.1796803218024755e-09,3.1786709248244471e-09,4.8809545987675828e-12,6.8883654611359214e-15,8.1737844221339667e-12,2.1227626390272683e-12,3.8646692552781085e-12
9.66111838444218e-13,0.218273463906209,76.950000000000003,0.0,0.0,0.0,0.99999999240766657,9.4999999999892975,5.3009125451203528e-10,3.5207064947593481e-09,3.5194398813402479e-09,5.9847296366593643e-12,7.6276770607439572e-15,8.8318966921279932e-12,2.5607309330039445e-12,4.7104885404983387e-12
1e-12,0.2182734639061979,76.950000000000003,0.0,0.0,0.0,0.99999999214135504,9.4999999999885461,5.4868518512537044e-10,3.644041852968261e-09,3.6426737762046862e-09,6.4116295959873598e-12,7.895056125564019e-15,9.0613603653320373e-12,2.7273603003025276e-12,5.0356577762850149e-12
1.1534863149434809e-12,0.2182734639061979,76.950000000000003,0.0,0.0,0.0,0.99999999093517844,9.4999999999848281,6.3290084369157325e-10,4.2025270457961369e-09,4.200641086651485e-09,8.5289859225910179e-12,9.1057976886482784e-15,1.0046459199118316e-11,3.5338692266797774e-12,6.6339209802489414e-12
1.3181809596310154e-12,0.21827346390618654,76.950000000000003,0.0,0.0,0.0,0.99999998964092485,9.4999999999802824,7.2326634357854241e-10,4.8015722357634804e-09,4.7990191177505639e-09,1.1135772215871574e-11,1.0404469320627776e-14,1.1011200583292355e-11,4.4875183370726858e-12,8.5722497336323565e-12
1.48287560431855e-12,0.21827346390617378,76.950000000000003,0.0,0.0,0.0,0.99999998834667525,9.4999999999751665,8.1363184084173138e-10,5.4003935640515479e-09,5.3970507793181305e-09,1.4088926485006308e-11,1.1702655582582655e-14,1.1888815746547894e-11,5.5244710859544191e-12,1.0734439096005099e-11
1.6475702490060845e-12,0.21827346390615962,76.950000000000003,0.0,0.0,0.0,0.99999998705242898,9.4999999999694875,9.0399733548114025e-10,5.9989983212603871e-09,5.9947363129837118e-09,1.7388207100471299e-11,1.3000372282494642e-14,1.2687161212736938e-11,6.6372156469774402e-12,1.3113198451513759e-11
1.812264893693619e-12,0.21827346390614402,76.950000000000003,0.0,0.0,0.0,0.99999998575818583,9.4999999999632525,9.9436282749676934e-10,6.5973935619110352e-09,6.592075960193904e-09,2.1033372615677754e-11,1.4297634714797301e-14,1.3413394089253992e-11,7.8189089240204885e-12,1.5701473263828861e-11
1.9769595383811536e-12,0.21827346390612706,76.950000000000003,0.0,0.0,0.0,0.99999998446394578,9.4999999999564686,1.0847283168886189e-09,7.1955861118185266e-09,7.1890699622038347e-09,2.5024181775495067e-11,1.5594457679861266e-14,1.4074030845437873e-11,9.0633203516331999e-12,1.8492437703122679e-11
2.1416541830686883e-12,0.21827346390610877,76.950000000000003,0.0,0.0,0.0,0.99999998316970817,9.4999999999491429,1.1750938036566895e-09,7.7935825744968995e-09,7.7857185600942834e-09,2.9360393499148599e-11,1.6890855494452511e-14,1.4674998542339927e-11,1.0364782912925193e-11,2.1479488241039165e-11
2.4710434724437574e-12,0.21827346390606817,76.950000000000003,0.0,0.0,0.0,0.99999998058124018,9.4999999999328963,1.3558247693214947e-09,8.9890125822402827e-09,8.9779805070018603e-09,3.9068061152846698e-11,1.9482430624120811e-14,1.5718990353148882e-11,1.3118721986867876e-11,2.8016503483799282e-11
2.8004327618188265e-12,0.21827346390602245,76.950000000000003,0.0,0.0,0.0,0.99999997799277995,9.4999999999145626,1.5365557244911871e-09,1.018373223047459e-08,1.0168863726271721e-08,5.0154450221696256e-11,2.2072465574764982e-14,1.6582888499087975e-11,1.6044853277856437e-11,3.5263873553252285e-11
3.1298220511938955e-12,0.2182734639059716,76.950000000000003,0.0,0.0,0.0,0.99999997540432639,9.4999999998941842,1.7172866691657681e-09,1.1377787047095403e-08,1.1358370140602007e-08,6.2617638007562091e-11,2.4661059058716783e-14,1.7297756683285425e-11,1.9113475973164241e-11,4.3176070455105699e-11
3.4592113405689646e-12,0.21827346390591582,76.950000000000003,0.0,0.0,0.0,0.99999997281587805,9.4999999998718092,1.8980176033452401e-09,1.257121964433806e-08,1.2546501669979212e-08,7.6455704523950096e-11,2.7248303466413647e-14,1.7889318978043867e-11,2.2299994619671202e-11,5.1710481861635174e-11
3.788600629944034e-12,0.218273463905855,76.950000000000003,0.0,0.0,0.0,0.99999997022743436,9.4999999998474784,2.0787485270296039e-09,1.3764069903789213e-08,1.3733260231685238e-08,9.1666732488964017e-11,2.9834285267848913e-14,1.8378857385465517e-11,2.5584060942856488e-11,6.0827226099724429e-11
4.1179899193191036e-12,0.2182734639057895,76.950000000000003,0.0,0.0,0.0,0.99999996763899457,9.499999999821231,2.2594794402188618e-09,1.4956375149603156e-08,1.4918647740333804e-08,1.0824880728888415e-10,3.2419085388064657e-14,1.8783967705069856e-11,2.8948851142153059e-11,7.0488978934146658e-11
4.447379208694173e-12,0.21827346390571933,76.950000000000003,0.0,0.0,0.0,0.99999996505055744,9.4999999997931077,2.4402103429130134e-09,1.6148170312728225e-08,1.610266610788591e-08,1.2620001696269575e-10,3.5002779563227988e-14,1.9119205135638877e-11,3.2380448614268674e-11,8.066080934082539e-11
4.7767684980692425e-12,0.21827346390564453,76.950000000000003,0.0,0.0,0.0,0.99999996246212308,9.4999999997631388,2.6209412351120611e-09,1.7339488085432713e-08,1.7285317243641521e-08,1.4551845221044565e-10,3.7585438675672437e-14,1.939661931224571e-11,3.5867332390397576e-11,9.131002498058372e-11
5.106157787444312e-12,0.2182734639055652,76.950000000000003,0.0,0.0,0.0,0.99999995987369084,9.4999999997313544,2.8016721168160059e-09,1.853035906515079e-08,1.8466603054231859e-08,1.6620220640089414e-10,4.0167129065778687e-14,1.9626186194361449e-11,3.9399964196793201e-11,1.0240602835290428e-10
5.4355470768193815e-12,0.2182734639054814,76.950000000000003,0.0,0.0,0.0,0.99999995728526037,9.4999999996977902,2.9824029880248472e-09,1.9720811888337967e-08,1.9646525443624243e-08,1.8824937556670992e-10,4.274791282219607e-14,1.9816160293440402e-11,4.2970451680832855e-11,1.1392018294017067e-10
5.764936366194451e-12,0.21827346390539326,76.950000000000003,0.0,0.0,0.0,0.99999995469683145,9.4999999996624727,3.1631338487385884e-09,2.0910873355810646e-08,2.0825086313131888e-08,2.1165805839467659e-10,4.5327848053599675e-14,1.9973369628675793e-11,4.657226639616502e-11,1.2582568786787505e-10
6.0943256555695204e-12,0.2182734639053008,76.950000000000003,0.0,0.0,0.0,0.99999995210840353,9.4999999996254285,3.3438646989572287e-09,2.2100568550467269e-08,2.2002287561419565e-08,2.3642635622001455e-10,4.7906989143929629e-14,2.0103463877533778e-11,5.0200006539543795e-11,1.3809746018316558e-10
6.42371494494459e-12,0.2182734639052041,76.950000000000003,0.0,0.0,0.0,0.99999994951997673,9.4999999995866862,3.5245955386807693e-09,2.3289920947602476e-08,2.3178131084505046e-08,2.6255237302492061e-10,5.048538699157073e-14,2.0211119504264498e-11,5.3849200822135926e-11,1.5071202454050809e-10
6.753104234319659e-12,0.21827346390510324,76.950000000000003,0.0,0.0,0.0,0.9999999469315507,9.4999999995462687,3.7053263679092098e-09,2.4478952517995033e-08,2.4352618775760925e-08,2.9003421543680926e-10,5.3063089232864427e-14,2.0300207259209621e-11,5.7516148319085986e-11,1.6364741011347917e-10
7.082493523694729e-12,0.2182734639049982,76.950000000000003,0.0,0.0,0.0,0.99999994434312556,9.4999999995041939,3.8860571866425535e-09,2.5667683824253062e-08,2.5525752525918552e-08,3.1886999272431347e-10,5.5640140451001401e-14,2.0373929995250025e-11,6.1197786699634048e-11,1.7688305424935539e-10
7.411882813069798e-12,0.2182734639048891,76.950000000000003,0.0,0.0,0.0,0.99999994175470086,9.4999999994604867,4.0667879948807979e-09,2.6856134111007531e-08,2.6697534223072842e-08,3.4905781679249922e-10,5.8216582371576345e-14,2.0434937584681062e-11,6.4891582352109012e-11,1.9039971227544538e-10
7.741272102444866e-12,0.218273463904776,76.950000000000003,0.0,0.0,0.0,0.99999993916627661,9.4999999994151665,4.247518792623946e-09,2.8044321389403968e-08,2.7867965752686272e-08,3.8059580217888153e-10,6.0792454045780046e-14,2.0485422788684062e-11,6.8595438720638849e-11,2.041793730071454e-10
8.070661391819935e-12,0.21827346390465888,76.950000000000003,0.0,0.0,0.0,0.99999993657785291,9.4999999993682511,4.4282495798719976e-09,2.9232262516199829e-08,2.9037048997592103e-08,4.1348206605017832e-10,6.336779202189602e-14,2.0527200444391693e-11,7.2307620592342333e-11,2.1820517965044055e-10
8.400050681195004e-12,0.2182734639045379,76.950000000000003,0.0,0.0,0.0,0.99999993398942943,9.4999999993197584,4.6089803566249537e-09,3.0419973267760388e-08,3.0204785837997732e-08,4.4771472819897684e-10,6.5942630505735685e-14,2.0561772525796636e-11,7.6026691890905745e-11,2.3246135580582426e-10
8.729439970570072e-12,0.21827346390441293,76.950000000000003,0.0,0.0,0.0,0.99999993140100618,9.4999999992697077,4.789711122882815e-09,3.1607468409288104e-08,3.1371178151488435e-08,4.8329191103999715e-10,6.8517001510739636e-14,2.0590381871843526e-11,7.9751464305760025e-11,2.4693313623882182e-10
9.388218549320211e-12,0.21827346390415156,76.950000000000003,0.0,0.0,0.0,0.99999992622416078,9.4999999991649844,5.1511726239132544e-09,3.3981866241195679e-08,3.369993669497844e-08,5.5847234154524557e-10,7.3664458986944501e-14,2.0633629376164651e-11,8.7214367321488446e-11,2.7646913086903123e-10
1e-11,0.21827346390387503,76.950000000000003,0.0,0.0,0.0,0.99999992141663074,9.4999999990623039,5.4868474983424334e-09,3.6186239218844915e-08,3.5857765600853082e-08,6.3308587628858481e-10,7.844331938128714e-14,2.0661458226765398e-11,9.4156660609028669e-11,3.045338149773849e-10
1.004699712807035e-11,0.21827346390387503,76.950000000000003,0.0,0.0,0.0,0.99999992104731572,9.4999999990542019,5.5126340829633206e-09,3.6355556267914393e-08,3.6023339596444017e-08,6.3900838918389566e-10,7.8810381822350065e-14,2.0663221455003683e-11,9.4690326604986102e-11,3.0671290733170943e-10
1.0705775706820489e-11,0.21827346390358363,76.950000000000003,0.0,0.0,0.0,0.99999991587047132,9.4999999989374579,5.8740955000330194e-09,3.8728626316697382e-08,3.8341401782549399e-08,7.2488512729159146e-10,8.3954960441200427e-14,2.068347954704376e-11,1.0217521031657795e-10,3.3757663818317312e-10
1.1364554285570628e-11,0.21827346390327756,76.950000000000003,0.0,0.0,0.0,0.99999991069362737,9.4999999988148414,6.2355568751223551e-09,4.1101153321467384e-08,4.065413813835669e-08,8.160876708060787e-10,8.9098361649167894e-14,2.0697365410919448e-11,1.0966618664196991e-10,3.6898338933375617e-10
1.2023332864320767e-11,0.2182734639029571,76.950000000000003,0.0,0.0,0.0,0.99999990551678353,9.499999998686441,6.5970182082313325e-09,4.3473204664421697e-08,4.2961563507441624e-08,9.1260117615151368e-10,9.4240731542178179e-14,2.0706890621465221e-11,1.1716133226225832e-10,4.0086577843991477e-10
1.2682111443070906e-11,0.21827346390262237,76.950000000000003,0.0,0.0,0.0,0.99999990033994002,9.4999999985523278,6.9584794993599566e-09,4.5844839360430449e-08,4.5263692692009396e-08,1.0144108411225673e-09,9.938219807438486e-14,2.0713420731928286e-11,1.2465934153654459e-10,4.3316479050345357e-10
1.3340890021821045e-11,0.21827346390227356,76.950000000000003,0.0,0.0,0.0,0.99999989516309662,9.4999999984125694,7.3199407485082324e-09,4.821610910095401e-08,4.7560540453010211e-08,1.121501904768881e-09,1.0452287332155782e-13,2.0717893508676885e-11,1.3215931784206723e-10,4.65828733951775e-10
1.3999668600571184e-11,0.21827346390191077,76.950000000000003,0.0,0.0,0.0,0.99999988998625344,9.4999999982672207,7.6814019556761623e-09,5.0587059166119748e-08,4.9852121510254286e-08,1.2338596472801243e-09,1.0966285545861904e-13,2.0720958242785695e-11,1.3966064037477922e-10,4.988123285591984e-10
1.465844717932132e-11,0.21827346390153415,76.950000000000003,0.0,0.0,0.0,0.99999988480941038,9.4999999981163423,8.0428631208637539e-09,5.2957729219015933e-08,5.2138450542526295e-08,1.3514693898714738e-09,1.1480223048180543e-13,2.0723060973550441e-11,1.4716288266493442e-10,5.3207591115135483e-10
1.531722575807146e-11,0.21827346390114388,76.950000000000003,0.0,0.0,0.0,0.99999987963256742,9.4999999979599821,8.4043242440710112e-09,5.5328154000544285e-08,5.4419542187699722e-08,1.474316494669313e-09,1.1994107371522582e-13,2.0724504107542639e-11,1.5466575557376156e-10,5.6558474075103289e-10
1.5976004336821596e-11,0.2182734639007401,76.950000000000003,0.0,0.0,0.0,0.99999987445572458,9.4999999977981844,8.7657853252979392e-09,5.7698363939993918e-08,5.6695411042850902e-08,1.6023863645971578e-09,1.2507945113468798e-13,2.0725493146374351e-11,1.6216906261583634e-10,5.9930838800300716e-10
1.6634782915571733e-11,0.2182734639003227,76.950000000000003,0.0,0.0,0.0,0.99999986927888185,9.4999999976309866,9.1272463645445396e-09,6.006838569106787e-08,5.8966071664372833e-08,1.7356644432619056e-09,1.3021742052989434e-13,2.0726170168975371e-11,1.6967266794580675e-10,6.3322019914633945e-10
1.729356149432187e-11,0.21827346389989205,76.950000000000003,0.0,0.0,0.0,0.99999986410203923,9.4999999974584348,9.4887073618108206e-09,6.243824260087085e-08,6.1231538568088448e-08,1.8741362148404589e-09,1.3535503252128618e-13,2.0726634055458319e-11,1.7717647702183085e-10,6.6729682702553762e-10
1.7952340073072008e-11,0.2182734638994481,76.950000000000003,0.0,0.0,0.0,0.99999985892519672,9.4999999972805558,9.8501683170967856e-09,6.4807955119852293e-08,6.3491826229363752e-08,2.0177872039666754e-09,1.4049233144886906e-13,2.0726952503720398e-11,1.8468042511619234e-10,7.0151782114669689e-10
1.8611118651822145e-11,0.21827346389899088,76.950000000000003,0.0,0.0,0.0,0.99999985374835432,9.4999999970973885,1.0211629230402439e-08,6.7177541160809281e-08,6.5746949083220564e-08,2.1666029756186199e-09,1.4562935615059188e-13,2.0727171077337957e-11,1.9218446866437337e-10,7.3586526867375515e-10
1.9269897230572283e-11,0.21827346389852062,76.950000000000003,0.0,0.0,0.0,0.99999984857151203,9.4999999969089579,1.0573090101727787e-08,6.9547016413759566e-08,6.7996921524448881e-08,2.3205691350061079e-09,1.5076614064504367e-13,2.072732074206207e-11,1.9968857805921569e-10,7.7032347955479462e-10
1.992867580932242e-11,0.21827346389803715,76.950000000000003,0.0,0.0,0.0,0.99999984339466985,9.4999999967152977,1.0934550931072834e-08,7.1916394621955256e-08,7.0241757907719225e-08,2.4796713274585706e-09,1.5590271472989912e-13,2.0727423093104436e-11,2.0719273265297695e-10,8.0487871050781523e-10
2.0587454388072557e-11,0.21827346389754082,76.950000000000003,0.0,0.0,0.0,0.99999983821782756,9.4999999965164292,1.1296011718437581e-08,7.4285687823519124e-08,7.2481472547694128e-08,2.6438952383132388e-09,1.6103910450582488e-13,2.0727493224280245e-11,2.1469691801406878e-10,8.3951892338376434e-10
2.1246232966822695e-11,0.21827346389703153,76.950000000000003,0.0,0.0,0.0,0.9999998330409855,9.4999999963123791,1.1657472463822036e-08,7.6654906562936969e-08,7.4716079719140012e-08,2.813226592803644e-09,1.6617533283503213e-13,2.0727541390070493e-11,2.2220112433791576e-10,8.7423357367385225e-10
2.1905011545572832e-11,0.2182734638965093,76.950000000000003,0.0,0.0,0.0,0.99999982786414354,9.4999999961031669,1.2018933167226204e-08,7.902406007630937e-08,7.6945593657038056e-08,2.9876511559484229e-09,1.7131141974293277e-13,2.0727574424803632e-11,2.2970534509003904e-10,9.0901342525737229e-10
2.256379012432297e-11,0.21827346389597435,76.950000000000003,0.0,0.0,0.0,0.9999998226873017,9.4999999958888193,1.2380393828650089e-08,8.1393156453702785e-08,7.9170028556695261e-08,3.1671547324404305e-09,1.76447382770144e-13,2.0727596990820032e-11,2.372095758126541e-10,9.4385038805015506e-10
2.3222568703073107e-11,0.2182734638954266,76.950000000000003,0.0,0.0,0.0,0.99999981751045997,9.499999995669361,1.2741854448093696e-08,8.3762202781390922e-08,8.1389398573855004e-08,3.3517231665361638e-09,1.8158323728089182e-13,2.0727612383941837e-11,2.4471381335453972e-10,9.7873737576297823e-10
2.3881347281823244e-11,0.2182734638948661,76.950000000000003,0.0,0.0,0.0,0.99999981233361834,9.4999999954448064,1.310331502555703e-08,8.6131205266416712e-08,8.3603717824807284e-08,3.5413423419454955e-09,1.8671899673308179e-13,2.0727622914159788e-11,2.5221805550705396e-10,1.0136681813393523e-09
