Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109),C7H11(46),C2H4(115),C5H7(210),S(340),S(339),S(204),C5H8(336),S(200),C7H8(273),S(400),S(399),S(388),C7H10(238),C7H10(187),S(106),OH(D)(275),S(808),S(826),S(929)
6.239282336886637e-18,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999980715326,9.5,3.7394781919076669e-12,2.2108604697818357e-11,2.2108604614378956e-11,1.6791036684238897e-19,1.7826328289651416e-19,1.4392888711984487e-10,4.5791378477130132e-16,9.5966408592328703e-13,9.756723919101942e-20,9.0625793235753629e-16,3.7248600577527976e-28,1.2337091232454013e-20,9.1639062982061187e-32,6.9218450518551128e-33,3.7749187546275125e-21,1.9392142211689113e-28,1.939214214469897e-28,5.8462472665124752e-37,8.5274600879162296e-38,2.8452485102310761e-28,2.0920410078627219e-42,9.5408584474113525e-33,2.7822796012474471e-43,2.1969430104395108e-66,2.0306280283231394e-66,2.0306280284873795e-66,1.6109977611423942e-27,8.1400455163574639e-28,7.0963641205468147e-44,7.0966454760204215e-44,2.8135547312165391e-48,4.847473208682876e-57,4.5088329098926428e-66
9.358928794444093e-18,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999971072984,9.5,5.6092204575733293e-12,3.3162925681687485e-11,3.3162925515379081e-11,3.4119525721050065e-19,3.6907174321849675e-19,2.158926619873851e-10,9.4805076497469527e-16,1.4394934495825976e-12,2.0200038696058417e-19,1.8762888443479771e-15,9.5155621859867619e-28,2.5542363382761084e-20,2.6600435290894315e-31,1.890572540319504e-32,7.8154956764976195e-21,5.2965999635896518e-28,5.296599940162988e-28,2.0444497479362533e-36,2.9820918907430126e-37,6.7928704143204303e-28,7.3159759839903714e-42,2.6052959031730617e-32,1.0210725849684193e-42,3.0511773923174535e-65,2.8201943813928603e-65,2.8201943816523139e-65,4.400130190324153e-27,2.2232966977758367e-27,2.4816106944038229e-43,2.4817338482639522e-43,1.2315385986882004e-47,2.607045125681997e-56,2.9326930654763908e-65
1.247857525200155e-17,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999961430641,9.5,7.4789627230465817e-12,4.4217246594346328e-11,4.4217246321685736e-11,5.7009797147575395e-19,6.2769460161382564e-19,2.8785590949131066e-10,1.6123830333306153e-15,1.9193204836782747e-12,3.4354934329713941e-19,3.1910699405922784e-15,1.8789021821745892e-27,4.3440829782549504e-20,5.8172940994069952e-31,3.9557128121178466e-32,1.3292116707528307e-20,1.1082264277429356e-27,1.1082264218892753e-27,5.1084989542143198e-36,7.4514294864269113e-37,1.269900307374147e-27,1.8280642840055622e-41,5.4500201601944319e-32,2.6477468421962569e-42,1.4025842397069064e-64,1.2964045301339284e-64,1.2964045302684672e-64,9.2065337504190421e-27,4.6518751033900574e-27,6.2008223177454645e-43,6.2011811267517903e-43,3.5880900545651964e-47,8.6887093504805865e-56,1.1010156700399579e-64
1.8717868167116465e-17,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999942145956,9.5,1.1218447253361285e-11,6.6325888185834445e-11,6.6325887641884959e-11,1.1920078930700066e-18,1.3676190102557808e-18,4.3178067284504607e-10,3.513036192732474e-15,2.8789669024661752e-12,7.4852142393357145e-19,6.9526557667827669e-15,5.1355073078372837e-27,9.4648447108395381e-20,1.9351893199526796e-30,1.2490935068771179e-31,2.8960825173355243e-20,3.4994395794321131e-27,3.4994395523249443e-27,2.3656429748573862e-35,3.4506541703274145e-36,3.1329432098355584e-27,8.4655550516429714e-41,1.7199240732263215e-31,1.3086399957433147e-41,2.6325312415532713e-63,2.4332409696720204e-63,2.4332409701204405e-63,2.9071277767667081e-26,1.4689128059926326e-26,2.8714473988889955e-42,2.8716960412063066e-42,2.4864231638728941e-46,9.2433937692097526e-55,1.8509246342096691e-63
2.495716108223138e-17,0.5205708707315978,76.950000000000003,0.0,0.0,0.0,0.99999999922861271,9.5,1.4957931782843147e-11,8.8434529469087788e-11,8.8434528593471486e-11,2.0133936125119893e-18,2.4010790399769031e-18,5.7570315355116491e-10,6.1676785317576463e-15,3.8386032378579504e-12,1.3141472044753405e-18,1.2206462831379221e-14,1.0392800533991037e-26,1.66170347826144e-19,4.5021721900570991e-30,2.8411111103630577e-31,5.0845474885388946e-20,7.95960644584614e-27,7.959606367243473e-27,6.8596465834743522e-35,1.0005954873938233e-35,5.9057098027972533e-27,2.4547890635844325e-40,3.910018228341248e-31,3.9013687042111523e-41,1.5314646061086608e-62,1.4155282825184155e-62,1.4155282828282195e-62,6.6123444063007284e-26,3.3410837501650339e-26,8.3262623652220673e-42,8.3271669053222616e-42,9.0454009604466923e-46,4.1505875474718607e-54,1.0090017729615761e-62
3.7435746912461204e-17,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999884291924,9.5,2.2436900839296814e-11,1.3265181110663089e-10,1.3265180949916406e-10,4.1439065889344589e-18,5.3526621316356008e-18,8.6354123566026634e-10,1.3749289471996066e-14,5.7578455196423455e-12,2.9295709099728397e-18,2.7211241642536095e-14,2.7576847222424455e-26,3.7043676685149233e-19,1.5331247521724414e-29,9.4858942745571623e-31,1.1334850264474138e-19,2.6575489384410011e-26,2.6575488985010442e-26,3.4855431911578342e-34,5.0844000029877101e-35,1.4220470780622253e-26,1.2473829232818051e-39,1.3038502208986692e-30,2.040182178447338e-40,3.0253364191524952e-61,2.7963096682147015e-61,2.7963096692455191e-61,2.207704303782974e-25,1.1155082855125491e-25,4.2306759534517186e-41,4.2313898310501583e-41,7.138775932373963e-45,5.2023087878025484e-53,2.054065186360571e-61
6.239291857292086e-17,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999807153295,9.5,3.739483894216142e-11,2.210863706649205e-10,2.2108636783694376e-10,9.8391227364556014e-18,1.4795377501643279e-17,1.4391898768670418e-09,3.8003731844525802e-14,9.5962084997920415e-12,8.0975402138858193e-18,7.52132488510991e-14,8.9588421923978425e-26,1.0239160679454937e-18,7.2933049834070304e-29,4.4605115837008541e-30,3.1330853702707365e-19,1.2496456206090476e-25,1.2496455875579742e-25,2.8843290360747318e-33,4.207679713100845e-34,4.192701158470184e-26,1.0323166314032868e-38,6.114166402836322e-30,1.7183028086695105e-39,1.2855431436138327e-59,1.1882238075016536e-59,1.1882238083553936e-59,1.0380950379019052e-24,5.2452840401842515e-25,3.5007668665796871e-40,3.5018417503888379e-40,1.0748837944869937e-43,1.4663680295951637e-51,1.1079318262687592e-59
1.1230726189384016e-16,0.5205708707315978,76.950000000000003,0.0,0.0,0.0,0.99999999652876248,9.5,6.7310715107708923e-11,3.9795547491035336e-10,3.9795547307770054e-10,2.4504990135641855e-17,4.7842775310286207e-17,2.5903770474326793e-09,1.2288403944805799e-13,1.7272448024334387e-11,2.61835638348825e-17,2.4320000671111857e-13,3.257209327826665e-25,3.3108722153463803e-18,4.3840054807531991e-28,2.6674036687024122e-29,1.013124922515087e-18,7.4729034426450548e-25,7.4729030668201914e-25,3.2797227009991673e-32,4.7851418520222914e-33,1.4165355566992653e-25,1.1740491002957831e-37,3.635394266623495e-29,1.9688323287223928e-38,9.0832773406849119e-58,8.3956471383775069e-58,8.3956471503666813e-58,6.2075468270943068e-24,3.136547720386895e-24,3.9802628807432266e-39,3.9826353377501278e-39,2.3724569432412493e-42,6.3661156679303968e-50,9.534281806104297e-58
2.121359485356788e-16,0.5205708707315978,76.950000000000003,0.0,0.0,0.0,0.99999999344323065,9.5,1.2714246727807286e-10,7.5169362391519609e-10,7.5169364582693362e-10,5.8934464490725821e-17,1.7058679837287066e-16,4.8923110065041376e-09,4.3810876576324093e-13,3.2622981502515998e-11,9.3352978474326847e-17,8.6706178663273865e-13,1.2472380791121688e-24,1.1804476093006724e-17,3.0209771749887071e-27,1.83364033624071e-28,3.6123762131777346e-18,5.1370247197146174e-24,5.1370242136317881e-24,4.4162927068255899e-31,6.4451977284505069e-32,5.1833351880688967e-25,1.5815045222386392e-36,2.4704602089447422e-28,2.6602799092468475e-37,8.5461166409835141e-56,7.8991513828036595e-56,7.899151405313496e-56,4.2668031688848503e-23,2.1559292391159413e-23,5.3585113033200652e-38,5.3648313591414711e-38,6.320055484066786e-41,3.3733760958082927e-48,1.0076721530809656e-55
3.119646351775174e-16,0.5205708707315977,76.950000000000003,0.0,0.0,0.0,0.99999999035771059,9.5,1.8697421923412674e-10,1.1054316936048354e-09,1.1054317724338859e-09,9.5998074092549027e-17,3.6886359445837933e-16,7.1936578849283018e-09,9.4725411714996025e-13,4.7970921155692173e-11,2.018476217568189e-16,1.8747121982400624e-12,2.7677416347913545e-24,2.5523855300225807e-17,9.1846320877409993e-27,5.5698738838638838e-28,7.8111346486352852e-18,1.5604157377804101e-23,1.5604155323763569e-23,1.792406883313707e-30,2.6162723215302946e-31,1.1312892566383682e-24,6.4200946817756784e-36,7.4453661968731273e-28,1.0808506638884749e-36,7.5978456342748906e-55,7.0226672652466028e-55,7.0226672881253051e-55,1.2959970574434096e-22,6.5484106786843828e-23,2.1745703123013684e-37,2.177849535010757e-37,3.2792224936771306e-40,2.1571158368281625e-47,7.7089973760232518e-55
