Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990)
1.939433469740738e-08,0.3022438593985,76.950000000000003,0.0,0.0,0.0,1.8279729431560278e-05,9.4999931943061711,0.0011339810422919087,0.0056624160092735723,1.1943006875944766e-10,1.4018756972327283e-12,5.1912265829600114e-10,1.4108486593656549e-06,0.026643982487172209,2.9520890445617486e-06,6.4282785131823658e-21,5.2145950227295876e-07,4.2152767869569991e-05,0.93799877906469575,0.00015256017634248612,1.0569384217596743e-14,2.0820424820832651e-13,2.7048952292131953e-08,0.0,0.00040784413993579904,5.5237407452931608e-11,0.0099641311365469953,0.010010721884451502,1.0830062541933e-06,5.55199680013073e-07,1.4612186839387684e-08,0.0042555252508586997,9.2017383035218564e-07,2.3574769976613603e-07,3.3345687911261661e-07,5.3748820428694377e-07,4.8180629903403449e-06,2.214281410602974e-05,0.013659332546906808,3.1716089921312609e-12,1.2588227917488038e-12,2.258286141302476e-06,7.2838371653717993e-07
1.9533966715005545e-08,0.3022438593999795,76.950000000000003,0.0,0.0,0.0,1.8115445563401979e-05,9.499993197380455,0.0011310141757118828,0.0056392132307643526,1.1340159006435132e-10,1.3310238035703323e-12,5.1699545903924297e-10,1.3955050822232735e-06,0.026251246123320388,2.9399923229620034e-06,6.1033882914435869e-21,5.2145950038065962e-07,4.2402797122385451e-05,0.93837114102266594,0.00015256550482883806,1.052607424407424e-14,2.0943889029563472e-13,2.7209794133504751e-08,0.0,0.00040800714275676463,5.5115931241749443e-11,0.0099641257081832801,0.010010722021426135,1.0830056645153021e-06,5.5519937770493392e-07,1.4617987650707718e-08,0.0042782050754016469,9.2507791597811148e-07,2.3700416452154591e-07,3.3345651443582966e-07,5.4035313606607914e-07,4.8438408579425414e-06,2.2145597585874812e-05,0.0136829298757376,3.1885143783042895e-12,1.2655325983624662e-12,2.2621901023839884e-06,7.2964231741068133e-07
1.9673598732603712e-08,0.3022438594018539,76.950000000000003,0.0,0.0,0.0,1.7953723900847864e-05,9.4999932004421463,0.001128054938130502,0.005616106809076365,1.0804437386830262e-10,1.2680638426404177e-12,5.1487709364321097e-10,1.3804165939743955e-06,0.025865047160841384,2.9279458367805999e-06,5.8146864009560153e-21,5.214594984680497e-07,4.2652068599823715e-05,0.93873702709349693,0.00015257079402254757,1.0482944128752888e-14,2.1066979102218577e-13,2.7370148746931792e-08,0.0,0.00040816731154624656,5.5005286460125089e-11,0.0099641205345021924,0.010010722157313606,1.0830051025179506e-06,5.5519908958725893e-07,1.4623687578091687e-08,0.0043007901543996238,9.299615146622501e-07,2.3825538036290006e-07,3.3345616686597958e-07,5.4320609951488755e-07,4.8695110373133419e-06,2.2148253142781058e-05,0.013706457375300551,3.2053491417717959e-12,1.2722143745790075e-12,2.2660824882787956e-06,7.308971914856557e-07
1.981323075020188e-08,0.3022438594041031,76.950000000000003,0.0,0.0,0.0,1.7794522295280169e-05,9.4999932034913037,0.0011251033123818404,0.0055930963427216849,1.0327303582269491e-10,1.211991899192863e-12,5.1276752529966201e-10,1.365578947375264e-06,0.025485276736168138,2.9159493767118552e-06,5.5575694038032893e-21,5.2145949653717414e-07,4.2900583251500793e-05,0.9390965450061004,0.00015257604439381235,1.0439993122261414e-14,2.1189695507047561e-13,2.7530016740178167e-08,0.0,0.00040832469344972375,5.4904151662457892e-11,0.0099641156038421889,0.010010722292209154,1.083004566931254e-06,5.5519881500966977e-07,1.4629288299677673e-08,0.0043232808870443959,9.348247127235925e-07,2.3950136940591903e-07,3.3345583561989455e-07,5.460471450593055e-07,4.8950739821766892e-06,2.2150786656883869e-05,0.013729916196878203,3.2221135800906112e-12,1.2788682384986144e-12,2.2699634898338022e-06,7.3214840020679184e-07
1.9952862767800045e-08,0.30224385940670834,76.950000000000003,0.0,0.0,0.0,1.7637799298049718e-05,9.4999932065279786,0.0011221592812969165,0.0055701814318937252,9.9013311505786107e-11,1.1619348031166372e-12,5.1066671735548634e-10,1.3509879659056874e-06,0.025111827798659361,2.9040027343164782e-06,5.3280333927056359e-21,5.2145949458981459e-07,4.3148342041429781e-05,0.93944980069572104,0.00015258125640499239,1.039722047832251e-14,2.1312038719432531e-13,2.7689398730301175e-08,0.0,0.00040847933482771059,5.4811376399462826e-11,0.009964110905070548,0.010010722426196434,1.0830040565457742e-06,5.5519855335224991e-07,1.4634791465797818e-08,0.0043456776708191858,9.3966759611023007e-07,2.40742153671196e-07,3.3345551994990067e-07,5.4887632290978636e-07,4.9205301443147022e-06,2.2153203738036837e-05,0.013753307472538379,3.2388079895422593e-12,1.2854943077171366e-12,2.2738332947107149e-06,7.3339600399328065e-07
2.0092494785398212e-08,0.30224385940965176,76.950000000000003,0.0,0.0,0.0,1.7483514148829111e-05,9.4999932095522208,0.0011192228277045063,0.0055473616784601576,9.5200600289778561e-11,1.1171330085631908e-12,5.0857463331048619e-10,1.3366395425916052e-06,0.024744595080407401,2.8921057020196066e-06,5.1225954828959531e-21,5.2145949262752459e-07,4.339534594780686e-05,0.9397968983338072,0.00015258643051076017,1.0354625453746308e-14,2.1434009221773266e-13,2.7848295343512458e-08,0.0,0.0004086312812688292,5.4725958847825135e-11,0.0099641064275600277,0.010010722559349029,1.0830035702090798e-06,5.5519830402320392e-07,1.4640198699378109e-08,0.0043679809015061549,9.4449025040124376e-07,2.4197775508460081e-07,3.3345521914225695e-07,5.5169368306227598e-07,4.945879973576176e-06,2.2155509738235322e-05,0.013776632315454788,3.2554326651387214e-12,1.2920926993266016e-12,2.2776920874391811e-06,7.3464006225595269e-07
2.023212680299638e-08,0.30224385941291565,76.950000000000003,0.0,0.0,0.0,1.7331626764159745e-05,9.4999932125640871,0.0011162939344319309,0.0055246366859558662,9.1778699772942623e-11,1.0769257140201313e-12,5.0649123681666367e-10,1.3225296388600065e-06,0.024383475066548879,2.8802580731361966e-06,4.9382255787993875e-21,5.214594906516592e-07,4.3641595962799534e-05,0.94013794035738252,0.00015259156715824831,1.0312207308545871e-14,2.1555607503347135e-13,2.8006707215041465e-08,0.0,0.00040878057760266342,5.4647026367057515e-11,0.0099641021611664923,0.01001072269173175,1.0830031068154463e-06,5.5519806645648201e-07,1.4645511596088719e-08,0.0043901909731938618,9.4929276081245881e-07,2.4320819547923354e-07,3.3345493251565445e-07,5.5449927529801887e-07,4.9711239178850562e-06,2.2157709763469421e-05,0.013799891820222303,3.2719879006334197e-12,1.2986635299171966e-12,2.2815400494690606e-06,7.3588063341404333e-07
2.0371758820594545e-08,0.3022438594164841,76.950000000000003,0.0,0.0,0.0,1.7182097726189905e-05,9.4999932155636237,0.001113372584305844,0.0055020060595759581,8.8698707687784909e-11,1.0407379509018935e-12,5.0441649167957243e-10,1.3086542833865485e-06,0.024028365966070362,2.8684596418368666e-06,4.7722871713622049e-21,5.2145948866340278e-07,4.3887093092336948e-05,0.94047302749792894,0.00015259666678719353,1.0269965305790155e-14,2.1676834060251547e-13,2.8164634989000302e-08,0.0,0.00040892726791239893,5.457381862892635e-11,0.0099640980962074164,0.010010722823401758,1.0830026653124881e-06,5.5519784011295798e-07,1.4650731725174804e-08,0.0044123082782846742,9.540752121936406e-07,2.4443349659433327e-07,3.3345465941977658e-07,5.572931491855364e-07,4.9962624232488605e-06,2.2159808685031051e-05,0.013823087063166952,3.2884739885209383e-12,1.3052069155816712e-12,2.2853773592218022e-06,7.3711777491176108e-07
2.0511390838192712e-08,0.30224385942034093,76.950000000000003,0.0,0.0,0.0,1.7034888271600565e-05,9.4999932185508875,0.0011104587601529893,0.0054794694061688059,8.5918068797726425e-11,1.0080693770724457e-12,5.0235036185579778e-10,1.2950095709726569e-06,0.023679167683100837,2.8567102031386715e-06,4.6224859506074407e-21,5.2145948666378986e-07,4.4131838355902449e-05,0.94080225880978918,0.00015260172983007836,1.0227898711565178e-14,2.1797689395299506e-13,2.8322079318249991e-08,0.0,0.00040907139554725294,5.4505672974039393e-11,0.0099640942234412947,0.010010722954409558,1.0830022446997307e-06,5.5519762447833185e-07,1.465586062990098e-08,0.0044343332075021755,9.5883768902936098e-07,2.4565368007527935e-07,3.3345439923391729e-07,5.6007535408192948e-07,5.0212959337670731e-06,2.2161811150300486e-05,0.013846219102650751,3.3048912200416282e-12,1.3117229719156312e-12,2.2892041921409844e-06,7.3835154323460153e-07
2.065102285579088e-08,0.3022438594244714,76.950000000000003,0.0,0.0,0.0,1.6889960280715233e-05,9.4999932215259282,0.0011075524448009542,0.0054570263342290422,8.3399746238148749e-11,9.7848453411542198e-13,5.0029281145172983e-10,1.2815916614634573e-06,0.023335781788682231,2.8450095529440938e-06,4.4868251278958308e-21,5.2145948465372668e-07,4.4375832786328214e-05,0.94112573169809322,0.00015260675671226946,1.0186006795149655e-14,2.1918174017863756e-13,2.8479040864268102e-08,0.0,0.00040921300313469575,5.4442011679974807e-11,0.0099640905340479501,0.010010723084799845,1.0830018440147093e-06,5.5519741906006549e-07,1.46608998275198e-08,0.0044562661498984916,9.6358027544669584e-07,2.4686876747623778e-07,3.3345415136566008e-07,5.6284593913221255e-07,5.046224891639508e-06,2.2163721593037165e-05,0.013869288979371451,3.3212398851953335e-12,1.3182118140189762e-12,2.2930207207420001e-06,7.3958199392528395e-07
2.0790654873389045e-08,0.30224385942886123,76.950000000000003,0.0,0.0,0.0,1.6747276266791332e-05,9.4999932244887937,0.0011046536210789033,0.0054346764538906909,8.1111500483661324e-11,9.5160436931837022e-13,4.9824380472581157e-10,1.2683967786495641e-06,0.022998111493009798,2.8333574880026087e-06,4.363566563082044e-21,5.2145948263400732e-07,4.4619077429592022e-05,0.94144354194622304,0.00015261174785215377,1.0144288828849001e-14,2.2038288443832159e-13,2.8635520297017779e-08,0.0,0.00040935213259247051,5.4382330882655756e-11,0.0099640870196096142,0.010010723214612256,1.0830014623414786e-06,5.5519722338941385e-07,1.4665850810154004e-08,0.0044781074928616381,9.6830305521170114e-07,2.480787802588646e-07,3.3345391524960968e-07,5.6560495327131334e-07,5.0710497371746139e-06,2.2165544243198335e-05,0.013892297716657278,3.3375202727395923e-12,1.324673556501005e-12,2.2968271146609136e-06,7.4080918159948219e-07
2.0930286890987212e-08,0.3022438594334967,76.950000000000003,0.0,0.0,0.0,1.6606799365489766e-05,9.4999932274395391,0.0011017622718183001,0.0054124193769202814,7.9025262306732946e-11,9.2709886280299883e-13,4.9620330608579226e-10,1.2554212091935723e-06,0.022666061618134555,2.8217538058892125e-06,4.2511969566161485e-21,5.2145948060532858e-07,4.4861573344616077e-05,0.94175578374281899,0.00015261670366127124,1.0102744087902287e-14,2.2158033195520082e-13,2.8791518294818035e-08,0.0,0.00040948882514041146,5.4326190941575619e-11,0.009964083672092847,0.010010723343882002,1.0830010988126479e-06,5.5519703701979521e-07,1.4670715045341544e-08,0.0044998576221227911,9.7300611172853884e-07,2.4928373979164443e-07,3.3345369034617898e-07,5.6835244522587648e-07,5.0957709087977648e-06,2.2167283136306684e-05,0.013915246320756773,3.3537326701920499e-12,1.3311083134805584e-12,2.3006235407025112e-06,7.4203315996136011e-07
2.106991890858538e-08,0.3022438594383646,76.950000000000003,0.0,0.0,0.0,1.6468493324519356e-05,9.4999932303782124,0.0010988783798536125,0.005390254716709935,7.7116587995432227e-11,9.0468062267497038e-13,4.9417128008665211e-10,1.2426613016097673e-06,0.022339538571120404,2.8101983050607444e-06,4.1483984763068251e-21,5.2145947856830243e-07,4.5103321603067993e-05,0.94206254970833581,0.0001526216245444454,1.0061371850734574e-14,2.2277408801492072e-13,2.8947035544215428e-08,0.0,0.00040962312131206593,5.4273208068559418e-11,0.0099640804838312599,0.010010723472640445,1.0830007525906499e-06,5.5519685952267389e-07,1.4675493975773138e-08,0.0045215169217635515,9.7768952804970061e-07,2.5048366735342129e-07,3.3345347614042818e-07,5.7108846351305706e-07,5.1203888430594926e-06,2.216894212238743e-05,0.0139381357811238,3.3698773638480886e-12,1.3375161985866938e-12,2.3044101628875441e-06,7.4325398181872794e-07
2.1209550926183545e-08,0.30224385944345294,76.950000000000003,0.0,0.0,0.0,1.6332322493454164e-05,9.4999932333048633,0.0010960019280230071,0.0053681820882705601,7.5364186156648813e-11,8.8409932107748657e-13,4.9214769143398775e-10,1.2301134652184561e-06,0.022018450317648396,2.7986907848155763e-06,4.0540232474324593e-21,5.2145947652346844e-07,4.5344323289163728e-05,0.94236393092115711,0.00015262651089991108,1.0020171398782479e-14,2.2396415796528831e-13,2.9102072739857115e-08,0.0,0.00040975506096612335,5.4223047056150884e-11,0.0099640774475089275,0.01001072360091558,1.0830004228776078e-06,5.5519669049048507e-07,1.4680189020209556e-08,0.0045430857742231687,9.8235338687205981e-07,2.5167858413202733e-07,3.3345327214095356e-07,5.7381305644239742e-07,5.144903974643711e-06,2.2170524874494511e-05,0.013960967070697784,3.3859546387776184e-12,1.343897324964631e-12,2.3081871424991831e-06,7.4447169909797055e-07
2.1349182943781712e-08,0.3022438594487495,76.950000000000003,0.0,0.0,0.0,1.6198251813720432e-05,9.4999932362195416,0.0010931328991690297,0.0053462011082250887,7.3749506495117179e-11,8.651368586835803e-13,4.9013250498121052e-10,1.2177741691160785e-06,0.021702706356060607,2.7872310452530024e-06,3.9670711809284169e-21,5.2145947447130243e-07,4.5584579499472547e-05,0.9426600169432745,0.0001526313631194396,9.979142016316367e-15,2.2515054721565434e-13,2.9256630584365085e-08,0.0,0.0004098846832976523,5.4175414958119229e-11,0.0099640745561445435,0.010010723728732462,1.0830001089227569e-06,5.5519652953583135e-07,1.468480157420671e-08,0.0045645645603057316,9.86997770533257e-07,2.5286851122259461e-07,3.3345307787882384e-07,5.765262721183554e-07,5.169316736375867e-06,2.2172034896844814e-05,0.013983741146179299,3.4019647788237528e-12,1.3502518052758632e-12,2.3119546381287012e-06,7.4568636285883877e-07
2.148881496137988e-08,0.30224385945424315,76.950000000000003,0.0,0.0,0.0,1.6066246808749495e-05,9.499993239122297,0.0010902712761392706,0.0053243113948016124,7.2256382262645816e-11,8.476031613773644e-13,4.8812568572615617e-10,1.2056399412157023e-06,0.021392217691836232,2.7758188873506837e-06,3.8866706935440842e-21,5.214594724122241e-07,4.5824091342724197e-05,0.94295089584553937,0.00015263618158846146,9.9382829907863978e-15,2.263332612348325e-13,2.9410709788211827e-08,0.0,0.00041001202684915204,5.4130055594342774e-11,0.0099640718030763065,0.010010723856113575,1.0829998099975421e-06,5.5519637628586534e-07,1.4689333009567969e-08,0.0045859536591873213,9.916227610250665e-07,2.5405346963216902e-07,3.3345289290656435e-07,5.7922815843851337e-07,5.1936275592310878e-06,2.2173475532578602e-05,0.014006458948301043,3.4179080666257233e-12,1.3565797516977855e-12,2.315712805720395e-06,7.4689802330887419e-07
2.1628446978978046e-08,0.302243859459923,76.950000000000003,0.0,0.0,0.0,1.593627357429519e-05,9.4999932420131792,0.0010874170417870179,0.005302512567826676,7.0870719367271195e-11,8.3133252480661603e-13,4.861271988158592e-10,1.1937073672534507e-06,0.02108689681249272,2.7644541129271597e-06,3.8120619497232234e-21,5.2145947034660646e-07,4.6062859939617752e-05,0.94323665423249392,0.00015264096668618659,9.8975936126602884e-15,2.2751230555084172e-13,2.9564311069597166e-08,0.0,0.0004101371295214195,5.4086744772412757e-11,0.0099640691819474249,0.010010723983079152,1.0829995254057213e-06,5.5519623038606309e-07,1.4693784675255928e-08,0.0046072534484231471,9.962284399896496e-07,2.5523348027851445e-07,3.3345271679718428e-07,5.819187630951115e-07,5.2178368723422701e-06,2.2174849971163458e-05,0.01402912140209429,3.4337847836148485e-12,1.3628812759306322e-12,2.3194617986157562e-06,7.4810672981756947e-07
2.1768078996576212e-08,0.3022438594657789,76.950000000000003,0.0,0.0,0.0,1.5808298768912695e-05,9.499993244892238,0.0010845701789718985,0.0052808042487186083,6.9580226143616489e-11,8.1618043636589117e-13,4.8413700954401686e-10,1.1819730897955215e-06,0.020786657662904908,2.7531365245728788e-06,3.7425822918902304e-21,5.2145946827477922e-07,4.6300886422632765e-05,0.94351737726678975,0.00015264571878572219,9.8570731751197768e-15,2.2868768575067803e-13,2.9717435154326515e-08,0.0,0.00041026002858423493,5.404528613401483e-11,0.0099640666866922488,0.010010724109647467,1.0829992544988244e-06,5.551960915007915e-07,1.4698157898406891e-08,0.004628464303954645,1.0008148887118249e-06,2.5640856398690898e-07,3.3345254914324862e-07,5.8459813357856054e-07,5.2419451030081506e-06,2.2176161255457876e-05,0.014051729417150939,3.4495952100071489e-12,1.3691564891977341e-12,2.3232017675969039e-06,7.4931253093044494e-07
