Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52)
3.3987498029117773e-18,0.20202356206038993,76.950000000000003,0.0,0.0,0.0,0.99999999924742766,9.5,5.3467984683969263e-12,8.8600865816754516e-11,8.8600866332589542e-11,1.1017361694132096e-18,1.0499032210764377e-18,5.7002269756783929e-10,1.092239797493397e-15,5.6766798130347981e-19,1.9848098587576674e-27,1.1444148280713492e-31,5.1797774421354196e-31
4.531666724010894e-18,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999899657033,9.5,7.1290651271662831e-12,1.1813449548706708e-10,1.1813449634704365e-10,1.8794323668484845e-18,1.7710349842282299e-18,7.6002989029878005e-10,1.863232057347589e-15,9.6837393289476918e-19,3.9671288573316888e-27,2.4139032473066288e-31,1.1286464421568025e-30
6.797500566209128e-18,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999999849485532,9.5,1.0693598443617371e-11,1.7720175417188473e-10,1.7720175588487491e-10,3.8911259927502031e-18,3.5992240700419852e-18,1.1400438012674836e-09,3.8575831821475445e-15,2.004892120336154e-18,9.9517321281732995e-27,6.5931234100826755e-31,3.2761131248769114e-30
9.063334408407363e-18,0.20202356206038993,76.950000000000003,0.0,0.0,0.0,0.99999999799314032,9.5,1.4258131758364281e-11,2.3626901184662125e-10,2.362690146532507e-10,6.6177859156149452e-18,6.014624223232269e-18,1.520056968766044e-09,6.5607349390624801e-15,3.4097912279474178e-18,1.9354465546255349e-26,1.3795028558558447e-30,7.1644908233250945e-30
1.1329168250605597e-17,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999999749142554,9.5,1.7822665071285291e-11,2.9533626847206585e-10,2.9533627259721029e-10,1.0110480955135601e-17,9.0262431097286995e-18,1.9000693396908888e-09,1.0023314573786926e-14,5.2093823658903268e-18,3.2819468704391869e-26,2.5113338686371073e-30,1.3441561146503922e-29
1.5860835935002064e-17,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999999648799587,9.5,2.4951731691534905e-11,4.1347077871111527e-10,4.1347078596009691e-10,1.9442092893884598e-17,1.6673653912234558e-17,2.6600916417930417e-09,1.9274451031967203e-14,1.0017420709930506e-17,7.3601117860136263e-26,6.6306722844268333e-30,3.6778566736559293e-29
2.0392503619398533e-17,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999999548456631,9.5,3.2080798304368553e-11,5.3160528511710155e-10,5.3160529597459507e-10,3.1884976423687509e-17,2.6313984829675529e-17,3.4201107086088304e-09,3.1610005925825015e-14,1.6428485230221115e-17,1.3327022886363021e-25,1.3747062443660142e-29,7.7533703372057954e-29
2.945583898819147e-17,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999999347770774,9.5,4.6338931507791122e-11,7.678742875600963e-10,7.6787430595984777e-10,6.6103236705682766e-17,5.0444060943858745e-17,4.9401391378162231e-09,6.5533003008380929e-14,3.4058927525043728e-17,3.113933859527926e-25,4.1306069626889696e-29,2.3650190839216922e-28
4.758250972577734e-17,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999998946399238,9.5,7.4855197825658006e-11,1.2404122560872568e-09,1.2404122857557571e-09,1.7186937485745593e-16,1.1298553550112638e-16,7.9801571792936127e-09,1.7038582232336562e-13,8.8552340251088992e-17,9.0471724350463063e-25,1.7758917547320757e-28,1.026202508726283e-27
8.383585120094908e-17,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999998143656899,9.5,1.3188773010548196e-10,2.1854880721345867e-09,2.1854880846510424e-09,5.3271837487136292e-16,2.7077083297637161e-16,1.4060037999466671e-08,5.2811402453982662e-13,2.7446400043516284e-16,3.0418995353247458e-24,1.0000381560110672e-27,5.8017045221207475e-27
1.5634253415129256e-16,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999996538175129,9.4999999999999964,2.4595279324149441e-10,4.0756392999061692e-09,4.075639039660246e-09,1.8516786220222441e-15,6.3748334359762091e-16,2.6219178618652736e-08,1.8356321075106795e-12,9.5394936649353632e-16,1.1118502667535666e-23,6.640781747821159e-27,3.8577238562259585e-26
2.2884921710163604e-16,0.20202356206038988,76.950000000000003,0.0,0.0,0.0,0.99999994932697234,9.4999999999999947,3.6001785447932984e-10,5.9657900302547831e-09,5.9657891376333927e-09,3.9669828855603499e-15,1.0307591878596736e-15,3.8377491248311462e-08,3.9325288714613776e-12,2.0436023308323665e-15,2.426452328052397e-23,1.9954860196196559e-26,1.1595017337231044e-25
3.73862583002323e-16,0.2020235620603899,76.950000000000003,0.0,0.0,0.0,0.99999991721753045,9.499999999999984,5.8814797126049353e-10,9.7460900817503929e-09,9.7460867625134646e-09,1.0586582318285265e-14,1.8142992234648507e-15,6.2691632829413013e-08,1.0494181553466458e-11,5.4530462320108329e-15,6.5764357556088962e-23,8.730314722185174e-26,5.073469802912089e-25
5.1887594890301e-16,0.2020235620603898,76.950000000000003,0.0,0.0,0.0,0.99999988510824334,9.499999999999968,8.1627808044900483e-10,1.352638825175199e-08,1.3526380959348089e-08,2.0391460893403981e-14,2.5967611070065298e-15,8.7002463140154266e-08,2.0212693131935848e-11,1.0502296008546026e-14,1.2754098198214323e-22,2.2731330914200576e-25,1.3210043312021326e-24
6.63889314803697e-16,0.20202356206038977,76.950000000000003,0.0,0.0,0.0,0.99999985299911143,9.4999999999999467,1.0444081820448977e-09,1.7306684542220534e-08,1.7306671728199064e-08,3.3381557953363707e-14,3.3767295550290755e-15,1.1130998261355113e-07,3.3087650689140188e-11,1.7190807133256448e-14,2.0959400946728433e-22,4.6644616533468938e-25,2.7106537632135614e-24
8.089026807043841e-16,0.2020235620603897,76.950000000000003,0.0,0.0,0.0,0.99999982089013428,9.4999999999999201,1.2725382760482073e-09,2.1086978952019301e-08,2.1086959069129839e-08,4.9556811215461931e-14,4.1559017881929698e-15,1.3561419169445681e-07,4.9118630019489084e-11,2.5518020263493749e-14,3.1192304445830192e-22,8.3189631021193625e-25,4.8342680981010093e-24
1.0989294125057579e-15,0.20202356206038952,76.950000000000003,0.0,0.0,0.0,0.9999997566726444,9.4999999999998579,1.7287984412772049e-09,2.8647562129557444e-08,2.8647523467465377e-08,9.1462556044262786e-14,5.7139799097883319e-15,1.8421268032387709e-07,9.064708527260993e-11,4.7086484625195883e-14,5.7740767125765061e-22,2.0423633022377857e-24,1.1867730257334333e-23
1.388956144307132e-15,0.20202356206038935,76.950000000000003,0.0,0.0,0.0,0.9999996924557738,9.4999999999997708,2.1850585761362768e-09,3.6208137787712487e-08,3.6208074154862199e-08,1.4610819720577742e-13,7.2721309070520472e-15,2.3279793258666617e-07,1.4479466579423623e-10,7.5203216889477273e-14,9.2399169046253649e-22,4.0763836550918179e-24,2.3685418091421674e-23
1.678982876108506e-15,0.20202356206038913,76.950000000000003,0.0,0.0,0.0,0.99999962823952215,9.4999999999996696,2.6413186806257167e-09,4.3768705930745308e-08,4.3768611131854368e-08,2.1349321040058687e-13,8.8308078219117397e-15,2.8136995222700374e-07,2.115578011885093e-10,1.0986351292767586e-13,1.351671766095836e-21,7.1631230384386065e-24,4.1617773677347364e-23
1.96900960790988e-15,0.20202356206038888,76.950000000000003,0.0,0.0,0.0,0.99999956402388934,9.499999999999547,3.0975787547458152e-09,5.1329266564172113e-08,5.1329134398971304e-08,2.9361707592307787e-13,1.0389163601908223e-14,3.299287429553461e-07,2.909329532176719e-10,1.5106271327778206e-13,1.8604445868500806e-21,1.1529841183530668e-23,6.6983729634203786e-23
2.397204526885067e-15,0.20202356206038838,76.950000000000003,0.0,0.0,0.0,0.99999946921718152,9.4999999999993303,3.7712002107911208e-09,6.2491650282294656e-08,6.2491451607224879e-08,4.3519831418996911e-13,1.2689995594492481e-14,4.0159667398229013e-07,4.3117077542801304e-10,2.2383325138345791e-13,2.7598326779787651e-21,2.0780444004868577e-23,1.2071281437767675e-22
2.8253994458602542e-15,0.20202356206038774,76.950000000000003,0.0,0.0,0.0,0.99999937441182174,9.499999999999071,4.4448216006403309e-09,7.3654017654896389e-08,7.3653738934122686e-08,6.0454437032004178e-13,1.4990915357893063e-14,4.7323578863061671e-07,5.9888119635137484e-10,3.108326847839007e-13,3.8359655268885815e-21,3.4008404188127816e-23,1.9753174011452265e-22
3.2535943648354413e-15,0.20202356206038702,76.950000000000003,0.0,0.0,0.0,0.99999927960780943,9.499999999998769,5.1184429242943513e-09,8.4816368696785682e-08,8.4815996381313264e-08,8.016536260010718e-13,1.7291617828456119e-14,5.4484609844405363e-07,7.9405320805467912e-10,4.120465403465509e-13,5.0888328274133155e-21,5.1922355620837683e-23,3.0154856975206772e-22
4.1099842027858156e-15,0.2020235620603854,76.950000000000003,0.0,0.0,0.0,0.99999909000382547,9.4999999999980442,6.4656853730204493e-09,1.0714102184593342e-07,1.0714042164319228e-07,1.2791552375180025e-12,2.1893020303701727e-14,6.8798034989736459e-07,1.2667378231257471e-09,6.5705948318828858e-13,8.1247294248176972e-21,1.0465608094923609e-22,6.0767468023697911e-22
4.96637404073619e-15,0.2020235620603833,76.950000000000003,0.0,0.0,0.0,0.9999989004052251,9.4999999999971507,7.812927556976674e-09,1.2946560984570026e-07,1.2946472740609236e-07,1.8676901604213434e-12,2.649438592578174e-14,8.3099952091730462e-07,1.8491363423748257e-09,9.587561766693404e-13,1.1867439791441844e-20,1.846759419823012e-22,1.0720692682098213e-21
