Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600)
7.919754689369444e-22,0.33648121144411386,76.950000000000003,0.0,0.0,0.0,0.99999999999962719,9.5,1.9431420549419587e-15,2.0013250560762305e-14,2.0013250560778766e-14,3.7796678410672566e-26,3.7796124133216045e-26,3.3078483433190719e-13,1.6076798299053803e-22,1.8936937310444384e-26,2.887588288561012e-38,8.0253696811817953e-43,3.8671172645840059e-41,3.9927437322163312e-22,5.496642779511908e-28,2.8928954403611388e-38,1.5326122977800121e-42,8.0211188481252258e-56,2.093940798195572e-56,4.4362996705346675e-37,2.5280636242329462e-27,4.0793521285716864e-38,4.0793521285752592e-38,3.0889769700023025e-50,4.8346146922032477e-51,4.4482696729341773e-40,5.9461293511118691e-29,9.6472588436146642e-41,7.5495511608932172e-42,2.8090099506761335e-89,2.0569416015537867e-51,1.4570489451989658e-43,2.5641767616329661e-89,4.6514305179207104e-24,1.5043275127455766e-63,1.5043271959531e-63,7.0722813445572788e-35,2.085976868061074e-35,1.6971738910681284e-25,7.0717901946275683e-35,6.0936876920031129e-46,2.5641767616327209e-89,4.759171710148742e-55,2.0939408260563476e-56,2.7860775245941757e-64,1.2347759607334772e-76,6.6067780623114452e-44,3.5059768502508133e-89
1.5846390138677524e-21,0.336481211444114,76.950000000000003,0.0,0.0,0.0,0.99999999999925415,9.5,3.8879723306083351e-15,4.0043888828220495e-14,4.0043888828286412e-14,1.5128521461715549e-25,1.5128077708800964e-25,6.6185705660004774e-13,6.4349090446192662e-22,7.5797100231546127e-26,2.3115418096430812e-37,6.4251755291014381e-42,3.0968301992036494e-40,1.5981380295601657e-21,2.200089578247542e-27,2.3153177921675242e-37,1.2270215116836027e-41,1.2847730144670743e-54,3.3530334452889676e-55,3.5517371916131928e-36,1.0118842820692914e-26,3.2659621235336847e-37,3.2659621235394053e-37,4.9463877647094259e-49,7.7416825352559095e-50,3.5613204653313701e-39,2.3800013465199485e-28,7.7236729742220099e-40,6.0442313667819265e-41,3.6028343493306957e-87,3.2937865542461846e-50,1.1665251046300329e-42,3.2888114591286365e-87,1.8617844021809559e-23,4.8178980244843417e-62,4.8178959952799103e-62,5.6621253124859987e-34,1.6700498538129507e-34,6.7931185104867133e-25,5.6617320939329172e-34,9.7578397784386804e-45,3.2888114591280101e-87,7.6208754838610042e-54,3.3530335345184661e-55,8.9229498399873219e-63,7.9093228308641897e-75,5.2894396532520873e-43,4.4915177384454363e-87
3.1699661037293683e-21,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999999850797,9.5,7.777632881938122e-15,8.0105165362735945e-14,8.0105165362999664e-14,6.0533791648835461e-25,6.0530240374097209e-25,1.3240014976950603e-12,2.5748017959194124e-21,3.0328713047594493e-25,1.8494806046227911e-36,5.1420931906097668e-41,2.4787193484338092e-39,6.3946337704330283e-21,8.8032240623213279e-27,1.8517464933059634e-36,9.8198977341203106e-41,2.0567526748796001e-53,5.3670370480436128e-54,2.8424691908304632e-35,4.048855168444537e-26,2.6137622912967845e-36,2.613762291305941e-36,7.9174416501678676e-48,1.2391733761011104e-48,2.8501387119930561e-38,9.5231054817511152e-28,6.1812856859566218e-39,4.8372220391362857e-40,4.616306780200011e-85,5.2722035340641578e-49,9.3357461503336706e-42,4.2139496756135373e-85,7.4495626730873712e-23,1.542375421759248e-60,1.5423741225145668e-60,4.531421064674138e-33,1.336547439093677e-33,2.7181322355778582e-24,4.5311063703739387e-33,1.5618898339733679e-43,4.2139496756119291e-85,1.2198363851221844e-52,5.3670373336980957e-54,2.8565448262479615e-61,5.0641298635536777e-73,4.2331592904935792e-42,5.7516191197295752e-85
6.3406202834525995e-21,0.33648121144411386,76.950000000000003,0.0,0.0,0.0,0.99999999999701561,9.5,1.5556953984585839e-14,1.6022771843016313e-13,1.6022771843121801e-13,2.4217458375499147e-24,2.4214616971737496e-24,2.6482903661200098e-12,1.0300883732734826e-20,1.2133460046590594e-24,1.4791372780887615e-35,4.1144558567445984e-40,1.9834777105039481e-38,2.5582698865227645e-20,3.5218628564110125e-26,1.4797435862543076e-35,7.8574045268897706e-40,3.2916972693147691e-52,8.5890062594065908e-53,2.2744072104743994e-34,1.6198057128756635e-25,2.0914069547667937e-35,2.0914069547814466e-35,1.2670484040014803e-46,1.9830808284727025e-47,2.2805439760865912e-37,3.8098623003736623e-27,4.9459675816548233e-38,3.870512543108754e-39,5.911868969649664e-83,8.4372420692995303e-48,7.4700153550920642e-41,5.3965907192364342e-83,2.9803101379230532e-22,4.9366366573176514e-59,4.9366283403902651e-59,3.6258252997668812e-32,1.0694410096381637e-32,1.087429877748114e-23,3.6255734965927321e-32,2.4995322200337323e-42,5.3965907192323173e-83,1.952135362577262e-51,8.5890071736930971e-53,9.1428650663505862e-60,3.2417354406216554e-71,3.3871705960154157e-41,7.3636575878675946e-83
1.2681928642899063e-20,0.336481211444114,76.950000000000003,0.0,0.0,0.0,0.999999999994031,9.5,3.1115596189833838e-14,3.2047282455860313e-13,3.2047282456282193e-13,9.687771744839575e-24,9.685498654924739e-24,5.2968680479096075e-12,4.1206887900700295e-20,4.8537789764870361e-24,1.1822586017835692e-34,3.2918772891127749e-39,1.586983139231331e-37,1.0233912270913813e-19,1.408859796999877e-25,1.1808227630667972e-34,6.2865114443875953e-39,5.2674302962184709e-51,1.3743806874422649e-51,1.8196985147848907e-33,6.4797501793456054e-25,1.6732844292969681e-34,1.6732844293204162e-34,2.0274835923548515e-45,3.1732520744133585e-46,1.8246083668899469e-36,1.5240689506874902e-26,3.9571495739552577e-37,3.0967039929816707e-38,7.5691104985357656e-81,1.3500960450918998e-46,5.9765797289100014e-40,6.9093871463994554e-81,1.1922210651936418e-21,1.5798882140460236e-57,1.5798828906633149e-57,2.9009356085186655e-31,8.5563402782367935e-32,4.3500734394771572e-23,2.9007341469786157e-31,3.9996583380883591e-41,6.9093871463889095e-81,3.1237343407131477e-50,1.3743809800446782e-51,2.9260241331152618e-58,2.0749321247128788e-69,2.7099937682071327e-40,9.4264957256593053e-81
2.536454536179199e-20,0.33648121144411386,76.950000000000003,0.0,0.0,0.0,0.99999999998806177,9.5,6.2232880600140085e-14,6.4096303678983239e-13,6.4096303680669922e-13,3.8752663787205398e-23,3.8734482186406302e-23,1.0594023191247613e-11,1.6483425484383287e-19,1.9415905563469004e-23,9.4399527466929598e-34,2.6336269572591047e-38,1.2696669903796872e-36,4.0937313863124974e-19,5.6356685048282929e-25,9.3980475959254168e-34,5.0294334547131996e-38,8.4284607971451857e-50,2.1991205673400253e-50,1.455827889802516e-32,2.5920055404978623e-24,1.3386910927390459e-33,1.3386910927765645e-33,3.244138445271958e-44,5.0774614294668158e-45,1.4597559154908992e-35,6.0965238740253434e-26,3.165869639190588e-36,2.4774807238530737e-37,9.6896892832640601e-79,2.1602634780498313e-45,4.7814907896517874e-39,8.8451363739550583e-79,4.7690782027522937e-21,5.0558978753530031e-56,5.0558638041324258e-56,2.3208585762975071e-30,6.8453969298371385e-31,1.7401001130012199e-22,2.3206973996166222e-30,6.399778619769335e-40,8.8451363739280607e-79,4.9982291818768888e-49,2.1991215037168004e-50,9.3637677497487309e-57,1.3280272563833242e-67,2.1680979341592336e-39,1.20665620005399e-78
5.0729778799577846e-20,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999997612321,9.5,1.2446744941999358e-13,1.2819434611497345e-12,1.28194346121713e-12,1.5501380852006359e-22,1.5486841593124211e-22,2.1188332596958919e-11,6.5935040259781092e-19,7.7665199306618359e-23,7.5226052790281808e-33,2.106951742018147e-37,1.0157659220938852e-35,1.6375257923486839e-18,2.2543132659480063e-24,7.4414104384240273e-33,4.0236191378542594e-37,1.348599691101753e-48,3.5186811619606052e-49,1.1646899049242503e-31,1.036823309875215e-23,1.0709782941329666e-32,1.070978294192998e-32,5.1907525400255737e-43,8.1241444466377154e-44,1.1678323321159054e-34,2.438659165841972e-25,2.5327553346439109e-35,1.9820314957874644e-36,1.2403588154841086e-76,3.4565092454708225e-44,3.82528346310169e-38,1.132249193524365e-76,1.9076700022030231e-20,1.6179233512230448e-54,1.6179015453774736e-54,1.8567307957938587e-29,5.4764471253429275e-30,6.9605415208857759e-22,1.8566018517124998e-29,1.0239905477903707e-38,1.1322491935174533e-76,7.9973701264835576e-48,3.5186841584439995e-49,2.9964833931768247e-55,8.4995985017687395e-66,1.7345195123260423e-38,1.5445609808922136e-76
1.0146024567514956e-19,0.33648121144411386,76.950000000000003,0.0,0.0,0.0,0.9999999999522462,9.5,2.4893658705666466e-13,2.5639043094596953e-12,2.5639043097286995e-12,6.2006153847441724e-22,6.188994013996652e-22,4.2376947884523327e-11,2.6374281890878964e-18,3.1066393303747216e-22,5.9714299221865619e-32,1.6855816635472252e-36,8.1262588932008788e-35,6.550169178764858e-18,9.0173447913185467e-24,5.8332814773810789e-32,3.218896503934986e-36,2.1577968406867082e-47,5.6299575115769428e-48,9.3176289916663307e-31,4.1473354236174939e-23,8.567928026865429e-32,8.5679280278259468e-32,8.3053065372782182e-42,1.2998794971923141e-42,9.3427676203631758e-34,9.754735905464011e-25,2.02622752483426e-34,1.5856438094220525e-35,2.7793431185419879e-74,5.5304844043392636e-43,3.0602631456725237e-37,2.5370956901478162e-74,7.6307569078323255e-20,5.1773812406985048e-53,5.1772416854923382e-53,1.4854020472303775e-28,4.3812090457227225e-29,2.7842444959339803e-21,1.4852988912593624e-28,1.6384054773221344e-37,2.5370956901168932e-74,1.2795955080511774e-46,5.6299671004431965e-48,9.5888662531646238e-54,5.439811956696198e-64,1.3876320697792834e-37,1.9770633139517959e-74
2.0292117942629295e-19,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999990449218,9.5,4.978748623178629e-13,5.1278260044432755e-12,5.127826005514665e-12,2.4802587435111555e-21,2.4709778296078802e-21,8.4754164364224004e-11,1.0549764410087246e-17,1.2426618572312446e-21,4.7040718913454776e-31,1.3484737575565368e-35,6.5010632338887224e-34,2.6200804999431203e-17,3.6069562610573968e-23,4.4855990349370641e-31,2.5750732720646257e-35,3.4525066161761488e-46,9.0079766944080607e-47,7.454146100084695e-30,1.6589426034190495e-22,6.8543830795679625e-31,6.8543830811048006e-31,1.3288564917366437e-40,2.0798199608783859e-41,7.4742553828626366e-33,3.9019142176943541e-24,1.6209903747515953e-33,1.2685222460794912e-34,3.5695180456218301e-72,8.8488290279106181e-42,2.4482251341590577e-36,3.2583990051301999e-72,3.0523177079062712e-19,1.6567463145055859e-51,1.6566570037851282e-51,1.1883283404017162e-27,3.504986994360456e-28,1.1137031147559482e-20,1.1882458159645286e-27,2.6214646865513077e-36,3.2583990050506375e-72,2.0473658839452025e-45,9.00800737893944e-47,3.0684531374726654e-52,3.4814981404500571e-62,1.1101122297538218e-36,2.5306546198982492e-72
4.058430469285798e-19,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999980898413,9.5,9.9575141279168464e-13,1.0255669387889205e-11,1.0255669392137906e-11,9.9210599995516725e-21,9.847070961525701e-21,1.695085409419503e-10,4.2199148916894944e-17,4.9706585067358322e-21,3.6513599003582921e-30,1.0787828866577104e-34,5.2008786541531175e-33,1.0480344668738745e-16,1.4427861724942597e-22,3.329235823064795e-30,2.0599699969673802e-34,5.5240416915140338e-45,1.441276822335995e-45,5.9633324517042768e-29,6.6357872585472425e-22,5.4835227081923892e-30,5.4835227106513352e-30,2.1261739365403949e-39,3.3277210511311054e-40,5.979417142424641e-32,1.5607696637922133e-23,1.296794124929726e-32,1.0148202816920807e-33,4.5691295438768482e-70,1.415816416166933e-40,1.9585860623142125e-35,4.1708844105516239e-70,1.2209297240444639e-18,5.3014355995766841e-50,5.3008640757078148e-50,9.506649347096267e-27,2.8039962497725157e-27,4.4548210025450331e-20,9.5059891629092276e-27,4.1943544512682123e-35,4.1708844103479332e-70,3.2757960014832815e-44,1.4412866413912672e-45,9.8190552703462686e-51,2.2281601629508335e-60,8.880923972559602e-36,3.2392399795415307e-70
8.116867819331534e-19,0.33648121144411386,76.950000000000003,0.0,0.0,0.0,0.99999999961796804,9.5,1.9915045135450275e-12,2.0511356128886701e-11,2.0511356145589642e-11,3.9684288820099607e-20,3.9096470005052327e-20,3.390170685710027e-10,1.6879668197171675e-16,1.9882646805681211e-20,2.7566859923456755e-29,8.6302867745528912e-34,4.1607231392095086e-32,4.19214001092373e-16,5.7711520194278568e-22,2.3252806392168274e-29,1.6478268898222515e-33,8.8385100472265794e-44,2.3060336837461463e-44,4.7706696442358003e-28,2.6543182539083696e-21,4.3868246343855305e-29,4.3868246383198396e-29,3.4018734363012724e-38,5.3243574572535077e-39,4.78353296273207e-31,6.2430866534840697e-23,1.0374336030766334e-31,8.1185658793635144e-33,5.8485043840941756e-68,2.2653075335129911e-39,1.5668714045302081e-34,5.3387490019336155e-68,4.8837213933151545e-18,1.6963533742062183e-48,1.6959876836079655e-48,7.605321828568947e-26,2.2431976633698099e-26,1.7819284383124393e-19,7.6047937016666208e-26,6.7109701705768448e-34,5.3387490014121671e-68,5.2412824890523424e-43,2.3060651046016808e-44,3.1420855520633147e-49,1.4260170964977704e-58,7.1047493738750869e-35,4.1462115391555849e-68
1.217530516937727e-18,0.33648121144411397,76.950000000000003,0.0,0.0,0.0,0.99999999942695195,9.5,2.9872576141040694e-12,3.0767042844177887e-11,3.0767042879246617e-11,8.4329142874571068e-20,8.2655021128555242e-20,5.0852537067395487e-10,3.586928948498273e-16,4.2250621901553965e-20,7.6293387588653393e-29,2.467725647304359e-33,1.2352170016645156e-31,8.908296173692887e-16,1.226370261456967e-21,6.1722492993685021e-29,4.7115078969685255e-33,3.3437933021384728e-43,8.4877162299475452e-44,1.3641133135805362e-27,5.64042836295477e-21,1.2543581402647237e-28,1.2543581417128094e-28,1.252113956694177e-37,1.95971698029951e-38,1.3677906886478287e-30,1.3266564203521426e-22,2.966407526069777e-31,2.3214019346339662e-32,3.0176121055919731e-67,8.3378348616055664e-39,4.4802750792843263e-34,2.7545971699442818e-67,1.0377906388798206e-17,7.7447448334867548e-48,7.7427357804111256e-48,2.1746460718334292e-25,6.4141413863429325e-26,3.7865960743874563e-19,2.1744950639770809e-25,2.4700822007887146e-33,2.7545971696241403e-67,1.9291408147960046e-42,8.4878596861006629e-44,1.4345615304101687e-48,7.8349607942807009e-58,2.031514993143449e-34,2.6748753683534149e-67
