Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895)
2.0500930826146367e-21,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999969958842,9.5,8.7888069218439225e-14,9.4853495458691262e-13,9.4853495457982221e-13,4.8206260044948688e-24,4.8202155811548814e-24,2.9842667825205422e-10,4.4711262368692592e-19,2.0094326092357655e-24,3.3064286923516231e-35,1.5391718810697731e-39,3.2193485908449558e-36,1.7958385457066284e-18,3.2482469913870167e-25,2.7493587569803275e-35,4.7229599811170378e-39,3.0180536722117976e-49,0.0,9.0190218772054048e-32,9.4525953014512936e-24,1.7950468657575388e-33,1.795046865761143e-33,3.0421877590463935e-45,5.6178011308327884e-46,2.0747449840226217e-32,3.5337877472812903e-25,1.283346279035345e-36,1.184934118304652e-37,1.2461979735797317e-79,6.9050358449348042e-46,6.3944139923266685e-38,1.1091657273345029e-79,2.2174146741892495e-20,1.3584246395691645e-57,1.3584238309866403e-57
4.1001879031161854e-21,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.9999999993991765,9.5,1.7577621290536681e-13,1.8970707124833406e-12,1.8970707124549786e-12,1.9282516248558734e-23,1.9279233120300588e-23,5.9685360478917306e-10,1.7884516197540146e-18,8.0377354892303492e-24,2.640374500741272e-34,1.2313388432292253e-38,2.5754814031519117e-35,7.1833587014532314e-18,1.2992996218643097e-24,2.1898610332301371e-34,3.7783676523783418e-38,4.8288909619375074e-48,0.0,7.2152228078112621e-31,3.78104052324913e-23,1.4360385573359452e-32,1.4360385573417116e-32,4.867504155123912e-44,8.9884888600213343e-45,1.6597971949728513e-31,1.4135160053201398e-24,1.0266777623547945e-35,9.4794798723092986e-37,2.7923239914551765e-77,1.1048065930881546e-44,5.1155350038910908e-37,2.4852793352795661e-77,8.8696642761412925e-20,4.3469603329868721e-56,4.3469551580622843e-56
8.200377544119284e-21,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999879835266,9.5,3.5155250017357957e-13,3.7941422259535752e-12,3.7941422258401125e-12,7.7130089281913439e-23,7.7103828419501158e-23,1.1937074437796674e-09,7.1538086566650449e-18,3.2150951713703495e-23,2.1047075467670384e-33,9.8507211997207487e-38,2.0603861147156838e-34,2.8733443552487888e-17,5.1972001334986214e-24,1.7366794793658416e-33,3.02269022677632e-37,7.7262295350736079e-47,0.0,5.7721803136843533e-30,1.512416689082065e-22,1.1488312712246965e-31,1.1488312712339229e-31,7.78800933425255e-43,1.4381587594062083e-43,1.3278382110072994e-30,5.6540658804060479e-24,8.213424786446424e-35,7.5835865415971712e-36,3.5861492486750155e-75,1.7676911869658235e-43,4.0924295458441829e-36,3.1918153663209187e-75,3.5478667904555478e-19,1.3910265443223889e-54,1.3910232323793644e-54
1.6400756826125482e-20,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.9999999975967051,9.5,7.03105074287435e-13,7.5882852436036307e-12,7.5882852431496701e-12,3.0852040431520149e-22,3.0831038412046731e-22,2.3874150654256844e-09,2.8615238403044661e-17,1.2860382358617342e-22,1.6717437463904139e-32,7.8805893019598488e-37,1.6483092566555535e-33,1.1493378937865596e-16,2.0788803789453204e-23,1.3656115032072912e-32,2.4181446040136627e-36,1.2361970218825173e-45,0.0,4.6177449899468845e-29,6.0496677098816763e-22,9.1906518626424488e-31,9.1906518627900685e-31,1.2460816102954025e-41,2.3010543772839878e-42,1.0622707059005487e-29,2.2616267610353733e-23,6.5707404739618932e-34,6.0668700882174876e-35,4.5903924586756383e-73,2.8283062550231247e-42,3.2739442837180469e-35,4.08563174033067e-73,1.4191469034795439e-18,4.4512773219449461e-53,4.4512561256343634e-53
3.2801515390137875e-20,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999519340999,9.5,1.4062102208248655e-12,1.5176571241742617e-11,1.5176571239925948e-11,1.2340817005346027e-21,1.2324026057330683e-21,4.7748300833778537e-09,1.1446095653363567e-16,5.1441530555208327e-22,1.3185524906869637e-31,6.3044894354502979e-36,1.3186475000860024e-32,4.5973516925485287e-16,8.3155221375736967e-23,1.056342655981062e-31,1.9345030213921585e-35,1.9779153971254085e-44,0.0,3.6941961467974544e-28,2.4198672698541308e-21,7.3525221535251895e-30,7.3525221537613797e-30,1.9937303561026668e-40,3.6816870655751648e-41,8.4981654769123829e-29,9.046508158270097e-23,5.2565919487098504e-33,4.8534960884535176e-34,5.8757046060706786e-71,4.5252897982046261e-41,2.6191557337116666e-34,5.2296106445494797e-71,5.6765877588927771e-18,1.4244034276662162e-51,1.4243898621913955e-51
4.920227395415027e-20,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999999279011487,9.5,2.1093153656720158e-12,2.2764857202721036e-11,2.2764857198859389e-11,2.6224236531944552e-21,2.6176242426246121e-21,7.1622448759901763e-09,2.4322952924966035e-16,1.0931325062678792e-21,3.7397730509906849e-31,1.802693311393925e-35,3.9147347848874521e-32,9.7693722108237708e-16,1.7670484894547516e-22,2.9633018806474962e-31,5.5314486149212642e-35,7.4828557669465088e-44,0.0,1.0563092050508196e-27,5.1422180601212303e-21,2.1023618505707631e-29,2.1023618506576965e-29,7.3382510946943964e-40,1.3551053035389065e-40,2.4299440915222709e-28,1.9223830956978801e-22,1.5030566499849843e-32,1.3877965041261099e-33,3.0316460938624156e-70,1.665607077208106e-40,7.4891487287299041e-34,2.6982855254345016e-70,1.2062748819933718e-17,6.5033079779443642e-51,6.5032334454015289e-51
6.560303251816266e-20,0.3802094612573043,76.950000000000003,0.0,0.0,0.0,0.99999999038681975,9.5,2.8124205088288853e-12,3.0353143126539436e-11,3.0353143119949986e-11,4.4735462525834709e-21,4.4634262543510528e-21,9.5496594432626744e-09,4.1492095249872103e-16,1.8647554062643914e-21,7.8307006222255793e-31,3.802410060776071e-35,8.5300009390116104e-32,1.6665399285886971e-15,3.0143768620774979e-22,6.1442350627977047e-31,1.1667386925359348e-34,1.947783092986186e-43,0.0,2.228062009448077e-27,8.7720191384845584e-21,4.4344900769896587e-29,4.4344900772101413e-29,1.8611392075448789e-39,3.4368403559289796e-40,5.1254556097183284e-28,3.2793595507390409e-22,3.1703815529918038e-32,2.9272646724409407e-33,1.6538680104935797e-69,4.2243399569789032e-40,1.5796784123480026e-33,1.472008267387227e-69,2.0577629885684836e-17,1.93844879013044e-50,1.9384231644059893e-50
9.840454964618745e-20,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999998558022951,9.5,4.2186307911756411e-12,4.5529714886965653e-11,4.5529714873316365e-11,9.2619092656051684e-21,9.2342836337100861e-21,1.4324488048948963e-08,8.5904108869755145e-16,3.8607390115290347e-21,2.1130472714920088e-30,1.0385608295644185e-34,2.4759960053511037e-31,3.4503590768592348e-15,6.2408844368932111e-22,1.6316812487749218e-30,3.1867069023017211e-34,7.14808886754589e-43,0.0,6.0855281741246888e-27,1.8161351555889347e-20,1.2111967857904506e-28,1.2111967858675543e-28,6.5084929903290345e-39,1.201879653342308e-39,1.3999207701079083e-27,6.7894979082165446e-22,8.6592941843649309e-32,7.9952672613525884e-33,2.2969322660458371e-68,1.477272005665518e-39,4.3145918573387797e-33,2.044361016215953e-68,4.2603366915191344e-17,8.4849481654555974e-50,8.4848103464449726e-50
1.3120606677421223e-19,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999998077363927,9.5,5.6248410673066333e-12,6.0706286510745788e-11,6.0706286487521129e-11,1.5752081689925793e-20,1.5694307859570289e-20,1.9099315825980525e-08,1.4610038213756028e-15,6.5661055124998857e-21,4.3741076398046685e-30,2.1730255876055329e-34,5.4147237389414305e-31,5.8681567887750466e-15,1.0614109822769954e-21,3.3307147936665362e-30,6.6676227478634235e-34,1.8535528921118343e-42,0.0,1.273296012032719e-26,3.0887702309504681e-20,2.5342288311783441e-28,2.5342288313710058e-28,1.6262949828017742e-38,3.0031698641569506e-39,2.9291022861548908e-27,1.1547158441743982e-21,1.8118137847924032e-31,1.6728772672525583e-32,1.0558673013181971e-67,3.6913002238114522e-39,9.0275697088889123e-33,9.3976386763727235e-68,7.2457164955757639e-17,2.4721013876611463e-49,2.4720554556140711e-49
1.6400758390223703e-19,0.3802094612573042,76.950000000000003,0.0,0.0,0.0,0.99999997596704926,9.5,7.0310513367778798e-12,7.5882857988123052e-11,7.588285795262417e-11,2.4065621275749249e-20,2.396049846211592e-20,2.3874142715167865e-08,2.2320835946230972e-15,1.0031524985915361e-20,7.8771159781733556e-30,3.9559267635771324e-34,1.0158758085132114e-30,8.9652171386854878e-15,1.6215961415099518e-21,5.9149837940581737e-30,1.2138089367498037e-33,4.0527501935577228e-42,0.0,2.3179866508415832e-26,4.7189429830451432e-20,4.613466759073635e-28,4.6134667594823872e-28,3.4503616399883729e-38,6.3715519127993392e-39,5.3323183334772279e-27,1.7641450118570149e-21,3.2983373669844455e-31,3.0454089802000081e-32,3.8982801132866113e-67,7.8314951746503703e-39,1.6434346255296517e-32,3.4696242539416553e-67,1.1069816987949505e-16,6.0021131979388154e-49,6.0019874468357863e-49
