Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271)
5.264706693758452e-19,0.29485977699363397,76.950000000000003,0.0,0.0,0.0,0.99999999999964362,9.5,1.9216972248977444e-14,1.4972471500488766e-13,1.4972471511554713e-13,1.7077172443419622e-22,1.703731450724729e-22,3.7798423032297847e-14,9.4359719147972955e-21,1.1105801972741115e-22,1.4246628458904267e-32,2.5317305383894606e-37,1.9228744829748426e-37,1.2059002172497972e-20,3.3499701068835376e-25,1.835446373471174e-32,1.6147834501945861e-37,3.9443760813313438e-51
1.053398741592156e-18,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999999928679,9.5,3.8450640390412798e-14,2.9957951173718831e-13,2.9957951217852562e-13,6.8353193856389874e-22,6.8034781938169179e-22,7.5629641782229712e-14,3.776845971187117e-20,4.4452140104428697e-22,1.1352005786550693e-31,2.026923860238921e-36,1.5399296950104917e-36,4.8267411330797088e-20,1.3408610680022487e-24,1.4489051462440208e-31,1.2927377436123632e-36,6.3181369381388536e-50
2.1072548860247774e-18,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999999857325,9.5,7.6917976673205516e-14,5.9928910352479779e-13,5.9928910527808929e-13,2.7350180707880967e-21,2.7096458118444458e-21,1.5129194746483447e-13,1.5112288409709505e-19,1.7786637925514551e-21,8.999862554234574e-31,1.6221551581116564e-35,1.2326808788003805e-35,1.9313232426893469e-19,5.3651908072392625e-24,1.1279470137354841e-30,1.0344696607871607e-35,1.0115403631059397e-48
4.214967174890021e-18,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999999714617,9.5,1.5385264923847893e-13,1.1987082804571089e-12,1.1987082873716429e-12,1.0941853019647211e-20,1.0740580648657972e-20,3.0261603156284538e-13,6.0458873792934187e-19,7.1158067456258791e-21,7.0685719706883028e-30,1.297970662807352e-34,9.8657520206002214e-35,7.7265351889465495e-19,2.1464256694916634e-23,8.5574339553076278e-30,8.2755144628932675e-35,1.6191908256256208e-47
8.430391752620507e-18,0.29485977699363397,76.950000000000003,0.0,0.0,0.0,0.99999999999429201,9.5,3.0772199436777766e-13,2.3975466082540731e-12,2.3975466351364567e-12,4.3770972604620321e-20,4.2187866159227429e-20,6.052620907047699e-13,2.4185421450650333e-18,2.8465490576756865e-20,5.454058647495165e-29,1.0384752444340695e-33,7.8964915505169601e-34,3.0908533053064668e-18,8.5864013406753365e-23,6.200714160860829e-29,6.6181384832293365e-34,2.5919750073275382e-46
1.6861240908081478e-17,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999998858358,9.5,6.1546068462138297e-13,4.7952231633613039e-12,4.795223264976921e-12,1.750910021372722e-19,1.6284044629672386e-19,1.2105457728898072e-12,9.6744851917179736e-18,1.1386617200642423e-19,4.0725297708903011e-28,8.3081982601267021e-33,6.3222126094989803e-33,1.2363817844972968e-17,3.4347002117698222e-22,4.1681229555155468e-28,5.2901250738973707e-33,4.1503762201176319e-45
3.372293921900342e-17,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999997716682,9.5,1.2309380651086246e-12,9.5905758983940391e-12,9.5905762619012573e-12,7.003781557717153e-19,6.0841480724633261e-19,2.4210793938052291e-12,3.869811170179998e-17,4.5547056780390122e-19,2.8727711260814796e-27,6.646719419075944e-32,5.0653028512734556e-32,4.9455489831698805e-17,1.3739079737843919e-21,2.5197668686561419e-27,4.2247998110911471e-32,6.6501958450718514e-44
6.74463358408473e-17,0.29485977699363397,76.950000000000003,0.0,0.0,0.0,0.99999999995433331,9.5,2.4618928260032321e-12,1.918128003739913e-11,1.9181281204724095e-11,2.8015403083881201e-18,2.1469915432888671e-18,4.842011669341793e-12,1.5478909046746915e-16,1.8218737286805129e-18,1.8552183892325509e-26,5.3174435204314807e-31,4.0640432901231158e-31,1.9781766998544249e-16,5.4956873411717459e-21,1.3478046923825376e-26,3.3680984128144391e-31,1.0670325053499946e-42
1.0116973246269119e-16,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999993149979,9.5,3.6928475868179639e-12,2.8771982979786416e-11,2.8771985096521628e-11,5.9532897747737813e-18,4.1985714903488563e-18,7.2628089861079851e-12,3.289205592374358e-16,3.8714535071509711e-18,4.7337466919759367e-26,1.5204621094363085e-30,1.2081810961985589e-30,4.2035455110073606e-16,1.1678369913502904e-20,3.1621142488211209e-26,9.6114087554812988e-31,4.0414645182742299e-42
1.348931290845351e-16,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999990866628,9.5,4.9238023475528203e-12,3.8362684832087961e-11,3.8362687937294389e-11,1.015562602420934e-17,6.6566403146118909e-18,9.6834713516272998e-12,5.6108928245087363e-16,6.6041921598494035e-18,9.0727478952809697e-26,3.2071027004832096e-30,2.6356299227351534e-30,7.1706199818936178e-16,1.9921955456441329e-20,5.7107593052286885e-26,2.0236508701267458e-30,1.0530145535048066e-41
2.0233992232822287e-16,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999986299914,9.5,7.3857118688350701e-12,5.754408622588534e-11,5.7544091152150728e-11,2.1025959736923476e-17,1.2279278705019066e-17,1.4524479383688361e-11,1.1616265756202913e-15,1.3672946501044469e-17,2.1445666772571816e-25,8.7596222237543434e-30,7.6632822101490539e-30,1.4845378436519555e-15,4.1245938977608096e-20,1.254648584810843e-25,5.5105684812911883e-30,3.8700990535630889e-41
2.6978671557191064e-16,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999981733201,9.5,9.8476213898235867e-12,7.6725484210082957e-11,7.6725490502018496e-11,3.5759671347722984e-17,1.8797834697798801e-17,1.9364991214375618e-11,1.9755606772741523e-15,2.325377236574817e-17,3.9787719610201213e-25,1.832810680529798e-29,1.6782219470790287e-29,2.5247309672506104e-15,7.0148596044798004e-20,2.2112019532855914e-25,1.1499160226929441e-29,1.0046679756461839e-40
3.3723350881559844e-16,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999977166487,9.5,1.230953091049739e-11,9.5906878871382161e-11,9.5906885710830641e-11,5.4632712881080163e-17,2.5946176714374841e-17,2.4204971451012618e-11,3.018112593627892e-15,3.5525984949856577e-17,6.4754117839143299e-25,3.3365695069167679e-29,3.1531739986895416e-29,3.8570935408120793e-15,1.0717125922958142e-19,3.4606446848273721e-25,2.0876990481662575e-29,2.1991377883270629e-40
4.72127095302974e-16,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999968033071,9.5,1.7233349950881094e-11,1.3426965914523131e-10,1.3426966344519495e-10,1.050567703878169e-16,4.1043909735162707e-17,3.3883304091166087e-11,5.8032838001040129e-15,6.8312824946977532e-17,1.3540792239937164e-24,8.8095707116721487e-29,8.6641329520670458e-29,7.4164921839701953e-15,2.060866479638141e-19,6.8566776816437176e-25,5.4716614407357229e-29,8.4912604781132444e-40
7.419142682777251e-16,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.9999999994976625,9.5,2.7080988027816465e-11,2.1099518556367701e-10,2.1099516849130971e-10,2.563064862731055e-16,7.25841789125069e-17,5.3233499805542618e-11,1.4155933547041484e-14,1.6664994196952752e-16,3.5926853257624409e-24,3.4065519586303097e-28,3.4743003788543661e-28,1.8091028136102913e-14,5.0278920207994152e-19,1.7214705536012882e-24,2.0807846233952432e-28,5.6569424831919175e-39
1.0117014412524762e-15,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.9999999993149945,9.5,3.6928626099638057e-11,2.8772066759115369e-10,2.8772060624965512e-10,4.7481593032566341e-16,1.0477144969431249e-16,7.2575064653582315e-11,2.6220381421181214e-14,3.0870298577681108e-16,6.9338289842211532e-24,8.4542724374856959e-28,8.7643420910374189e-28,3.3509175248522586e-14,9.3143408393378908e-19,3.2330685813880293e-24,5.0957738092100838e-28,1.8767277312834416e-38
1.5512757872019784e-15,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999894965907,9.5,5.6623902227944557e-11,4.411715006093365e-10,4.4117127996526503e-10,1.1135518009014386e-15,1.6903699696287088e-16,1.1123232932330921e-10,6.1472813625239283e-14,7.2387074179876333e-16,1.6922944010340374e-23,3.0706496363635133e-27,3.2600752609052016e-27,7.8561148739218106e-14,2.1844311542296436e-18,7.682708746076532e-24,1.7935631412281202e-27,1.1035061621495428e-37
2.6304244791009828e-15,0.2948597769936339,76.950000000000003,0.0,0.0,0.0,0.99999999821899022,9.4999999999999947,9.601445442321185e-11,7.4807264250708244e-10,7.4807182021466167e-10,3.1978689785705827e-15,2.974326215057036e-16,1.8844352757904625e-10,1.7641633664692998e-13,2.0781439643047646e-15,5.012706900388582e-23,1.5345039251682687e-26,1.6906050186825429e-26,2.2545690113372121e-13,6.2732255220774308e-18,2.2284405708628412e-23,8.3948880589591658e-27,1.0302714123725987e-36
3.709573170999987e-15,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999748832413,9.4999999999999893,1.3540500653668597e-10,1.0549730858748476e-09,1.0549712842470177e-09,6.3579546882724505e-15,4.2573146195568558e-16,2.6551712084107024e-10,3.5053838674750386e-13,4.1305954526322408e-15,1.0096519757906141e-22,4.1965959492315679e-26,4.733189595070077e-26,4.4798174539552368e-13,1.2472390393880326e-17,4.4484913243780697e-23,2.1889136514101464e-26,3.8228069715770838e-36
4.788721862898992e-15,0.29485977699363386,76.950000000000003,0.0,0.0,0.0,0.99999999675766083,9.4999999999999822,1.747955585683675e-10,1.3618728311768294e-09,1.3618696720848574e-09,1.0593786409227472e-14,5.5402467603612208e-16,3.4245334341863168e-10,5.8373819663571212e-13,6.8806698564227902e-15,1.6943693704725036e-22,8.8380285421738696e-26,1.0166715637780782e-25,7.4600690274885214e-13,2.0781909412379376e-17,7.4278187085029885e-23,4.4128511541037297e-26,1.0093257729082042e-35
5.867870554797997e-15,0.2948597769936338,76.950000000000003,0.0,0.0,0.0,0.99999999602700029,9.4999999999999734,2.1418611051825668e-10,1.6687718789745999e-09,1.6687669837472512e-09,1.5905345074305368e-14,6.8232139986998444e-16,4.1925243650660285e-10,8.7591203778226157e-13,1.0327796469499295e-14,2.5554198398390839e-22,1.6021702165735166e-25,1.8759641586139082e-25,1.1193998100092856e-12,3.1201773925609893e-17,1.1165801579039141e-22,7.6707230022400841e-26,2.2036047992160478e-35
8.026167938596005e-15,0.29485977699363375,76.950000000000003,0.0,0.0,0.0,0.99999999456568778,9.4999999999999503,2.9296721417265853e-10,2.2825678841753902e-09,2.2825583786101222e-09,2.9755578821074897e-14,9.3891673905800746e-16,5.7244012536052417e-10,1.6367985663089894e-12,1.9311097085802286e-14,4.806509498431607e-22,4.0102927323573218e-25,4.8419102397055318e-25,2.091799090824942e-12,5.8372519680390554e-17,2.0915438133525031e-22,1.7731394481060107e-25,7.4305279881733418e-35
1.0184465322394014e-14,0.29485977699363364,76.950000000000003,0.0,0.0,0.0,0.99999999310438625,9.4999999999999201,3.7174831749989255e-10,2.896361106043509e-09,2.8963454689751664e-09,4.7908516407353512e-14,1.1955112976698614e-15,7.2508211279382199e-10,2.6323699365834213e-12,3.1075937205901353e-14,7.7628980364754134e-22,8.0955296770834478e-25,1.0029989224814581e-24,3.3641213731370883e-12,9.3984584580809226e-17,3.3692437885961916e-22,3.3219059368751999e-25,1.8866827134284895e-34
1.2342762706192024e-14,0.29485977699363347,76.950000000000003,0.0,0.0,0.0,0.99999999164309583,9.4999999999998828,4.505294204999598e-10,3.510151549374534e-09,3.5101282549876572e-09,7.036401257466789e-14,1.4521021089264261e-15,8.7718041913103413e-10,3.8617572856352598e-12,4.5617524235055183e-14,1.1424561784540266e-21,1.4333305370133978e-24,1.8162929309544444e-24,4.9352562657838529e-12,1.3803792651934487e-16,4.9491584685559216e-22,5.4731391185288484e-25,4.046369584356365e-34
1.4501060089990033e-14,0.29485977699363336,76.950000000000003,0.0,0.0,0.0,0.99999999018181651,9.4999999999998384,5.2931052317286118e-10,4.1239392189056495e-09,4.1239067367901029e-09,9.7121924827003518e-14,1.7086938387139093e-15,1.0287370390121798e-09,5.3241027964062879e-12,6.2931116336764434e-14,1.5791477130830388e-21,2.3195145309692608e-24,2.9985129574326699e-24,6.8041074940792402e-12,1.9053250682417966e-16,6.8307717630386859e-22,8.2578045642777597e-25,7.7478409560357145e-34
1.8817654857586052e-14,0.29485977699363297,76.950000000000003,0.0,0.0,0.0,0.9999999872592904,9.4999999999997282,6.8687272753716918e-10,5.3515062547051401e-09,5.3514507883106178e-09,1.6354445188727984e-13,2.2218714486261117e-15,1.3302328138264337e-09,8.9444022385033077e-12,1.0585618742460711e-13,2.6640973900123302e-21,5.0601046333743901e-24,6.7630836365604812e-24,1.1430784986123498e-11,3.2084523666921616e-16,1.1497121148788966e-21,1.5765252888011541e-24,2.2775541987095627e-33
2.270259014842247e-14,0.29485977699363247,76.950000000000003,0.0,0.0,0.0,0.99999998462905415,9.4999999999996039,8.2867871034614729e-10,6.4563071463792662e-09,6.4562257156642407e-09,2.3803760587523407e-13,2.6837283046798032e-15,1.599745641561205e-09,1.29911323015578e-11,1.5392316474402435e-13,3.8817255184594055e-21,8.8819373980855041e-24,1.2152423570268586e-23,1.6602433133573069e-11,4.6699535396902629e-16,1.6723655301339696e-21,2.4808627592046929e-24,4.9392238315357805e-33
2.6587525439258888e-14,0.2948597769936321,76.950000000000003,0.0,0.0,0.0,0.9999999819988532,9.49999999999946,9.7048469209512105e-10,7.5610991220046181e-09,7.5609866995264769e-09,3.2646843903027538e-13,3.1455817802083198e-15,1.867533115564272e-09,1.7779869527654849e-11,2.1090038212665992e-13,5.3278199871571938e-21,1.4264708641333642e-23,1.9888051324840528e-23,2.272235307458741e-11,6.4049449880127848e-16,2.2919959353323946e-21,3.6053130430009773e-24,9.4609884723689237e-33
3.0472460730095306e-14,0.29485977699363153,76.950000000000003,0.0,0.0,0.0,0.99999997936868679,9.4999999999992912,1.1122906727840953e-09,8.6658822081434675e-09,8.6657337407058019e-09,4.288361429524831e-13,3.6074310255269561e-15,2.1336062766261255e-09,2.330586570241665e-11,2.7676127822979158e-13,7.0023675523875395e-21,2.1475623717491503e-23,3.0406485620324915e-23,2.978447667706746e-11,8.4134245042428069e-16,3.0083142429591651e-21,4.9506118586685957e-24,1.6564416708141815e-32
3.4357396020931724e-14,0.2948597769936308,76.950000000000003,0.0,0.0,0.0,0.99999997673855512,9.4999999999990994,1.2540966524130751e-09,9.7706564312811103e-09,9.7704668400107336e-09,5.4513990920135951e-13,4.06927663636672e-15,2.3979760954922325e-09,2.9564402735102997e-11,3.5147936723221957e-13,8.9053549572748906e-21,3.0782048754326186e-23,4.4144911422907137e-23,3.7782774306378189e-11,1.0695389888836025e-15,3.8210321874756055e-21,6.5164652287121838e-24,2.7097866894107322e-32
3.824233131176814e-14,0.2948597769936302,76.950000000000003,0.0,0.0,0.0,0.99999997410845787,9.4999999999988844,1.3959026309820651e-09,1.0875421817831194e-08,1.0875185998249925e-08,6.7537892920235133e-13,4.5311187680542118e-15,2.6606534750168308e-09,3.6550791732350588e-11,4.3502823541665218e-13,1.1036768946292484e-20,4.2451533819060896e-23,6.1540450792163928e-23,4.6711253641604211e-11,1.3250838949447862e-15,4.7298622880996808e-21,8.3023239967439967e-24,4.2035532785555649e-32
4.601220189344098e-14,0.2948597769936285,76.950000000000003,0.0,0.0,0.0,0.99999996884836562,9.4999999999983888,1.6795145849400953e-09,1.3084926186464899e-08,1.3084582494765714e-08,9.7765949612741483e-13,5.4547917800060073e-15,3.1809742044031934e-09,5.2688508980573308e-11,6.2851301421805467e-13,1.5984823667389727e-20,7.3950466964226417e-23,1.0904930937946503e-22,6.7334965700636886e-11,1.9182179360304979e-15,6.8347129500222822e-21,1.2532001209287851e-23,8.9603192745004709e-32
5.378207247511381e-14,0.2948597769936265,76.950000000000003,0.0,0.0,0.0,0.99999996358840826,9.4999999999977991,1.9631265346582251e-09,1.5294395523841224e-08,1.5293923236722495e-08,1.335671375008761e-12,6.3784511117260599e-15,3.6946543307396185e-09,7.1682089841252056e-11,8.5700581753956598e-13,2.1846425670885255e-20,1.1811527568334351e-22,1.7642238430212876e-22,9.1608420041780582e-11,2.6207428328704857e-15,9.3205828457389799e-21,1.7634878709913102e-23,1.6951301024610511e-31
6.155194305678665e-14,0.2948597769936242,76.950000000000003,0.0,0.0,0.0,0.99999995832858402,9.4999999999971205,2.2467384801364913e-09,1.7503830038465584e-08,1.7503208230589058e-08,1.7494080976401592e-12,7.3020924414206737e-15,4.2017785762886162e-09,9.3495098565935159e-11,1.1202981448804489e-12,2.8621468974539353e-20,1.7709062823172865e-22,2.6714215891388732e-22,1.1948505243748756e-10,3.4326568555366844e-15,1.2185202704003736e-20,2.3605875365153293e-23,2.9407842617816626e-31
7.709168422013231e-14,0.29485977699361865,76.950000000000003,0.0,0.0,0.0,0.99999994780932877,9.4999999999954934,2.8139623583735874e-09,2.1922595427341804e-08,2.1921610999920691e-08,2.7440302073326028e-12,9.1493383767587677e-15,5.1966930837051217e-09,1.4543590599179992e-10,1.7504534732532351e-12,4.4911455300736586e-20,3.4805852303718156e-22,5.3251558891573239e-22,1.8586446914717638e-10,5.3846454077258336e-15,1.9041681654292713e-20,3.8132738634592074e-23,7.360012947371537e-31
9.012377291962539e-14,0.29485977699361327,76.950000000000003,0.0,0.0,0.0,0.99999993898796458,9.499999999993852,3.2896531445182946e-09,2.5628197834291096e-08,2.5626842992557788e-08,3.7499397481425586e-12,1.069844883419312e-14,6.0115772079345178e-09,1.9737291685385092e-10,2.3843996007227175e-12,6.138870053263105e-20,5.5626803412631547e-22,8.5800023356679303e-22,2.5223903396527278e-10,7.358966403422389e-15,2.5939739225242275e-20,5.2947840458862053e-23,1.389111163473289e-30
1.0315586161911848e-13,0.29485977699360677,76.950000000000003,0.0,0.0,0.0,0.99999993016695321,9.4999999999919602,3.7653439187359078e-09,2.9333704975022575e-08,2.9331918239795445e-08,4.9125292989555902e-12,1.2247514829577039e-14,6.8090932528976839e-09,2.5677925895424976e-10,3.1135466024767119e-12,8.0434243485861651e-20,8.3442076466159942e-22,1.2947240076751397e-21,3.2815926968103976e-10,9.6409984176967507e-15,3.3873941070817129e-20,7.0138597967347821e-23,2.4035122520928994e-30
1.1618795031861157e-13,0.2948597769935996,76.950000000000003,0.0,0.0,0.0,0.99999992134628723,9.4999999999898144,4.2410346810265927e-09,3.3039117798712712e-08,3.3036836772133517e-08,6.2317683625067031e-12,1.3796547689530593e-14,7.5896113840087647e-09,3.2349573855199419e-10,3.9369452933093688e-12,1.0204758413572268e-19,1.1926815373073036e-21,1.8589240348023888e-21,4.1342172957263911e-10,1.2230733573793126e-14,4.2833956479171473e-20,8.9681421637968432e-23,3.8927433977502584e-30
1.2922003901810465e-13,0.29485977699359145,76.950000000000003,0.0,0.0,0.0,0.9999999125259591,9.4999999999874216,4.7167254313905103e-09,3.6744437245108755e-08,3.6741598620065695e-08,7.7076264476239268e-12,1.5345543168061038e-14,8.35349390293854e-09,3.9736654379611033e-10,4.853655932730575e-12,1.2622822272104565e-19,1.6412279461094497e-21,2.5667844227380493e-21,5.0782728891252531e-10,1.5128164073136314e-14,5.2809557532301137e-20,1.1155297780048508e-22,5.9857246919195442e-30
1.4225212771759774e-13,0.29485977699358257,76.950000000000003,0.0,0.0,0.0,0.99999990370596215,9.4999999999847766,5.1924161698278201e-09,4.044966424457952e-08,4.0446203814079698e-08,9.3400730690979108e-12,1.689449235640328e-14,9.1010953778264018e-09,4.7823918872655855e-10,5.8627481633324628e-12,1.5297565962522364e-19,2.1902504561636453e-21,3.4344369312341025e-21,6.111810734016151e-10,1.8333282194896286e-14,6.3790618435425464e-20,1.3572999966403656e-22,8.8267611791559812e-30
1.5528421641709082e-13,0.2948597769935728,76.950000000000003,0.0,0.0,0.0,0.9999998948862886,9.4999999999818865,5.6681068963386803e-09,4.4154799718195199e-08,4.415065238465718e-08,1.1129077747661764e-11,1.8443405572670634e-14,9.8327628192758592e-09,5.6596443758540407e-10,6.963300907010502e-12,1.8228939512534697e-19,2.8499523968520661e-21,4.4779614831898578e-21,7.2329236244033176e-10,2.1846080295137176e-14,7.5767114387874882e-20,1.6218943819980966e-22,1.2575480340360347e-29
1.683163051165839e-13,0.2948597769935622,76.950000000000003,0.0,0.0,0.0,0.99999988606693213,9.4999999999787459,6.1437976109232404e-09,4.7859844577830679e-08,4.7854944362273883e-08,1.3074610009954663e-11,1.9992285542117606e-14,1.0548835811994739e-08,6.6039624820349602e-10,8.1544022885126252e-12,2.1416892968105487e-19,3.630549974383848e-21,5.7133865781214036e-21,8.4397451677780582e-10,2.5666550806204595e-14,8.87291207505544e-20,1.9090855112986079e-22,1.7406792451416874e-29
1.81348393816077e-13,0.29485977699355087,76.950000000000003,0.0,0.0,0.0,0.99999987724788586,9.4999999999753619,6.6194883135816519e-09,5.1564799726299959e-08,5.1559079777399594e-08,1.5176639388520244e-11,2.154112098778481e-14,1.1249646730715608e-08,7.6139167914149347e-10,9.435149507435848e-12,2.4861376399513076e-19,4.5422722572180654e-21,7.1566901558142404e-21,9.7304485983978517e-10,2.9794686235664976e-14,1.0266681165269637e-19,2.2186484841234442e-22,2.3510815592407286e-29
1.9438048251557008e-13,0.29485977699353855,76.950000000000003,0.0,0.0,0.0,0.9999998684291429,9.4999999999717328,7.0951790043140604e-09,5.5269666057396134e-08,5.5263058660498109e-08,1.7435135421822155e-11,2.3089919923217825e-14,1.1935520864773256e-08,8.6881083611393499e-10,1.0804648764952027e-11,2.8562339865195887e-19,5.5953611637473985e-21,8.8238001346242074e-21,1.1103246092595658e-09,3.4230479165688891e-14,1.1757045919494121e-19,2.5503601201681399e-22,3.1092834683867205e-29
2.0741257121506317e-13,0.29485977699352556,76.950000000000003,0.0,0.0,0.0,0.99999985961069693,9.4999999999678604,7.5708696831206073e-09,5.8974444456007452e-08,5.8966881042027253e-08,1.9850067654260891e-11,2.4638697912272398e-14,1.2606776592683753e-08,9.8251679690958545e-10,1.2262015159473979e-11,3.2519733426440821e-19,6.8000714463596999e-21,1.0730595027517933e-20,1.2556387809275511e-09,3.8973922252175757e-14,1.3343043231353635e-19,2.9039993402326188e-22,4.0373242950948647e-29
2.2044465991455625e-13,0.29485977699351174,76.950000000000003,0.0,0.0,0.0,0.99999985079254183,9.499999999963741,8.0465603500014365e-09,6.2679135798228935e-08,6.2670546952438892e-08,2.2421405636173589e-11,2.6187426671500159e-14,1.3263725483746362e-08,1.1023755676963981e-09,1.3806372626424296e-11,3.6733507202716765e-19,8.1666706927704021e-21,1.2892904276542393e-20,1.4088161331497859e-09,4.402500822425431e-14,1.5023719612391351e-19,3.2793476803663137e-22,5.1587513072498178e-29
