Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520)
6.584147810699109e-24,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999971734,9.5,1.5450757396878593e-16,1.1934851016599029e-15,1.1934851016598908e-15,1.3911234609974599e-29,1.3911231364873279e-29,2.8004525796843273e-13,1.2993015980573033e-24,6.0316044388393183e-30,2.3581041383232717e-43,6.9245593993392992e-48,9.1483728223366951e-45,4.7032830216406931e-24,6.6594664702821123e-31,2.0448314618313615e-43,1.966461708662694e-47,1.5088174111717976e-60,0.0,4.1552367549700744e-40,1.8551500180458853e-29,8.1625347033470543e-42,8.1625347033470938e-42,3.3012032141787303e-56,5.8694562313386278e-57,3.0153032775119643e-41,6.2712327976946003e-31,5.4343329692163904e-45,4.8310536249349521e-46,6.1144666371468197e-99,5.8163263078065102e-57,1.5062137574416658e-46,5.4711777814432415e-99
1.3174015993084317e-23,0.5145304131600793,76.950000000000003,0.0,0.0,0.0,0.99999999999943445,9.5,3.0914938562123966e-16,2.3880071147885944e-15,2.3880071147885471e-15,5.5681192163416681e-29,5.5681166182880163e-29,5.6033382196976537e-13,5.2005924698189396e-24,2.4142136569708376e-29,1.8879094132376298e-42,5.543857950708948e-47,7.3261179145897627e-44,1.8825389195506214e-23,2.6655220951604967e-30,1.6370918825750384e-42,1.5743650561282594e-46,2.4167300345011738e-59,0.0,3.3267159657534649e-39,7.425434732655375e-29,6.5349909332184546e-41,6.5349909332185168e-41,5.2862262946768735e-55,9.398777310580347e-56,2.4140760553933172e-40,2.5101274495284801e-30,4.3507706821550598e-44,3.8677803872413518e-45,7.8424109617382372e-97,9.3137002095712235e-56,1.2058868484073765e-45,7.0173290906762873e-97
2.6353752357854732e-23,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999886879,9.5,6.1843300892597201e-16,4.7770511410431506e-15,4.7770511410429613e-15,2.2279729676384676e-28,2.227970888406851e-28,1.1209109499356619e-12,2.0809143963887411e-23,9.6599992864258794e-29,1.5108889391494829e-41,4.4367712564589691e-46,5.8638636446680877e-43,7.5326077984176275e-23,1.0665560383943427e-29,1.3101444312433909e-41,1.2599705206505798e-45,3.8688669926279742e-58,0.0,2.6623838294047913e-38,2.9711411007229752e-28,5.2299788637236048e-40,5.2299788637237059e-40,8.4614047090114094e-54,1.5044164621247199e-54,1.9319945311559921e-39,1.0043779390660354e-29,3.4819388332554142e-43,3.0953998070012556e-44,1.0048470561711733e-94,1.4907985852970028e-54,9.6507597236862289e-45,8.9912942759009222e-95
5.2713225087395565e-23,0.5145304131600795,76.950000000000003,0.0,0.0,0.0,0.99999999999773748,9.5,1.2370002555347364e-15,9.5551391935409586e-15,9.5551391935401981e-15,8.9133426393205129e-28,8.9133260023229894e-28,2.2420652057203825e-12,8.325012595010866e-23,3.8646287356512273e-28,1.2089209198441577e-40,3.5500911127025859e-45,4.6922789308149217e-42,3.0135336131044549e-22,4.2669186531520766e-29,1.0482720034278135e-40,1.0081678406013339e-44,6.191866816378774e-57,0.0,2.1303115725636362e-37,1.1886499093762545e-27,4.1847777076178183e-39,4.1847777076179769e-39,1.3541002328126985e-52,2.407556135247443e-53,1.5458891621961365e-38,4.0181657680075496e-29,2.7860800940560624e-42,2.4767901447200191e-43,1.2868564448141511e-92,2.3857630985745816e-53,7.7220740669625092e-44,1.1514692624231925e-92
1.0543217054647722e-22,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999547484,9.5,2.4741347487494643e-15,1.9111315298491354e-14,1.9111315298488306e-14,3.5656272300831232e-27,3.5656139192445289e-27,4.484373716701531e-12,3.3302760588211635e-22,1.5459773072580136e-27,9.6719690409271663e-40,2.8403425702125589e-44,3.7542984083545636e-41,1.2055115508400858e-21,1.7069063710622555e-28,8.3862907497938537e-40,8.0661083889892355e-44,9.9083307992533539e-56,0.0,1.704411078772891e-36,4.7549866032200712e-27,3.3481400466963079e-38,3.3481400466965627e-38,2.1667807824866794e-51,3.8524817012753723e-52,1.2368287569127221e-37,1.6073971189307939e-28,2.2290757078754376e-41,1.9816202551160636e-42,1.647593794603546e-90,3.8176092948050918e-52,6.1782458316602656e-43,1.4742542721795151e-90
2.1087006146464056e-22,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999999094957,9.5,4.9484037351677148e-15,3.8223667508211271e-14,3.8223667508199073e-14,1.42630892892062e-26,1.4262982797813169e-26,8.9689907363106485e-12,1.3321646293222162e-21,6.1841608625613325e-27,7.7374359833215152e-39,2.2723819471186197e-43,3.0036288432074401e-40,4.8222424204588502e-21,6.8279033136986966e-28,6.7082608166057604e-39,6.4531928109010718e-43,1.5854404466915731e-54,0.0,1.3635935944760338e-35,1.9020720371739547e-26,2.6786391963723243e-37,2.6786391963727332e-37,3.4670255878192444e-50,6.1642842474341168e-51,9.8950997842653209e-37,6.4298501090032773e-28,1.7833452223419911e-40,1.5853714631999473e-41,2.1091873273013219e-88,6.1084855575409316e-51,4.9428313094557717e-42,1.8872846197273081e-88
4.217458433009672e-22,0.5145304131600793,76.950000000000003,0.0,0.0,0.0,0.99999999998189892,9.5,9.8969417079593911e-15,7.6448371926927582e-14,7.6448371926878799e-14,5.7053517911234312e-26,5.7052665965805247e-26,1.7938224766116182e-11,5.328766928409345e-21,2.4737146714861214e-26,6.1892853185405595e-38,1.8179487362937969e-42,2.4029791225976691e-39,1.9289362114342957e-20,2.7312168923223679e-27,5.3649923605763129e-38,5.16267640016005e-42,2.5367907318920484e-53,0.0,1.09090076839406e-34,7.6084429431211548e-26,2.1429622220351373e-36,2.1429622220357908e-36,5.5473820035418488e-49,9.8631056174759037e-50,7.9162677164190043e-36,2.57199237159615e-27,1.4267100387432246e-39,1.2683272739691645e-40,2.699930845018868e-86,9.7738254383309044e-50,3.9543589082971424e-41,2.4158773818787814e-86
8.434974069736204e-22,0.5145304131600795,76.950000000000003,0.0,0.0,0.0,0.99999999996379763,9.5,1.9794017653363464e-14,1.5289778076146606e-13,1.5289778076127092e-13,2.2821639314240417e-25,2.2820957759307418e-25,3.587669278807645e-11,2.1315284518632034e-20,9.8949593306418774e-26,4.9501908638387572e-37,1.4543762944125639e-41,1.922413716317087e-38,7.7158233259966546e-20,1.0924978703674366e-26,4.2892575405145474e-37,4.130189514611167e-41,4.0589339830376729e-52,0.0,8.7273097124074263e-34,3.0434081363273362e-25,1.7143901238312972e-35,1.7143901238323428e-35,8.8759240257329409e-48,1.5781169627398803e-48,6.3330893175874012e-35,1.0288074146564009e-26,1.1413815716011795e-38,1.0146738590397323e-39,3.4560209679548719e-84,1.5638319508925515e-48,3.1635246723521638e-40,3.0924210163825592e-84
1.687000534318927e-21,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999992759514,9.5,3.9588169543454469e-14,3.0579659841896672e-13,3.0579659841818614e-13,9.1287021532908741e-25,9.1281569213069061e-25,7.1753628681393776e-11,8.5261571533036951e-20,3.9580038539884738e-25,3.9581039058241471e-36,1.1635080116591759e-40,1.5379431381414253e-37,3.086345020967879e-19,4.3700137082135769e-26,3.426975108937185e-36,3.3041702228182779e-40,6.4943494134767021e-51,0.0,6.9818891844951006e-33,1.217369446308857e-24,1.3715202375312375e-34,1.3715202375329104e-34,1.4201568595154594e-46,2.5250031849587179e-47,5.0665014926050763e-34,4.1152505933611958e-26,9.1311066728437824e-38,8.1174390055360331e-39,4.4237769111159881e-82,2.5021470157552752e-47,2.530834757740027e-39,3.9583616011046252e-82
3.37400678900954e-21,0.5145304131600793,76.950000000000003,0.0,0.0,0.0,0.99999999985519006,9.5,7.9176473320767928e-14,6.1159423368766253e-13,6.1159423368454041e-13,3.6514901448069587e-24,3.651053982240374e-24,1.4350749986561565e-10,3.4104715182381148e-19,1.5832055601128576e-24,3.1631818863300557e-35,9.3080928607944961e-40,1.2303593728857505e-36,1.2345411420659487e-18,1.7480099284584313e-25,2.7344929013712731e-35,2.64334242786214e-39,1.0391003063909728e-49,0.0,5.5855278945840254e-32,4.8694901682955559e-24,1.0972194453112863e-33,1.0972194453139626e-33,2.2722581546836968e-45,4.040017910187537e-46,4.0532131784239828e-33,1.6461044263861536e-25,7.3049068779550704e-37,6.4939704152828139e-38,5.6624792916216611e-80,4.0034479074256897e-46,2.0246738165110034e-38,5.0667429770547039e-80
6.748019298390766e-21,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999971037989,9.5,1.5835308086392058e-13,1.2231895040398335e-12,1.2231895040273434e-12,1.460597912983808e-23,1.4602490213102695e-23,2.8701523982440796e-10,1.3641903288622296e-18,6.3328302307933812e-24,2.5252682892949773e-34,7.4464871763224327e-39,9.8428943737165814e-36,4.9381708000921125e-18,6.9920486027043551e-25,2.1763299275072099e-34,2.1146745303494117e-38,1.6625640007116616e-48,0.0,4.4684289042414018e-31,1.9477985435143818e-23,8.777768581880397e-33,8.777768581923216e-33,3.6356186858316385e-44,6.4640388390625947e-45,3.2425752867003334e-32,6.5844261003192245e-25,5.8439339576008974e-36,5.1951839485845618e-37,1.2687804102693631e-77,6.4055266911337341e-45,1.6197414611093882e-37,1.135294965845933e-77
1.3496044317153218e-20,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999942075968,9.5,3.1670629590432905e-13,2.4463800440033024e-12,2.4463800439533274e-12,5.8423953489465857e-23,5.8396048356449047e-23,5.7403071010338785e-10,5.4567646800386349e-18,2.533133653026249e-23,2.011817560985329e-33,5.9571971051927288e-38,7.874323160997644e-35,1.9752695379741976e-17,2.7968212176686604e-24,1.7233040262211599e-33,1.6917368006558866e-37,2.6601051784602637e-47,0.0,3.5747457104537115e-30,7.7911991231036352e-23,7.0222200704218107e-32,7.0222200704903222e-32,5.8169940712351152e-43,1.0342470069005117e-43,2.5940620472937757e-31,2.6337721324291028e-24,4.6751502911389611e-35,4.1561500966197299e-36,1.6294811520810913e-75,1.0248850396292877e-43,1.2957941380789212e-36,1.4580472195221708e-75
2.6992094354678123e-20,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999884151924,9.5,6.3341272580155839e-13,4.8927611209668221e-12,4.8927611207668108e-12,2.3369588684917708e-22,2.3347274518300492e-22,1.1480616121069312e-09,2.1827064820966495e-17,1.0132537434658549e-22,1.5961778717930515e-32,4.7657641643003059e-37,6.2994614428326106e-34,7.9010803603401422e-17,1.1187288414344015e-23,1.3510517629264774e-32,1.3533834169595756e-36,4.2561704079694466e-46,0.0,2.8597975257935846e-29,3.1164806363717774e-22,5.617778133756688e-31,5.6177781338663081e-31,9.3071927754372838e-42,1.654795774853364e-42,2.0752502375646718e-30,1.0535092021084764e-23,3.7401210716721741e-34,3.3249210783270858e-35,2.0857918264129232e-73,1.6398165695475605e-42,1.0366357077884709e-35,1.866350507148591e-73
5.3984194429727933e-20,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999768303838,9.5,1.2668255848616669e-12,9.7855232630407705e-12,9.7855232622398367e-12,9.3478368478922831e-22,9.3300014076376557e-22,2.2961232618963713e-09,8.7308266458537155e-17,4.0530152993088703e-22,1.2562007559065489e-31,3.8126195786891866e-36,5.0395700786364392e-33,3.1604324038791738e-16,4.4749160668674311e-23,1.0391675293301896e-31,1.0826964936895978e-35,6.8098740325351578e-45,0.0,2.2878382797767138e-28,1.2465924498314637e-21,4.4942233306954107e-30,4.4942233308708028e-30,1.4891506801345298e-40,2.6476734658294338e-41,1.6602002260331856e-29,4.2140375921195196e-23,2.99209653482213e-33,2.6599369845624027e-34,2.6698150655137228e-71,2.6237065670756057e-41,8.293087405987483e-35,2.388930018598991e-71
8.097629450477774e-20,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999652455751,9.5,1.9002384431874248e-12,1.4678285393262213e-11,1.4678285391558923e-11,1.9864154066099345e-21,1.9813181936698417e-21,3.4441847574681855e-09,1.8553006505323807e-16,8.6126574455127831e-22,3.558497805766588e-31,1.0901724011856288e-35,1.4961224152172665e-32,6.7159188158939073e-16,9.5091970708822551e-23,2.9058668461197235e-31,3.0958182843929567e-35,2.5763137580719689e-44,0.0,6.5417876215928915e-28,2.6490090757896456e-21,1.2850670433103371e-29,1.2850670433748929e-29,5.481062821431358e-40,9.7451964764422898e-41,4.7471348008147382e-29,8.9548304950654733e-23,8.5555250116920791e-33,7.6057570818092225e-34,1.3775257634706915e-70,9.6569820894555376e-41,2.3713048313585396e-34,1.2325994753526821e-70
1.0796839457982755e-19,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999536607664,9.5,2.5336513007788327e-12,1.9571047511631733e-11,1.9571047508724064e-11,3.3885910449725038e-21,3.3778445332993793e-21,4.5922460988223948e-09,3.1649245620648514e-16,1.4692179972943443e-21,7.442812735980134e-31,2.2994927352507601e-35,3.2599719860787699e-32,1.1456567112875845e-15,1.6221571845962905e-22,6.0082197828976015e-31,6.5299447238431267e-35,6.7061301131189428e-44,0.0,1.3798524554819337e-27,4.5188979398936142e-21,2.710578640855256e-29,2.7105786410189837e-29,1.390116047775388e-39,2.4715927555168605e-40,1.0013081557626075e-28,1.5275888011601471e-22,1.8046077844170771e-32,1.6042743742942687e-33,7.5148807473979696e-70,2.4492196137823254e-40,5.0017688701014615e-34,6.7242575875375406e-70
1.6195259472992718e-19,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999999304911491,9.5,3.8004770142381733e-12,2.9356571720556832e-11,2.9356571714529794e-11,7.0156474091881905e-21,6.9863180140405289e-21,6.8883684195916001e-09,6.5525739107722723e-16,3.0418290579977463e-21,2.0047007967427855e-30,6.2806483661441963e-35,9.462692505945213e-32,2.3719365596073814e-15,3.3584704710249492e-22,1.5883576815562387e-30,1.7835155450909124e-34,2.4610550504155075e-43,0.0,3.7688048698439305e-27,9.3558043861012035e-21,7.4034311162186423e-29,7.4034311167912062e-29,4.8613021451550702e-39,8.6432790320112243e-40,2.7348828048092462e-28,3.1626787738746251e-22,4.9289424529792409e-32,4.3817704834000637e-33,1.0436850346033743e-68,8.5650387131591136e-40,1.366138278991366e-33,9.3388135504118868e-69
2.159367948800268e-19,0.5145304131600793,76.950000000000003,0.0,0.0,0.0,0.99999999073215318,9.5,5.0673027249970463e-12,3.9142095885902992e-11,3.9142095875641145e-11,1.1931778717504215e-20,1.1870453830835218e-20,9.1844901732478396e-09,1.1144211254061333e-15,5.1733541687662335e-21,4.1431370431714529e-30,1.3141256105118624e-34,2.0693840068553635e-31,4.0340425704008722e-15,5.7118786806494863e-22,3.2295528525111696e-30,3.73168345187552e-34,6.3816997499344703e-43,0.0,7.8856001198471021e-27,1.5911772967427443e-20,1.5490454527152138e-28,1.5490454528582817e-28,1.2147068284500551e-38,2.1597199660046923e-39,5.7222890007575477e-28,5.378888506743686e-22,1.0312994228120881e-31,9.1681287576842033e-33,4.7976726676466714e-68,2.1401697689177045e-39,2.8584183665996989e-33,4.2929206657131333e-68
3.2390519518022607e-19,0.5145304131600795,76.950000000000003,0.0,0.0,0.0,0.99999998609822971,9.5,7.6009541376473983e-12,5.8713144073521263e-11,5.871314405110313e-11,2.5996912561250303e-20,2.5803646935071201e-20,1.3776731818360417e-08,2.4280959849787663e-15,1.1271681901467334e-20,1.264182872080704e-29,4.149635087021566e-34,6.8837502622825767e-31,8.7893547110236976e-15,1.2445019095947514e-21,9.4463133948385868e-30,1.178325494449917e-33,3.154009361588585e-42,0.0,2.490029010184881e-26,3.4668509230731705e-20,4.891407953693847e-28,4.8914079543563765e-28,5.6251577825373201e-38,1.0001401413855658e-38,1.8069217964379881e-27,1.171950255779165e-21,3.2565235958104658e-31,2.8950115840529321e-32,9.0048082909917722e-67,9.9108656736082428e-39,9.0260046589115361e-33,8.0574333385605733e-67
4.318735954804253e-19,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999998146430624,9.5,1.0134605538608725e-11,7.8284192072562962e-11,7.8284192033104702e-11,4.5641829455522681e-20,4.5202983508537186e-20,1.8368971008716443e-08,4.2629187589677783e-15,1.9789276995774407e-20,2.7926150683035859e-29,9.438559440390694e-34,1.601429259416352e-30,1.5431146589539498e-14,2.1849265758086956e-21,2.0152368820446392e-29,2.6800953604944489e-33,9.4025738682822896e-42,0.0,5.6636617820590127e-26,6.0866236278780804e-20,1.112568724817173e-27,1.1125687250092891e-27,1.6311465949288546e-37,2.9001421224278252e-38,4.1099087967654834e-27,2.0575504774081981e-21,7.4070786860986037e-31,6.5848086938200188e-32,5.2385088210397854e-66,2.8738888954261077e-38,2.0529980923733644e-32,4.6873774877042835e-66
6.478103960808238e-19,0.5145304131600793,76.950000000000003,0.0,0.0,0.0,0.99999997219645953,9.5,1.520190830530276e-11,1.1742628750249714e-10,1.1742628741405294e-10,1.0174812636061287e-19,1.0028888645339477e-19,2.7553441991239185e-08,9.5032092235293071e-15,4.4115698323643297e-20,8.7189631115274185e-29,3.1513868723670187e-33,5.452847150030345e-30,3.4400236762190255e-14,4.8707994067412666e-21,5.8597828551834146e-29,8.9478861266486617e-33,4.9165679019224494e-41,0.0,1.8909790203708791e-25,1.3568750171389709e-19,3.7146370700344644e-27,3.7146370710106858e-27,8.28853221557751e-37,1.4736837420487505e-37,1.3722125934484078e-26,4.5868441372299658e-21,2.4730672944710992e-30,2.1985302526868701e-31,1.0348420139250146e-64,1.4603430221893205e-37,6.8545375462617644e-32,9.2596869599094424e-65
1.0796839972816208e-18,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999995366076666,9.5,2.5336513697740456e-11,1.9571047609037243e-10,1.9571047584313546e-10,2.8124369408958235e-19,2.7444346279626383e-19,4.5922354356031797e-08,2.6267961074325682e-14,1.219408514451432e-19,3.5838955890450891e-28,1.4819061550519857e-32,2.5934680243633947e-29,9.5086202887355292e-14,1.3463459269818345e-20,2.14385681296245e-28,4.2071027998735346e-32,4.1400654632947421e-40,0.0,8.8918458957811826e-25,3.7505612773575139e-19,1.7467144691746436e-26,1.746714469982548e-26,6.8594433514185969e-36,1.2195971469928509e-36,6.4524732143698247e-26,1.267857899953036e-20,1.162894212239906e-29,1.033802085348067e-30,4.3973079495177018e-63,1.208555898336314e-36,3.2231747218118442e-31,3.9346774650790797e-63
1.943431199683215e-18,0.5145304131600794,76.950000000000003,0.0,0.0,0.0,0.99999991658938348,9.5,4.5605723918662799e-11,3.5227884418494024e-10,3.5227884336753737e-10,9.0943895595401412e-19,8.6952112400252445e-19,8.2660060653125486e-08,8.4940831055505273e-14,3.9431141338756273e-19,1.6936731780843828e-27,8.862377846031496e-32,1.5582650613177863e-28,3.0747346830682338e-13,4.3535898283170058e-20,8.7363413343115358e-28,2.5153370207711263e-31,4.7417343948527733e-39,0.0,5.3173325085368117e-24,1.2127942240399879e-18,1.0445385241546104e-25,1.0445385250734289e-25,7.801148949737351e-35,1.3870365334895997e-35,3.8585777133768799e-25,4.0997917997115012e-20,6.9540871824158986e-29,6.1821388073928376e-30,3.1070118038999623e-61,1.3744777949687599e-35,1.9274659870905546e-30,2.7801304202817478e-61
